username,orario,text
NateSilver538,2023-10-20 14:58:35+00:00,"Please don't self-immolte, Ben!

But I'm having trouble comprehending what point you're trying to make.

You seem almost proud of other instances where you got the story wrong but sent the right partisan signal.

What you're doing is damaging trust in journalism."
oneunderscore__,2023-10-19 21:00:22+00:00,I am going to set myself on fire. https://t.co/Ji5qZZEtXH
NateSilver538,2023-10-19 22:08:04+00:00,"RT @“Disinformation reporter” is a ridiculous construct to begin with — all reporters are supposed to be in the business of reporting facts, but they hold themselves out as special arbiters over the others, and always for the same ideological agenda"
jbarro,2023-10-19 21:49:39+00:00,"“Disinformation reporter” is a ridiculous construct to begin with — all reporters are supposed to be in the business of reporting facts, but they hold themselves out as special arbiters over the others, and always for the same ideological agenda"
NateSilver538,2023-10-19 19:56:05+00:00,"This is a good critique of America's Favorite Disinformation Reporter, who has an unfortunate little habit of constantly spreading disinformation that confirms his political priors.
https://t.co/5UxC3AuGGQ"
NateSilver538,2023-10-19 16:52:30+00:00,"Today, Gallup came out with a poll showing that trust in media is at an all-time low. And you know what? Some of that is the media's own damned fault.
https://t.co/YEcd7Av8q8"
NateSilver538,2023-10-19 16:53:57+00:00,"I was going to pass on writing about this story just because I had a busy today today, but the incredible lack of accountability in this New York Times self-accounting pushed me over the edge.
https://t.co/2qpMpIFNlY"
NateSilver538,2023-10-19 16:56:13+00:00,"Anyway, today's newsletter is feisty but I still think it's fair and thoughtful:
https://t.co/YEcd7Av8q8 https://t.co/gdTHoxES7A"
NateSilver538,2023-10-19 07:08:42+00:00,That's not remotely responsive to my point and in fact posting polling from 15 months ago about Biden’s preexisting unpopularity with young voters undermines your argument.
_waleedshahid,2023-10-19 06:49:24+00:00,@NateSilver538 https://t.co/i4rHhWqr0O
NateSilver538,2023-10-19 06:47:07+00:00,"The polling is a very long ways from perfect but it's still better than relying on your peer group. Biden’s stance is likely to be popular, including with young voters."
_waleedshahid,2023-10-19 00:52:43+00:00,"In terms of young voters turning sour, Gaza could do to President Biden what Vietnam did to LBJ."
NateSilver538,2023-10-18 19:20:01+00:00,"RT @Thanks for the opportunity, @NateSilver538, and thanks for dragging me off the Twitter couch and actually getting me to write something!"
MattGlassman312,2023-10-18 19:19:20+00:00,"Thanks for the opportunity, @NateSilver538, and thanks for dragging me off the Twitter couch and actually getting me to write something!"
NateSilver538,2023-10-18 19:01:09+00:00,"We have a very special guest post from @MattGlassman312 on the Republican speakership crisis!  This is the most thoughtful account I've seen anywhere on this issue so I hope you'll give it a read!

https://t.co/IMytue5JA5"
NateSilver538,2023-10-18 15:43:13+00:00,"Without wanting to get *too* dug in on the underlying factual dispute, I basically agree with this. My claim is that mistakes happen in real-time reporting. But we're getting out of the real-time window &amp; there are big differences in how this story is being framed *right now*. https://t.co/hWDL8cjwqd"
