username,orario,text
Nate_Cohn,2023-09-20 22:29:49+00:00,https://t.co/z79WChWL5e
Nate_Cohn,2023-09-11 14:40:15+00:00,"Trump's Electoral College edge seems to have faded.
https://t.co/hnWOYWUDqv"
Nate_Cohn,2023-09-11 14:40:16+00:00,"All of this could easily change. But for now, the main upshot is that tied national polls today don't indicate a commanding Trump advantage in the battlegrounds, as I see so often assumed"
Nate_Cohn,2023-09-11 14:42:10+00:00,"And while there's no way to know whether this will last, there's also not much reason to assume Trump will sustain the overwhelming relative advantage in the E.C. he held in the last election, let alone that it will grow as many Dems feared"
Nate_Cohn,2023-09-07 14:18:25+00:00,"CNN/SSRS shows Trump+1, and the underlying story is much like the other polls: Biden hitting his targets among whites, matching the 43-44% of decided major party voters he won last time, but leading just 58-34 among nonwhite voters"
Nate_Cohn,2023-09-07 14:21:06+00:00,"As I wrote yesterday, this is basically a myth 
https://t.co/HH4dHvtr90"
fleetadmiralj,2023-09-07 14:20:23+00:00,The problem is that minorities - and black voters especially - almost always poll worse than they actually turn out
Nate_Cohn,2023-09-07 14:21:28+00:00,ICYMI -- hopefully helpful for all of you crosstab divers in the future   https://t.co/s6SgiD8nXy
Nate_Cohn,2023-09-06 14:12:33+00:00,I've seen some haggling on twitter about whether Biden can 'really' be doing this poorly among nonwhite and especially Black voters. This might help make some more sense of some startling numbers  https://t.co/s6SgiD8VN6
Nate_Cohn,2023-09-06 14:18:59+00:00,"In Times/Siena polling specifically, the crosstabs for 2020 vote choice are illuminating for seeing these differences. Recalled vote isn't extremely reliable -- and we don't weight the 2020 universe -- but it does reveal the weirdness of comparing RVs to 'actual' voters https://t.co/iVeSlpP6lx"
Nate_Cohn,2023-09-06 14:24:30+00:00,"For all the squawking about tabs, notice that these particular ones do make some sense, even as the RV findings spark controversy. 72-7 among Black RVs in 2020 = 91-9 among those who voted and reported a preference; 39-22 among Hispanics is 64% for Biden, etc."
Nate_Cohn,2023-09-05 14:04:32+00:00,https://t.co/J4REe47VG3
Nate_Cohn,2023-09-05 21:56:19+00:00,"I'm going to do something a little unusual tomorrow in the newsletter tomrorow (I guess I better add the sign up link here!) and respond to some of the skepticism I see here about Biden's weakness among nonwhite voters 
https://t.co/vfLG2cOZH5"
Nate_Cohn,2023-09-05 17:38:02+00:00,RT @Medicare slowth: still going. One of the great (fortunate) mysteries of our time. https://t.co/pH6FXotU3X @aliciaparlap @jshkatz
sangerkatz,2023-09-05 15:00:19+00:00,Medicare slowth: still going. One of the great (fortunate) mysteries of our time. https://t.co/pH6FXotU3X @aliciaparlap @jshkatz
Nate_Cohn,2023-09-05 16:04:40+00:00,"RT @New: federal court strikes down AL GOP's latest congressional map. In scathing opinion, judges say they're ""disturbed"" map ""did not even nurture the ambition"" to adhere to SCOTUS ruling, will appoint special master to drawn extra Black opportunity seat. https://t.co/B1DOLlljTG https://t.co/r2gLzpNzAA"
Redistrict,2023-09-05 16:00:08+00:00,"New: federal court strikes down AL GOP's latest congressional map. In scathing opinion, judges say they're ""disturbed"" map ""did not even nurture the ambition"" to adhere to SCOTUS ruling, will appoint special master to drawn extra Black opportunity seat. https://t.co/B1DOLlljTG https://t.co/r2gLzpNzAA"
Nate_Cohn,2023-08-04 13:46:04+00:00,"Trump 44, DeSantis 20 in our first Iowa caucus poll of the cycle
Tim Scott at 9
https://t.co/HFsVtt0bjJ"
Nate_Cohn,2023-08-01 13:12:33+00:00,"The Biden-Trump rematch is tied, 43-43, in our first Times/Siena poll of the cycle. 
Another 10 percent volunteered they wouldn't vote or would vote for someone else
https://t.co/UYlxJ5ezqU"
Nate_Cohn,2023-08-01 13:18:21+00:00,"There's arguably some upside for Mr. Biden among the 14 percent of the electorate that dissent or don't know, but it's not huge upside: for illustrative purposes, he leads by 2 points if he assign undecided/dissenting voters by their self-reported 2020 vote"
Nate_Cohn,2023-08-01 13:23:47+00:00,"To the extent the poll shows a tighter race than '24, it mainly seems to do so because of additional Trump gains among men, Black, Hispanic and low income/less educated voters. 
We've seen signs of many of these trends before https://t.co/dpG6nikSGA"
Nate_Cohn,2023-07-31 21:26:46+00:00,"One interesting thing about this Times/Siena poll is that the full RV sample has really clean crosstabs, since it was constructed as two separate polls of GOP and non-GOP. As a result, every subgroup in weighting -- say, young people -- has the right number of Reps and non-Reps"
Nate_Cohn,2023-07-31 21:26:47+00:00,"I doubt this makes any real difference in the topline, but given how people love to scrutinize the crosstabs i might try out whether this kind of approach would holds up well when there are smaller sample sizes by party"
Nate_Cohn,2023-07-31 14:16:58+00:00,"One thing that caught my eye in the poll: Republicans thought DeSantis was more likable than Trump -- one of his few bright-spots in the poll-- despite all the dunking on him on this issue. 
They just don't think he's as fun, which almost perfectly mirrors the topline result https://t.co/yNpIs0EcF8"
Nate_Cohn,2023-07-31 14:00:51+00:00,"On paper, there's a path to beat Trump. But his loyal base -- along with divisions among other Republicans -- makes him extremely hard to beat
https://t.co/WJOu7968uV"
Nate_Cohn,2023-07-31 14:06:43+00:00,"The other 63%, in theory, could be rallied to beat Trump but it's not so simple. They're very heterogenous, ranging from Biden-supporting Never Trumpers to disaffected conservatives. https://t.co/YTKDWDg9h0"
Nate_Cohn,2023-07-31 14:08:24+00:00,"At the beginning of the campaign, DeSantis seemed to be able to unify these groups. But with ""woke"" and ""covid"" either fading or lacking punch, he's become something like another Ted Cruz -- a factional conservative who can't appeal across the potential opposition to Trump"
Nate_Cohn,2023-07-31 13:23:08+00:00,"Trump 54, DeSantis 17 in the first NYT/Siena poll of the cycle. No one else is over 3%
https://t.co/Ociw0QVM1D"
Nate_Cohn,2023-07-31 13:30:36+00:00,"From a methods standpoint, this could be the most complex Times/Siena poll we've done. The likely GOP electorate accounts for the primary rules of each state. And with separately weighted GOP and DEM/IND samples, the partisanship of each demographic is unusually representative"
Nate_Cohn,2023-07-31 13:33:03+00:00,"But despite all this, the poll is almost exactly aligned with the current polling average. Alternative definitions of the GOP universe -- say, all GOP+GOP leaning voters -- either yield essentially the same result or tend to modestly expand Trump's lead"
Nate_Cohn,2023-07-24 16:35:57+00:00,"Suppose a candidate receives .6% in a GOP primary poll, or 1% after rounding. Should that result count toward qualifying for the GOP debate?"
Nate_Cohn,2023-07-28 14:51:52+00:00,"Alright, it's settled: 1 percent means the full 1 percent. We'll implement this for our next national poll 
https://t.co/R1MUA9Vdvf"
Nate_Cohn,2023-07-26 21:09:53+00:00,"RT @Neil_Irwin: Fed staff no longer forecasting recession, Powell says."
Neil_Irwin,2023-07-26 21:03:59+00:00,"Fed staff no longer forecasting recession, Powell says."
Nate_Cohn,2023-07-14 14:58:33+00:00,"What really happened in the midterms?
https://t.co/xLw1lSWzzA"
Nate_Cohn,2023-06-24 01:50:32+00:00,"RT @Here's the latest. A lot of drama, but still no verification of Prigozhin's claims of a column of Wagner fighters approaching Rostov-on-Don. https://t.co/RReUz2ZEjD https://t.co/M9KHI2mCIM"
antontroian,2023-06-24 01:39:29+00:00,"Here's the latest. A lot of drama, but still no verification of Prigozhin's claims of a column of Wagner fighters approaching Rostov-on-Don. https://t.co/RReUz2ZEjD https://t.co/M9KHI2mCIM"
Nate_Cohn,2023-06-17 00:44:34+00:00,https://t.co/60JC2Q8J5j
Nate_Cohn,2023-06-09 01:31:07+00:00,RT @maggieNYT: Trump announces on Truth he’s been indicted
maggieNYT,2023-06-09 01:26:03+00:00,Trump announces on Truth he’s been indicted
Nate_Cohn,2023-06-07 15:09:29+00:00,"GOP field may not be consolidated fully behind DeSantis, but it's not 2016 either https://t.co/3elmUvZRor"
Nate_Cohn,2023-06-02 22:02:47+00:00,"Times/Siena polls won't qualify at that n size
https://t.co/Cb5SNjDwFF"
talstales,2023-06-02 20:45:29+00:00,"RNC announces the date(s) for its first debate(s) with fundraising, polling and ""candidate pledge"" requirements https://t.co/XxuQXDW1gc"
