username,orario,text
RepSlotkin,2023-10-19 16:09:41+00:00,".@TravelGov has issued an urgent security alert for U.S. citizens in Lebanon. Americans should not travel to Lebanon, and those there now should make plans to depart as soon as possible while commercial options are still available. https://t.co/ZyF7NRmrze"
RepSlotkin,2023-10-19 16:09:41+00:00,"Other important points:
— Those who wish to stay should make contingency plans by plane, ship, or ground
— Avoid large demonstrations as some have turned violent 
— U.S. citizens in need of immediate assistance should complete the crisis intake form below. https://t.co/GC40t8NOWm"
RepSlotkin,2023-10-18 23:17:27+00:00,"Today, I met face-to-face with family members of some of the Americans taken hostage by Hamas &amp; being held in Gaza. They were some of the most harrowing, heart-wrenching stories I’ve heard – you could hear the pain of not knowing if your loved one is going to be okay."
RepSlotkin,2023-10-18 23:17:28+00:00,"The situation in Israel &amp; Gaza is changing minute-to-minute &amp; the humanitarian crisis is growing dire, but we can’t lose sight of the danger these men, women &amp; children are in. The U.S. must continue working to find them, get them home, &amp; reunite them with their families."
RepSlotkin,2023-10-18 15:43:58+00:00,"Two weeks left to apply for the Congressional App Challenge: Work alone or with three of your friends to create an original app for phones, tablets or computers. For more information on rules and how to apply, visit the link below: https://t.co/XDveebZS49"
RepSlotkin,2023-10-05 19:56:18+00:00,"Calling all coders! It’s time for the Congressional App Challenge! Work alone or with three of your friends to create an original app for phones, tablets or computers. For more information on rules and how to apply, visit the link below: https://t.co/XDveebZS49"
RepSlotkin,2023-10-05 19:56:18+00:00,"Winners will have the chance to display their apps in the U.S. Capitol and present them to Members of Congress, so apply before the November 1 deadline!"
RepSlotkin,2023-09-27 18:08:42+00:00,"Great to see @SenStabenow &amp; @SenateAgDems taking a hard look at foreign ownership of our farmland. 

Last month, I introduced the bipartisan FARMLAND Act with @RepFeenstra as the companion bill to the Senate's, which would put more scrutiny on purchases by adversaries like China."
SenateAgDems,2023-09-27 16:01:50+00:00,"HAPPENING NOW: #SenateAg is holding a hearing on foreign ownership in U.S. Agriculture. Tune in here:

https://t.co/lXDG5gED8L"
RepSlotkin,2023-09-27 18:08:44+00:00,"Food security is national security, and as a country we need to ensure adversaries can’t use our own farmland against us.
https://t.co/F9ZOOUOwpK"
