username,orario,text
SenatorTimScott,2023-10-19 23:00:00+00:00,"Iran policy is Israel policy.
 
How we treat Israel’s greatest enemy—the largest state sponsor of terrorism in the world—directly impacts its ability to threaten our greatest ally in the region.
 
We cannot say we support Israel while we release billions to their enemies. https://t.co/n6R6m2MlRB"
SenatorTimScott,2023-10-19 20:45:00+00:00,"First, President Biden bypassed Congress by keeping Acting Labor Secretary Julie Su in office without Senate confirmation. Now, he's trying to put her into the presidential line of succession. I joined @SenKatieBritt in demanding answers.

Read more here⬇️
https://t.co/jlhhhEkWvv"
SenatorTimScott,2023-10-19 19:30:00+00:00,"Charter schools provide a quality education for kids across America, no matter their zip code. That's why I'm making it easier to open them in the communities that need them most and set every child up for a brighter future.

Learn more below⬇️
https://t.co/0Ey3mDSyIB"
SenatorTimScott,2023-10-19 18:02:22+00:00,Enjoyed meeting with the Carolinas Credit Union League! https://t.co/WNbXuttyTY
SenatorTimScott,2023-10-19 16:07:29+00:00,"From Harvard to Columbia, Americans have watched our institutions of higher learning turn into hotbeds of antisemitism. I'm fighting to cut federal funding to any university that enables, excuses or provides cover for blatant and outrageous antisemitism.
https://t.co/uFaUhyHlxj"
SenatorTimScott,2023-10-19 15:00:02+00:00,"If you take out a loan, you pay it back. 

The Biden administration’s efforts to circumvent Congress and, effectively, secretly forgive even more COVID loans is not only unacceptable, but unconstitutional.
https://t.co/iU82PMX7eK"
SenatorTimScott,2023-10-19 00:48:52+00:00,"This afternoon, I stood on the Senate floor to condemn the antisemitism sweeping our world and stand up for the Jewish people's right to exist. 

America's heart is too big for bigotry. https://t.co/vfpW2Hcgd4"
SenatorTimScott,2023-10-19 00:00:00+00:00,"Israel isn’t just fighting Hamas-it's facing a war of misinformation. False narratives, like Hamas' Gaza hospital bombing, threaten the Jewish community.

At today’s @SenateForeign hearing, I encouraged the media to wait for the facts instead of promoting terrorists' messaging. https://t.co/tgCSbC7xFX"
SenatorTimScott,2023-10-18 22:52:51+00:00,"My bill, the Revoke Iranian Funding Act, requires the Treasury Secretary to report all of Iran’s assets so we can hit them where it hurts the most – their wallet.
 
They must pay for what they have done – period. https://t.co/NNpvLh65tg"
SenatorTimScott,2023-10-18 17:13:03+00:00,"RT @Hamas couldn’t have planned or carried out its attack against Israel without support from Iran, the world’s number one state sponsor of terrorism. This week, I joined @SenatorTimScott to introduce the Revoke Iranian Funding Act."
SenatorFischer,2023-10-18 01:12:44+00:00,"Hamas couldn’t have planned or carried out its attack against Israel without support from Iran, the world’s number one state sponsor of terrorism. This week, I joined @SenatorTimScott to introduce the Revoke Iranian Funding Act."
SenatorTimScott,2023-10-18 17:13:01+00:00,"RT @Our bill will halt efforts to provide billions of dollars to Iran. It will also increase transparency by providing Congress with more information about Iran’s high-value assets around the world that are currently subject to U.S. sanctions.
https://t.co/sgXEgQXg5K"
SenatorFischer,2023-10-18 01:12:44+00:00,"Our bill will halt efforts to provide billions of dollars to Iran. It will also increase transparency by providing Congress with more information about Iran’s high-value assets around the world that are currently subject to U.S. sanctions.
https://t.co/sgXEgQXg5K"
SenatorTimScott,2023-10-18 00:38:15+00:00,"RT @Congress needs to act to:

1) Permanently freeze the $6 billion of Iranian assets
2) Take further steps to ensure the regime is denied its sanctioned assets

@SenatorTimScott’s bill does exactly that.

WATCH on @FoxBusiness: https://t.co/T7qAuw1aCx"
BankingGOP,2023-10-18 00:14:50+00:00,"Congress needs to act to:

1) Permanently freeze the $6 billion of Iranian assets
2) Take further steps to ensure the regime is denied its sanctioned assets

@SenatorTimScott’s bill does exactly that.

WATCH on @FoxBusiness: https://t.co/T7qAuw1aCx"
WhiteHouse,2023-10-05 18:30:00+00:00,Guess what? It also grows the economy. Benefits everybody. Hurts nobody.
SenatorTimScott,2023-10-05 20:35:07+00:00,Praying for the family and friends of 23-year-old Deputy Jacob Salrin who died on duty in a fatal crash. This is an incredible loss for the @RCSD and the Salrin family. Grieving with them as they navigate this heartbreaking time.
CurtisWilson275,2023-10-05 18:15:06+00:00,Saying farewell to Deputy Jacob Salrin affectionately known as Jake 🙏🏽 #RichlandCountySheriff @RCSD #fallenangel #lawenforcement #policeofficers #deputysheriff #OPLive #onpatrollive https://t.co/Jgl7u5LCsq
SenatorTimScott,2023-10-05 17:30:00+00:00,"I still remember two teachers, Mrs. Lynch and Mrs. Greenberg, who changed my life. On World Teachers Day, I’m thankful for teachers like them whose dedication unlocks a world of endless possibility for kids. https://t.co/U9M8S0oVNP"
SenatorTimScott,2023-10-05 15:03:53+00:00,"Restricting oil production makes gas prices go up. The President’s failure to grasp this simple reality is hurting the American people.
https://t.co/ZYuKJb61qp"
SenatorTimScott,2023-10-06 00:34:30+00:00,"If by “nobody” President Biden means the 87% of Americans without student debt who are now forced to pay off loans they didn't take out...
 
Middle-class Americans are already struggling to fill up their tanks and keep the lights on.

If you take out a loan, you pay it back."
