username,orario,text
amyewalter,2023-10-19 15:53:04+00:00,"1994-1998: Gingrich Revolution; 2000-2008: The Great Detente, Establishment Reigns; 2010-2013: Rise of Tea Party; 2014-15: Return of Establishment; 2016-Present: Trump/MAGA Takeover"
CookPolitical,2023-10-18 21:04:44+00:00,"The current House chaos is part of a longer trajectory — one in which the so-called establishment has been gradually and effectively undermined for the last 30 years.

Don't miss @amyewalter's latest column: https://t.co/ohXQvcrJu3"
amyewalter,2023-10-18 21:22:45+00:00,"Donald Trump and his allies in Congress are just the latest set of rebels, who, over the course of the last 30 years, have been able to diminish and marginalize the traditionalists and institutionalists in the Republican Party. 

https://t.co/3kFX5aXZW2"
amyewalter,2023-10-18 21:22:46+00:00,"After every ‘rebellion” period (Gingrich in ‘94, Tea Party in ‘10/‘12), the establishment forces convince themselves they’ve gotten back in control of the party. But, then another disruptive, anti-institutional force emerges. 

https://t.co/3kFX5aXZW2"
amyewalter,2023-10-05 21:48:39+00:00,"“In deciding to run as an independent, the West campaign leaves behind ballot lines they would have had access to, as well as guidance …of Green volunteers familiar with the process in most of the 50 states. We expect this will be a formidable obstacle in the coming months.”"
DrJillStein,2023-10-05 19:23:18+00:00,"BREAKING - Stein & Baraka wish Dr. West well, affirm support for a strong Green campaign

Boston - Jill Stein and Ajamu Baraka, previously advisors to the West campaign, today wished Cornel West well in his upcoming independent presidential campaign, in the following joint statement:

“As colleagues who helped persuade Dr. West to pursue the Green nomination, we appreciate the good faith effort he has made over the past four months. Running solo, however, may better suit his long standing role as a fiercely independent voice of moral authority. While we share Dr. West’s formidable commitment to peace and justice, we are respectfully parting ways at this juncture, as we are committed to building an independent people-powered party as an indispensable vehicle for challenging empire and oligarchy for the long haul.

“In light of Dr. West’s decision to run independently, we are in discussion with several former candidates about potentially entering the race to carry the Green Party’s anti-war, pro-worker, climate emergency agenda into this critical election.

“With the Democratic Party now leading the charge for war and censorship, betraying workers on the rail strike and dropping the $15 dollar minimum wage, outdoing Trump in new fossil fuel projects on public lands, and voluntarily resuming crushing student debt payments when people are barely scraping by paycheck to paycheck – for all these reasons and more, we need an independent, corporate-free people's party more than ever.

“In deciding to run as an independent, the West campaign leaves behind the ballot lines they would have had access to, as well as the guidance of experienced ballot access staff and Green volunteers familiar with the process in most of the 50 states. We expect this will be a formidable obstacle in the coming months.

“Though Dr. West won’t be running with our team, he is offering an inspired, courageous example to voters and candidates alike. We believe he is making an immeasurable contribution to the 2024 election, and for that we are deeply grateful. Given our similar visions and agendas, we will continue to look for synergy on the road ahead.”"
amyewalter,2023-10-05 18:00:11+00:00,Yep. That’s how Tom DeLay and Davis kept House in GOP hands w/ an equally small majority back in 2000.
jmart,2023-10-05 16:01:15+00:00,"“We ran our caucus to basically support members in swing districts. That’s how we got power,” said Tom Davis, the former Northern Virginia lawmaker.” Today, they run the caucus now to protect members from R+30 districts to protect them in primaries.” https://t.co/BGitzO7fFd"
amyewalter,2023-10-05 14:08:14+00:00,"Why it pays to subscribe to @CookPolitical? This excellent analysis of what the ouster of McCarthy means for ‘24 House R’s from fundraising challenges to potential retirements from @Redistrict . 

https://t.co/BPCVE9fCCS"
amyewalter,2023-09-29 05:12:31+00:00,"Even if this were to succeed, the Senate is still held by Dems and there’s a Dem in the WH. What exactly would the “new” Speaker be able to deliver?"
RachelVanD,2023-09-29 04:36:23+00:00,This is giving serious 1997 coup Gingrich coup vibes  https://t.co/d4PETyuwzV
amyewalter,2023-09-25 14:15:17+00:00,Winning 25% of R’s is hard. Winning 60-70% of Indie voters. REALLY hard.
sahilkapur,2023-09-25 13:24:26+00:00,"SCOOP: Kyrsten Sinema is quietly pitching donors on a “path to victory” as an independent Senate candidate in 2024.

A 2-page prospectus maps out how she “Will Win Arizona”—with a larger share of GOP voters than Dems.

Clear she’s actively weighing a run.

https://t.co/zoaijjWmKy"
amyewalter,2023-09-23 21:07:34+00:00,"RT @After calls to resign, Senator Menendez said “I am not going anywhere.” As a result, I feel compelled to run against him. Not something I expected to do, but NJ deserves better. We cannot jeopardize the Senate or compromise our integrity. Please join me:
https://t.co/QFIaMsgJc9"
