username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
marwilliamson,2023-09-20 07:06:35+00:00,5,Border/community/family,0.5296066,negative,0.8960690498352051,"{'negative': 0.8960690498352051, 'neutral': 0.09828337281942368, 'positive': 0.005647573154419661}",anger,0.4139865636825561,"{'anger': 0.41398656368255615, 'disgust': 0.33047550916671753, 'fear': 0.11825382709503174, 'anticipation': 0.05051051452755928, 'optimism': 0.03638354316353798, 'pessimism': 0.026244450360536575, 'sadness': 0.012883896939456463, 'trust': 0.006356729194521904, 'surprise': 0.0034121659118682146, 'joy': 0.001010119216516614, 'love': 0.0004826510266866535}",not-hate,0.9630734920501708,"{'not-hate': 0.9630734920501709, 'hate': 0.03692648559808731}",non-offensive,0.5619856715202332,"{'non-offensive': 0.5619856715202332, 'offensive': 0.4380143880844116}",1.0,American/economics/health,0.20938791,"If we don’t teach our children what fascists have done, we’re increasing the probability they’ll be doing it again. https://t.co/XQwuKiluhJ",teach child fascist increasing probability,"[('probability', [5]), ('child', [5, 1]), ('teach', [5]), ('increasing', [1, 5]), ('fascist', [2, 5])]","[('probability', ['Border/community/family']), ('child', ['Border/community/family', 'American/economics/health']), ('teach', ['Border/community/family']), ('increasing', ['American/economics/health', 'Border/community/family']), ('fascist', ['War', 'Border/community/family'])]"
marwilliamson,2023-10-06 06:55:20+00:00,5,Border/community/family,0.5585568,negative,0.8425866365432739,"{'negative': 0.8425866365432739, 'neutral': 0.1489512026309967, 'positive': 0.008462111465632915}",anger,0.6080209612846375,"{'anger': 0.6080209612846375, 'disgust': 0.37714827060699463, 'fear': 0.004767834674566984, 'sadness': 0.004565333016216755, 'pessimism': 0.0023216723930090666, 'anticipation': 0.0017608683556318283, 'surprise': 0.0006132532726041973, 'optimism': 0.0004280032590031624, 'trust': 0.00016252469504252076, 'joy': 0.00015616408200003207, 'love': 5.500480983755551e-05}",not-hate,0.9954749941825868,"{'not-hate': 0.9954749941825867, 'hate': 0.004525043535977602}",non-offensive,0.6178121566772461,"{'non-offensive': 0.6178121566772461, 'offensive': 0.38218778371810913}",4.0,Republicans vs democrats,0.21721989,"The president continuing to build the wall on the Southern border is a betrayal of a campaign promise. It's also a desperate bid for approval by the border hardliners who want a president to be ""tough on the border.""",president continuing build wall southern border betrayal campaign promise desperate bid approval border hardliner want president tough border,"[('wall', [5, 4]), ('president', [5, 4]), ('border', [5, 4]), ('build', [5, 6]), ('tough', [5, 6]), ('southern', [5, 4]), ('want', [4, 5]), ('campaign', [6, 4]), ('desperate', [4]), ('promise', [5, 4]), ('continuing', [5, 4]), ('bid', [6, 5]), ('hardliner', [5]), ('approval', [4, 6]), ('betrayal', [6])]","[('wall', ['Border/community/family', 'Republicans vs democrats']), ('president', ['Border/community/family', 'Republicans vs democrats']), ('border', ['Border/community/family', 'Republicans vs democrats']), ('build', ['Border/community/family', 'Election/debate']), ('tough', ['Border/community/family', 'Election/debate']), ('southern', ['Border/community/family', 'Republicans vs democrats']), ('want', ['Republicans vs democrats', 'Border/community/family']), ('campaign', ['Election/debate', 'Republicans vs democrats']), ('desperate', ['Republicans vs democrats']), ('promise', ['Border/community/family', 'Republicans vs democrats']), ('continuing', ['Border/community/family', 'Republicans vs democrats']), ('bid', ['Election/debate', 'Border/community/family']), ('hardliner', ['Border/community/family']), ('approval', ['Republicans vs democrats', 'Election/debate']), ('betrayal', ['Election/debate'])]"
marwilliamson,2023-09-14 01:01:57+00:00,5,Border/community/family,0.41520658,negative,0.889202356338501,"{'negative': 0.889202356338501, 'neutral': 0.10289201885461807, 'positive': 0.007905521430075169}",anger,0.6640433669090271,"{'anger': 0.6640433669090271, 'disgust': 0.3269563913345337, 'fear': 0.0033081225119531155, 'sadness': 0.0016847883816808462, 'anticipation': 0.0012016795808449388, 'pessimism': 0.0009537141886539757, 'surprise': 0.0008030185708776116, 'optimism': 0.00048000284004956484, 'joy': 0.0002956317621283233, 'trust': 0.00018515756528358907, 'love': 8.809443534119055e-05}",not-hate,0.9906346201896667,"{'not-hate': 0.9906346201896667, 'hate': 0.009365356527268887}",offensive,0.7241926789283752,"{'offensive': 0.7241926789283752, 'non-offensive': 0.27580732107162476}",2.0,War,0.32057744,"To the elite who run the world, I have one question: What the hell do you expect these kids to do? Have their leaders shown up for them? Have the institutions set up to protect them provided for them? Not even remotely. Yet you are going to criminalize their protesting the actual criminals? 100 years from now, these kids will be seen as the heroes.",elite run world question hell expect kid leader shown institution set protect provided remotely going criminalize protesting actual criminal year kid seen hero,"[('seen', [2, 6]), ('world', [5, 2]), ('year', [5, 2]), ('provided', [5, 8]), ('question', [6, 2]), ('going', [2, 6]), ('criminal', [2, 5]), ('kid', [5, 2]), ('run', [2, 6]), ('hero', [5, 2]), ('protect', [5, 8]), ('elite', [2, 6]), ('set', [5, 6]), ('leader', [5, 2]), ('hell', [2, 6]), ('shown', [5, 2]), ('expect', [2, 6]), ('actual', [2, 5]), ('protesting', [5]), ('institution', [2, 5]), ('criminalize', [8]), ('remotely', [6])]","[('seen', ['War', 'Election/debate']), ('world', ['Border/community/family', 'War']), ('year', ['Border/community/family', 'War']), ('provided', ['Border/community/family', 'Infrastructure/job/energy']), ('question', ['Election/debate', 'War']), ('going', ['War', 'Election/debate']), ('criminal', ['War', 'Border/community/family']), ('kid', ['Border/community/family', 'War']), ('run', ['War', 'Election/debate']), ('hero', ['Border/community/family', 'War']), ('protect', ['Border/community/family', 'Infrastructure/job/energy']), ('elite', ['War', 'Election/debate']), ('set', ['Border/community/family', 'Election/debate']), ('leader', ['Border/community/family', 'War']), ('hell', ['War', 'Election/debate']), ('shown', ['Border/community/family', 'War']), ('expect', ['War', 'Election/debate']), ('actual', ['War', 'Border/community/family']), ('protesting', ['Border/community/family']), ('institution', ['War', 'Border/community/family']), ('criminalize', ['Infrastructure/job/energy']), ('remotely', ['Election/debate'])]"
marwilliamson,2023-09-13 09:44:47+00:00,5,Border/community/family,0.5207554,negative,0.9241507649421692,"{'negative': 0.9241507649421692, 'neutral': 0.06866390258073807, 'positive': 0.007185314781963825}",anger,0.7759361267089844,"{'anger': 0.7759361267089844, 'disgust': 0.21999362111091614, 'sadness': 0.0015082038007676601, 'fear': 0.000752005260437727, 'anticipation': 0.0004509039572440088, 'pessimism': 0.0004460011259652674, 'surprise': 0.00028209571610204875, 'joy': 0.00027486516046337783, 'optimism': 0.00018212851136922836, 'trust': 9.718524961499497e-05, 'love': 7.688703772146255e-05}",not-hate,0.9956924319267272,"{'not-hate': 0.9956924319267273, 'hate': 0.004307550378143787}",non-offensive,0.7279165387153625,"{'non-offensive': 0.7279165387153625, 'offensive': 0.2720834016799927}",3.0,News/radio/livestream,0.35410666,"Seattle, get on it. This man should never ever be a police officer in Seattle or anywhere.",seattle man police officer seattle,"[('officer', [5]), ('police', [5]), ('man', [5]), ('seattle', [3])]","[('officer', ['Border/community/family']), ('police', ['Border/community/family']), ('man', ['Border/community/family']), ('seattle', ['News/radio/livestream'])]"
marwilliamson,2023-08-20 06:08:40+00:00,5,Border/community/family,0.5343589,neutral,0.5041851997375488,"{'neutral': 0.5041851997375488, 'negative': 0.28978875279426575, 'positive': 0.20602601766586304}",anger,0.5276063680648804,"{'anger': 0.5276063680648804, 'optimism': 0.3188547194004059, 'disgust': 0.07678237557411194, 'joy': 0.042623039335012436, 'trust': 0.009177587926387787, 'sadness': 0.0062827966175973415, 'anticipation': 0.00619897898286581, 'fear': 0.004263324663043022, 'love': 0.0038389412220567465, 'pessimism': 0.003426804905757308, 'surprise': 0.0009451620280742645}",not-hate,0.9948517680168152,"{'not-hate': 0.9948517680168152, 'hate': 0.005148283671587706}",non-offensive,0.5863716006278992,"{'non-offensive': 0.5863716006278992, 'offensive': 0.41362839937210083}",2.0,War,0.35236228,"It should not be considered an act of bravery to fly a pride flag; it should simply be considered an act of freedom. Whoever thinks you own America - that everyone has to think or act the way that you do, or *else* - know this: we are going to overwhelm your hate with love. For Lauri Carelton - an artist, and a mother - we will continue to honor this flag with pride. You who killed her desecrate the very idea of America. We who honor her uphold it. https://t.co/YCF21DPbEH",considered act bravery fly pride flag simply considered act freedom think america think act way know going overwhelm hate love lauri carelton artist mother continue honor flag pride killed desecrate idea america honor uphold,"[('freedom', [5, 2]), ('know', [2, 5]), ('way', [5, 2]), ('hate', [2, 5]), ('america', [5, 2]), ('killed', [5, 2]), ('going', [2, 5]), ('think', [2, 5]), ('idea', [2, 5]), ('act', [1, 5]), ('love', [5, 2]), ('honor', [5]), ('continue', [5, 1]), ('flag', [5, 2]), ('fly', [2, 1]), ('simply', [2, 5]), ('mother', [5, 2]), ('considered', [2, 1]), ('artist', [5, 2]), ('pride', [5]), ('bravery', [5]), ('uphold', [5]), ('carelton', [2, 5]), ('desecrate', [2, 5]), ('lauri', [2, 5]), ('overwhelm', [2])]","[('freedom', ['Border/community/family', 'War']), ('know', ['War', 'Border/community/family']), ('way', ['Border/community/family', 'War']), ('hate', ['War', 'Border/community/family']), ('america', ['Border/community/family', 'War']), ('killed', ['Border/community/family', 'War']), ('going', ['War', 'Border/community/family']), ('think', ['War', 'Border/community/family']), ('idea', ['War', 'Border/community/family']), ('act', ['American/economics/health', 'Border/community/family']), ('love', ['Border/community/family', 'War']), ('honor', ['Border/community/family']), ('continue', ['Border/community/family', 'American/economics/health']), ('flag', ['Border/community/family', 'War']), ('fly', ['War', 'American/economics/health']), ('simply', ['War', 'Border/community/family']), ('mother', ['Border/community/family', 'War']), ('considered', ['War', 'American/economics/health']), ('artist', ['Border/community/family', 'War']), ('pride', ['Border/community/family']), ('bravery', ['Border/community/family']), ('uphold', ['Border/community/family']), ('carelton', ['War', 'Border/community/family']), ('desecrate', ['War', 'Border/community/family']), ('lauri', ['War', 'Border/community/family']), ('overwhelm', ['War'])]"
marwilliamson,2023-06-25 11:16:32+00:00,5,Border/community/family,0.3849948,negative,0.8813164830207825,"{'negative': 0.8813164830207825, 'neutral': 0.11190824210643768, 'positive': 0.006775290705263615}",anger,0.7410872578620911,"{'anger': 0.7410872578620911, 'disgust': 0.21302072703838348, 'fear': 0.023011600598692894, 'optimism': 0.007905503734946251, 'sadness': 0.004900543950498104, 'pessimism': 0.0048088510520756245, 'anticipation': 0.0029949224554002285, 'trust': 0.001213144394569099, 'surprise': 0.00048042027628980577, 'joy': 0.00035156900412403047, 'love': 0.0002254441351396963}",not-hate,0.9972780346870422,"{'not-hate': 0.9972780346870422, 'hate': 0.0027220104821026325}",non-offensive,0.51739901304245,"{'non-offensive': 0.51739901304245, 'offensive': 0.48260101675987244}",2.0,War,0.2889558,"Antisemitism such as this, violent white supremacy and virulent misogyny do not go way; they’re just temporarily driven underground in certain times and places. Ignored and unchecked, all of them are deadly phenomena. Whenever and wherever we see them, we should stand up and challenge them in whatever possible way.",antisemitism violent white supremacy virulent misogyny way temporarily driven underground certain time place ignored unchecked deadly phenomenon stand challenge possible way,"[('way', [5, 2]), ('antisemitism', [7]), ('violent', [2, 5]), ('ignored', [5, 1]), ('time', [5, 2]), ('place', [5, 2]), ('white', [5, 2]), ('possible', [5, 1]), ('challenge', [5, 1]), ('stand', [5, 2]), ('certain', [2, 1]), ('supremacy', [2]), ('deadly', [5, 1]), ('driven', [1, 2]), ('phenomenon', [5]), ('virulent', [2, 5]), ('temporarily', [5, 7]), ('unchecked', [2, 1]), ('underground', [1]), ('misogyny', [7])]","[('way', ['Border/community/family', 'War']), ('antisemitism', ['Abortion/rights/guns']), ('violent', ['War', 'Border/community/family']), ('ignored', ['Border/community/family', 'American/economics/health']), ('time', ['Border/community/family', 'War']), ('place', ['Border/community/family', 'War']), ('white', ['Border/community/family', 'War']), ('possible', ['Border/community/family', 'American/economics/health']), ('challenge', ['Border/community/family', 'American/economics/health']), ('stand', ['Border/community/family', 'War']), ('certain', ['War', 'American/economics/health']), ('supremacy', ['War']), ('deadly', ['Border/community/family', 'American/economics/health']), ('driven', ['American/economics/health', 'War']), ('phenomenon', ['Border/community/family']), ('virulent', ['War', 'Border/community/family']), ('temporarily', ['Border/community/family', 'Abortion/rights/guns']), ('unchecked', ['War', 'American/economics/health']), ('underground', ['American/economics/health']), ('misogyny', ['Abortion/rights/guns'])]"
marwilliamson,2023-06-29 17:16:39+00:00,5,Border/community/family,0.56544685,negative,0.8262799978256226,"{'negative': 0.8262799978256226, 'neutral': 0.16284196078777313, 'positive': 0.010877976194024086}",anger,0.3345722556114197,"{'anger': 0.3345722556114197, 'optimism': 0.28516367077827454, 'disgust': 0.19239595532417297, 'pessimism': 0.050119299441576004, 'sadness': 0.042049843817949295, 'fear': 0.03622397780418396, 'anticipation': 0.03478752821683884, 'trust': 0.01810726895928383, 'surprise': 0.0028480885084718466, 'joy': 0.002422444522380829, 'love': 0.0013096753973513842}",not-hate,0.9984838366508484,"{'not-hate': 0.9984838366508484, 'hate': 0.0015161356423050165}",non-offensive,0.761333703994751,"{'non-offensive': 0.761333703994751, 'offensive': 0.23866622149944305}",2.0,War,0.15124553,"Systemic racism begins in early childhood in the United States, and dealing with it there is how we will override the deepening racial injustices only exacerbated by today’s decision. Unequal opportunity in childhood education is where the problem begins and where we will ultimately solve it. 2/2",systemic racism begin early childhood united state dealing override deepening racial injustice exacerbated today decision unequal opportunity childhood education problem begin ultimately solve,"[('state', [5, 7]), ('today', [5, 7]), ('united', [5, 2]), ('decision', [7, 5]), ('problem', [5, 4]), ('solve', [5, 4]), ('opportunity', [5, 7]), ('dealing', [4, 5]), ('education', [5, 4]), ('racism', [2]), ('begin', [5, 2]), ('early', [5, 4]), ('childhood', [5]), ('racial', [7, 2]), ('ultimately', [4]), ('systemic', [2]), ('injustice', [2, 5]), ('unequal', [5]), ('exacerbated', [5]), ('override', [7]), ('deepening', [5])]","[('state', ['Border/community/family', 'Abortion/rights/guns']), ('today', ['Border/community/family', 'Abortion/rights/guns']), ('united', ['Border/community/family', 'War']), ('decision', ['Abortion/rights/guns', 'Border/community/family']), ('problem', ['Border/community/family', 'Republicans vs democrats']), ('solve', ['Border/community/family', 'Republicans vs democrats']), ('opportunity', ['Border/community/family', 'Abortion/rights/guns']), ('dealing', ['Republicans vs democrats', 'Border/community/family']), ('education', ['Border/community/family', 'Republicans vs democrats']), ('racism', ['War']), ('begin', ['Border/community/family', 'War']), ('early', ['Border/community/family', 'Republicans vs democrats']), ('childhood', ['Border/community/family']), ('racial', ['Abortion/rights/guns', 'War']), ('ultimately', ['Republicans vs democrats']), ('systemic', ['War']), ('injustice', ['War', 'Border/community/family']), ('unequal', ['Border/community/family']), ('exacerbated', ['Border/community/family']), ('override', ['Abortion/rights/guns']), ('deepening', ['Border/community/family'])]"
marwilliamson,2023-08-03 08:50:30+00:00,5,Border/community/family,0.24162069,negative,0.7544982433319092,"{'negative': 0.7544982433319092, 'neutral': 0.22292612493038177, 'positive': 0.02257569320499897}",anger,0.4003860354423523,"{'anger': 0.4003860354423523, 'optimism': 0.3928173780441284, 'disgust': 0.08356767892837524, 'anticipation': 0.05445520579814911, 'trust': 0.02832188457250595, 'pessimism': 0.013480634428560734, 'fear': 0.012971575371921062, 'sadness': 0.005993806291371584, 'joy': 0.004352727439254522, 'surprise': 0.0023310452233999968, 'love': 0.0013219708343967795}",not-hate,0.9976515173912048,"{'not-hate': 0.9976515173912048, 'hate': 0.002348506823182106}",non-offensive,0.733327329158783,"{'non-offensive': 0.733327329158783, 'offensive': 0.26667267084121704}",2.0,War,0.24123809,"If this had been even five years ago I would have thought, ""Well, maybe this is bit much."" But at this point I think we should expect this kind of civil disobedience...and if we don't listen to these kids now, the disturbances produced by their frustration will get much worse. There's a lot of bravery in what they're doing and I respect it. They are right to think officialdom is ignoring the pleas of their generation, because it is.",year ago thought maybe bit point think expect kind civil disobedience listen kid disturbance produced frustration worse lot bravery respect right think officialdom ignoring plea generation,"[('year', [5, 6]), ('thought', [5, 6]), ('think', [2, 6]), ('lot', [6, 2]), ('right', [7, 2]), ('point', [6, 2]), ('ago', [5, 7]), ('maybe', [6, 2]), ('civil', [7, 2]), ('bit', [6, 2]), ('kid', [5, 2]), ('worse', [2, 4]), ('respect', [7, 5]), ('generation', [5, 7]), ('ignoring', [2, 4]), ('plea', [4]), ('expect', [2, 6]), ('kind', [2, 6]), ('listen', [6, 2]), ('disobedience', [7]), ('produced', [6]), ('frustration', [2, 6]), ('bravery', [5]), ('disturbance', [5]), ('officialdom', [2, 5])]","[('year', ['Border/community/family', 'Election/debate']), ('thought', ['Border/community/family', 'Election/debate']), ('think', ['War', 'Election/debate']), ('lot', ['Election/debate', 'War']), ('right', ['Abortion/rights/guns', 'War']), ('point', ['Election/debate', 'War']), ('ago', ['Border/community/family', 'Abortion/rights/guns']), ('maybe', ['Election/debate', 'War']), ('civil', ['Abortion/rights/guns', 'War']), ('bit', ['Election/debate', 'War']), ('kid', ['Border/community/family', 'War']), ('worse', ['War', 'Republicans vs democrats']), ('respect', ['Abortion/rights/guns', 'Border/community/family']), ('generation', ['Border/community/family', 'Abortion/rights/guns']), ('ignoring', ['War', 'Republicans vs democrats']), ('plea', ['Republicans vs democrats']), ('expect', ['War', 'Election/debate']), ('kind', ['War', 'Election/debate']), ('listen', ['Election/debate', 'War']), ('disobedience', ['Abortion/rights/guns']), ('produced', ['Election/debate']), ('frustration', ['War', 'Election/debate']), ('bravery', ['Border/community/family']), ('disturbance', ['Border/community/family']), ('officialdom', ['War', 'Border/community/family'])]"
marwilliamson,2023-08-09 04:51:49+00:00,5,Border/community/family,0.7808885,negative,0.9206949472427368,"{'negative': 0.9206949472427368, 'neutral': 0.07120838016271591, 'positive': 0.008096695877611637}",anger,0.61640864610672,"{'anger': 0.61640864610672, 'disgust': 0.3710891008377075, 'sadness': 0.008683689869940281, 'fear': 0.0018810107139870524, 'pessimism': 0.00095444789621979, 'anticipation': 0.0003108865348622203, 'surprise': 0.00026370634441263974, 'joy': 0.00015398631512653083, 'optimism': 0.0001007044265861623, 'love': 8.047277515288442e-05, 'trust': 7.324299804167822e-05}",hate,0.6101943850517273,"{'hate': 0.6101943850517273, 'not-hate': 0.3898056447505951}",offensive,0.6364043951034546,"{'offensive': 0.6364043951034546, 'non-offensive': 0.363595575094223}",2.0,War,0.031476103,"Disgusting, immoral and illegal. @GregAbbott_TX",disgusting immoral illegal,"[('illegal', [5]), ('disgusting', [5]), ('immoral', [5])]","[('illegal', ['Border/community/family']), ('disgusting', ['Border/community/family']), ('immoral', ['Border/community/family'])]"
marwilliamson,2023-08-09 16:13:39+00:00,5,Border/community/family,0.9202808,negative,0.8294774889945984,"{'negative': 0.8294774889945984, 'neutral': 0.1586734801530838, 'positive': 0.011849019676446915}",anger,0.6307907700538635,"{'anger': 0.6307907700538635, 'disgust': 0.3183629512786865, 'sadness': 0.013112286105751991, 'optimism': 0.012574080377817154, 'anticipation': 0.0106780044734478, 'pessimism': 0.007288533262908459, 'joy': 0.003654265543445945, 'surprise': 0.0011609726352617145, 'trust': 0.0011166839394718409, 'fear': 0.001019784016534686, 'love': 0.00024168597883544862}",not-hate,0.9760938286781312,"{'not-hate': 0.9760938286781311, 'hate': 0.023906199261546135}",non-offensive,0.6188443899154663,"{'non-offensive': 0.6188443899154663, 'offensive': 0.3811556398868561}",1.0,American/economics/health,0.011404026,TEENAGERS SHOULD NOT BE WORKING IN A MEAT PACKING PLANT. We need a mother in the White House and you can take that however you want.,teenager working meat packing plant need mother white house want,"[('house', [5]), ('need', [5]), ('working', [5]), ('white', [5]), ('want', [5]), ('meat', [5]), ('mother', [5]), ('teenager', [5]), ('plant', [5]), ('packing', [5])]","[('house', ['Border/community/family']), ('need', ['Border/community/family']), ('working', ['Border/community/family']), ('white', ['Border/community/family']), ('want', ['Border/community/family']), ('meat', ['Border/community/family']), ('mother', ['Border/community/family']), ('teenager', ['Border/community/family']), ('plant', ['Border/community/family']), ('packing', ['Border/community/family'])]"
