username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
NikkiHaley,2023-09-29 00:33:45+00:00,1,American/economics/health,0.56756574,positive,0.9464718103408812,"{'positive': 0.9464718103408813, 'neutral': 0.04539552330970764, 'negative': 0.00813269056379795}",anger,0.5605298280715942,"{'anger': 0.5605298280715942, 'disgust': 0.20279203355312347, 'optimism': 0.10095150768756866, 'joy': 0.09427071362733841, 'anticipation': 0.019571764394640923, 'sadness': 0.006709716282784939, 'trust': 0.004693228751420975, 'pessimism': 0.004374877084046602, 'surprise': 0.003286027582362294, 'love': 0.0014991515781730413, 'fear': 0.0013211527839303017}",not-hate,0.9962403774261476,"{'not-hate': 0.9962403774261475, 'hate': 0.003759654937312007}",non-offensive,0.9026926159858704,"{'non-offensive': 0.9026926159858704, 'offensive': 0.09730732440948486}",6.0,Election/debate,0.37874967,"This is a great idea, Senator! And that's why I mentioned it during last night's GOP debate and why I unveiled it as part of #TheFreedomPlan. If Congress won't do its job and pass a budget they shouldn't get paid. #NoBudgetNoPay",great idea senator mentioned night  gop debate unveiled congress job pas budget paid,"[('job', [1, 6]), ('congress', [1, 6]), ('idea', [6, 1]), ('senator', [6, 1]), ('paid', [1, 6]), ('debate', [6, 1]), ('gop', [6, 1]), ('great', [6, 1]), ('night', [6]), ('pas', [1, 6]), ('unveiled', [1]), ('budget', [1, 6]), ('mentioned', [1])]","[('job', ['American/economics/health', 'Election/debate']), ('congress', ['American/economics/health', 'Election/debate']), ('idea', ['Election/debate', 'American/economics/health']), ('senator', ['Election/debate', 'American/economics/health']), ('paid', ['American/economics/health', 'Election/debate']), ('debate', ['Election/debate', 'American/economics/health']), ('gop', ['Election/debate', 'American/economics/health']), ('great', ['Election/debate', 'American/economics/health']), ('night', ['Election/debate']), ('pas', ['American/economics/health', 'Election/debate']), ('unveiled', ['American/economics/health']), ('budget', ['American/economics/health', 'Election/debate']), ('mentioned', ['American/economics/health'])]"
NikkiHaley,2023-09-28 17:28:39+00:00,1,American/economics/health,0.8905885,negative,0.8802543878555298,"{'negative': 0.8802543878555298, 'neutral': 0.1120615229010582, 'positive': 0.007684046868234873}",anger,0.5677455067634583,"{'anger': 0.5677455067634583, 'disgust': 0.39922454953193665, 'sadness': 0.026944579556584358, 'pessimism': 0.0033881203271448612, 'anticipation': 0.000863068038597703, 'fear': 0.0006517709116451442, 'surprise': 0.0003759135724976659, 'joy': 0.0003502850595396012, 'optimism': 0.0002571838558651507, 'trust': 0.00011482836271170527, 'love': 8.416106720687822e-05}",not-hate,0.9913753867149352,"{'not-hate': 0.9913753867149353, 'hate': 0.008624602109193802}",non-offensive,0.7689171433448792,"{'non-offensive': 0.7689171433448792, 'offensive': 0.23108287155628204}",8.0,Infrastructure/job/energy,0.015638208,"If Congress won't do its job and pass a budget they shouldn't get paid. No budget, no pay. https://t.co/BqnLHPvWvD",congress job pas budget paid budget pay,"[('job', [1]), ('congress', [1]), ('paid', [1]), ('pay', [1]), ('pas', [1]), ('budget', [1])]","[('job', ['American/economics/health']), ('congress', ['American/economics/health']), ('paid', ['American/economics/health']), ('pay', ['American/economics/health']), ('pas', ['American/economics/health']), ('budget', ['American/economics/health'])]"
NikkiHaley,2023-10-18 04:13:05+00:00,1,American/economics/health,0.5515736,neutral,0.6213533282279968,"{'neutral': 0.6213533282279968, 'positive': 0.2826616168022156, 'negative': 0.095985047519207}",anger,0.4249232411384582,"{'anger': 0.42492324113845825, 'optimism': 0.24496251344680786, 'disgust': 0.11907554417848587, 'anticipation': 0.09647931903600693, 'fear': 0.044891346246004105, 'trust': 0.029947994276881218, 'joy': 0.0152975432574749, 'pessimism': 0.010800228454172611, 'sadness': 0.0057671512477099895, 'surprise': 0.004809336271136999, 'love': 0.0030458185356110334}",hate,0.8658029437065125,"{'hate': 0.8658029437065125, 'not-hate': 0.13419704139232635}",non-offensive,0.8081871867179871,"{'non-offensive': 0.8081871867179871, 'offensive': 0.19181279838085175}",2.0,War,0.35456556,Support Israel. Eliminate Hamas. Bring Americans Home. https://t.co/5rM63L8SBu,support israel eliminate hamas bring american home,"[('american', [1, 2]), ('support', [1, 2]), ('israel', [2]), ('hamas', [2]), ('home', [1, 2]), ('bring', [1, 2]), ('eliminate', [1, 2])]","[('american', ['American/economics/health', 'War']), ('support', ['American/economics/health', 'War']), ('israel', ['War']), ('hamas', ['War']), ('home', ['American/economics/health', 'War']), ('bring', ['American/economics/health', 'War']), ('eliminate', ['American/economics/health', 'War'])]"
NikkiHaley,2023-09-22 19:55:26+00:00,1,American/economics/health,0.9124152,negative,0.7367230653762817,"{'negative': 0.7367230653762817, 'neutral': 0.24830248951911926, 'positive': 0.014974510297179222}",anger,0.470934122800827,"{'anger': 0.470934122800827, 'disgust': 0.38632479310035706, 'optimism': 0.0371793769299984, 'sadness': 0.03615904599428177, 'anticipation': 0.030792823061347008, 'pessimism': 0.025155803188681602, 'joy': 0.005181124899536371, 'fear': 0.0027144821360707283, 'trust': 0.0026552616618573666, 'surprise': 0.0025269913021475077, 'love': 0.00037614215398207307}",not-hate,0.9956066012382508,"{'not-hate': 0.9956066012382507, 'hate': 0.004393435548990965}",non-offensive,0.8766887187957764,"{'non-offensive': 0.8766887187957764, 'offensive': 0.12331127375364304}",4.0,Republicans vs democrats,0.012519673,"RT @""If Congress fails to pass a budget, they will fail to get a paycheck. No budget, no pay – that’s a no-brainer."" -- @NikkiHaley",congress fails pas budget fail paycheck budget pay brainer,"[('congress', [1]), ('pay', [1]), ('pas', [1]), ('fails', [1]), ('budget', [1]), ('paycheck', [1]), ('fail', [1]), ('brainer', [1])]","[('congress', ['American/economics/health']), ('pay', ['American/economics/health']), ('pas', ['American/economics/health']), ('fails', ['American/economics/health']), ('budget', ['American/economics/health']), ('paycheck', ['American/economics/health']), ('fail', ['American/economics/health']), ('brainer', ['American/economics/health'])]"
NikkiHaley,2023-09-22 19:55:24+00:00,1,American/economics/health,0.7474488,negative,0.8627414107322693,"{'negative': 0.8627414107322693, 'neutral': 0.12736985087394714, 'positive': 0.009888757020235062}",anger,0.4390521347522735,"{'anger': 0.43905213475227356, 'disgust': 0.35278040170669556, 'optimism': 0.07545607537031174, 'anticipation': 0.05231079086661339, 'pessimism': 0.026865258812904358, 'sadness': 0.02333659678697586, 'fear': 0.011064939200878143, 'joy': 0.006303030997514725, 'surprise': 0.006137771997600794, 'trust': 0.005814529024064541, 'love': 0.0008784802630543709}",not-hate,0.9953792095184326,"{'not-hate': 0.9953792095184326, 'hate': 0.004620801191776991}",non-offensive,0.887319803237915,"{'non-offensive': 0.887319803237915, 'offensive': 0.11268019676208496}",5.0,Border/community/family,0.20561521,"RT @""...We’re now adding a trillion more every year, with no end in sight. Our children will never forgive us for this."" @NikkiHaley pledges to ""veto any spending bill that doesn’t take us back to pre-covid spending levels."" https://t.co/zeIEUwUVQ1",adding trillion year end sight child forgive pledge veto spending bill pre covid spending level,"[('year', [1, 5]), ('spending', [1, 5]), ('child', [1, 5]), ('end', [1, 5]), ('bill', [1, 5]), ('veto', [1]), ('level', [1, 5]), ('covid', [1, 5]), ('sight', [5]), ('pre', [1]), ('trillion', [1]), ('pledge', [1, 5]), ('adding', [1, 5]), ('forgive', [5])]","[('year', ['American/economics/health', 'Border/community/family']), ('spending', ['American/economics/health', 'Border/community/family']), ('child', ['American/economics/health', 'Border/community/family']), ('end', ['American/economics/health', 'Border/community/family']), ('bill', ['American/economics/health', 'Border/community/family']), ('veto', ['American/economics/health']), ('level', ['American/economics/health', 'Border/community/family']), ('covid', ['American/economics/health', 'Border/community/family']), ('sight', ['Border/community/family']), ('pre', ['American/economics/health']), ('trillion', ['American/economics/health']), ('pledge', ['American/economics/health', 'Border/community/family']), ('adding', ['American/economics/health', 'Border/community/family']), ('forgive', ['Border/community/family'])]"
NikkiHaley,2023-09-28 03:16:53+00:00,1,American/economics/health,0.87496245,negative,0.8205825090408325,"{'negative': 0.8205825090408325, 'neutral': 0.16939891874790192, 'positive': 0.01001861970871687}",anger,0.5991355180740356,"{'anger': 0.5991355180740356, 'disgust': 0.3743489384651184, 'sadness': 0.022052032873034477, 'pessimism': 0.0022602113895118237, 'fear': 0.0007685106247663498, 'anticipation': 0.000566030154004693, 'surprise': 0.00030742958188056946, 'joy': 0.00023583407164551318, 'optimism': 0.00015668205742258579, 'trust': 9.30607202462852e-05, 'love': 7.573803304694593e-05}",not-hate,0.9957644939422609,"{'not-hate': 0.9957644939422607, 'hate': 0.0042354874312877655}",non-offensive,0.7986130714416504,"{'non-offensive': 0.7986130714416504, 'offensive': 0.20138685405254364}",7.0,Abortion/rights/guns,0.017868506,"If Congress doesn’t pass a budget, they shouldn’t get paid. No budget, no pay.",congress pas budget paid budget pay,"[('congress', [1]), ('paid', [1]), ('pay', [1]), ('pas', [1]), ('budget', [1])]","[('congress', ['American/economics/health']), ('paid', ['American/economics/health']), ('pay', ['American/economics/health']), ('pas', ['American/economics/health']), ('budget', ['American/economics/health'])]"
NikkiHaley,2023-09-06 15:30:30+00:00,1,American/economics/health,0.8314229,negative,0.8463218212127686,"{'negative': 0.8463218212127686, 'neutral': 0.14329443871974945, 'positive': 0.010383734479546547}",anger,0.5568904280662537,"{'anger': 0.5568904280662537, 'disgust': 0.19707190990447998, 'optimism': 0.1343192458152771, 'anticipation': 0.06354217976331711, 'pessimism': 0.014580841176211834, 'trust': 0.0123971626162529, 'sadness': 0.007959015667438507, 'joy': 0.005608343984931707, 'surprise': 0.0037383572198450565, 'fear': 0.003026738530024886, 'love': 0.0008658107835799456}",not-hate,0.9775811433792114,"{'not-hate': 0.9775811433792114, 'hate': 0.022418919950723648}",non-offensive,0.5996385812759399,"{'non-offensive': 0.5996385812759399, 'offensive': 0.40036138892173767}",6.0,Election/debate,0.118508466,Both Democrats and Republicans in Washington are part of the problem. Stop the spending. Pass term limits. Have mental competency tests. Make Congress do its job. https://t.co/85wA8mSMrB,democrat republican washington problem stop spending pas term limit mental competency test congress job,"[('test', [1, 6]), ('job', [1, 6]), ('congress', [1, 6]), ('term', [1, 6]), ('problem', [1, 6]), ('spending', [1]), ('republican', [1, 6]), ('limit', [1, 6]), ('washington', [1, 6]), ('mental', [1]), ('democrat', [1, 6]), ('pas', [1]), ('stop', [1, 6]), ('competency', [6])]","[('test', ['American/economics/health', 'Election/debate']), ('job', ['American/economics/health', 'Election/debate']), ('congress', ['American/economics/health', 'Election/debate']), ('term', ['American/economics/health', 'Election/debate']), ('problem', ['American/economics/health', 'Election/debate']), ('spending', ['American/economics/health']), ('republican', ['American/economics/health', 'Election/debate']), ('limit', ['American/economics/health', 'Election/debate']), ('washington', ['American/economics/health', 'Election/debate']), ('mental', ['American/economics/health']), ('democrat', ['American/economics/health', 'Election/debate']), ('pas', ['American/economics/health']), ('stop', ['American/economics/health', 'Election/debate']), ('competency', ['Election/debate'])]"
NikkiHaley,2023-08-18 19:55:14+00:00,1,American/economics/health,0.59298974,negative,0.6378504037857056,"{'negative': 0.6378504037857056, 'neutral': 0.28102803230285645, 'positive': 0.08112156391143799}",anger,0.62645423412323,"{'anger': 0.62645423412323, 'disgust': 0.34998831152915955, 'fear': 0.01519789919257164, 'sadness': 0.004596445243805647, 'pessimism': 0.0018134807469323277, 'anticipation': 0.0007081200601533055, 'optimism': 0.000551803270354867, 'surprise': 0.0002688744862098247, 'trust': 0.00017427494458388537, 'joy': 0.0001485467073507607, 'love': 9.80520126176998e-05}",hate,0.9444219470024108,"{'hate': 0.9444219470024109, 'not-hate': 0.055578041821718216}",offensive,0.5147486329078674,"{'offensive': 0.5147486329078674, 'non-offensive': 0.48525139689445496}",2.0,War,0.34926012,"As president, I'll make sure no American tax dollars go to enemies who hate America and actively work to hurt and kill us. https://t.co/EExacSMTeF",president sure american tax dollar enemy hate america actively work hurt kill,"[('american', [1, 2]), ('hate', [2]), ('america', [1, 2]), ('president', [1, 2]), ('kill', [2, 1]), ('work', [1, 2]), ('hurt', [1, 2]), ('sure', [1, 2]), ('enemy', [2]), ('dollar', [1]), ('tax', [1]), ('actively', [2, 1])]","[('american', ['American/economics/health', 'War']), ('hate', ['War']), ('america', ['American/economics/health', 'War']), ('president', ['American/economics/health', 'War']), ('kill', ['War', 'American/economics/health']), ('work', ['American/economics/health', 'War']), ('hurt', ['American/economics/health', 'War']), ('sure', ['American/economics/health', 'War']), ('enemy', ['War']), ('dollar', ['American/economics/health']), ('tax', ['American/economics/health']), ('actively', ['War', 'American/economics/health'])]"
NikkiHaley,2023-09-21 19:07:16+00:00,1,American/economics/health,0.6728603,negative,0.8805561661720276,"{'negative': 0.8805561661720276, 'neutral': 0.11199506372213364, 'positive': 0.007448652759194374}",anger,0.3546930849552154,"{'anger': 0.35469308495521545, 'disgust': 0.32005056738853455, 'fear': 0.3079935312271118, 'sadness': 0.00818196963518858, 'pessimism': 0.004373910371214151, 'anticipation': 0.0018793483031913638, 'optimism': 0.0009783131536096334, 'surprise': 0.0009026039042510092, 'trust': 0.0004956136108376086, 'joy': 0.00023360646446235478, 'love': 0.00021747381833847612}",hate,0.7272225618362427,"{'hate': 0.7272225618362427, 'not-hate': 0.2727774977684021}",non-offensive,0.6192231178283691,"{'non-offensive': 0.6192231178283691, 'offensive': 0.38077694177627563}",2.0,War,0.25200984,"China has already infiltrated our colleges, our businesses, and our children’s classrooms. We have to treat them like the enemy they are. https://t.co/CcHy2y0PhL",china infiltrated college business childrens classroom treat like enemy,"[('like', [1, 2]), ('china', [2, 1]), ('college', [1]), ('business', [1, 2]), ('enemy', [2]), ('treat', [1, 2]), ('classroom', [1, 2]), ('childrens', [1]), ('infiltrated', [1])]","[('like', ['American/economics/health', 'War']), ('china', ['War', 'American/economics/health']), ('college', ['American/economics/health']), ('business', ['American/economics/health', 'War']), ('enemy', ['War']), ('treat', ['American/economics/health', 'War']), ('classroom', ['American/economics/health', 'War']), ('childrens', ['American/economics/health']), ('infiltrated', ['American/economics/health'])]"
NikkiHaley,2023-08-16 14:18:31+00:00,1,American/economics/health,0.5414279,negative,0.7856554985046387,"{'negative': 0.7856554985046387, 'neutral': 0.19632498919963837, 'positive': 0.018019549548625946}",anger,0.4361088275909424,"{'anger': 0.4361088275909424, 'disgust': 0.4046248197555542, 'anticipation': 0.05661895498633385, 'optimism': 0.03556472808122635, 'sadness': 0.021530624479055405, 'pessimism': 0.01767547056078911, 'joy': 0.011963731609284878, 'fear': 0.005868538748472929, 'surprise': 0.005157447885721922, 'trust': 0.004069747868925333, 'love': 0.000817102612927556}",not-hate,0.989346981048584,"{'not-hate': 0.989346981048584, 'hate': 0.010652998462319374}",non-offensive,0.5640730857849121,"{'non-offensive': 0.5640730857849121, 'offensive': 0.4359269142150879}",2.0,War,0.33562985,"The so-called “Inflation Reduction Act” is a communist manifesto filled with tax hikes and green subsidies that benefit China and make America more dependent on Beijing. While Joe Biden cozies up to Xi Jinping, American families are footing the bill for all this spending.",called inflation reduction act communist manifesto filled tax hike green subsidy benefit china america dependent beijing joe biden cozy  jinping american family footing bill spending,"[('beijing', [2, 1]), ('american', [1, 2]), ('biden', [1, 2]), ('america', [1, 2]), ('joe', [1, 2]), ('spending', [1, 2]), ('called', [2, 1]), ('china', [2, 1]), ('act', [1]), ('family', [1, 4]), ('tax', [1]), ('benefit', [1]), ('bill', [1]), ('communist', [2, 4]), ('inflation', [1]), ('green', [1, 2]), ('reduction', [1]), ('filled', [2, 6]), ('dependent', [2]), ('footing', [6]), ('jinping', [2]), ('hike', [1]), ('manifesto', [2]), ('subsidy', [1]), ('cozy', [4])]","[('beijing', ['War', 'American/economics/health']), ('american', ['American/economics/health', 'War']), ('biden', ['American/economics/health', 'War']), ('america', ['American/economics/health', 'War']), ('joe', ['American/economics/health', 'War']), ('spending', ['American/economics/health', 'War']), ('called', ['War', 'American/economics/health']), ('china', ['War', 'American/economics/health']), ('act', ['American/economics/health']), ('family', ['American/economics/health', 'Republicans vs democrats']), ('tax', ['American/economics/health']), ('benefit', ['American/economics/health']), ('bill', ['American/economics/health']), ('communist', ['War', 'Republicans vs democrats']), ('inflation', ['American/economics/health']), ('green', ['American/economics/health', 'War']), ('reduction', ['American/economics/health']), ('filled', ['War', 'Election/debate']), ('dependent', ['War']), ('footing', ['Election/debate']), ('jinping', ['War']), ('hike', ['American/economics/health']), ('manifesto', ['War']), ('subsidy', ['American/economics/health']), ('cozy', ['Republicans vs democrats'])]"
