username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
NikkiHaley,2023-08-06 16:52:41+00:00,8,Infrastructure/job/energy,0.34897953,negative,0.8357716798782349,"{'negative': 0.8357716798782349, 'neutral': 0.1573249250650406, 'positive': 0.006903370376676321}",anger,0.7395632863044739,"{'anger': 0.7395632863044739, 'disgust': 0.21476875245571136, 'fear': 0.030358226969838142, 'sadness': 0.00413033552467823, 'optimism': 0.0033995583653450012, 'pessimism': 0.0032724954653531313, 'anticipation': 0.0025157069321721792, 'trust': 0.0009216661565005779, 'surprise': 0.0004985322011634707, 'joy': 0.0003024765755981207, 'love': 0.0002689489920157939}",hate,0.6177952289581299,"{'hate': 0.6177952289581299, 'not-hate': 0.38220474123954773}",non-offensive,0.7446817755699158,"{'non-offensive': 0.7446817755699158, 'offensive': 0.2553182542324066}",2.0,War,0.3263798,"China is our enemy, not our friend. We shouldn’t let enemies buy land near our military facilities. https://t.co/wqRj3qpmya",china enemy friend let enemy buy land near military facility,"[('military', [5, 2]), ('near', [8, 5]), ('let', [2, 5]), ('china', [2, 8]), ('buy', [8, 2]), ('land', [8, 5]), ('enemy', [2, 5]), ('friend', [5, 2]), ('facility', [8, 5])]","[('military', ['Border/community/family', 'War']), ('near', ['Infrastructure/job/energy', 'Border/community/family']), ('let', ['War', 'Border/community/family']), ('china', ['War', 'Infrastructure/job/energy']), ('buy', ['Infrastructure/job/energy', 'War']), ('land', ['Infrastructure/job/energy', 'Border/community/family']), ('enemy', ['War', 'Border/community/family']), ('friend', ['Border/community/family', 'War']), ('facility', ['Infrastructure/job/energy', 'Border/community/family'])]"
NikkiHaley,2023-09-19 20:45:35+00:00,8,Infrastructure/job/energy,0.78086627,negative,0.4865909516811371,"{'negative': 0.4865909516811371, 'neutral': 0.48552584648132324, 'positive': 0.02788315713405609}",anger,0.7782095670700073,"{'anger': 0.7782095670700073, 'disgust': 0.20492640137672424, 'fear': 0.004630455747246742, 'optimism': 0.0032457218039780855, 'anticipation': 0.002785529475659132, 'sadness': 0.002667043125256896, 'pessimism': 0.00172628543805331, 'joy': 0.0006484268815256655, 'trust': 0.0005708347889594734, 'surprise': 0.00041102003888227046, 'love': 0.00017871774616651237}",not-hate,0.9915366172790528,"{'not-hate': 0.9915366172790527, 'hate': 0.008463427424430847}",non-offensive,0.7285745739936829,"{'non-offensive': 0.7285745739936829, 'offensive': 0.2714254558086395}",7.0,Abortion/rights/guns,0.031422246,Ban all foreign lobbying. https://t.co/huN7pu9Yts,ban foreign lobbying,"[('ban', [8]), ('foreign', [8]), ('lobbying', [8])]","[('ban', ['Infrastructure/job/energy']), ('foreign', ['Infrastructure/job/energy']), ('lobbying', ['Infrastructure/job/energy'])]"
NikkiHaley,2023-08-09 18:56:42+00:00,8,Infrastructure/job/energy,0.3982702,negative,0.8575220108032227,"{'negative': 0.8575220108032227, 'neutral': 0.1348637491464615, 'positive': 0.00761419627815485}",anger,0.5163325071334839,"{'anger': 0.5163325071334839, 'disgust': 0.437623530626297, 'fear': 0.03694303706288338, 'sadness': 0.005063551478087902, 'pessimism': 0.0016476619057357311, 'anticipation': 0.0008641611784696579, 'surprise': 0.0007756905979476869, 'optimism': 0.00028965569799765944, 'trust': 0.00017723235941957682, 'joy': 0.00016238160606008023, 'love': 0.00012059639993822202}",not-hate,0.9770514369010924,"{'not-hate': 0.9770514369010925, 'hate': 0.022948570549488068}",non-offensive,0.6374770998954773,"{'non-offensive': 0.6374770998954773, 'offensive': 0.3625229299068451}",4.0,Republicans vs democrats,0.39013085,China is trying to steal seeds and farming technology off the backs of our farmers. We have to let China know we mean business or they’ll keep walking all over us. https://t.co/13kQBnskFs,china trying steal seed farming technology back farmer let china know mean business walking,"[('know', [4, 8]), ('let', [8, 1]), ('technology', [8, 1]), ('china', [8, 4]), ('trying', [4, 1]), ('business', [8, 4]), ('mean', [8, 4]), ('steal', [4]), ('walking', [4, 1]), ('back', [4, 1]), ('farmer', [8]), ('seed', [8]), ('farming', [1])]","[('know', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('let', ['Infrastructure/job/energy', 'American/economics/health']), ('technology', ['Infrastructure/job/energy', 'American/economics/health']), ('china', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('trying', ['Republicans vs democrats', 'American/economics/health']), ('business', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('mean', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('steal', ['Republicans vs democrats']), ('walking', ['Republicans vs democrats', 'American/economics/health']), ('back', ['Republicans vs democrats', 'American/economics/health']), ('farmer', ['Infrastructure/job/energy']), ('seed', ['Infrastructure/job/energy']), ('farming', ['American/economics/health'])]"
NikkiHaley,2023-08-12 19:49:06+00:00,8,Infrastructure/job/energy,0.5611023,neutral,0.4937697649002075,"{'neutral': 0.4937697649002075, 'negative': 0.4777657985687256, 'positive': 0.028464438393712044}",anger,0.4736813604831695,"{'anger': 0.47368136048316956, 'disgust': 0.38123756647109985, 'anticipation': 0.05136389657855034, 'fear': 0.033322956413030624, 'optimism': 0.026271577924489975, 'pessimism': 0.013991868123412132, 'sadness': 0.00970728974789381, 'trust': 0.0043530515395104885, 'surprise': 0.003997130319476128, 'joy': 0.0017135528614744544, 'love': 0.0003597892646212131}",not-hate,0.9938275218009948,"{'not-hate': 0.9938275218009949, 'hate': 0.006172421853989363}",non-offensive,0.8314734101295471,"{'non-offensive': 0.8314734101295471, 'offensive': 0.16852660477161407}",4.0,Republicans vs democrats,0.20636417,"RT @""They are stealing seeds from Iowa because China is food insecure. So they are trying to figure out how to go take what we have so that they don't need us. That's leverage. ... Food security is national security."" — @NikkiHaley https://t.co/spjZ8ce0gj",stealing seed iowa china food insecure trying figure need leverage food security national security,"[('national', [8, 6]), ('security', [8, 4]), ('china', [8, 4]), ('need', [8, 4]), ('trying', [4, 6]), ('stealing', [4, 8]), ('figure', [4, 6]), ('leverage', [8, 6]), ('iowa', [6, 4]), ('food', [8, 6]), ('seed', [8]), ('insecure', [3])]","[('national', ['Infrastructure/job/energy', 'Election/debate']), ('security', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('china', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('need', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('trying', ['Republicans vs democrats', 'Election/debate']), ('stealing', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('figure', ['Republicans vs democrats', 'Election/debate']), ('leverage', ['Infrastructure/job/energy', 'Election/debate']), ('iowa', ['Election/debate', 'Republicans vs democrats']), ('food', ['Infrastructure/job/energy', 'Election/debate']), ('seed', ['Infrastructure/job/energy']), ('insecure', ['News/radio/livestream'])]"
NikkiHaley,2023-08-16 22:22:41+00:00,8,Infrastructure/job/energy,0.47844678,negative,0.8728471994400024,"{'negative': 0.8728471994400024, 'neutral': 0.11762377619743347, 'positive': 0.00952900294214487}",anger,0.478685587644577,"{'anger': 0.478685587644577, 'disgust': 0.4385063648223877, 'fear': 0.06382396817207336, 'sadness': 0.00953768752515316, 'pessimism': 0.0047758095897734165, 'anticipation': 0.002011505886912346, 'optimism': 0.0009915668051689863, 'surprise': 0.0009554342832416296, 'trust': 0.0003583789512049407, 'joy': 0.000213372812140733, 'love': 0.00014028405712451786}",not-hate,0.994856595993042,"{'not-hate': 0.994856595993042, 'hate': 0.005143433343619108}",non-offensive,0.7189369201660156,"{'non-offensive': 0.7189369201660156, 'offensive': 0.28106310963630676}",4.0,Republicans vs democrats,0.28655514,"China is our biggest threat, but Joe Biden has done little to stop China from buying our land, stealing our seeds, and taking our farming technology. Our farmers deserve better. https://t.co/iikzGYcnmu",china biggest threat joe biden little stop china buying land stealing seed taking farming technology farmer deserve better,"[('biden', [4, 1]), ('taking', [1, 8]), ('joe', [4, 1]), ('threat', [8, 4]), ('technology', [8, 1]), ('china', [8, 4]), ('better', [8, 1]), ('biggest', [8, 4]), ('land', [8, 1]), ('stealing', [4, 8]), ('stop', [1, 4]), ('little', [4, 1]), ('deserve', [1, 8]), ('buying', [8, 1]), ('farmer', [8]), ('seed', [8]), ('farming', [1])]","[('biden', ['Republicans vs democrats', 'American/economics/health']), ('taking', ['American/economics/health', 'Infrastructure/job/energy']), ('joe', ['Republicans vs democrats', 'American/economics/health']), ('threat', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('technology', ['Infrastructure/job/energy', 'American/economics/health']), ('china', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('better', ['Infrastructure/job/energy', 'American/economics/health']), ('biggest', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('land', ['Infrastructure/job/energy', 'American/economics/health']), ('stealing', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('stop', ['American/economics/health', 'Republicans vs democrats']), ('little', ['Republicans vs democrats', 'American/economics/health']), ('deserve', ['American/economics/health', 'Infrastructure/job/energy']), ('buying', ['Infrastructure/job/energy', 'American/economics/health']), ('farmer', ['Infrastructure/job/energy']), ('seed', ['Infrastructure/job/energy']), ('farming', ['American/economics/health'])]"
NikkiHaley,2023-08-17 19:40:30+00:00,8,Infrastructure/job/energy,0.58035314,negative,0.9006855487823486,"{'negative': 0.9006855487823486, 'neutral': 0.09006080031394958, 'positive': 0.009253612719476223}",anger,0.6471204161643982,"{'anger': 0.6471204161643982, 'disgust': 0.3423621654510498, 'sadness': 0.004856352228671312, 'fear': 0.002697771182283759, 'pessimism': 0.0015290190931409597, 'anticipation': 0.0006361593841575086, 'surprise': 0.00026273311232216656, 'optimism': 0.00025037891464307904, 'joy': 0.00012745174171868712, 'trust': 9.860971476882696e-05, 'love': 5.9008416428696364e-05}",not-hate,0.8248489499092102,"{'not-hate': 0.8248489499092102, 'hate': 0.17515107989311218}",non-offensive,0.619422197341919,"{'non-offensive': 0.619422197341919, 'offensive': 0.38057777285575867}",6.0,Election/debate,0.3512869,"Listen up China, your days of buying American farmland and stealing our seeds are numbered. Not under my watch. https://t.co/UXssmB4sAI",listen china day buying american farmland stealing seed numbered watch,"[('american', [8, 6]), ('day', [6, 8]), ('china', [8]), ('watch', [6, 8]), ('stealing', [8]), ('listen', [6]), ('buying', [8]), ('numbered', [6]), ('seed', [8]), ('farmland', [8])]","[('american', ['Infrastructure/job/energy', 'Election/debate']), ('day', ['Election/debate', 'Infrastructure/job/energy']), ('china', ['Infrastructure/job/energy']), ('watch', ['Election/debate', 'Infrastructure/job/energy']), ('stealing', ['Infrastructure/job/energy']), ('listen', ['Election/debate']), ('buying', ['Infrastructure/job/energy']), ('numbered', ['Election/debate']), ('seed', ['Infrastructure/job/energy']), ('farmland', ['Infrastructure/job/energy'])]"
NikkiHaley,2023-08-03 20:25:32+00:00,8,Infrastructure/job/energy,0.27363795,neutral,0.8697198629379272,"{'neutral': 0.8697198629379272, 'positive': 0.1181299015879631, 'negative': 0.012150237336754799}",anticipation,0.6755423545837402,"{'anticipation': 0.6755423545837402, 'joy': 0.11258139461278915, 'optimism': 0.060004498809576035, 'surprise': 0.054129716008901596, 'disgust': 0.02988305874168873, 'anger': 0.021385326981544495, 'trust': 0.0176727045327425, 'sadness': 0.008993604220449924, 'fear': 0.008779756724834442, 'pessimism': 0.008197677321732044, 'love': 0.0028298862744122744}",not-hate,0.994609236717224,"{'not-hate': 0.9946092367172241, 'hate': 0.005390756297856569}",non-offensive,0.930690050125122,"{'non-offensive': 0.9306900501251221, 'offensive': 0.06930992007255554}",5.0,Border/community/family,0.2593284,"RT @I was on this morning with Drew Cline discussing fentanyl, China and why I support .@NikkiHaley Here’s a small clip! #TeamHaley #FITN https://t.co/UuMsXWXZrO",morning drew cline discussing fentanyl china support small clip,"[('support', [8, 5]), ('china', [8, 4]), ('fentanyl', [5]), ('small', [8, 4]), ('morning', [5, 8]), ('clip', [4]), ('discussing', [8, 4]), ('cline', [3]), ('drew', [7])]","[('support', ['Infrastructure/job/energy', 'Border/community/family']), ('china', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('fentanyl', ['Border/community/family']), ('small', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('morning', ['Border/community/family', 'Infrastructure/job/energy']), ('clip', ['Republicans vs democrats']), ('discussing', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('cline', ['News/radio/livestream']), ('drew', ['Abortion/rights/guns'])]"
NikkiHaley,2023-09-22 19:55:02+00:00,8,Infrastructure/job/energy,0.41341144,negative,0.69405198097229,"{'negative': 0.69405198097229, 'neutral': 0.29485344886779785, 'positive': 0.011094579473137856}",disgust,0.4200615286827087,"{'disgust': 0.42006152868270874, 'anger': 0.3138958811759949, 'anticipation': 0.16739876568317413, 'surprise': 0.02208518609404564, 'pessimism': 0.0205078162252903, 'sadness': 0.02006812021136284, 'optimism': 0.017593704164028168, 'trust': 0.006246369797736406, 'joy': 0.0057400986552238464, 'fear': 0.005646678153425455, 'love': 0.0007558432989753783}",not-hate,0.9891897439956664,"{'not-hate': 0.9891897439956665, 'hate': 0.01081024669110775}",non-offensive,0.9131516218185424,"{'non-offensive': 0.9131516218185425, 'offensive': 0.08684840053319931}",4.0,Republicans vs democrats,0.3158345,"RT @@NikkiHaley @nhiop @NHGOP In @NHIOP speech on economy, @NikkiHaley attacks premise of industrial policy. ""This is the same federal government that can’t build a bridge or pipeline in under a decade. Do you really think Washington knows how to pick the right winners in the economy?"" @NHGOP #FITN",speech economy attack premise industrial policy federal government build bridge pipeline decade think washington know pick right winner economy,"[('decade', [8, 4]), ('attack', [7, 4]), ('know', [4, 8]), ('speech', [4, 7]), ('build', [8, 4]), ('think', [4, 7]), ('right', [7, 4]), ('federal', [8, 4]), ('government', [4, 8]), ('washington', [4, 8]), ('policy', [4, 8]), ('bridge', [8]), ('economy', [8, 4]), ('pick', [4, 7]), ('industrial', [8, 7]), ('pipeline', [8]), ('winner', [4, 7]), ('premise', [7])]","[('decade', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('attack', ['Abortion/rights/guns', 'Republicans vs democrats']), ('know', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('speech', ['Republicans vs democrats', 'Abortion/rights/guns']), ('build', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('think', ['Republicans vs democrats', 'Abortion/rights/guns']), ('right', ['Abortion/rights/guns', 'Republicans vs democrats']), ('federal', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('government', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('washington', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('policy', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('bridge', ['Infrastructure/job/energy']), ('economy', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('pick', ['Republicans vs democrats', 'Abortion/rights/guns']), ('industrial', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('pipeline', ['Infrastructure/job/energy']), ('winner', ['Republicans vs democrats', 'Abortion/rights/guns']), ('premise', ['Abortion/rights/guns'])]"
NikkiHaley,2023-10-05 16:49:27+00:00,8,Infrastructure/job/energy,0.6134123,positive,0.7143981456756592,"{'positive': 0.7143981456756592, 'neutral': 0.27017614245414734, 'negative': 0.015425761230289936}",fear,0.529900074005127,"{'fear': 0.529900074005127, 'optimism': 0.3537915349006653, 'anger': 0.03544928878545761, 'trust': 0.02294647879898548, 'anticipation': 0.017523864284157753, 'disgust': 0.01671161875128746, 'joy': 0.012435542419552803, 'pessimism': 0.004655353259295225, 'sadness': 0.002429588697850704, 'love': 0.0022777265403419733, 'surprise': 0.0018788870656862855}",not-hate,0.9897760152816772,"{'not-hate': 0.9897760152816772, 'hate': 0.010224050842225552}",non-offensive,0.9051369428634644,"{'non-offensive': 0.9051369428634644, 'offensive': 0.09486304223537445}",2.0,War,0.27901593,#TheFreedomPlan will make our economy stronger as we face our greatest threat—Communist China. https://t.co/EWrz1CdbcM,economy stronger face greatest threatcommunist china,"[('china', [8, 2]), ('face', [2, 8]), ('greatest', [2, 8]), ('economy', [8, 2]), ('stronger', [8]), ('threatcommunist', [8])]","[('china', ['Infrastructure/job/energy', 'War']), ('face', ['War', 'Infrastructure/job/energy']), ('greatest', ['War', 'Infrastructure/job/energy']), ('economy', ['Infrastructure/job/energy', 'War']), ('stronger', ['Infrastructure/job/energy']), ('threatcommunist', ['Infrastructure/job/energy'])]"
NikkiHaley,2023-08-12 14:48:41+00:00,8,Infrastructure/job/energy,0.8904589,negative,0.6614998579025269,"{'negative': 0.6614998579025269, 'neutral': 0.32163867354393005, 'positive': 0.016861440613865852}",fear,0.9538717865943908,"{'fear': 0.9538717865943909, 'disgust': 0.018401650711894035, 'anger': 0.01371838804334402, 'anticipation': 0.003720703301951289, 'pessimism': 0.003096909960731864, 'sadness': 0.0025299754925072193, 'optimism': 0.0022952775470912457, 'surprise': 0.0007866747910156846, 'joy': 0.0007766782655380666, 'trust': 0.0005707211093977094, 'love': 0.00023131727357394993}",hate,0.6156761050224304,"{'hate': 0.6156761050224304, 'not-hate': 0.3843238949775696}",non-offensive,0.8215178847312927,"{'non-offensive': 0.8215178847312927, 'offensive': 0.17848213016986847}",2.0,War,0.01565886,"RT @.@NikkiHaley: “Our biggest national security threat is China, and it's doing everything it can to take down the United States” https://t.co/AHKQFYaXGy",biggest national security threat china united state,"[('national', [8]), ('security', [8]), ('state', [8]), ('united', [8]), ('threat', [8]), ('china', [8]), ('biggest', [8])]","[('national', ['Infrastructure/job/energy']), ('security', ['Infrastructure/job/energy']), ('state', ['Infrastructure/job/energy']), ('united', ['Infrastructure/job/energy']), ('threat', ['Infrastructure/job/energy']), ('china', ['Infrastructure/job/energy']), ('biggest', ['Infrastructure/job/energy'])]"
