username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
NikkiHaley,2023-07-18 01:46:39+00:00,4,Republicans vs democrats,0.3454061,negative,0.5579273700714111,"{'negative': 0.5579273700714111, 'neutral': 0.3955013155937195, 'positive': 0.04657135158777237}",anger,0.4167021811008453,"{'anger': 0.41670218110084534, 'disgust': 0.24036908149719238, 'optimism': 0.14218994975090027, 'anticipation': 0.10933756828308105, 'pessimism': 0.030731286853551865, 'fear': 0.020444395020604134, 'trust': 0.016239579766988754, 'sadness': 0.014169433154165745, 'surprise': 0.005452373065054417, 'joy': 0.003195746336132288, 'love': 0.0011683637276291847}",not-hate,0.9969615340232848,"{'not-hate': 0.9969615340232849, 'hate': 0.003038460621610284}",non-offensive,0.8632773160934448,"{'non-offensive': 0.8632773160934448, 'offensive': 0.13672266900539398}",8.0,Infrastructure/job/energy,0.31146464,"We need a leader who does the right thing. Not like President Biden, who recently declared a boycott of Israel. #CUFISummit2023",need leader right thing like president biden recently declared boycott israel,"[('biden', [4, 2]), ('israel', [2, 4]), ('like', [4, 2]), ('president', [4, 2]), ('need', [8, 4]), ('thing', [4, 2]), ('right', [4, 2]), ('leader', [8, 4]), ('recently', [8, 4]), ('boycott', [8]), ('declared', [4, 2])]","[('biden', ['Republicans vs democrats', 'War']), ('israel', ['War', 'Republicans vs democrats']), ('like', ['Republicans vs democrats', 'War']), ('president', ['Republicans vs democrats', 'War']), ('need', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('thing', ['Republicans vs democrats', 'War']), ('right', ['Republicans vs democrats', 'War']), ('leader', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('recently', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('boycott', ['Infrastructure/job/energy']), ('declared', ['Republicans vs democrats', 'War'])]"
NikkiHaley,2023-07-18 01:49:20+00:00,4,Republicans vs democrats,0.47860324,negative,0.8251358270645142,"{'negative': 0.8251358270645142, 'neutral': 0.16319715976715088, 'positive': 0.011667082086205482}",anger,0.6605189442634583,"{'anger': 0.6605189442634583, 'disgust': 0.31491798162460327, 'fear': 0.013462630100548267, 'sadness': 0.004098944365978241, 'pessimism': 0.0027072299271821976, 'anticipation': 0.0018649653065949678, 'optimism': 0.0013173014158383012, 'surprise': 0.0004728319472633302, 'trust': 0.0003248022112529725, 'joy': 0.00021016183018218726, 'love': 0.00010415699216537178}",not-hate,0.9960143566131592,"{'not-hate': 0.9960143566131592, 'hate': 0.003985632210969925}",non-offensive,0.6496629118919373,"{'non-offensive': 0.6496629118919373, 'offensive': 0.35033708810806274}",2.0,War,0.1914525,"When I was amb, the US pulled out of UN agencies that spew hatred toward Israel and the Jewish people. We pulled out of the Human Rights Council. We cut ties with UNRWA. We pulled out of UNESCO. America should fight antisemitism – not fund it with tax dollars! #CUFISummit2023",amb pulled  agency spew hatred israel jewish people pulled human right council cut tie unrwa pulled unesco america fight antisemitism fund tax dollar,"[('antisemitism', [7]), ('israel', [2, 4]), ('people', [4, 2]), ('america', [2, 4]), ('fund', [1, 4]), ('agency', [4, 1]), ('right', [7, 4]), ('fight', [7, 1]), ('pulled', [4]), ('dollar', [4, 1]), ('tax', [1, 4]), ('human', [2, 4]), ('cut', [1, 4]), ('tie', [4, 7]), ('council', [4, 2]), ('jewish', [2]), ('hatred', [2]), ('spew', [4]), ('unesco', [4]), ('unrwa', [4]), ('amb', [7])]","[('antisemitism', ['Abortion/rights/guns']), ('israel', ['War', 'Republicans vs democrats']), ('people', ['Republicans vs democrats', 'War']), ('america', ['War', 'Republicans vs democrats']), ('fund', ['American/economics/health', 'Republicans vs democrats']), ('agency', ['Republicans vs democrats', 'American/economics/health']), ('right', ['Abortion/rights/guns', 'Republicans vs democrats']), ('fight', ['Abortion/rights/guns', 'American/economics/health']), ('pulled', ['Republicans vs democrats']), ('dollar', ['Republicans vs democrats', 'American/economics/health']), ('tax', ['American/economics/health', 'Republicans vs democrats']), ('human', ['War', 'Republicans vs democrats']), ('cut', ['American/economics/health', 'Republicans vs democrats']), ('tie', ['Republicans vs democrats', 'Abortion/rights/guns']), ('council', ['Republicans vs democrats', 'War']), ('jewish', ['War']), ('hatred', ['War']), ('spew', ['Republicans vs democrats']), ('unesco', ['Republicans vs democrats']), ('unrwa', ['Republicans vs democrats']), ('amb', ['Abortion/rights/guns'])]"
NikkiHaley,2023-07-18 01:41:48+00:00,4,Republicans vs democrats,0.75827366,negative,0.709764838218689,"{'negative': 0.709764838218689, 'neutral': 0.27038702368736267, 'positive': 0.019848087802529335}",anger,0.6083589792251587,"{'anger': 0.6083589792251587, 'disgust': 0.3367118239402771, 'sadness': 0.018845083191990852, 'pessimism': 0.012345726601779461, 'anticipation': 0.010525824502110481, 'optimism': 0.008016940206289291, 'joy': 0.0016684327274560928, 'surprise': 0.0012388603063300252, 'fear': 0.0011053268099203706, 'trust': 0.000982664874754846, 'love': 0.00020027495338581502}",not-hate,0.9948875308036804,"{'not-hate': 0.9948875308036804, 'hate': 0.005112428683787584}",non-offensive,0.6685038805007935,"{'non-offensive': 0.6685038805007935, 'offensive': 0.33149608969688416}",6.0,Election/debate,0.12370346,"Israel, like America, has the right to decide its own laws. No other country should dive into its internal debates. A wise president would have known that. But Joe Biden continues to show us what a weak president looks like. #CUFISummit2023",israel like america right decide law country dive internal debate wise president known joe biden continues weak president look like,"[('biden', [4, 2]), ('israel', [2, 4]), ('america', [4, 2]), ('joe', [4, 2]), ('law', [4, 2]), ('like', [4, 6]), ('president', [4, 6]), ('country', [4, 2]), ('internal', [4]), ('right', [4, 6]), ('debate', [4, 6]), ('look', [4, 6]), ('known', [4, 2]), ('continues', [4, 6]), ('weak', [4, 2]), ('wise', [4]), ('decide', [4, 6]), ('dive', [6])]","[('biden', ['Republicans vs democrats', 'War']), ('israel', ['War', 'Republicans vs democrats']), ('america', ['Republicans vs democrats', 'War']), ('joe', ['Republicans vs democrats', 'War']), ('law', ['Republicans vs democrats', 'War']), ('like', ['Republicans vs democrats', 'Election/debate']), ('president', ['Republicans vs democrats', 'Election/debate']), ('country', ['Republicans vs democrats', 'War']), ('internal', ['Republicans vs democrats']), ('right', ['Republicans vs democrats', 'Election/debate']), ('debate', ['Republicans vs democrats', 'Election/debate']), ('look', ['Republicans vs democrats', 'Election/debate']), ('known', ['Republicans vs democrats', 'War']), ('continues', ['Republicans vs democrats', 'Election/debate']), ('weak', ['Republicans vs democrats', 'War']), ('wise', ['Republicans vs democrats']), ('decide', ['Republicans vs democrats', 'Election/debate']), ('dive', ['Election/debate'])]"
NikkiHaley,2023-07-18 01:54:45+00:00,4,Republicans vs democrats,0.6221104,negative,0.8188035488128662,"{'negative': 0.8188035488128662, 'neutral': 0.16950827836990356, 'positive': 0.011688163504004478}",anger,0.6910427212715149,"{'anger': 0.6910427212715149, 'disgust': 0.2850190997123718, 'anticipation': 0.009748898446559906, 'fear': 0.0032223996240645647, 'sadness': 0.0025548983830958605, 'pessimism': 0.002428092062473297, 'optimism': 0.0023348319809883833, 'surprise': 0.0017315943259745836, 'joy': 0.0010187390726059675, 'trust': 0.0007401849143207073, 'love': 0.00015850817726459354}",not-hate,0.9917864203453064,"{'not-hate': 0.9917864203453064, 'hate': 0.008213615976274014}",non-offensive,0.5177046656608582,"{'non-offensive': 0.5177046656608582, 'offensive': 0.48229536414146423}",2.0,War,0.16201998,Iran is playing Joe Biden like a fiddle – just like it did Barack Obama. #CUFISummit2023,iran playing joe biden like fiddle like barack obama,"[('biden', [4, 1]), ('joe', [4, 2]), ('like', [4, 2]), ('iran', [2]), ('playing', [4, 1]), ('obama', [4, 1]), ('barack', [4]), ('fiddle', [1])]","[('biden', ['Republicans vs democrats', 'American/economics/health']), ('joe', ['Republicans vs democrats', 'War']), ('like', ['Republicans vs democrats', 'War']), ('iran', ['War']), ('playing', ['Republicans vs democrats', 'American/economics/health']), ('obama', ['Republicans vs democrats', 'American/economics/health']), ('barack', ['Republicans vs democrats']), ('fiddle', ['American/economics/health'])]"
NikkiHaley,2023-07-18 01:55:08+00:00,4,Republicans vs democrats,0.39764565,negative,0.8887493014335632,"{'negative': 0.8887493014335632, 'neutral': 0.10293886810541153, 'positive': 0.008311742916703224}",anger,0.8183916211128235,"{'anger': 0.8183916211128235, 'disgust': 0.1397298276424408, 'optimism': 0.022140124812722206, 'anticipation': 0.006435282062739134, 'trust': 0.0028057671152055264, 'pessimism': 0.002574510406702757, 'fear': 0.0024739375803619623, 'joy': 0.002100252313539386, 'sadness': 0.0019908908288925886, 'surprise': 0.0008119030389934778, 'love': 0.0005459245876409113}",not-hate,0.9539994597434998,"{'not-hate': 0.9539994597434998, 'hate': 0.046000514179468155}",offensive,0.525928258895874,"{'offensive': 0.525928258895874, 'non-offensive': 0.47407180070877075}",2.0,War,0.33192283,"RT @Just this week, a leading Democrat called Israel a “racist state.” The Democratic Party is the definition of extreme. It’s time to censure the Squad and get anti-Semitism out of America – for good! #CUFISummit2023 https://t.co/M6U2Pf3KCj",week leading democrat called israel racist state democratic party definition extreme time censure squad anti semitism america good,"[('state', [6, 4]), ('week', [6, 4]), ('israel', [2, 4]), ('america', [2, 4]), ('called', [2, 4]), ('time', [4, 6]), ('good', [6, 4]), ('leading', [4, 6]), ('racist', [2, 4]), ('party', [2, 4]), ('squad', [4]), ('democrat', [4, 2]), ('democratic', [6, 4]), ('extreme', [4]), ('anti', [2, 4]), ('definition', [4, 6]), ('censure', [2]), ('semitism', [6])]","[('state', ['Election/debate', 'Republicans vs democrats']), ('week', ['Election/debate', 'Republicans vs democrats']), ('israel', ['War', 'Republicans vs democrats']), ('america', ['War', 'Republicans vs democrats']), ('called', ['War', 'Republicans vs democrats']), ('time', ['Republicans vs democrats', 'Election/debate']), ('good', ['Election/debate', 'Republicans vs democrats']), ('leading', ['Republicans vs democrats', 'Election/debate']), ('racist', ['War', 'Republicans vs democrats']), ('party', ['War', 'Republicans vs democrats']), ('squad', ['Republicans vs democrats']), ('democrat', ['Republicans vs democrats', 'War']), ('democratic', ['Election/debate', 'Republicans vs democrats']), ('extreme', ['Republicans vs democrats']), ('anti', ['War', 'Republicans vs democrats']), ('definition', ['Republicans vs democrats', 'Election/debate']), ('censure', ['War']), ('semitism', ['Election/debate'])]"
NikkiHaley,2023-07-18 19:27:07+00:00,4,Republicans vs democrats,0.42942998,neutral,0.5921071171760559,"{'neutral': 0.5921071171760559, 'negative': 0.3923274576663971, 'positive': 0.01556542981415987}",anger,0.7283744812011719,"{'anger': 0.7283744812011719, 'disgust': 0.2519929111003876, 'anticipation': 0.006349199917167425, 'optimism': 0.003170506563037634, 'sadness': 0.0025612690951675177, 'fear': 0.002560709835961461, 'pessimism': 0.001952236401848495, 'joy': 0.0012570229591801763, 'surprise': 0.0010143816471099854, 'trust': 0.0006266945856623352, 'love': 0.0001406358351232484}",not-hate,0.8777754902839661,"{'not-hate': 0.8777754902839661, 'hate': 0.12222455441951752}",non-offensive,0.7781845927238464,"{'non-offensive': 0.7781845927238464, 'offensive': 0.22181542217731476}",2.0,War,0.3628535,RT @.@NikkiHaley calls for censure of the 'Squad' for breeding hatred in the democratic party READ: https://t.co/D1JO55NGHc #NikkiHaley #CUFISummit #Censure #Left #Democrat #Republicans #US #Politics #News #Viralvideo #ViralVideos #Explore #Explorepage https://t.co/njMPxuqOXb,call censure squad breeding hatred democratic party read,"[('call', [4, 2]), ('party', [2, 4]), ('read', [4, 2]), ('squad', [4, 8]), ('democratic', [4, 2]), ('censure', [2]), ('hatred', [2]), ('breeding', [8])]","[('call', ['Republicans vs democrats', 'War']), ('party', ['War', 'Republicans vs democrats']), ('read', ['Republicans vs democrats', 'War']), ('squad', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('democratic', ['Republicans vs democrats', 'War']), ('censure', ['War']), ('hatred', ['War']), ('breeding', ['Infrastructure/job/energy'])]"
NikkiHaley,2023-07-19 03:32:00+00:00,4,Republicans vs democrats,0.429062,negative,0.549553394317627,"{'negative': 0.549553394317627, 'neutral': 0.4341794550418854, 'positive': 0.016267206519842148}",anger,0.6890406608581543,"{'anger': 0.6890406608581543, 'disgust': 0.269864946603775, 'anticipation': 0.01480103936046362, 'optimism': 0.009335317648947239, 'fear': 0.0057999310083687305, 'pessimism': 0.0036817414220422506, 'sadness': 0.003133208490908146, 'joy': 0.001454646117053926, 'surprise': 0.0013522545341402292, 'trust': 0.0013380994787439704, 'love': 0.00019814271945506334}",not-hate,0.9970605969429016,"{'not-hate': 0.9970605969429016, 'hate': 0.0029393741860985756}",non-offensive,0.5649368166923523,"{'non-offensive': 0.5649368166923523, 'offensive': 0.4350632131099701}",1.0,American/economics/health,0.27563837,We’re taking names. Alexandria Ocasio-Cortez Rashida Tlaib Jamaal Bowman Summer Lee Ilhan Omar Cori Bush Andre Carson Delia Ramirez Ayanna Pressley These 9 members of Congress believe Israel is racist. We will remember this vote.,taking name alexandria ocasio cortez rashida tlaib jamaal bowman summer lee ilhan omar cori bush andre carson delia ramirez ayanna pressley member congress believe israel racist remember vote,"[('omar', [8]), ('israel', [2, 4]), ('believe', [4, 1]), ('congress', [1, 4]), ('taking', [1, 4]), ('rashida', [4]), ('tlaib', [4]), ('vote', [4, 2]), ('summer', [1, 8]), ('racist', [2, 4]), ('member', [4, 1]), ('alexandria', [4]), ('cortez', [4, 8]), ('ocasio', [4]), ('remember', [4, 2]), ('name', [4]), ('bowman', [1]), ('jamaal', [1]), ('lee', [2]), ('ayanna', [1]), ('pressley', [1]), ('bush', [2, 4]), ('ilhan', [8]), ('cori', [8]), ('ramirez', [4, 1]), ('carson', [4]), ('andre', [4]), ('delia', [1])]","[('omar', ['Infrastructure/job/energy']), ('israel', ['War', 'Republicans vs democrats']), ('believe', ['Republicans vs democrats', 'American/economics/health']), ('congress', ['American/economics/health', 'Republicans vs democrats']), ('taking', ['American/economics/health', 'Republicans vs democrats']), ('rashida', ['Republicans vs democrats']), ('tlaib', ['Republicans vs democrats']), ('vote', ['Republicans vs democrats', 'War']), ('summer', ['American/economics/health', 'Infrastructure/job/energy']), ('racist', ['War', 'Republicans vs democrats']), ('member', ['Republicans vs democrats', 'American/economics/health']), ('alexandria', ['Republicans vs democrats']), ('cortez', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('ocasio', ['Republicans vs democrats']), ('remember', ['Republicans vs democrats', 'War']), ('name', ['Republicans vs democrats']), ('bowman', ['American/economics/health']), ('jamaal', ['American/economics/health']), ('lee', ['War']), ('ayanna', ['American/economics/health']), ('pressley', ['American/economics/health']), ('bush', ['War', 'Republicans vs democrats']), ('ilhan', ['Infrastructure/job/energy']), ('cori', ['Infrastructure/job/energy']), ('ramirez', ['Republicans vs democrats', 'American/economics/health']), ('carson', ['Republicans vs democrats']), ('andre', ['Republicans vs democrats']), ('delia', ['American/economics/health'])]"
NikkiHaley,2023-07-19 17:59:56+00:00,4,Republicans vs democrats,0.6656817,negative,0.7496182322502136,"{'negative': 0.7496182322502136, 'neutral': 0.23100581765174866, 'positive': 0.019375940784811974}",anger,0.5502986907958984,"{'anger': 0.5502986907958984, 'disgust': 0.376409113407135, 'fear': 0.05840111896395683, 'anticipation': 0.0048855990171432495, 'sadness': 0.002796109300106764, 'pessimism': 0.002657731529325247, 'optimism': 0.0018601056654006243, 'surprise': 0.0014314850559458137, 'joy': 0.0005833492032252252, 'trust': 0.0005120664136484265, 'love': 0.0001646699820412323}",not-hate,0.9876657724380492,"{'not-hate': 0.9876657724380493, 'hate': 0.012334182858467102}",non-offensive,0.6413410902023315,"{'non-offensive': 0.6413410902023315, 'offensive': 0.35865890979766846}",2.0,War,0.27651632,"Iran is months, if not weeks, away from getting a bomb and Joe Biden is giving the ayatollahs exactly what they want. https://t.co/R7bPS4pRfE",iran month week away getting bomb joe biden giving ayatollah exactly want,"[('biden', [4, 2]), ('week', [4]), ('joe', [4, 2]), ('month', [4]), ('iran', [2]), ('bomb', [2, 4]), ('exactly', [4, 2]), ('away', [4, 2]), ('getting', [4, 2]), ('giving', [4, 2]), ('want', [4, 2]), ('ayatollah', [4])]","[('biden', ['Republicans vs democrats', 'War']), ('week', ['Republicans vs democrats']), ('joe', ['Republicans vs democrats', 'War']), ('month', ['Republicans vs democrats']), ('iran', ['War']), ('bomb', ['War', 'Republicans vs democrats']), ('exactly', ['Republicans vs democrats', 'War']), ('away', ['Republicans vs democrats', 'War']), ('getting', ['Republicans vs democrats', 'War']), ('giving', ['Republicans vs democrats', 'War']), ('want', ['Republicans vs democrats', 'War']), ('ayatollah', ['Republicans vs democrats'])]"
NikkiHaley,2023-07-20 22:56:01+00:00,4,Republicans vs democrats,0.48558223,negative,0.679353654384613,"{'negative': 0.679353654384613, 'neutral': 0.29662543535232544, 'positive': 0.024020854383707047}",anger,0.6530130505561829,"{'anger': 0.6530130505561829, 'disgust': 0.1405501514673233, 'optimism': 0.13179484009742737, 'anticipation': 0.025027086958289146, 'fear': 0.018029063940048218, 'trust': 0.012083789333701134, 'pessimism': 0.009507455863058567, 'sadness': 0.004854279570281506, 'joy': 0.002521905116736889, 'surprise': 0.0016702421708032489, 'love': 0.0009482056484557688}",not-hate,0.9628047943115234,"{'not-hate': 0.9628047943115234, 'hate': 0.03719516471028328}",non-offensive,0.6431321501731873,"{'non-offensive': 0.6431321501731873, 'offensive': 0.35686784982681274}",1.0,American/economics/health,0.21521612,"To Joe Biden, Janet Yellen, John Kerry, &amp; all the people who think we can befriend China, pay attention. China is not our friend. China is our enemy. It’s time to wake up &amp; start acting like it. That starts by getting Joe Biden out of the White House. https://t.co/Wc36OD48Sg",joe biden janet yellen john kerry people think befriend china pay attention china friend china enemy time wake start acting like start getting joe biden white house,"[('biden', [4, 1]), ('people', [4, 2]), ('joe', [4, 2]), ('house', [4, 1]), ('like', [4, 2]), ('start', [4, 1]), ('china', [2, 4]), ('time', [4, 1]), ('getting', [4, 1]), ('think', [4, 2]), ('wake', [2, 4]), ('pay', [1, 4]), ('white', [4, 2]), ('enemy', [2, 4]), ('friend', [4, 2]), ('acting', [4, 2]), ('john', [4, 7]), ('attention', [4, 1]), ('janet', [1, 7]), ('yellen', [1]), ('kerry', [7]), ('befriend', [4, 2])]","[('biden', ['Republicans vs democrats', 'American/economics/health']), ('people', ['Republicans vs democrats', 'War']), ('joe', ['Republicans vs democrats', 'War']), ('house', ['Republicans vs democrats', 'American/economics/health']), ('like', ['Republicans vs democrats', 'War']), ('start', ['Republicans vs democrats', 'American/economics/health']), ('china', ['War', 'Republicans vs democrats']), ('time', ['Republicans vs democrats', 'American/economics/health']), ('getting', ['Republicans vs democrats', 'American/economics/health']), ('think', ['Republicans vs democrats', 'War']), ('wake', ['War', 'Republicans vs democrats']), ('pay', ['American/economics/health', 'Republicans vs democrats']), ('white', ['Republicans vs democrats', 'War']), ('enemy', ['War', 'Republicans vs democrats']), ('friend', ['Republicans vs democrats', 'War']), ('acting', ['Republicans vs democrats', 'War']), ('john', ['Republicans vs democrats', 'Abortion/rights/guns']), ('attention', ['Republicans vs democrats', 'American/economics/health']), ('janet', ['American/economics/health', 'Abortion/rights/guns']), ('yellen', ['American/economics/health']), ('kerry', ['Abortion/rights/guns']), ('befriend', ['Republicans vs democrats', 'War'])]"
NikkiHaley,2023-07-22 21:09:43+00:00,4,Republicans vs democrats,0.588212,neutral,0.5032042860984802,"{'neutral': 0.5032042860984802, 'negative': 0.4081268608570099, 'positive': 0.08866886794567108}",anger,0.7611505389213562,"{'anger': 0.7611505389213562, 'disgust': 0.20640015602111816, 'joy': 0.015222868882119656, 'optimism': 0.006603360641747713, 'fear': 0.002830912359058857, 'anticipation': 0.002388537162914872, 'sadness': 0.0016025061486288905, 'surprise': 0.0010766026098281145, 'trust': 0.000989045249298215, 'pessimism': 0.0009224086534231901, 'love': 0.0008130816277116537}",not-hate,0.9891336560249328,"{'not-hate': 0.9891336560249329, 'hate': 0.010866387747228146}",non-offensive,0.6148650050163269,"{'non-offensive': 0.6148650050163269, 'offensive': 0.3851349651813507}",5.0,Border/community/family,0.20535769,"RT @Excellent interview. @NikkiHaley condemns the appalling anti-Semitism of the hate-filled Left, including many in Joe Biden's own party.",interview condemns appalling anti semitism hate filled left including joe biden  party,"[('biden', [4, 5]), ('hate', [4, 5]), ('interview', [4, 6]), ('joe', [4, 5]), ('party', [4, 6]), ('left', [4, 6]), ('including', [4, 5]), ('anti', [4, 5]), ('condemns', [4]), ('filled', [5, 4]), ('appalling', [5]), ('semitism', [6])]","[('biden', ['Republicans vs democrats', 'Border/community/family']), ('hate', ['Republicans vs democrats', 'Border/community/family']), ('interview', ['Republicans vs democrats', 'Election/debate']), ('joe', ['Republicans vs democrats', 'Border/community/family']), ('party', ['Republicans vs democrats', 'Election/debate']), ('left', ['Republicans vs democrats', 'Election/debate']), ('including', ['Republicans vs democrats', 'Border/community/family']), ('anti', ['Republicans vs democrats', 'Border/community/family']), ('condemns', ['Republicans vs democrats']), ('filled', ['Border/community/family', 'Republicans vs democrats']), ('appalling', ['Border/community/family']), ('semitism', ['Election/debate'])]"
