username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
RonDeSantis,2023-10-05 22:51:29+00:00,4,Republicans vs democrats,0.42713884,negative,0.8331333994865417,"{'negative': 0.8331333994865417, 'neutral': 0.15061163902282715, 'positive': 0.016254937276244164}",anger,0.6584353446960449,"{'anger': 0.6584353446960449, 'disgust': 0.2947792410850525, 'optimism': 0.013276990503072739, 'anticipation': 0.008238514885306358, 'fear': 0.008099974133074284, 'pessimism': 0.007196272723376751, 'sadness': 0.006211332976818085, 'trust': 0.0015990688698366284, 'surprise': 0.0010170761961489916, 'joy': 0.000922027335036546, 'love': 0.0002241111797047779}",not-hate,0.9955910444259644,"{'not-hate': 0.9955910444259644, 'hate': 0.004409018903970718}",non-offensive,0.6031596660614014,"{'non-offensive': 0.6031596660614014, 'offensive': 0.39684030413627625}",5.0,Border/community/family,0.30075064,"Joe Biden has been missing in action on the border crisis and he has already done irreparable damage to the country. As President, I will actually follow through on Donald Trump's promise to have Mexico pay for a completed border wall and will use the military to hold the drug cartels accountable. The time for excuses is over.",joe biden missing action border crisis irreparable damage country president actually follow donald trump  promise mexico pay completed border wall use military hold drug cartel accountable time excuse,"[('biden', [4, 1]), ('military', [5, 1]), ('wall', [4, 5]), ('action', [1, 4]), ('joe', [4, 5]), ('donald', [4]), ('trump', [4, 1]), ('president', [4, 1]), ('damage', [4, 1]), ('time', [4, 5]), ('border', [5, 4]), ('country', [5, 1]), ('crisis', [5, 1]), ('pay', [1, 4]), ('actually', [4, 1]), ('drug', [1, 5]), ('follow', [4, 5]), ('use', [4, 1]), ('missing', [5, 4]), ('hold', [4, 1]), ('mexico', [5, 1]), ('promise', [5, 1]), ('excuse', [4, 5]), ('accountable', [4, 1]), ('completed', [4]), ('cartel', [5]), ('irreparable', [3])]","[('biden', ['Republicans vs democrats', 'American/economics/health']), ('military', ['Border/community/family', 'American/economics/health']), ('wall', ['Republicans vs democrats', 'Border/community/family']), ('action', ['American/economics/health', 'Republicans vs democrats']), ('joe', ['Republicans vs democrats', 'Border/community/family']), ('donald', ['Republicans vs democrats']), ('trump', ['Republicans vs democrats', 'American/economics/health']), ('president', ['Republicans vs democrats', 'American/economics/health']), ('damage', ['Republicans vs democrats', 'American/economics/health']), ('time', ['Republicans vs democrats', 'Border/community/family']), ('border', ['Border/community/family', 'Republicans vs democrats']), ('country', ['Border/community/family', 'American/economics/health']), ('crisis', ['Border/community/family', 'American/economics/health']), ('pay', ['American/economics/health', 'Republicans vs democrats']), ('actually', ['Republicans vs democrats', 'American/economics/health']), ('drug', ['American/economics/health', 'Border/community/family']), ('follow', ['Republicans vs democrats', 'Border/community/family']), ('use', ['Republicans vs democrats', 'American/economics/health']), ('missing', ['Border/community/family', 'Republicans vs democrats']), ('hold', ['Republicans vs democrats', 'American/economics/health']), ('mexico', ['Border/community/family', 'American/economics/health']), ('promise', ['Border/community/family', 'American/economics/health']), ('excuse', ['Republicans vs democrats', 'Border/community/family']), ('accountable', ['Republicans vs democrats', 'American/economics/health']), ('completed', ['Republicans vs democrats']), ('cartel', ['Border/community/family']), ('irreparable', ['News/radio/livestream'])]"
RonDeSantis,2023-05-01 21:50:32+00:00,4,Republicans vs democrats,0.92035514,negative,0.8657466769218445,"{'negative': 0.8657466769218445, 'neutral': 0.12362810969352722, 'positive': 0.010625319555401802}",anger,0.5877613425254822,"{'anger': 0.5877613425254822, 'disgust': 0.32704606652259827, 'sadness': 0.020379722118377686, 'optimism': 0.019903942942619324, 'anticipation': 0.01781279407441616, 'pessimism': 0.016818026080727577, 'fear': 0.00557361263781786, 'trust': 0.0016855710418894887, 'surprise': 0.0014223920879885554, 'joy': 0.001376488828100264, 'love': 0.0002201064198743552}",hate,0.5974631309509277,"{'hate': 0.5974631309509277, 'not-hate': 0.40253692865371704}",non-offensive,0.6768872737884521,"{'non-offensive': 0.6768872737884521, 'offensive': 0.32311269640922546}",1.0,American/economics/health,0.011389873,"RT @In Florida, we believe it’s only appropriate that the worst of the worst crimes deserve the worst of the worst punishment. https://t.co/pOg4UYe92m",florida believe appropriate worst worst crime deserve worst worst punishment,"[('believe', [4]), ('crime', [4]), ('punishment', [4]), ('florida', [4]), ('worst', [4]), ('deserve', [4]), ('appropriate', [4])]","[('believe', ['Republicans vs democrats']), ('crime', ['Republicans vs democrats']), ('punishment', ['Republicans vs democrats']), ('florida', ['Republicans vs democrats']), ('worst', ['Republicans vs democrats']), ('deserve', ['Republicans vs democrats']), ('appropriate', ['Republicans vs democrats'])]"
RonDeSantis,2023-08-10 16:53:32+00:00,4,Republicans vs democrats,0.46002385,negative,0.8714329600334167,"{'negative': 0.8714329600334167, 'neutral': 0.11697304248809814, 'positive': 0.01159390714019537}",anger,0.7668769955635071,"{'anger': 0.7668769955635071, 'disgust': 0.2233407348394394, 'fear': 0.0031527613755315542, 'optimism': 0.001636755419895053, 'sadness': 0.0013752427184954286, 'anticipation': 0.0012740512611344457, 'pessimism': 0.0009641462238505483, 'joy': 0.00043158530024811625, 'trust': 0.00039516668766736984, 'surprise': 0.00038783991476520896, 'love': 0.00016481261991430074}",not-hate,0.9892472624778748,"{'not-hate': 0.9892472624778748, 'hate': 0.010752744041383266}",non-offensive,0.5482301115989685,"{'non-offensive': 0.5482301115989685, 'offensive': 0.4517698884010315}",7.0,Abortion/rights/guns,0.2328307,"It’s disgraceful for the FBI to target Catholics as “extremists” — and for Christopher Wray to allow it. As President, I will defend religious liberty, stop the weaponization of our federal government once and for all, and I will fire Wray. https://t.co/QaBFFAWeAh",disgraceful fbi target catholic extremist christopher wray allow president defend religious liberty stop weaponization federal government fire wray,"[('president', [4, 2]), ('fire', [4, 2]), ('federal', [4, 7]), ('government', [4, 2]), ('stop', [2, 7]), ('allow', [2, 7]), ('fbi', [4]), ('catholic', [4]), ('liberty', [7, 4]), ('christopher', [2]), ('defend', [7, 4]), ('wray', [4]), ('target', [4, 2]), ('weaponization', [2]), ('religious', [7, 2]), ('extremist', [7, 4]), ('disgraceful', [3])]","[('president', ['Republicans vs democrats', 'War']), ('fire', ['Republicans vs democrats', 'War']), ('federal', ['Republicans vs democrats', 'Abortion/rights/guns']), ('government', ['Republicans vs democrats', 'War']), ('stop', ['War', 'Abortion/rights/guns']), ('allow', ['War', 'Abortion/rights/guns']), ('fbi', ['Republicans vs democrats']), ('catholic', ['Republicans vs democrats']), ('liberty', ['Abortion/rights/guns', 'Republicans vs democrats']), ('christopher', ['War']), ('defend', ['Abortion/rights/guns', 'Republicans vs democrats']), ('wray', ['Republicans vs democrats']), ('target', ['Republicans vs democrats', 'War']), ('weaponization', ['War']), ('religious', ['Abortion/rights/guns', 'War']), ('extremist', ['Abortion/rights/guns', 'Republicans vs democrats']), ('disgraceful', ['News/radio/livestream'])]"
RonDeSantis,2023-08-01 23:51:45+00:00,4,Republicans vs democrats,0.58252,neutral,0.5344173908233643,"{'neutral': 0.5344173908233643, 'negative': 0.3557771146297455, 'positive': 0.10980551689863205}",anger,0.6439784169197083,"{'anger': 0.6439784169197083, 'disgust': 0.2655975818634033, 'optimism': 0.04574815556406975, 'anticipation': 0.01357126422226429, 'pessimism': 0.009420723654329777, 'sadness': 0.007150748278945684, 'fear': 0.0065263002179563046, 'trust': 0.0040720622055232525, 'joy': 0.0019028387032449245, 'surprise': 0.0015312947798520327, 'love': 0.0005005835555493832}",not-hate,0.9931631088256836,"{'not-hate': 0.9931631088256836, 'hate': 0.006836945656687021}",non-offensive,0.6853940486907959,"{'non-offensive': 0.6853940486907959, 'offensive': 0.3146058917045593}",2.0,War,0.21892615,"As President, I will end the weaponization of government, replace the FBI Director, and ensure a single standard of justice for all Americans. While I’ve seen reports, I have not read the indictment. I do, though, believe we need to enact reforms so that Americans have the right to remove cases from Washington, DC to their home districts. Washington, DC is a “swamp” and it is unfair to have to stand trial before a jury that is reflective of the swamp mentality. One of the reasons our country is in decline is the politicization of the rule of law. No more excuses—I will end the weaponization of the federal government.",president end weaponization government replace fbi director ensure single standard justice american seen report read indictment believe need enact reform american right remove case washington  home district washington  swamp unfair stand trial jury reflective swamp mentality reason country decline politicization rule law excusesi end weaponization federal government,"[('report', [4, 1]), ('seen', [4, 2]), ('american', [1, 4]), ('believe', [4, 2]), ('decline', [4, 1]), ('law', [4, 1]), ('president', [4, 1]), ('reason', [4, 2]), ('need', [4, 1]), ('country', [4, 2]), ('right', [4, 2]), ('justice', [4, 1]), ('federal', [4, 1]), ('government', [4, 1]), ('reform', [1, 4]), ('single', [4, 1]), ('washington', [4, 1]), ('end', [1, 4]), ('read', [4, 1]), ('unfair', [1, 2]), ('home', [4, 1]), ('case', [4, 1]), ('rule', [4, 1]), ('standard', [4, 1]), ('swamp', [2, 4]), ('fbi', [4]), ('stand', [2, 4]), ('district', [4, 1]), ('trial', [4]), ('indictment', [4]), ('replace', [4]), ('remove', [4, 1]), ('director', [4]), ('jury', [4]), ('ensure', [1, 4]), ('weaponization', [2]), ('politicization', [4]), ('enact', [2]), ('mentality', [2]), ('reflective', [2]), ('excusesi', [4, 2])]","[('report', ['Republicans vs democrats', 'American/economics/health']), ('seen', ['Republicans vs democrats', 'War']), ('american', ['American/economics/health', 'Republicans vs democrats']), ('believe', ['Republicans vs democrats', 'War']), ('decline', ['Republicans vs democrats', 'American/economics/health']), ('law', ['Republicans vs democrats', 'American/economics/health']), ('president', ['Republicans vs democrats', 'American/economics/health']), ('reason', ['Republicans vs democrats', 'War']), ('need', ['Republicans vs democrats', 'American/economics/health']), ('country', ['Republicans vs democrats', 'War']), ('right', ['Republicans vs democrats', 'War']), ('justice', ['Republicans vs democrats', 'American/economics/health']), ('federal', ['Republicans vs democrats', 'American/economics/health']), ('government', ['Republicans vs democrats', 'American/economics/health']), ('reform', ['American/economics/health', 'Republicans vs democrats']), ('single', ['Republicans vs democrats', 'American/economics/health']), ('washington', ['Republicans vs democrats', 'American/economics/health']), ('end', ['American/economics/health', 'Republicans vs democrats']), ('read', ['Republicans vs democrats', 'American/economics/health']), ('unfair', ['American/economics/health', 'War']), ('home', ['Republicans vs democrats', 'American/economics/health']), ('case', ['Republicans vs democrats', 'American/economics/health']), ('rule', ['Republicans vs democrats', 'American/economics/health']), ('standard', ['Republicans vs democrats', 'American/economics/health']), ('swamp', ['War', 'Republicans vs democrats']), ('fbi', ['Republicans vs democrats']), ('stand', ['War', 'Republicans vs democrats']), ('district', ['Republicans vs democrats', 'American/economics/health']), ('trial', ['Republicans vs democrats']), ('indictment', ['Republicans vs democrats']), ('replace', ['Republicans vs democrats']), ('remove', ['Republicans vs democrats', 'American/economics/health']), ('director', ['Republicans vs democrats']), ('jury', ['Republicans vs democrats']), ('ensure', ['American/economics/health', 'Republicans vs democrats']), ('weaponization', ['War']), ('politicization', ['Republicans vs democrats']), ('enact', ['War']), ('mentality', ['War']), ('reflective', ['War']), ('excusesi', ['Republicans vs democrats', 'War'])]"
RonDeSantis,2023-08-01 01:14:15+00:00,4,Republicans vs democrats,0.8480824,negative,0.7659375667572021,"{'negative': 0.7659375667572021, 'neutral': 0.2200697511434555, 'positive': 0.013992725871503353}",anger,0.8619159460067749,"{'anger': 0.8619159460067749, 'disgust': 0.12851054966449738, 'optimism': 0.0026348591782152653, 'sadness': 0.0018822517013177276, 'anticipation': 0.0013684495352208614, 'pessimism': 0.0012255009496584535, 'fear': 0.0011579308193176985, 'trust': 0.0005279029137454927, 'joy': 0.0003952592087443918, 'surprise': 0.00020288013911340386, 'love': 0.00017849385039880872}",not-hate,0.9889255166053772,"{'not-hate': 0.9889255166053772, 'hate': 0.011074495501816273}",non-offensive,0.5462114214897156,"{'non-offensive': 0.5462114214897156, 'offensive': 0.45378854870796204}",5.0,Border/community/family,0.10495864,I don’t bend the knee to lies manufactured by corporate media and the Left. When the Left lies and creates phony narratives — as Kamala Harris is doing — I push back. https://t.co/EhLtMNuIeD,bend knee lie manufactured corporate medium left left lie creates phony narrative kamala harris push,"[('medium', [4]), ('left', [4, 5]), ('push', [4, 5]), ('narrative', [4]), ('lie', [4]), ('harris', [4, 5]), ('kamala', [4, 5]), ('bend', [5]), ('knee', [4, 5]), ('phony', [4]), ('corporate', [4]), ('manufactured', [4, 5]), ('creates', [4])]","[('medium', ['Republicans vs democrats']), ('left', ['Republicans vs democrats', 'Border/community/family']), ('push', ['Republicans vs democrats', 'Border/community/family']), ('narrative', ['Republicans vs democrats']), ('lie', ['Republicans vs democrats']), ('harris', ['Republicans vs democrats', 'Border/community/family']), ('kamala', ['Republicans vs democrats', 'Border/community/family']), ('bend', ['Border/community/family']), ('knee', ['Republicans vs democrats', 'Border/community/family']), ('phony', ['Republicans vs democrats']), ('corporate', ['Republicans vs democrats']), ('manufactured', ['Republicans vs democrats', 'Border/community/family']), ('creates', ['Republicans vs democrats'])]"
RonDeSantis,2023-08-22 02:25:50+00:00,4,Republicans vs democrats,0.86773545,negative,0.9040489792823792,"{'negative': 0.9040489792823792, 'neutral': 0.08466124534606934, 'positive': 0.011289818212389946}",anger,0.7141218185424805,"{'anger': 0.7141218185424805, 'disgust': 0.2696862518787384, 'fear': 0.005126554053276777, 'sadness': 0.0027972066309303045, 'pessimism': 0.002419138327240944, 'optimism': 0.0024155592545866966, 'anticipation': 0.002129822736606002, 'trust': 0.0005263482453301549, 'surprise': 0.0004209978797007352, 'joy': 0.00024316088820341974, 'love': 0.00011321691999910399}",not-hate,0.986148238182068,"{'not-hate': 0.9861482381820679, 'hate': 0.013851756229996681}",offensive,0.6135111451148987,"{'offensive': 0.6135111451148987, 'non-offensive': 0.3864888846874237}",2.0,War,0.09468126,"When I’m president, we will crack down on prosecutors, like those funded by George Soros, who reject the rule of law and refuse to hold criminals accountable. We cannot succeed as a country if every city is a total hellhole. https://t.co/cSIUt1MmTo",president crack prosecutor like funded george soros reject rule law refuse hold criminal accountable succeed country city total hellhole,"[('law', [4, 2]), ('like', [4, 2]), ('president', [4, 2]), ('country', [4, 2]), ('criminal', [4, 2]), ('city', [4, 2]), ('total', [4]), ('rule', [4, 2]), ('refuse', [4, 2]), ('prosecutor', [4]), ('hold', [4, 2]), ('crack', [4]), ('accountable', [4]), ('funded', [4, 2]), ('reject', [4, 2]), ('george', [4]), ('succeed', [4, 2]), ('soros', [4, 2]), ('hellhole', [2])]","[('law', ['Republicans vs democrats', 'War']), ('like', ['Republicans vs democrats', 'War']), ('president', ['Republicans vs democrats', 'War']), ('country', ['Republicans vs democrats', 'War']), ('criminal', ['Republicans vs democrats', 'War']), ('city', ['Republicans vs democrats', 'War']), ('total', ['Republicans vs democrats']), ('rule', ['Republicans vs democrats', 'War']), ('refuse', ['Republicans vs democrats', 'War']), ('prosecutor', ['Republicans vs democrats']), ('hold', ['Republicans vs democrats', 'War']), ('crack', ['Republicans vs democrats']), ('accountable', ['Republicans vs democrats']), ('funded', ['Republicans vs democrats', 'War']), ('reject', ['Republicans vs democrats', 'War']), ('george', ['Republicans vs democrats']), ('succeed', ['Republicans vs democrats', 'War']), ('soros', ['Republicans vs democrats', 'War']), ('hellhole', ['War'])]"
RonDeSantis,2023-08-22 03:45:28+00:00,4,Republicans vs democrats,0.54211265,negative,0.823701798915863,"{'negative': 0.823701798915863, 'neutral': 0.15828673541545868, 'positive': 0.01801145076751709}",anger,0.6496738791465759,"{'anger': 0.6496738791465759, 'disgust': 0.2274697721004486, 'fear': 0.10307097434997559, 'optimism': 0.006531041581183672, 'pessimism': 0.003383729374036193, 'sadness': 0.003261174773797393, 'anticipation': 0.0032347252126783133, 'trust': 0.001638231216929853, 'surprise': 0.0008069179020822048, 'joy': 0.0005286938394419849, 'love': 0.0004008640244137496}",not-hate,0.9944642186164856,"{'not-hate': 0.9944642186164856, 'hate': 0.005535770673304796}",non-offensive,0.538640022277832,"{'non-offensive': 0.538640022277832, 'offensive': 0.46136000752449036}",8.0,Infrastructure/job/energy,0.17226571,"The weaponization of the federal government is a threat to all Americans. As President, I will bring accountability. I will fire the FBI Director. I will clean house at the Justice Department. I will fire bureaucrats who abuse their power. And I will never allow radical groups like BLM to burn down our cities.",weaponization federal government threat american president bring accountability fire fbi director clean house justice department fire bureaucrat abuse power allow radical group like blm burn city,"[('american', [4, 8]), ('department', [4, 8]), ('group', [4, 8]), ('house', [4, 5]), ('like', [4, 2]), ('president', [4, 2]), ('threat', [4, 2]), ('fire', [4, 5]), ('abuse', [4]), ('power', [4, 8]), ('justice', [4, 5]), ('federal', [4, 8]), ('government', [4, 2]), ('city', [4, 5]), ('bring', [8, 4]), ('allow', [2, 4]), ('accountability', [4, 2]), ('fbi', [4]), ('burn', [4, 8]), ('director', [4, 8]), ('radical', [4, 2]), ('weaponization', [2]), ('clean', [8, 4]), ('blm', [5]), ('bureaucrat', [2, 8])]","[('american', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('department', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('group', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('house', ['Republicans vs democrats', 'Border/community/family']), ('like', ['Republicans vs democrats', 'War']), ('president', ['Republicans vs democrats', 'War']), ('threat', ['Republicans vs democrats', 'War']), ('fire', ['Republicans vs democrats', 'Border/community/family']), ('abuse', ['Republicans vs democrats']), ('power', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('justice', ['Republicans vs democrats', 'Border/community/family']), ('federal', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('government', ['Republicans vs democrats', 'War']), ('city', ['Republicans vs democrats', 'Border/community/family']), ('bring', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('allow', ['War', 'Republicans vs democrats']), ('accountability', ['Republicans vs democrats', 'War']), ('fbi', ['Republicans vs democrats']), ('burn', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('director', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('radical', ['Republicans vs democrats', 'War']), ('weaponization', ['War']), ('clean', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('blm', ['Border/community/family']), ('bureaucrat', ['War', 'Infrastructure/job/energy'])]"
RonDeSantis,2023-08-24 03:39:01+00:00,4,Republicans vs democrats,0.42987642,negative,0.6316689848899841,"{'negative': 0.6316689848899841, 'neutral': 0.3238391578197479, 'positive': 0.04449190944433212}",anger,0.4570151567459106,"{'anger': 0.45701515674591064, 'disgust': 0.3836446702480316, 'anticipation': 0.05097832530736923, 'optimism': 0.043001312762498856, 'sadness': 0.02415977418422699, 'pessimism': 0.021675705909729004, 'surprise': 0.0050078085623681545, 'joy': 0.004801816772669554, 'fear': 0.004772757180035114, 'trust': 0.004387654364109039, 'love': 0.0005550898495130241}",not-hate,0.998635470867157,"{'not-hate': 0.998635470867157, 'hate': 0.0013645360013470054}",non-offensive,0.9079012274742126,"{'non-offensive': 0.9079012274742126, 'offensive': 0.09209870547056198}",1.0,American/economics/health,0.37285343,"Biden was on the beach while those people were suffering in Maui. Are you kidding me? As somebody who has handled disasters, you have to be there. You have to be helping people. You have to lead. https://t.co/CgeaMHUCCF",biden beach people suffering maui kidding somebody handled disaster helping people lead,"[('biden', [4, 1]), ('lead', [4, 1]), ('people', [1, 4]), ('suffering', [1, 2]), ('helping', [1, 4]), ('maui', [1, 4]), ('beach', [4]), ('somebody', [4]), ('disaster', [1, 4]), ('handled', [4]), ('kidding', [2])]","[('biden', ['Republicans vs democrats', 'American/economics/health']), ('lead', ['Republicans vs democrats', 'American/economics/health']), ('people', ['American/economics/health', 'Republicans vs democrats']), ('suffering', ['American/economics/health', 'War']), ('helping', ['American/economics/health', 'Republicans vs democrats']), ('maui', ['American/economics/health', 'Republicans vs democrats']), ('beach', ['Republicans vs democrats']), ('somebody', ['Republicans vs democrats']), ('disaster', ['American/economics/health', 'Republicans vs democrats']), ('handled', ['Republicans vs democrats']), ('kidding', ['War'])]"
RonDeSantis,2023-07-29 17:02:39+00:00,4,Republicans vs democrats,0.70057327,negative,0.7738839983940125,"{'negative': 0.7738839983940125, 'neutral': 0.2040024846792221, 'positive': 0.022113490849733353}",anger,0.6813238859176636,"{'anger': 0.6813238859176636, 'optimism': 0.13540102541446686, 'disgust': 0.1263386756181717, 'anticipation': 0.01584707945585251, 'trust': 0.01407739520072937, 'fear': 0.009496013633906841, 'pessimism': 0.006001794245094061, 'joy': 0.00420227088034153, 'sadness': 0.0038654047530144453, 'surprise': 0.0017708998639136553, 'love': 0.001675471430644393}",not-hate,0.9961584210395812,"{'not-hate': 0.9961584210395813, 'hate': 0.0038416478782892227}",non-offensive,0.5189464092254639,"{'non-offensive': 0.5189464092254639, 'offensive': 0.48105356097221375}",2.0,War,0.27666593,"This is just the latest — and absurd — example of the weaponization of the federal government. Standing up the lies of people like Kamala Harris is the right thing to do. We will defend Florida and stand firm against false, politically-driven narratives. As President I will end the weaponization of government and hold partisan bureaucrats accountable for abusing their power. https://t.co/D2EDajQ3OW",latest absurd example weaponization federal government standing lie people like kamala harris right thing defend florida stand firm false politically driven narrative president end weaponization government hold partisan bureaucrat accountable abusing power,"[('people', [4, 2]), ('like', [4, 2]), ('president', [4, 2]), ('power', [4, 2]), ('thing', [4, 2]), ('right', [4, 2]), ('federal', [4]), ('government', [4, 2]), ('end', [4, 2]), ('florida', [4]), ('latest', [4, 2]), ('standing', [4, 2]), ('firm', [4, 2]), ('stand', [2, 4]), ('narrative', [4, 2]), ('false', [4, 2]), ('hold', [4, 2]), ('lie', [4, 2]), ('example', [4, 2]), ('harris', [4]), ('kamala', [4]), ('absurd', [4]), ('defend', [4, 2]), ('politically', [4]), ('accountable', [4]), ('weaponization', [2]), ('partisan', [4]), ('abusing', [2]), ('driven', [4, 2]), ('bureaucrat', [2])]","[('people', ['Republicans vs democrats', 'War']), ('like', ['Republicans vs democrats', 'War']), ('president', ['Republicans vs democrats', 'War']), ('power', ['Republicans vs democrats', 'War']), ('thing', ['Republicans vs democrats', 'War']), ('right', ['Republicans vs democrats', 'War']), ('federal', ['Republicans vs democrats']), ('government', ['Republicans vs democrats', 'War']), ('end', ['Republicans vs democrats', 'War']), ('florida', ['Republicans vs democrats']), ('latest', ['Republicans vs democrats', 'War']), ('standing', ['Republicans vs democrats', 'War']), ('firm', ['Republicans vs democrats', 'War']), ('stand', ['War', 'Republicans vs democrats']), ('narrative', ['Republicans vs democrats', 'War']), ('false', ['Republicans vs democrats', 'War']), ('hold', ['Republicans vs democrats', 'War']), ('lie', ['Republicans vs democrats', 'War']), ('example', ['Republicans vs democrats', 'War']), ('harris', ['Republicans vs democrats']), ('kamala', ['Republicans vs democrats']), ('absurd', ['Republicans vs democrats']), ('defend', ['Republicans vs democrats', 'War']), ('politically', ['Republicans vs democrats']), ('accountable', ['Republicans vs democrats']), ('weaponization', ['War']), ('partisan', ['Republicans vs democrats']), ('abusing', ['War']), ('driven', ['Republicans vs democrats', 'War']), ('bureaucrat', ['War'])]"
RonDeSantis,2023-06-29 16:17:31+00:00,4,Republicans vs democrats,0.5475967,neutral,0.6601254940032959,"{'neutral': 0.6601254940032959, 'negative': 0.24296587705612183, 'positive': 0.09690859168767929}",anger,0.4508510231971741,"{'anger': 0.4508510231971741, 'optimism': 0.23384836316108704, 'disgust': 0.13335999846458435, 'anticipation': 0.09541414678096771, 'trust': 0.031800657510757446, 'fear': 0.017651855945587158, 'joy': 0.014585588127374649, 'pessimism': 0.00916516873985529, 'surprise': 0.006407848093658686, 'sadness': 0.004356367979198694, 'love': 0.002559056505560875}",not-hate,0.976075291633606,"{'not-hate': 0.976075291633606, 'hate': 0.023924637585878372}",non-offensive,0.7817450761795044,"{'non-offensive': 0.7817450761795044, 'offensive': 0.21825487911701202}",2.0,War,0.24848694,"While the Biden-Garland DOJ sides with Communist China, I side with the American people. As governor, I prohibited CCP-tied entities from buying land in Florida. As president, I'll do the same. https://t.co/TetevJzAOM",biden garland doj side communist china american people governor prohibited ccp tied entity buying land florida president,"[('american', [4, 2]), ('biden', [4, 2]), ('people', [4, 2]), ('side', [4, 2]), ('president', [4, 2]), ('china', [2, 4]), ('florida', [4, 8]), ('land', [8]), ('governor', [4, 8]), ('communist', [2, 4]), ('doj', [4]), ('garland', [4]), ('entity', [4, 8]), ('buying', [8, 2]), ('tied', [4, 2]), ('ccp', [2, 4]), ('prohibited', [2])]","[('american', ['Republicans vs democrats', 'War']), ('biden', ['Republicans vs democrats', 'War']), ('people', ['Republicans vs democrats', 'War']), ('side', ['Republicans vs democrats', 'War']), ('president', ['Republicans vs democrats', 'War']), ('china', ['War', 'Republicans vs democrats']), ('florida', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('land', ['Infrastructure/job/energy']), ('governor', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('communist', ['War', 'Republicans vs democrats']), ('doj', ['Republicans vs democrats']), ('garland', ['Republicans vs democrats']), ('entity', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('buying', ['Infrastructure/job/energy', 'War']), ('tied', ['Republicans vs democrats', 'War']), ('ccp', ['War', 'Republicans vs democrats']), ('prohibited', ['War'])]"
