username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
SenatorHick,2023-05-05 01:26:06+00:00,8,Infrastructure/job/energy,0.52048576,negative,0.4545775651931762,"{'negative': 0.45457756519317627, 'neutral': 0.44127586483955383, 'positive': 0.10414659231901169}",optimism,0.4595213830471039,"{'optimism': 0.4595213830471039, 'fear': 0.4252900183200836, 'anticipation': 0.03912990167737007, 'trust': 0.02056679129600525, 'anger': 0.018182838335633278, 'joy': 0.017231756821274757, 'disgust': 0.010141897015273571, 'pessimism': 0.004410674795508385, 'surprise': 0.0022846159990876913, 'sadness': 0.0018110809614881873, 'love': 0.0014290361432358623}",not-hate,0.9990150928497314,"{'not-hate': 0.9990150928497314, 'hate': 0.0009849003981798887}",non-offensive,0.9268128275871276,"{'non-offensive': 0.9268128275871277, 'offensive': 0.0731872022151947}",1.0,American/economics/health,0.22215052,"We wrote and passed the Bipartisan Infrastructure Law to deliver for Colorado, and that’s what this is. Wildfires now wreak havoc year-round. Expanding fuel breaks to slow the spread of future wildfires and keep our firefighters safe is absolutely essential.",wrote passed bipartisan infrastructure law deliver colorado wildfire wreak havoc year round expanding fuel break slow spread future wildfire firefighter safe absolutely essential,"[('year', [8, 1]), ('law', [8, 1]), ('break', [1, 8]), ('colorado', [5, 2]), ('safe', [8, 1]), ('future', [8, 1]), ('wrote', [8, 1]), ('absolutely', [2, 1]), ('deliver', [8, 1]), ('passed', [1, 8]), ('slow', [8, 2]), ('fuel', [8, 1]), ('bipartisan', [8, 1]), ('spread', [8, 2]), ('wildfire', [8, 1]), ('round', [8, 5]), ('havoc', [2]), ('wreak', [2]), ('essential', [1, 5]), ('infrastructure', [8, 1]), ('expanding', [8, 1]), ('firefighter', [8, 1])]","[('year', ['Infrastructure/job/energy', 'American/economics/health']), ('law', ['Infrastructure/job/energy', 'American/economics/health']), ('break', ['American/economics/health', 'Infrastructure/job/energy']), ('colorado', ['Border/community/family', 'War']), ('safe', ['Infrastructure/job/energy', 'American/economics/health']), ('future', ['Infrastructure/job/energy', 'American/economics/health']), ('wrote', ['Infrastructure/job/energy', 'American/economics/health']), ('absolutely', ['War', 'American/economics/health']), ('deliver', ['Infrastructure/job/energy', 'American/economics/health']), ('passed', ['American/economics/health', 'Infrastructure/job/energy']), ('slow', ['Infrastructure/job/energy', 'War']), ('fuel', ['Infrastructure/job/energy', 'American/economics/health']), ('bipartisan', ['Infrastructure/job/energy', 'American/economics/health']), ('spread', ['Infrastructure/job/energy', 'War']), ('wildfire', ['Infrastructure/job/energy', 'American/economics/health']), ('round', ['Infrastructure/job/energy', 'Border/community/family']), ('havoc', ['War']), ('wreak', ['War']), ('essential', ['American/economics/health', 'Border/community/family']), ('infrastructure', ['Infrastructure/job/energy', 'American/economics/health']), ('expanding', ['Infrastructure/job/energy', 'American/economics/health']), ('firefighter', ['Infrastructure/job/energy', 'American/economics/health'])]"
RepSlotkin,2023-05-05 03:39:30+00:00,8,Infrastructure/job/energy,0.4303778,positive,0.9772183895111084,"{'positive': 0.9772183895111084, 'neutral': 0.02082844451069832, 'negative': 0.001953158527612686}",joy,0.8730894923210144,"{'joy': 0.8730894923210144, 'optimism': 0.11307533830404282, 'love': 0.009358680807054043, 'trust': 0.002496484899893403, 'anticipation': 0.0009871821384876966, 'surprise': 0.0004495593311730772, 'anger': 0.000141620053909719, 'fear': 0.00013302109437063336, 'disgust': 0.00010291216312907636, 'sadness': 9.248823334928602e-05, 'pessimism': 7.33005435904488e-05}",not-hate,0.9990023970603944,"{'not-hate': 0.9990023970603943, 'hate': 0.0009976712753996253}",non-offensive,0.9664331674575806,"{'non-offensive': 0.9664331674575806, 'offensive': 0.033566851168870926}",7.0,Abortion/rights/guns,0.19323976,"Always great to connect in-person with our first responders, and I’m grateful to Chief Ken Van Sparrentak for showing me around the Lyon Township Fire Department. With this being one of the fastest growing areas in the state, the Fire Department has had to adapt to keep pace. https://t.co/MvdHmPsP6U",great connect person responder grateful chief ken van sparrentak showing lyon township fire department fastest growing area state fire department adapt pace,"[('state', [8, 5]), ('person', [7, 8]), ('department', [8, 5]), ('showing', [6, 4]), ('area', [8, 5]), ('chief', [5, 4]), ('fire', [8, 5]), ('great', [8, 5]), ('growing', [8, 5]), ('responder', [5, 8]), ('ken', [4, 7]), ('connect', [8, 6]), ('van', [7]), ('grateful', [5, 8]), ('pace', [8, 6]), ('adapt', [6]), ('township', [7]), ('fastest', [8]), ('lyon', [7]), ('sparrentak', [8, 7])]","[('state', ['Infrastructure/job/energy', 'Border/community/family']), ('person', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('department', ['Infrastructure/job/energy', 'Border/community/family']), ('showing', ['Election/debate', 'Republicans vs democrats']), ('area', ['Infrastructure/job/energy', 'Border/community/family']), ('chief', ['Border/community/family', 'Republicans vs democrats']), ('fire', ['Infrastructure/job/energy', 'Border/community/family']), ('great', ['Infrastructure/job/energy', 'Border/community/family']), ('growing', ['Infrastructure/job/energy', 'Border/community/family']), ('responder', ['Border/community/family', 'Infrastructure/job/energy']), ('ken', ['Republicans vs democrats', 'Abortion/rights/guns']), ('connect', ['Infrastructure/job/energy', 'Election/debate']), ('van', ['Abortion/rights/guns']), ('grateful', ['Border/community/family', 'Infrastructure/job/energy']), ('pace', ['Infrastructure/job/energy', 'Election/debate']), ('adapt', ['Election/debate']), ('township', ['Abortion/rights/guns']), ('fastest', ['Infrastructure/job/energy']), ('lyon', ['Abortion/rights/guns']), ('sparrentak', ['Infrastructure/job/energy', 'Abortion/rights/guns'])]"
RepSlotkin,2023-05-05 03:39:31+00:00,8,Infrastructure/job/energy,0.7337718,positive,0.8016194701194763,"{'positive': 0.8016194701194763, 'neutral': 0.19042406976222992, 'negative': 0.00795648992061615}",optimism,0.8332241773605347,"{'optimism': 0.8332241773605347, 'joy': 0.12310824543237686, 'anticipation': 0.021721094846725464, 'trust': 0.016715364530682564, 'love': 0.001635372987948358, 'fear': 0.0011332539143040776, 'surprise': 0.0008344077505171299, 'sadness': 0.0004488678532652557, 'pessimism': 0.0004449368279892951, 'anger': 0.0004448657564353198, 'disgust': 0.00028944254154339433}",not-hate,0.9992214441299438,"{'not-hate': 0.9992214441299438, 'hate': 0.0007785410853102803}",non-offensive,0.9487158060073853,"{'non-offensive': 0.9487158060073853, 'offensive': 0.05128418281674385}",7.0,Abortion/rights/guns,0.12030064,"We had a good conversation about federal grants and programs that can help support that growth, as well as the challenges faced by all fire departments, including Lyon Township, to find and train the next generation of firefighters.",good conversation federal grant program help support growth challenge faced fire department including lyon township find train generation firefighter,"[('support', [8, 1]), ('department', [8, 1]), ('fire', [8, 7]), ('good', [8, 1]), ('help', [8, 1]), ('federal', [8, 1]), ('conversation', [8, 1]), ('including', [8, 1]), ('program', [8, 1]), ('challenge', [8, 1]), ('train', [8, 1]), ('find', [8, 1]), ('generation', [8, 7]), ('faced', [1]), ('grant', [8, 1]), ('growth', [8, 1]), ('firefighter', [8, 1]), ('township', [7]), ('lyon', [7])]","[('support', ['Infrastructure/job/energy', 'American/economics/health']), ('department', ['Infrastructure/job/energy', 'American/economics/health']), ('fire', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('good', ['Infrastructure/job/energy', 'American/economics/health']), ('help', ['Infrastructure/job/energy', 'American/economics/health']), ('federal', ['Infrastructure/job/energy', 'American/economics/health']), ('conversation', ['Infrastructure/job/energy', 'American/economics/health']), ('including', ['Infrastructure/job/energy', 'American/economics/health']), ('program', ['Infrastructure/job/energy', 'American/economics/health']), ('challenge', ['Infrastructure/job/energy', 'American/economics/health']), ('train', ['Infrastructure/job/energy', 'American/economics/health']), ('find', ['Infrastructure/job/energy', 'American/economics/health']), ('generation', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('faced', ['American/economics/health']), ('grant', ['Infrastructure/job/energy', 'American/economics/health']), ('growth', ['Infrastructure/job/energy', 'American/economics/health']), ('firefighter', ['Infrastructure/job/energy', 'American/economics/health']), ('township', ['Abortion/rights/guns']), ('lyon', ['Abortion/rights/guns'])]"
TulsiGabbard,2023-05-05 13:18:49+00:00,8,Infrastructure/job/energy,0.31228924,negative,0.5149237513542175,"{'negative': 0.5149237513542175, 'neutral': 0.44925516843795776, 'positive': 0.035821087658405304}",fear,0.8040337562561035,"{'fear': 0.8040337562561035, 'disgust': 0.08697450906038284, 'anger': 0.07424693554639816, 'sadness': 0.013879294507205486, 'pessimism': 0.011248797178268433, 'optimism': 0.004528706427663565, 'anticipation': 0.0030684794764965773, 'trust': 0.0008340285276062787, 'surprise': 0.0007168537122197449, 'joy': 0.00027875800151377916, 'love': 0.00018984227790497243}",not-hate,0.9967549443244934,"{'not-hate': 0.9967549443244934, 'hate': 0.0032450039871037006}",offensive,0.6050710082054138,"{'offensive': 0.6050710082054138, 'non-offensive': 0.3949289321899414}",1.0,American/economics/health,0.31217438,"Just because someone is mentally ill, they are not exempt from the law. We need strong leaders who will keep us safe by putting criminals in jail & those who are mentally ill posing a threat to others in a mental institution - for their wellbeing and the wellbeing of our communities.",mentally ill exempt law need strong leader safe putting criminal jail mentally ill posing threat mental institution wellbeing wellbeing community,"[('law', [8, 1]), ('threat', [4, 8]), ('need', [1, 8]), ('criminal', [4]), ('safe', [8, 1]), ('mental', [1, 4]), ('community', [8, 1]), ('ill', [6, 1]), ('leader', [8, 4]), ('putting', [1, 8]), ('jail', [4, 1]), ('exempt', [8]), ('strong', [8, 1]), ('mentally', [4]), ('institution', [8]), ('posing', [6]), ('wellbeing', [1])]","[('law', ['Infrastructure/job/energy', 'American/economics/health']), ('threat', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('need', ['American/economics/health', 'Infrastructure/job/energy']), ('criminal', ['Republicans vs democrats']), ('safe', ['Infrastructure/job/energy', 'American/economics/health']), ('mental', ['American/economics/health', 'Republicans vs democrats']), ('community', ['Infrastructure/job/energy', 'American/economics/health']), ('ill', ['Election/debate', 'American/economics/health']), ('leader', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('putting', ['American/economics/health', 'Infrastructure/job/energy']), ('jail', ['Republicans vs democrats', 'American/economics/health']), ('exempt', ['Infrastructure/job/energy']), ('strong', ['Infrastructure/job/energy', 'American/economics/health']), ('mentally', ['Republicans vs democrats']), ('institution', ['Infrastructure/job/energy']), ('posing', ['Election/debate']), ('wellbeing', ['American/economics/health'])]"
dscc,2023-05-05 15:22:46+00:00,8,Infrastructure/job/energy,0.45388564,neutral,0.7467451691627502,"{'neutral': 0.7467451691627502, 'positive': 0.2403416633605957, 'negative': 0.012913234531879425}",optimism,0.5548023581504822,"{'optimism': 0.5548023581504822, 'joy': 0.3782593309879303, 'anticipation': 0.03928523138165474, 'trust': 0.01665705069899559, 'love': 0.0035338555462658405, 'surprise': 0.0017356821335852146, 'sadness': 0.0015208391705527902, 'anger': 0.0014669812517240644, 'disgust': 0.001044823438860476, 'pessimism': 0.0009860049467533827, 'fear': 0.0007078837952576578}",not-hate,0.998828113079071,"{'not-hate': 0.998828113079071, 'hate': 0.0011719269677996635}",non-offensive,0.7755054235458374,"{'non-offensive': 0.7755054235458374, 'offensive': 0.22449462115764618}",5.0,Border/community/family,0.21459109,"He delivers his wheat in an eighteen-wheeler. He buys grease by the case and seeds by the ton. He butchers his own beef. He and his wife, Sharla, work the farm hand-in-hand. His farm work is non-negotiable and keeps him, quite literally, grounded.",delivers wheat eighteen wheeler buy grease case seed ton butcher beef wife sharla work farm hand hand farm work non negotiable keep literally grounded,"[('hand', [8, 5]), ('literally', [4, 5]), ('work', [8, 5]), ('buy', [8, 4]), ('case', [4, 7]), ('wife', [5, 4]), ('non', [4, 8]), ('delivers', [7, 8]), ('keep', [8, 4]), ('wheeler', [8]), ('ton', [5, 4]), ('butcher', [7]), ('farm', [8, 5]), ('seed', [8]), ('beef', [5]), ('grease', [4]), ('grounded', [5]), ('negotiable', [7]), ('eighteen', [5]), ('sharla', [8]), ('wheat', [8])]","[('hand', ['Infrastructure/job/energy', 'Border/community/family']), ('literally', ['Republicans vs democrats', 'Border/community/family']), ('work', ['Infrastructure/job/energy', 'Border/community/family']), ('buy', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('case', ['Republicans vs democrats', 'Abortion/rights/guns']), ('wife', ['Border/community/family', 'Republicans vs democrats']), ('non', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('delivers', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('keep', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('wheeler', ['Infrastructure/job/energy']), ('ton', ['Border/community/family', 'Republicans vs democrats']), ('butcher', ['Abortion/rights/guns']), ('farm', ['Infrastructure/job/energy', 'Border/community/family']), ('seed', ['Infrastructure/job/energy']), ('beef', ['Border/community/family']), ('grease', ['Republicans vs democrats']), ('grounded', ['Border/community/family']), ('negotiable', ['Abortion/rights/guns']), ('eighteen', ['Border/community/family']), ('sharla', ['Infrastructure/job/energy']), ('wheat', ['Infrastructure/job/energy'])]"
SenDuckworth,2023-05-05 16:44:15+00:00,8,Infrastructure/job/energy,0.4029484,positive,0.8423101305961609,"{'positive': 0.8423101305961609, 'neutral': 0.14155104756355286, 'negative': 0.01613878831267357}",optimism,0.8056877851486206,"{'optimism': 0.8056877851486206, 'joy': 0.11121334135532379, 'anger': 0.035546138882637024, 'trust': 0.02017592079937458, 'anticipation': 0.009397990070283413, 'disgust': 0.00815966259688139, 'love': 0.0045742252841591835, 'sadness': 0.0017363607184961438, 'pessimism': 0.001506939996033907, 'fear': 0.0011087724706158042, 'surprise': 0.0008928587776608765}",not-hate,0.9986746311187744,"{'not-hate': 0.9986746311187744, 'hate': 0.0013253561919555068}",non-offensive,0.9284425973892212,"{'non-offensive': 0.9284425973892212, 'offensive': 0.0715574249625206}",6.0,Election/debate,0.2770372,"I'm pro-union and proud. To all of the writers of the Writers Guild of America on strike, I'm with you. Everyone has a right to fair wages. Everyone should be treated equally in the workplace. Everyone benefits from more diversity in the writers’ room.",pro union proud writer writer guild america strike right fair wage treated equally workplace benefit diversity writer room,"[('strike', [8, 6]), ('america', [8, 6]), ('pro', [8, 7]), ('right', [7, 8]), ('proud', [8, 7]), ('room', [6]), ('union', [8]), ('benefit', [8]), ('fair', [6, 8]), ('treated', [7, 8]), ('equally', [7]), ('wage', [8]), ('diversity', [7]), ('workplace', [8, 7]), ('writer', [6]), ('guild', [2])]","[('strike', ['Infrastructure/job/energy', 'Election/debate']), ('america', ['Infrastructure/job/energy', 'Election/debate']), ('pro', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('right', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('proud', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('room', ['Election/debate']), ('union', ['Infrastructure/job/energy']), ('benefit', ['Infrastructure/job/energy']), ('fair', ['Election/debate', 'Infrastructure/job/energy']), ('treated', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('equally', ['Abortion/rights/guns']), ('wage', ['Infrastructure/job/energy']), ('diversity', ['Abortion/rights/guns']), ('workplace', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('writer', ['Election/debate']), ('guild', ['War'])]"
RepSherrill,2023-05-05 18:16:01+00:00,8,Infrastructure/job/energy,0.8145201,positive,0.9460489153862,"{'positive': 0.9460489153862, 'neutral': 0.05065130442380905, 'negative': 0.003299790434539318}",joy,0.6655969619750977,"{'joy': 0.6655969619750977, 'optimism': 0.3142358660697937, 'anticipation': 0.008373002521693707, 'trust': 0.0065032318234443665, 'love': 0.003441761713474989, 'surprise': 0.0007903653895482421, 'anger': 0.00026807852555066347, 'fear': 0.00022649519087281078, 'sadness': 0.00021639920305460691, 'disgust': 0.00018180215556640178, 'pessimism': 0.00016601635434199125}",not-hate,0.9990707039833068,"{'not-hate': 0.9990707039833069, 'hate': 0.0009293814655393362}",non-offensive,0.9635908007621764,"{'non-offensive': 0.9635908007621765, 'offensive': 0.0364091694355011}",6.0,Election/debate,0.14130527,"RT @The State-of-the-State of Manufacturing Summit is behind us, but more work still needs to be done! Thank you to all the manufacturers, industry partners, and legislators that came out to help drive #MADEinNJ Manufacturing forward! #StateoftheState #Manufacturing #NewJersey https://t.co/3O7ZFsy4be",state state manufacturing summit work need thank manufacturer industry partner legislator came help drive manufacturing forward,"[('state', [8, 6]), ('came', [8, 6]), ('need', [8, 6]), ('work', [8, 6]), ('help', [8, 6]), ('partner', [8, 6]), ('forward', [8, 6]), ('thank', [8, 6]), ('manufacturer', [8]), ('drive', [8, 6]), ('manufacturing', [8]), ('summit', [8]), ('industry', [8]), ('legislator', [6])]","[('state', ['Infrastructure/job/energy', 'Election/debate']), ('came', ['Infrastructure/job/energy', 'Election/debate']), ('need', ['Infrastructure/job/energy', 'Election/debate']), ('work', ['Infrastructure/job/energy', 'Election/debate']), ('help', ['Infrastructure/job/energy', 'Election/debate']), ('partner', ['Infrastructure/job/energy', 'Election/debate']), ('forward', ['Infrastructure/job/energy', 'Election/debate']), ('thank', ['Infrastructure/job/energy', 'Election/debate']), ('manufacturer', ['Infrastructure/job/energy']), ('drive', ['Infrastructure/job/energy', 'Election/debate']), ('manufacturing', ['Infrastructure/job/energy']), ('summit', ['Infrastructure/job/energy']), ('industry', ['Infrastructure/job/energy']), ('legislator', ['Election/debate'])]"
GovMLG,2023-05-05 18:19:03+00:00,8,Infrastructure/job/energy,0.51160306,neutral,0.7345232367515564,"{'neutral': 0.7345232367515564, 'positive': 0.26188626885414124, 'negative': 0.003590503940358758}",joy,0.5808380246162415,"{'joy': 0.5808380246162415, 'anticipation': 0.295712411403656, 'optimism': 0.06618107110261917, 'surprise': 0.02964118868112564, 'trust': 0.011795714497566223, 'disgust': 0.0037805454339832067, 'love': 0.003438336309045553, 'anger': 0.0030921900179237127, 'sadness': 0.0020153892692178488, 'fear': 0.0019225925207138062, 'pessimism': 0.001582488650456071}",not-hate,0.9984560012817384,"{'not-hate': 0.9984560012817383, 'hate': 0.0015439719427376986}",non-offensive,0.9414373636245728,"{'non-offensive': 0.9414373636245728, 'offensive': 0.05856259912252426}",6.0,Election/debate,0.2248435,HAPPENING NOW: I’m talking public health policy with @JohnsHopkinsSPH Dean Ellen MacKenzie. Join us!,happening talking public health policy dean ellen mackenzie join,"[('happening', [8, 6]), ('health', [8, 1]), ('public', [8, 6]), ('talking', [6, 2]), ('policy', [8, 6]), ('join', [6, 8]), ('ellen', [8]), ('dean', [2]), ('mackenzie', [8])]","[('happening', ['Infrastructure/job/energy', 'Election/debate']), ('health', ['Infrastructure/job/energy', 'American/economics/health']), ('public', ['Infrastructure/job/energy', 'Election/debate']), ('talking', ['Election/debate', 'War']), ('policy', ['Infrastructure/job/energy', 'Election/debate']), ('join', ['Election/debate', 'Infrastructure/job/energy']), ('ellen', ['Infrastructure/job/energy']), ('dean', ['War']), ('mackenzie', ['Infrastructure/job/energy'])]"
SenatorHick,2023-05-05 19:06:32+00:00,8,Infrastructure/job/energy,0.6488879,positive,0.9837698936462402,"{'positive': 0.9837698936462402, 'neutral': 0.01475307997316122, 'negative': 0.0014769649133086205}",joy,0.7561985850334167,"{'joy': 0.7561985850334167, 'optimism': 0.2064206600189209, 'love': 0.03075435571372509, 'trust': 0.004580122418701649, 'anticipation': 0.0009460964356549084, 'surprise': 0.0003317710943520069, 'fear': 0.00020464301633182913, 'sadness': 0.000202975730644539, 'pessimism': 0.00013520957145374268, 'anger': 0.00013064194354228675, 'disgust': 9.485886403126642e-05}",not-hate,0.9991186261177064,"{'not-hate': 0.9991186261177063, 'hate': 0.0008814016473479569}",non-offensive,0.967410922050476,"{'non-offensive': 0.9674109220504761, 'offensive': 0.03258908540010452}",5.0,Border/community/family,0.28285024,"Don’t forget – it’s #SmallBusinessWeek! Small businesses are the lifeblood of our state’s economy. Be sure to show them some love this week, and every week! https://t.co/GahJYN9IyP",forget small business lifeblood state economy sure love week week,"[('state', [8, 5]), ('week', [8, 5]), ('love', [5]), ('sure', [8, 5]), ('business', [8, 5]), ('small', [8, 5]), ('economy', [8]), ('forget', [5]), ('lifeblood', [8])]","[('state', ['Infrastructure/job/energy', 'Border/community/family']), ('week', ['Infrastructure/job/energy', 'Border/community/family']), ('love', ['Border/community/family']), ('sure', ['Infrastructure/job/energy', 'Border/community/family']), ('business', ['Infrastructure/job/energy', 'Border/community/family']), ('small', ['Infrastructure/job/energy', 'Border/community/family']), ('economy', ['Infrastructure/job/energy']), ('forget', ['Border/community/family']), ('lifeblood', ['Infrastructure/job/energy'])]"
SenatorTimScott,2023-05-05 20:02:16+00:00,8,Infrastructure/job/energy,0.46240088,positive,0.9802783131599426,"{'positive': 0.9802783131599426, 'neutral': 0.015994371846318245, 'negative': 0.0037272546906024218}",optimism,0.5230340957641602,"{'optimism': 0.5230340957641602, 'joy': 0.459291011095047, 'trust': 0.007721060886979103, 'love': 0.007013244554400444, 'anticipation': 0.0016512770671397448, 'surprise': 0.00036356481723487377, 'fear': 0.0002575594699010253, 'anger': 0.00020810432033613324, 'sadness': 0.00018533690308686346, 'pessimism': 0.00015108245133887976, 'disgust': 0.00012368950410746038}",not-hate,0.9990758895874025,"{'not-hate': 0.9990758895874023, 'hate': 0.0009240561630576849}",non-offensive,0.9672128558158876,"{'non-offensive': 0.9672128558158875, 'offensive': 0.03278713300824165}",6.0,Election/debate,0.22985734,"A true entrepreneur, Michael meets every challenge with a solution. He is living proof that hard work, a thirst for learning, and an optimistic outlook can take you anywhere. He makes our state proud. #NationalSmallBusinessWeek https://t.co/YkLo2eWCHM",true entrepreneur michael meet challenge solution living proof hard work thirst learning optimistic outlook make state proud,"[('state', [8, 6]), ('work', [8, 7]), ('proud', [8, 7]), ('hard', [8, 6]), ('make', [8, 6]), ('challenge', [8, 6]), ('living', [1, 7]), ('true', [6, 7]), ('proof', [8]), ('solution', [8, 1]), ('meet', [8, 6]), ('learning', [8, 1]), ('michael', [6]), ('entrepreneur', [8]), ('optimistic', [6, 8]), ('thirst', [7]), ('outlook', [7])]","[('state', ['Infrastructure/job/energy', 'Election/debate']), ('work', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('proud', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('hard', ['Infrastructure/job/energy', 'Election/debate']), ('make', ['Infrastructure/job/energy', 'Election/debate']), ('challenge', ['Infrastructure/job/energy', 'Election/debate']), ('living', ['American/economics/health', 'Abortion/rights/guns']), ('true', ['Election/debate', 'Abortion/rights/guns']), ('proof', ['Infrastructure/job/energy']), ('solution', ['Infrastructure/job/energy', 'American/economics/health']), ('meet', ['Infrastructure/job/energy', 'Election/debate']), ('learning', ['Infrastructure/job/energy', 'American/economics/health']), ('michael', ['Election/debate']), ('entrepreneur', ['Infrastructure/job/energy']), ('optimistic', ['Election/debate', 'Infrastructure/job/energy']), ('thirst', ['Abortion/rights/guns']), ('outlook', ['Abortion/rights/guns'])]"
