username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
laurenboebert,2023-05-15 00:47:19+00:00,4,Republicans vs democrats,0.27881458,negative,0.4571857154369354,"{'negative': 0.4571857154369354, 'neutral': 0.4419175088405609, 'positive': 0.10089682042598724}",optimism,0.6814278364181519,"{'optimism': 0.6814278364181519, 'anticipation': 0.13231949508190155, 'fear': 0.05252651870250702, 'trust': 0.05001795291900635, 'anger': 0.041250117123126984, 'disgust': 0.01737954095005989, 'joy': 0.009555425494909286, 'pessimism': 0.0073733823373913765, 'surprise': 0.004237839486449957, 'sadness': 0.0022198930382728577, 'love': 0.001692082965746522}",not-hate,0.9984005093574524,"{'not-hate': 0.9984005093574524, 'hate': 0.0015994497807696462}",non-offensive,0.8853750228881836,"{'non-offensive': 0.8853750228881836, 'offensive': 0.1146249994635582}",6.0,Election/debate,0.25994846,"Yesterday, Joe Biden said that the ""oldest, most sinister forces may believe they determine America's future"". Right now, with his administration in charge, they most certainly are trying to do just that. 2024 is going to determine if we turn this country around or fall victim to the worst of the worst. I'm working extremely hard to keep Colorado's 3rd District RED. We have to hold every seat we currently have and GROW our majority. Can I count on you to support my campaign today with a small donation of even $5.00? It's going to take all of us to stand up against the dark, sinister forces trying to transform this country. Stand with me - donate now: https://t.co/6z9GBfzHbO",yesterday joe biden said oldest sinister force believe determine america  future right administration charge certainly trying going determine turn country fall victim worst worst working extremely hard colorado   district red hold seat currently grow majority count support campaign today small donation going stand dark sinister force trying transform country stand donate,"[('biden', [4, 2]), ('currently', [6, 4]), ('today', [6, 5]), ('said', [4, 2]), ('support', [6, 1]), ('force', [5, 4]), ('administration', [1, 4]), ('believe', [4, 2]), ('america', [2, 6]), ('joe', [4, 2]), ('going', [4, 6]), ('trying', [4, 2]), ('yesterday', [6, 5]), ('country', [2, 5]), ('right', [4, 6]), ('victim', [5, 4]), ('colorado', [5, 6]), ('working', [1, 6]), ('hard', [1, 6]), ('future', [6, 1]), ('worst', [2, 4]), ('campaign', [6, 4]), ('extremely', [4, 6]), ('charge', [4, 1]), ('count', [6, 4]), ('turn', [6, 4]), ('stand', [2, 5]), ('district', [6, 4]), ('small', [1, 6]), ('hold', [4, 6]), ('determine', [4, 1]), ('seat', [6, 4]), ('certainly', [2, 4]), ('fall', [6, 2]), ('red', [6, 1]), ('dark', [4, 1]), ('donate', [6, 1]), ('majority', [6, 4]), ('grow', [1, 2]), ('donation', [6, 4]), ('transform', [1, 2]), ('oldest', [5]), ('sinister', [2])]","[('biden', ['Republicans vs democrats', 'War']), ('currently', ['Election/debate', 'Republicans vs democrats']), ('today', ['Election/debate', 'Border/community/family']), ('said', ['Republicans vs democrats', 'War']), ('support', ['Election/debate', 'American/economics/health']), ('force', ['Border/community/family', 'Republicans vs democrats']), ('administration', ['American/economics/health', 'Republicans vs democrats']), ('believe', ['Republicans vs democrats', 'War']), ('america', ['War', 'Election/debate']), ('joe', ['Republicans vs democrats', 'War']), ('going', ['Republicans vs democrats', 'Election/debate']), ('trying', ['Republicans vs democrats', 'War']), ('yesterday', ['Election/debate', 'Border/community/family']), ('country', ['War', 'Border/community/family']), ('right', ['Republicans vs democrats', 'Election/debate']), ('victim', ['Border/community/family', 'Republicans vs democrats']), ('colorado', ['Border/community/family', 'Election/debate']), ('working', ['American/economics/health', 'Election/debate']), ('hard', ['American/economics/health', 'Election/debate']), ('future', ['Election/debate', 'American/economics/health']), ('worst', ['War', 'Republicans vs democrats']), ('campaign', ['Election/debate', 'Republicans vs democrats']), ('extremely', ['Republicans vs democrats', 'Election/debate']), ('charge', ['Republicans vs democrats', 'American/economics/health']), ('count', ['Election/debate', 'Republicans vs democrats']), ('turn', ['Election/debate', 'Republicans vs democrats']), ('stand', ['War', 'Border/community/family']), ('district', ['Election/debate', 'Republicans vs democrats']), ('small', ['American/economics/health', 'Election/debate']), ('hold', ['Republicans vs democrats', 'Election/debate']), ('determine', ['Republicans vs democrats', 'American/economics/health']), ('seat', ['Election/debate', 'Republicans vs democrats']), ('certainly', ['War', 'Republicans vs democrats']), ('fall', ['Election/debate', 'War']), ('red', ['Election/debate', 'American/economics/health']), ('dark', ['Republicans vs democrats', 'American/economics/health']), ('donate', ['Election/debate', 'American/economics/health']), ('majority', ['Election/debate', 'Republicans vs democrats']), ('grow', ['American/economics/health', 'War']), ('donation', ['Election/debate', 'Republicans vs democrats']), ('transform', ['American/economics/health', 'War']), ('oldest', ['Border/community/family']), ('sinister', ['War'])]"
TxPolProject,2023-05-15 03:42:56+00:00,4,Republicans vs democrats,0.7734148,neutral,0.9599145650863647,"{'neutral': 0.9599145650863647, 'positive': 0.025836298242211342, 'negative': 0.01424911804497242}",anticipation,0.7342155575752258,"{'anticipation': 0.7342155575752258, 'optimism': 0.052025917917490005, 'surprise': 0.0371253527700901, 'disgust': 0.0366562195122242, 'joy': 0.031971585005521774, 'fear': 0.02545769140124321, 'trust': 0.02225203439593315, 'anger': 0.02109554037451744, 'pessimism': 0.019910648465156555, 'sadness': 0.016124574467539787, 'love': 0.003164913970977068}",not-hate,0.9951602816581726,"{'not-hate': 0.9951602816581726, 'hate': 0.004839766304939985}",non-offensive,0.925172746181488,"{'non-offensive': 0.925172746181488, 'offensive': 0.07482729852199554}",7.0,Abortion/rights/guns,0.14313802,Texas views of U.S. Involvement in #Ukraine (April 2023 @UTAustin/Texas Politics Project Pill) https://t.co/jYUvpzbxC1 https://t.co/4DqirvSXvu,texas view  involvement april texas politics project pill,"[('view', [4, 7]), ('project', [4]), ('texas', [4, 7]), ('politics', [4, 7]), ('april', [4]), ('involvement', [4]), ('pill', [7])]","[('view', ['Republicans vs democrats', 'Abortion/rights/guns']), ('project', ['Republicans vs democrats']), ('texas', ['Republicans vs democrats', 'Abortion/rights/guns']), ('politics', ['Republicans vs democrats', 'Abortion/rights/guns']), ('april', ['Republicans vs democrats']), ('involvement', ['Republicans vs democrats']), ('pill', ['Abortion/rights/guns'])]"
jamesrhenson,2023-05-15 03:44:49+00:00,4,Republicans vs democrats,0.54593587,neutral,0.7773948907852173,"{'neutral': 0.7773948907852173, 'negative': 0.20773355662822723, 'positive': 0.014871558174490929}",anger,0.2824543714523315,"{'anger': 0.28245437145233154, 'disgust': 0.2696259319782257, 'fear': 0.2302621603012085, 'anticipation': 0.1336316615343094, 'optimism': 0.02226865105330944, 'sadness': 0.016525505110621452, 'pessimism': 0.01543472707271576, 'surprise': 0.013160008005797863, 'joy': 0.009971682913601398, 'trust': 0.005426429212093353, 'love': 0.0012388238683342934}",not-hate,0.9921914935112,"{'not-hate': 0.9921914935112, 'hate': 0.007808526512235403}",non-offensive,0.9261849522590636,"{'non-offensive': 0.9261849522590637, 'offensive': 0.07381505519151688}",1.0,American/economics/health,0.30383053,RT @PatrickSvitek: New: @GovAbbott threatens veto of new committee substitute for #SB8 #txlege https://t.co/Q5KtKa9zNC,threatens veto committee substitute,"[('committee', [4, 1]), ('threatens', [4, 1]), ('veto', [1]), ('substitute', [4])]","[('committee', ['Republicans vs democrats', 'American/economics/health']), ('threatens', ['Republicans vs democrats', 'American/economics/health']), ('veto', ['American/economics/health']), ('substitute', ['Republicans vs democrats'])]"
dscc,2023-05-15 16:00:58+00:00,4,Republicans vs democrats,0.670086,negative,0.7524921298027039,"{'negative': 0.7524921298027039, 'neutral': 0.2387906014919281, 'positive': 0.008717218413949013}",anger,0.747757077217102,"{'anger': 0.747757077217102, 'disgust': 0.22167421877384186, 'anticipation': 0.009533765725791454, 'fear': 0.008727212436497211, 'surprise': 0.0038642471190541983, 'optimism': 0.002416761592030525, 'joy': 0.002222280018031597, 'pessimism': 0.001402638852596283, 'sadness': 0.0011970240157097578, 'trust': 0.0009446145850233734, 'love': 0.000260194850852713}",not-hate,0.9979767203330994,"{'not-hate': 0.9979767203330994, 'hate': 0.002023321110755205}",non-offensive,0.8254682421684265,"{'non-offensive': 0.8254682421684265, 'offensive': 0.1745317131280899}",1.0,American/economics/health,0.28573203,BREAKING NEWS: We’re planning to file a lawsuit against Jim Justice for refusing to publicly disclose his official schedule. West Virginians deserve to know what he’s hiding.,news planning file lawsuit jim justice refusing publicly disclose official schedule west virginian deserve know  hiding,"[('know', [4, 1]), ('publicly', [4]), ('news', [4, 1]), ('official', [4, 1]), ('jim', [4]), ('justice', [4, 1]), ('file', [4, 1]), ('planning', [4, 1]), ('deserve', [1, 4]), ('lawsuit', [4]), ('disclose', [1]), ('refusing', [4, 1]), ('schedule', [1]), ('hiding', [4]), ('west', [4, 1]), ('virginian', [1])]","[('know', ['Republicans vs democrats', 'American/economics/health']), ('publicly', ['Republicans vs democrats']), ('news', ['Republicans vs democrats', 'American/economics/health']), ('official', ['Republicans vs democrats', 'American/economics/health']), ('jim', ['Republicans vs democrats']), ('justice', ['Republicans vs democrats', 'American/economics/health']), ('file', ['Republicans vs democrats', 'American/economics/health']), ('planning', ['Republicans vs democrats', 'American/economics/health']), ('deserve', ['American/economics/health', 'Republicans vs democrats']), ('lawsuit', ['Republicans vs democrats']), ('disclose', ['American/economics/health']), ('refusing', ['Republicans vs democrats', 'American/economics/health']), ('schedule', ['American/economics/health']), ('hiding', ['Republicans vs democrats']), ('west', ['Republicans vs democrats', 'American/economics/health']), ('virginian', ['American/economics/health'])]"
NewsbySmiley,2023-05-15 18:14:43+00:00,4,Republicans vs democrats,0.78688794,neutral,0.800534725189209,"{'neutral': 0.800534725189209, 'negative': 0.1829577088356018, 'positive': 0.01650756597518921}",anticipation,0.4375505447387695,"{'anticipation': 0.43755054473876953, 'disgust': 0.17007768154144287, 'anger': 0.12094298750162125, 'fear': 0.07052735984325409, 'sadness': 0.0640869140625, 'surprise': 0.04927028715610504, 'pessimism': 0.040793657302856445, 'optimism': 0.019385455176234245, 'joy': 0.014682631939649582, 'trust': 0.010648955591022968, 'love': 0.0020335449371486902}",not-hate,0.9962376356124878,"{'not-hate': 0.9962376356124878, 'hate': 0.0037623364478349686}",non-offensive,0.8707626461982727,"{'non-offensive': 0.8707626461982727, 'offensive': 0.1292373538017273}",7.0,Abortion/rights/guns,0.13053086,RT @JeffBurlew: Federal prosecutors move to dismiss the indictment against former Tallahassee Mayor @AndrewGillum &amp; Sharon Lettman-Hicks.,federal prosecutor dismiss indictment tallahassee mayor sharon lettman hick,"[('federal', [4, 7]), ('mayor', [4]), ('prosecutor', [4]), ('indictment', [4]), ('hick', [4]), ('dismiss', [4]), ('sharon', [7]), ('tallahassee', [4]), ('lettman', [4])]","[('federal', ['Republicans vs democrats', 'Abortion/rights/guns']), ('mayor', ['Republicans vs democrats']), ('prosecutor', ['Republicans vs democrats']), ('indictment', ['Republicans vs democrats']), ('hick', ['Republicans vs democrats']), ('dismiss', ['Republicans vs democrats']), ('sharon', ['Abortion/rights/guns']), ('tallahassee', ['Republicans vs democrats']), ('lettman', ['Republicans vs democrats'])]"
laurenboebert,2023-05-15 18:18:36+00:00,4,Republicans vs democrats,0.43549848,negative,0.8828011751174927,"{'negative': 0.8828011751174927, 'neutral': 0.10879762470722198, 'positive': 0.008401227183640003}",fear,0.977029025554657,"{'fear': 0.977029025554657, 'disgust': 0.008383281528949738, 'anger': 0.004713262431323528, 'pessimism': 0.002919148886576295, 'sadness': 0.0027811115141958, 'anticipation': 0.0019914470613002777, 'surprise': 0.0006930323434062302, 'optimism': 0.0006836100365035236, 'joy': 0.0003968206001445651, 'trust': 0.0002633998519740999, 'love': 0.0001458912593079731}",not-hate,0.99485445022583,"{'not-hate': 0.9948544502258301, 'hate': 0.005145495291799307}",non-offensive,0.6234681606292725,"{'non-offensive': 0.6234681606292725, 'offensive': 0.37653180956840515}",2.0,War,0.30369365,Alejandro Mayorkas said that white supremacy was the greatest terror threat to the USA. Apparently he is unaware that there were five people on the FBI’s terror watch list who were just found at the Southern Border. I’d consider that a far greater threat!,alejandro mayorkas said white supremacy greatest terror threat usa apparently unaware people fbi terror watch list found southern border  consider far greater threat,"[('said', [4, 2]), ('people', [2, 4]), ('threat', [4, 2]), ('watch', [4, 2]), ('border', [5, 4]), ('mayorkas', [5, 4]), ('southern', [5, 4]), ('far', [4, 2]), ('list', [4, 5]), ('white', [4, 2]), ('consider', [4, 5]), ('fbi', [4]), ('found', [4, 5]), ('greater', [5, 2]), ('greatest', [5, 2]), ('apparently', [4, 2]), ('supremacy', [2]), ('usa', [4, 5]), ('terror', [2, 5]), ('alejandro', [4]), ('unaware', [2])]","[('said', ['Republicans vs democrats', 'War']), ('people', ['War', 'Republicans vs democrats']), ('threat', ['Republicans vs democrats', 'War']), ('watch', ['Republicans vs democrats', 'War']), ('border', ['Border/community/family', 'Republicans vs democrats']), ('mayorkas', ['Border/community/family', 'Republicans vs democrats']), ('southern', ['Border/community/family', 'Republicans vs democrats']), ('far', ['Republicans vs democrats', 'War']), ('list', ['Republicans vs democrats', 'Border/community/family']), ('white', ['Republicans vs democrats', 'War']), ('consider', ['Republicans vs democrats', 'Border/community/family']), ('fbi', ['Republicans vs democrats']), ('found', ['Republicans vs democrats', 'Border/community/family']), ('greater', ['Border/community/family', 'War']), ('greatest', ['Border/community/family', 'War']), ('apparently', ['Republicans vs democrats', 'War']), ('supremacy', ['War']), ('usa', ['Republicans vs democrats', 'Border/community/family']), ('terror', ['War', 'Border/community/family']), ('alejandro', ['Republicans vs democrats']), ('unaware', ['War'])]"
jamesrhenson,2023-05-15 18:34:46+00:00,4,Republicans vs democrats,0.7481093,neutral,0.9596246480941772,"{'neutral': 0.9596246480941772, 'positive': 0.020773185417056084, 'negative': 0.019602198153734207}",anticipation,0.6857765316963196,"{'anticipation': 0.6857765316963196, 'disgust': 0.0655226781964302, 'surprise': 0.04494968801736832, 'optimism': 0.04439729452133179, 'anger': 0.038779035210609436, 'joy': 0.029964813962578773, 'sadness': 0.023813674226403236, 'pessimism': 0.023358352482318878, 'trust': 0.0219919141381979, 'fear': 0.01812111772596836, 'love': 0.003324924735352397}",not-hate,0.996207594871521,"{'not-hate': 0.996207594871521, 'hate': 0.0037923925556242466}",non-offensive,0.9220738410949708,"{'non-offensive': 0.9220738410949707, 'offensive': 0.07792623341083527}",7.0,Abortion/rights/guns,0.15799282,RT @Texas views of U.S. Involvement in #Ukraine (April 2023 @UTAustin/Texas Politics Project Pill) https://t.co/jYUvpzbxC1 https://t.co/4DqirvSXvu,view  involvement april texas politics project pill,"[('view', [4, 7]), ('project', [4]), ('texas', [4, 7]), ('politics', [4, 7]), ('april', [4]), ('involvement', [4]), ('pill', [7])]","[('view', ['Republicans vs democrats', 'Abortion/rights/guns']), ('project', ['Republicans vs democrats']), ('texas', ['Republicans vs democrats', 'Abortion/rights/guns']), ('politics', ['Republicans vs democrats', 'Abortion/rights/guns']), ('april', ['Republicans vs democrats']), ('involvement', ['Republicans vs democrats']), ('pill', ['Abortion/rights/guns'])]"
mahoneysthename,2023-05-15 18:46:29+00:00,4,Republicans vs democrats,0.86287004,neutral,0.7343473434448242,"{'neutral': 0.7343473434448242, 'negative': 0.2469722181558609, 'positive': 0.018680432811379433}",disgust,0.3338878154754638,"{'disgust': 0.33388781547546387, 'anger': 0.3096315264701843, 'anticipation': 0.15167830884456635, 'sadness': 0.08116843551397324, 'pessimism': 0.04612182080745697, 'fear': 0.03306841850280762, 'surprise': 0.021481595933437347, 'optimism': 0.012373260222375393, 'trust': 0.005531170405447483, 'joy': 0.004293532110750675, 'love': 0.0007641302654519677}",not-hate,0.9961662292480468,"{'not-hate': 0.9961662292480469, 'hate': 0.0038337891455739737}",non-offensive,0.7839833498001099,"{'non-offensive': 0.7839833498001099, 'offensive': 0.21601662039756775}",7.0,Abortion/rights/guns,0.08340603,"Federal prosecutors are dropping the remaining 18 fraud counts against former Tallahassee Mayor Andrew Gillum after a jury deadlocked on the charges, via @lmower3 https://t.co/YovXPyUAdH",federal prosecutor dropping remaining fraud count tallahassee mayor andrew gillum jury deadlocked charge,"[('federal', [4, 7]), ('mayor', [4]), ('charge', [4]), ('count', [4]), ('andrew', [4]), ('prosecutor', [4]), ('jury', [4]), ('fraud', [4]), ('dropping', [4]), ('remaining', [7]), ('tallahassee', [4]), ('deadlocked', [4]), ('gillum', [4])]","[('federal', ['Republicans vs democrats', 'Abortion/rights/guns']), ('mayor', ['Republicans vs democrats']), ('charge', ['Republicans vs democrats']), ('count', ['Republicans vs democrats']), ('andrew', ['Republicans vs democrats']), ('prosecutor', ['Republicans vs democrats']), ('jury', ['Republicans vs democrats']), ('fraud', ['Republicans vs democrats']), ('dropping', ['Republicans vs democrats']), ('remaining', ['Abortion/rights/guns']), ('tallahassee', ['Republicans vs democrats']), ('deadlocked', ['Republicans vs democrats']), ('gillum', ['Republicans vs democrats'])]"
NewsbySmiley,2023-05-15 19:19:16+00:00,4,Republicans vs democrats,0.85594934,neutral,0.6601309180259705,"{'neutral': 0.6601309180259705, 'negative': 0.3243970572948456, 'positive': 0.015472017228603363}",disgust,0.350606769323349,"{'disgust': 0.350606769323349, 'anger': 0.3077026903629303, 'anticipation': 0.14626207947731018, 'sadness': 0.08136606961488724, 'pessimism': 0.04404949024319649, 'fear': 0.027016013860702515, 'surprise': 0.023241417482495308, 'optimism': 0.010007532313466072, 'trust': 0.004785341676324606, 'joy': 0.004249306861311197, 'love': 0.0007132024620659649}",not-hate,0.9947745203971864,"{'not-hate': 0.9947745203971863, 'hate': 0.005225561559200287}",non-offensive,0.8164390921592712,"{'non-offensive': 0.8164390921592712, 'offensive': 0.18356089293956757}",7.0,Abortion/rights/guns,0.08618602,"RT @Federal prosecutors are dropping the remaining 18 fraud counts against former Tallahassee Mayor Andrew Gillum after a jury deadlocked on the charges, via @lmower3 https://t.co/YovXPyUAdH",prosecutor dropping remaining fraud count tallahassee mayor andrew gillum jury deadlocked charge,"[('mayor', [4]), ('charge', [4]), ('count', [4]), ('andrew', [4]), ('prosecutor', [4]), ('jury', [4]), ('fraud', [4]), ('dropping', [4]), ('remaining', [7]), ('tallahassee', [4]), ('deadlocked', [4]), ('gillum', [4])]","[('mayor', ['Republicans vs democrats']), ('charge', ['Republicans vs democrats']), ('count', ['Republicans vs democrats']), ('andrew', ['Republicans vs democrats']), ('prosecutor', ['Republicans vs democrats']), ('jury', ['Republicans vs democrats']), ('fraud', ['Republicans vs democrats']), ('dropping', ['Republicans vs democrats']), ('remaining', ['Abortion/rights/guns']), ('tallahassee', ['Republicans vs democrats']), ('deadlocked', ['Republicans vs democrats']), ('gillum', ['Republicans vs democrats'])]"
dscc,2023-05-15 19:55:04+00:00,4,Republicans vs democrats,0.5081307,neutral,0.6257356405258179,"{'neutral': 0.6257356405258179, 'negative': 0.26252952218055725, 'positive': 0.11173482984304428}",anger,0.4579793512821197,"{'anger': 0.45797935128211975, 'optimism': 0.20177017152309418, 'disgust': 0.11422034353017807, 'anticipation': 0.09531208872795105, 'trust': 0.047358036041259766, 'fear': 0.044192105531692505, 'joy': 0.014205544255673885, 'surprise': 0.009164886549115181, 'pessimism': 0.008015611208975315, 'love': 0.004285403527319431, 'sadness': 0.0034964035730808973}",not-hate,0.9972712397575378,"{'not-hate': 0.9972712397575378, 'hate': 0.0027287276461720467}",non-offensive,0.8200558423995972,"{'non-offensive': 0.8200558423995972, 'offensive': 0.17994411289691925}",7.0,Abortion/rights/guns,0.4167596,RT @Nevadans deserve a Senator who will strengthen our democracy – not undermine our elections with baseless conspiracy theories.,deserve senator strengthen democracy undermine election baseless conspiracy theory,"[('democracy', [7, 4]), ('election', [4, 7]), ('senator', [7, 4]), ('deserve', [7, 4]), ('theory', [4, 7]), ('conspiracy', [4]), ('undermine', [7, 4]), ('baseless', [4]), ('strengthen', [7])]","[('democracy', ['Abortion/rights/guns', 'Republicans vs democrats']), ('election', ['Republicans vs democrats', 'Abortion/rights/guns']), ('senator', ['Abortion/rights/guns', 'Republicans vs democrats']), ('deserve', ['Abortion/rights/guns', 'Republicans vs democrats']), ('theory', ['Republicans vs democrats', 'Abortion/rights/guns']), ('conspiracy', ['Republicans vs democrats']), ('undermine', ['Abortion/rights/guns', 'Republicans vs democrats']), ('baseless', ['Republicans vs democrats']), ('strengthen', ['Abortion/rights/guns'])]"
