username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
gillibrandny,2023-05-25 01:23:43+00:00,7,Abortion/rights/guns,0.7409013,negative,0.8613102436065674,"{'negative': 0.8613102436065674, 'neutral': 0.12942805886268616, 'positive': 0.009261745028197765}",fear,0.677693784236908,"{'fear': 0.677693784236908, 'disgust': 0.17474177479743958, 'anger': 0.1303945630788803, 'sadness': 0.008299143984913826, 'pessimism': 0.003641303861513734, 'surprise': 0.0023128183092921972, 'anticipation': 0.0016834859270602465, 'optimism': 0.0004368363006506115, 'trust': 0.0003869501524604857, 'love': 0.00022731187345925719, 'joy': 0.0001819613971747458}",not-hate,0.9932934045791626,"{'not-hate': 0.9932934045791626, 'hate': 0.006706610321998596}",non-offensive,0.865569531917572,"{'non-offensive': 0.865569531917572, 'offensive': 0.13443048298358917}",4.0,Republicans vs democrats,0.12969315,RT @“We've seen an assault on people's civil rights and civil liberties incessantly for the past decade. I am deeply alarmed [at the state of democracy]. My opinion is we need to abridge the filibuster for issues of human rights and civil rights.” - @gillibrandny #RFis110 https://t.co/5BzYNz3PX7, seen assault people  civil right civil liberty incessantly past decade deeply alarmed state democracy opinion need abridge filibuster issue human right civil right,"[('decade', [7, 1]), ('seen', [4, 7]), ('democracy', [7, 4]), ('state', [7, 4]), ('past', [7, 4]), ('people', [7, 1]), ('need', [7, 1]), ('right', [7, 4]), ('civil', [7, 4]), ('issue', [7, 4]), ('opinion', [7, 4]), ('human', [7, 4]), ('liberty', [7, 4]), ('deeply', [7, 4]), ('assault', [7, 4]), ('alarmed', [4]), ('incessantly', [1]), ('filibuster', [7]), ('abridge', [7])]","[('decade', ['Abortion/rights/guns', 'American/economics/health']), ('seen', ['Republicans vs democrats', 'Abortion/rights/guns']), ('democracy', ['Abortion/rights/guns', 'Republicans vs democrats']), ('state', ['Abortion/rights/guns', 'Republicans vs democrats']), ('past', ['Abortion/rights/guns', 'Republicans vs democrats']), ('people', ['Abortion/rights/guns', 'American/economics/health']), ('need', ['Abortion/rights/guns', 'American/economics/health']), ('right', ['Abortion/rights/guns', 'Republicans vs democrats']), ('civil', ['Abortion/rights/guns', 'Republicans vs democrats']), ('issue', ['Abortion/rights/guns', 'Republicans vs democrats']), ('opinion', ['Abortion/rights/guns', 'Republicans vs democrats']), ('human', ['Abortion/rights/guns', 'Republicans vs democrats']), ('liberty', ['Abortion/rights/guns', 'Republicans vs democrats']), ('deeply', ['Abortion/rights/guns', 'Republicans vs democrats']), ('assault', ['Abortion/rights/guns', 'Republicans vs democrats']), ('alarmed', ['Republicans vs democrats']), ('incessantly', ['American/economics/health']), ('filibuster', ['Abortion/rights/guns']), ('abridge', ['Abortion/rights/guns'])]"
SenDuckworth,2023-05-25 17:46:46+00:00,7,Abortion/rights/guns,0.77508307,negative,0.5451210141181946,"{'negative': 0.5451210141181946, 'neutral': 0.4096923768520355, 'positive': 0.045186612755060196}",optimism,0.6443034410476685,"{'optimism': 0.6443034410476685, 'anticipation': 0.12566107511520386, 'anger': 0.07448132336139679, 'disgust': 0.04996892064809799, 'fear': 0.04049680382013321, 'trust': 0.031819555908441544, 'pessimism': 0.013995257206261158, 'joy': 0.008073633536696434, 'sadness': 0.0061472877860069275, 'surprise': 0.003545800456777215, 'love': 0.001506940694525838}",not-hate,0.997919738292694,"{'not-hate': 0.9979197382926941, 'hate': 0.0020802526269108057}",non-offensive,0.6646615862846375,"{'non-offensive': 0.6646615862846375, 'offensive': 0.33533841371536255}",5.0,Border/community/family,0.18534392,"Six weeks is before many even know that they are pregnant in the first place ‼️ With every new abortion ban in Republican-led states, it couldn't be clearer: we need to enshrine reproductive rights for every American—no matter their zip code.",week know pregnant place abortion ban republican led state clearer need enshrine reproductive right americanno matter zip code,"[('ban', [7]), ('know', [7, 5]), ('state', [7, 5]), ('week', [7, 5]), ('republican', [7, 5]), ('need', [7, 5]), ('right', [7]), ('place', [7, 5]), ('pregnant', [7]), ('abortion', [7]), ('code', [7]), ('matter', [7, 5]), ('led', [7, 5]), ('reproductive', [7]), ('enshrine', [5]), ('clearer', [5]), ('zip', [7]), ('americanno', [7])]","[('ban', ['Abortion/rights/guns']), ('know', ['Abortion/rights/guns', 'Border/community/family']), ('state', ['Abortion/rights/guns', 'Border/community/family']), ('week', ['Abortion/rights/guns', 'Border/community/family']), ('republican', ['Abortion/rights/guns', 'Border/community/family']), ('need', ['Abortion/rights/guns', 'Border/community/family']), ('right', ['Abortion/rights/guns']), ('place', ['Abortion/rights/guns', 'Border/community/family']), ('pregnant', ['Abortion/rights/guns']), ('abortion', ['Abortion/rights/guns']), ('code', ['Abortion/rights/guns']), ('matter', ['Abortion/rights/guns', 'Border/community/family']), ('led', ['Abortion/rights/guns', 'Border/community/family']), ('reproductive', ['Abortion/rights/guns']), ('enshrine', ['Border/community/family']), ('clearer', ['Border/community/family']), ('zip', ['Abortion/rights/guns']), ('americanno', ['Abortion/rights/guns'])]"
VP,2023-05-25 18:21:51+00:00,7,Abortion/rights/guns,0.47599417,positive,0.789182186126709,"{'positive': 0.789182186126709, 'neutral': 0.18020237982273102, 'negative': 0.0306154303252697}",optimism,0.9136866331100464,"{'optimism': 0.9136866331100464, 'anticipation': 0.026711346581578255, 'trust': 0.022476891055703163, 'fear': 0.014065089635550976, 'joy': 0.006631148047745228, 'pessimism': 0.00456346245482564, 'sadness': 0.003746148431673646, 'anger': 0.003479985985904932, 'disgust': 0.0022316856775432825, 'love': 0.0014535336522385478, 'surprise': 0.0009540900937281549}",not-hate,0.9989890456199646,"{'not-hate': 0.9989890456199646, 'hate': 0.0010109598515555263}",non-offensive,0.7957974672317505,"{'non-offensive': 0.7957974672317505, 'offensive': 0.2042025625705719}",5.0,Border/community/family,0.34571984,"George Floyd should be alive today. Three years after his murder, our Administration remains committed to honoring his memory by fighting for a justice system that lives up to its name. Congress can and must do everything in its power to protect public safety, advance accountable policing, and address racial injustice. That is the work ahead.",george floyd alive today year murder administration remains committed honoring memory fighting justice system life congress power protect public safety advance accountable policing address racial injustice work ahead,"[('today', [5, 7]), ('murder', [7, 5]), ('year', [5, 7]), ('administration', [5, 1]), ('congress', [7, 1]), ('system', [1, 5]), ('power', [7, 5]), ('work', [5, 7]), ('justice', [7, 5]), ('life', [5, 7]), ('committed', [7, 5]), ('address', [5, 1]), ('honoring', [5, 1]), ('public', [7, 5]), ('remains', [7, 5]), ('protect', [7, 5]), ('fighting', [7, 1]), ('safety', [5, 1]), ('advance', [7, 1]), ('floyd', [7]), ('alive', [5]), ('accountable', [7, 1]), ('ahead', [5, 7]), ('racial', [7]), ('injustice', [7, 5]), ('memory', [5]), ('george', [7, 5]), ('policing', [7])]","[('today', ['Border/community/family', 'Abortion/rights/guns']), ('murder', ['Abortion/rights/guns', 'Border/community/family']), ('year', ['Border/community/family', 'Abortion/rights/guns']), ('administration', ['Border/community/family', 'American/economics/health']), ('congress', ['Abortion/rights/guns', 'American/economics/health']), ('system', ['American/economics/health', 'Border/community/family']), ('power', ['Abortion/rights/guns', 'Border/community/family']), ('work', ['Border/community/family', 'Abortion/rights/guns']), ('justice', ['Abortion/rights/guns', 'Border/community/family']), ('life', ['Border/community/family', 'Abortion/rights/guns']), ('committed', ['Abortion/rights/guns', 'Border/community/family']), ('address', ['Border/community/family', 'American/economics/health']), ('honoring', ['Border/community/family', 'American/economics/health']), ('public', ['Abortion/rights/guns', 'Border/community/family']), ('remains', ['Abortion/rights/guns', 'Border/community/family']), ('protect', ['Abortion/rights/guns', 'Border/community/family']), ('fighting', ['Abortion/rights/guns', 'American/economics/health']), ('safety', ['Border/community/family', 'American/economics/health']), ('advance', ['Abortion/rights/guns', 'American/economics/health']), ('floyd', ['Abortion/rights/guns']), ('alive', ['Border/community/family']), ('accountable', ['Abortion/rights/guns', 'American/economics/health']), ('ahead', ['Border/community/family', 'Abortion/rights/guns']), ('racial', ['Abortion/rights/guns']), ('injustice', ['Abortion/rights/guns', 'Border/community/family']), ('memory', ['Border/community/family']), ('george', ['Abortion/rights/guns', 'Border/community/family']), ('policing', ['Abortion/rights/guns'])]"
KamalaHarris,2023-05-25 18:26:18+00:00,7,Abortion/rights/guns,0.42972726,positive,0.7498739361763,"{'positive': 0.7498739361763, 'neutral': 0.22268390655517578, 'negative': 0.027442196384072304}",optimism,0.926944136619568,"{'optimism': 0.9269441366195679, 'anticipation': 0.02177581936120987, 'trust': 0.01949385553598404, 'fear': 0.008145284838974476, 'joy': 0.008123903535306454, 'sadness': 0.004556156229227781, 'pessimism': 0.00423911027610302, 'anger': 0.0026185032911598682, 'disgust': 0.0018129127565771341, 'love': 0.001489004585891962, 'surprise': 0.0008013273472897708}",not-hate,0.9989691972732544,"{'not-hate': 0.9989691972732544, 'hate': 0.0010307814227417111}",non-offensive,0.8104200959205627,"{'non-offensive': 0.8104200959205627, 'offensive': 0.18957987427711487}",5.0,Border/community/family,0.3262623,"RT @George Floyd should be alive today. Three years after his murder, our Administration remains committed to honoring his memory by fighting for a justice system that lives up to its name. Congress can and must do everything in its power to protect public safety, advance accountable policing, and address racial injustice. That is the work ahead.",floyd alive today year murder administration remains committed honoring memory fighting justice system life congress power protect public safety advance accountable policing address racial injustice work ahead,"[('today', [5, 7]), ('murder', [7, 5]), ('year', [5, 1]), ('administration', [1, 5]), ('congress', [7, 1]), ('system', [1, 5]), ('power', [7, 1]), ('work', [5, 1]), ('justice', [7, 5]), ('life', [5, 1]), ('committed', [7, 5]), ('address', [1, 5]), ('honoring', [5, 1]), ('public', [5, 7]), ('remains', [7, 1]), ('protect', [7, 5]), ('fighting', [7, 1]), ('safety', [1, 5]), ('advance', [7, 1]), ('floyd', [7]), ('alive', [5]), ('accountable', [1, 7]), ('ahead', [5, 7]), ('racial', [7]), ('injustice', [7, 5]), ('memory', [5]), ('policing', [7])]","[('today', ['Border/community/family', 'Abortion/rights/guns']), ('murder', ['Abortion/rights/guns', 'Border/community/family']), ('year', ['Border/community/family', 'American/economics/health']), ('administration', ['American/economics/health', 'Border/community/family']), ('congress', ['Abortion/rights/guns', 'American/economics/health']), ('system', ['American/economics/health', 'Border/community/family']), ('power', ['Abortion/rights/guns', 'American/economics/health']), ('work', ['Border/community/family', 'American/economics/health']), ('justice', ['Abortion/rights/guns', 'Border/community/family']), ('life', ['Border/community/family', 'American/economics/health']), ('committed', ['Abortion/rights/guns', 'Border/community/family']), ('address', ['American/economics/health', 'Border/community/family']), ('honoring', ['Border/community/family', 'American/economics/health']), ('public', ['Border/community/family', 'Abortion/rights/guns']), ('remains', ['Abortion/rights/guns', 'American/economics/health']), ('protect', ['Abortion/rights/guns', 'Border/community/family']), ('fighting', ['Abortion/rights/guns', 'American/economics/health']), ('safety', ['American/economics/health', 'Border/community/family']), ('advance', ['Abortion/rights/guns', 'American/economics/health']), ('floyd', ['Abortion/rights/guns']), ('alive', ['Border/community/family']), ('accountable', ['American/economics/health', 'Abortion/rights/guns']), ('ahead', ['Border/community/family', 'Abortion/rights/guns']), ('racial', ['Abortion/rights/guns']), ('injustice', ['Abortion/rights/guns', 'Border/community/family']), ('memory', ['Border/community/family']), ('policing', ['Abortion/rights/guns'])]"
FoxNews,2023-05-25 18:45:08+00:00,7,Abortion/rights/guns,0.43368152,neutral,0.5231987833976746,"{'neutral': 0.5231987833976746, 'negative': 0.4470001459121704, 'positive': 0.02980104275047779}",anticipation,0.4786016345024109,"{'anticipation': 0.4786016345024109, 'joy': 0.1958124190568924, 'optimism': 0.18063238263130188, 'surprise': 0.03971969336271286, 'trust': 0.025097819045186043, 'disgust': 0.023134492337703705, 'anger': 0.019814370200037956, 'fear': 0.014309295453131199, 'sadness': 0.009855163283646107, 'pessimism': 0.008583436720073223, 'love': 0.004439321346580982}",not-hate,0.9965358972549438,"{'not-hate': 0.9965358972549438, 'hate': 0.0034641281235963106}",non-offensive,0.8221050500869751,"{'non-offensive': 0.8221050500869751, 'offensive': 0.17789492011070251}",1.0,American/economics/health,0.40730965,Supreme Court delivers blow to key Biden environmental policy in unanimous ruling https://t.co/NONoBDmNus,supreme court delivers blow key biden environmental policy unanimous ruling,"[('biden', [1, 7]), ('court', [7]), ('delivers', [7, 1]), ('policy', [1, 7]), ('ruling', [7]), ('supreme', [7]), ('key', [1, 7]), ('blow', [1]), ('unanimous', [3]), ('environmental', [1, 7])]","[('biden', ['American/economics/health', 'Abortion/rights/guns']), ('court', ['Abortion/rights/guns']), ('delivers', ['Abortion/rights/guns', 'American/economics/health']), ('policy', ['American/economics/health', 'Abortion/rights/guns']), ('ruling', ['Abortion/rights/guns']), ('supreme', ['Abortion/rights/guns']), ('key', ['American/economics/health', 'Abortion/rights/guns']), ('blow', ['American/economics/health']), ('unanimous', ['News/radio/livestream']), ('environmental', ['American/economics/health', 'Abortion/rights/guns'])]"
RepSpanberger,2023-05-25 18:45:31+00:00,7,Abortion/rights/guns,0.5557551,neutral,0.4498383402824402,"{'neutral': 0.4498383402824402, 'negative': 0.43845537304878235, 'positive': 0.11170626431703568}",optimism,0.5256635546684265,"{'optimism': 0.5256635546684265, 'anger': 0.2223091423511505, 'disgust': 0.07697553932666779, 'fear': 0.06781143695116043, 'trust': 0.03525940701365471, 'pessimism': 0.024784741923213005, 'sadness': 0.020441681146621704, 'anticipation': 0.018082164227962494, 'love': 0.0033347420394420624, 'joy': 0.002843754133209586, 'surprise': 0.0024938553106039762}",not-hate,0.9985606074333192,"{'not-hate': 0.9985606074333191, 'hate': 0.0014394419267773628}",non-offensive,0.7486885786056519,"{'non-offensive': 0.7486885786056519, 'offensive': 0.25131142139434814}",5.0,Border/community/family,0.19424433,"Three years later, we as Americans must continue the hard work of rooting out the inequities and racial discrimination in our country. We must continue the pursuit for justice and the movement his murder ignited.",year later american continue hard work rooting inequity racial discrimination country continue pursuit justice movement murder ignited,"[('american', [7, 5]), ('murder', [7, 5]), ('year', [7, 5]), ('work', [7, 5]), ('country', [7, 5]), ('justice', [7, 5]), ('hard', [7, 5]), ('continue', [7, 5]), ('later', [7, 5]), ('pursuit', [5, 3]), ('movement', [7, 8]), ('racial', [7]), ('discrimination', [7]), ('rooting', [7]), ('inequity', [3]), ('ignited', [8])]","[('american', ['Abortion/rights/guns', 'Border/community/family']), ('murder', ['Abortion/rights/guns', 'Border/community/family']), ('year', ['Abortion/rights/guns', 'Border/community/family']), ('work', ['Abortion/rights/guns', 'Border/community/family']), ('country', ['Abortion/rights/guns', 'Border/community/family']), ('justice', ['Abortion/rights/guns', 'Border/community/family']), ('hard', ['Abortion/rights/guns', 'Border/community/family']), ('continue', ['Abortion/rights/guns', 'Border/community/family']), ('later', ['Abortion/rights/guns', 'Border/community/family']), ('pursuit', ['Border/community/family', 'News/radio/livestream']), ('movement', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('racial', ['Abortion/rights/guns']), ('discrimination', ['Abortion/rights/guns']), ('rooting', ['Abortion/rights/guns']), ('inequity', ['News/radio/livestream']), ('ignited', ['Infrastructure/job/energy'])]"
RobertKennedyJr,2023-05-25 22:07:05+00:00,7,Abortion/rights/guns,0.43486175,negative,0.9253544211387634,"{'negative': 0.9253544211387634, 'neutral': 0.06859566271305084, 'positive': 0.006049887742847204}",disgust,0.5134724378585815,"{'disgust': 0.5134724378585815, 'anger': 0.4513689875602722, 'sadness': 0.020114419981837273, 'fear': 0.011594371870160103, 'pessimism': 0.001889988430775702, 'surprise': 0.0007220651023089886, 'anticipation': 0.0004107130807824433, 'joy': 0.00012629354023374617, 'love': 0.00010804324119817466, 'trust': 0.00010013896826421842, 'optimism': 9.250006405636668e-05}",not-hate,0.9957738518714904,"{'not-hate': 0.9957738518714905, 'hate': 0.004226170014590025}",non-offensive,0.735198438167572,"{'non-offensive': 0.735198438167572, 'offensive': 0.26480159163475037}",1.0,American/economics/health,0.3102948,"Horrible decision today by the Supreme Court to limit the Clean Water Act’s protection of wetlands. It puts vast areas of ecologically critical wetlands at the mercy of miners, developers, and polluters. https://t.co/WNkY9RjQBt",horrible decision today supreme court limit clean water act protection wetland put vast area ecologically critical wetland mercy miner developer polluter,"[('today', [7, 1]), ('decision', [7, 1]), ('area', [8, 1]), ('critical', [8, 1]), ('act', [1, 7]), ('limit', [1, 7]), ('water', [8, 1]), ('court', [7]), ('developer', [7, 8]), ('protection', [7, 1]), ('supreme', [7]), ('put', [1, 7]), ('clean', [8, 1]), ('horrible', [1]), ('vast', [1, 7]), ('mercy', [1]), ('wetland', [7]), ('polluter', [2]), ('ecologically', [7]), ('miner', [1])]","[('today', ['Abortion/rights/guns', 'American/economics/health']), ('decision', ['Abortion/rights/guns', 'American/economics/health']), ('area', ['Infrastructure/job/energy', 'American/economics/health']), ('critical', ['Infrastructure/job/energy', 'American/economics/health']), ('act', ['American/economics/health', 'Abortion/rights/guns']), ('limit', ['American/economics/health', 'Abortion/rights/guns']), ('water', ['Infrastructure/job/energy', 'American/economics/health']), ('court', ['Abortion/rights/guns']), ('developer', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('protection', ['Abortion/rights/guns', 'American/economics/health']), ('supreme', ['Abortion/rights/guns']), ('put', ['American/economics/health', 'Abortion/rights/guns']), ('clean', ['Infrastructure/job/energy', 'American/economics/health']), ('horrible', ['American/economics/health']), ('vast', ['American/economics/health', 'Abortion/rights/guns']), ('mercy', ['American/economics/health']), ('wetland', ['Abortion/rights/guns']), ('polluter', ['War']), ('ecologically', ['Abortion/rights/guns']), ('miner', ['American/economics/health'])]"
RobertKennedyJr,2023-05-25 22:08:20+00:00,7,Abortion/rights/guns,0.47001442,negative,0.8613966703414917,"{'negative': 0.8613966703414917, 'neutral': 0.13200828433036804, 'positive': 0.006595052778720856}",anger,0.607020378112793,"{'anger': 0.607020378112793, 'disgust': 0.37903183698654175, 'sadness': 0.004859833978116512, 'anticipation': 0.0030993781983852386, 'pessimism': 0.0020873600151389837, 'fear': 0.0013112465385347605, 'surprise': 0.0012572908308357, 'joy': 0.0005115459207445383, 'optimism': 0.0004960057558491826, 'trust': 0.0002267079835291952, 'love': 9.838734695222229e-05}",not-hate,0.9975454211235046,"{'not-hate': 0.9975454211235046, 'hate': 0.00245461193844676}",non-offensive,0.8663153648376465,"{'non-offensive': 0.8663153648376465, 'offensive': 0.13368459045886993}",4.0,Republicans vs democrats,0.26743752,"The court’s decision was based on an irrelevant distinction between contiguous and non-contiguous wetlands. It clearly violates the spirit, if not the letter, of the Clean Water Act. #Kennedy24",court decision based irrelevant distinction contiguous non contiguous wetland clearly violates spirit letter clean water act,"[('decision', [7, 4]), ('letter', [3, 4]), ('clearly', [4]), ('act', [7, 8]), ('water', [8, 7]), ('non', [4, 7]), ('court', [7, 4]), ('based', [7, 4]), ('clean', [8, 4]), ('violates', [4]), ('spirit', [7]), ('distinction', [3]), ('irrelevant', [4]), ('wetland', [7]), ('contiguous', [7])]","[('decision', ['Abortion/rights/guns', 'Republicans vs democrats']), ('letter', ['News/radio/livestream', 'Republicans vs democrats']), ('clearly', ['Republicans vs democrats']), ('act', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('water', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('non', ['Republicans vs democrats', 'Abortion/rights/guns']), ('court', ['Abortion/rights/guns', 'Republicans vs democrats']), ('based', ['Abortion/rights/guns', 'Republicans vs democrats']), ('clean', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('violates', ['Republicans vs democrats']), ('spirit', ['Abortion/rights/guns']), ('distinction', ['News/radio/livestream']), ('irrelevant', ['Republicans vs democrats']), ('wetland', ['Abortion/rights/guns']), ('contiguous', ['Abortion/rights/guns'])]"
GovWhitmer,2023-05-25 22:55:52+00:00,7,Abortion/rights/guns,0.5018387,positive,0.969241499900818,"{'positive': 0.9692414999008179, 'neutral': 0.029167138040065765, 'negative': 0.00159142364282161}",joy,0.9350937008857728,"{'joy': 0.9350937008857727, 'optimism': 0.0377354696393013, 'anticipation': 0.016829246655106544, 'surprise': 0.003423950169235468, 'love': 0.0029680891893804073, 'trust': 0.002322894288226962, 'sadness': 0.0004824320785701275, 'disgust': 0.0004026686365250498, 'anger': 0.00028678090893663466, 'fear': 0.00023523723939433694, 'pessimism': 0.0002194082917412743}",not-hate,0.9983760118484496,"{'not-hate': 0.9983760118484497, 'hate': 0.0016239850083366036}",non-offensive,0.925519585609436,"{'non-offensive': 0.925519585609436, 'offensive': 0.07448035478591919}",1.0,American/economics/health,0.4444466,Raise a glass -- it's National Wine Day! 🍷 No need to read between the vines here: Michigan is crushing it in the wine game. Did you know...,raise glass national wine day need read vine michigan crushing wine game know,"[('national', [7, 1]), ('know', [1, 7]), ('day', [1, 7]), ('need', [1, 7]), ('read', [1, 7]), ('michigan', [7, 1]), ('glass', [7]), ('raise', [1]), ('game', [1, 7]), ('crushing', [1]), ('wine', [7]), ('vine', [7])]","[('national', ['Abortion/rights/guns', 'American/economics/health']), ('know', ['American/economics/health', 'Abortion/rights/guns']), ('day', ['American/economics/health', 'Abortion/rights/guns']), ('need', ['American/economics/health', 'Abortion/rights/guns']), ('read', ['American/economics/health', 'Abortion/rights/guns']), ('michigan', ['Abortion/rights/guns', 'American/economics/health']), ('glass', ['Abortion/rights/guns']), ('raise', ['American/economics/health']), ('game', ['American/economics/health', 'Abortion/rights/guns']), ('crushing', ['American/economics/health']), ('wine', ['Abortion/rights/guns']), ('vine', ['Abortion/rights/guns'])]"
GovWhitmer,2023-05-25 22:55:56+00:00,7,Abortion/rights/guns,0.5949461,positive,0.504267692565918,"{'positive': 0.504267692565918, 'neutral': 0.4731440842151642, 'negative': 0.022588195279240608}",joy,0.6907746195793152,"{'joy': 0.6907746195793152, 'anticipation': 0.1389128714799881, 'optimism': 0.13566097617149353, 'trust': 0.0176090095192194, 'love': 0.006973289884626865, 'surprise': 0.006094587966799736, 'sadness': 0.0009592124843038619, 'pessimism': 0.0007980663212947547, 'disgust': 0.0007669975166209042, 'fear': 0.0007516532787121832, 'anger': 0.0006987235392443836}",not-hate,0.9931163191795348,"{'not-hate': 0.9931163191795349, 'hate': 0.006883721798658371}",non-offensive,0.946362555027008,"{'non-offensive': 0.9463625550270081, 'offensive': 0.05363741144537926}",8.0,Infrastructure/job/energy,0.17170662,...Michigan is one of the few places in the world to produce ice wine? Ice wine requires a specific temperature and must be harvested at just the right time!,michigan place world produce ice wine ice wine requires specific temperature harvested right time,"[('world', [7, 8]), ('time', [7, 1]), ('right', [7, 8]), ('place', [7, 8]), ('michigan', [8, 7]), ('ice', [7, 6]), ('specific', [6]), ('requires', [7, 8]), ('produce', [8]), ('temperature', [1]), ('wine', [7]), ('harvested', [7])]","[('world', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('time', ['Abortion/rights/guns', 'American/economics/health']), ('right', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('place', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('michigan', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('ice', ['Abortion/rights/guns', 'Election/debate']), ('specific', ['Election/debate']), ('requires', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('produce', ['Infrastructure/job/energy']), ('temperature', ['American/economics/health']), ('wine', ['Abortion/rights/guns']), ('harvested', ['Abortion/rights/guns'])]"
