username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
geoffreyvs,2023-05-25 00:08:03+00:00,6,Election/debate,0.75841844,positive,0.8740900158882141,"{'positive': 0.8740900158882141, 'neutral': 0.12209491431713104, 'negative': 0.0038150183390825987}",optimism,0.4941467642784118,"{'optimism': 0.49414676427841187, 'joy': 0.25234532356262207, 'anticipation': 0.20278193056583405, 'trust': 0.0334472730755806, 'surprise': 0.005873803980648518, 'anger': 0.0036017955280840397, 'love': 0.002338231075555086, 'disgust': 0.0019121988443657756, 'fear': 0.0017163519514724612, 'pessimism': 0.0011028911685571074, 'sadness': 0.0007333629764616489}",not-hate,0.9988999366760254,"{'not-hate': 0.9988999366760254, 'hate': 0.001100090448744595}",non-offensive,0.9310085773468018,"{'non-offensive': 0.9310085773468018, 'offensive': 0.06899145245552063}",7.0,Abortion/rights/guns,0.12538892,"Ron DeSantis is running for president. One thing working for him is that he's very well-liked by Republicans — almost equal to Donald Trump even though he's not as well-known. I examine DeSantis's rise, early 2023 slide and potential revival here: https://t.co/Mc3l4b7dZG https://t.co/GD1aWvRvZR",ron desantis running president thing working liked republican equal donald trump known examine desantis  rise early slide potential revival,"[('potential', [6, 5]), ('donald', [6, 7]), ('trump', [6, 7]), ('president', [6, 7]), ('republican', [6, 7]), ('thing', [6, 5]), ('examine', [5]), ('working', [6, 7]), ('desantis', [6]), ('running', [6, 7]), ('known', [6, 5]), ('early', [6]), ('ron', [6]), ('equal', [7]), ('rise', [6, 5]), ('liked', [6]), ('slide', [6]), ('revival', [7])]","[('potential', ['Election/debate', 'Border/community/family']), ('donald', ['Election/debate', 'Abortion/rights/guns']), ('trump', ['Election/debate', 'Abortion/rights/guns']), ('president', ['Election/debate', 'Abortion/rights/guns']), ('republican', ['Election/debate', 'Abortion/rights/guns']), ('thing', ['Election/debate', 'Border/community/family']), ('examine', ['Border/community/family']), ('working', ['Election/debate', 'Abortion/rights/guns']), ('desantis', ['Election/debate']), ('running', ['Election/debate', 'Abortion/rights/guns']), ('known', ['Election/debate', 'Border/community/family']), ('early', ['Election/debate']), ('ron', ['Election/debate']), ('equal', ['Abortion/rights/guns']), ('rise', ['Election/debate', 'Border/community/family']), ('liked', ['Election/debate']), ('slide', ['Election/debate']), ('revival', ['Abortion/rights/guns'])]"
jonathanvswan,2023-05-25 00:08:54+00:00,6,Election/debate,0.6952622,negative,0.57892245054245,"{'negative': 0.57892245054245, 'neutral': 0.4002819359302521, 'positive': 0.020795628428459167}",disgust,0.5134759545326233,"{'disgust': 0.5134759545326233, 'anger': 0.3935369849205017, 'sadness': 0.0669577345252037, 'pessimism': 0.010037754662334919, 'anticipation': 0.007079286966472864, 'surprise': 0.0028918974567204714, 'joy': 0.0026932028122246265, 'fear': 0.0016134170582517982, 'optimism': 0.0011216248385608196, 'trust': 0.00036469066981226206, 'love': 0.00022742272994946688}",not-hate,0.9986830353736876,"{'not-hate': 0.9986830353736877, 'hate': 0.0013169291196390986}",non-offensive,0.8861048817634583,"{'non-offensive': 0.8861048817634583, 'offensive': 0.11389504373073578}",1.0,American/economics/health,0.17965879,Twitter Spaces for DeSantis's launch just cut out. Now back.,twitter space desantis  launch cut,"[('twitter', [6]), ('desantis', [6]), ('cut', [1, 6]), ('space', [6, 1]), ('launch', [6])]","[('twitter', ['Election/debate']), ('desantis', ['Election/debate']), ('cut', ['American/economics/health', 'Election/debate']), ('space', ['Election/debate', 'American/economics/health']), ('launch', ['Election/debate'])]"
NateSilver538,2023-05-25 00:09:46+00:00,6,Election/debate,0.5754094,neutral,0.6878807544708252,"{'neutral': 0.6878807544708252, 'negative': 0.26168566942214966, 'positive': 0.05043364316225052}",anticipation,0.6003953814506531,"{'anticipation': 0.6003953814506531, 'disgust': 0.1264646202325821, 'anger': 0.08307196944952011, 'optimism': 0.05467665567994118, 'pessimism': 0.03238781914114952, 'surprise': 0.03092569299042225, 'fear': 0.02914179489016533, 'sadness': 0.017288630828261375, 'trust': 0.015113302506506443, 'joy': 0.009356771595776081, 'love': 0.0011773542501032352}",not-hate,0.9976171851158142,"{'not-hate': 0.9976171851158142, 'hate': 0.002382786711677909}",non-offensive,0.8583968877792358,"{'non-offensive': 0.8583968877792358, 'offensive': 0.14160309731960297}",4.0,Republicans vs democrats,0.3803852,"Pretty big gap between political betting markets, which have Trump with a ~60% chance of being the GOP nominee, and the conventional wisdom On Here, where people consider it virtually inevitable.",pretty big gap political betting market trump chance gop nominee conventional wisdom people consider virtually inevitable,"[('people', [6, 4]), ('political', [4, 6]), ('trump', [4, 6]), ('gop', [6, 4]), ('big', [6, 4]), ('consider', [6, 4]), ('nominee', [6, 4]), ('chance', [6, 4]), ('pretty', [6, 4]), ('market', [6]), ('virtually', [6, 4]), ('gap', [6]), ('inevitable', [6]), ('conventional', [4]), ('wisdom', [4]), ('betting', [4])]","[('people', ['Election/debate', 'Republicans vs democrats']), ('political', ['Republicans vs democrats', 'Election/debate']), ('trump', ['Republicans vs democrats', 'Election/debate']), ('gop', ['Election/debate', 'Republicans vs democrats']), ('big', ['Election/debate', 'Republicans vs democrats']), ('consider', ['Election/debate', 'Republicans vs democrats']), ('nominee', ['Election/debate', 'Republicans vs democrats']), ('chance', ['Election/debate', 'Republicans vs democrats']), ('pretty', ['Election/debate', 'Republicans vs democrats']), ('market', ['Election/debate']), ('virtually', ['Election/debate', 'Republicans vs democrats']), ('gap', ['Election/debate']), ('inevitable', ['Election/debate']), ('conventional', ['Republicans vs democrats']), ('wisdom', ['Republicans vs democrats']), ('betting', ['Republicans vs democrats'])]"
jonathanvswan,2023-05-25 00:10:31+00:00,6,Election/debate,0.5187733,neutral,0.7234712243080139,"{'neutral': 0.7234712243080139, 'positive': 0.19017431139945984, 'negative': 0.08635449409484863}",optimism,0.4790970981121063,"{'optimism': 0.4790970981121063, 'joy': 0.2989582419395447, 'anticipation': 0.172906294465065, 'trust': 0.028505347669124603, 'surprise': 0.00808203499764204, 'anger': 0.004012789111584425, 'disgust': 0.0025689024478197098, 'love': 0.0021880788262933493, 'pessimism': 0.0013150828890502453, 'fear': 0.001229706802405417, 'sadness': 0.0011364857200533152}",not-hate,0.99869042634964,"{'not-hate': 0.9986904263496399, 'hate': 0.0013096019392833114}",non-offensive,0.8946772813796997,"{'non-offensive': 0.8946772813796997, 'offensive': 0.1053226888179779}",8.0,Infrastructure/job/energy,0.3559715,And lots of feedback. You'd think they would have tested the servers beforehand.,lot feedback think tested server,"[('think', [6, 8]), ('lot', [6]), ('tested', [6]), ('feedback', [8]), ('server', [8])]","[('think', ['Election/debate', 'Infrastructure/job/energy']), ('lot', ['Election/debate']), ('tested', ['Election/debate']), ('feedback', ['Infrastructure/job/energy']), ('server', ['Infrastructure/job/energy'])]"
NewsbySmiley,2023-05-25 00:14:53+00:00,6,Election/debate,0.5733181,neutral,0.8120324611663818,"{'neutral': 0.8120324611663818, 'positive': 0.13809235394001007, 'negative': 0.04987521097064018}",anticipation,0.8393335342407227,"{'anticipation': 0.8393335342407227, 'optimism': 0.04772739112377167, 'joy': 0.0396580845117569, 'surprise': 0.028371494263410568, 'trust': 0.015407555736601353, 'fear': 0.01087117101997137, 'disgust': 0.0062795644626021385, 'anger': 0.0046372865326702595, 'pessimism': 0.004325175192207098, 'sadness': 0.0022279543336480856, 'love': 0.0011607958003878593}",not-hate,0.9980841875076294,"{'not-hate': 0.9980841875076294, 'hate': 0.0019158608047291636}",non-offensive,0.8843098282814026,"{'non-offensive': 0.8843098282814026, 'offensive': 0.1156901866197586}",2.0,War,0.3327905,"Well, Maybe DeSantis will be personally announcing his campaign on FOX after all, huh?",maybe desantis personally announcing campaign fox huh,"[('personally', [2]), ('maybe', [6, 2]), ('desantis', [6, 2]), ('fox', [6]), ('campaign', [6, 2]), ('announcing', [6, 2]), ('huh', [2])]","[('personally', ['War']), ('maybe', ['Election/debate', 'War']), ('desantis', ['Election/debate', 'War']), ('fox', ['Election/debate']), ('campaign', ['Election/debate', 'War']), ('announcing', ['Election/debate', 'War']), ('huh', ['War'])]"
jonathanvswan,2023-05-25 00:15:52+00:00,6,Election/debate,0.5067005,neutral,0.6996117234230042,"{'neutral': 0.6996117234230042, 'negative': 0.24935850501060486, 'positive': 0.051029812544584274}",anticipation,0.7174261808395386,"{'anticipation': 0.7174261808395386, 'surprise': 0.16135454177856445, 'joy': 0.02551850862801075, 'fear': 0.020921163260936737, 'disgust': 0.02089727483689785, 'trust': 0.01364451739937067, 'optimism': 0.012604695744812489, 'anger': 0.011717072688043118, 'pessimism': 0.008146756328642368, 'sadness': 0.005879273172467947, 'love': 0.0018899741116911173}",not-hate,0.998915672302246,"{'not-hate': 0.9989156723022461, 'hate': 0.001084364834241569}",non-offensive,0.922176480293274,"{'non-offensive': 0.9221764802932739, 'offensive': 0.07782352715730667}",4.0,Republicans vs democrats,0.39938182,How was it not anticipated that several hundred thousand people might listen in to a major presidential announcement?,anticipated thousand people listen major presidential announcement,"[('announcement', [6, 4]), ('people', [4, 6]), ('presidential', [6, 4]), ('thousand', [6, 4]), ('major', [6, 4]), ('listen', [6, 4]), ('anticipated', [4])]","[('announcement', ['Election/debate', 'Republicans vs democrats']), ('people', ['Republicans vs democrats', 'Election/debate']), ('presidential', ['Election/debate', 'Republicans vs democrats']), ('thousand', ['Election/debate', 'Republicans vs democrats']), ('major', ['Election/debate', 'Republicans vs democrats']), ('listen', ['Election/debate', 'Republicans vs democrats']), ('anticipated', ['Republicans vs democrats'])]"
amyewalter,2023-05-25 00:15:56+00:00,6,Election/debate,0.47500798,negative,0.8036895990371704,"{'negative': 0.8036895990371704, 'neutral': 0.17618940770626068, 'positive': 0.02012103982269764}",disgust,0.5071000456809998,"{'disgust': 0.5071000456809998, 'anger': 0.3427813947200775, 'sadness': 0.09846905618906021, 'pessimism': 0.02140120416879654, 'anticipation': 0.013917587697505951, 'joy': 0.00501438369974494, 'surprise': 0.004649390000849962, 'optimism': 0.003625917946919799, 'fear': 0.002061063889414072, 'trust': 0.0006600683555006981, 'love': 0.0003199104394298047}",not-hate,0.9982339143753052,"{'not-hate': 0.9982339143753052, 'hate': 0.0017660082085058093}",non-offensive,0.7953338623046875,"{'non-offensive': 0.7953338623046875, 'offensive': 0.2046661525964737}",4.0,Republicans vs democrats,0.2965988,Nothing encapsulates the current Twitter era like the current Musk-DeSantis Twitter spaces technical melt-down.,encapsulates current twitter era like current musk desantis twitter space technical melt,"[('current', [6, 4]), ('like', [6, 4]), ('musk', [4]), ('twitter', [6, 4]), ('desantis', [6, 4]), ('space', [6, 4]), ('technical', [8]), ('era', [6, 4]), ('encapsulates', [3]), ('melt', [6])]","[('current', ['Election/debate', 'Republicans vs democrats']), ('like', ['Election/debate', 'Republicans vs democrats']), ('musk', ['Republicans vs democrats']), ('twitter', ['Election/debate', 'Republicans vs democrats']), ('desantis', ['Election/debate', 'Republicans vs democrats']), ('space', ['Election/debate', 'Republicans vs democrats']), ('technical', ['Infrastructure/job/energy']), ('era', ['Election/debate', 'Republicans vs democrats']), ('encapsulates', ['News/radio/livestream']), ('melt', ['Election/debate'])]"
NewsbySmiley,2023-05-25 00:27:09+00:00,6,Election/debate,0.9373851,neutral,0.5826038122177124,"{'neutral': 0.5826038122177124, 'negative': 0.3949718177318573, 'positive': 0.022424349561333656}",sadness,0.379984587430954,"{'sadness': 0.379984587430954, 'disgust': 0.2546601891517639, 'anticipation': 0.10020330548286438, 'pessimism': 0.09713674336671829, 'anger': 0.06678007543087006, 'fear': 0.06175302341580391, 'surprise': 0.022442011162638664, 'joy': 0.008212950080633163, 'optimism': 0.005671835038810968, 'trust': 0.0022118892520666122, 'love': 0.0009434446692466736}",not-hate,0.998879373073578,"{'not-hate': 0.9988793730735779, 'hate': 0.0011206731433048844}",non-offensive,0.880255401134491,"{'non-offensive': 0.880255401134491, 'offensive': 0.11974456161260605}",,,,"RT @“I’m here,” Ron DeSantis says for the first time, 24 minutes into the Twitter Spaces event about his presidential announcement. The space kept crashing.",ron desantis say time minute twitter space event presidential announcement space kept crashing,"[('minute', [6]), ('announcement', [6]), ('time', [6]), ('twitter', [6]), ('say', [6]), ('presidential', [6]), ('event', [6]), ('desantis', [6]), ('space', [6]), ('crashing', [6]), ('ron', [6]), ('kept', [6])]","[('minute', ['Election/debate']), ('announcement', ['Election/debate']), ('time', ['Election/debate']), ('twitter', ['Election/debate']), ('say', ['Election/debate']), ('presidential', ['Election/debate']), ('event', ['Election/debate']), ('desantis', ['Election/debate']), ('space', ['Election/debate']), ('crashing', ['Election/debate']), ('ron', ['Election/debate']), ('kept', ['Election/debate'])]"
CollinRugg,2023-05-25 00:30:29+00:00,6,Election/debate,0.47507098,negative,0.5009080767631531,"{'negative': 0.5009080767631531, 'neutral': 0.4639439582824707, 'positive': 0.03514795005321503}",anger,0.7183884382247925,"{'anger': 0.7183884382247925, 'disgust': 0.21756400167942047, 'anticipation': 0.02684544213116169, 'optimism': 0.01598813757300377, 'sadness': 0.005872341338545084, 'pessimism': 0.005711253732442856, 'joy': 0.0035855863243341446, 'trust': 0.0025443355552852154, 'surprise': 0.0020497001241892576, 'fear': 0.0010460760677233338, 'love': 0.00040473081753589213}",not-hate,0.9970420002937316,"{'not-hate': 0.9970420002937317, 'hate': 0.0029579561669379473}",non-offensive,0.8679066896438599,"{'non-offensive': 0.8679066896438599, 'offensive': 0.13209328055381775}",7.0,Abortion/rights/guns,0.25898635,"Someone tell @RonDeSantis to stop reading off a script. People want authenticity, especially on Twitter.",tell stop reading script people want authenticity especially twitter,"[('people', [6, 7]), ('twitter', [6]), ('especially', [6, 7]), ('tell', [6, 7]), ('want', [6, 7]), ('stop', [7, 6]), ('reading', [6, 5]), ('authenticity', [5]), ('script', [7])]","[('people', ['Election/debate', 'Abortion/rights/guns']), ('twitter', ['Election/debate']), ('especially', ['Election/debate', 'Abortion/rights/guns']), ('tell', ['Election/debate', 'Abortion/rights/guns']), ('want', ['Election/debate', 'Abortion/rights/guns']), ('stop', ['Abortion/rights/guns', 'Election/debate']), ('reading', ['Election/debate', 'Border/community/family']), ('authenticity', ['Border/community/family']), ('script', ['Abortion/rights/guns'])]"
CeciliaBTory,2023-05-25 00:42:38+00:00,6,Election/debate,0.4545759,negative,0.4443118572235107,"{'negative': 0.44431185722351074, 'neutral': 0.3400627076625824, 'positive': 0.21562545001506805}",joy,0.9629424810409546,"{'joy': 0.9629424810409546, 'optimism': 0.010985790751874447, 'surprise': 0.006707897409796715, 'anger': 0.00651062186807394, 'disgust': 0.005796789191663265, 'anticipation': 0.0030227394308894873, 'love': 0.0021132794208824635, 'trust': 0.0006958330050110817, 'sadness': 0.0006344289286062121, 'fear': 0.00038005938404239714, 'pessimism': 0.0002100126730510965}",not-hate,0.9964455962181092,"{'not-hate': 0.9964455962181091, 'hate': 0.0035544002894312143}",non-offensive,0.5816121101379395,"{'non-offensive': 0.5816121101379395, 'offensive': 0.41838786005973816}",2.0,War,0.35798094,#RondeSanctimonius has just announced he's running for President.I want all #DonaldTrump supporters to just laugh non stop at this ridiculous proposition! 🤣😂😅🤣😂😅🤣😂😅🤣😂😅#rondesantis #uselection2024,announced running president want supporter laugh non stop ridiculous proposition,"[('supporter', [6, 2]), ('president', [6, 2]), ('announced', [6, 5]), ('running', [6, 2]), ('ridiculous', [2, 6]), ('want', [2, 6]), ('non', [6, 2]), ('stop', [2, 6]), ('laugh', [2, 5]), ('proposition', [5])]","[('supporter', ['Election/debate', 'War']), ('president', ['Election/debate', 'War']), ('announced', ['Election/debate', 'Border/community/family']), ('running', ['Election/debate', 'War']), ('ridiculous', ['War', 'Election/debate']), ('want', ['War', 'Election/debate']), ('non', ['Election/debate', 'War']), ('stop', ['War', 'Election/debate']), ('laugh', ['War', 'Border/community/family']), ('proposition', ['Border/community/family'])]"
