username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
POTUS,2023-06-24 00:40:00+00:00,1,American/economics/health,0.6492542,positive,0.656561017036438,"{'positive': 0.656561017036438, 'neutral': 0.3272782266139984, 'negative': 0.01616082899272442}",optimism,0.9252583980560304,"{'optimism': 0.9252583980560303, 'joy': 0.028090761974453926, 'trust': 0.019266173243522644, 'fear': 0.012436341494321823, 'anticipation': 0.01096324808895588, 'love': 0.0013311253860592842, 'surprise': 0.0007222541607916355, 'pessimism': 0.0006806933088228106, 'anger': 0.0004994829650968313, 'sadness': 0.00042201674659736454, 'disgust': 0.000329496746417135}",not-hate,0.998881995677948,"{'not-hate': 0.998881995677948, 'hate': 0.0011180073488503695}",non-offensive,0.953005075454712,"{'non-offensive': 0.9530050754547119, 'offensive': 0.046994950622320175}",5.0,Border/community/family,0.17833498,"AI is going to change the way we teach, learn, and solve challenges. But in seizing this moment, we must manage the risks. My Administration is committed to getting it right. https://t.co/IepLkoj9CJ", going change way teach learn solve challenge seizing moment manage risk administration committed getting right,"[('way', [1, 5]), ('administration', [1, 5]), ('getting', [1, 4]), ('going', [1, 4]), ('right', [1, 4]), ('solve', [1, 5]), ('committed', [1, 5]), ('change', [1, 4]), ('challenge', [1, 5]), ('moment', [1, 5]), ('risk', [1, 5]), ('learn', [1, 5]), ('teach', [5]), ('seizing', [4]), ('manage', [1])]","[('way', ['American/economics/health', 'Border/community/family']), ('administration', ['American/economics/health', 'Border/community/family']), ('getting', ['American/economics/health', 'Republicans vs democrats']), ('going', ['American/economics/health', 'Republicans vs democrats']), ('right', ['American/economics/health', 'Republicans vs democrats']), ('solve', ['American/economics/health', 'Border/community/family']), ('committed', ['American/economics/health', 'Border/community/family']), ('change', ['American/economics/health', 'Republicans vs democrats']), ('challenge', ['American/economics/health', 'Border/community/family']), ('moment', ['American/economics/health', 'Border/community/family']), ('risk', ['American/economics/health', 'Border/community/family']), ('learn', ['American/economics/health', 'Border/community/family']), ('teach', ['Border/community/family']), ('seizing', ['Republicans vs democrats']), ('manage', ['American/economics/health'])]"
TheDemocrats,2023-06-24 01:08:14+00:00,1,American/economics/health,0.93265283,positive,0.9331123232841492,"{'positive': 0.9331123232841492, 'neutral': 0.06209314242005348, 'negative': 0.00479446817189455}",optimism,0.8521559834480286,"{'optimism': 0.8521559834480286, 'anticipation': 0.05396602302789688, 'joy': 0.048250164836645126, 'trust': 0.023805465549230576, 'anger': 0.005684591829776764, 'pessimism': 0.0038046673871576786, 'disgust': 0.0037322156131267548, 'sadness': 0.0026163177099078894, 'fear': 0.0022804688196629286, 'surprise': 0.002003702102228999, 'love': 0.0017004834953695536}",not-hate,0.9984155893325806,"{'not-hate': 0.9984155893325806, 'hate': 0.0015844233566895127}",non-offensive,0.8900283575057983,"{'non-offensive': 0.8900283575057983, 'offensive': 0.10997167974710464}",,,,"Through the Inflation Reduction Act, Democrats delivered the largest investment in American history to combat climate change. 🙌 https://t.co/BZtVqyJquY",inflation reduction act democrat delivered largest investment american history combat climate change,"[('american', [1]), ('act', [1]), ('history', [1]), ('democrat', [1]), ('change', [1]), ('largest', [1]), ('climate', [1]), ('investment', [1]), ('inflation', [1]), ('delivered', [1]), ('combat', [1]), ('reduction', [1])]","[('american', ['American/economics/health']), ('act', ['American/economics/health']), ('history', ['American/economics/health']), ('democrat', ['American/economics/health']), ('change', ['American/economics/health']), ('largest', ['American/economics/health']), ('climate', ['American/economics/health']), ('investment', ['American/economics/health']), ('inflation', ['American/economics/health']), ('delivered', ['American/economics/health']), ('combat', ['American/economics/health']), ('reduction', ['American/economics/health'])]"
SpeakerMcCarthy,2023-06-24 01:24:33+00:00,1,American/economics/health,0.7309651,neutral,0.4936935007572174,"{'neutral': 0.4936935007572174, 'positive': 0.31795841455459595, 'negative': 0.18834808468818665}",optimism,0.6501712203025818,"{'optimism': 0.6501712203025818, 'joy': 0.2012825310230255, 'anger': 0.08751152455806732, 'disgust': 0.024282753467559814, 'anticipation': 0.018587199971079826, 'trust': 0.009640895761549473, 'surprise': 0.002074667951092124, 'love': 0.0018666678806766868, 'sadness': 0.0018000986892729998, 'pessimism': 0.001747392350807786, 'fear': 0.0010350694647058845}",not-hate,0.9977490305900574,"{'not-hate': 0.9977490305900574, 'hate': 0.002250965917482972}",non-offensive,0.7864392995834351,"{'non-offensive': 0.7864392995834351, 'offensive': 0.21356074512004852}",5.0,Border/community/family,0.23479436,"RT @The Biden admin’s mortgage rule is a socialist redistribution of wealth. Responsible action should never be penalized, and irresponsible action should never be subsidized. I’m glad to see my colleagues recognize this issue and pass my legislation to reverse this rule. https://t.co/7giP32sVIr",biden admins mortgage rule socialist redistribution wealth responsible action penalized irresponsible action subsidized glad colleague recognize issue pas legislation reverse rule,"[('biden', [1, 5]), ('action', [1, 5]), ('socialist', [5]), ('issue', [1, 5]), ('pas', [1, 5]), ('rule', [1, 5]), ('legislation', [1, 5]), ('responsible', [1, 5]), ('colleague', [1, 5]), ('wealth', [1]), ('admins', [1]), ('recognize', [5, 1]), ('mortgage', [1]), ('reverse', [5]), ('irresponsible', [1]), ('glad', [1, 5]), ('subsidized', [1]), ('redistribution', [1]), ('penalized', [5])]","[('biden', ['American/economics/health', 'Border/community/family']), ('action', ['American/economics/health', 'Border/community/family']), ('socialist', ['Border/community/family']), ('issue', ['American/economics/health', 'Border/community/family']), ('pas', ['American/economics/health', 'Border/community/family']), ('rule', ['American/economics/health', 'Border/community/family']), ('legislation', ['American/economics/health', 'Border/community/family']), ('responsible', ['American/economics/health', 'Border/community/family']), ('colleague', ['American/economics/health', 'Border/community/family']), ('wealth', ['American/economics/health']), ('admins', ['American/economics/health']), ('recognize', ['Border/community/family', 'American/economics/health']), ('mortgage', ['American/economics/health']), ('reverse', ['Border/community/family']), ('irresponsible', ['American/economics/health']), ('glad', ['American/economics/health', 'Border/community/family']), ('subsidized', ['American/economics/health']), ('redistribution', ['American/economics/health']), ('penalized', ['Border/community/family'])]"
POTUS,2023-06-24 01:35:00+00:00,1,American/economics/health,0.9513583,positive,0.5008413195610046,"{'positive': 0.5008413195610046, 'neutral': 0.47423988580703735, 'negative': 0.024918796494603157}",optimism,0.6368055939674377,"{'optimism': 0.6368055939674377, 'joy': 0.22598479688167572, 'anticipation': 0.05136680603027344, 'anger': 0.03975757211446762, 'trust': 0.017692577093839645, 'disgust': 0.015334110707044601, 'surprise': 0.003991616889834404, 'pessimism': 0.002688844222575426, 'love': 0.0025338807608932257, 'sadness': 0.0020887069404125214, 'fear': 0.0017555244266986847}",not-hate,0.9984122514724731,"{'not-hate': 0.9984122514724731, 'hate': 0.001587712555192411}",non-offensive,0.8703984618186951,"{'non-offensive': 0.8703984618186951, 'offensive': 0.12960152328014374}",,,,The Inflation Reduction Act beat Big Pharma – allowing Medicare to negotiate lower prescription drug prices and reducing the deficit by another $160 billion over the next decade.,inflation reduction act beat big pharma allowing medicare negotiate lower prescription drug price reducing deficit billion decade,"[('decade', [1]), ('billion', [1]), ('act', [1]), ('drug', [1]), ('big', [1]), ('allowing', [1]), ('lower', [1]), ('beat', [1]), ('reducing', [1]), ('inflation', [1]), ('price', [1]), ('medicare', [1]), ('prescription', [1]), ('negotiate', [1]), ('reduction', [1]), ('pharma', [1]), ('deficit', [1])]","[('decade', ['American/economics/health']), ('billion', ['American/economics/health']), ('act', ['American/economics/health']), ('drug', ['American/economics/health']), ('big', ['American/economics/health']), ('allowing', ['American/economics/health']), ('lower', ['American/economics/health']), ('beat', ['American/economics/health']), ('reducing', ['American/economics/health']), ('inflation', ['American/economics/health']), ('price', ['American/economics/health']), ('medicare', ['American/economics/health']), ('prescription', ['American/economics/health']), ('negotiate', ['American/economics/health']), ('reduction', ['American/economics/health']), ('pharma', ['American/economics/health']), ('deficit', ['American/economics/health'])]"
marwilliamson,2023-06-24 02:06:32+00:00,1,American/economics/health,0.456301,positive,0.6906721591949463,"{'positive': 0.6906721591949463, 'neutral': 0.3005383014678955, 'negative': 0.008789511397480965}",anger,0.5931936502456665,"{'anger': 0.5931936502456665, 'disgust': 0.16604271531105042, 'optimism': 0.12847070395946503, 'joy': 0.04415719211101532, 'anticipation': 0.04024190455675125, 'trust': 0.009124113246798515, 'pessimism': 0.004713344853371382, 'fear': 0.00441362289711833, 'sadness': 0.004297166131436825, 'surprise': 0.0038307749200612307, 'love': 0.0015148017555475235}",not-hate,0.9987323880195618,"{'not-hate': 0.9987323880195618, 'hate': 0.0012675533071160316}",non-offensive,0.8317474722862244,"{'non-offensive': 0.8317474722862244, 'offensive': 0.16825252771377563}",2.0,War,0.3380719,"The Pregnancy Workers Fairness Act will go into effect on Tuesday, protecting pregnant women from legally being fired or retaliated if they need/request reasonable accommodations due to their pregnancy or postpartum status. An important step forward. (Now paid family leave please)",pregnancy worker fairness act effect tuesday protecting pregnant woman legally fired retaliated need request reasonable accommodation pregnancy postpartum status important step forward paid family leave,"[('worker', [1]), ('fired', [2, 6]), ('tuesday', [6, 1]), ('request', [1, 6]), ('leave', [1, 2]), ('need', [1, 2]), ('act', [1, 7]), ('pregnant', [2, 7]), ('important', [1, 7]), ('family', [1, 7]), ('paid', [1]), ('woman', [7, 1]), ('step', [1, 7]), ('status', [1, 2]), ('forward', [1, 6]), ('legally', [2]), ('protecting', [1, 7]), ('effect', [1, 7]), ('postpartum', [2]), ('pregnancy', [2, 6]), ('accommodation', [2]), ('fairness', [7, 2]), ('reasonable', [1, 2]), ('retaliated', [2])]","[('worker', ['American/economics/health']), ('fired', ['War', 'Election/debate']), ('tuesday', ['Election/debate', 'American/economics/health']), ('request', ['American/economics/health', 'Election/debate']), ('leave', ['American/economics/health', 'War']), ('need', ['American/economics/health', 'War']), ('act', ['American/economics/health', 'Abortion/rights/guns']), ('pregnant', ['War', 'Abortion/rights/guns']), ('important', ['American/economics/health', 'Abortion/rights/guns']), ('family', ['American/economics/health', 'Abortion/rights/guns']), ('paid', ['American/economics/health']), ('woman', ['Abortion/rights/guns', 'American/economics/health']), ('step', ['American/economics/health', 'Abortion/rights/guns']), ('status', ['American/economics/health', 'War']), ('forward', ['American/economics/health', 'Election/debate']), ('legally', ['War']), ('protecting', ['American/economics/health', 'Abortion/rights/guns']), ('effect', ['American/economics/health', 'Abortion/rights/guns']), ('postpartum', ['War']), ('pregnancy', ['War', 'Election/debate']), ('accommodation', ['War']), ('fairness', ['Abortion/rights/guns', 'War']), ('reasonable', ['American/economics/health', 'War']), ('retaliated', ['War'])]"
WillHurd,2023-06-24 02:07:00+00:00,1,American/economics/health,0.74659044,positive,0.7750000357627869,"{'positive': 0.7750000357627869, 'neutral': 0.21029336750507355, 'negative': 0.014706544578075409}",optimism,0.7794191241264343,"{'optimism': 0.7794191241264343, 'joy': 0.17631913721561432, 'trust': 0.022199947386980057, 'anticipation': 0.014828978106379509, 'love': 0.0038687170017510653, 'surprise': 0.0008551492355763912, 'anger': 0.0006781142437830567, 'fear': 0.0005313896108418703, 'sadness': 0.00047705104225315154, 'pessimism': 0.0004764558980241418, 'disgust': 0.00034605004475452006}",not-hate,0.999037742614746,"{'not-hate': 0.9990377426147461, 'hate': 0.000962290505412966}",non-offensive,0.8869522213935852,"{'non-offensive': 0.8869522213935852, 'offensive': 0.11304774880409241}",6.0,Election/debate,0.18508151,I’m running for an America where every child regardless of location or age has access to a world-class education.,running america child regardless location age access world class education,"[('world', [1, 6]), ('location', [6]), ('america', [1, 6]), ('age', [1, 6]), ('running', [6, 1]), ('child', [1]), ('education', [1, 6]), ('access', [1]), ('class', [1, 6]), ('regardless', [1])]","[('world', ['American/economics/health', 'Election/debate']), ('location', ['Election/debate']), ('america', ['American/economics/health', 'Election/debate']), ('age', ['American/economics/health', 'Election/debate']), ('running', ['Election/debate', 'American/economics/health']), ('child', ['American/economics/health']), ('education', ['American/economics/health', 'Election/debate']), ('access', ['American/economics/health']), ('class', ['American/economics/health', 'Election/debate']), ('regardless', ['American/economics/health'])]"
8NEWS,2023-06-24 02:59:08+00:00,1,American/economics/health,0.9324217,neutral,0.9048270583152772,"{'neutral': 0.9048270583152771, 'positive': 0.08673007786273956, 'negative': 0.008442927151918411}",anticipation,0.4169795513153076,"{'anticipation': 0.4169795513153076, 'optimism': 0.33820220828056335, 'joy': 0.16688407957553864, 'trust': 0.03497521951794624, 'surprise': 0.01419375091791153, 'anger': 0.007587771862745285, 'disgust': 0.0071263788267970085, 'pessimism': 0.003823214676231146, 'sadness': 0.0035296459682285786, 'fear': 0.0033845603466033936, 'love': 0.0033135812263935804}",not-hate,0.9981800317764282,"{'not-hate': 0.9981800317764282, 'hate': 0.0018199908081442118}",non-offensive,0.90892493724823,"{'non-offensive': 0.90892493724823, 'offensive': 0.0910751223564148}",,,,"Wittman, Spanberger introduce bill to allow 529 college savings plan to be used to pay for training, credentialing programs https://t.co/boW8To9Mgx #Virginia",wittman spanberger introduce bill allow college saving plan pay training credentialing program,"[('college', [1]), ('pay', [1]), ('plan', [1]), ('allow', [1]), ('bill', [1]), ('program', [1]), ('saving', [1]), ('introduce', [1]), ('training', [1]), ('spanberger', [1]), ('wittman', [1]), ('credentialing', [1])]","[('college', ['American/economics/health']), ('pay', ['American/economics/health']), ('plan', ['American/economics/health']), ('allow', ['American/economics/health']), ('bill', ['American/economics/health']), ('program', ['American/economics/health']), ('saving', ['American/economics/health']), ('introduce', ['American/economics/health']), ('training', ['American/economics/health']), ('spanberger', ['American/economics/health']), ('wittman', ['American/economics/health']), ('credentialing', ['American/economics/health'])]"
POTUS,2023-06-24 03:05:00+00:00,1,American/economics/health,0.93103623,positive,0.6774488687515259,"{'positive': 0.6774488687515259, 'neutral': 0.30999845266342163, 'negative': 0.012552755884826183}",optimism,0.8648592233657837,"{'optimism': 0.8648592233657837, 'joy': 0.07394787669181824, 'anticipation': 0.029037252068519592, 'trust': 0.018996870145201683, 'anger': 0.004550929646939039, 'disgust': 0.002235264517366886, 'love': 0.001576506532728672, 'pessimism': 0.0015481386799365282, 'surprise': 0.0011752558639273047, 'fear': 0.0011198659194633365, 'sadness': 0.0009527647052891552}",not-hate,0.9986976385116576,"{'not-hate': 0.9986976385116577, 'hate': 0.0013023775536566973}",non-offensive,0.8813493251800537,"{'non-offensive': 0.8813493251800537, 'offensive': 0.11865069717168808}",2.0,War,0.04215781,Americans deserve affordable health care. Our lower cost prescription drug law – the Inflation Reduction Act – gets Medicare the power to negotiate lower prescription drug prices and locks in lower health care premiums for millions of families.,american deserve affordable health care lower cost prescription drug law inflation reduction act medicare power negotiate lower prescription drug price lock lower health care premium million family,"[('american', [1]), ('million', [1]), ('law', [1]), ('power', [1, 2]), ('act', [1]), ('affordable', [1]), ('family', [1]), ('care', [1]), ('drug', [1]), ('health', [1]), ('lower', [1]), ('cost', [1]), ('deserve', [1]), ('lock', [2]), ('inflation', [1]), ('price', [1]), ('medicare', [1]), ('prescription', [1]), ('negotiate', [1]), ('reduction', [1]), ('premium', [1])]","[('american', ['American/economics/health']), ('million', ['American/economics/health']), ('law', ['American/economics/health']), ('power', ['American/economics/health', 'War']), ('act', ['American/economics/health']), ('affordable', ['American/economics/health']), ('family', ['American/economics/health']), ('care', ['American/economics/health']), ('drug', ['American/economics/health']), ('health', ['American/economics/health']), ('lower', ['American/economics/health']), ('cost', ['American/economics/health']), ('deserve', ['American/economics/health']), ('lock', ['War']), ('inflation', ['American/economics/health']), ('price', ['American/economics/health']), ('medicare', ['American/economics/health']), ('prescription', ['American/economics/health']), ('negotiate', ['American/economics/health']), ('reduction', ['American/economics/health']), ('premium', ['American/economics/health'])]"
TheDemocrats,2023-06-24 03:10:05+00:00,1,American/economics/health,0.8561528,positive,0.6892635226249695,"{'positive': 0.6892635226249695, 'neutral': 0.30131590366363525, 'negative': 0.009420527145266533}",optimism,0.7487092614173889,"{'optimism': 0.7487092614173889, 'joy': 0.07002243399620056, 'anticipation': 0.06995043903589249, 'anger': 0.05731811001896858, 'trust': 0.024904577061533928, 'disgust': 0.017759649083018303, 'surprise': 0.0031801480799913406, 'pessimism': 0.002790202386677265, 'fear': 0.0021316995844244957, 'love': 0.0016671447083353996, 'sadness': 0.001566353370435536}",not-hate,0.9974193572998048,"{'not-hate': 0.9974193572998047, 'hate': 0.0025806317571550608}",non-offensive,0.92700856924057,"{'non-offensive': 0.9270085692405701, 'offensive': 0.07299143075942993}",8.0,Infrastructure/job/energy,0.102077655,The price you see in Ticketmaster and other ticket websites will be the price you pay thanks to President @JoeBiden’s new regulations on junk fees. This will lead to lower costs and more transparency for the American people. https://t.co/gYzWwcb27i,price ticketmaster ticket website price pay thanks president regulation junk fee lead lower cost transparency american people,"[('american', [1, 8]), ('lead', [1, 8]), ('people', [1, 8]), ('president', [1, 8]), ('regulation', [1, 8]), ('pay', [1, 8]), ('lower', [1, 8]), ('cost', [1]), ('ticket', [1]), ('ticketmaster', [8]), ('thanks', [1, 8]), ('website', [1]), ('transparency', [1, 8]), ('price', [1, 8]), ('fee', [1]), ('junk', [1])]","[('american', ['American/economics/health', 'Infrastructure/job/energy']), ('lead', ['American/economics/health', 'Infrastructure/job/energy']), ('people', ['American/economics/health', 'Infrastructure/job/energy']), ('president', ['American/economics/health', 'Infrastructure/job/energy']), ('regulation', ['American/economics/health', 'Infrastructure/job/energy']), ('pay', ['American/economics/health', 'Infrastructure/job/energy']), ('lower', ['American/economics/health', 'Infrastructure/job/energy']), ('cost', ['American/economics/health']), ('ticket', ['American/economics/health']), ('ticketmaster', ['Infrastructure/job/energy']), ('thanks', ['American/economics/health', 'Infrastructure/job/energy']), ('website', ['American/economics/health']), ('transparency', ['American/economics/health', 'Infrastructure/job/energy']), ('price', ['American/economics/health', 'Infrastructure/job/energy']), ('fee', ['American/economics/health']), ('junk', ['American/economics/health'])]"
RepSpanberger,2023-06-24 14:10:07+00:00,1,American/economics/health,0.92702115,neutral,0.9180678129196168,"{'neutral': 0.9180678129196167, 'positive': 0.07314658910036087, 'negative': 0.008785572834312916}",anticipation,0.4220126569271087,"{'anticipation': 0.42201265692710876, 'optimism': 0.325631707906723, 'joy': 0.17385341227054596, 'trust': 0.03414486348628998, 'surprise': 0.014623984694480896, 'anger': 0.007408693432807922, 'disgust': 0.007362140342593193, 'pessimism': 0.00408003106713295, 'sadness': 0.004039525054395199, 'fear': 0.0034685353748500347, 'love': 0.0033744624815881252}",not-hate,0.9984523057937622,"{'not-hate': 0.9984523057937622, 'hate': 0.0015476620756089687}",non-offensive,0.935741364955902,"{'non-offensive': 0.9357413649559021, 'offensive': 0.06425867229700089}",8.0,Infrastructure/job/energy,0.01043508,"RT @Wittman, Spanberger introduce bill to allow 529 college savings plan to be used to pay for training, credentialing programs https://t.co/boW8To9Mgx #Virginia",spanberger introduce bill allow college saving plan pay training credentialing program,"[('college', [1]), ('pay', [1]), ('plan', [1]), ('allow', [1]), ('bill', [1]), ('program', [1]), ('saving', [1]), ('introduce', [1]), ('training', [1]), ('spanberger', [1]), ('credentialing', [1])]","[('college', ['American/economics/health']), ('pay', ['American/economics/health']), ('plan', ['American/economics/health']), ('allow', ['American/economics/health']), ('bill', ['American/economics/health']), ('program', ['American/economics/health']), ('saving', ['American/economics/health']), ('introduce', ['American/economics/health']), ('training', ['American/economics/health']), ('spanberger', ['American/economics/health']), ('credentialing', ['American/economics/health'])]"
