username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
GovChristie,2023-08-13 23:04:00+00:00,2,War,0.447469,negative,0.8440099954605103,"{'negative': 0.8440099954605103, 'neutral': 0.14542540907859802, 'positive': 0.010564584285020828}",anger,0.8325734734535217,"{'anger': 0.8325734734535217, 'disgust': 0.13226838409900665, 'optimism': 0.015131808817386627, 'anticipation': 0.006247964221984148, 'pessimism': 0.004384028725326061, 'sadness': 0.004304747562855482, 'trust': 0.0018914301181212068, 'joy': 0.0013062447542324662, 'fear': 0.0010700179263949394, 'surprise': 0.0004813905106857419, 'love': 0.00034053143463097513}",not-hate,0.9939507246017456,"{'not-hate': 0.9939507246017456, 'hate': 0.006049285177141428}",non-offensive,0.6110441088676453,"{'non-offensive': 0.6110441088676453, 'offensive': 0.3889559209346771}",4.0,Republicans vs democrats,0.2808082,"Ignoring Trump’s lies is exactly what enables him. I’m not going to do that, I’m going to expose him. Whether that angers certain people or not, I don't care. That’s part of the process. If your principles aren't worth fighting for then stay on the bench. https://t.co/0gKiEeVK5n",ignoring trump lie exactly enables going going expose anger certain people care process principle worth fighting stay bench,"[('people', [2, 4]), ('trump', [4, 2]), ('exactly', [2, 4]), ('going', [2, 4]), ('process', [4, 8]), ('worth', [4, 2]), ('stay', [4, 2]), ('care', [2, 1]), ('fighting', [5, 2]), ('lie', [4, 2]), ('ignoring', [2, 4]), ('certain', [2, 4]), ('principle', [4, 5]), ('expose', [2]), ('anger', [2]), ('enables', [5]), ('bench', [8])]","[('people', ['War', 'Republicans vs democrats']), ('trump', ['Republicans vs democrats', 'War']), ('exactly', ['War', 'Republicans vs democrats']), ('going', ['War', 'Republicans vs democrats']), ('process', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('worth', ['Republicans vs democrats', 'War']), ('stay', ['Republicans vs democrats', 'War']), ('care', ['War', 'American/economics/health']), ('fighting', ['Border/community/family', 'War']), ('lie', ['Republicans vs democrats', 'War']), ('ignoring', ['War', 'Republicans vs democrats']), ('certain', ['War', 'Republicans vs democrats']), ('principle', ['Republicans vs democrats', 'Border/community/family']), ('expose', ['War']), ('anger', ['War']), ('enables', ['Border/community/family']), ('bench', ['Infrastructure/job/energy'])]"
NoJesuitTricks,2023-08-14 00:03:19+00:00,2,War,0.55367714,negative,0.4287836253643036,"{'negative': 0.4287836253643036, 'neutral': 0.42430999875068665, 'positive': 0.14690640568733215}",optimism,0.653271496295929,"{'optimism': 0.653271496295929, 'joy': 0.09864764660596848, 'anticipation': 0.0955270379781723, 'anger': 0.08842158317565918, 'disgust': 0.03096034936606884, 'trust': 0.016386430710554123, 'fear': 0.005689485929906368, 'surprise': 0.0043027643114328384, 'pessimism': 0.0030395518988370895, 'sadness': 0.002291375072672963, 'love': 0.001462348853237927}",not-hate,0.9968703389167786,"{'not-hate': 0.9968703389167786, 'hate': 0.0031297067180275917}",non-offensive,0.667538583278656,"{'non-offensive': 0.667538583278656, 'offensive': 0.3324614465236664}",5.0,Border/community/family,0.22779283,Most evangelicals won’t even mention imprecatory psalms in silent prayer. Our favorite new Virginia Weirdbeard just called down hellfire on God’s enemies at a country music concert. I hope he stays by the stuff. https://t.co/Jtbze0dSkr,evangelicals mention imprecatory psalm silent prayer favorite virginia weirdbeard called hellfire god enemy country music concert hope stay stuff,"[('god', [2, 5]), ('called', [2, 5]), ('country', [2, 5]), ('hope', [5, 6]), ('stay', [2, 6]), ('enemy', [2, 5]), ('music', [5, 6]), ('stuff', [2, 6]), ('virginia', [6, 2]), ('favorite', [6, 5]), ('psalm', [5]), ('mention', [2]), ('concert', [3]), ('silent', [2]), ('prayer', [5]), ('evangelicals', [2]), ('hellfire', [2]), ('imprecatory', [2]), ('weirdbeard', [2])]","[('god', ['War', 'Border/community/family']), ('called', ['War', 'Border/community/family']), ('country', ['War', 'Border/community/family']), ('hope', ['Border/community/family', 'Election/debate']), ('stay', ['War', 'Election/debate']), ('enemy', ['War', 'Border/community/family']), ('music', ['Border/community/family', 'Election/debate']), ('stuff', ['War', 'Election/debate']), ('virginia', ['Election/debate', 'War']), ('favorite', ['Election/debate', 'Border/community/family']), ('psalm', ['Border/community/family']), ('mention', ['War']), ('concert', ['News/radio/livestream']), ('silent', ['War']), ('prayer', ['Border/community/family']), ('evangelicals', ['War']), ('hellfire', ['War']), ('imprecatory', ['War']), ('weirdbeard', ['War'])]"
RichardHanania,2023-08-14 02:57:34+00:00,2,War,0.5462975,positive,0.7564681768417358,"{'positive': 0.7564681768417358, 'neutral': 0.19501610100269318, 'negative': 0.04851565137505531}",anger,0.5101141333580017,"{'anger': 0.5101141333580017, 'joy': 0.2574199438095093, 'disgust': 0.10992946475744247, 'optimism': 0.09621117264032364, 'anticipation': 0.01015657838433981, 'trust': 0.0049830093048512936, 'surprise': 0.003317817347124219, 'love': 0.00298867654055357, 'fear': 0.0023077947553247213, 'sadness': 0.0014516416704282165, 'pessimism': 0.0011197366984561086}",not-hate,0.9984739422798156,"{'not-hate': 0.9984739422798157, 'hate': 0.0015260697109624743}",non-offensive,0.7743484973907471,"{'non-offensive': 0.7743484973907471, 'offensive': 0.22565148770809174}",1.0,American/economics/health,0.2379834,"Vivek dealing with questions on LGBT. Really excellent. Not angry or attacking people, calmly using common sense to explain the ways in which the LGBT movement uses government to discriminate against others. This isn’t that hard, you just need the talent. https://t.co/WUTkVj8l9b",vivek dealing question lgbt excellent angry attacking people calmly common sense explain way lgbt movement  government discriminate hard need talent,"[('way', [2, 1]), ('people', [2, 1]), ('question', [2, 4]), ('need', [2, 1]), ('common', [1, 2]), ('government', [2, 1]), ('sense', [1, 4]), ('hard', [1, 2]), ('vivek', [2, 4]), ('explain', [2, 1]), ('dealing', [4, 1]), ('angry', [2, 4]), ('attacking', [2, 4]), ('movement', [2, 1]), ('talent', [8]), ('excellent', [2, 1]), ('lgbt', [2]), ('calmly', [2]), ('discriminate', [1])]","[('way', ['War', 'American/economics/health']), ('people', ['War', 'American/economics/health']), ('question', ['War', 'Republicans vs democrats']), ('need', ['War', 'American/economics/health']), ('common', ['American/economics/health', 'War']), ('government', ['War', 'American/economics/health']), ('sense', ['American/economics/health', 'Republicans vs democrats']), ('hard', ['American/economics/health', 'War']), ('vivek', ['War', 'Republicans vs democrats']), ('explain', ['War', 'American/economics/health']), ('dealing', ['Republicans vs democrats', 'American/economics/health']), ('angry', ['War', 'Republicans vs democrats']), ('attacking', ['War', 'Republicans vs democrats']), ('movement', ['War', 'American/economics/health']), ('talent', ['Infrastructure/job/energy']), ('excellent', ['War', 'American/economics/health']), ('lgbt', ['War']), ('calmly', ['War']), ('discriminate', ['American/economics/health'])]"
larryelder,2023-08-14 12:53:00+00:00,2,War,0.31134897,neutral,0.7812462449073792,"{'neutral': 0.7812462449073792, 'negative': 0.15653032064437866, 'positive': 0.06222342699766159}",disgust,0.369620531797409,"{'disgust': 0.36962053179740906, 'anger': 0.24781453609466553, 'anticipation': 0.15678121149539948, 'surprise': 0.08994073420763016, 'joy': 0.06365464627742767, 'sadness': 0.034505706280469894, 'pessimism': 0.013572036288678646, 'optimism': 0.012154025956988335, 'fear': 0.005188765004277229, 'trust': 0.004931402392685413, 'love': 0.0018364164279773831}",not-hate,0.9969921112060548,"{'not-hate': 0.9969921112060547, 'hate': 0.0030078887939453125}",non-offensive,0.767937183380127,"{'non-offensive': 0.767937183380127, 'offensive': 0.23206275701522827}",1.0,American/economics/health,0.24651948,RT @@AsaHutchinson Backlogged on these due to fair craziness! Here’s what @larryelder said he would name his pet butter cow: https://t.co/XGtVtB6xuI,backlogged fair craziness said pet butter cow,"[('said', [4, 2]), ('fair', [1, 4]), ('backlogged', [4]), ('cow', [2]), ('pet', [7]), ('craziness', [1]), ('butter', [2])]","[('said', ['Republicans vs democrats', 'War']), ('fair', ['American/economics/health', 'Republicans vs democrats']), ('backlogged', ['Republicans vs democrats']), ('cow', ['War']), ('pet', ['Abortion/rights/guns']), ('craziness', ['American/economics/health']), ('butter', ['War'])]"
AndrewYang,2023-08-14 15:08:35+00:00,2,War,0.6509245,negative,0.5088942646980286,"{'negative': 0.5088942646980286, 'neutral': 0.4731750190258026, 'positive': 0.017930662259459496}",anger,0.7442603707313538,"{'anger': 0.7442603707313538, 'disgust': 0.13289956748485565, 'optimism': 0.060407500714063644, 'fear': 0.01574375480413437, 'anticipation': 0.013511334545910358, 'pessimism': 0.012801917269825935, 'sadness': 0.01244404911994934, 'trust': 0.00502809276804328, 'joy': 0.0015999372117221355, 'surprise': 0.0007456890889443457, 'love': 0.0005576871335506439}",not-hate,0.9976316690444946,"{'not-hate': 0.9976316690444946, 'hate': 0.0023682904429733753}",non-offensive,0.794335663318634,"{'non-offensive': 0.794335663318634, 'offensive': 0.20566430687904358}",1.0,American/economics/health,0.15214077,"“Human beings fight not because they are different but because they are the same, and in their attempts to distinguish themselves have made themselves into enemy twins, human doubles in reciprocal violence.” - Girard",human being fight different attempt distinguish enemy twin human double reciprocal violence girard,"[('different', [2, 1]), ('fight', [1, 2]), ('twin', [2]), ('violence', [2, 1]), ('enemy', [2]), ('attempt', [2, 1]), ('human', [2, 1]), ('double', [1]), ('distinguish', [3]), ('being', [3]), ('girard', [2]), ('reciprocal', [2])]","[('different', ['War', 'American/economics/health']), ('fight', ['American/economics/health', 'War']), ('twin', ['War']), ('violence', ['War', 'American/economics/health']), ('enemy', ['War']), ('attempt', ['War', 'American/economics/health']), ('human', ['War', 'American/economics/health']), ('double', ['American/economics/health']), ('distinguish', ['News/radio/livestream']), ('being', ['News/radio/livestream']), ('girard', ['War']), ('reciprocal', ['War'])]"
VivekGRamaswamy,2023-08-14 15:54:29+00:00,2,War,0.52547175,positive,0.7572088241577148,"{'positive': 0.7572088241577148, 'neutral': 0.19185027480125427, 'negative': 0.05094091594219208}",anger,0.538779616355896,"{'anger': 0.538779616355896, 'joy': 0.2202671617269516, 'disgust': 0.1107737198472023, 'optimism': 0.10487349331378937, 'anticipation': 0.009892256930470467, 'trust': 0.004991084337234497, 'surprise': 0.002813491504639387, 'love': 0.0027142860926687717, 'fear': 0.002135066082701087, 'sadness': 0.0015680381329730153, 'pessimism': 0.0011917701922357082}",not-hate,0.9978783130645752,"{'not-hate': 0.9978783130645752, 'hate': 0.0021217239554971457}",non-offensive,0.7761774063110352,"{'non-offensive': 0.7761774063110352, 'offensive': 0.22382256388664246}",1.0,American/economics/health,0.26871237,"RT @Vivek dealing with questions on LGBT. Really excellent. Not angry or attacking people, calmly using common sense to explain the ways in which the LGBT movement uses government to discriminate against others. This isn’t that hard, you just need the talent. https://t.co/WUTkVj8l9b",dealing question lgbt excellent angry attacking people calmly common sense explain way lgbt movement  government discriminate hard need talent,"[('way', [2, 1]), ('people', [2, 1]), ('question', [2, 4]), ('need', [1, 2]), ('common', [1, 2]), ('government', [2, 1]), ('sense', [1, 4]), ('hard', [1, 2]), ('explain', [2, 1]), ('dealing', [4, 1]), ('angry', [2, 4]), ('attacking', [2, 4]), ('movement', [2, 1]), ('talent', [8]), ('excellent', [2, 1]), ('lgbt', [2]), ('calmly', [2]), ('discriminate', [1])]","[('way', ['War', 'American/economics/health']), ('people', ['War', 'American/economics/health']), ('question', ['War', 'Republicans vs democrats']), ('need', ['American/economics/health', 'War']), ('common', ['American/economics/health', 'War']), ('government', ['War', 'American/economics/health']), ('sense', ['American/economics/health', 'Republicans vs democrats']), ('hard', ['American/economics/health', 'War']), ('explain', ['War', 'American/economics/health']), ('dealing', ['Republicans vs democrats', 'American/economics/health']), ('angry', ['War', 'Republicans vs democrats']), ('attacking', ['War', 'Republicans vs democrats']), ('movement', ['War', 'American/economics/health']), ('talent', ['Infrastructure/job/energy']), ('excellent', ['War', 'American/economics/health']), ('lgbt', ['War']), ('calmly', ['War']), ('discriminate', ['American/economics/health'])]"
GOP,2023-08-14 16:29:32+00:00,2,War,0.8539347,negative,0.9243459701538086,"{'negative': 0.9243459701538086, 'neutral': 0.0671355277299881, 'positive': 0.008518527261912823}",anger,0.5678423047065735,"{'anger': 0.5678423047065735, 'disgust': 0.4194922149181366, 'sadness': 0.0072923097759485245, 'fear': 0.0020782703068107367, 'surprise': 0.0013043441576883197, 'pessimism': 0.0009462723974138498, 'anticipation': 0.000491035811137408, 'joy': 0.00027640711050480604, 'love': 9.968204540200531e-05, 'trust': 9.010829671751708e-05, 'optimism': 8.703622006578371e-05}",not-hate,0.993988275527954,"{'not-hate': 0.9939882755279541, 'hate': 0.006011725403368473}",non-offensive,0.5714858174324036,"{'non-offensive': 0.5714858174324036, 'offensive': 0.4285142421722412}",4.0,Republicans vs democrats,0.020881936,He smirks after saying “no comment.” Absolutely terrible. https://t.co/ThqtkomwmF,smirk saying comment absolutely terrible,"[('comment', [2]), ('saying', [2]), ('terrible', [2]), ('absolutely', [2]), ('smirk', [2])]","[('comment', ['War']), ('saying', ['War']), ('terrible', ['War']), ('absolutely', ['War']), ('smirk', ['War'])]"
RobertKennedyJr,2023-08-14 16:43:10+00:00,2,War,0.41765654,neutral,0.5501325130462646,"{'neutral': 0.5501325130462646, 'positive': 0.3420916199684143, 'negative': 0.10777589678764343}",optimism,0.7167330980300903,"{'optimism': 0.7167330980300903, 'anger': 0.12299913913011551, 'trust': 0.0460272878408432, 'anticipation': 0.042053207755088806, 'disgust': 0.029945963993668556, 'fear': 0.016637297347187996, 'pessimism': 0.010634348727762699, 'sadness': 0.005556507967412472, 'joy': 0.005273876711726189, 'love': 0.0021868962794542313, 'surprise': 0.0019524515373632312}",not-hate,0.9845635890960692,"{'not-hate': 0.9845635890960693, 'hate': 0.015436330810189247}",non-offensive,0.7531447410583496,"{'non-offensive': 0.7531447410583496, 'offensive': 0.24685527384281158}",5.0,Border/community/family,0.3242856,"A strong border is compassion, not bigotry. It is conscience, not xenophobia. It used to be that Democrats understood this. #Kennedy24",strong border compassion bigotry conscience xenophobia democrat understood,"[('border', [5, 2]), ('compassion', [2, 5]), ('democrat', [2, 6]), ('strong', [5, 6]), ('understood', [2]), ('bigotry', [2]), ('conscience', [5]), ('xenophobia', [6])]","[('border', ['Border/community/family', 'War']), ('compassion', ['War', 'Border/community/family']), ('democrat', ['War', 'Election/debate']), ('strong', ['Border/community/family', 'Election/debate']), ('understood', ['War']), ('bigotry', ['War']), ('conscience', ['Border/community/family']), ('xenophobia', ['Election/debate'])]"
VivekGRamaswamy,2023-08-14 17:03:33+00:00,2,War,0.5655883,negative,0.5819976329803467,"{'negative': 0.5819976329803467, 'neutral': 0.40188637375831604, 'positive': 0.016116013750433922}",anger,0.8562820553779602,"{'anger': 0.8562820553779602, 'disgust': 0.13297459483146667, 'sadness': 0.002233442384749651, 'optimism': 0.002104915212839842, 'anticipation': 0.002076458651572466, 'joy': 0.0017535339575260878, 'pessimism': 0.0009951941901817918, 'trust': 0.0005362036172300577, 'surprise': 0.0004292055091354996, 'fear': 0.0003559742181096226, 'love': 0.0002583824680186808}",not-hate,0.9952887296676636,"{'not-hate': 0.9952887296676636, 'hate': 0.00471121072769165}",offensive,0.6288425922393799,"{'offensive': 0.6288425922393799, 'non-offensive': 0.37115737795829773}",7.0,Abortion/rights/guns,0.35525203,"The LGBTQ movement protests that the sex of the person you’re attracted to is hardwired at birth even though there’s no gay gene, yet *also* requires you to believe that your sex is totally fluid over the course of life even though there’s clearly a sex chromosome. You can’t believe both of these things at once, yet they call you a bigot unless you do. That’s just the hard TRUTH.",lgbtq movement protest sex person attracted hardwired birth gay gene requires believe sex totally fluid course life clearly sex chromosome believe thing bigot hard truth,"[('person', [2, 7]), ('believe', [2, 7]), ('protest', [2, 7]), ('clearly', [2]), ('thing', [2, 7]), ('totally', [2, 7]), ('truth', [2, 7]), ('life', [2, 7]), ('hard', [7, 2]), ('birth', [7]), ('course', [2]), ('sex', [2]), ('movement', [2, 7]), ('gay', [2, 7]), ('attracted', [8]), ('requires', [7, 2]), ('chromosome', [2]), ('lgbtq', [7]), ('bigot', [7]), ('fluid', [7]), ('gene', [7]), ('hardwired', [2, 7])]","[('person', ['War', 'Abortion/rights/guns']), ('believe', ['War', 'Abortion/rights/guns']), ('protest', ['War', 'Abortion/rights/guns']), ('clearly', ['War']), ('thing', ['War', 'Abortion/rights/guns']), ('totally', ['War', 'Abortion/rights/guns']), ('truth', ['War', 'Abortion/rights/guns']), ('life', ['War', 'Abortion/rights/guns']), ('hard', ['Abortion/rights/guns', 'War']), ('birth', ['Abortion/rights/guns']), ('course', ['War']), ('sex', ['War']), ('movement', ['War', 'Abortion/rights/guns']), ('gay', ['War', 'Abortion/rights/guns']), ('attracted', ['Infrastructure/job/energy']), ('requires', ['Abortion/rights/guns', 'War']), ('chromosome', ['War']), ('lgbtq', ['Abortion/rights/guns']), ('bigot', ['Abortion/rights/guns']), ('fluid', ['Abortion/rights/guns']), ('gene', ['Abortion/rights/guns']), ('hardwired', ['War', 'Abortion/rights/guns'])]"
GovWhitmer,2023-08-14 17:11:25+00:00,2,War,0.24179517,positive,0.9746606349945068,"{'positive': 0.9746606349945068, 'neutral': 0.018870249390602112, 'negative': 0.006469001527875662}",joy,0.9700380563735962,"{'joy': 0.9700380563735962, 'optimism': 0.016746750101447105, 'love': 0.009909596294164658, 'anticipation': 0.0010178032098338008, 'trust': 0.0009954881388694048, 'surprise': 0.0008593605598434806, 'disgust': 0.00011383499077055603, 'anger': 0.00010933673183899373, 'fear': 8.071724732872099e-05, 'sadness': 7.810375973349437e-05, 'pessimism': 5.092919309390709e-05}",not-hate,0.9980124235153198,"{'not-hate': 0.9980124235153198, 'hate': 0.0019875860307365656}",non-offensive,0.6750496625900269,"{'non-offensive': 0.6750496625900269, 'offensive': 0.32495033740997314}",8.0,Infrastructure/job/energy,0.2236873,"Spending the day at @rybasfudge was an absolute treat. The recipe for this Michigan staple hasn't been changed since its early roots in Detroit. Whether it's classic chocolate or fix the damn rocky roads, they have a flavor for everyone. https://t.co/W0J2GMLAqQ",spending day absolute treat recipe michigan staple changed early root detroit classic chocolate fix damn rocky road flavor,"[('spending', [1, 2]), ('day', [5, 6]), ('road', [8, 6]), ('fix', [2, 8]), ('michigan', [8, 7]), ('changed', [5, 7]), ('root', [2, 5]), ('treat', [5, 2]), ('absolute', [5, 6]), ('early', [6, 8]), ('detroit', [8, 7]), ('damn', [2, 7]), ('chocolate', [6]), ('classic', [2]), ('recipe', [2]), ('flavor', [7]), ('staple', [8]), ('rocky', [7])]","[('spending', ['American/economics/health', 'War']), ('day', ['Border/community/family', 'Election/debate']), ('road', ['Infrastructure/job/energy', 'Election/debate']), ('fix', ['War', 'Infrastructure/job/energy']), ('michigan', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('changed', ['Border/community/family', 'Abortion/rights/guns']), ('root', ['War', 'Border/community/family']), ('treat', ['Border/community/family', 'War']), ('absolute', ['Border/community/family', 'Election/debate']), ('early', ['Election/debate', 'Infrastructure/job/energy']), ('detroit', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('damn', ['War', 'Abortion/rights/guns']), ('chocolate', ['Election/debate']), ('classic', ['War']), ('recipe', ['War']), ('flavor', ['Abortion/rights/guns']), ('staple', ['Infrastructure/job/energy']), ('rocky', ['Abortion/rights/guns'])]"
