username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
Sillygurl007,2023-09-22 00:00:53+00:00,3,News/radio/livestream,0.12504983,positive,0.6999261975288391,"{'positive': 0.6999261975288391, 'neutral': 0.2891164720058441, 'negative': 0.010957295075058937}",joy,0.4539048373699188,"{'joy': 0.4539048373699188, 'anticipation': 0.14669957756996155, 'optimism': 0.12911932170391083, 'anger': 0.12097729742527008, 'disgust': 0.09870437532663345, 'surprise': 0.019998041912913322, 'sadness': 0.01214179489761591, 'trust': 0.008576132357120514, 'pessimism': 0.005719698965549469, 'love': 0.0028517998289316893, 'fear': 0.001307083759456873}",not-hate,0.9854395985603333,"{'not-hate': 0.9854395985603333, 'hate': 0.014560318551957607}",non-offensive,0.8768890500068665,"{'non-offensive': 0.8768890500068665, 'offensive': 0.12311094999313354}",7.0,Abortion/rights/guns,0.12500401,"GoodTalk, #catchup #blackppl #BlackTwitter #blackwomen #blackmen #media #democrates #Republicans #whitemen #whitewomen #blackcaucus #news #RolandMartin https://t.co/SOsFhJxMPr",goodtalk,"[('goodtalk', [])]","[('goodtalk', [])]"
WashTimesOpEd,2023-09-22 00:33:46+00:00,3,News/radio/livestream,0.520377,neutral,0.6009318232536316,"{'neutral': 0.6009318232536316, 'negative': 0.3593640625476837, 'positive': 0.0397041030228138}",optimism,0.5693601369857788,"{'optimism': 0.5693601369857788, 'anticipation': 0.10059734433889389, 'joy': 0.09916102886199951, 'sadness': 0.09067733585834503, 'disgust': 0.04433414340019226, 'anger': 0.03932829573750496, 'pessimism': 0.0306963250041008, 'trust': 0.015170181170105934, 'surprise': 0.004090036265552044, 'love': 0.003381956834346056, 'fear': 0.003203197382390499}",not-hate,0.998298704624176,"{'not-hate': 0.998298704624176, 'hate': 0.0017012795433402061}",non-offensive,0.7221449613571167,"{'non-offensive': 0.7221449613571167, 'offensive': 0.2778550088405609}",4.0,Republicans vs democrats,0.354288,"Garland's lofty words, lowly deeds https://t.co/fEqDomIQFe",garland  lofty word lowly deed,"[('word', [4]), ('garland', [4]), ('deed', [3]), ('lowly', [3]), ('lofty', [3])]","[('word', ['Republicans vs democrats']), ('garland', ['Republicans vs democrats']), ('deed', ['News/radio/livestream']), ('lowly', ['News/radio/livestream']), ('lofty', ['News/radio/livestream'])]"
PCadfael,2023-09-22 00:58:10+00:00,3,News/radio/livestream,0.49608076,negative,0.6425244808197021,"{'negative': 0.6425244808197021, 'neutral': 0.3430100083351135, 'positive': 0.014465587213635445}",anticipation,0.438784658908844,"{'anticipation': 0.438784658908844, 'optimism': 0.3250463902950287, 'joy': 0.13730113208293915, 'anger': 0.028939662501215935, 'trust': 0.027659885585308075, 'disgust': 0.017898622900247574, 'surprise': 0.012356436811387539, 'pessimism': 0.004786693025380373, 'sadness': 0.003261736361309886, 'love': 0.0020253006368875504, 'fear': 0.001939475303515792}",hate,0.6685076951980591,"{'hate': 0.6685076951980591, 'not-hate': 0.3314923346042633}",non-offensive,0.5385593771934509,"{'non-offensive': 0.5385593771934509, 'offensive': 0.4614406228065491}",4.0,Republicans vs democrats,0.2521652,Brigette Gabriel previous name Hanan Qahwaji bleaches her own skin and uses Blue contacts so she can sell herself to more #Republicans and #MAGA. https://t.co/aLqeIjIMoQ,brigette gabriel previous hanan qahwaji bleach skin  blue contact sell,"[('contact', [4, 3]), ('skin', [2, 6]), ('blue', [6, 4]), ('sell', [4]), ('previous', [4, 6]), ('gabriel', [3]), ('bleach', [3]), ('brigette', [3]), ('hanan', [3]), ('qahwaji', [3])]","[('contact', ['Republicans vs democrats', 'News/radio/livestream']), ('skin', ['War', 'Election/debate']), ('blue', ['Election/debate', 'Republicans vs democrats']), ('sell', ['Republicans vs democrats']), ('previous', ['Republicans vs democrats', 'Election/debate']), ('gabriel', ['News/radio/livestream']), ('bleach', ['News/radio/livestream']), ('brigette', ['News/radio/livestream']), ('hanan', ['News/radio/livestream']), ('qahwaji', ['News/radio/livestream'])]"
larryelder,2023-09-22 17:11:47+00:00,3,News/radio/livestream,0.46887505,neutral,0.6967757940292358,"{'neutral': 0.6967757940292358, 'negative': 0.28544875979423523, 'positive': 0.017775407060980797}",anticipation,0.6986695528030396,"{'anticipation': 0.6986695528030396, 'joy': 0.05603157356381416, 'optimism': 0.04978620633482933, 'surprise': 0.044358134269714355, 'disgust': 0.04075748100876808, 'sadness': 0.03467206656932831, 'pessimism': 0.025570286437869072, 'anger': 0.01938505843281746, 'trust': 0.016122350469231606, 'fear': 0.011827363632619381, 'love': 0.002819916233420372}",not-hate,0.9961119294166564,"{'not-hate': 0.9961119294166565, 'hate': 0.003888064995408058}",non-offensive,0.9150516390800476,"{'non-offensive': 0.9150516390800476, 'offensive': 0.08494832366704941}",6.0,Election/debate,0.43725267,RT @PBDsPodcast: .@larryelder recaps why he lost to Gavin Newsom in the California governor recall. https://t.co/gtsA6dPObn,recap lost gavin newsom california governor recall,"[('lost', [6]), ('gavin', [3]), ('newsom', [3]), ('california', [3, 6]), ('governor', [6]), ('recap', [6]), ('recall', [3])]","[('lost', ['Election/debate']), ('gavin', ['News/radio/livestream']), ('newsom', ['News/radio/livestream']), ('california', ['News/radio/livestream', 'Election/debate']), ('governor', ['Election/debate']), ('recap', ['Election/debate']), ('recall', ['News/radio/livestream'])]"
WashTimesOpEd,2023-09-22 18:51:00+00:00,3,News/radio/livestream,0.708302,neutral,0.9055152535438538,"{'neutral': 0.9055152535438538, 'positive': 0.06274982541799545, 'negative': 0.03173495829105377}",anticipation,0.3881928026676178,"{'anticipation': 0.3881928026676178, 'joy': 0.2091866284608841, 'optimism': 0.12221529334783554, 'disgust': 0.07898556441068649, 'sadness': 0.07326146215200424, 'anger': 0.03803456202149391, 'surprise': 0.03646237030625343, 'pessimism': 0.025390243157744408, 'trust': 0.015341203659772873, 'fear': 0.008225807920098305, 'love': 0.00470410380512476}",not-hate,0.9983730316162108,"{'not-hate': 0.9983730316162109, 'hate': 0.0016269385814666748}",non-offensive,0.908454418182373,"{'non-offensive': 0.908454418182373, 'offensive': 0.09154555201530457}",4.0,Republicans vs democrats,0.04168028,Letter to the editor: https://t.co/p2tpVeDXlr,letter editor,"[('letter', [3]), ('editor', [3])]","[('letter', ['News/radio/livestream']), ('editor', ['News/radio/livestream'])]"
MauricioAn1473,2023-09-22 20:37:55+00:00,3,News/radio/livestream,0.43243295,negative,0.6611944437026978,"{'negative': 0.6611944437026978, 'neutral': 0.2957245409488678, 'positive': 0.043081071227788925}",anger,0.802926242351532,"{'anger': 0.802926242351532, 'disgust': 0.18631581962108612, 'optimism': 0.0028425497002899647, 'sadness': 0.0020557583775371313, 'anticipation': 0.0018489742651581764, 'pessimism': 0.0012724859407171607, 'fear': 0.0010813814587891102, 'joy': 0.0009239980136044323, 'trust': 0.0003556689480319619, 'surprise': 0.00024238202604465187, 'love': 0.00013472692808136344}",not-hate,0.9849194288253784,"{'not-hate': 0.9849194288253784, 'hate': 0.015080601908266544}",offensive,0.5915216207504272,"{'offensive': 0.5915216207504272, 'non-offensive': 0.40847834944725037}",2.0,War,0.33463743,The devil is making a preacher for sex @realDonaldTrump I won with an activity group for GOD religion incase the devil takes over religion #DonaldTrump #Republicans #FoxNews,devil making preacher sex won activity group god religion incase devil take religion,"[('group', [2, 6]), ('god', [3, 2]), ('making', [6, 2]), ('take', [6, 2]), ('won', [6]), ('sex', [2, 3]), ('activity', [3]), ('religion', [2]), ('devil', [3]), ('preacher', [3]), ('incase', [3])]","[('group', ['War', 'Election/debate']), ('god', ['News/radio/livestream', 'War']), ('making', ['Election/debate', 'War']), ('take', ['Election/debate', 'War']), ('won', ['Election/debate']), ('sex', ['War', 'News/radio/livestream']), ('activity', ['News/radio/livestream']), ('religion', ['War']), ('devil', ['News/radio/livestream']), ('preacher', ['News/radio/livestream']), ('incase', ['News/radio/livestream'])]"
countdante67,2023-09-22 21:29:24+00:00,3,News/radio/livestream,0.7082758,positive,0.8924291133880615,"{'positive': 0.8924291133880615, 'neutral': 0.09485604614019394, 'negative': 0.012714761309325695}",joy,0.4996215105056762,"{'joy': 0.49962151050567627, 'optimism': 0.47771045565605164, 'trust': 0.008284461684525013, 'anticipation': 0.005442663095891476, 'love': 0.00461193174123764, 'anger': 0.0018025514436885715, 'surprise': 0.0008169209468178451, 'disgust': 0.0007098036585375667, 'sadness': 0.00041721793240867555, 'fear': 0.00029293590341694653, 'pessimism': 0.00028956535970792174}",not-hate,0.9980910420417786,"{'not-hate': 0.9980910420417786, 'hate': 0.0019089216366410255}",non-offensive,0.9431599378585817,"{'non-offensive': 0.9431599378585815, 'offensive': 0.05684007331728935}",5.0,Border/community/family,0.041687872,God bless the @TheOnion! 🤣 #LaurenBoebert #congress #Republicans https://t.co/P9wqGf5gZQ,god bless,"[('god', [3]), ('bless', [3])]","[('god', ['News/radio/livestream']), ('bless', ['News/radio/livestream'])]"
jason_maness,2023-09-23 02:09:35+00:00,3,News/radio/livestream,0.35458246,negative,0.8771529793739319,"{'negative': 0.8771529793739319, 'neutral': 0.11118883639574051, 'positive': 0.011658129282295704}",anger,0.608949601650238,"{'anger': 0.608949601650238, 'disgust': 0.3828209340572357, 'sadness': 0.004288282711058855, 'fear': 0.0018808868480846286, 'pessimism': 0.0009806104935705662, 'anticipation': 0.0004060592327732593, 'surprise': 0.0002655949501786381, 'optimism': 0.00014280546747613698, 'joy': 0.00014250806998461485, 'trust': 6.830878555774689e-05, 'love': 5.448249066830613e-05}",not-hate,0.8961186408996582,"{'not-hate': 0.8961186408996582, 'hate': 0.10388138890266418}",non-offensive,0.5448187589645386,"{'non-offensive': 0.5448187589645386, 'offensive': 0.4551812410354614}",1.0,American/economics/health,0.3529631,"This picture, captures the entirety of #Democrats and #Republicans working together to screw #Americans",picture capture entirety working screw,"[('working', [1]), ('picture', [3]), ('screw', [1]), ('capture', [3]), ('entirety', [2])]","[('working', ['American/economics/health']), ('picture', ['News/radio/livestream']), ('screw', ['American/economics/health']), ('capture', ['News/radio/livestream']), ('entirety', ['War'])]"
RpsAgainstTrump,2023-09-23 02:29:23+00:00,3,News/radio/livestream,0.40006623,neutral,0.5066794753074646,"{'neutral': 0.5066794753074646, 'negative': 0.2829265892505646, 'positive': 0.21039392054080963}",joy,0.3612817227840423,"{'joy': 0.36128172278404236, 'anticipation': 0.34703344106674194, 'surprise': 0.15482810139656067, 'sadness': 0.03668319061398506, 'fear': 0.03545818850398064, 'disgust': 0.014032971113920212, 'love': 0.013851755298674107, 'pessimism': 0.01085506659001112, 'trust': 0.0108333770185709, 'optimism': 0.010552920401096344, 'anger': 0.004589301999658346}",not-hate,0.9960134029388428,"{'not-hate': 0.9960134029388428, 'hate': 0.003986628260463476}",non-offensive,0.7954645752906799,"{'non-offensive': 0.7954645752906799, 'offensive': 0.20453542470932007}",6.0,Election/debate,0.29052857,"OMG. Lauren Boebert on why she was fondling her date in the theater: “It’s been 20 years since I was in the dating scene and back then, there were not infrared cameras watch my every move.” 🤦‍♂️ https://t.co/lX53rN44v8",lauren boebert fondling date theater year dating scene infrared camera watch,"[('year', [6, 2]), ('camera', [3]), ('watch', [6, 2]), ('date', [6]), ('scene', [3, 6]), ('boebert', [2]), ('lauren', [2]), ('theater', [6, 2]), ('dating', [3]), ('fondling', [3]), ('infrared', [3])]","[('year', ['Election/debate', 'War']), ('camera', ['News/radio/livestream']), ('watch', ['Election/debate', 'War']), ('date', ['Election/debate']), ('scene', ['News/radio/livestream', 'Election/debate']), ('boebert', ['War']), ('lauren', ['War']), ('theater', ['Election/debate', 'War']), ('dating', ['News/radio/livestream']), ('fondling', ['News/radio/livestream']), ('infrared', ['News/radio/livestream'])]"
notalibtard67,2023-09-23 04:28:24+00:00,3,News/radio/livestream,0.37494683,negative,0.6015074849128723,"{'negative': 0.6015074849128723, 'neutral': 0.36508941650390625, 'positive': 0.03340305760502815}",anger,0.5568886399269104,"{'anger': 0.5568886399269104, 'disgust': 0.39419564604759216, 'anticipation': 0.020694149658083916, 'sadness': 0.006707814522087574, 'fear': 0.005699910223484039, 'pessimism': 0.005413349252194166, 'optimism': 0.004085029941052198, 'surprise': 0.003348449943587184, 'joy': 0.0018258524360135198, 'trust': 0.0009627192048355937, 'love': 0.00017845825641416013}",not-hate,0.9843279123306274,"{'not-hate': 0.9843279123306274, 'hate': 0.015672046691179276}",non-offensive,0.7941970825195312,"{'non-offensive': 0.7941970825195312, 'offensive': 0.20580288767814636}",7.0,Abortion/rights/guns,0.37460655,@catturd2 Hmm. #democrats at their finest.,hmm finest,"[('hmm', [7]), ('finest', [3])]","[('hmm', ['Abortion/rights/guns']), ('finest', ['News/radio/livestream'])]"
