username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
POTUS,2023-08-29 04:35:00+00:00,7,Abortion/rights/guns,0.6607736,negative,0.840994656085968,"{'negative': 0.840994656085968, 'neutral': 0.14544178545475006, 'positive': 0.013563480228185654}",anger,0.7293999791145325,"{'anger': 0.7293999791145325, 'disgust': 0.24963830411434174, 'sadness': 0.010695351287722588, 'pessimism': 0.003938419744372368, 'fear': 0.0026051742024719715, 'optimism': 0.0015944493934512138, 'anticipation': 0.0011328232940286398, 'trust': 0.0003410014614928514, 'surprise': 0.00028983145602978766, 'joy': 0.00023760194017086178, 'love': 0.00012704459368251264}",2.0,War,0.16525178,"Now is the time for all Americans to speak up when history is being erased, books are being banned, and diversity is being attacked.",time american speak history erased book banned diversity attacked,"[('american', [7, 2]), ('time', [7, 2]), ('history', [7, 2]), ('book', [7, 2]), ('speak', [7, 2]), ('banned', [7]), ('diversity', [7]), ('attacked', [2]), ('erased', [3])]","[('american', ['Abortion/rights/guns', 'War']), ('time', ['Abortion/rights/guns', 'War']), ('history', ['Abortion/rights/guns', 'War']), ('book', ['Abortion/rights/guns', 'War']), ('speak', ['Abortion/rights/guns', 'War']), ('banned', ['Abortion/rights/guns']), ('diversity', ['Abortion/rights/guns']), ('attacked', ['War']), ('erased', ['News/radio/livestream'])]"
POTUS,2023-08-29 04:05:00+00:00,7,Abortion/rights/guns,0.4924561,neutral,0.4708086252212524,"{'neutral': 0.47080862522125244, 'negative': 0.3880956768989563, 'positive': 0.14109569787979126}",anger,0.7455466389656067,"{'anger': 0.7455466389656067, 'disgust': 0.1423257738351822, 'optimism': 0.06864779442548752, 'pessimism': 0.011921165511012077, 'sadness': 0.011612274684011936, 'anticipation': 0.00754561135545373, 'trust': 0.004968447610735893, 'fear': 0.0048829736188054085, 'joy': 0.0012675439938902855, 'surprise': 0.0006691477028653026, 'love': 0.0006126253865659237}",2.0,War,0.31643993,"America is the most multiracial, dynamic nation in the history of the world. All of us need to say as clearly and forcefully as we can: Hate will not prevail. Silence is complicity, and we will not remain silent. Denialism is worse, and we will call it out.",america multiracial dynamic nation history world need clearly forcefully hate prevail silence complicity remain silent denialism worse,"[('world', [2, 5]), ('hate', [2, 7]), ('america', [2, 7]), ('clearly', [2]), ('need', [7, 2]), ('history', [7, 5]), ('worse', [2, 5]), ('nation', [7, 5]), ('remain', [7, 5]), ('silence', [7, 2]), ('silent', [2]), ('forcefully', [7, 5]), ('dynamic', [5]), ('prevail', [7, 2]), ('complicity', [7]), ('denialism', [7]), ('multiracial', [7])]","[('world', ['War', 'Border/community/family']), ('hate', ['War', 'Abortion/rights/guns']), ('america', ['War', 'Abortion/rights/guns']), ('clearly', ['War']), ('need', ['Abortion/rights/guns', 'War']), ('history', ['Abortion/rights/guns', 'Border/community/family']), ('worse', ['War', 'Border/community/family']), ('nation', ['Abortion/rights/guns', 'Border/community/family']), ('remain', ['Abortion/rights/guns', 'Border/community/family']), ('silence', ['Abortion/rights/guns', 'War']), ('silent', ['War']), ('forcefully', ['Abortion/rights/guns', 'Border/community/family']), ('dynamic', ['Border/community/family']), ('prevail', ['Abortion/rights/guns', 'War']), ('complicity', ['Abortion/rights/guns']), ('denialism', ['Abortion/rights/guns']), ('multiracial', ['Abortion/rights/guns'])]"
POTUS,2023-10-18 02:45:21+00:00,7,Abortion/rights/guns,0.34081164,positive,0.5657903552055359,"{'positive': 0.5657903552055359, 'neutral': 0.36427101492881775, 'negative': 0.06993865966796875}",anger,0.4452743828296661,"{'anger': 0.44527438282966614, 'optimism': 0.22560933232307434, 'fear': 0.1424586921930313, 'disgust': 0.11242800205945969, 'trust': 0.02195834554731846, 'pessimism': 0.0183288361877203, 'sadness': 0.015888970345258713, 'anticipation': 0.011596997268497944, 'love': 0.0027688746340572834, 'joy': 0.0019660734105855227, 'surprise': 0.0017215416301041842}",1.0,American/economics/health,0.33615062,"Folks, there are core values that should bring us together as Americans. And one of them is standing together against hate, racism, bigotry, and violence that have long haunted and plagued our nation. https://t.co/KpqZ6cvNdp",folk core value bring american standing hate racism bigotry violence long haunted plagued nation,"[('american', [1, 7]), ('hate', [2, 7]), ('core', [7, 1]), ('long', [1, 7]), ('violence', [1, 2]), ('bring', [1, 2]), ('standing', [7, 1]), ('racism', [2]), ('folk', [1, 2]), ('nation', [1, 7]), ('value', [7, 1]), ('bigotry', [2, 7]), ('plagued', [7]), ('haunted', [7])]","[('american', ['American/economics/health', 'Abortion/rights/guns']), ('hate', ['War', 'Abortion/rights/guns']), ('core', ['Abortion/rights/guns', 'American/economics/health']), ('long', ['American/economics/health', 'Abortion/rights/guns']), ('violence', ['American/economics/health', 'War']), ('bring', ['American/economics/health', 'War']), ('standing', ['Abortion/rights/guns', 'American/economics/health']), ('racism', ['War']), ('folk', ['American/economics/health', 'War']), ('nation', ['American/economics/health', 'Abortion/rights/guns']), ('value', ['Abortion/rights/guns', 'American/economics/health']), ('bigotry', ['War', 'Abortion/rights/guns']), ('plagued', ['Abortion/rights/guns']), ('haunted', ['Abortion/rights/guns'])]"
POTUS,2023-06-24 18:00:02+00:00,7,Abortion/rights/guns,0.9539022,neutral,0.4980001747608185,"{'neutral': 0.4980001747608185, 'positive': 0.4590027928352356, 'negative': 0.04299703240394592}",anger,0.5277389287948608,"{'anger': 0.5277389287948608, 'disgust': 0.29645171761512756, 'fear': 0.06403137743473053, 'optimism': 0.04815664142370224, 'sadness': 0.022445987910032272, 'pessimism': 0.02162334695458412, 'anticipation': 0.010245160199701786, 'trust': 0.005627504549920559, 'surprise': 0.001655649859458208, 'joy': 0.0010570527520030737, 'love': 0.0009666575933806598}",,,,"I commit to the American people that we’re going to keep fighting to safeguard access to health care, including the right to choose which was ripped away by an extreme Supreme Court decision. https://t.co/YAAoV7zkem",commit american people going fighting safeguard access health care including right choose ripped away extreme supreme court decision,"[('american', [7]), ('decision', [7]), ('people', [7]), ('away', [7]), ('going', [7]), ('right', [7]), ('care', [7]), ('health', [7]), ('including', [7]), ('fighting', [7]), ('court', [7]), ('access', [7]), ('extreme', [7]), ('choose', [7]), ('supreme', [7]), ('ripped', [7]), ('commit', [7]), ('safeguard', [7])]","[('american', ['Abortion/rights/guns']), ('decision', ['Abortion/rights/guns']), ('people', ['Abortion/rights/guns']), ('away', ['Abortion/rights/guns']), ('going', ['Abortion/rights/guns']), ('right', ['Abortion/rights/guns']), ('care', ['Abortion/rights/guns']), ('health', ['Abortion/rights/guns']), ('including', ['Abortion/rights/guns']), ('fighting', ['Abortion/rights/guns']), ('court', ['Abortion/rights/guns']), ('access', ['Abortion/rights/guns']), ('extreme', ['Abortion/rights/guns']), ('choose', ['Abortion/rights/guns']), ('supreme', ['Abortion/rights/guns']), ('ripped', ['Abortion/rights/guns']), ('commit', ['Abortion/rights/guns']), ('safeguard', ['Abortion/rights/guns'])]"
POTUS,2023-06-24 15:43:11+00:00,7,Abortion/rights/guns,0.65079343,negative,0.6472409963607788,"{'negative': 0.6472409963607788, 'neutral': 0.3312787413597107, 'positive': 0.021480290219187737}",anger,0.5186824798583984,"{'anger': 0.5186824798583984, 'disgust': 0.2796232998371124, 'optimism': 0.09744356572628021, 'anticipation': 0.03621720150113106, 'fear': 0.019236750900745392, 'pessimism': 0.01882454939186573, 'sadness': 0.012822616845369339, 'trust': 0.010552722960710526, 'surprise': 0.002824614057317376, 'joy': 0.0028107936959713697, 'love': 0.0009614376467652619}",1.0,American/economics/health,0.27627638,"One year ago, the Supreme Court took away a constitutional right from the American people, denying women the right to choose. My Administration has taken swift and strong action – but the job isn't finished until Congress codifies the protections of Roe v. Wade once and for all. https://t.co/NjoQrW6Kj3",year ago supreme court took away constitutional right american people denying woman right choose administration taken swift strong action job finished congress codifies protection roe  wade,"[('american', [1, 7]), ('year', [7, 1]), ('action', [7, 1]), ('job', [1, 7]), ('taken', [7, 1]), ('administration', [1, 7]), ('congress', [7, 1]), ('people', [7, 1]), ('away', [7, 1]), ('right', [7, 1]), ('ago', [7, 1]), ('woman', [7, 1]), ('took', [1, 7]), ('court', [7]), ('constitutional', [7]), ('protection', [7, 1]), ('choose', [7, 1]), ('supreme', [7]), ('strong', [7, 1]), ('denying', [7]), ('roe', [7]), ('wade', [7]), ('codifies', [2]), ('swift', [7]), ('finished', [1])]","[('american', ['American/economics/health', 'Abortion/rights/guns']), ('year', ['Abortion/rights/guns', 'American/economics/health']), ('action', ['Abortion/rights/guns', 'American/economics/health']), ('job', ['American/economics/health', 'Abortion/rights/guns']), ('taken', ['Abortion/rights/guns', 'American/economics/health']), ('administration', ['American/economics/health', 'Abortion/rights/guns']), ('congress', ['Abortion/rights/guns', 'American/economics/health']), ('people', ['Abortion/rights/guns', 'American/economics/health']), ('away', ['Abortion/rights/guns', 'American/economics/health']), ('right', ['Abortion/rights/guns', 'American/economics/health']), ('ago', ['Abortion/rights/guns', 'American/economics/health']), ('woman', ['Abortion/rights/guns', 'American/economics/health']), ('took', ['American/economics/health', 'Abortion/rights/guns']), ('court', ['Abortion/rights/guns']), ('constitutional', ['Abortion/rights/guns']), ('protection', ['Abortion/rights/guns', 'American/economics/health']), ('choose', ['Abortion/rights/guns', 'American/economics/health']), ('supreme', ['Abortion/rights/guns']), ('strong', ['Abortion/rights/guns', 'American/economics/health']), ('denying', ['Abortion/rights/guns']), ('roe', ['Abortion/rights/guns']), ('wade', ['Abortion/rights/guns']), ('codifies', ['War']), ('swift', ['Abortion/rights/guns']), ('finished', ['American/economics/health'])]"
POTUS,2023-08-09 04:33:32+00:00,7,Abortion/rights/guns,0.50821507,negative,0.7853700518608093,"{'negative': 0.7853700518608093, 'neutral': 0.2017780989408493, 'positive': 0.012851889245212078}",anger,0.6082919836044312,"{'anger': 0.6082919836044312, 'disgust': 0.18314969539642334, 'optimism': 0.13352717459201813, 'anticipation': 0.028116649016737938, 'joy': 0.012755168601870537, 'trust': 0.01208383310586214, 'fear': 0.008730902336537838, 'pessimism': 0.005169195123016834, 'sadness': 0.003763234242796898, 'surprise': 0.0027724329847842455, 'love': 0.001639670692384243}",6.0,Election/debate,0.32046226,"Today, Ohio voters rejected an effort by Republican lawmakers and special interests to change the state’s constitutional amendment process. This measure was a blatant attempt to weaken voters’ voices and further erode the freedom of women to make their own health care decisions. Ohioans spoke loud and clear, and tonight democracy won.",today ohio voter rejected effort republican lawmaker special interest change state constitutional amendment process measure blatant attempt weaken voter voice erode freedom woman tomake health care decision ohioan spoke loud clear tonight democracy won,"[('democracy', [7, 6]), ('freedom', [7, 6]), ('state', [7, 6]), ('today', [6, 7]), ('decision', [7, 6]), ('interest', [4, 6]), ('clear', [7, 6]), ('spoke', [7, 6]), ('republican', [6, 7]), ('process', [6, 7]), ('tonight', [6, 7]), ('care', [7, 4]), ('loud', [4, 6]), ('health', [7]), ('amendment', [7, 4]), ('won', [6, 7]), ('woman', [7, 6]), ('change', [6, 7]), ('attempt', [7, 4]), ('effort', [7, 6]), ('measure', [7, 4]), ('voice', [7, 6]), ('constitutional', [7, 6]), ('special', [6, 4]), ('lawmaker', [7, 6]), ('rejected', [7, 6]), ('voter', [6, 7]), ('ohio', [6, 7]), ('blatant', [4]), ('ohioan', [6]), ('weaken', [6]), ('erode', [3]), ('tomake', [7, 6])]","[('democracy', ['Abortion/rights/guns', 'Election/debate']), ('freedom', ['Abortion/rights/guns', 'Election/debate']), ('state', ['Abortion/rights/guns', 'Election/debate']), ('today', ['Election/debate', 'Abortion/rights/guns']), ('decision', ['Abortion/rights/guns', 'Election/debate']), ('interest', ['Republicans vs democrats', 'Election/debate']), ('clear', ['Abortion/rights/guns', 'Election/debate']), ('spoke', ['Abortion/rights/guns', 'Election/debate']), ('republican', ['Election/debate', 'Abortion/rights/guns']), ('process', ['Election/debate', 'Abortion/rights/guns']), ('tonight', ['Election/debate', 'Abortion/rights/guns']), ('care', ['Abortion/rights/guns', 'Republicans vs democrats']), ('loud', ['Republicans vs democrats', 'Election/debate']), ('health', ['Abortion/rights/guns']), ('amendment', ['Abortion/rights/guns', 'Republicans vs democrats']), ('won', ['Election/debate', 'Abortion/rights/guns']), ('woman', ['Abortion/rights/guns', 'Election/debate']), ('change', ['Election/debate', 'Abortion/rights/guns']), ('attempt', ['Abortion/rights/guns', 'Republicans vs democrats']), ('effort', ['Abortion/rights/guns', 'Election/debate']), ('measure', ['Abortion/rights/guns', 'Republicans vs democrats']), ('voice', ['Abortion/rights/guns', 'Election/debate']), ('constitutional', ['Abortion/rights/guns', 'Election/debate']), ('special', ['Election/debate', 'Republicans vs democrats']), ('lawmaker', ['Abortion/rights/guns', 'Election/debate']), ('rejected', ['Abortion/rights/guns', 'Election/debate']), ('voter', ['Election/debate', 'Abortion/rights/guns']), ('ohio', ['Election/debate', 'Abortion/rights/guns']), ('blatant', ['Republicans vs democrats']), ('ohioan', ['Election/debate']), ('weaken', ['Election/debate']), ('erode', ['News/radio/livestream']), ('tomake', ['Abortion/rights/guns', 'Election/debate'])]"
POTUS,2023-07-28 21:05:23+00:00,7,Abortion/rights/guns,0.29770637,neutral,0.5761067271232605,"{'neutral': 0.5761067271232605, 'positive': 0.35331255197525024, 'negative': 0.07058069854974747}",anger,0.504288911819458,"{'anger': 0.504288911819458, 'optimism': 0.2476039081811905, 'disgust': 0.10614731162786484, 'anticipation': 0.081879161298275, 'trust': 0.025896677747368813, 'joy': 0.012527854181826115, 'pessimism': 0.007550474256277084, 'fear': 0.004646515939384699, 'surprise': 0.003953604493290186, 'sadness': 0.0036653210408985615, 'love': 0.0018401721026748419}",1.0,American/economics/health,0.26923642,Enough. I urge the Senator from Alabama and his Republican colleagues in the Senate to approve all the outstanding military nominees now. End this blockade and let these Generals and Admirals fully serve our country. https://t.co/GWftunExcy,urge senator alabama republican colleague senate approve outstanding military nominee end blockade let general admiral fully serve country,"[('military', [7, 5]), ('let', [7, 1]), ('republican', [1, 7]), ('country', [5, 1]), ('senator', [7, 5]), ('end', [1, 7]), ('urge', [1, 7]), ('senate', [7, 1]), ('fully', [1, 7]), ('general', [4, 7]), ('nominee', [7, 4]), ('serve', [5, 7]), ('colleague', [7, 1]), ('alabama', [7]), ('blockade', [1]), ('approve', [4, 1]), ('outstanding', [5]), ('admiral', [5])]","[('military', ['Abortion/rights/guns', 'Border/community/family']), ('let', ['Abortion/rights/guns', 'American/economics/health']), ('republican', ['American/economics/health', 'Abortion/rights/guns']), ('country', ['Border/community/family', 'American/economics/health']), ('senator', ['Abortion/rights/guns', 'Border/community/family']), ('end', ['American/economics/health', 'Abortion/rights/guns']), ('urge', ['American/economics/health', 'Abortion/rights/guns']), ('senate', ['Abortion/rights/guns', 'American/economics/health']), ('fully', ['American/economics/health', 'Abortion/rights/guns']), ('general', ['Republicans vs democrats', 'Abortion/rights/guns']), ('nominee', ['Abortion/rights/guns', 'Republicans vs democrats']), ('serve', ['Border/community/family', 'Abortion/rights/guns']), ('colleague', ['Abortion/rights/guns', 'American/economics/health']), ('alabama', ['Abortion/rights/guns']), ('blockade', ['American/economics/health']), ('approve', ['Republicans vs democrats', 'American/economics/health']), ('outstanding', ['Border/community/family']), ('admiral', ['Border/community/family'])]"
POTUS,2023-09-24 03:17:53+00:00,7,Abortion/rights/guns,0.57245266,neutral,0.8280631899833679,"{'neutral': 0.8280631899833679, 'positive': 0.1685539036989212, 'negative': 0.0033829077146947384}",anticipation,0.516691267490387,"{'anticipation': 0.516691267490387, 'joy': 0.3628559708595276, 'optimism': 0.0679013654589653, 'surprise': 0.019651923328638077, 'trust': 0.019497863948345184, 'love': 0.004618565086275339, 'fear': 0.002248296979814768, 'disgust': 0.001742691732943058, 'pessimism': 0.001646745135076344, 'sadness': 0.0015761747490614653, 'anger': 0.0015690434956923127}",6.0,Election/debate,0.34409013,Join the Vice President and me as we deliver remarks at the 2023 Phoenix Awards Dinner. https://t.co/ufTbPemrQP,join vice president deliver remark phoenix award dinner,"[('president', [6, 7]), ('deliver', [7, 6]), ('vice', [7, 6]), ('join', [6, 7]), ('dinner', [6, 7]), ('award', [7]), ('remark', [7]), ('phoenix', [7])]","[('president', ['Election/debate', 'Abortion/rights/guns']), ('deliver', ['Abortion/rights/guns', 'Election/debate']), ('vice', ['Abortion/rights/guns', 'Election/debate']), ('join', ['Election/debate', 'Abortion/rights/guns']), ('dinner', ['Election/debate', 'Abortion/rights/guns']), ('award', ['Abortion/rights/guns']), ('remark', ['Abortion/rights/guns']), ('phoenix', ['Abortion/rights/guns'])]"
POTUS,2023-09-20 20:42:07+00:00,7,Abortion/rights/guns,0.55315876,neutral,0.8165925145149231,"{'neutral': 0.8165925145149231, 'positive': 0.17944209277629852, 'negative': 0.0039653838612139225}",anticipation,0.414183109998703,"{'anticipation': 0.414183109998703, 'optimism': 0.2930721938610077, 'joy': 0.20533455908298492, 'trust': 0.044164616614580154, 'surprise': 0.01259495597332716, 'anger': 0.008892308920621872, 'disgust': 0.0073431325145065784, 'pessimism': 0.004272707737982273, 'love': 0.003911116626113653, 'sadness': 0.0036352856550365686, 'fear': 0.0025960204657167196}",8.0,Infrastructure/job/energy,0.38411802,Tune in as President Luiz Inácio Lula da Silva of Brazil and I launch the Partnership for Workers’ Rights. https://t.co/bQhpPV6tUp,tune president luiz incio lula  silva brazil launch partnership worker right,"[('worker', [8]), ('president', [7, 8]), ('right', [7, 8]), ('launch', [8]), ('tune', [7]), ('partnership', [8]), ('brazil', [8]), ('lula', [7]), ('incio', [7]), ('luiz', [7]), ('silva', [7])]","[('worker', ['Infrastructure/job/energy']), ('president', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('right', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('launch', ['Infrastructure/job/energy']), ('tune', ['Abortion/rights/guns']), ('partnership', ['Infrastructure/job/energy']), ('brazil', ['Infrastructure/job/energy']), ('lula', ['Abortion/rights/guns']), ('incio', ['Abortion/rights/guns']), ('luiz', ['Abortion/rights/guns']), ('silva', ['Abortion/rights/guns'])]"
POTUS,2023-09-25 21:44:34+00:00,7,Abortion/rights/guns,0.641955,neutral,0.8502563834190369,"{'neutral': 0.8502563834190369, 'positive': 0.14524103701114655, 'negative': 0.004502621479332447}",anticipation,0.6830762028694153,"{'anticipation': 0.6830762028694153, 'optimism': 0.12212696671485901, 'joy': 0.10876870155334473, 'trust': 0.032412149012088776, 'surprise': 0.02445330284535885, 'anger': 0.007271592505276203, 'disgust': 0.006960976868867874, 'fear': 0.0051979864947497845, 'pessimism': 0.004117198288440704, 'sadness': 0.002831871621310711, 'love': 0.0027830887120217085}",6.0,Election/debate,0.28975645,Join the Vice President and me as we meet with my Board of Advisors on Historically Black Colleges and Universities. https://t.co/kh6QUr7ApN,join vice president meet board advisor historically black college university,"[('black', [7, 6]), ('president', [7, 6]), ('college', [7, 6]), ('vice', [7, 6]), ('board', [7, 6]), ('join', [6, 7]), ('meet', [6, 7]), ('advisor', [7]), ('university', [7]), ('historically', [7])]","[('black', ['Abortion/rights/guns', 'Election/debate']), ('president', ['Abortion/rights/guns', 'Election/debate']), ('college', ['Abortion/rights/guns', 'Election/debate']), ('vice', ['Abortion/rights/guns', 'Election/debate']), ('board', ['Abortion/rights/guns', 'Election/debate']), ('join', ['Election/debate', 'Abortion/rights/guns']), ('meet', ['Election/debate', 'Abortion/rights/guns']), ('advisor', ['Abortion/rights/guns']), ('university', ['Abortion/rights/guns']), ('historically', ['Abortion/rights/guns'])]"
