username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
POTUS,2023-07-08 15:30:00+00:00,1,American/economics/health,0.9601935,negative,0.7240684628486633,"{'negative': 0.7240684628486633, 'neutral': 0.24517834186553955, 'positive': 0.030753271654248238}",anger,0.7156291604042053,"{'anger': 0.7156291604042053, 'disgust': 0.2690788209438324, 'fear': 0.00459951302036643, 'sadness': 0.003636192064732313, 'optimism': 0.002311437390744686, 'pessimism': 0.0022162834648042917, 'anticipation': 0.0011793379671871662, 'trust': 0.0004777742433361709, 'joy': 0.0003584371879696846, 'surprise': 0.000306539615849033, 'love': 0.00020650893566198647}",,,,"We will keep standing up to Big Pharma. And we will stand up to Republicans in Congress who have been trying for years to get rid of the Affordable Care Act and deny tens of millions of Americans access to quality, affordable health care.",standing big pharma stand republican congress trying year rid affordable care act deny ten million american access quality affordable health care,"[('american', [1]), ('million', [1]), ('rid', [1]), ('year', [1]), ('congress', [1]), ('republican', [1]), ('trying', [1]), ('act', [1]), ('affordable', [1]), ('care', [1]), ('health', [1]), ('big', [1]), ('standing', [1]), ('access', [1]), ('stand', [1]), ('ten', [1]), ('deny', [1]), ('quality', [1]), ('pharma', [1])]","[('american', ['American/economics/health']), ('million', ['American/economics/health']), ('rid', ['American/economics/health']), ('year', ['American/economics/health']), ('congress', ['American/economics/health']), ('republican', ['American/economics/health']), ('trying', ['American/economics/health']), ('act', ['American/economics/health']), ('affordable', ['American/economics/health']), ('care', ['American/economics/health']), ('health', ['American/economics/health']), ('big', ['American/economics/health']), ('standing', ['American/economics/health']), ('access', ['American/economics/health']), ('stand', ['American/economics/health']), ('ten', ['American/economics/health']), ('deny', ['American/economics/health']), ('quality', ['American/economics/health']), ('pharma', ['American/economics/health'])]"
POTUS,2023-07-08 15:00:02+00:00,1,American/economics/health,0.5489712,negative,0.6983752846717834,"{'negative': 0.6983752846717834, 'neutral': 0.28554055094718933, 'positive': 0.01608419045805931}",anger,0.7544734477996826,"{'anger': 0.7544734477996826, 'disgust': 0.2384294867515564, 'anticipation': 0.0014915590872988105, 'sadness': 0.0013917464530095458, 'optimism': 0.001168055459856987, 'pessimism': 0.0010129869915544987, 'fear': 0.000846921291667968, 'surprise': 0.0003872233210131526, 'joy': 0.00035018729977309704, 'trust': 0.0003341394185554236, 'love': 0.00011421024828450754}",4.0,Republicans vs democrats,0.20579901,"Imagine you choose an ""in-network"" hospital to receive care but are charged for an “out-of-network” doctor that you did not choose – or even know was consulted. We're closing these surprise billing loopholes. Evading the law to charge patients outrageous prices must end. https://t.co/SoIfO3aZyR",imagine choose network hospital receive care charged network doctor choose know consulted closing surprise billing loophole evading law charge patient outrageous price end,"[('know', [1, 4]), ('hospital', [1, 8]), ('law', [1, 4]), ('imagine', [4, 8]), ('care', [1, 7]), ('end', [1, 7]), ('charge', [4, 1]), ('evading', [1, 4]), ('network', [4, 1]), ('closing', [1, 8]), ('loophole', [8]), ('receive', [1, 8]), ('charged', [4]), ('consulted', [7]), ('choose', [1, 7]), ('outrageous', [1, 7]), ('price', [1]), ('doctor', [1, 7]), ('patient', [1, 7]), ('billing', [1]), ('surprise', [1, 4])]","[('know', ['American/economics/health', 'Republicans vs democrats']), ('hospital', ['American/economics/health', 'Infrastructure/job/energy']), ('law', ['American/economics/health', 'Republicans vs democrats']), ('imagine', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('care', ['American/economics/health', 'Abortion/rights/guns']), ('end', ['American/economics/health', 'Abortion/rights/guns']), ('charge', ['Republicans vs democrats', 'American/economics/health']), ('evading', ['American/economics/health', 'Republicans vs democrats']), ('network', ['Republicans vs democrats', 'American/economics/health']), ('closing', ['American/economics/health', 'Infrastructure/job/energy']), ('loophole', ['Infrastructure/job/energy']), ('receive', ['American/economics/health', 'Infrastructure/job/energy']), ('charged', ['Republicans vs democrats']), ('consulted', ['Abortion/rights/guns']), ('choose', ['American/economics/health', 'Abortion/rights/guns']), ('outrageous', ['American/economics/health', 'Abortion/rights/guns']), ('price', ['American/economics/health']), ('doctor', ['American/economics/health', 'Abortion/rights/guns']), ('patient', ['American/economics/health', 'Abortion/rights/guns']), ('billing', ['American/economics/health']), ('surprise', ['American/economics/health', 'Republicans vs democrats'])]"
POTUS,2023-09-12 18:48:28+00:00,1,American/economics/health,0.89814734,negative,0.7384423017501831,"{'negative': 0.7384423017501831, 'neutral': 0.23775185644626617, 'positive': 0.023805812001228333}",anger,0.5446388125419617,"{'anger': 0.5446388125419617, 'disgust': 0.3615546226501465, 'sadness': 0.03352627903223038, 'optimism': 0.02319110371172428, 'pessimism': 0.017868516966700554, 'anticipation': 0.00879526138305664, 'fear': 0.004068600479513407, 'joy': 0.002442784607410431, 'trust': 0.0019974918104708195, 'surprise': 0.0013675115769729018, 'love': 0.000548909418284893}",5.0,Border/community/family,0.04756764,Today's reported rise in child poverty is the result of Congressional Republicans' choice to block our Child Tax Credit enhancements and advance tax cuts for wealthy and big corporations instead. I'll continue to fight to restore the expanded Child Tax Credit and get families the relief they deserve.,today  reported rise child poverty result congressional republican choice block child tax credit enhancement advance tax cut wealthy big corporation instead continue fight restore expanded child tax credit family relief deserve,"[('today', [1, 5]), ('instead', [1]), ('republican', [1]), ('fight', [1, 5]), ('family', [1, 5]), ('child', [1, 5]), ('big', [1]), ('reported', [1, 5]), ('continue', [1, 5]), ('tax', [1]), ('deserve', [1]), ('cut', [1]), ('choice', [1]), ('wealthy', [1]), ('advance', [1]), ('congressional', [1, 5]), ('credit', [1]), ('block', [1]), ('result', [1]), ('relief', [1]), ('rise', [1, 5]), ('restore', [1]), ('corporation', [1]), ('expanded', [5]), ('poverty', [1]), ('enhancement', [3])]","[('today', ['American/economics/health', 'Border/community/family']), ('instead', ['American/economics/health']), ('republican', ['American/economics/health']), ('fight', ['American/economics/health', 'Border/community/family']), ('family', ['American/economics/health', 'Border/community/family']), ('child', ['American/economics/health', 'Border/community/family']), ('big', ['American/economics/health']), ('reported', ['American/economics/health', 'Border/community/family']), ('continue', ['American/economics/health', 'Border/community/family']), ('tax', ['American/economics/health']), ('deserve', ['American/economics/health']), ('cut', ['American/economics/health']), ('choice', ['American/economics/health']), ('wealthy', ['American/economics/health']), ('advance', ['American/economics/health']), ('congressional', ['American/economics/health', 'Border/community/family']), ('credit', ['American/economics/health']), ('block', ['American/economics/health']), ('result', ['American/economics/health']), ('relief', ['American/economics/health']), ('rise', ['American/economics/health', 'Border/community/family']), ('restore', ['American/economics/health']), ('corporation', ['American/economics/health']), ('expanded', ['Border/community/family']), ('poverty', ['American/economics/health']), ('enhancement', ['News/radio/livestream'])]"
POTUS,2023-09-16 18:00:00+00:00,1,American/economics/health,0.8862998,negative,0.8344131112098694,"{'negative': 0.8344131112098694, 'neutral': 0.14594948291778564, 'positive': 0.01963740400969982}",anger,0.2915145754814148,"{'anger': 0.2915145754814148, 'disgust': 0.24623343348503113, 'optimism': 0.20854714512825012, 'sadness': 0.09816095978021622, 'pessimism': 0.07110490649938583, 'fear': 0.04006103426218033, 'anticipation': 0.02804461680352688, 'trust': 0.009644034318625927, 'joy': 0.0031093049328774214, 'surprise': 0.0024408320896327496, 'love': 0.0011391974985599518}",5.0,Border/community/family,0.07419068,"Republicans in Congress didn't support continuing the extended Child Tax Credit. As a result, about 3 million more kids are now living in poverty. I’m fighting to restore it once again and lift these kids out of poverty.",republican congress support continuing extended child tax credit result million kid living poverty fighting restore lift kid poverty,"[('million', [1, 5]), ('support', [1, 5]), ('congress', [1]), ('republican', [1]), ('child', [1, 5]), ('kid', [1, 5]), ('tax', [1]), ('fighting', [1, 5]), ('living', [1, 5]), ('credit', [1]), ('result', [1]), ('continuing', [1, 5]), ('restore', [1, 5]), ('poverty', [1]), ('lift', [1, 5]), ('extended', [5])]","[('million', ['American/economics/health', 'Border/community/family']), ('support', ['American/economics/health', 'Border/community/family']), ('congress', ['American/economics/health']), ('republican', ['American/economics/health']), ('child', ['American/economics/health', 'Border/community/family']), ('kid', ['American/economics/health', 'Border/community/family']), ('tax', ['American/economics/health']), ('fighting', ['American/economics/health', 'Border/community/family']), ('living', ['American/economics/health', 'Border/community/family']), ('credit', ['American/economics/health']), ('result', ['American/economics/health']), ('continuing', ['American/economics/health', 'Border/community/family']), ('restore', ['American/economics/health', 'Border/community/family']), ('poverty', ['American/economics/health']), ('lift', ['American/economics/health', 'Border/community/family']), ('extended', ['Border/community/family'])]"
POTUS,2023-09-16 20:00:08+00:00,1,American/economics/health,0.9050837,negative,0.889349639415741,"{'negative': 0.889349639415741, 'neutral': 0.09891387820243835, 'positive': 0.011736482381820679}",anger,0.5235506296157837,"{'anger': 0.5235506296157837, 'disgust': 0.46289315819740295, 'sadness': 0.006956168916076422, 'fear': 0.003797770943492651, 'pessimism': 0.0014442997053265572, 'anticipation': 0.0004862692439928651, 'surprise': 0.00043126082164235413, 'optimism': 0.00015218900807667524, 'joy': 0.0001419105683453381, 'trust': 8.105013694148511e-05, 'love': 6.528169615194201e-05}",8.0,Infrastructure/job/energy,0.060799778,"MAGAnomics is more extreme than anything America has seen before. It's trickle-down, a plan that never worked, made worse: - Cut taxes for the wealthy and big corporations - Cut Social Security, Medicare, Medicaid - Raise costs for families https://t.co/DUW0QX6WQQ",maganomics extreme america seen trickle plan worked worse cut tax wealthy big corporation cut social security medicare medicaid raise cost family,"[('security', [1, 8]), ('seen', [1, 8]), ('social', [1]), ('america', [1, 8]), ('worked', [1, 8]), ('family', [1, 8]), ('big', [1, 8]), ('worse', [1]), ('plan', [1, 8]), ('cost', [1]), ('tax', [1]), ('cut', [1]), ('raise', [1, 8]), ('wealthy', [1]), ('extreme', [1]), ('corporation', [1]), ('medicare', [1]), ('maganomics', [8]), ('trickle', [1]), ('medicaid', [1])]","[('security', ['American/economics/health', 'Infrastructure/job/energy']), ('seen', ['American/economics/health', 'Infrastructure/job/energy']), ('social', ['American/economics/health']), ('america', ['American/economics/health', 'Infrastructure/job/energy']), ('worked', ['American/economics/health', 'Infrastructure/job/energy']), ('family', ['American/economics/health', 'Infrastructure/job/energy']), ('big', ['American/economics/health', 'Infrastructure/job/energy']), ('worse', ['American/economics/health']), ('plan', ['American/economics/health', 'Infrastructure/job/energy']), ('cost', ['American/economics/health']), ('tax', ['American/economics/health']), ('cut', ['American/economics/health']), ('raise', ['American/economics/health', 'Infrastructure/job/energy']), ('wealthy', ['American/economics/health']), ('extreme', ['American/economics/health']), ('corporation', ['American/economics/health']), ('medicare', ['American/economics/health']), ('maganomics', ['Infrastructure/job/energy']), ('trickle', ['American/economics/health']), ('medicaid', ['American/economics/health'])]"
POTUS,2023-09-24 02:39:43+00:00,1,American/economics/health,0.8750868,negative,0.7783189415931702,"{'negative': 0.7783189415931702, 'neutral': 0.2026299685239792, 'positive': 0.01905112899839878}",anger,0.6692295670509338,"{'anger': 0.6692295670509338, 'disgust': 0.22632035613059998, 'optimism': 0.044487059116363525, 'anticipation': 0.033566080033779144, 'trust': 0.006776595022529364, 'pessimism': 0.005751649849116802, 'joy': 0.0036282220389693975, 'fear': 0.003540435340255499, 'sadness': 0.003462522989138961, 'surprise': 0.0025606879498809576, 'love': 0.0006767607992514968}",3.0,News/radio/livestream,0.074862875,"Concert tickets are hard enough to get, you shouldn’t have to pay surprise service fees on top of that. My Administration is working to crack down on those junk fees, so you know what you are paying for up front.",concert ticket hard pay surprise service fee administration working crack junk fee know paying,"[('know', [1]), ('administration', [1]), ('service', [1]), ('working', [1]), ('hard', [1]), ('pay', [1]), ('paying', [1]), ('ticket', [1]), ('crack', [1]), ('fee', [1]), ('concert', [3]), ('junk', [1]), ('surprise', [1])]","[('know', ['American/economics/health']), ('administration', ['American/economics/health']), ('service', ['American/economics/health']), ('working', ['American/economics/health']), ('hard', ['American/economics/health']), ('pay', ['American/economics/health']), ('paying', ['American/economics/health']), ('ticket', ['American/economics/health']), ('crack', ['American/economics/health']), ('fee', ['American/economics/health']), ('concert', ['News/radio/livestream']), ('junk', ['American/economics/health']), ('surprise', ['American/economics/health'])]"
POTUS,2023-09-09 00:05:00+00:00,1,American/economics/health,0.6263288,negative,0.606968104839325,"{'negative': 0.606968104839325, 'neutral': 0.34193500876426697, 'positive': 0.051096901297569275}",anger,0.5187039971351624,"{'anger': 0.5187039971351624, 'disgust': 0.442371129989624, 'sadness': 0.019577018916606903, 'pessimism': 0.009111329913139343, 'anticipation': 0.0044649881310760975, 'optimism': 0.0021625603549182415, 'fear': 0.0013613497139886022, 'surprise': 0.0009806584566831589, 'joy': 0.0006807979079894722, 'trust': 0.0004567941650748253, 'love': 0.0001293281529797241}",8.0,Infrastructure/job/energy,0.33789805,"Decades of handing out tax cuts to the rich and corporations without making investments in America or the American people didn’t work. I know a better way: Bidenomics, the blue-collar blueprint for America.",decade handing tax cut rich corporation making investment america american people work know better way bidenomics blue collar blueprint america,"[('decade', [1, 8]), ('american', [1, 8]), ('know', [1, 8]), ('way', [1, 8]), ('people', [1, 8]), ('america', [1, 8]), ('making', [1, 8]), ('work', [1, 8]), ('better', [1, 8]), ('tax', [1]), ('handing', [1]), ('cut', [1, 8]), ('rich', [1]), ('bidenomics', [1, 8]), ('blue', [8]), ('investment', [8, 1]), ('collar', [8]), ('corporation', [1, 8]), ('blueprint', [8])]","[('decade', ['American/economics/health', 'Infrastructure/job/energy']), ('american', ['American/economics/health', 'Infrastructure/job/energy']), ('know', ['American/economics/health', 'Infrastructure/job/energy']), ('way', ['American/economics/health', 'Infrastructure/job/energy']), ('people', ['American/economics/health', 'Infrastructure/job/energy']), ('america', ['American/economics/health', 'Infrastructure/job/energy']), ('making', ['American/economics/health', 'Infrastructure/job/energy']), ('work', ['American/economics/health', 'Infrastructure/job/energy']), ('better', ['American/economics/health', 'Infrastructure/job/energy']), ('tax', ['American/economics/health']), ('handing', ['American/economics/health']), ('cut', ['American/economics/health', 'Infrastructure/job/energy']), ('rich', ['American/economics/health']), ('bidenomics', ['American/economics/health', 'Infrastructure/job/energy']), ('blue', ['Infrastructure/job/energy']), ('investment', ['Infrastructure/job/energy', 'American/economics/health']), ('collar', ['Infrastructure/job/energy']), ('corporation', ['American/economics/health', 'Infrastructure/job/energy']), ('blueprint', ['Infrastructure/job/energy'])]"
POTUS,2023-09-28 16:00:01+00:00,1,American/economics/health,0.95389646,negative,0.7226546406745911,"{'negative': 0.7226546406745911, 'neutral': 0.25492244958877563, 'positive': 0.022422967478632927}",anger,0.6462119221687317,"{'anger': 0.6462119221687317, 'disgust': 0.2841464579105377, 'anticipation': 0.02305891364812851, 'optimism': 0.017753101885318756, 'joy': 0.010291333310306072, 'pessimism': 0.004647195339202881, 'sadness': 0.004638629965484142, 'fear': 0.0030904270242899656, 'surprise': 0.003035846399143338, 'trust': 0.002504783682525158, 'love': 0.0006214395980350673}",,,,"This May, Speaker McCarthy and I reached a deal that would fund essential priorities and cut the deficit over $1 trillion. Now, there's a group of extreme House Republicans who would rather shut down the government than live up to that deal.",speaker mccarthy reached deal fund essential priority cut deficit trillion group extreme house republican shut government live deal,"[('group', [1]), ('fund', [1]), ('house', [1]), ('republican', [1]), ('speaker', [1]), ('government', [1]), ('shut', [1]), ('cut', [1]), ('mccarthy', [1]), ('deal', [1]), ('live', [1]), ('priority', [1]), ('extreme', [1]), ('trillion', [1]), ('reached', [1]), ('essential', [1]), ('deficit', [1])]","[('group', ['American/economics/health']), ('fund', ['American/economics/health']), ('house', ['American/economics/health']), ('republican', ['American/economics/health']), ('speaker', ['American/economics/health']), ('government', ['American/economics/health']), ('shut', ['American/economics/health']), ('cut', ['American/economics/health']), ('mccarthy', ['American/economics/health']), ('deal', ['American/economics/health']), ('live', ['American/economics/health']), ('priority', ['American/economics/health']), ('extreme', ['American/economics/health']), ('trillion', ['American/economics/health']), ('reached', ['American/economics/health']), ('essential', ['American/economics/health']), ('deficit', ['American/economics/health'])]"
POTUS,2023-09-25 14:00:00+00:00,1,American/economics/health,0.7874126,neutral,0.5561943054199219,"{'neutral': 0.5561943054199219, 'negative': 0.33840513229370117, 'positive': 0.10540054738521576}",anger,0.4296014606952667,"{'anger': 0.4296014606952667, 'optimism': 0.23536962270736694, 'disgust': 0.17054511606693268, 'anticipation': 0.08598952740430832, 'joy': 0.03389662131667137, 'trust': 0.017153114080429077, 'pessimism': 0.010357948020100594, 'sadness': 0.0070098754949867725, 'surprise': 0.0059720720164477825, 'fear': 0.002143798628821969, 'love': 0.001960901077836752}",5.0,Border/community/family,0.1308348,Let me break down the key difference between Bidenomics and MAGAnomics. House Republicans think massive corporations and the wealthiest Americans need a tax break. I think it's time working people saw some relief. And the wealthiest started paying their fair share.,let break key difference bidenomics maganomics house republican think massive corporation wealthiest american need tax break think time working people saw relief wealthiest started paying fair share,"[('american', [1, 5]), ('let', [1, 5]), ('people', [1, 5]), ('house', [1, 5]), ('saw', [1, 5]), ('time', [1, 5]), ('massive', [1, 5]), ('started', [1, 5]), ('republican', [1]), ('need', [1, 5]), ('think', [1, 5]), ('break', [1, 5]), ('working', [1, 8]), ('difference', [1, 5]), ('tax', [1]), ('paying', [1, 8]), ('fair', [1, 8]), ('share', [1, 5]), ('bidenomics', [1, 8]), ('relief', [1]), ('key', [1, 5]), ('corporation', [1]), ('wealthiest', [5]), ('maganomics', [8])]","[('american', ['American/economics/health', 'Border/community/family']), ('let', ['American/economics/health', 'Border/community/family']), ('people', ['American/economics/health', 'Border/community/family']), ('house', ['American/economics/health', 'Border/community/family']), ('saw', ['American/economics/health', 'Border/community/family']), ('time', ['American/economics/health', 'Border/community/family']), ('massive', ['American/economics/health', 'Border/community/family']), ('started', ['American/economics/health', 'Border/community/family']), ('republican', ['American/economics/health']), ('need', ['American/economics/health', 'Border/community/family']), ('think', ['American/economics/health', 'Border/community/family']), ('break', ['American/economics/health', 'Border/community/family']), ('working', ['American/economics/health', 'Infrastructure/job/energy']), ('difference', ['American/economics/health', 'Border/community/family']), ('tax', ['American/economics/health']), ('paying', ['American/economics/health', 'Infrastructure/job/energy']), ('fair', ['American/economics/health', 'Infrastructure/job/energy']), ('share', ['American/economics/health', 'Border/community/family']), ('bidenomics', ['American/economics/health', 'Infrastructure/job/energy']), ('relief', ['American/economics/health']), ('key', ['American/economics/health', 'Border/community/family']), ('corporation', ['American/economics/health']), ('wealthiest', ['Border/community/family']), ('maganomics', ['Infrastructure/job/energy'])]"
POTUS,2023-09-26 03:41:40+00:00,1,American/economics/health,0.9326344,neutral,0.6786104440689087,"{'neutral': 0.6786104440689087, 'positive': 0.23757722973823547, 'negative': 0.08381227403879166}",anger,0.4562657475471496,"{'anger': 0.45626574754714966, 'optimism': 0.19182805716991425, 'disgust': 0.14717036485671997, 'anticipation': 0.13569724559783936, 'trust': 0.022844893857836723, 'joy': 0.014621591195464134, 'pessimism': 0.01366554293781519, 'sadness': 0.0063394419848918915, 'surprise': 0.0062406943179667, 'fear': 0.003664284246042371, 'love': 0.0016621229005977511}",,,,Funding the government is one of the most basic responsibilities of Congress. It’s time for extreme House Republicans to do the job America elected them to do. https://t.co/EAwNpJzeuJ,funding government basic responsibility congress time extreme house republican job america elected,"[('job', [1]), ('congress', [1]), ('america', [1]), ('funding', [1]), ('house', [1]), ('time', [1]), ('republican', [1]), ('government', [1]), ('responsibility', [1]), ('elected', [1]), ('extreme', [1]), ('basic', [1])]","[('job', ['American/economics/health']), ('congress', ['American/economics/health']), ('america', ['American/economics/health']), ('funding', ['American/economics/health']), ('house', ['American/economics/health']), ('time', ['American/economics/health']), ('republican', ['American/economics/health']), ('government', ['American/economics/health']), ('responsibility', ['American/economics/health']), ('elected', ['American/economics/health']), ('extreme', ['American/economics/health']), ('basic', ['American/economics/health'])]"
