username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,emotion,emotion_prob,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
POTUS,2023-09-22 17:44:44+00:00,5,Border/community/family,0.7419393,neutral,0.7925698757171631,anger,0.6600821614265442,7.0,Abortion/rights/guns,0.21387756,"At a time when there are those who want to ban books and erase parts of history, we’re making clear during Hispanic Heritage Month that Hispanic heritage is American heritage. https://t.co/Tj2yAKNWdk",time want ban book erase part history making clear hispanic heritage month hispanic heritage american heritage,"[('ban', [7]), ('american', [5, 7]), ('clear', [7, 5]), ('making', [5, 7]), ('month', [5, 7]), ('time', [5, 7]), ('part', [5]), ('history', [5, 7]), ('want', [5, 7]), ('book', [5, 7]), ('heritage', [5]), ('hispanic', [5]), ('erase', [5, 7])]","[('ban', ['Abortion/rights/guns']), ('american', ['Border/community/family', 'Abortion/rights/guns']), ('clear', ['Abortion/rights/guns', 'Border/community/family']), ('making', ['Border/community/family', 'Abortion/rights/guns']), ('month', ['Border/community/family', 'Abortion/rights/guns']), ('time', ['Border/community/family', 'Abortion/rights/guns']), ('part', ['Border/community/family']), ('history', ['Border/community/family', 'Abortion/rights/guns']), ('want', ['Border/community/family', 'Abortion/rights/guns']), ('book', ['Border/community/family', 'Abortion/rights/guns']), ('heritage', ['Border/community/family']), ('hispanic', ['Border/community/family']), ('erase', ['Border/community/family', 'Abortion/rights/guns'])]"
POTUS,2023-09-21 16:15:57+00:00,5,Border/community/family,0.54277265,neutral,0.502048909664154,anger,0.393575370311737,7.0,Abortion/rights/guns,0.15760873,"For the second year, the UN General Assembly was darkened by the shadow of an illegal war brought without provocation by Russia against its neighbor Ukraine. The United States strongly supports Ukraine as it defends its territory and tries to bring about a diplomatic resolution that delivers just and lasting peace.",second year  general assembly darkened shadow illegal war brought provocation russia neighbor ukraine united state strongly support ukraine defends territory try bring diplomatic resolution delivers lasting peace,"[('russia', [5, 2]), ('state', [5, 7]), ('united', [5, 2]), ('war', [5, 2]), ('support', [5, 2]), ('year', [5, 7]), ('second', [5, 7]), ('strongly', [4, 7]), ('ukraine', [5, 2]), ('peace', [5, 2]), ('try', [4, 7]), ('illegal', [5, 4]), ('bring', [5, 2]), ('assembly', [2]), ('general', [4, 5]), ('delivers', [7]), ('brought', [5, 4]), ('diplomatic', [5]), ('resolution', [7, 5]), ('neighbor', [5]), ('defends', [7, 4]), ('territory', [5, 7]), ('shadow', [4, 7]), ('lasting', [5, 7]), ('provocation', [3]), ('darkened', [5])]","[('russia', ['Border/community/family', 'War']), ('state', ['Border/community/family', 'Abortion/rights/guns']), ('united', ['Border/community/family', 'War']), ('war', ['Border/community/family', 'War']), ('support', ['Border/community/family', 'War']), ('year', ['Border/community/family', 'Abortion/rights/guns']), ('second', ['Border/community/family', 'Abortion/rights/guns']), ('strongly', ['Republicans vs democrats', 'Abortion/rights/guns']), ('ukraine', ['Border/community/family', 'War']), ('peace', ['Border/community/family', 'War']), ('try', ['Republicans vs democrats', 'Abortion/rights/guns']), ('illegal', ['Border/community/family', 'Republicans vs democrats']), ('bring', ['Border/community/family', 'War']), ('assembly', ['War']), ('general', ['Republicans vs democrats', 'Border/community/family']), ('delivers', ['Abortion/rights/guns']), ('brought', ['Border/community/family', 'Republicans vs democrats']), ('diplomatic', ['Border/community/family']), ('resolution', ['Abortion/rights/guns', 'Border/community/family']), ('neighbor', ['Border/community/family']), ('defends', ['Abortion/rights/guns', 'Republicans vs democrats']), ('territory', ['Border/community/family', 'Abortion/rights/guns']), ('shadow', ['Republicans vs democrats', 'Abortion/rights/guns']), ('lasting', ['Border/community/family', 'Abortion/rights/guns']), ('provocation', ['News/radio/livestream']), ('darkened', ['Border/community/family'])]"
POTUS,2023-09-19 21:55:00+00:00,5,Border/community/family,0.6587386,negative,0.7283536791801453,anger,0.5336968302726746,2.0,War,0.19966657,"Russia believes the world will grow weary and allow it to brutalize Ukraine. But, if we abandon the UN Charter's principles to appease Russia, can any nation feel confident that they're protected? No. We must stand up to aggression today to deter would-be aggressors tomorrow.",russia belief world grow weary allow brutalize ukraine abandon  charter  principle appease russia nation feel confident protected stand aggression today deter aggressor tomorrow,"[('russia', [2, 5]), ('today', [5, 4]), ('world', [5, 2]), ('ukraine', [5, 2]), ('feel', [5, 2]), ('belief', [5, 2]), ('allow', [5, 2]), ('stand', [5, 2]), ('abandon', [2, 5]), ('nation', [5, 2]), ('aggression', [5, 2]), ('aggressor', [3]), ('tomorrow', [5, 4]), ('principle', [5, 4]), ('confident', [5, 4]), ('protected', [5, 4]), ('grow', [2, 5]), ('deter', [5]), ('appease', [4]), ('charter', [5]), ('brutalize', [5]), ('weary', [5])]","[('russia', ['War', 'Border/community/family']), ('today', ['Border/community/family', 'Republicans vs democrats']), ('world', ['Border/community/family', 'War']), ('ukraine', ['Border/community/family', 'War']), ('feel', ['Border/community/family', 'War']), ('belief', ['Border/community/family', 'War']), ('allow', ['Border/community/family', 'War']), ('stand', ['Border/community/family', 'War']), ('abandon', ['War', 'Border/community/family']), ('nation', ['Border/community/family', 'War']), ('aggression', ['Border/community/family', 'War']), ('aggressor', ['News/radio/livestream']), ('tomorrow', ['Border/community/family', 'Republicans vs democrats']), ('principle', ['Border/community/family', 'Republicans vs democrats']), ('confident', ['Border/community/family', 'Republicans vs democrats']), ('protected', ['Border/community/family', 'Republicans vs democrats']), ('grow', ['War', 'Border/community/family']), ('deter', ['Border/community/family']), ('appease', ['Republicans vs democrats']), ('charter', ['Border/community/family']), ('brutalize', ['Border/community/family']), ('weary', ['Border/community/family'])]"
POTUS,2023-07-11 22:05:02+00:00,5,Border/community/family,0.47866884,negative,0.5519806742668152,anger,0.2570581138134002,7.0,Abortion/rights/guns,0.22511624,"At this critical moment, there’s no one better equipped to lead a united NATO than Secretary General Stoltenberg. Putin thinks the way he succeeds is to break NATO – it’s not going to happen. https://t.co/fJuC5BcFEq",critical moment better equipped lead united nato secretary general stoltenberg putin think way succeeds break nato going happen,"[('putin', [2, 5]), ('united', [5, 2]), ('way', [5, 2]), ('lead', [5, 7]), ('happen', [2, 5]), ('critical', [5, 7]), ('going', [2, 5]), ('think', [2, 5]), ('break', [5]), ('better', [5, 2]), ('secretary', [5, 7]), ('general', [5, 2]), ('moment', [5, 2]), ('nato', [5, 2]), ('equipped', [7]), ('succeeds', [3]), ('stoltenberg', [7])]","[('putin', ['War', 'Border/community/family']), ('united', ['Border/community/family', 'War']), ('way', ['Border/community/family', 'War']), ('lead', ['Border/community/family', 'Abortion/rights/guns']), ('happen', ['War', 'Border/community/family']), ('critical', ['Border/community/family', 'Abortion/rights/guns']), ('going', ['War', 'Border/community/family']), ('think', ['War', 'Border/community/family']), ('break', ['Border/community/family']), ('better', ['Border/community/family', 'War']), ('secretary', ['Border/community/family', 'Abortion/rights/guns']), ('general', ['Border/community/family', 'War']), ('moment', ['Border/community/family', 'War']), ('nato', ['Border/community/family', 'War']), ('equipped', ['Abortion/rights/guns']), ('succeeds', ['News/radio/livestream']), ('stoltenberg', ['Abortion/rights/guns'])]"
POTUS,2023-08-26 14:00:01+00:00,5,Border/community/family,0.5422529,positive,0.7446332573890686,anger,0.5248686075210571,7.0,Abortion/rights/guns,0.41820252,I have long supported the ERA since I first ran for public office – and it is long past time that we heed the will of the American people and make this Amendment the law of the land. No one should be discriminated against based on their sex.,long supported era ran public office long past time heed american people amendment law land discriminated based sex,"[('american', [5, 7]), ('office', [5, 7]), ('long', [5, 7]), ('past', [5, 7]), ('people', [5, 7]), ('law', [7, 5]), ('time', [5, 7]), ('ran', [5]), ('amendment', [7]), ('land', [7, 5]), ('public', [5, 7]), ('supported', [7, 5]), ('based', [7, 5]), ('sex', [5]), ('era', [7, 5]), ('heed', [7]), ('discriminated', [5])]","[('american', ['Border/community/family', 'Abortion/rights/guns']), ('office', ['Border/community/family', 'Abortion/rights/guns']), ('long', ['Border/community/family', 'Abortion/rights/guns']), ('past', ['Border/community/family', 'Abortion/rights/guns']), ('people', ['Border/community/family', 'Abortion/rights/guns']), ('law', ['Abortion/rights/guns', 'Border/community/family']), ('time', ['Border/community/family', 'Abortion/rights/guns']), ('ran', ['Border/community/family']), ('amendment', ['Abortion/rights/guns']), ('land', ['Abortion/rights/guns', 'Border/community/family']), ('public', ['Border/community/family', 'Abortion/rights/guns']), ('supported', ['Abortion/rights/guns', 'Border/community/family']), ('based', ['Abortion/rights/guns', 'Border/community/family']), ('sex', ['Border/community/family']), ('era', ['Abortion/rights/guns', 'Border/community/family']), ('heed', ['Abortion/rights/guns']), ('discriminated', ['Border/community/family'])]"
POTUS,2023-06-22 19:41:53+00:00,5,Border/community/family,0.61382425,neutral,0.7818834185600281,anticipation,0.6032074093818665,4.0,Republicans vs democrats,0.3110282,Tune in as I hold a joint press conference with Prime Minister Modi of India. https://t.co/Ug2FcCfTZP,tune hold joint press conference prime minister modi india,"[('conference', [5, 4]), ('press', [4, 5]), ('minister', [5, 4]), ('joint', [5, 4]), ('hold', [4, 5]), ('tune', [5, 4]), ('prime', [5]), ('india', [5]), ('modi', [4])]","[('conference', ['Border/community/family', 'Republicans vs democrats']), ('press', ['Republicans vs democrats', 'Border/community/family']), ('minister', ['Border/community/family', 'Republicans vs democrats']), ('joint', ['Border/community/family', 'Republicans vs democrats']), ('hold', ['Republicans vs democrats', 'Border/community/family']), ('tune', ['Border/community/family', 'Republicans vs democrats']), ('prime', ['Border/community/family']), ('india', ['Border/community/family']), ('modi', ['Republicans vs democrats'])]"
POTUS,2023-06-22 16:07:21+00:00,5,Border/community/family,0.7258524,neutral,0.8835392594337463,anticipation,0.5530790686607361,4.0,Republicans vs democrats,0.2163477,Tune in as Jill and I host Prime Minister Modi of India for an Official State Visit to the White House. https://t.co/A5pcHslvsl,tune jill host prime minister modi india official state visit white house,"[('state', [5, 4]), ('official', [5, 4]), ('house', [5, 4]), ('host', [5, 4]), ('white', [5, 4]), ('minister', [5, 4]), ('tune', [5, 4]), ('jill', [5, 4]), ('prime', [5]), ('visit', [5, 4]), ('india', [5]), ('modi', [4])]","[('state', ['Border/community/family', 'Republicans vs democrats']), ('official', ['Border/community/family', 'Republicans vs democrats']), ('house', ['Border/community/family', 'Republicans vs democrats']), ('host', ['Border/community/family', 'Republicans vs democrats']), ('white', ['Border/community/family', 'Republicans vs democrats']), ('minister', ['Border/community/family', 'Republicans vs democrats']), ('tune', ['Border/community/family', 'Republicans vs democrats']), ('jill', ['Border/community/family', 'Republicans vs democrats']), ('prime', ['Border/community/family']), ('visit', ['Border/community/family', 'Republicans vs democrats']), ('india', ['Border/community/family']), ('modi', ['Republicans vs democrats'])]"
POTUS,2023-06-13 23:14:33+00:00,5,Border/community/family,0.6700651,neutral,0.8281595706939697,anticipation,0.5723139643669128,7.0,Abortion/rights/guns,0.22256638,Tune in as I deliver remarks at the Chiefs of Mission Reception. https://t.co/9H9QXDx1ar,tune deliver remark chief mission reception,"[('chief', [5, 7]), ('deliver', [5, 7]), ('tune', [5, 7]), ('reception', [5]), ('remark', [7]), ('mission', [5, 7])]","[('chief', ['Border/community/family', 'Abortion/rights/guns']), ('deliver', ['Border/community/family', 'Abortion/rights/guns']), ('tune', ['Border/community/family', 'Abortion/rights/guns']), ('reception', ['Border/community/family']), ('remark', ['Abortion/rights/guns']), ('mission', ['Border/community/family', 'Abortion/rights/guns'])]"
POTUS,2023-08-18 21:14:28+00:00,5,Border/community/family,0.94844127,neutral,0.8744985461235046,anticipation,0.5776499509811401,,,,Tune in as I host a joint press conference with President Yoon Suk Yeol of the Republic of Korea and Prime Minister Kishida Fumio of Japan. https://t.co/yo8fKcpGNV,tune host joint press conference president yoon suk yeol republic korea prime minister kishida fumio japan,"[('president', [5]), ('host', [5]), ('conference', [5]), ('press', [5]), ('minister', [5]), ('republic', [5]), ('joint', [5]), ('tune', [5]), ('prime', [5]), ('japan', [5]), ('korea', [5]), ('kishida', [5]), ('yoon', [5]), ('fumio', [5]), ('suk', [5]), ('yeol', [5])]","[('president', ['Border/community/family']), ('host', ['Border/community/family']), ('conference', ['Border/community/family']), ('press', ['Border/community/family']), ('minister', ['Border/community/family']), ('republic', ['Border/community/family']), ('joint', ['Border/community/family']), ('tune', ['Border/community/family']), ('prime', ['Border/community/family']), ('japan', ['Border/community/family']), ('korea', ['Border/community/family']), ('kishida', ['Border/community/family']), ('yoon', ['Border/community/family']), ('fumio', ['Border/community/family']), ('suk', ['Border/community/family']), ('yeol', ['Border/community/family'])]"
POTUS,2023-08-14 16:57:25+00:00,5,Border/community/family,0.46106678,neutral,0.9408723711967468,anticipation,0.5091927647590637,6.0,Election/debate,0.25716555,"RT @fema: A message to #MauiFire survivors from @WHIAANHPI Director Krystal Ka'ai, a native of Hawai'i 👇 https://t.co/KPUf9ozXWi",message survivor director krystal   native hawai,"[('message', [6, 5]), ('director', [5, 6]), ('survivor', [5]), ('native', [5]), ('hawai', [6]), ('krystal', [2])]","[('message', ['Election/debate', 'Border/community/family']), ('director', ['Border/community/family', 'Election/debate']), ('survivor', ['Border/community/family']), ('native', ['Border/community/family']), ('hawai', ['Election/debate']), ('krystal', ['War'])]"
POTUS,2023-07-04 18:29:38+00:00,5,Border/community/family,0.41295138,neutral,0.8218271732330322,anticipation,0.7370210886001587,1.0,American/economics/health,0.27190465,Tune in as Jill and I deliver remarks at the National Education Association Annual Meeting. https://t.co/5nLPuJUHTN,tune jill deliver remark national education association annual meeting,"[('national', [5, 7]), ('education', [1, 5]), ('deliver', [1, 5]), ('meeting', [5, 1]), ('tune', [5, 7]), ('jill', [5, 1]), ('annual', [5, 1]), ('association', [7]), ('remark', [7, 1])]","[('national', ['Border/community/family', 'Abortion/rights/guns']), ('education', ['American/economics/health', 'Border/community/family']), ('deliver', ['American/economics/health', 'Border/community/family']), ('meeting', ['Border/community/family', 'American/economics/health']), ('tune', ['Border/community/family', 'Abortion/rights/guns']), ('jill', ['Border/community/family', 'American/economics/health']), ('annual', ['Border/community/family', 'American/economics/health']), ('association', ['Abortion/rights/guns']), ('remark', ['Abortion/rights/guns', 'American/economics/health'])]"
POTUS,2023-09-25 16:47:25+00:00,5,Border/community/family,0.9270134,neutral,0.7776302695274353,anticipation,0.5928661823272705,6.0,Election/debate,0.010445888,Tune in as I host a meeting with Pacific Islands Forum leaders for the U.S.-Pacific Islands Forum Summit. https://t.co/h30ReVIpFH,tune host meeting pacific island forum leader  pacific island forum summit,"[('host', [5]), ('island', [5]), ('meeting', [5]), ('leader', [5]), ('tune', [5]), ('summit', [5]), ('pacific', [5]), ('forum', [5])]","[('host', ['Border/community/family']), ('island', ['Border/community/family']), ('meeting', ['Border/community/family']), ('leader', ['Border/community/family']), ('tune', ['Border/community/family']), ('summit', ['Border/community/family']), ('pacific', ['Border/community/family']), ('forum', ['Border/community/family'])]"
POTUS,2023-09-10 16:09:45+00:00,5,Border/community/family,0.5830169,neutral,0.8944387435913086,anticipation,0.7154000401496887,6.0,Election/debate,0.30969423,"Tune in as I hold a press conference in Hanoi, Vietnam. https://t.co/ZwjQGZ13Q0",tune hold press conference hanoi vietnam,"[('conference', [5, 6]), ('press', [5, 6]), ('hold', [5, 6]), ('tune', [6, 5]), ('vietnam', [5]), ('hanoi', [5])]","[('conference', ['Border/community/family', 'Election/debate']), ('press', ['Border/community/family', 'Election/debate']), ('hold', ['Border/community/family', 'Election/debate']), ('tune', ['Election/debate', 'Border/community/family']), ('vietnam', ['Border/community/family']), ('hanoi', ['Border/community/family'])]"
POTUS,2023-09-05 21:30:25+00:00,5,Border/community/family,0.44829407,positive,0.8127927780151367,anticipation,0.4159418642520904,7.0,Abortion/rights/guns,0.33229887,Tune in as I award the Medal of Honor to Captain Larry L. Taylor for conspicuous gallantry. https://t.co/3WIusdsPk8,tune award medal honor captain larry  taylor conspicuous gallantry,"[('taylor', [7]), ('honor', [5, 7]), ('tune', [5, 7]), ('medal', [5]), ('larry', [3]), ('award', [7]), ('captain', [5]), ('conspicuous', [7, 5]), ('gallantry', [7, 5])]","[('taylor', ['Abortion/rights/guns']), ('honor', ['Border/community/family', 'Abortion/rights/guns']), ('tune', ['Border/community/family', 'Abortion/rights/guns']), ('medal', ['Border/community/family']), ('larry', ['News/radio/livestream']), ('award', ['Abortion/rights/guns']), ('captain', ['Border/community/family']), ('conspicuous', ['Abortion/rights/guns', 'Border/community/family']), ('gallantry', ['Abortion/rights/guns', 'Border/community/family'])]"
POTUS,2023-09-19 18:40:11+00:00,5,Border/community/family,0.55997777,positive,0.7969955801963806,disgust,0.3557466268539428,7.0,Abortion/rights/guns,0.20232153,"Today, five innocent Americans who were imprisoned in Iran are back on American soil and in the arms of their loved ones. Welcome home. I remain unflinching in my efforts to bring home every American held hostage or wrongfully detained. https://t.co/Et2TNPQjMm",today innocent american imprisoned iran american soil arm loved one welcome home remain unflinching effort bring home american held hostage wrongfully detained,"[('american', [5, 7]), ('today', [5, 7]), ('iran', [2, 5]), ('arm', [7, 2]), ('held', [5, 7]), ('welcome', [5, 7]), ('home', [5, 7]), ('bring', [5, 2]), ('effort', [5, 7]), ('innocent', [5, 2]), ('detained', [3, 7]), ('remain', [5, 7]), ('hostage', [2, 7]), ('loved', [5]), ('one', [5, 2]), ('soil', [5, 3]), ('imprisoned', [3]), ('wrongfully', [7]), ('unflinching', [7])]","[('american', ['Border/community/family', 'Abortion/rights/guns']), ('today', ['Border/community/family', 'Abortion/rights/guns']), ('iran', ['War', 'Border/community/family']), ('arm', ['Abortion/rights/guns', 'War']), ('held', ['Border/community/family', 'Abortion/rights/guns']), ('welcome', ['Border/community/family', 'Abortion/rights/guns']), ('home', ['Border/community/family', 'Abortion/rights/guns']), ('bring', ['Border/community/family', 'War']), ('effort', ['Border/community/family', 'Abortion/rights/guns']), ('innocent', ['Border/community/family', 'War']), ('detained', ['News/radio/livestream', 'Abortion/rights/guns']), ('remain', ['Border/community/family', 'Abortion/rights/guns']), ('hostage', ['War', 'Abortion/rights/guns']), ('loved', ['Border/community/family']), ('one', ['Border/community/family', 'War']), ('soil', ['Border/community/family', 'News/radio/livestream']), ('imprisoned', ['News/radio/livestream']), ('wrongfully', ['Abortion/rights/guns']), ('unflinching', ['Abortion/rights/guns'])]"
POTUS,2023-08-01 04:00:30+00:00,5,Border/community/family,0.508972,neutral,0.6960519552230835,fear,0.495209664106369,1.0,American/economics/health,0.4609784,"In my State of the Union address, I called for a surge in resources to deal with the opioid epidemic that has devastated families across America. This month, we launched a first-of-its-kind national response plan to address the emerging threat of fentanyl mixed with xylazine. https://t.co/ta7zdEkGyx",state union address called surge resource deal opioid epidemic devastated family america month launched kind national response plan address emerging threat fentanyl mixed xylazine,"[('national', [5, 1]), ('state', [5, 1]), ('response', [5, 1]), ('america', [1, 5]), ('called', [1, 5]), ('month', [1, 5]), ('threat', [5, 1]), ('resource', [1, 5]), ('union', [5, 1]), ('family', [1, 5]), ('address', [1, 5]), ('fentanyl', [5, 1]), ('plan', [1, 5]), ('surge', [5, 1]), ('deal', [1, 5]), ('epidemic', [1, 5]), ('launched', [1]), ('kind', [5, 1]), ('devastated', [5, 1]), ('emerging', [5, 1]), ('opioid', [1]), ('mixed', [5]), ('xylazine', [5])]","[('national', ['Border/community/family', 'American/economics/health']), ('state', ['Border/community/family', 'American/economics/health']), ('response', ['Border/community/family', 'American/economics/health']), ('america', ['American/economics/health', 'Border/community/family']), ('called', ['American/economics/health', 'Border/community/family']), ('month', ['American/economics/health', 'Border/community/family']), ('threat', ['Border/community/family', 'American/economics/health']), ('resource', ['American/economics/health', 'Border/community/family']), ('union', ['Border/community/family', 'American/economics/health']), ('family', ['American/economics/health', 'Border/community/family']), ('address', ['American/economics/health', 'Border/community/family']), ('fentanyl', ['Border/community/family', 'American/economics/health']), ('plan', ['American/economics/health', 'Border/community/family']), ('surge', ['Border/community/family', 'American/economics/health']), ('deal', ['American/economics/health', 'Border/community/family']), ('epidemic', ['American/economics/health', 'Border/community/family']), ('launched', ['American/economics/health']), ('kind', ['Border/community/family', 'American/economics/health']), ('devastated', ['Border/community/family', 'American/economics/health']), ('emerging', ['Border/community/family', 'American/economics/health']), ('opioid', ['American/economics/health']), ('mixed', ['Border/community/family']), ('xylazine', ['Border/community/family'])]"
POTUS,2023-07-12 01:45:16+00:00,5,Border/community/family,0.7330712,neutral,0.679117739200592,fear,0.8106294274330139,1.0,American/economics/health,0.23427744,"In my State of the Union address, I called for a surge in resources to deal with the fentanyl epidemic that has devastated families across America. Today, my Administration is taking new steps to address the emerging threat of fentanyl mixed with xylazine. https://t.co/uMtNRZOpYW",state union address called surge resource deal fentanyl epidemic devastated family america today administration taking step address emerging threat fentanyl mixed xylazine,"[('state', [5, 1]), ('today', [5, 1]), ('administration', [5, 1]), ('taking', [5, 1]), ('america', [5, 1]), ('called', [5, 1]), ('threat', [5, 1]), ('resource', [5, 1]), ('union', [5, 1]), ('family', [5, 1]), ('address', [5, 1]), ('step', [5, 1]), ('fentanyl', [5, 1]), ('surge', [5, 1]), ('deal', [1, 5]), ('epidemic', [5, 1]), ('devastated', [5, 1]), ('emerging', [5, 1]), ('mixed', [5]), ('xylazine', [5])]","[('state', ['Border/community/family', 'American/economics/health']), ('today', ['Border/community/family', 'American/economics/health']), ('administration', ['Border/community/family', 'American/economics/health']), ('taking', ['Border/community/family', 'American/economics/health']), ('america', ['Border/community/family', 'American/economics/health']), ('called', ['Border/community/family', 'American/economics/health']), ('threat', ['Border/community/family', 'American/economics/health']), ('resource', ['Border/community/family', 'American/economics/health']), ('union', ['Border/community/family', 'American/economics/health']), ('family', ['Border/community/family', 'American/economics/health']), ('address', ['Border/community/family', 'American/economics/health']), ('step', ['Border/community/family', 'American/economics/health']), ('fentanyl', ['Border/community/family', 'American/economics/health']), ('surge', ['Border/community/family', 'American/economics/health']), ('deal', ['American/economics/health', 'Border/community/family']), ('epidemic', ['Border/community/family', 'American/economics/health']), ('devastated', ['Border/community/family', 'American/economics/health']), ('emerging', ['Border/community/family', 'American/economics/health']), ('mixed', ['Border/community/family']), ('xylazine', ['Border/community/family'])]"
POTUS,2023-06-23 05:45:01+00:00,5,Border/community/family,0.7030958,neutral,0.7410513758659363,fear,0.4502595365047455,4.0,Republicans vs democrats,0.105545245,"During our meeting, Prime Minister Modi and I discussed our shared efforts to mitigate the humanitarian tragedy unleashed by Russia’s brutal war against Ukraine – And to defend the core principles of the UN Charter: sovereignty and territorial integrity.",meeting prime minister modi discussed shared effort mitigate humanitarian tragedy unleashed russia brutal war ukraine defend core principle  charter sovereignty territorial integrity,"[('russia', [5, 2]), ('war', [5, 2]), ('core', [5, 7]), ('ukraine', [5, 2]), ('discussed', [5, 4]), ('minister', [5, 4]), ('meeting', [5, 4]), ('effort', [5, 7]), ('shared', [5, 4]), ('prime', [5]), ('principle', [5, 7]), ('defend', [5, 7]), ('unleashed', [5, 4]), ('integrity', [5, 4]), ('brutal', [5, 2]), ('humanitarian', [5, 2]), ('tragedy', [5, 2]), ('mitigate', [7]), ('sovereignty', [5, 2]), ('territorial', [5, 2]), ('charter', [5]), ('modi', [4])]","[('russia', ['Border/community/family', 'War']), ('war', ['Border/community/family', 'War']), ('core', ['Border/community/family', 'Abortion/rights/guns']), ('ukraine', ['Border/community/family', 'War']), ('discussed', ['Border/community/family', 'Republicans vs democrats']), ('minister', ['Border/community/family', 'Republicans vs democrats']), ('meeting', ['Border/community/family', 'Republicans vs democrats']), ('effort', ['Border/community/family', 'Abortion/rights/guns']), ('shared', ['Border/community/family', 'Republicans vs democrats']), ('prime', ['Border/community/family']), ('principle', ['Border/community/family', 'Abortion/rights/guns']), ('defend', ['Border/community/family', 'Abortion/rights/guns']), ('unleashed', ['Border/community/family', 'Republicans vs democrats']), ('integrity', ['Border/community/family', 'Republicans vs democrats']), ('brutal', ['Border/community/family', 'War']), ('humanitarian', ['Border/community/family', 'War']), ('tragedy', ['Border/community/family', 'War']), ('mitigate', ['Abortion/rights/guns']), ('sovereignty', ['Border/community/family', 'War']), ('territorial', ['Border/community/family', 'War']), ('charter', ['Border/community/family']), ('modi', ['Republicans vs democrats'])]"
POTUS,2023-10-18 14:55:00+00:00,5,Border/community/family,0.6638093,positive,0.7028169631958008,fear,0.6909226179122925,2.0,War,0.28613728,"I'm proud to be in Israel to honor the courage, commitment, and bravery of the Israeli people. Americans are grieving with you following last week’s terror attacks.",proud israel honor courage commitment bravery israeli people american grieving following week terror attack,"[('american', [5, 2]), ('attack', [5, 2]), ('week', [5]), ('following', [5]), ('israel', [2, 5]), ('israeli', [2]), ('people', [5, 2]), ('proud', [5]), ('honor', [5]), ('courage', [5, 2]), ('commitment', [5]), ('terror', [2, 5]), ('bravery', [5]), ('grieving', [2])]","[('american', ['Border/community/family', 'War']), ('attack', ['Border/community/family', 'War']), ('week', ['Border/community/family']), ('following', ['Border/community/family']), ('israel', ['War', 'Border/community/family']), ('israeli', ['War']), ('people', ['Border/community/family', 'War']), ('proud', ['Border/community/family']), ('honor', ['Border/community/family']), ('courage', ['Border/community/family', 'War']), ('commitment', ['Border/community/family']), ('terror', ['War', 'Border/community/family']), ('bravery', ['Border/community/family']), ('grieving', ['War'])]"
