username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
POTUS,2023-09-14 21:17:51+00:00,6,Election/debate,0.7546896,negative,0.754706084728241,"{'negative': 0.754706084728241, 'neutral': 0.22392888367176056, 'positive': 0.0213650930672884}",anger,0.4322232902050018,"{'anger': 0.43222329020500183, 'optimism': 0.33858156204223633, 'disgust': 0.09576224535703659, 'anticipation': 0.0741753801703453, 'joy': 0.020105550065636635, 'trust': 0.01995060034096241, 'pessimism': 0.007206331938505173, 'sadness': 0.003979818895459175, 'surprise': 0.0034611811861395836, 'fear': 0.0032288716174662113, 'love': 0.0013251970522105694}",1.0,American/economics/health,0.19524643,"Congressional Republicans have spent a lot of time attacking me and my economic plan. But you know what they never do? Talk about their plan. Today, we’re changing that. Listen in: https://t.co/lgiWZtocwm",congressional republican spent lot time attacking economic plan know talk plan today changing listen,"[('know', [6, 1]), ('today', [6, 1]), ('time', [6, 1]), ('republican', [6, 1]), ('lot', [6, 1]), ('plan', [6, 1]), ('talk', [6, 1]), ('attacking', [6]), ('spent', [6, 1]), ('congressional', [6, 1]), ('listen', [6]), ('economic', [1, 6]), ('changing', [6, 1])]","[('know', ['Election/debate', 'American/economics/health']), ('today', ['Election/debate', 'American/economics/health']), ('time', ['Election/debate', 'American/economics/health']), ('republican', ['Election/debate', 'American/economics/health']), ('lot', ['Election/debate', 'American/economics/health']), ('plan', ['Election/debate', 'American/economics/health']), ('talk', ['Election/debate', 'American/economics/health']), ('attacking', ['Election/debate']), ('spent', ['Election/debate', 'American/economics/health']), ('congressional', ['Election/debate', 'American/economics/health']), ('listen', ['Election/debate']), ('economic', ['American/economics/health', 'Election/debate']), ('changing', ['Election/debate', 'American/economics/health'])]"
POTUS,2023-09-16 00:00:01+00:00,6,Election/debate,0.38204992,neutral,0.646154522895813,"{'neutral': 0.646154522895813, 'negative': 0.30511853098869324, 'positive': 0.048726990818977356}",anger,0.6056045293807983,"{'anger': 0.6056045293807983, 'disgust': 0.31108883023262024, 'anticipation': 0.038154032081365585, 'optimism': 0.017177794128656387, 'joy': 0.008191187866032124, 'surprise': 0.006046039052307606, 'pessimism': 0.004136428702622652, 'sadness': 0.003534565679728985, 'trust': 0.0031693950295448303, 'fear': 0.0024015032686293125, 'love': 0.0004957748460583389}",1.0,American/economics/health,0.30210418,"Congressional Republicans never talk about their plan. It’s like they want to keep it a secret. Well, I've got the key parts of the MAGAnomics budget right here: https://t.co/MNmplCsWTw",congressional republican talk plan like want secret got key part maganomics budget right,"[('like', [6, 1]), ('got', [6, 1]), ('republican', [6, 1]), ('right', [6, 1]), ('part', [1, 8]), ('secret', [4, 6]), ('want', [6, 1]), ('plan', [1, 6]), ('talk', [6, 1]), ('budget', [1, 8]), ('congressional', [6, 1]), ('key', [6, 4]), ('maganomics', [8])]","[('like', ['Election/debate', 'American/economics/health']), ('got', ['Election/debate', 'American/economics/health']), ('republican', ['Election/debate', 'American/economics/health']), ('right', ['Election/debate', 'American/economics/health']), ('part', ['American/economics/health', 'Infrastructure/job/energy']), ('secret', ['Republicans vs democrats', 'Election/debate']), ('want', ['Election/debate', 'American/economics/health']), ('plan', ['American/economics/health', 'Election/debate']), ('talk', ['Election/debate', 'American/economics/health']), ('budget', ['American/economics/health', 'Infrastructure/job/energy']), ('congressional', ['Election/debate', 'American/economics/health']), ('key', ['Election/debate', 'Republicans vs democrats']), ('maganomics', ['Infrastructure/job/energy'])]"
POTUS,2023-07-05 19:08:42+00:00,6,Election/debate,0.8900991,positive,0.5937983989715576,"{'positive': 0.5937983989715576, 'neutral': 0.4033215343952179, 'negative': 0.002879979321733117}",anticipation,0.6250686645507812,"{'anticipation': 0.6250686645507812, 'joy': 0.23136919736862183, 'optimism': 0.07664286345243454, 'trust': 0.025404317304491997, 'surprise': 0.022829394787549973, 'love': 0.00393342599272728, 'disgust': 0.0035656713880598545, 'anger': 0.0035475182812660933, 'fear': 0.003452977631241083, 'pessimism': 0.0022723448928445578, 'sadness': 0.0019135619513690472}",5.0,Border/community/family,0.01571351,"Today, I’ll welcome @SwedishPM Ulf Kristersson to the White House.",today ill welcome ulf kristersson white house,"[('today', [6]), ('house', [6]), ('welcome', [6]), ('white', [6]), ('ill', [6]), ('kristersson', [6]), ('ulf', [6])]","[('today', ['Election/debate']), ('house', ['Election/debate']), ('welcome', ['Election/debate']), ('white', ['Election/debate']), ('ill', ['Election/debate']), ('kristersson', ['Election/debate']), ('ulf', ['Election/debate'])]"
POTUS,2023-07-02 19:28:21+00:00,6,Election/debate,0.7080122,neutral,0.8377924561500549,"{'neutral': 0.8377924561500549, 'positive': 0.13691729307174683, 'negative': 0.025290299206972122}",anticipation,0.6804199814796448,"{'anticipation': 0.6804199814796448, 'optimism': 0.1086425706744194, 'joy': 0.08834075182676315, 'surprise': 0.02876969799399376, 'trust': 0.02807626500725746, 'disgust': 0.016814090311527252, 'anger': 0.0130592230707407, 'fear': 0.012825318612158298, 'pessimism': 0.010114924050867558, 'sadness': 0.009442434646189213, 'love': 0.003494804259389639}",1.0,American/economics/health,0.04177032,Head to https://t.co/Mxd81tjeEg to learn more.,head learn,"[('head', [6]), ('learn', [6])]","[('head', ['Election/debate']), ('learn', ['Election/debate'])]"
POTUS,2023-09-19 16:16:56+00:00,6,Election/debate,0.4635445,neutral,0.8614315390586853,"{'neutral': 0.8614315390586853, 'positive': 0.1345502883195877, 'negative': 0.0040182494558393955}",anticipation,0.531954288482666,"{'anticipation': 0.531954288482666, 'joy': 0.2560904622077942, 'optimism': 0.13658510148525238, 'trust': 0.02776622213423252, 'surprise': 0.022153766825795174, 'anger': 0.00687631219625473, 'disgust': 0.006428211461752653, 'love': 0.0037210218142718077, 'pessimism': 0.002963237464427948, 'sadness': 0.0027996485587209463, 'fear': 0.002661739010363817}",8.0,Infrastructure/job/energy,0.27791983,Tune in as I deliver remarks before the 78th Session of the United Nations General Assembly. https://t.co/sKfXyy8nFT,tune deliver remark  session united nation general assembly,"[('united', [8, 6]), ('deliver', [8, 6]), ('assembly', [6, 8]), ('general', [6, 8]), ('tune', [6, 7]), ('nation', [8, 7]), ('session', [6, 8]), ('remark', [7])]","[('united', ['Infrastructure/job/energy', 'Election/debate']), ('deliver', ['Infrastructure/job/energy', 'Election/debate']), ('assembly', ['Election/debate', 'Infrastructure/job/energy']), ('general', ['Election/debate', 'Infrastructure/job/energy']), ('tune', ['Election/debate', 'Abortion/rights/guns']), ('nation', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('session', ['Election/debate', 'Infrastructure/job/energy']), ('remark', ['Abortion/rights/guns'])]"
POTUS,2023-07-25 18:25:29+00:00,6,Election/debate,0.94524974,neutral,0.6995935440063477,"{'neutral': 0.6995935440063477, 'positive': 0.29689821600914, 'negative': 0.0035081920213997364}",anticipation,0.4891465008258819,"{'anticipation': 0.48914650082588196, 'joy': 0.21718421578407288, 'optimism': 0.2155335545539856, 'trust': 0.03701429069042206, 'surprise': 0.014393366873264313, 'anger': 0.008079503662884235, 'disgust': 0.005779212806373835, 'love': 0.004117300268262625, 'fear': 0.00310476403683424, 'pessimism': 0.0029920218512415886, 'sadness': 0.002655253978446126}",,,,Join the Vice President and me as I sign a proclamation to establish the Emmett Till and Mamie Till-Mobley National Monument in Illinois and Mississippi. https://t.co/PYuM3Id2ZY,join vice president sign proclamation establish emmett till mamie till mobley national monument illinois mississippi,"[('national', [6]), ('president', [6]), ('sign', [6]), ('vice', [6]), ('join', [6]), ('mississippi', [6]), ('till', [6]), ('illinois', [6]), ('emmett', [6]), ('establish', [6]), ('monument', [6]), ('proclamation', [6]), ('mamie', [6]), ('mobley', [6])]","[('national', ['Election/debate']), ('president', ['Election/debate']), ('sign', ['Election/debate']), ('vice', ['Election/debate']), ('join', ['Election/debate']), ('mississippi', ['Election/debate']), ('till', ['Election/debate']), ('illinois', ['Election/debate']), ('emmett', ['Election/debate']), ('establish', ['Election/debate']), ('monument', ['Election/debate']), ('proclamation', ['Election/debate']), ('mamie', ['Election/debate']), ('mobley', ['Election/debate'])]"
POTUS,2023-06-16 02:17:06+00:00,6,Election/debate,0.5820052,neutral,0.8400977849960327,"{'neutral': 0.8400977849960327, 'positive': 0.15688100457191467, 'negative': 0.003021278651431203}",joy,0.7009633183479309,"{'joy': 0.7009633183479309, 'anticipation': 0.20710577070713043, 'optimism': 0.05928180739283562, 'surprise': 0.011491888202726841, 'trust': 0.010607385076582432, 'love': 0.005002073012292385, 'fear': 0.0014679164160043001, 'sadness': 0.0011289940448477864, 'disgust': 0.0011204197071492672, 'anger': 0.0009619975462555885, 'pessimism': 0.0008684718050062656}",5.0,Border/community/family,0.3343128,"Tune in as Jill and I host a screening of “Flamin' Hot"" at the White House. https://t.co/gVRvQzvdng",tune jill host screening flamin hot white house,"[('house', [6, 5]), ('host', [6, 5]), ('white', [6, 5]), ('tune', [6, 5]), ('jill', [5]), ('hot', [6]), ('screening', [5]), ('flamin', [6])]","[('house', ['Election/debate', 'Border/community/family']), ('host', ['Election/debate', 'Border/community/family']), ('white', ['Election/debate', 'Border/community/family']), ('tune', ['Election/debate', 'Border/community/family']), ('jill', ['Border/community/family']), ('hot', ['Election/debate']), ('screening', ['Border/community/family']), ('flamin', ['Election/debate'])]"
POTUS,2023-06-15 00:35:00+00:00,6,Election/debate,0.49392676,positive,0.939793825149536,"{'positive': 0.9397938251495361, 'neutral': 0.05852418765425682, 'negative': 0.0016820569289848208}",joy,0.8966389298439026,"{'joy': 0.8966389298439026, 'optimism': 0.08724147081375122, 'anticipation': 0.006826878525316715, 'love': 0.004142928868532181, 'trust': 0.0031286447774618864, 'surprise': 0.00112647854257375, 'sadness': 0.0002485808508936316, 'disgust': 0.00019623484695330262, 'anger': 0.00018293473112862557, 'pessimism': 0.000133944398839958, 'fear': 0.000132935238070786}",7.0,Abortion/rights/guns,0.43091723,Last night's performers helped us feel the power of Juneteenth and Black Music Month. https://t.co/bFROMceHnL,night  performer helped feel power juneteenth black music month,"[('month', [6, 7]), ('black', [7, 6]), ('power', [7, 6]), ('feel', [6, 7]), ('night', [6]), ('music', [6]), ('helped', [6, 7]), ('performer', [7]), ('juneteenth', [7])]","[('month', ['Election/debate', 'Abortion/rights/guns']), ('black', ['Abortion/rights/guns', 'Election/debate']), ('power', ['Abortion/rights/guns', 'Election/debate']), ('feel', ['Election/debate', 'Abortion/rights/guns']), ('night', ['Election/debate']), ('music', ['Election/debate']), ('helped', ['Election/debate', 'Abortion/rights/guns']), ('performer', ['Abortion/rights/guns']), ('juneteenth', ['Abortion/rights/guns'])]"
POTUS,2023-06-16 15:15:03+00:00,6,Election/debate,0.53151256,positive,0.7480138540267944,"{'positive': 0.7480138540267944, 'neutral': 0.24946680665016174, 'negative': 0.0025192878674715757}",joy,0.6988787055015564,"{'joy': 0.6988787055015564, 'optimism': 0.2690810263156891, 'anticipation': 0.017363257706165314, 'trust': 0.00698675075545907, 'love': 0.004835241939872503, 'surprise': 0.0012361850822344422, 'sadness': 0.0005223156767897308, 'fear': 0.0003477715654298663, 'pessimism': 0.00029570955666713417, 'anger': 0.00022983479721006006, 'disgust': 0.00022323989833239466}",5.0,Border/community/family,0.3149677,"Last night, we hosted a screening of “Flamin Hot” at the White House – a film that tells a story about the power of opportunity, a cornerstone of our democracy and exactly what the Hispanic American community embodies. https://t.co/ZmUh7MXKbt",night hosted screening flamin hot white house film tell story power opportunity cornerstone democracy exactly hispanic american community embodies,"[('american', [5, 6]), ('democracy', [6, 5]), ('house', [6, 5]), ('story', [6, 5]), ('power', [6, 8]), ('exactly', [6, 8]), ('tell', [6, 5]), ('opportunity', [5, 6]), ('white', [6, 5]), ('night', [6, 5]), ('community', [5, 8]), ('hot', [6]), ('hosted', [6, 5]), ('film', [5]), ('cornerstone', [8]), ('hispanic', [6, 5]), ('embodies', [6, 8]), ('screening', [5]), ('flamin', [6])]","[('american', ['Border/community/family', 'Election/debate']), ('democracy', ['Election/debate', 'Border/community/family']), ('house', ['Election/debate', 'Border/community/family']), ('story', ['Election/debate', 'Border/community/family']), ('power', ['Election/debate', 'Infrastructure/job/energy']), ('exactly', ['Election/debate', 'Infrastructure/job/energy']), ('tell', ['Election/debate', 'Border/community/family']), ('opportunity', ['Border/community/family', 'Election/debate']), ('white', ['Election/debate', 'Border/community/family']), ('night', ['Election/debate', 'Border/community/family']), ('community', ['Border/community/family', 'Infrastructure/job/energy']), ('hot', ['Election/debate']), ('hosted', ['Election/debate', 'Border/community/family']), ('film', ['Border/community/family']), ('cornerstone', ['Infrastructure/job/energy']), ('hispanic', ['Election/debate', 'Border/community/family']), ('embodies', ['Election/debate', 'Infrastructure/job/energy']), ('screening', ['Border/community/family']), ('flamin', ['Election/debate'])]"
POTUS,2023-06-14 01:35:09+00:00,6,Election/debate,0.38233232,positive,0.7058485150337219,"{'positive': 0.7058485150337219, 'neutral': 0.2922954261302948, 'negative': 0.0018560229800641537}",joy,0.7376989722251892,"{'joy': 0.7376989722251892, 'anticipation': 0.13950425386428833, 'optimism': 0.09722844511270523, 'trust': 0.010211097076535225, 'surprise': 0.006741519086062908, 'love': 0.004648257978260517, 'fear': 0.0008600889705121517, 'sadness': 0.0008552320650778711, 'disgust': 0.0008363306405954063, 'anger': 0.0007305995095521212, 'pessimism': 0.000685204635374248}",7.0,Abortion/rights/guns,0.30941558,Tune in as I hold a concert to honor Juneteenth with Vice President Harris on the South Lawn. https://t.co/bp7evIuQaR,tune hold concert honor juneteenth vice president harris south lawn,"[('president', [6, 7]), ('honor', [5, 7]), ('south', [6, 5]), ('vice', [6, 7]), ('hold', [7, 6]), ('tune', [6, 7]), ('harris', [6, 5]), ('lawn', [7]), ('concert', [3]), ('juneteenth', [7])]","[('president', ['Election/debate', 'Abortion/rights/guns']), ('honor', ['Border/community/family', 'Abortion/rights/guns']), ('south', ['Election/debate', 'Border/community/family']), ('vice', ['Election/debate', 'Abortion/rights/guns']), ('hold', ['Abortion/rights/guns', 'Election/debate']), ('tune', ['Election/debate', 'Abortion/rights/guns']), ('harris', ['Election/debate', 'Border/community/family']), ('lawn', ['Abortion/rights/guns']), ('concert', ['News/radio/livestream']), ('juneteenth', ['Abortion/rights/guns'])]"
POTUS,2023-07-12 15:49:16+00:00,6,Election/debate,0.6702657,positive,0.9396674036979676,"{'positive': 0.9396674036979675, 'neutral': 0.05816226080060005, 'negative': 0.0021703082602471113}",joy,0.6074084043502808,"{'joy': 0.6074084043502808, 'optimism': 0.36631304025650024, 'anticipation': 0.011199183762073517, 'trust': 0.008967621251940727, 'love': 0.003743558656424284, 'surprise': 0.0011520909611135721, 'fear': 0.00037969902041368186, 'anger': 0.00028822399326600134, 'disgust': 0.0001891646534204483, 'sadness': 0.0001800919126253575, 'pessimism': 0.0001788836088962853}",5.0,Border/community/family,0.27962875,"One year ago, NASA released an image from the James Webb Space Telescope that reminded us America can do big things. Today, they’ve done it again. https://t.co/7zrooAmUro",year ago nasa released image james webb space telescope reminded america big thing today,"[('today', [6, 5]), ('released', [6, 5]), ('year', [5, 6]), ('america', [6, 5]), ('image', [6, 5]), ('thing', [6, 5]), ('ago', [5, 6]), ('big', [6, 5]), ('space', [6, 5]), ('james', [6, 5]), ('reminded', [5, 6]), ('nasa', [6]), ('telescope', [6]), ('webb', [6])]","[('today', ['Election/debate', 'Border/community/family']), ('released', ['Election/debate', 'Border/community/family']), ('year', ['Border/community/family', 'Election/debate']), ('america', ['Election/debate', 'Border/community/family']), ('image', ['Election/debate', 'Border/community/family']), ('thing', ['Election/debate', 'Border/community/family']), ('ago', ['Border/community/family', 'Election/debate']), ('big', ['Election/debate', 'Border/community/family']), ('space', ['Election/debate', 'Border/community/family']), ('james', ['Election/debate', 'Border/community/family']), ('reminded', ['Border/community/family', 'Election/debate']), ('nasa', ['Election/debate']), ('telescope', ['Election/debate']), ('webb', ['Election/debate'])]"
POTUS,2023-07-20 00:16:28+00:00,6,Election/debate,0.448554,neutral,0.8187610507011414,"{'neutral': 0.8187610507011414, 'positive': 0.17764131724834442, 'negative': 0.003597663016989827}",joy,0.5348454117774963,"{'joy': 0.5348454117774963, 'anticipation': 0.35429465770721436, 'optimism': 0.06533748656511307, 'surprise': 0.018160825595259666, 'trust': 0.013782955706119537, 'love': 0.004022279288619757, 'fear': 0.002742172684520483, 'disgust': 0.002171506639569998, 'anger': 0.0016436137957498431, 'sadness': 0.0015194761799648404, 'pessimism': 0.001479653175920248}",5.0,Border/community/family,0.25142556,Tune in as Jill and I host the White House Congressional Picnic. https://t.co/d5uIzziVvD,tune jill host white house congressional picnic,"[('house', [6, 7]), ('host', [6, 5]), ('white', [6, 5]), ('tune', [6, 7]), ('congressional', [6, 7]), ('jill', [5]), ('picnic', [7])]","[('house', ['Election/debate', 'Abortion/rights/guns']), ('host', ['Election/debate', 'Border/community/family']), ('white', ['Election/debate', 'Border/community/family']), ('tune', ['Election/debate', 'Abortion/rights/guns']), ('congressional', ['Election/debate', 'Abortion/rights/guns']), ('jill', ['Border/community/family']), ('picnic', ['Abortion/rights/guns'])]"
