username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,emotion,emotion_prob,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
marwilliamson,2023-08-29 12:14:18+00:00,7,Abortion/rights/guns,0.65225005,negative,0.8671851754188538,anger,0.6739046573638916,4.0,Republicans vs democrats,0.27261195,Tennessee Republicans are using their power to silence the voices of people with whom they disagree. It won’t work now and it won’t work ever.,tennessee republican power silence voice people disagree work work,"[('people', [7, 4]), ('power', [7, 4]), ('republican', [7, 4]), ('work', [7, 4]), ('voice', [7, 4]), ('silence', [7, 4]), ('tennessee', [7, 4]), ('disagree', [4])]","[('people', ['Abortion/rights/guns', 'Republicans vs democrats']), ('power', ['Abortion/rights/guns', 'Republicans vs democrats']), ('republican', ['Abortion/rights/guns', 'Republicans vs democrats']), ('work', ['Abortion/rights/guns', 'Republicans vs democrats']), ('voice', ['Abortion/rights/guns', 'Republicans vs democrats']), ('silence', ['Abortion/rights/guns', 'Republicans vs democrats']), ('tennessee', ['Abortion/rights/guns', 'Republicans vs democrats']), ('disagree', ['Republicans vs democrats'])]"
marwilliamson,2023-06-17 13:44:07+00:00,7,Abortion/rights/guns,0.7810977,negative,0.7714328169822693,anger,0.7678239345550537,5.0,Border/community/family,0.031275418,"Misogyny dictates that a woman is always ""too something.""",misogyny dictate woman,"[('woman', [7]), ('dictate', [7]), ('misogyny', [7])]","[('woman', ['Abortion/rights/guns']), ('dictate', ['Abortion/rights/guns']), ('misogyny', ['Abortion/rights/guns'])]"
marwilliamson,2023-10-19 23:24:20+00:00,7,Abortion/rights/guns,0.365915,neutral,0.5159854292869568,anger,0.6452332735061646,1.0,American/economics/health,0.33931977,In order to keep the fascists away democracy must deliver on its promises. #Election2024 #DisruptTheCorrupt #PrimaryBiden https://t.co/4sZW8pwtu0,order fascist away democracy deliver promise,"[('democracy', [7, 2]), ('away', [7, 1]), ('order', [7, 1]), ('deliver', [1, 7]), ('promise', [1, 7]), ('fascist', [2])]","[('democracy', ['Abortion/rights/guns', 'War']), ('away', ['Abortion/rights/guns', 'American/economics/health']), ('order', ['Abortion/rights/guns', 'American/economics/health']), ('deliver', ['American/economics/health', 'Abortion/rights/guns']), ('promise', ['American/economics/health', 'Abortion/rights/guns']), ('fascist', ['War'])]"
marwilliamson,2023-10-05 20:09:17+00:00,7,Abortion/rights/guns,0.41425416,negative,0.5669993758201599,anger,0.820379376411438,4.0,Republicans vs democrats,0.27740672,"The Constitution does not limit the number of Supreme Court Justices to nine. At this point they have gone rogue, and I would be prepared to counter their corporatist bias. #disruptthecorrupt https://t.co/mqxJ8Xq5E4",constitution limit number supreme court justice point gone rogue prepared counter corporatist bias,"[('bias', [4]), ('justice', [7, 4]), ('point', [4, 1]), ('limit', [1, 4]), ('constitution', [7, 4]), ('number', [4, 1]), ('court', [7, 4]), ('prepared', [7, 1]), ('gone', [4, 7]), ('supreme', [7, 4]), ('counter', [1]), ('rogue', [7]), ('corporatist', [3])]","[('bias', ['Republicans vs democrats']), ('justice', ['Abortion/rights/guns', 'Republicans vs democrats']), ('point', ['Republicans vs democrats', 'American/economics/health']), ('limit', ['American/economics/health', 'Republicans vs democrats']), ('constitution', ['Abortion/rights/guns', 'Republicans vs democrats']), ('number', ['Republicans vs democrats', 'American/economics/health']), ('court', ['Abortion/rights/guns', 'Republicans vs democrats']), ('prepared', ['Abortion/rights/guns', 'American/economics/health']), ('gone', ['Republicans vs democrats', 'Abortion/rights/guns']), ('supreme', ['Abortion/rights/guns', 'Republicans vs democrats']), ('counter', ['American/economics/health']), ('rogue', ['Abortion/rights/guns']), ('corporatist', ['News/radio/livestream'])]"
marwilliamson,2023-09-15 04:33:50+00:00,7,Abortion/rights/guns,0.26703882,neutral,0.5406824350357056,anger,0.581970751285553,5.0,Border/community/family,0.1854254,"In every advanced species that survives and thrives, a common characteristic is protection and nurturance of its young. But in America today, not us. This DACA decision is a mean face of America - a refusal to grant to those younger than us the blessings this country bestowed on us. As president I will continue to fight for them. https://t.co/fB9xwsanwn",advanced specie survives thrives common characteristic protection nurturance young america today daca decision mean face america refusal grant younger blessing country bestowed president continue fight,"[('today', [5, 7]), ('decision', [7, 4]), ('america', [8, 5]), ('president', [4, 1]), ('country', [5, 7]), ('common', [1, 5]), ('fight', [7, 5]), ('continue', [7, 5]), ('characteristic', [7]), ('mean', [7, 1]), ('advanced', [8, 6]), ('face', [7, 4]), ('young', [5, 6]), ('protection', [7, 1]), ('refusal', [4]), ('grant', [8, 1]), ('daca', [7]), ('younger', [4]), ('specie', [5]), ('survives', [6]), ('thrives', [1]), ('blessing', [5]), ('bestowed', [6]), ('nurturance', [7])]","[('today', ['Border/community/family', 'Abortion/rights/guns']), ('decision', ['Abortion/rights/guns', 'Republicans vs democrats']), ('america', ['Infrastructure/job/energy', 'Border/community/family']), ('president', ['Republicans vs democrats', 'American/economics/health']), ('country', ['Border/community/family', 'Abortion/rights/guns']), ('common', ['American/economics/health', 'Border/community/family']), ('fight', ['Abortion/rights/guns', 'Border/community/family']), ('continue', ['Abortion/rights/guns', 'Border/community/family']), ('characteristic', ['Abortion/rights/guns']), ('mean', ['Abortion/rights/guns', 'American/economics/health']), ('advanced', ['Infrastructure/job/energy', 'Election/debate']), ('face', ['Abortion/rights/guns', 'Republicans vs democrats']), ('young', ['Border/community/family', 'Election/debate']), ('protection', ['Abortion/rights/guns', 'American/economics/health']), ('refusal', ['Republicans vs democrats']), ('grant', ['Infrastructure/job/energy', 'American/economics/health']), ('daca', ['Abortion/rights/guns']), ('younger', ['Republicans vs democrats']), ('specie', ['Border/community/family']), ('survives', ['Election/debate']), ('thrives', ['American/economics/health']), ('blessing', ['Border/community/family']), ('bestowed', ['Election/debate']), ('nurturance', ['Abortion/rights/guns'])]"
marwilliamson,2023-08-20 00:50:48+00:00,7,Abortion/rights/guns,0.64268285,negative,0.926265299320221,anger,0.7094703316688538,2.0,War,0.3102757,How disgusting is this. What group is Texas Senate Bill 17 going to disband next? Jews…? Blacks…? Latinos…? Women…? Trying to think of anyone else they don’t want to “include.”,disgusting group texas senate bill going disband jew black latino woman trying think want include,"[('jew', [2]), ('group', [7, 2]), ('black', [7, 2]), ('going', [2, 7]), ('think', [2, 7]), ('trying', [7, 2]), ('texas', [7, 2]), ('woman', [7, 2]), ('want', [7, 2]), ('bill', [7]), ('senate', [7, 2]), ('include', [7]), ('disgusting', [2]), ('latino', [7]), ('disband', [7])]","[('jew', ['War']), ('group', ['Abortion/rights/guns', 'War']), ('black', ['Abortion/rights/guns', 'War']), ('going', ['War', 'Abortion/rights/guns']), ('think', ['War', 'Abortion/rights/guns']), ('trying', ['Abortion/rights/guns', 'War']), ('texas', ['Abortion/rights/guns', 'War']), ('woman', ['Abortion/rights/guns', 'War']), ('want', ['Abortion/rights/guns', 'War']), ('bill', ['Abortion/rights/guns']), ('senate', ['Abortion/rights/guns', 'War']), ('include', ['Abortion/rights/guns']), ('disgusting', ['War']), ('latino', ['Abortion/rights/guns']), ('disband', ['Abortion/rights/guns'])]"
marwilliamson,2023-09-25 17:46:57+00:00,7,Abortion/rights/guns,0.59703916,negative,0.8812856078147888,anger,0.5994351506233215,4.0,Republicans vs democrats,0.34038118,No one who has sworn to protect the US Constitution should be quiet about this. Criminalizing peaceful protest is a direct attack on our Constitutional rights. @POTUS @ossoff @ReverendWarnock,sworn protect constitution quiet criminalizing peaceful protest direct attack constitutional right,"[('attack', [7, 4]), ('protest', [7, 4]), ('right', [7, 4]), ('constitution', [7, 4]), ('protect', [7, 4]), ('constitutional', [7, 4]), ('quiet', [4]), ('sworn', [7, 4]), ('direct', [4]), ('peaceful', [4]), ('criminalizing', [7])]","[('attack', ['Abortion/rights/guns', 'Republicans vs democrats']), ('protest', ['Abortion/rights/guns', 'Republicans vs democrats']), ('right', ['Abortion/rights/guns', 'Republicans vs democrats']), ('constitution', ['Abortion/rights/guns', 'Republicans vs democrats']), ('protect', ['Abortion/rights/guns', 'Republicans vs democrats']), ('constitutional', ['Abortion/rights/guns', 'Republicans vs democrats']), ('quiet', ['Republicans vs democrats']), ('sworn', ['Abortion/rights/guns', 'Republicans vs democrats']), ('direct', ['Republicans vs democrats']), ('peaceful', ['Republicans vs democrats']), ('criminalizing', ['Abortion/rights/guns'])]"
marwilliamson,2023-06-30 17:07:12+00:00,7,Abortion/rights/guns,0.47039396,neutral,0.6410180926322937,anger,0.4468593299388885,4.0,Republicans vs democrats,0.32849237,"As President, I will expand the Court if necessary. Nothing in the Constitution says it's limited to 9 justices. We must also introduce ethics rules for SCOTUS justices, and consider term limits. Our current SCOTUS has gone rogue in service to their corporatist sponsors.2/2",president expand court necessary constitution say limited justice introduce ethic rule scotus justice consider term limit current scotus gone rogue service corporatist sponsor,"[('current', [4, 8]), ('term', [4, 8]), ('president', [4, 7]), ('say', [4, 7]), ('justice', [7, 4]), ('service', [8, 7]), ('limit', [4, 7]), ('constitution', [7, 4]), ('rule', [7, 4]), ('consider', [4, 7]), ('court', [7, 4]), ('gone', [4, 7]), ('ethic', [7, 4]), ('necessary', [8, 4]), ('limited', [4, 7]), ('sponsor', [8]), ('introduce', [7, 8]), ('expand', [7, 8]), ('scotus', [7]), ('rogue', [7]), ('corporatist', [3])]","[('current', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('term', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('president', ['Republicans vs democrats', 'Abortion/rights/guns']), ('say', ['Republicans vs democrats', 'Abortion/rights/guns']), ('justice', ['Abortion/rights/guns', 'Republicans vs democrats']), ('service', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('limit', ['Republicans vs democrats', 'Abortion/rights/guns']), ('constitution', ['Abortion/rights/guns', 'Republicans vs democrats']), ('rule', ['Abortion/rights/guns', 'Republicans vs democrats']), ('consider', ['Republicans vs democrats', 'Abortion/rights/guns']), ('court', ['Abortion/rights/guns', 'Republicans vs democrats']), ('gone', ['Republicans vs democrats', 'Abortion/rights/guns']), ('ethic', ['Abortion/rights/guns', 'Republicans vs democrats']), ('necessary', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('limited', ['Republicans vs democrats', 'Abortion/rights/guns']), ('sponsor', ['Infrastructure/job/energy']), ('introduce', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('expand', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('scotus', ['Abortion/rights/guns']), ('rogue', ['Abortion/rights/guns']), ('corporatist', ['News/radio/livestream'])]"
marwilliamson,2023-06-30 17:07:11+00:00,7,Abortion/rights/guns,0.47151977,negative,0.8901832699775696,anger,0.5578555464744568,1.0,American/economics/health,0.36193693,"They overturned Roe v. Wade. They ended Affirmative Action. Now they've rejected Biden's student loan forgiveness plan. Today's SCOTUS works to proactively diminish the rights and opportunities of the people of the United States. (Biden can get around this, by the way.) 1/2",overturned roe  wade ended affirmative action rejected biden  student loan forgiveness plan today  scotus work proactively diminish right opportunity people united state biden way,"[('biden', [1, 4]), ('state', [7, 1]), ('today', [7, 1]), ('united', [7, 1]), ('way', [1, 7]), ('action', [1, 7]), ('people', [1, 7]), ('work', [1, 7]), ('right', [7, 1]), ('student', [1, 7]), ('opportunity', [1, 7]), ('plan', [1, 7]), ('ended', [7, 4]), ('diminish', [2]), ('rejected', [7, 4]), ('affirmative', [7]), ('loan', [1]), ('forgiveness', [1]), ('roe', [7]), ('wade', [7]), ('overturned', [7]), ('scotus', [7, 1]), ('proactively', [4])]","[('biden', ['American/economics/health', 'Republicans vs democrats']), ('state', ['Abortion/rights/guns', 'American/economics/health']), ('today', ['Abortion/rights/guns', 'American/economics/health']), ('united', ['Abortion/rights/guns', 'American/economics/health']), ('way', ['American/economics/health', 'Abortion/rights/guns']), ('action', ['American/economics/health', 'Abortion/rights/guns']), ('people', ['American/economics/health', 'Abortion/rights/guns']), ('work', ['American/economics/health', 'Abortion/rights/guns']), ('right', ['Abortion/rights/guns', 'American/economics/health']), ('student', ['American/economics/health', 'Abortion/rights/guns']), ('opportunity', ['American/economics/health', 'Abortion/rights/guns']), ('plan', ['American/economics/health', 'Abortion/rights/guns']), ('ended', ['Abortion/rights/guns', 'Republicans vs democrats']), ('diminish', ['War']), ('rejected', ['Abortion/rights/guns', 'Republicans vs democrats']), ('affirmative', ['Abortion/rights/guns']), ('loan', ['American/economics/health']), ('forgiveness', ['American/economics/health']), ('roe', ['Abortion/rights/guns']), ('wade', ['Abortion/rights/guns']), ('overturned', ['Abortion/rights/guns']), ('scotus', ['Abortion/rights/guns', 'American/economics/health']), ('proactively', ['Republicans vs democrats'])]"
marwilliamson,2023-07-17 07:56:27+00:00,7,Abortion/rights/guns,0.45758778,negative,0.6811922192573547,anger,0.5791241526603699,4.0,Republicans vs democrats,0.37144423,"With all the misinformation about a stolen election in 2020, there actually WAS one in 2000. @SCOTUS overturned the Florida Supreme Court’s decision to recount their votes.🧵",misinformation stolen election actually overturned florida supreme court decision recount vote,"[('decision', [7, 4]), ('election', [4, 7]), ('vote', [7, 4]), ('actually', [4, 1]), ('florida', [7, 4]), ('misinformation', [4, 1]), ('court', [7, 4]), ('stolen', [4, 7]), ('supreme', [7, 4]), ('overturned', [7]), ('recount', [1])]","[('decision', ['Abortion/rights/guns', 'Republicans vs democrats']), ('election', ['Republicans vs democrats', 'Abortion/rights/guns']), ('vote', ['Abortion/rights/guns', 'Republicans vs democrats']), ('actually', ['Republicans vs democrats', 'American/economics/health']), ('florida', ['Abortion/rights/guns', 'Republicans vs democrats']), ('misinformation', ['Republicans vs democrats', 'American/economics/health']), ('court', ['Abortion/rights/guns', 'Republicans vs democrats']), ('stolen', ['Republicans vs democrats', 'Abortion/rights/guns']), ('supreme', ['Abortion/rights/guns', 'Republicans vs democrats']), ('overturned', ['Abortion/rights/guns']), ('recount', ['American/economics/health'])]"
