username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
marwilliamson,2023-08-17 17:01:50+00:00,1,American/economics/health,0.39937204,negative,0.914157509803772,"{'negative': 0.914157509803772, 'neutral': 0.08094918727874756, 'positive': 0.004893388599157333}",anger,0.6746413111686707,"{'anger': 0.6746413111686707, 'disgust': 0.3007124364376068, 'sadness': 0.02041550725698471, 'pessimism': 0.0020405836403369904, 'fear': 0.0009999218164011836, 'anticipation': 0.000384297629352659, 'joy': 0.00021431792993098497, 'optimism': 0.00020720985776279122, 'surprise': 0.00019478824106045067, 'love': 9.943999612005427e-05, 'trust': 9.017354750540107e-05}",5.0,Border/community/family,0.31222573,"RT @🧵""I'm angry we are living through this...I don't want to know someone a year from now who died from cancer from being exposed to [toxic chemicals], I'm begging you to do something,"" -#EastPalestine's Lonnie Miller begging EPA &amp; Norfolk Southern to relocate residents who want it https://t.co/Izs4vFVHjE",angry living want know year died cancer exposed toxic chemical begging  lonnie miller begging epa norfolk southern relocate resident want,"[('chemical', [8, 1]), ('know', [1, 5]), ('year', [1, 5]), ('begging', [5]), ('died', [5, 1]), ('southern', [5, 8]), ('resident', [5, 8]), ('want', [1, 5]), ('angry', [2]), ('living', [1, 5]), ('exposed', [1, 2]), ('toxic', [1, 8]), ('miller', [7]), ('cancer', [1, 5]), ('relocate', [8]), ('epa', [8, 1]), ('lonnie', [1]), ('norfolk', [5])]","[('chemical', ['Infrastructure/job/energy', 'American/economics/health']), ('know', ['American/economics/health', 'Border/community/family']), ('year', ['American/economics/health', 'Border/community/family']), ('begging', ['Border/community/family']), ('died', ['Border/community/family', 'American/economics/health']), ('southern', ['Border/community/family', 'Infrastructure/job/energy']), ('resident', ['Border/community/family', 'Infrastructure/job/energy']), ('want', ['American/economics/health', 'Border/community/family']), ('angry', ['War']), ('living', ['American/economics/health', 'Border/community/family']), ('exposed', ['American/economics/health', 'War']), ('toxic', ['American/economics/health', 'Infrastructure/job/energy']), ('miller', ['Abortion/rights/guns']), ('cancer', ['American/economics/health', 'Border/community/family']), ('relocate', ['Infrastructure/job/energy']), ('epa', ['Infrastructure/job/energy', 'American/economics/health']), ('lonnie', ['American/economics/health']), ('norfolk', ['Border/community/family'])]"
marwilliamson,2023-08-02 00:17:26+00:00,1,American/economics/health,0.49975362,negative,0.5768616795539856,"{'negative': 0.5768616795539856, 'neutral': 0.35666730999946594, 'positive': 0.06647100299596786}",anger,0.39599609375,"{'anger': 0.39599609375, 'optimism': 0.2646583318710327, 'disgust': 0.17808976769447327, 'anticipation': 0.09444232285022736, 'pessimism': 0.017734361812472343, 'joy': 0.015160182490944862, 'trust': 0.014476475305855274, 'sadness': 0.011666927486658096, 'surprise': 0.004163376521319151, 'fear': 0.0025934516452252865, 'love': 0.0010186444269493222}",2.0,War,0.18615255,"Democrats will not win in 2024 by telling the electorate things are going well. Why? Because for 70 per cent of Americans they are not! People are done with governance by data; policy should be driven by its effects on people's lives. We will win in 2024 by offering the vision of a society that works: universal health care, cancellation of the college debt, tuition free college and tech school, paid family leave, guaranteed housing and sick pay and a livable wage. Those who think that's ""asking too much"" are suggesting that the role of government should not in fact be ""to secure the inalienable rights of life, liberty and the pursuit of happiness."" My plan does. That's why we're gaining momentum. And why we're going to win. #marianne2024 #EconomicBillofRights #TheMariannePlan",democrat win telling electorate thing going cent american people governance data policy driven effect people  life win offering vision society work universal health care cancellation college debt tuition free college tech school paid family leave guaranteed housing sick pay livable wage think asking suggesting role government fact secure inalienable right life liberty pursuit happiness plan gaining momentum going win,"[('american', [1, 2]), ('people', [1, 2]), ('leave', [1, 2]), ('fact', [1, 2]), ('going', [1, 2]), ('thing', [1, 2]), ('think', [2, 1]), ('work', [1, 8]), ('right', [1, 2]), ('government', [1, 2]), ('life', [1, 5]), ('housing', [1, 8]), ('telling', [2, 4]), ('college', [1, 6]), ('school', [1, 5]), ('family', [1, 5]), ('paid', [1, 8]), ('pay', [1, 2]), ('care', [1, 2]), ('health', [1, 8]), ('democrat', [1, 2]), ('plan', [1, 6]), ('win', [6, 1]), ('asking', [1, 6]), ('free', [1, 2]), ('tech', [8, 4]), ('secure', [1, 5]), ('suggesting', [2, 1]), ('data', [1, 6]), ('policy', [1, 2]), ('offering', [2, 5]), ('role', [1, 8]), ('liberty', [5, 2]), ('sick', [1, 2]), ('pursuit', [2, 5]), ('society', [2, 1]), ('gaining', [6, 5]), ('momentum', [6, 1]), ('vision', [1, 6]), ('debt', [1]), ('wage', [1, 8]), ('effect', [1, 6]), ('cent', [4]), ('cancellation', [8]), ('happiness', [5]), ('universal', [1]), ('guaranteed', [1]), ('driven', [1, 2]), ('electorate', [6]), ('governance', [2, 6]), ('tuition', [8]), ('inalienable', [2]), ('livable', [2])]","[('american', ['American/economics/health', 'War']), ('people', ['American/economics/health', 'War']), ('leave', ['American/economics/health', 'War']), ('fact', ['American/economics/health', 'War']), ('going', ['American/economics/health', 'War']), ('thing', ['American/economics/health', 'War']), ('think', ['War', 'American/economics/health']), ('work', ['American/economics/health', 'Infrastructure/job/energy']), ('right', ['American/economics/health', 'War']), ('government', ['American/economics/health', 'War']), ('life', ['American/economics/health', 'Border/community/family']), ('housing', ['American/economics/health', 'Infrastructure/job/energy']), ('telling', ['War', 'Republicans vs democrats']), ('college', ['American/economics/health', 'Election/debate']), ('school', ['American/economics/health', 'Border/community/family']), ('family', ['American/economics/health', 'Border/community/family']), ('paid', ['American/economics/health', 'Infrastructure/job/energy']), ('pay', ['American/economics/health', 'War']), ('care', ['American/economics/health', 'War']), ('health', ['American/economics/health', 'Infrastructure/job/energy']), ('democrat', ['American/economics/health', 'War']), ('plan', ['American/economics/health', 'Election/debate']), ('win', ['Election/debate', 'American/economics/health']), ('asking', ['American/economics/health', 'Election/debate']), ('free', ['American/economics/health', 'War']), ('tech', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('secure', ['American/economics/health', 'Border/community/family']), ('suggesting', ['War', 'American/economics/health']), ('data', ['American/economics/health', 'Election/debate']), ('policy', ['American/economics/health', 'War']), ('offering', ['War', 'Border/community/family']), ('role', ['American/economics/health', 'Infrastructure/job/energy']), ('liberty', ['Border/community/family', 'War']), ('sick', ['American/economics/health', 'War']), ('pursuit', ['War', 'Border/community/family']), ('society', ['War', 'American/economics/health']), ('gaining', ['Election/debate', 'Border/community/family']), ('momentum', ['Election/debate', 'American/economics/health']), ('vision', ['American/economics/health', 'Election/debate']), ('debt', ['American/economics/health']), ('wage', ['American/economics/health', 'Infrastructure/job/energy']), ('effect', ['American/economics/health', 'Election/debate']), ('cent', ['Republicans vs democrats']), ('cancellation', ['Infrastructure/job/energy']), ('happiness', ['Border/community/family']), ('universal', ['American/economics/health']), ('guaranteed', ['American/economics/health']), ('driven', ['American/economics/health', 'War']), ('electorate', ['Election/debate']), ('governance', ['War', 'Election/debate']), ('tuition', ['Infrastructure/job/energy']), ('inalienable', ['War']), ('livable', ['War'])]"
marwilliamson,2023-08-13 21:03:20+00:00,1,American/economics/health,0.40390405,neutral,0.727378249168396,"{'neutral': 0.727378249168396, 'negative': 0.18749499320983887, 'positive': 0.08512675762176514}",anger,0.5142213702201843,"{'anger': 0.5142213702201843, 'disgust': 0.2620408833026886, 'optimism': 0.13476505875587463, 'anticipation': 0.03992350772023201, 'pessimism': 0.011437798850238323, 'sadness': 0.010297092609107494, 'joy': 0.010080013424158096, 'trust': 0.008437484502792358, 'fear': 0.004974167328327894, 'surprise': 0.002924576634541154, 'love': 0.0008980717975646257}",3.0,News/radio/livestream,0.1976937,"RT @The crowd appeared to hang onto Williamson’s every word as she criticized the state of politics and called for an end to “worker exploitation” and the beginning of universal health care, food free of carcinogens, a wealth tax and reparations for the descendants of U.S. slaves.",crowd appeared hang williamsons word criticized state politics called end worker exploitation beginning universal health care food free carcinogen wealth tax reparation descendant  slave,"[('state', [1, 8]), ('worker', [1, 8]), ('called', [1, 2]), ('crowd', [6, 2]), ('care', [1, 2]), ('health', [1, 8]), ('end', [1, 2]), ('slave', [8]), ('tax', [1]), ('word', [1, 2]), ('free', [1, 6]), ('appeared', [6, 2]), ('beginning', [1, 6]), ('politics', [1, 6]), ('wealth', [1, 8]), ('criticized', [2]), ('food', [1, 8]), ('universal', [1]), ('hang', [3, 2]), ('carcinogen', [3]), ('descendant', [3]), ('exploitation', [8]), ('reparation', [3]), ('williamsons', [3])]","[('state', ['American/economics/health', 'Infrastructure/job/energy']), ('worker', ['American/economics/health', 'Infrastructure/job/energy']), ('called', ['American/economics/health', 'War']), ('crowd', ['Election/debate', 'War']), ('care', ['American/economics/health', 'War']), ('health', ['American/economics/health', 'Infrastructure/job/energy']), ('end', ['American/economics/health', 'War']), ('slave', ['Infrastructure/job/energy']), ('tax', ['American/economics/health']), ('word', ['American/economics/health', 'War']), ('free', ['American/economics/health', 'Election/debate']), ('appeared', ['Election/debate', 'War']), ('beginning', ['American/economics/health', 'Election/debate']), ('politics', ['American/economics/health', 'Election/debate']), ('wealth', ['American/economics/health', 'Infrastructure/job/energy']), ('criticized', ['War']), ('food', ['American/economics/health', 'Infrastructure/job/energy']), ('universal', ['American/economics/health']), ('hang', ['News/radio/livestream', 'War']), ('carcinogen', ['News/radio/livestream']), ('descendant', ['News/radio/livestream']), ('exploitation', ['Infrastructure/job/energy']), ('reparation', ['News/radio/livestream']), ('williamsons', ['News/radio/livestream'])]"
marwilliamson,2023-08-01 14:18:35+00:00,1,American/economics/health,0.4724079,negative,0.923220157623291,"{'negative': 0.923220157623291, 'neutral': 0.0704527422785759, 'positive': 0.006327140145003796}",anger,0.5692923069000244,"{'anger': 0.5692923069000244, 'disgust': 0.40493151545524597, 'sadness': 0.012347118929028511, 'fear': 0.009886776097118855, 'pessimism': 0.002171048428863287, 'anticipation': 0.0005235159187577665, 'surprise': 0.00033324933610856533, 'optimism': 0.00020128667529206723, 'joy': 0.00012901316222269088, 'trust': 0.00010641227709129453, 'love': 7.771957461955026e-05}",2.0,War,0.42031878,Treating this as anything less than a climate emergency is a moral crime against humanity.,treating climate emergency moral crime humanity,"[('crime', [1, 2]), ('emergency', [1, 2]), ('climate', [1, 2]), ('moral', [2]), ('treating', [1]), ('humanity', [2])]","[('crime', ['American/economics/health', 'War']), ('emergency', ['American/economics/health', 'War']), ('climate', ['American/economics/health', 'War']), ('moral', ['War']), ('treating', ['American/economics/health']), ('humanity', ['War'])]"
marwilliamson,2023-08-01 22:02:13+00:00,1,American/economics/health,0.62355787,negative,0.9281752109527588,"{'negative': 0.9281752109527588, 'neutral': 0.06534815579652786, 'positive': 0.0064766365103423595}",anger,0.6536991000175476,"{'anger': 0.6536991000175476, 'disgust': 0.33520498871803284, 'sadness': 0.00789530761539936, 'fear': 0.0011552248615771532, 'pessimism': 0.0011114801745861769, 'anticipation': 0.00031053158454596996, 'surprise': 0.000180376460775733, 'joy': 0.0001570205931784585, 'optimism': 0.0001429834810551256, 'love': 7.394266867777333e-05, 'trust': 6.904121983097866e-05}",2.0,War,0.17706786,"Children are dying doing jobs no child should even be allowed to work at. Yet states are continuing to gut child labor laws. As president, I will use every power at my behest to stop this. What a crass and disgusting display of soulless economics over the love of human beings.",child dying job child allowed work state continuing gut child labor law president use power behest stop crass disgusting display soulless economics love human being,"[('state', [1, 2]), ('job', [1, 2]), ('law', [1, 2]), ('allowed', [1, 2]), ('president', [1, 2]), ('power', [1, 2]), ('work', [1, 2]), ('display', [2, 3]), ('love', [2, 1]), ('child', [1, 2]), ('use', [1, 2]), ('stop', [1, 2]), ('human', [2, 1]), ('labor', [1]), ('continuing', [1]), ('disgusting', [2]), ('dying', [1]), ('economics', [1]), ('gut', [1, 3]), ('being', [3]), ('soulless', [3]), ('behest', [3]), ('crass', [3])]","[('state', ['American/economics/health', 'War']), ('job', ['American/economics/health', 'War']), ('law', ['American/economics/health', 'War']), ('allowed', ['American/economics/health', 'War']), ('president', ['American/economics/health', 'War']), ('power', ['American/economics/health', 'War']), ('work', ['American/economics/health', 'War']), ('display', ['War', 'News/radio/livestream']), ('love', ['War', 'American/economics/health']), ('child', ['American/economics/health', 'War']), ('use', ['American/economics/health', 'War']), ('stop', ['American/economics/health', 'War']), ('human', ['War', 'American/economics/health']), ('labor', ['American/economics/health']), ('continuing', ['American/economics/health']), ('disgusting', ['War']), ('dying', ['American/economics/health']), ('economics', ['American/economics/health']), ('gut', ['American/economics/health', 'News/radio/livestream']), ('being', ['News/radio/livestream']), ('soulless', ['News/radio/livestream']), ('behest', ['News/radio/livestream']), ('crass', ['News/radio/livestream'])]"
marwilliamson,2023-08-20 13:39:42+00:00,1,American/economics/health,0.68956524,negative,0.9162514209747314,"{'negative': 0.9162514209747314, 'neutral': 0.07668235152959824, 'positive': 0.00706629129126668}",anger,0.4993850886821747,"{'anger': 0.4993850886821747, 'disgust': 0.4683166742324829, 'sadness': 0.018353285267949104, 'fear': 0.010418220423161983, 'pessimism': 0.00215347483754158, 'anticipation': 0.00047256352263502777, 'surprise': 0.00045729163684882224, 'optimism': 0.00013364771439228207, 'joy': 0.00012414215598255396, 'trust': 9.804413275560364e-05, 'love': 8.751142013352364e-05}",2.0,War,0.21650445,Continued fossil fuel extraction is at this point a crime against humanity.,continued fossil fuel extraction point crime humanity,"[('crime', [1, 2]), ('point', [1, 2]), ('fuel', [1]), ('continued', [1, 2]), ('fossil', [1]), ('humanity', [2]), ('extraction', [1])]","[('crime', ['American/economics/health', 'War']), ('point', ['American/economics/health', 'War']), ('fuel', ['American/economics/health']), ('continued', ['American/economics/health', 'War']), ('fossil', ['American/economics/health']), ('humanity', ['War']), ('extraction', ['American/economics/health'])]"
marwilliamson,2023-08-16 03:23:16+00:00,1,American/economics/health,0.60804945,negative,0.9300597906112672,"{'negative': 0.9300597906112671, 'neutral': 0.06433230638504028, 'positive': 0.005607918370515108}",anger,0.496648758649826,"{'anger': 0.49664875864982605, 'disgust': 0.42919591069221497, 'sadness': 0.06458831578493118, 'pessimism': 0.005963423289358616, 'fear': 0.0015291402814909816, 'anticipation': 0.000771726539824158, 'surprise': 0.0006589284748770297, 'optimism': 0.0002290162956342101, 'joy': 0.00022284405713435262, 'trust': 0.00011122202704427764, 'love': 8.064195571932942e-05}",2.0,War,0.35022062,"The biggest problem is that whoever wrote this tweet didn’t even realize how outrageous it is. A one-time $700 assistance check to an entire household that just lost everything… Note that that is considered the “serious” people. If you’re not more serious than that about human suffering, then you’re not serious at all.",biggest problem wrote tweet realize outrageous time assistance check entire household lost note considered people human suffering,"[('people', [1, 2]), ('suffering', [1, 2]), ('problem', [1, 2]), ('time', [1, 2]), ('lost', [1, 2]), ('entire', [2, 1]), ('biggest', [1, 2]), ('realize', [2]), ('wrote', [1, 2]), ('human', [2, 1]), ('note', [1, 2]), ('check', [1, 2]), ('household', [1]), ('outrageous', [1]), ('assistance', [1]), ('considered', [2, 1]), ('tweet', [2])]","[('people', ['American/economics/health', 'War']), ('suffering', ['American/economics/health', 'War']), ('problem', ['American/economics/health', 'War']), ('time', ['American/economics/health', 'War']), ('lost', ['American/economics/health', 'War']), ('entire', ['War', 'American/economics/health']), ('biggest', ['American/economics/health', 'War']), ('realize', ['War']), ('wrote', ['American/economics/health', 'War']), ('human', ['War', 'American/economics/health']), ('note', ['American/economics/health', 'War']), ('check', ['American/economics/health', 'War']), ('household', ['American/economics/health']), ('outrageous', ['American/economics/health']), ('assistance', ['American/economics/health']), ('considered', ['War', 'American/economics/health']), ('tweet', ['War'])]"
marwilliamson,2023-08-07 03:33:53+00:00,1,American/economics/health,0.43255505,negative,0.8904417753219604,"{'negative': 0.8904417753219604, 'neutral': 0.09480370581150055, 'positive': 0.01475452072918415}",anger,0.6745147705078125,"{'anger': 0.6745147705078125, 'disgust': 0.31858471035957336, 'sadness': 0.002592681674286723, 'fear': 0.001401872606948018, 'pessimism': 0.000975464005023241, 'anticipation': 0.0007606252329424024, 'surprise': 0.00041060286457650363, 'optimism': 0.00032591543276794255, 'joy': 0.0002584851754363626, 'trust': 0.00011145733151352033, 'love': 6.340226536849514e-05}",2.0,War,0.4172442,"This should never, ever happen in the richest country in the world.",happen richest country world,"[('world', [2, 1]), ('happen', [2, 1]), ('country', [2, 1]), ('richest', [1])]","[('world', ['War', 'American/economics/health']), ('happen', ['War', 'American/economics/health']), ('country', ['War', 'American/economics/health']), ('richest', ['American/economics/health'])]"
marwilliamson,2023-08-11 16:18:20+00:00,1,American/economics/health,0.35280442,negative,0.5498001575469971,"{'negative': 0.5498001575469971, 'neutral': 0.4243108332157135, 'positive': 0.025888992473483086}",anger,0.6821283102035522,"{'anger': 0.6821283102035522, 'disgust': 0.25795605778694153, 'anticipation': 0.02053213119506836, 'optimism': 0.01721992716193199, 'pessimism': 0.008059264160692692, 'sadness': 0.005459779407829046, 'fear': 0.003535099094733596, 'trust': 0.0024706097319722176, 'surprise': 0.0012619938934221864, 'joy': 0.001112728496082127, 'love': 0.0002640624006744474}",4.0,Republicans vs democrats,0.32687363,"New Hampshire school officials are tabling a plan to give students credit for an online course from Prager U. That is what happens when people stand up and use their voices, set their boundaries and draw their line. The plan will be brought up again, and Granite Staters need to reject it again. This is not a time to disinform or miseducate our children. It’s a form of sabotage - of them and of our democracy - that must not be allowed.",hampshire school official tabling plan student credit online course prager happens people stand use voice set boundary draw line plan brought granite stater need reject time disinform miseducate child form sabotage democracy allowed,"[('democracy', [7, 4]), ('official', [4, 5]), ('people', [1, 4]), ('allowed', [4, 1]), ('time', [1, 4]), ('form', [4, 7]), ('need', [1, 4]), ('student', [1, 5]), ('school', [1, 5]), ('child', [1, 5]), ('use', [1, 4]), ('plan', [1, 4]), ('happens', [4, 1]), ('online', [4, 1]), ('set', [4, 1]), ('stand', [7, 1]), ('voice', [7, 1]), ('brought', [4, 1]), ('line', [1, 5]), ('course', [4, 1]), ('credit', [1]), ('hampshire', [5, 1]), ('sabotage', [4]), ('draw', [4, 7]), ('reject', [7, 4]), ('granite', [5]), ('stater', [5]), ('boundary', [7, 1]), ('disinform', [1]), ('miseducate', [4, 1]), ('prager', [4]), ('tabling', [4])]","[('democracy', ['Abortion/rights/guns', 'Republicans vs democrats']), ('official', ['Republicans vs democrats', 'Border/community/family']), ('people', ['American/economics/health', 'Republicans vs democrats']), ('allowed', ['Republicans vs democrats', 'American/economics/health']), ('time', ['American/economics/health', 'Republicans vs democrats']), ('form', ['Republicans vs democrats', 'Abortion/rights/guns']), ('need', ['American/economics/health', 'Republicans vs democrats']), ('student', ['American/economics/health', 'Border/community/family']), ('school', ['American/economics/health', 'Border/community/family']), ('child', ['American/economics/health', 'Border/community/family']), ('use', ['American/economics/health', 'Republicans vs democrats']), ('plan', ['American/economics/health', 'Republicans vs democrats']), ('happens', ['Republicans vs democrats', 'American/economics/health']), ('online', ['Republicans vs democrats', 'American/economics/health']), ('set', ['Republicans vs democrats', 'American/economics/health']), ('stand', ['Abortion/rights/guns', 'American/economics/health']), ('voice', ['Abortion/rights/guns', 'American/economics/health']), ('brought', ['Republicans vs democrats', 'American/economics/health']), ('line', ['American/economics/health', 'Border/community/family']), ('course', ['Republicans vs democrats', 'American/economics/health']), ('credit', ['American/economics/health']), ('hampshire', ['Border/community/family', 'American/economics/health']), ('sabotage', ['Republicans vs democrats']), ('draw', ['Republicans vs democrats', 'Abortion/rights/guns']), ('reject', ['Abortion/rights/guns', 'Republicans vs democrats']), ('granite', ['Border/community/family']), ('stater', ['Border/community/family']), ('boundary', ['Abortion/rights/guns', 'American/economics/health']), ('disinform', ['American/economics/health']), ('miseducate', ['Republicans vs democrats', 'American/economics/health']), ('prager', ['Republicans vs democrats']), ('tabling', ['Republicans vs democrats'])]"
marwilliamson,2023-08-02 19:07:46+00:00,1,American/economics/health,0.7269781,negative,0.7488073110580444,"{'negative': 0.7488073110580444, 'neutral': 0.239382803440094, 'positive': 0.01180986873805523}",anger,0.5281973481178284,"{'anger': 0.5281973481178284, 'disgust': 0.4381982684135437, 'sadness': 0.020260250195860863, 'pessimism': 0.007334458641707897, 'anticipation': 0.0023455785121768713, 'fear': 0.0013132782187312841, 'optimism': 0.0010780374286696315, 'surprise': 0.0005765904206782579, 'joy': 0.00036370891029946506, 'trust': 0.00025311167701147497, 'love': 7.937502232380211e-05}",2.0,War,0.121250845,"Migrants overwhelming our systems isn’t a problem that came from nowhere. Stems in part from decades of US policy in Latin America, created by arrogant policy-makers w/ simplistic notions of the world like kids playing legos at the cost of people’s lives. https://t.co/GNLJ9Usbc2",migrant overwhelming system problem came stem decade policy latin america created arrogant policy maker  simplistic notion world like kid playing lego cost people life,"[('decade', [1, 8]), ('world', [1, 2]), ('people', [1, 2]), ('america', [1, 2]), ('problem', [1, 2]), ('like', [1, 2]), ('system', [1, 8]), ('came', [1, 2]), ('migrant', [1]), ('life', [1, 2]), ('playing', [1, 8]), ('kid', [1, 2]), ('cost', [1]), ('created', [1, 8]), ('policy', [1, 2]), ('overwhelming', [1]), ('maker', [3]), ('notion', [1, 2]), ('stem', [8]), ('simplistic', [1, 2]), ('arrogant', [2]), ('latin', [1]), ('lego', [1])]","[('decade', ['American/economics/health', 'Infrastructure/job/energy']), ('world', ['American/economics/health', 'War']), ('people', ['American/economics/health', 'War']), ('america', ['American/economics/health', 'War']), ('problem', ['American/economics/health', 'War']), ('like', ['American/economics/health', 'War']), ('system', ['American/economics/health', 'Infrastructure/job/energy']), ('came', ['American/economics/health', 'War']), ('migrant', ['American/economics/health']), ('life', ['American/economics/health', 'War']), ('playing', ['American/economics/health', 'Infrastructure/job/energy']), ('kid', ['American/economics/health', 'War']), ('cost', ['American/economics/health']), ('created', ['American/economics/health', 'Infrastructure/job/energy']), ('policy', ['American/economics/health', 'War']), ('overwhelming', ['American/economics/health']), ('maker', ['News/radio/livestream']), ('notion', ['American/economics/health', 'War']), ('stem', ['Infrastructure/job/energy']), ('simplistic', ['American/economics/health', 'War']), ('arrogant', ['War']), ('latin', ['American/economics/health']), ('lego', ['American/economics/health'])]"
