username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
marwilliamson,2023-07-08 20:26:33+00:00,2,War,0.62998074,negative,0.9416402578353882,"{'negative': 0.9416402578353882, 'neutral': 0.05370905250310898, 'positive': 0.004650742281228304}",anger,0.5538294315338135,"{'anger': 0.5538294315338135, 'disgust': 0.3654710054397583, 'fear': 0.04023468494415283, 'sadness': 0.023049337789416313, 'pessimism': 0.011167711578309536, 'optimism': 0.0029290630482137203, 'anticipation': 0.0018069535726681352, 'trust': 0.000578452309127897, 'surprise': 0.000570273376069963, 'joy': 0.00019992263696622103, 'love': 0.0001632041676202789}",7.0,Abortion/rights/guns,0.2357376,"Sending cluster bombs to Ukraine is a terrible idea. An inhumane decision. Even in the midst of war, we must hold onto our humanity. https://t.co/iMvYjoeJ1v",sending cluster bomb ukraine terrible idea inhumane decision midst war hold humanity,"[('war', [2]), ('decision', [7]), ('ukraine', [2]), ('bomb', [2]), ('idea', [2, 7]), ('sending', [2, 7]), ('terrible', [2, 7]), ('hold', [7, 2]), ('inhumane', [7]), ('humanity', [2, 7]), ('midst', [3]), ('cluster', [2])]","[('war', ['War']), ('decision', ['Abortion/rights/guns']), ('ukraine', ['War']), ('bomb', ['War']), ('idea', ['War', 'Abortion/rights/guns']), ('sending', ['War', 'Abortion/rights/guns']), ('terrible', ['War', 'Abortion/rights/guns']), ('hold', ['Abortion/rights/guns', 'War']), ('inhumane', ['Abortion/rights/guns']), ('humanity', ['War', 'Abortion/rights/guns']), ('midst', ['News/radio/livestream']), ('cluster', ['War'])]"
marwilliamson,2023-06-27 12:22:01+00:00,2,War,0.5867435,negative,0.7887666821479797,"{'negative': 0.7887666821479797, 'neutral': 0.2027587890625, 'positive': 0.008474490605294704}",anger,0.5005573630332947,"{'anger': 0.5005573630332947, 'disgust': 0.30793166160583496, 'anticipation': 0.08266807347536087, 'fear': 0.0547342412173748, 'optimism': 0.01615840382874012, 'pessimism': 0.015937136486172676, 'sadness': 0.00886860303580761, 'surprise': 0.0060507082380354404, 'trust': 0.005386825650930405, 'joy': 0.0012231605360284448, 'love': 0.0004838775785174221}",6.0,Election/debate,0.3755097,The White House says Indian PM Modi’s visit is part of an effort to counter China. That is exactly the wrong mentality - similar to our attitude toward Russia that helped provoke the war in Ukraine.🧵,white house say indian  modis visit effort counter china exactly wrong mentality similar attitude russia helped provoke war ukraine,"[('russia', [2]), ('war', [2, 6]), ('ukraine', [2, 6]), ('house', [6, 2]), ('similar', [6]), ('china', [2]), ('exactly', [2, 6]), ('say', [2, 6]), ('white', [2, 6]), ('effort', [6, 2]), ('helped', [6]), ('wrong', [2, 6]), ('visit', [6, 2]), ('counter', [2]), ('indian', [6]), ('attitude', [2]), ('mentality', [2]), ('modis', [2]), ('provoke', [6])]","[('russia', ['War']), ('war', ['War', 'Election/debate']), ('ukraine', ['War', 'Election/debate']), ('house', ['Election/debate', 'War']), ('similar', ['Election/debate']), ('china', ['War']), ('exactly', ['War', 'Election/debate']), ('say', ['War', 'Election/debate']), ('white', ['War', 'Election/debate']), ('effort', ['Election/debate', 'War']), ('helped', ['Election/debate']), ('wrong', ['War', 'Election/debate']), ('visit', ['Election/debate', 'War']), ('counter', ['War']), ('indian', ['Election/debate']), ('attitude', ['War']), ('mentality', ['War']), ('modis', ['War']), ('provoke', ['Election/debate'])]"
marwilliamson,2023-06-17 18:28:40+00:00,2,War,0.7820455,negative,0.5449867248535156,"{'negative': 0.5449867248535156, 'neutral': 0.4313689172267914, 'positive': 0.02364441193640232}",anger,0.3564323484897613,"{'anger': 0.35643234848976135, 'disgust': 0.22077365219593048, 'optimism': 0.17966575920581818, 'anticipation': 0.09442803263664246, 'fear': 0.08196836709976196, 'pessimism': 0.024845736101269722, 'trust': 0.020601609721779823, 'sadness': 0.01217668317258358, 'surprise': 0.005002301651984453, 'joy': 0.002938722027465701, 'love': 0.0011668289080262184}",1.0,American/economics/health,0.16416976,Corporate power in this country now forms a single matrix of inexorable control. We need to end that control before it ends us. Full interview with @RustyRockets https://t.co/rtoVVpu7N6 https://t.co/40bLvDLm2i,corporate power country form single matrix inexorable control need end control end interview,"[('interview', [2]), ('control', [2, 1]), ('form', [2, 1]), ('power', [2, 1]), ('need', [2, 1]), ('country', [2, 1]), ('single', [2, 1]), ('end', [2, 1]), ('corporate', [1, 2]), ('matrix', [2]), ('inexorable', [2])]","[('interview', ['War']), ('control', ['War', 'American/economics/health']), ('form', ['War', 'American/economics/health']), ('power', ['War', 'American/economics/health']), ('need', ['War', 'American/economics/health']), ('country', ['War', 'American/economics/health']), ('single', ['War', 'American/economics/health']), ('end', ['War', 'American/economics/health']), ('corporate', ['American/economics/health', 'War']), ('matrix', ['War']), ('inexorable', ['War'])]"
marwilliamson,2023-06-04 08:18:35+00:00,2,War,0.5894021,negative,0.7445711493492126,"{'negative': 0.7445711493492126, 'neutral': 0.24374744296073914, 'positive': 0.011681418865919113}",anger,0.7391329407691956,"{'anger': 0.7391329407691956, 'disgust': 0.23320631682872772, 'fear': 0.015825122594833374, 'anticipation': 0.003970963414758444, 'optimism': 0.0021385469008237123, 'pessimism': 0.001943434588611126, 'sadness': 0.0018743769032880664, 'surprise': 0.0007405707729049027, 'trust': 0.000567847047932446, 'joy': 0.00044060673099011183, 'love': 0.00015917728887870908}",5.0,Border/community/family,0.31032193,"What's going on here? In America, if a citizen wants to say ""This is why we don't like cops here,"" they get to say that. Cops don't then get to attack them for daring to say it. Police should be present at Gay Pride to protect the gay population from dangerous prejudice. They're not there to be an expression of it themselves.",going america citizen want like cop cop attack daring police present gay pride protect gay population dangerous prejudice expression,"[('attack', [2, 5]), ('citizen', [2, 5]), ('america', [2, 5]), ('police', [2, 5]), ('like', [2, 5]), ('going', [2, 5]), ('want', [2, 5]), ('protect', [5, 2]), ('prejudice', [2]), ('population', [5, 6]), ('present', [5, 6]), ('gay', [2]), ('cop', [2, 5]), ('dangerous', [2, 5]), ('pride', [5]), ('expression', [2, 5]), ('daring', [6])]","[('attack', ['War', 'Border/community/family']), ('citizen', ['War', 'Border/community/family']), ('america', ['War', 'Border/community/family']), ('police', ['War', 'Border/community/family']), ('like', ['War', 'Border/community/family']), ('going', ['War', 'Border/community/family']), ('want', ['War', 'Border/community/family']), ('protect', ['Border/community/family', 'War']), ('prejudice', ['War']), ('population', ['Border/community/family', 'Election/debate']), ('present', ['Border/community/family', 'Election/debate']), ('gay', ['War']), ('cop', ['War', 'Border/community/family']), ('dangerous', ['War', 'Border/community/family']), ('pride', ['Border/community/family']), ('expression', ['War', 'Border/community/family']), ('daring', ['Election/debate'])]"
marwilliamson,2023-06-03 19:02:21+00:00,2,War,0.5431778,neutral,0.39531010389328,"{'neutral': 0.39531010389328003, 'negative': 0.30976587533950806, 'positive': 0.2949240207672119}",anger,0.7269915342330933,"{'anger': 0.7269915342330933, 'disgust': 0.19178687036037445, 'joy': 0.04145579785108566, 'optimism': 0.024390583857893944, 'anticipation': 0.005383440293371677, 'sadness': 0.002186774741858244, 'fear': 0.001994488760828972, 'trust': 0.0018939077854156494, 'pessimism': 0.0014176383847370744, 'surprise': 0.0013575094053521752, 'love': 0.0011414228938519955}",6.0,Election/debate,0.38167745,Excellent!! Note to any State legislators trying to do something similar: Fascism and the US Constitution do not align.,excellent note state legislator trying similar fascism constitution align,"[('state', [6, 2]), ('similar', [6]), ('trying', [2, 6]), ('constitution', [2]), ('note', [6, 2]), ('fascism', [2, 6]), ('excellent', [2]), ('align', [2]), ('legislator', [6])]","[('state', ['Election/debate', 'War']), ('similar', ['Election/debate']), ('trying', ['War', 'Election/debate']), ('constitution', ['War']), ('note', ['Election/debate', 'War']), ('fascism', ['War', 'Election/debate']), ('excellent', ['War']), ('align', ['War']), ('legislator', ['Election/debate'])]"
marwilliamson,2023-08-06 12:09:19+00:00,2,War,0.854019,negative,0.8652883768081665,"{'negative': 0.8652883768081665, 'neutral': 0.12300512194633484, 'positive': 0.0117065804079175}",anger,0.6199586987495422,"{'anger': 0.6199586987495422, 'disgust': 0.20683632791042328, 'optimism': 0.09898112714290619, 'anticipation': 0.021309180185198784, 'pessimism': 0.016262339428067207, 'fear': 0.014939199201762676, 'sadness': 0.009742149151861668, 'trust': 0.00844018254429102, 'joy': 0.0014580177376046777, 'surprise': 0.0014030172023922205, 'love': 0.0006697827484458685}",4.0,Republicans vs democrats,0.020865845,This is 2016 all over again. And the same group of people are telling us that they have everything under control! We must not fall for that again.,group people telling control fall,"[('group', [2]), ('people', [2]), ('control', [2]), ('telling', [2]), ('fall', [2])]","[('group', ['War']), ('people', ['War']), ('control', ['War']), ('telling', ['War']), ('fall', ['War'])]"
marwilliamson,2023-06-26 08:19:52+00:00,2,War,0.9582265,negative,0.8241427540779114,"{'negative': 0.8241427540779114, 'neutral': 0.16897164285182953, 'positive': 0.006885674316436052}",anger,0.4674385786056518,"{'anger': 0.46743857860565186, 'disgust': 0.3072320222854614, 'fear': 0.1620893031358719, 'pessimism': 0.018516317009925842, 'sadness': 0.017128976061940193, 'optimism': 0.01529663149267435, 'anticipation': 0.008216047659516335, 'trust': 0.002131121000275016, 'surprise': 0.0011785168899223208, 'joy': 0.0004484883393160999, 'love': 0.00032397315953858197}",,,,"Whether it’s the militarization of our domestic police or the over militarization of our foreign policy, the United States uses state violence to control the symptoms of human suffering when for the same amount of money used in a much different way we could actually help end it.",militarization domestic police militarization foreign policy united state  state violence control symptom human suffering money different way actually help end,"[('state', [2]), ('united', [2]), ('way', [2]), ('suffering', [2]), ('money', [2]), ('police', [2]), ('different', [2]), ('control', [2]), ('help', [2]), ('violence', [2]), ('actually', [2]), ('end', [2]), ('human', [2]), ('policy', [2]), ('foreign', [2]), ('domestic', [2]), ('symptom', [2]), ('militarization', [2])]","[('state', ['War']), ('united', ['War']), ('way', ['War']), ('suffering', ['War']), ('money', ['War']), ('police', ['War']), ('different', ['War']), ('control', ['War']), ('help', ['War']), ('violence', ['War']), ('actually', ['War']), ('end', ['War']), ('human', ['War']), ('policy', ['War']), ('foreign', ['War']), ('domestic', ['War']), ('symptom', ['War']), ('militarization', ['War'])]"
marwilliamson,2023-07-15 19:46:51+00:00,2,War,0.6118373,negative,0.8734990358352661,"{'negative': 0.8734990358352661, 'neutral': 0.1215643584728241, 'positive': 0.004936601500958204}",anger,0.5916012525558472,"{'anger': 0.5916012525558472, 'disgust': 0.355337917804718, 'fear': 0.044614195823669434, 'sadness': 0.003192037111148238, 'pessimism': 0.0016873993445187807, 'anticipation': 0.0013012961717322469, 'surprise': 0.0012571208644658327, 'optimism': 0.00042307304101996124, 'joy': 0.00023975895601324737, 'trust': 0.00021294323960319161, 'love': 0.00013299619604367763}",4.0,Republicans vs democrats,0.15798557,"I strongly denounce comments made earlier this week by RFK Jr. implying that Ashkenazi Jews and Chinese were relatively ""spared"" by COVID-19, while Caucasian and Black people were specifically targeted. Whether intentionally or not, his remarks amplify sinister and unfounded notions that are both anti-Semitic and anti-Chinese.🧵",strongly denounce comment earlier week rfk  implying ashkenazi jew chinese relatively spared covid caucasian black people specifically targeted intentionally remark amplify sinister unfounded notion anti semitic anti chinese,"[('specifically', [4, 8]), ('week', [6, 4]), ('comment', [2, 4]), ('jew', [2]), ('people', [2, 4]), ('strongly', [2, 4]), ('black', [2, 7]), ('earlier', [4, 6]), ('intentionally', [2]), ('covid', [2, 4]), ('denounce', [7]), ('targeted', [4, 8]), ('anti', [2, 7]), ('rfk', [2, 4]), ('chinese', [2, 4]), ('remark', [7, 4]), ('implying', [8]), ('relatively', [2, 4]), ('notion', [2, 6]), ('amplify', [6]), ('sinister', [2]), ('ashkenazi', [2]), ('caucasian', [2]), ('semitic', [2]), ('spared', [2]), ('unfounded', [2])]","[('specifically', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('week', ['Election/debate', 'Republicans vs democrats']), ('comment', ['War', 'Republicans vs democrats']), ('jew', ['War']), ('people', ['War', 'Republicans vs democrats']), ('strongly', ['War', 'Republicans vs democrats']), ('black', ['War', 'Abortion/rights/guns']), ('earlier', ['Republicans vs democrats', 'Election/debate']), ('intentionally', ['War']), ('covid', ['War', 'Republicans vs democrats']), ('denounce', ['Abortion/rights/guns']), ('targeted', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('anti', ['War', 'Abortion/rights/guns']), ('rfk', ['War', 'Republicans vs democrats']), ('chinese', ['War', 'Republicans vs democrats']), ('remark', ['Abortion/rights/guns', 'Republicans vs democrats']), ('implying', ['Infrastructure/job/energy']), ('relatively', ['War', 'Republicans vs democrats']), ('notion', ['War', 'Election/debate']), ('amplify', ['Election/debate']), ('sinister', ['War']), ('ashkenazi', ['War']), ('caucasian', ['War']), ('semitic', ['War']), ('spared', ['War']), ('unfounded', ['War'])]"
marwilliamson,2023-07-15 19:46:52+00:00,2,War,0.47843242,negative,0.8994616866111755,"{'negative': 0.8994616866111755, 'neutral': 0.09455419331789017, 'positive': 0.005984190851449966}",anger,0.8383349776268005,"{'anger': 0.8383349776268005, 'disgust': 0.1533675640821457, 'optimism': 0.0020960334222763777, 'fear': 0.0015485512558370829, 'anticipation': 0.0012919094879180193, 'sadness': 0.0012664239620789886, 'pessimism': 0.000904810440260917, 'trust': 0.00042704123188741505, 'joy': 0.0003873162204399705, 'surprise': 0.0002313295699423179, 'love': 0.00014399127394426614}",6.0,Election/debate,0.37313777,"Kennedy’s “I’m only asking questions” use of the most anti-Semitic tropes is unacceptable. As a Jewish American candidate in the 2024 presidential race, I stand against this covert racism writ large. Such language serves only to divide us further at a moment when we need desperately to unite.",kennedy asking question use anti semitic trope unacceptable jewish american candidate presidential race stand covert racism writ large language serf divide moment need desperately unite,"[('american', [2, 6]), ('question', [6, 4]), ('need', [2, 6]), ('candidate', [6, 4]), ('presidential', [6, 4]), ('use', [2, 6]), ('racism', [2]), ('asking', [6, 4]), ('language', [6, 2]), ('stand', [2, 6]), ('moment', [2, 6]), ('race', [6, 2]), ('divide', [2, 4]), ('unite', [6, 4]), ('kennedy', [4, 6]), ('large', [6, 2]), ('anti', [2, 4]), ('unacceptable', [2, 4]), ('serf', [4, 6]), ('jewish', [2]), ('covert', [6]), ('desperately', [2, 6]), ('semitic', [2]), ('trope', [2]), ('writ', [2])]","[('american', ['War', 'Election/debate']), ('question', ['Election/debate', 'Republicans vs democrats']), ('need', ['War', 'Election/debate']), ('candidate', ['Election/debate', 'Republicans vs democrats']), ('presidential', ['Election/debate', 'Republicans vs democrats']), ('use', ['War', 'Election/debate']), ('racism', ['War']), ('asking', ['Election/debate', 'Republicans vs democrats']), ('language', ['Election/debate', 'War']), ('stand', ['War', 'Election/debate']), ('moment', ['War', 'Election/debate']), ('race', ['Election/debate', 'War']), ('divide', ['War', 'Republicans vs democrats']), ('unite', ['Election/debate', 'Republicans vs democrats']), ('kennedy', ['Republicans vs democrats', 'Election/debate']), ('large', ['Election/debate', 'War']), ('anti', ['War', 'Republicans vs democrats']), ('unacceptable', ['War', 'Republicans vs democrats']), ('serf', ['Republicans vs democrats', 'Election/debate']), ('jewish', ['War']), ('covert', ['Election/debate']), ('desperately', ['War', 'Election/debate']), ('semitic', ['War']), ('trope', ['War']), ('writ', ['War'])]"
marwilliamson,2023-07-12 10:43:55+00:00,2,War,0.39080912,negative,0.9344075322151184,"{'negative': 0.9344075322151184, 'neutral': 0.05982215702533722, 'positive': 0.0057703545317053795}",anger,0.6504491567611694,"{'anger': 0.6504491567611694, 'disgust': 0.3300279974937439, 'fear': 0.013000691309571266, 'sadness': 0.00252199056558311, 'pessimism': 0.0012929835356771946, 'anticipation': 0.0011840746738016605, 'surprise': 0.0005632865359075367, 'optimism': 0.0004753959074150771, 'trust': 0.00020668035722337663, 'joy': 0.00018167830421589315, 'love': 9.611601853976026e-05}",7.0,Abortion/rights/guns,0.30163023,Cluster bombs should never be deployed. They violate any humane standards of war.,cluster bomb deployed violate humane standard war,"[('war', [2]), ('bomb', [2]), ('standard', [7]), ('violate', [7]), ('humane', [3, 7]), ('deployed', [3]), ('cluster', [2])]","[('war', ['War']), ('bomb', ['War']), ('standard', ['Abortion/rights/guns']), ('violate', ['Abortion/rights/guns']), ('humane', ['News/radio/livestream', 'Abortion/rights/guns']), ('deployed', ['News/radio/livestream']), ('cluster', ['War'])]"
