username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
NikkiHaley,2023-09-10 21:00:08+00:00,7,Abortion/rights/guns,0.35348323,neutral,0.7453124523162842,"{'neutral': 0.7453124523162842, 'negative': 0.23979905247688293, 'positive': 0.01488844770938158}",anger,0.5725616812705994,"{'anger': 0.5725616812705994, 'disgust': 0.27127760648727417, 'anticipation': 0.08335263282060623, 'fear': 0.020648932084441185, 'optimism': 0.019371552392840385, 'pessimism': 0.00782745610922575, 'sadness': 0.0072702509351074696, 'surprise': 0.006703647319227457, 'joy': 0.005590428132563829, 'trust': 0.004679411184042692, 'love': 0.0007164607523009181}",not-hate,0.9732033610343932,"{'not-hate': 0.9732033610343933, 'hate': 0.026796650141477585}",non-offensive,0.8302627801895142,"{'non-offensive': 0.8302627801895142, 'offensive': 0.16973724961280823}",4.0,Republicans vs democrats,0.34019703,RT @TeamHaley: CNN: Amb. @NikkiHaley says she views China ‘as an enemy’ in pointed rebuke https://t.co/7lmUofTDcV,cnn amb say view china enemy pointed rebuke,"[('pointed', [7, 2]), ('china', [2, 4]), ('say', [4, 2]), ('view', [4, 7]), ('enemy', [2, 4]), ('cnn', [4, 2]), ('rebuke', [7]), ('amb', [7])]","[('pointed', ['Abortion/rights/guns', 'War']), ('china', ['War', 'Republicans vs democrats']), ('say', ['Republicans vs democrats', 'War']), ('view', ['Republicans vs democrats', 'Abortion/rights/guns']), ('enemy', ['War', 'Republicans vs democrats']), ('cnn', ['Republicans vs democrats', 'War']), ('rebuke', ['Abortion/rights/guns']), ('amb', ['Abortion/rights/guns'])]"
NikkiHaley,2023-07-18 03:45:17+00:00,7,Abortion/rights/guns,0.53600985,neutral,0.6501567959785461,"{'neutral': 0.6501567959785461, 'negative': 0.319655179977417, 'positive': 0.030188050121068954}",anger,0.3492061495780945,"{'anger': 0.3492061495780945, 'disgust': 0.25161439180374146, 'anticipation': 0.16939127445220947, 'fear': 0.10503081232309341, 'optimism': 0.06253015995025635, 'pessimism': 0.021404411643743515, 'trust': 0.01730950176715851, 'surprise': 0.009684410877525806, 'sadness': 0.009438241831958294, 'joy': 0.0030471899081021547, 'love': 0.0013434890424832702}",not-hate,0.9912823438644408,"{'not-hate': 0.9912823438644409, 'hate': 0.008717650547623634}",non-offensive,0.8821763396263123,"{'non-offensive': 0.8821763396263123, 'offensive': 0.11782369017601013}",8.0,Infrastructure/job/energy,0.3138209,"RT @CUFI: ""America should fight antisemitism, not fund it."" - @NikkiHaley #CUFISummit2023 #ANightToHonorIsrael",america fight antisemitism fund,"[('antisemitism', [7]), ('america', [8, 7]), ('fund', [8, 7]), ('fight', [7, 8])]","[('antisemitism', ['Abortion/rights/guns']), ('america', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('fund', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('fight', ['Abortion/rights/guns', 'Infrastructure/job/energy'])]"
NikkiHaley,2023-09-05 21:30:49+00:00,7,Abortion/rights/guns,0.94154555,negative,0.8056391477584839,"{'negative': 0.8056391477584839, 'neutral': 0.17489424347877502, 'positive': 0.01946662925183773}",anger,0.6818968057632446,"{'anger': 0.6818968057632446, 'disgust': 0.29960885643959045, 'sadness': 0.013495421968400478, 'pessimism': 0.0024567602667957544, 'fear': 0.0010851738043129444, 'anticipation': 0.0005244486383162439, 'optimism': 0.0003367360623087734, 'surprise': 0.0002127229090547189, 'joy': 0.00018460018327459693, 'trust': 0.00011245632776990533, 'love': 8.596233237767592e-05}",not-hate,0.5999990105628967,"{'not-hate': 0.5999990105628967, 'hate': 0.4000009596347809}",non-offensive,0.6245723366737366,"{'non-offensive': 0.6245723366737366, 'offensive': 0.3754276633262634}",,,,This is one of the most important women's rights issues of our time and the so-called feminists have been silent—this is not ok. It's time to ban biological men from women's sports. https://t.co/yRwJmkn3wK,important woman  right issue time called feminist silentthis  time ban biological men woman  sport,"[('ban', [7]), ('called', [7]), ('time', [7]), ('right', [7]), ('important', [7]), ('issue', [7]), ('men', [7]), ('sport', [7]), ('woman', [7]), ('biological', [7]), ('feminist', [7]), ('silentthis', [7])]","[('ban', ['Abortion/rights/guns']), ('called', ['Abortion/rights/guns']), ('time', ['Abortion/rights/guns']), ('right', ['Abortion/rights/guns']), ('important', ['Abortion/rights/guns']), ('issue', ['Abortion/rights/guns']), ('men', ['Abortion/rights/guns']), ('sport', ['Abortion/rights/guns']), ('woman', ['Abortion/rights/guns']), ('biological', ['Abortion/rights/guns']), ('feminist', ['Abortion/rights/guns']), ('silentthis', ['Abortion/rights/guns'])]"
NikkiHaley,2023-08-31 17:38:18+00:00,7,Abortion/rights/guns,0.3909217,neutral,0.9214692115783693,"{'neutral': 0.9214692115783691, 'positive': 0.04791397973895073, 'negative': 0.030616745352745056}",anticipation,0.460015594959259,"{'anticipation': 0.46001559495925903, 'anger': 0.1715182512998581, 'disgust': 0.13681724667549133, 'optimism': 0.10645215958356857, 'joy': 0.03976387530565262, 'trust': 0.02409975416958332, 'surprise': 0.020564233884215355, 'pessimism': 0.014543808065354824, 'sadness': 0.012386475689709187, 'fear': 0.011353584937751293, 'love': 0.002484965603798628}",not-hate,0.9936979413032532,"{'not-hate': 0.9936979413032532, 'hate': 0.006302067544311285}",non-offensive,0.90812885761261,"{'non-offensive': 0.9081288576126099, 'offensive': 0.09187117964029312}",6.0,Election/debate,0.37769526,"RT @PODCAST: Nikki Haley Can Take the Heat Over Defending Parental Rights, Moms For Liberty https://t.co/TmIuGDH9uN @nhgop #nhpolitics #FITN @NikkiHaley",nikki haley heat defending parental right mom liberty,"[('right', [7, 6]), ('defending', [7, 1]), ('mom', [7, 1]), ('liberty', [7]), ('haley', [6]), ('nikki', [6]), ('parental', [6]), ('heat', [1])]","[('right', ['Abortion/rights/guns', 'Election/debate']), ('defending', ['Abortion/rights/guns', 'American/economics/health']), ('mom', ['Abortion/rights/guns', 'American/economics/health']), ('liberty', ['Abortion/rights/guns']), ('haley', ['Election/debate']), ('nikki', ['Election/debate']), ('parental', ['Election/debate']), ('heat', ['American/economics/health'])]"
NikkiHaley,2023-08-12 23:12:03+00:00,7,Abortion/rights/guns,0.68739563,neutral,0.5434116125106812,"{'neutral': 0.5434116125106812, 'positive': 0.43735188245773315, 'negative': 0.019236460328102112}",anticipation,0.7011184692382812,"{'anticipation': 0.7011184692382812, 'joy': 0.0686805248260498, 'surprise': 0.059650275856256485, 'disgust': 0.056028664112091064, 'anger': 0.04467393085360527, 'optimism': 0.026512423530220985, 'sadness': 0.011013340204954147, 'trust': 0.01079289335757494, 'fear': 0.010509653016924858, 'pessimism': 0.009225239977240562, 'love': 0.001794659299775958}",not-hate,0.996298849582672,"{'not-hate': 0.9962988495826721, 'hate': 0.0037011781241744757}",non-offensive,0.8830099701881409,"{'non-offensive': 0.8830099701881409, 'offensive': 0.11698998510837555}",2.0,War,0.18727385,"RT @Watch out @IowaStateFair, these fierce females are on the move — headed to Thrillville then over to the @IowaPork tent! #NothingCompares https://t.co/0fRPbmmkl1",fierce female headed thrillville tent,"[('female', [7]), ('tent', [2]), ('headed', [7]), ('fierce', [7]), ('thrillville', [7])]","[('female', ['Abortion/rights/guns']), ('tent', ['War']), ('headed', ['Abortion/rights/guns']), ('fierce', ['Abortion/rights/guns']), ('thrillville', ['Abortion/rights/guns'])]"
NikkiHaley,2023-08-10 17:30:26+00:00,7,Abortion/rights/guns,0.42016986,neutral,0.6590436697006226,"{'neutral': 0.6590436697006226, 'positive': 0.31331658363342285, 'negative': 0.02763975039124489}",anticipation,0.5314556360244751,"{'anticipation': 0.5314556360244751, 'joy': 0.20516414940357208, 'optimism': 0.09492183476686478, 'disgust': 0.04111138731241226, 'anger': 0.039139438420534134, 'surprise': 0.03351885452866554, 'trust': 0.02211226522922516, 'sadness': 0.013904056511819363, 'pessimism': 0.009172693826258183, 'fear': 0.005616448819637299, 'love': 0.0038832593709230423}",not-hate,0.9975994229316713,"{'not-hate': 0.9975994229316711, 'hate': 0.002400615019723773}",non-offensive,0.8946309089660645,"{'non-offensive': 0.8946309089660645, 'offensive': 0.10536908358335495}",1.0,American/economics/health,0.39181638,"Alright fellas, your turn. https://t.co/mgqrbFFj9g",alright fella turn,"[('turn', [7, 1]), ('alright', [1]), ('fella', [7])]","[('turn', ['Abortion/rights/guns', 'American/economics/health']), ('alright', ['American/economics/health']), ('fella', ['Abortion/rights/guns'])]"
NikkiHaley,2023-08-25 17:38:22+00:00,7,Abortion/rights/guns,0.39152887,neutral,0.6446107029914856,"{'neutral': 0.6446107029914856, 'negative': 0.3395707905292511, 'positive': 0.01581851951777935}",disgust,0.3158015310764313,"{'disgust': 0.3158015310764313, 'anticipation': 0.28275078535079956, 'anger': 0.23048551380634308, 'surprise': 0.04444245621562004, 'sadness': 0.03540562838315964, 'joy': 0.025879355147480965, 'pessimism': 0.021354032680392265, 'optimism': 0.019294993951916695, 'fear': 0.013889752328395844, 'trust': 0.00888543389737606, 'love': 0.0018104861956089735}",hate,0.9810645580291748,"{'hate': 0.9810645580291748, 'not-hate': 0.018935488536953926}",non-offensive,0.7247727513313293,"{'non-offensive': 0.7247727513313293, 'offensive': 0.27522730827331543}",6.0,Election/debate,0.2802734,RT @FoxNews: .@NikkiHaley declares 'biological males don't belong' in girls' locker rooms during primary debate https://t.co/YaGvfq0rrl,declares biological male belong girl locker room primary debate,"[('girl', [7, 6]), ('room', [6, 4]), ('debate', [6, 4]), ('male', [7, 4]), ('primary', [6, 4]), ('declares', [2]), ('belong', [7]), ('biological', [7, 2]), ('locker', [4])]","[('girl', ['Abortion/rights/guns', 'Election/debate']), ('room', ['Election/debate', 'Republicans vs democrats']), ('debate', ['Election/debate', 'Republicans vs democrats']), ('male', ['Abortion/rights/guns', 'Republicans vs democrats']), ('primary', ['Election/debate', 'Republicans vs democrats']), ('declares', ['War']), ('belong', ['Abortion/rights/guns']), ('biological', ['Abortion/rights/guns', 'War']), ('locker', ['Republicans vs democrats'])]"
NikkiHaley,2023-07-29 03:31:30+00:00,7,Abortion/rights/guns,0.4980025,positive,0.7819217443466187,"{'positive': 0.7819217443466187, 'neutral': 0.2156679332256317, 'negative': 0.0024103873874992132}",joy,0.5636290311813354,"{'joy': 0.5636290311813354, 'anticipation': 0.2970852553844452, 'optimism': 0.09717441350221634, 'trust': 0.015159659087657928, 'surprise': 0.013368882238864899, 'love': 0.0037938435561954975, 'anger': 0.002773949643597007, 'disgust': 0.002723661018535495, 'sadness': 0.0017504050629213452, 'pessimism': 0.0013665159931406379, 'fear': 0.0011744297808036208}",not-hate,0.9982535243034364,"{'not-hate': 0.9982535243034363, 'hate': 0.0017464401898905635}",non-offensive,0.9421810507774352,"{'non-offensive': 0.9421810507774353, 'offensive': 0.0578189343214035}",6.0,Election/debate,0.35130215,Come swing by the @TeamHaley suite after the @IowaGOP dinner—we will see you all there! 🇺🇸 🎶 https://t.co/pcaFj5xMcq,come swing suite dinnerwe,"[('come', [6, 7]), ('swing', [6]), ('suite', [7]), ('dinnerwe', [7])]","[('come', ['Election/debate', 'Abortion/rights/guns']), ('swing', ['Election/debate']), ('suite', ['Abortion/rights/guns']), ('dinnerwe', ['Abortion/rights/guns'])]"
NikkiHaley,2023-09-28 06:29:55+00:00,7,Abortion/rights/guns,0.77819246,positive,0.7728419303894043,"{'positive': 0.7728419303894043, 'neutral': 0.19247545301914215, 'negative': 0.034682631492614746}",optimism,0.8385772109031677,"{'optimism': 0.8385772109031677, 'trust': 0.06095433980226517, 'anger': 0.04390185326337814, 'joy': 0.016834387555718422, 'anticipation': 0.015843339264392853, 'disgust': 0.007251855917274952, 'fear': 0.0069559789262712, 'love': 0.00406949408352375, 'pessimism': 0.002559494460001588, 'sadness': 0.0015924175968393683, 'surprise': 0.001459611114114523}",not-hate,0.9970974922180176,"{'not-hate': 0.9970974922180176, 'hate': 0.0029025215189903975}",non-offensive,0.739651620388031,"{'non-offensive': 0.739651620388031, 'offensive': 0.260348379611969}",2.0,War,0.16394235,You should know this about me—I don’t put up with bullies. We'll fight tooth and nail for the American people. Join our movement and let's make history! https://t.co/kvU5E9fcrc,know mei bully fight tooth nail american people join movement let history,"[('american', [7, 2]), ('know', [7, 2]), ('let', [7, 2]), ('people', [7, 2]), ('fight', [7]), ('history', [7, 2]), ('join', [7]), ('movement', [7, 2]), ('bully', [2]), ('nail', [7]), ('tooth', [7]), ('mei', [7])]","[('american', ['Abortion/rights/guns', 'War']), ('know', ['Abortion/rights/guns', 'War']), ('let', ['Abortion/rights/guns', 'War']), ('people', ['Abortion/rights/guns', 'War']), ('fight', ['Abortion/rights/guns']), ('history', ['Abortion/rights/guns', 'War']), ('join', ['Abortion/rights/guns']), ('movement', ['Abortion/rights/guns', 'War']), ('bully', ['War']), ('nail', ['Abortion/rights/guns']), ('tooth', ['Abortion/rights/guns']), ('mei', ['Abortion/rights/guns'])]"
NikkiHaley,2023-09-22 16:40:45+00:00,7,Abortion/rights/guns,0.49058905,positive,0.9614005088806152,"{'positive': 0.9614005088806152, 'neutral': 0.03479050099849701, 'negative': 0.0038089470472186804}",optimism,0.6447814106941223,"{'optimism': 0.6447814106941223, 'joy': 0.33979374170303345, 'trust': 0.007799337152391672, 'love': 0.003162915352731943, 'anticipation': 0.0029361872002482414, 'surprise': 0.00039829869638197124, 'fear': 0.0003050753439310938, 'anger': 0.0002531129866838455, 'sadness': 0.0002342172956559807, 'pessimism': 0.00018285858095623553, 'disgust': 0.00015281554078683257}",not-hate,0.9990635514259338,"{'not-hate': 0.9990635514259338, 'hate': 0.0009364532306790352}",non-offensive,0.9560160636901855,"{'non-offensive': 0.9560160636901855, 'offensive': 0.04398389160633087}",8.0,Infrastructure/job/energy,0.44107974,"Together, we’ll move forward, into a new era of big ideas, better jobs, and the boundless optimism that lifts up everyone, not just a select few. #TheFreedomPlan",forward era big idea better job boundless optimism lift select,"[('job', [8, 7]), ('idea', [8, 7]), ('better', [8, 7]), ('big', [8]), ('forward', [8, 7]), ('select', [7, 8]), ('optimism', [7]), ('lift', [7]), ('era', [7, 8]), ('boundless', [7])]","[('job', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('idea', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('better', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('big', ['Infrastructure/job/energy']), ('forward', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('select', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('optimism', ['Abortion/rights/guns']), ('lift', ['Abortion/rights/guns']), ('era', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('boundless', ['Abortion/rights/guns'])]"
