username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,emotion,emotion_prob,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
NikkiHaley,2023-09-29 00:33:45+00:00,1,American/economics/health,0.56756574,positive,0.9464718103408812,anger,0.5605298280715942,6.0,Election/debate,0.37874967,"This is a great idea, Senator! And that's why I mentioned it during last night's GOP debate and why I unveiled it as part of #TheFreedomPlan. If Congress won't do its job and pass a budget they shouldn't get paid. #NoBudgetNoPay",great idea senator mentioned night  gop debate unveiled congress job pas budget paid,"[('job', [1, 6]), ('congress', [1, 6]), ('idea', [6, 1]), ('senator', [6, 1]), ('paid', [1, 6]), ('debate', [6, 1]), ('gop', [6, 1]), ('great', [6, 1]), ('night', [6]), ('pas', [1, 6]), ('unveiled', [1]), ('budget', [1, 6]), ('mentioned', [1])]","[('job', ['American/economics/health', 'Election/debate']), ('congress', ['American/economics/health', 'Election/debate']), ('idea', ['Election/debate', 'American/economics/health']), ('senator', ['Election/debate', 'American/economics/health']), ('paid', ['American/economics/health', 'Election/debate']), ('debate', ['Election/debate', 'American/economics/health']), ('gop', ['Election/debate', 'American/economics/health']), ('great', ['Election/debate', 'American/economics/health']), ('night', ['Election/debate']), ('pas', ['American/economics/health', 'Election/debate']), ('unveiled', ['American/economics/health']), ('budget', ['American/economics/health', 'Election/debate']), ('mentioned', ['American/economics/health'])]"
NikkiHaley,2023-09-28 17:28:39+00:00,1,American/economics/health,0.8905885,negative,0.8802543878555298,anger,0.5677455067634583,8.0,Infrastructure/job/energy,0.015638208,"If Congress won't do its job and pass a budget they shouldn't get paid. No budget, no pay. https://t.co/BqnLHPvWvD",congress job pas budget paid budget pay,"[('job', [1]), ('congress', [1]), ('paid', [1]), ('pay', [1]), ('pas', [1]), ('budget', [1])]","[('job', ['American/economics/health']), ('congress', ['American/economics/health']), ('paid', ['American/economics/health']), ('pay', ['American/economics/health']), ('pas', ['American/economics/health']), ('budget', ['American/economics/health'])]"
NikkiHaley,2023-10-18 04:13:05+00:00,1,American/economics/health,0.5515736,neutral,0.6213533282279968,anger,0.4249232411384582,2.0,War,0.35456556,Support Israel. Eliminate Hamas. Bring Americans Home. https://t.co/5rM63L8SBu,support israel eliminate hamas bring american home,"[('american', [1, 2]), ('support', [1, 2]), ('israel', [2]), ('hamas', [2]), ('home', [1, 2]), ('bring', [1, 2]), ('eliminate', [1, 2])]","[('american', ['American/economics/health', 'War']), ('support', ['American/economics/health', 'War']), ('israel', ['War']), ('hamas', ['War']), ('home', ['American/economics/health', 'War']), ('bring', ['American/economics/health', 'War']), ('eliminate', ['American/economics/health', 'War'])]"
NikkiHaley,2023-09-22 19:55:26+00:00,1,American/economics/health,0.9124152,negative,0.7367230653762817,anger,0.470934122800827,4.0,Republicans vs democrats,0.012519673,"RT @""If Congress fails to pass a budget, they will fail to get a paycheck. No budget, no pay – that’s a no-brainer."" -- @NikkiHaley",congress fails pas budget fail paycheck budget pay brainer,"[('congress', [1]), ('pay', [1]), ('pas', [1]), ('fails', [1]), ('budget', [1]), ('paycheck', [1]), ('fail', [1]), ('brainer', [1])]","[('congress', ['American/economics/health']), ('pay', ['American/economics/health']), ('pas', ['American/economics/health']), ('fails', ['American/economics/health']), ('budget', ['American/economics/health']), ('paycheck', ['American/economics/health']), ('fail', ['American/economics/health']), ('brainer', ['American/economics/health'])]"
NikkiHaley,2023-09-22 19:55:24+00:00,1,American/economics/health,0.7474488,negative,0.8627414107322693,anger,0.4390521347522735,5.0,Border/community/family,0.20561521,"RT @""...We’re now adding a trillion more every year, with no end in sight. Our children will never forgive us for this."" @NikkiHaley pledges to ""veto any spending bill that doesn’t take us back to pre-covid spending levels."" https://t.co/zeIEUwUVQ1",adding trillion year end sight child forgive pledge veto spending bill pre covid spending level,"[('year', [1, 5]), ('spending', [1, 5]), ('child', [1, 5]), ('end', [1, 5]), ('bill', [1, 5]), ('veto', [1]), ('level', [1, 5]), ('covid', [1, 5]), ('sight', [5]), ('pre', [1]), ('trillion', [1]), ('pledge', [1, 5]), ('adding', [1, 5]), ('forgive', [5])]","[('year', ['American/economics/health', 'Border/community/family']), ('spending', ['American/economics/health', 'Border/community/family']), ('child', ['American/economics/health', 'Border/community/family']), ('end', ['American/economics/health', 'Border/community/family']), ('bill', ['American/economics/health', 'Border/community/family']), ('veto', ['American/economics/health']), ('level', ['American/economics/health', 'Border/community/family']), ('covid', ['American/economics/health', 'Border/community/family']), ('sight', ['Border/community/family']), ('pre', ['American/economics/health']), ('trillion', ['American/economics/health']), ('pledge', ['American/economics/health', 'Border/community/family']), ('adding', ['American/economics/health', 'Border/community/family']), ('forgive', ['Border/community/family'])]"
NikkiHaley,2023-09-28 03:16:53+00:00,1,American/economics/health,0.87496245,negative,0.8205825090408325,anger,0.5991355180740356,7.0,Abortion/rights/guns,0.017868506,"If Congress doesn’t pass a budget, they shouldn’t get paid. No budget, no pay.",congress pas budget paid budget pay,"[('congress', [1]), ('paid', [1]), ('pay', [1]), ('pas', [1]), ('budget', [1])]","[('congress', ['American/economics/health']), ('paid', ['American/economics/health']), ('pay', ['American/economics/health']), ('pas', ['American/economics/health']), ('budget', ['American/economics/health'])]"
NikkiHaley,2023-09-06 15:30:30+00:00,1,American/economics/health,0.8314229,negative,0.8463218212127686,anger,0.5568904280662537,6.0,Election/debate,0.118508466,Both Democrats and Republicans in Washington are part of the problem. Stop the spending. Pass term limits. Have mental competency tests. Make Congress do its job. https://t.co/85wA8mSMrB,democrat republican washington problem stop spending pas term limit mental competency test congress job,"[('test', [1, 6]), ('job', [1, 6]), ('congress', [1, 6]), ('term', [1, 6]), ('problem', [1, 6]), ('spending', [1]), ('republican', [1, 6]), ('limit', [1, 6]), ('washington', [1, 6]), ('mental', [1]), ('democrat', [1, 6]), ('pas', [1]), ('stop', [1, 6]), ('competency', [6])]","[('test', ['American/economics/health', 'Election/debate']), ('job', ['American/economics/health', 'Election/debate']), ('congress', ['American/economics/health', 'Election/debate']), ('term', ['American/economics/health', 'Election/debate']), ('problem', ['American/economics/health', 'Election/debate']), ('spending', ['American/economics/health']), ('republican', ['American/economics/health', 'Election/debate']), ('limit', ['American/economics/health', 'Election/debate']), ('washington', ['American/economics/health', 'Election/debate']), ('mental', ['American/economics/health']), ('democrat', ['American/economics/health', 'Election/debate']), ('pas', ['American/economics/health']), ('stop', ['American/economics/health', 'Election/debate']), ('competency', ['Election/debate'])]"
NikkiHaley,2023-08-18 19:55:14+00:00,1,American/economics/health,0.59298974,negative,0.6378504037857056,anger,0.62645423412323,2.0,War,0.34926012,"As president, I'll make sure no American tax dollars go to enemies who hate America and actively work to hurt and kill us. https://t.co/EExacSMTeF",president sure american tax dollar enemy hate america actively work hurt kill,"[('american', [1, 2]), ('hate', [2]), ('america', [1, 2]), ('president', [1, 2]), ('kill', [2, 1]), ('work', [1, 2]), ('hurt', [1, 2]), ('sure', [1, 2]), ('enemy', [2]), ('dollar', [1]), ('tax', [1]), ('actively', [2, 1])]","[('american', ['American/economics/health', 'War']), ('hate', ['War']), ('america', ['American/economics/health', 'War']), ('president', ['American/economics/health', 'War']), ('kill', ['War', 'American/economics/health']), ('work', ['American/economics/health', 'War']), ('hurt', ['American/economics/health', 'War']), ('sure', ['American/economics/health', 'War']), ('enemy', ['War']), ('dollar', ['American/economics/health']), ('tax', ['American/economics/health']), ('actively', ['War', 'American/economics/health'])]"
NikkiHaley,2023-09-21 19:07:16+00:00,1,American/economics/health,0.6728603,negative,0.8805561661720276,anger,0.3546930849552154,2.0,War,0.25200984,"China has already infiltrated our colleges, our businesses, and our children’s classrooms. We have to treat them like the enemy they are. https://t.co/CcHy2y0PhL",china infiltrated college business childrens classroom treat like enemy,"[('like', [1, 2]), ('china', [2, 1]), ('college', [1]), ('business', [1, 2]), ('enemy', [2]), ('treat', [1, 2]), ('classroom', [1, 2]), ('childrens', [1]), ('infiltrated', [1])]","[('like', ['American/economics/health', 'War']), ('china', ['War', 'American/economics/health']), ('college', ['American/economics/health']), ('business', ['American/economics/health', 'War']), ('enemy', ['War']), ('treat', ['American/economics/health', 'War']), ('classroom', ['American/economics/health', 'War']), ('childrens', ['American/economics/health']), ('infiltrated', ['American/economics/health'])]"
NikkiHaley,2023-08-16 14:18:31+00:00,1,American/economics/health,0.5414279,negative,0.7856554985046387,anger,0.4361088275909424,2.0,War,0.33562985,"The so-called “Inflation Reduction Act” is a communist manifesto filled with tax hikes and green subsidies that benefit China and make America more dependent on Beijing. While Joe Biden cozies up to Xi Jinping, American families are footing the bill for all this spending.",called inflation reduction act communist manifesto filled tax hike green subsidy benefit china america dependent beijing joe biden cozy  jinping american family footing bill spending,"[('beijing', [2, 1]), ('american', [1, 2]), ('biden', [1, 2]), ('america', [1, 2]), ('joe', [1, 2]), ('spending', [1, 2]), ('called', [2, 1]), ('china', [2, 1]), ('act', [1]), ('family', [1, 4]), ('tax', [1]), ('benefit', [1]), ('bill', [1]), ('communist', [2, 4]), ('inflation', [1]), ('green', [1, 2]), ('reduction', [1]), ('filled', [2, 6]), ('dependent', [2]), ('footing', [6]), ('jinping', [2]), ('hike', [1]), ('manifesto', [2]), ('subsidy', [1]), ('cozy', [4])]","[('beijing', ['War', 'American/economics/health']), ('american', ['American/economics/health', 'War']), ('biden', ['American/economics/health', 'War']), ('america', ['American/economics/health', 'War']), ('joe', ['American/economics/health', 'War']), ('spending', ['American/economics/health', 'War']), ('called', ['War', 'American/economics/health']), ('china', ['War', 'American/economics/health']), ('act', ['American/economics/health']), ('family', ['American/economics/health', 'Republicans vs democrats']), ('tax', ['American/economics/health']), ('benefit', ['American/economics/health']), ('bill', ['American/economics/health']), ('communist', ['War', 'Republicans vs democrats']), ('inflation', ['American/economics/health']), ('green', ['American/economics/health', 'War']), ('reduction', ['American/economics/health']), ('filled', ['War', 'Election/debate']), ('dependent', ['War']), ('footing', ['Election/debate']), ('jinping', ['War']), ('hike', ['American/economics/health']), ('manifesto', ['War']), ('subsidy', ['American/economics/health']), ('cozy', ['Republicans vs democrats'])]"
