username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
NikkiHaley,2023-07-18 01:46:25+00:00,5,Border/community/family,0.64055604,negative,0.6810577511787415,"{'negative': 0.6810577511787415, 'neutral': 0.2826080620288849, 'positive': 0.03633418679237366}",anger,0.5857300758361816,"{'anger': 0.5857300758361816, 'disgust': 0.24009659886360168, 'optimism': 0.09550993889570236, 'anticipation': 0.03636849671602249, 'joy': 0.010586677119135857, 'pessimism': 0.010282441973686218, 'sadness': 0.009147107601165771, 'trust': 0.0061884368769824505, 'surprise': 0.002790842205286026, 'fear': 0.002587340073660016, 'love': 0.0007121175876818597}",1.0,American/economics/health,0.32530162,"When Joe Biden took office, he ignored our best friend in the Middle East for a whole month. That’s how long he took to call Israel’s leader. Not me. As president, I’ll call Israel on day one – and I’ll make clear that we stand together! #CUFISummit2023",joe biden took office ignored best friend middle east month long took israel leader president ill israel day ill clear stand,"[('biden', [5, 1]), ('east', [5]), ('middle', [1, 5]), ('israel', [5]), ('office', [1, 5]), ('clear', [1, 5]), ('long', [5, 1]), ('joe', [5, 1]), ('day', [5, 1]), ('ignored', [5, 1]), ('month', [5, 1]), ('president', [5, 1]), ('best', [5, 1]), ('friend', [5, 1]), ('took', [1, 5]), ('ill', [5, 1]), ('leader', [5, 1]), ('stand', [5, 1])]","[('biden', ['Border/community/family', 'American/economics/health']), ('east', ['Border/community/family']), ('middle', ['American/economics/health', 'Border/community/family']), ('israel', ['Border/community/family']), ('office', ['American/economics/health', 'Border/community/family']), ('clear', ['American/economics/health', 'Border/community/family']), ('long', ['Border/community/family', 'American/economics/health']), ('joe', ['Border/community/family', 'American/economics/health']), ('day', ['Border/community/family', 'American/economics/health']), ('ignored', ['Border/community/family', 'American/economics/health']), ('month', ['Border/community/family', 'American/economics/health']), ('president', ['Border/community/family', 'American/economics/health']), ('best', ['Border/community/family', 'American/economics/health']), ('friend', ['Border/community/family', 'American/economics/health']), ('took', ['American/economics/health', 'Border/community/family']), ('ill', ['Border/community/family', 'American/economics/health']), ('leader', ['Border/community/family', 'American/economics/health']), ('stand', ['Border/community/family', 'American/economics/health'])]"
NikkiHaley,2023-07-18 17:29:09+00:00,5,Border/community/family,0.46754146,negative,0.8689351677894592,"{'negative': 0.8689351677894592, 'neutral': 0.12189428508281708, 'positive': 0.009170583449304104}",anger,0.7741343379020691,"{'anger': 0.7741343379020691, 'disgust': 0.21078400313854218, 'sadness': 0.004918499384075403, 'fear': 0.003949184436351061, 'pessimism': 0.00259804492816329, 'optimism': 0.0015597958117723465, 'anticipation': 0.0011769853299483657, 'trust': 0.0002917000383604318, 'joy': 0.00024341393145732582, 'surprise': 0.00022368572535924613, 'love': 0.00012030951620545238}",1.0,American/economics/health,0.44889468,My message to Kim Jong Un: There will be hell to pay if you hurt our American soldier. https://t.co/KvapezbRoR,message kim jong  hell pay hurt american soldier,"[('american', [1, 5]), ('hurt', [1]), ('pay', [1, 5]), ('message', [5, 1]), ('hell', [1]), ('soldier', [5]), ('kim', [5]), ('jong', [5])]","[('american', ['American/economics/health', 'Border/community/family']), ('hurt', ['American/economics/health']), ('pay', ['American/economics/health', 'Border/community/family']), ('message', ['Border/community/family', 'American/economics/health']), ('hell', ['American/economics/health']), ('soldier', ['Border/community/family']), ('kim', ['Border/community/family']), ('jong', ['Border/community/family'])]"
NikkiHaley,2023-07-10 18:12:30+00:00,5,Border/community/family,0.9123496,negative,0.7879306674003601,"{'negative': 0.7879306674003601, 'neutral': 0.20378942787647247, 'positive': 0.008279876783490181}",anger,0.5204755663871765,"{'anger': 0.5204755663871765, 'disgust': 0.41450396180152893, 'fear': 0.044624198228120804, 'sadness': 0.009827428497374058, 'pessimism': 0.005802441388368607, 'anticipation': 0.002165999496355653, 'optimism': 0.0012829119805246592, 'surprise': 0.0006978338933549821, 'trust': 0.00033272666041739285, 'joy': 0.0001806566579034552, 'love': 0.00010620717512210831}",2.0,War,0.012535654,We should stop normal trade relations with China until it stops killing Americans with fentanyl. https://t.co/P7ZmnY4plt,stop normal trade relation china stop killing american fentanyl,"[('american', [5]), ('china', [5]), ('relation', [5]), ('fentanyl', [5]), ('stop', [5]), ('killing', [5]), ('normal', [5]), ('trade', [5])]","[('american', ['Border/community/family']), ('china', ['Border/community/family']), ('relation', ['Border/community/family']), ('fentanyl', ['Border/community/family']), ('stop', ['Border/community/family']), ('killing', ['Border/community/family']), ('normal', ['Border/community/family']), ('trade', ['Border/community/family'])]"
NikkiHaley,2023-08-30 16:35:02+00:00,5,Border/community/family,0.47671995,negative,0.9562122225761414,"{'negative': 0.9562122225761414, 'neutral': 0.03955269604921341, 'positive': 0.0042350078001618385}",anger,0.4927091002464294,"{'anger': 0.49270910024642944, 'disgust': 0.4451456665992737, 'sadness': 0.05439954251050949, 'pessimism': 0.003417123341932893, 'fear': 0.0031061009503901005, 'anticipation': 0.00038989452878013253, 'surprise': 0.00036958520649932325, 'joy': 0.00014352118887472898, 'optimism': 0.00012268798309378326, 'love': 0.00010269828635500744, 'trust': 9.406041499460116e-05}",4.0,Republicans vs democrats,0.22647007,2 years since Biden’s failure in Afghanistan. 13 heroes lost their lives. Their families are ignored and disrespected. No one has been fired or punished. Joe Biden is a disgrace. Heads should roll. https://t.co/nwvdaHteR5,year bidens failure afghanistan hero lost life family ignored disrespected fired punished joe biden disgrace head roll,"[('biden', [4, 5]), ('fired', [4, 5]), ('year', [5, 4]), ('failure', [5, 4]), ('joe', [4, 5]), ('ignored', [4, 5]), ('head', [5, 4]), ('life', [5, 2]), ('lost', [5, 4]), ('bidens', [4, 5]), ('family', [5, 4]), ('hero', [5, 2]), ('roll', [2, 3]), ('afghanistan', [5, 2]), ('punished', [2]), ('disgrace', [2, 5]), ('disrespected', [3])]","[('biden', ['Republicans vs democrats', 'Border/community/family']), ('fired', ['Republicans vs democrats', 'Border/community/family']), ('year', ['Border/community/family', 'Republicans vs democrats']), ('failure', ['Border/community/family', 'Republicans vs democrats']), ('joe', ['Republicans vs democrats', 'Border/community/family']), ('ignored', ['Republicans vs democrats', 'Border/community/family']), ('head', ['Border/community/family', 'Republicans vs democrats']), ('life', ['Border/community/family', 'War']), ('lost', ['Border/community/family', 'Republicans vs democrats']), ('bidens', ['Republicans vs democrats', 'Border/community/family']), ('family', ['Border/community/family', 'Republicans vs democrats']), ('hero', ['Border/community/family', 'War']), ('roll', ['War', 'News/radio/livestream']), ('afghanistan', ['Border/community/family', 'War']), ('punished', ['War']), ('disgrace', ['War', 'Border/community/family']), ('disrespected', ['News/radio/livestream'])]"
NikkiHaley,2023-09-14 19:43:23+00:00,5,Border/community/family,0.46155328,negative,0.947115957736969,"{'negative': 0.947115957736969, 'neutral': 0.046704765409231186, 'positive': 0.00617933226749301}",anger,0.638576865196228,"{'anger': 0.638576865196228, 'disgust': 0.3472307622432709, 'fear': 0.00837935321033001, 'sadness': 0.00362591166049242, 'pessimism': 0.000887966831214726, 'anticipation': 0.000420308526372537, 'surprise': 0.000383292994229123, 'optimism': 0.00015533057739958167, 'joy': 0.00014109196490608156, 'trust': 0.00010534498142078519, 'love': 9.38564699026756e-05}",2.0,War,0.40467334,"The partnership between China, Russia, Iran, and North Korea should send a chill up every American's spine—they all hate America. They're walking all over us because Joe Biden is weak. https://t.co/EYIrni9hok",partnership china russia iran north korea send chill american  spinethey hate america walking joe biden weak,"[('russia', [2, 5]), ('american', [5, 2]), ('biden', [2, 5]), ('hate', [2, 5]), ('america', [2, 5]), ('joe', [5, 2]), ('china', [2, 5]), ('iran', [2, 5]), ('send', [5, 2]), ('north', [5, 6]), ('walking', [5]), ('weak', [2, 5]), ('korea', [5]), ('partnership', [5]), ('chill', [6]), ('spinethey', [2, 5])]","[('russia', ['War', 'Border/community/family']), ('american', ['Border/community/family', 'War']), ('biden', ['War', 'Border/community/family']), ('hate', ['War', 'Border/community/family']), ('america', ['War', 'Border/community/family']), ('joe', ['Border/community/family', 'War']), ('china', ['War', 'Border/community/family']), ('iran', ['War', 'Border/community/family']), ('send', ['Border/community/family', 'War']), ('north', ['Border/community/family', 'Election/debate']), ('walking', ['Border/community/family']), ('weak', ['War', 'Border/community/family']), ('korea', ['Border/community/family']), ('partnership', ['Border/community/family']), ('chill', ['Election/debate']), ('spinethey', ['War', 'Border/community/family'])]"
NikkiHaley,2023-08-29 21:34:37+00:00,5,Border/community/family,0.37956893,negative,0.8964051008224487,"{'negative': 0.8964051008224487, 'neutral': 0.09500802308320999, 'positive': 0.008586915209889412}",anger,0.6046794056892395,"{'anger': 0.6046794056892395, 'disgust': 0.3689793646335602, 'sadness': 0.019714735448360443, 'pessimism': 0.0037541852798312902, 'anticipation': 0.0009326974395662546, 'fear': 0.0008080958505161107, 'optimism': 0.00034429351217113435, 'surprise': 0.00033548695500940084, 'joy': 0.0002612612152006477, 'trust': 0.00012562915799207985, 'love': 6.487553037004545e-05}",6.0,Election/debate,0.37571225,This has nothing to do with Kamala’s race. This has everything to do with Kamala’s incompetence. https://t.co/OCF2l36r1Q,kamalas race kamalas incompetence,"[('race', [6]), ('incompetence', [5]), ('kamalas', [5, 6])]","[('race', ['Election/debate']), ('incompetence', ['Border/community/family']), ('kamalas', ['Border/community/family', 'Election/debate'])]"
NikkiHaley,2023-09-05 19:52:29+00:00,5,Border/community/family,0.45343587,negative,0.8281114101409912,"{'negative': 0.8281114101409912, 'neutral': 0.15927162766456604, 'positive': 0.01261694636195898}",anger,0.7156412601470947,"{'anger': 0.7156412601470947, 'disgust': 0.15003196895122528, 'optimism': 0.09365075826644897, 'joy': 0.01230619102716446, 'anticipation': 0.011390900239348412, 'trust': 0.004717769101262093, 'pessimism': 0.004201504867523909, 'sadness': 0.0036481483839452267, 'fear': 0.0022977907210588455, 'surprise': 0.0012514751870185137, 'love': 0.0008622198365628719}",2.0,War,0.41561186,"The North Korea-Russia meeting is another sign that the dictators of the world are united. Biden has been too weak and Trump was too friendly, even praising Kim Jong Un. Dictators only understand strength.",north korea russia meeting sign dictator world united biden weak trump friendly praising kim jong  dictator understand strength,"[('russia', [2, 5]), ('biden', [2, 5]), ('united', [5, 2]), ('world', [5, 2]), ('trump', [2, 5]), ('meeting', [5, 8]), ('sign', [5, 8]), ('north', [5, 8]), ('understand', [2, 5]), ('weak', [2, 5]), ('dictator', [2]), ('kim', [5]), ('korea', [5]), ('strength', [5, 2]), ('friendly', [2, 8]), ('jong', [5]), ('praising', [8])]","[('russia', ['War', 'Border/community/family']), ('biden', ['War', 'Border/community/family']), ('united', ['Border/community/family', 'War']), ('world', ['Border/community/family', 'War']), ('trump', ['War', 'Border/community/family']), ('meeting', ['Border/community/family', 'Infrastructure/job/energy']), ('sign', ['Border/community/family', 'Infrastructure/job/energy']), ('north', ['Border/community/family', 'Infrastructure/job/energy']), ('understand', ['War', 'Border/community/family']), ('weak', ['War', 'Border/community/family']), ('dictator', ['War']), ('kim', ['Border/community/family']), ('korea', ['Border/community/family']), ('strength', ['Border/community/family', 'War']), ('friendly', ['War', 'Infrastructure/job/energy']), ('jong', ['Border/community/family']), ('praising', ['Infrastructure/job/energy'])]"
NikkiHaley,2023-09-26 19:30:06+00:00,5,Border/community/family,0.5282699,negative,0.8350917100906372,"{'negative': 0.8350917100906372, 'neutral': 0.14204104244709015, 'positive': 0.02286727912724018}",anger,0.6327772736549377,"{'anger': 0.6327772736549377, 'disgust': 0.28891411423683167, 'optimism': 0.02628830075263977, 'joy': 0.021921049803495407, 'fear': 0.010669011622667313, 'anticipation': 0.006931690499186516, 'sadness': 0.0029755723662674427, 'trust': 0.0029418400954455137, 'surprise': 0.0028895074501633644, 'pessimism': 0.0023585385642945766, 'love': 0.0013330942019820213}",4.0,Republicans vs democrats,0.43596038,"China is killing Americans with fentanyl poison. If Joe Biden doesn't hold China accountable, it will only get worse. Thank you @LVOFentanyl for using the power of your voice to demand action at the White House this past weekend!",china killing american fentanyl poison joe biden hold china accountable worse thank power voice demand action white house past weekend,"[('american', [5, 4]), ('biden', [4, 5]), ('action', [5, 4]), ('past', [5, 4]), ('joe', [4, 5]), ('house', [4, 5]), ('china', [4, 5]), ('power', [4, 5]), ('white', [4, 5]), ('worse', [4, 5]), ('fentanyl', [5]), ('weekend', [5, 4]), ('killing', [5, 4]), ('voice', [5, 4]), ('hold', [4, 5]), ('demand', [4, 5]), ('thank', [5, 4]), ('accountable', [4, 5]), ('poison', [5])]","[('american', ['Border/community/family', 'Republicans vs democrats']), ('biden', ['Republicans vs democrats', 'Border/community/family']), ('action', ['Border/community/family', 'Republicans vs democrats']), ('past', ['Border/community/family', 'Republicans vs democrats']), ('joe', ['Republicans vs democrats', 'Border/community/family']), ('house', ['Republicans vs democrats', 'Border/community/family']), ('china', ['Republicans vs democrats', 'Border/community/family']), ('power', ['Republicans vs democrats', 'Border/community/family']), ('white', ['Republicans vs democrats', 'Border/community/family']), ('worse', ['Republicans vs democrats', 'Border/community/family']), ('fentanyl', ['Border/community/family']), ('weekend', ['Border/community/family', 'Republicans vs democrats']), ('killing', ['Border/community/family', 'Republicans vs democrats']), ('voice', ['Border/community/family', 'Republicans vs democrats']), ('hold', ['Republicans vs democrats', 'Border/community/family']), ('demand', ['Republicans vs democrats', 'Border/community/family']), ('thank', ['Border/community/family', 'Republicans vs democrats']), ('accountable', ['Republicans vs democrats', 'Border/community/family']), ('poison', ['Border/community/family'])]"
NikkiHaley,2023-09-28 03:24:17+00:00,5,Border/community/family,0.6036905,neutral,0.6788896322250366,"{'neutral': 0.6788896322250366, 'positive': 0.2437361180782318, 'negative': 0.07737425714731216}",anger,0.6501365303993225,"{'anger': 0.6501365303993225, 'disgust': 0.323702335357666, 'fear': 0.007921111769974232, 'optimism': 0.005714693106710911, 'anticipation': 0.0046167755499482155, 'sadness': 0.0027752728201448917, 'pessimism': 0.002565765753388405, 'trust': 0.0008362989756278694, 'joy': 0.0008266669465228915, 'surprise': 0.0007104905089363456, 'love': 0.00019402643374633044}",1.0,American/economics/health,0.23944345,"Here's how we FIX the southern border once and for all: ✔️ 25,000 more Border Patrol and ICE agents ✔️ Mandatory E-Verify ✔️ Defund sanctuary cities ✔️ No tax dollars to illegal immigrants ✔️ Remain in Mexico ✔️ End catch &amp; release, start catch &amp; deport",fix southern border border patrol ice agent mandatory  verify defund sanctuary city tax dollar illegal immigrant remain mexico end catch release start catch deport,"[('start', [5, 1]), ('patrol', [5]), ('border', [5, 1]), ('illegal', [5, 1]), ('immigrant', [5]), ('agent', [5, 1]), ('city', [5, 1]), ('sanctuary', [5]), ('fix', [1]), ('southern', [5]), ('end', [5, 1]), ('dollar', [1]), ('tax', [1]), ('ice', [7]), ('release', [5, 1]), ('deport', [1]), ('mexico', [5, 1]), ('remain', [5, 1]), ('defund', [5]), ('catch', [5, 1]), ('mandatory', [3]), ('verify', [7])]","[('start', ['Border/community/family', 'American/economics/health']), ('patrol', ['Border/community/family']), ('border', ['Border/community/family', 'American/economics/health']), ('illegal', ['Border/community/family', 'American/economics/health']), ('immigrant', ['Border/community/family']), ('agent', ['Border/community/family', 'American/economics/health']), ('city', ['Border/community/family', 'American/economics/health']), ('sanctuary', ['Border/community/family']), ('fix', ['American/economics/health']), ('southern', ['Border/community/family']), ('end', ['Border/community/family', 'American/economics/health']), ('dollar', ['American/economics/health']), ('tax', ['American/economics/health']), ('ice', ['Abortion/rights/guns']), ('release', ['Border/community/family', 'American/economics/health']), ('deport', ['American/economics/health']), ('mexico', ['Border/community/family', 'American/economics/health']), ('remain', ['Border/community/family', 'American/economics/health']), ('defund', ['Border/community/family']), ('catch', ['Border/community/family', 'American/economics/health']), ('mandatory', ['News/radio/livestream']), ('verify', ['Abortion/rights/guns'])]"
NikkiHaley,2023-09-28 03:33:01+00:00,5,Border/community/family,0.5950445,negative,0.5851835012435913,"{'negative': 0.5851835012435913, 'neutral': 0.32668745517730713, 'positive': 0.08812899887561798}",anger,0.5713613033294678,"{'anger': 0.5713613033294678, 'disgust': 0.1964537501335144, 'optimism': 0.15596644580364227, 'anticipation': 0.03341025859117508, 'trust': 0.01192187238484621, 'pessimism': 0.008698935620486736, 'fear': 0.00722670741379261, 'joy': 0.0062307314947247505, 'sadness': 0.005663393996655941, 'surprise': 0.0018859580159187317, 'love': 0.0011806272668763995}",1.0,American/economics/health,0.1929833,"When I was governor, we signed one of the toughest immigration laws in the country. We made sure Americans got American jobs—not illegal immigrants. The second you stop being a country of laws you give up everything this country was founded on.",governor signed toughest immigration law country sure american got american jobsnot illegal immigrant second stop country law country founded,"[('american', [5, 1]), ('second', [6, 5]), ('law', [5, 1]), ('got', [6, 5]), ('country', [5, 1]), ('illegal', [5, 1]), ('immigrant', [5]), ('immigration', [5, 1]), ('sure', [6, 5]), ('stop', [5, 1]), ('governor', [5, 6]), ('signed', [1, 5]), ('toughest', [6]), ('founded', [5, 6]), ('jobsnot', [5])]","[('american', ['Border/community/family', 'American/economics/health']), ('second', ['Election/debate', 'Border/community/family']), ('law', ['Border/community/family', 'American/economics/health']), ('got', ['Election/debate', 'Border/community/family']), ('country', ['Border/community/family', 'American/economics/health']), ('illegal', ['Border/community/family', 'American/economics/health']), ('immigrant', ['Border/community/family']), ('immigration', ['Border/community/family', 'American/economics/health']), ('sure', ['Election/debate', 'Border/community/family']), ('stop', ['Border/community/family', 'American/economics/health']), ('governor', ['Border/community/family', 'Election/debate']), ('signed', ['American/economics/health', 'Border/community/family']), ('toughest', ['Election/debate']), ('founded', ['Border/community/family', 'Election/debate']), ('jobsnot', ['Border/community/family'])]"
