username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
NikkiHaley,2023-09-28 04:38:27+00:00,6,Election/debate,0.5720086,neutral,0.5796249508857727,"{'neutral': 0.5796249508857727, 'negative': 0.39347508549690247, 'positive': 0.0268999170511961}",anger,0.4384154081344604,"{'anger': 0.43841540813446045, 'disgust': 0.26925787329673767, 'anticipation': 0.17803806066513062, 'optimism': 0.04618087783455849, 'surprise': 0.014911489561200142, 'joy': 0.01468728855252266, 'trust': 0.012217245995998383, 'pessimism': 0.010453068651258945, 'fear': 0.008049901574850082, 'sadness': 0.00626590708270669, 'love': 0.0015229132259264588}",not-hate,0.9965536594390868,"{'not-hate': 0.9965536594390869, 'hate': 0.0034463822375983}",non-offensive,0.787282407283783,"{'non-offensive': 0.787282407283783, 'offensive': 0.21271760761737823}",1.0,American/economics/health,0.3864267,"On his second day in office as governor, Ron issued executive orders BANNING fracking and offshore drilling in Florida—a page straight from Joe Biden’s playbook.",second day office governor ron issued executive order banning fracking offshore drilling floridaa page straight joe bidens playbook,"[('issued', [6, 1]), ('second', [6, 1]), ('office', [1, 6]), ('page', [6, 1]), ('joe', [6, 1]), ('day', [6, 1]), ('order', [6, 1]), ('bidens', [1, 6]), ('governor', [6, 1]), ('executive', [1]), ('playbook', [6]), ('banning', [1]), ('ron', [6]), ('offshore', [6]), ('straight', [1, 6]), ('drilling', [1]), ('fracking', [6]), ('floridaa', [6, 1])]","[('issued', ['Election/debate', 'American/economics/health']), ('second', ['Election/debate', 'American/economics/health']), ('office', ['American/economics/health', 'Election/debate']), ('page', ['Election/debate', 'American/economics/health']), ('joe', ['Election/debate', 'American/economics/health']), ('day', ['Election/debate', 'American/economics/health']), ('order', ['Election/debate', 'American/economics/health']), ('bidens', ['American/economics/health', 'Election/debate']), ('governor', ['Election/debate', 'American/economics/health']), ('executive', ['American/economics/health']), ('playbook', ['Election/debate']), ('banning', ['American/economics/health']), ('ron', ['Election/debate']), ('offshore', ['Election/debate']), ('straight', ['American/economics/health', 'Election/debate']), ('drilling', ['American/economics/health']), ('fracking', ['Election/debate']), ('floridaa', ['Election/debate', 'American/economics/health'])]"
NikkiHaley,2023-09-26 21:39:00+00:00,6,Election/debate,0.53246784,neutral,0.75460284948349,"{'neutral': 0.75460284948349, 'negative': 0.16570930182933807, 'positive': 0.07968787848949432}",anger,0.5010343194007874,"{'anger': 0.5010343194007874, 'optimism': 0.23475144803524017, 'disgust': 0.1390567570924759, 'anticipation': 0.0623345710337162, 'trust': 0.020152399316430092, 'fear': 0.014170008711516857, 'pessimism': 0.01120048202574253, 'joy': 0.006987478584051132, 'sadness': 0.00596908014267683, 'surprise': 0.0028508540708571672, 'love': 0.0014925452414900064}",not-hate,0.9941242337226868,"{'not-hate': 0.9941242337226868, 'hate': 0.005875790491700172}",non-offensive,0.6260212063789368,"{'non-offensive': 0.6260212063789368, 'offensive': 0.37397876381874084}",8.0,Infrastructure/job/energy,0.21690315,"RT @Opinion: ""Iowa farmers shouldn’t worry about China eating them alive. China should worry about Iowa farmers beating it worldwide,"" writes Nikki Haley. https://t.co/UhGTvjjAtp",iowa farmer worry china eating alive china worry iowa farmer beating worldwide writes nikki haley,"[('worldwide', [5]), ('china', [8, 5]), ('worry', [6, 5]), ('iowa', [6, 5]), ('beating', [6, 5]), ('eating', [5, 6]), ('alive', [5, 6]), ('writes', [6, 5]), ('haley', [6]), ('nikki', [6]), ('farmer', [8])]","[('worldwide', ['Border/community/family']), ('china', ['Infrastructure/job/energy', 'Border/community/family']), ('worry', ['Election/debate', 'Border/community/family']), ('iowa', ['Election/debate', 'Border/community/family']), ('beating', ['Election/debate', 'Border/community/family']), ('eating', ['Border/community/family', 'Election/debate']), ('alive', ['Border/community/family', 'Election/debate']), ('writes', ['Election/debate', 'Border/community/family']), ('haley', ['Election/debate']), ('nikki', ['Election/debate']), ('farmer', ['Infrastructure/job/energy'])]"
NikkiHaley,2023-09-28 08:03:43+00:00,6,Election/debate,0.62497324,neutral,0.8814553618431091,"{'neutral': 0.8814553618431091, 'negative': 0.08527285605669022, 'positive': 0.03327179700136185}",anger,0.3591016829013824,"{'anger': 0.35910168290138245, 'disgust': 0.3424936532974243, 'anticipation': 0.18693995475769043, 'optimism': 0.031933750957250595, 'pessimism': 0.02019749954342842, 'sadness': 0.01679389551281929, 'fear': 0.01453434582799673, 'surprise': 0.012921102344989777, 'trust': 0.008562684990465641, 'joy': 0.00566926971077919, 'love': 0.0008521313429810107}",not-hate,0.9803858995437622,"{'not-hate': 0.9803858995437622, 'hate': 0.01961413584649563}",non-offensive,0.8657681941986084,"{'non-offensive': 0.8657681941986084, 'offensive': 0.1342318058013916}",4.0,Republicans vs democrats,0.17640753,"RT @Fact Check: @NikkiHaley Claims Ron DeSantis Banned Fracking in Florida Verdict: TRUE. As governor, DeSantis campaigned on and implemented a ban on fracking in Florida’s waters. https://t.co/4HuI2Csv6s",check claim ron desantis banned fracking florida verdict true governor desantis campaigned implemented ban fracking florida water,"[('ban', [7, 1]), ('claim', [4, 1]), ('desantis', [6, 4]), ('florida', [6, 4]), ('water', [6, 1]), ('governor', [6, 4]), ('check', [6, 4]), ('true', [6, 4]), ('ron', [6, 4]), ('banned', [6, 4]), ('implemented', [6]), ('campaigned', [1]), ('verdict', [4]), ('fracking', [6])]","[('ban', ['Abortion/rights/guns', 'American/economics/health']), ('claim', ['Republicans vs democrats', 'American/economics/health']), ('desantis', ['Election/debate', 'Republicans vs democrats']), ('florida', ['Election/debate', 'Republicans vs democrats']), ('water', ['Election/debate', 'American/economics/health']), ('governor', ['Election/debate', 'Republicans vs democrats']), ('check', ['Election/debate', 'Republicans vs democrats']), ('true', ['Election/debate', 'Republicans vs democrats']), ('ron', ['Election/debate', 'Republicans vs democrats']), ('banned', ['Election/debate', 'Republicans vs democrats']), ('implemented', ['Election/debate']), ('campaigned', ['American/economics/health']), ('verdict', ['Republicans vs democrats']), ('fracking', ['Election/debate'])]"
NikkiHaley,2023-09-15 20:51:05+00:00,6,Election/debate,0.77605647,neutral,0.9170029163360596,"{'neutral': 0.9170029163360596, 'positive': 0.07974258810281754, 'negative': 0.0032544711139053106}",anticipation,0.7538482546806335,"{'anticipation': 0.7538482546806335, 'joy': 0.1176752820611, 'optimism': 0.041149258613586426, 'surprise': 0.039033908396959305, 'trust': 0.019570395350456238, 'disgust': 0.0076501742005348206, 'anger': 0.005680303554981947, 'fear': 0.00482148677110672, 'pessimism': 0.004038750659674406, 'sadness': 0.003481036750599742, 'love': 0.003051232546567917}",not-hate,0.9976649284362792,"{'not-hate': 0.9976649284362793, 'hate': 0.0023351293057203293}",non-offensive,0.9349800944328308,"{'non-offensive': 0.9349800944328308, 'offensive': 0.06501983106136322}",4.0,Republicans vs democrats,0.14001079,RT @FoxNews: TUNE IN: Republican presidential candidate @NikkiHaley joins 'Cavuto Live' tomorrow at 10a ET. https://t.co/nrFnlSX6Bw,tune republican presidential candidate join cavuto live tomorrow ,"[('republican', [6, 4]), ('candidate', [6, 4]), ('presidential', [6, 4]), ('tune', [6]), ('live', [6]), ('tomorrow', [6]), ('join', [6]), ('cavuto', [4])]","[('republican', ['Election/debate', 'Republicans vs democrats']), ('candidate', ['Election/debate', 'Republicans vs democrats']), ('presidential', ['Election/debate', 'Republicans vs democrats']), ('tune', ['Election/debate']), ('live', ['Election/debate']), ('tomorrow', ['Election/debate']), ('join', ['Election/debate']), ('cavuto', ['Republicans vs democrats'])]"
NikkiHaley,2023-09-15 23:25:09+00:00,6,Election/debate,0.62506104,positive,0.5324198603630066,"{'positive': 0.5324198603630066, 'neutral': 0.46397581696510315, 'negative': 0.003604388330131769}",anticipation,0.5291695594787598,"{'anticipation': 0.5291695594787598, 'joy': 0.31272220611572266, 'optimism': 0.09348434954881668, 'trust': 0.022591985762119293, 'surprise': 0.022556087002158165, 'love': 0.004256739746779203, 'disgust': 0.003932982217520475, 'fear': 0.0032729676458984613, 'anger': 0.0032301396131515503, 'pessimism': 0.0024589584209024906, 'sadness': 0.0023240079171955585}",not-hate,0.9951937794685364,"{'not-hate': 0.9951937794685364, 'hate': 0.004806200508028269}",non-offensive,0.957707941532135,"{'non-offensive': 0.957707941532135, 'offensive': 0.04229205474257469}",3.0,News/radio/livestream,0.22474112,"RT @TeamHaley: Grand Mound, Iowa is ready for @NikkiHaley! 🇺🇸 https://t.co/tvno7j3GeR",grand mound iowa ready,"[('ready', [6]), ('iowa', [6]), ('grand', [6]), ('mound', [3])]","[('ready', ['Election/debate']), ('iowa', ['Election/debate']), ('grand', ['Election/debate']), ('mound', ['News/radio/livestream'])]"
NikkiHaley,2023-09-15 23:46:03+00:00,6,Election/debate,0.68723094,neutral,0.9633684754371644,"{'neutral': 0.9633684754371643, 'positive': 0.02599632926285267, 'negative': 0.010635185055434704}",anticipation,0.5331368446350098,"{'anticipation': 0.5331368446350098, 'joy': 0.2395816296339035, 'surprise': 0.06833778321743011, 'disgust': 0.03391081467270851, 'optimism': 0.033787522464990616, 'sadness': 0.029574131593108177, 'anger': 0.016706056892871857, 'trust': 0.0160947497934103, 'pessimism': 0.012772561982274055, 'fear': 0.009108799509704113, 'love': 0.0069891600869596004}",not-hate,0.9946050047874452,"{'not-hate': 0.9946050047874451, 'hate': 0.005394960753619671}",non-offensive,0.9316030144691468,"{'non-offensive': 0.9316030144691467, 'offensive': 0.06839694827795029}",3.0,News/radio/livestream,0.18736003,"RT @billy_mackey97: 📍Grand Mound, IA Population: 615 @NikkiHaley’s town hall: 300+ https://t.co/R87NMHzhM5",grand mound  population town hall,"[('town', [6]), ('population', [6]), ('grand', [6]), ('hall', [6]), ('mound', [3])]","[('town', ['Election/debate']), ('population', ['Election/debate']), ('grand', ['Election/debate']), ('hall', ['Election/debate']), ('mound', ['News/radio/livestream'])]"
NikkiHaley,2023-09-15 20:51:19+00:00,6,Election/debate,0.81267756,neutral,0.9561689496040344,"{'neutral': 0.9561689496040344, 'positive': 0.037739843130111694, 'negative': 0.0060911718755960464}",anticipation,0.7517348527908325,"{'anticipation': 0.7517348527908325, 'joy': 0.10451260954141617, 'optimism': 0.05749717727303505, 'surprise': 0.03163062408566475, 'trust': 0.022565579041838646, 'disgust': 0.00892730988562107, 'anger': 0.007017964031547308, 'fear': 0.005282068159431219, 'pessimism': 0.004497411660850048, 'sadness': 0.003588221501559019, 'love': 0.0027461231220513582}",not-hate,0.9976369142532348,"{'not-hate': 0.9976369142532349, 'hate': 0.0023631027434021235}",non-offensive,0.9379672408103944,"{'non-offensive': 0.9379672408103943, 'offensive': 0.06203272193670273}",1.0,American/economics/health,0.11891647,"RT @2024 Watch-New on @FoxNews #GOP presidential candidate @NikkiHaley returning to New Hampshire next Thursday, with stops in Bedford, Greenland, and Hampton #2024Election #FITN #nhpolitics https://t.co/jQk5NYPzzH",watch presidential candidate returning hampshire thursday stop bedford greenland hampton,"[('thursday', [6]), ('watch', [6, 1]), ('candidate', [6]), ('presidential', [6]), ('stop', [6, 1]), ('hampshire', [6]), ('returning', [6]), ('bedford', [6]), ('hampton', [1]), ('greenland', [6])]","[('thursday', ['Election/debate']), ('watch', ['Election/debate', 'American/economics/health']), ('candidate', ['Election/debate']), ('presidential', ['Election/debate']), ('stop', ['Election/debate', 'American/economics/health']), ('hampshire', ['Election/debate']), ('returning', ['Election/debate']), ('bedford', ['Election/debate']), ('hampton', ['American/economics/health']), ('greenland', ['Election/debate'])]"
NikkiHaley,2023-09-09 13:16:42+00:00,6,Election/debate,0.83433634,neutral,0.9098886251449584,"{'neutral': 0.9098886251449585, 'positive': 0.0857650563120842, 'negative': 0.004346342757344246}",anticipation,0.5008000135421753,"{'anticipation': 0.5008000135421753, 'joy': 0.2843925952911377, 'optimism': 0.15579192340373993, 'trust': 0.027387678623199463, 'surprise': 0.015233650803565979, 'love': 0.0037349932827055454, 'anger': 0.002900094725191593, 'disgust': 0.0028812165837734938, 'fear': 0.002616404090076685, 'pessimism': 0.0023473366163671017, 'sadness': 0.0019140451913699508}",not-hate,0.9979277849197388,"{'not-hate': 0.9979277849197388, 'hate': 0.0020722306799143553}",non-offensive,0.9499745965003968,"{'non-offensive': 0.9499745965003967, 'offensive': 0.05002539977431297}",3.0,News/radio/livestream,0.107890055,"RT @Roughly a thousand people here at Holy City Brewing Co. in North Charleston, SC tonight for a town hall with @NikkiHaley, according to her campaign. https://t.co/Zfh7l7W2ch",thousand people holy city brewing  north charleston  tonight town hall according campaign,"[('people', [6]), ('according', [6]), ('city', [6]), ('town', [6]), ('tonight', [6]), ('campaign', [6]), ('thousand', [6]), ('charleston', [6]), ('north', [6]), ('holy', [6, 3]), ('brewing', [3]), ('hall', [6])]","[('people', ['Election/debate']), ('according', ['Election/debate']), ('city', ['Election/debate']), ('town', ['Election/debate']), ('tonight', ['Election/debate']), ('campaign', ['Election/debate']), ('thousand', ['Election/debate']), ('charleston', ['Election/debate']), ('north', ['Election/debate']), ('holy', ['Election/debate', 'News/radio/livestream']), ('brewing', ['News/radio/livestream']), ('hall', ['Election/debate'])]"
NikkiHaley,2023-09-10 14:30:26+00:00,6,Election/debate,0.89056903,neutral,0.9490470886230468,"{'neutral': 0.9490470886230469, 'positive': 0.04195050895214081, 'negative': 0.009002426639199257}",anticipation,0.5324611067771912,"{'anticipation': 0.5324611067771912, 'joy': 0.271074116230011, 'optimism': 0.11886166036128998, 'surprise': 0.023883240297436714, 'trust': 0.02014809101819992, 'fear': 0.017871256917715073, 'pessimism': 0.0042519462294876575, 'love': 0.00392147758975625, 'sadness': 0.0036160110030323267, 'disgust': 0.002405306091532111, 'anger': 0.001505797728896141}",not-hate,0.9984831213951112,"{'not-hate': 0.9984831213951111, 'hate': 0.001516907592304051}",non-offensive,0.9499574899673462,"{'non-offensive': 0.9499574899673462, 'offensive': 0.0500425323843956}",4.0,Republicans vs democrats,0.015638161,Tune into @CNNSotu this morning as we break down the latest news and the state of the race. https://t.co/zEcwIFq38D,tune morning break latest news state race,"[('state', [6]), ('news', [6]), ('break', [6]), ('latest', [6]), ('race', [6]), ('morning', [6]), ('tune', [6])]","[('state', ['Election/debate']), ('news', ['Election/debate']), ('break', ['Election/debate']), ('latest', ['Election/debate']), ('race', ['Election/debate']), ('morning', ['Election/debate']), ('tune', ['Election/debate'])]"
NikkiHaley,2023-09-22 05:20:34+00:00,6,Election/debate,0.57151145,neutral,0.6966054439544678,"{'neutral': 0.6966054439544678, 'negative': 0.2845049798488617, 'positive': 0.01888960786163807}",anticipation,0.658071756362915,"{'anticipation': 0.658071756362915, 'disgust': 0.0803016945719719, 'surprise': 0.06848536431789398, 'anger': 0.05002208054065704, 'joy': 0.04090888425707817, 'optimism': 0.032707054167985916, 'fear': 0.024980664253234863, 'pessimism': 0.014637141488492489, 'trust': 0.01423823181539774, 'sadness': 0.013689788989722729, 'love': 0.0019573343452066183}",not-hate,0.9985666871070862,"{'not-hate': 0.9985666871070862, 'hate': 0.0014333061408251524}",non-offensive,0.9025573134422302,"{'non-offensive': 0.9025573134422302, 'offensive': 0.09744268655776978}",5.0,Border/community/family,0.25168234,RT @SuzYoungblood: Momentum continues as Granite Staters spill out of the overflow areas at Nikki Haley events. https://t.co/B4JKEVaXcq,momentum continues granite stater spill overflow area nikki haley event,"[('area', [6, 5]), ('event', [6, 5]), ('continues', [6, 5]), ('momentum', [6, 1]), ('haley', [6]), ('nikki', [6]), ('spill', [6]), ('granite', [5]), ('stater', [5]), ('overflow', [1])]","[('area', ['Election/debate', 'Border/community/family']), ('event', ['Election/debate', 'Border/community/family']), ('continues', ['Election/debate', 'Border/community/family']), ('momentum', ['Election/debate', 'American/economics/health']), ('haley', ['Election/debate']), ('nikki', ['Election/debate']), ('spill', ['Election/debate']), ('granite', ['Border/community/family']), ('stater', ['Border/community/family']), ('overflow', ['American/economics/health'])]"
