username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
RonDeSantis,2023-06-16 18:57:33+00:00,1,American/economics/health,0.56315446,negative,0.7137529253959656,"{'negative': 0.7137529253959656, 'neutral': 0.26544252038002014, 'positive': 0.020804550498723984}",anger,0.7764202356338501,"{'anger': 0.7764202356338501, 'disgust': 0.20100590586662292, 'anticipation': 0.005666130222380161, 'optimism': 0.005487106274813414, 'fear': 0.003413550788536668, 'pessimism': 0.0028341219294816256, 'sadness': 0.002305631758645177, 'trust': 0.001227295957505703, 'surprise': 0.0007388328667730093, 'joy': 0.000643486506305635, 'love': 0.0002577069972176105}",2.0,War,0.21381152,"My administration will never promote military leaders who abuse their power to push a woke ideology. Our nation needs to focus on military readiness, not an ideological agenda. https://t.co/ZxFd0XHncn",administration promote military leader abuse power push woke ideology nation need focus military readiness ideological agenda,"[('military', [1, 7]), ('administration', [1, 2]), ('abuse', [1, 7]), ('power', [1, 2]), ('need', [1, 2]), ('focus', [1]), ('woke', [2, 1]), ('push', [1, 2]), ('leader', [1, 7]), ('nation', [1, 7]), ('ideology', [2, 1]), ('agenda', [1, 7]), ('promote', [1]), ('ideological', [2]), ('readiness', [7])]","[('military', ['American/economics/health', 'Abortion/rights/guns']), ('administration', ['American/economics/health', 'War']), ('abuse', ['American/economics/health', 'Abortion/rights/guns']), ('power', ['American/economics/health', 'War']), ('need', ['American/economics/health', 'War']), ('focus', ['American/economics/health']), ('woke', ['War', 'American/economics/health']), ('push', ['American/economics/health', 'War']), ('leader', ['American/economics/health', 'Abortion/rights/guns']), ('nation', ['American/economics/health', 'Abortion/rights/guns']), ('ideology', ['War', 'American/economics/health']), ('agenda', ['American/economics/health', 'Abortion/rights/guns']), ('promote', ['American/economics/health']), ('ideological', ['War']), ('readiness', ['Abortion/rights/guns'])]"
RonDeSantis,2023-06-27 18:31:04+00:00,1,American/economics/health,0.40458393,positive,0.7527983784675598,"{'positive': 0.7527983784675598, 'neutral': 0.18895380198955536, 'negative': 0.058247845619916916}",anger,0.3171814382076263,"{'anger': 0.31718143820762634, 'optimism': 0.2973351776599884, 'disgust': 0.16504034399986267, 'joy': 0.09244304150342941, 'fear': 0.059771593660116196, 'anticipation': 0.02841164544224739, 'trust': 0.014801635406911373, 'pessimism': 0.007476089987903833, 'sadness': 0.006942012347280979, 'surprise': 0.006772201973944902, 'love': 0.003824843792244792}",6.0,Election/debate,0.3485413,Great to be back in New Hampshire where people are ready to defeat Joe Biden and get the country going in the right direction. This election is a referendum on the failures of the Biden administration – especially the reckless open border policies that have endangered the lives of millions of Americans. We must win in 2024 to restore America. No excuses.,great hampshire people ready defeat joe biden country going right direction election referendum failure biden administration especially reckless open border policy endangered life million american win restore america excuse,"[('american', [1, 5]), ('biden', [1, 6]), ('million', [1, 5]), ('administration', [1, 5]), ('failure', [1, 5]), ('people', [1, 6]), ('america', [1, 6]), ('joe', [1, 5]), ('election', [6, 1]), ('border', [5, 1]), ('going', [6, 1]), ('country', [1, 5]), ('open', [6, 5]), ('right', [1, 6]), ('life', [1, 5]), ('especially', [6, 1]), ('great', [6, 5]), ('ready', [6, 1]), ('win', [6, 1]), ('direction', [6, 1]), ('policy', [1, 6]), ('hampshire', [6, 5]), ('defeat', [6]), ('excuse', [1, 5]), ('reckless', [1, 5]), ('restore', [1, 5]), ('referendum', [6]), ('endangered', [5])]","[('american', ['American/economics/health', 'Border/community/family']), ('biden', ['American/economics/health', 'Election/debate']), ('million', ['American/economics/health', 'Border/community/family']), ('administration', ['American/economics/health', 'Border/community/family']), ('failure', ['American/economics/health', 'Border/community/family']), ('people', ['American/economics/health', 'Election/debate']), ('america', ['American/economics/health', 'Election/debate']), ('joe', ['American/economics/health', 'Border/community/family']), ('election', ['Election/debate', 'American/economics/health']), ('border', ['Border/community/family', 'American/economics/health']), ('going', ['Election/debate', 'American/economics/health']), ('country', ['American/economics/health', 'Border/community/family']), ('open', ['Election/debate', 'Border/community/family']), ('right', ['American/economics/health', 'Election/debate']), ('life', ['American/economics/health', 'Border/community/family']), ('especially', ['Election/debate', 'American/economics/health']), ('great', ['Election/debate', 'Border/community/family']), ('ready', ['Election/debate', 'American/economics/health']), ('win', ['Election/debate', 'American/economics/health']), ('direction', ['Election/debate', 'American/economics/health']), ('policy', ['American/economics/health', 'Election/debate']), ('hampshire', ['Election/debate', 'Border/community/family']), ('defeat', ['Election/debate']), ('excuse', ['American/economics/health', 'Border/community/family']), ('reckless', ['American/economics/health', 'Border/community/family']), ('restore', ['American/economics/health', 'Border/community/family']), ('referendum', ['Election/debate']), ('endangered', ['Border/community/family'])]"
RonDeSantis,2023-06-06 00:21:03+00:00,1,American/economics/health,0.83667636,negative,0.613183319568634,"{'negative': 0.613183319568634, 'neutral': 0.34638285636901855, 'positive': 0.04043375700712204}",anger,0.4676749110221863,"{'anger': 0.4676749110221863, 'disgust': 0.4302136301994324, 'anticipation': 0.030119871720671654, 'sadness': 0.019957618787884712, 'optimism': 0.01991511508822441, 'pessimism': 0.012229627929627895, 'joy': 0.010971701703965664, 'surprise': 0.004579692613333464, 'trust': 0.001960338791832328, 'fear': 0.0018964683404192328, 'love': 0.0004808609373867512}",4.0,Republicans vs democrats,0.1374111,"Democrats are boasting about the $4 trillion debt ceiling scheme that locks in inflationary COVID-era spending levels and keeps 98% of Biden's IRS expansion to target the middle class. While this ""deal"" benefits the DC political class, the American people are yet again getting stuck with the bill.",democrat boasting trillion debt ceiling scheme lock inflationary covid era spending level keep biden  irs expansion target middle class deal benefit  political class american people getting stuck bill,"[('american', [1, 4]), ('biden', [1, 4]), ('middle', [1]), ('people', [1, 4]), ('political', [1, 4]), ('spending', [1, 4]), ('getting', [1, 4]), ('democrat', [1, 4]), ('benefit', [1]), ('irs', [1, 4]), ('bill', [1, 4]), ('stuck', [1, 4]), ('keep', [1, 4]), ('lock', [4]), ('deal', [1, 4]), ('level', [1, 4]), ('covid', [1, 4]), ('class', [1]), ('debt', [1]), ('scheme', [1, 4]), ('target', [1, 4]), ('trillion', [1]), ('ceiling', [1]), ('expansion', [1]), ('era', [1, 4]), ('inflationary', [1]), ('boasting', [1])]","[('american', ['American/economics/health', 'Republicans vs democrats']), ('biden', ['American/economics/health', 'Republicans vs democrats']), ('middle', ['American/economics/health']), ('people', ['American/economics/health', 'Republicans vs democrats']), ('political', ['American/economics/health', 'Republicans vs democrats']), ('spending', ['American/economics/health', 'Republicans vs democrats']), ('getting', ['American/economics/health', 'Republicans vs democrats']), ('democrat', ['American/economics/health', 'Republicans vs democrats']), ('benefit', ['American/economics/health']), ('irs', ['American/economics/health', 'Republicans vs democrats']), ('bill', ['American/economics/health', 'Republicans vs democrats']), ('stuck', ['American/economics/health', 'Republicans vs democrats']), ('keep', ['American/economics/health', 'Republicans vs democrats']), ('lock', ['Republicans vs democrats']), ('deal', ['American/economics/health', 'Republicans vs democrats']), ('level', ['American/economics/health', 'Republicans vs democrats']), ('covid', ['American/economics/health', 'Republicans vs democrats']), ('class', ['American/economics/health']), ('debt', ['American/economics/health']), ('scheme', ['American/economics/health', 'Republicans vs democrats']), ('target', ['American/economics/health', 'Republicans vs democrats']), ('trillion', ['American/economics/health']), ('ceiling', ['American/economics/health']), ('expansion', ['American/economics/health']), ('era', ['American/economics/health', 'Republicans vs democrats']), ('inflationary', ['American/economics/health']), ('boasting', ['American/economics/health'])]"
RonDeSantis,2023-05-17 19:20:24+00:00,1,American/economics/health,0.61611634,neutral,0.8130201101303101,"{'neutral': 0.8130201101303101, 'positive': 0.15467065572738647, 'negative': 0.032309286296367645}",anger,0.3611097931861877,"{'anger': 0.36110979318618774, 'disgust': 0.35848724842071533, 'anticipation': 0.11925879865884781, 'optimism': 0.050042882561683655, 'sadness': 0.04652967303991318, 'joy': 0.022430051118135452, 'pessimism': 0.020803280174732208, 'surprise': 0.009943213313817978, 'trust': 0.006872618570923805, 'fear': 0.003375585889443755, 'love': 0.0011468747397884727}",2.0,War,0.22082205,"RT @Florida students and teachers will no longer have to “declare” their pronouns in school or be forced to use pronouns not based on biological sex. Our teachers will focus on what matters — reading, writing, and arithmetic. https://t.co/XviQB23lLF",student teacher longer declare pronoun school forced use pronoun based biological sex teacher focus matter reading writing arithmetic,"[('longer', [1, 2]), ('forced', [1, 7]), ('focus', [1]), ('student', [1, 7]), ('school', [1, 2]), ('use', [1, 2]), ('based', [1, 7]), ('sex', [2]), ('matter', [1, 7]), ('teacher', [1, 2]), ('writing', [2]), ('reading', [1]), ('biological', [7, 2]), ('pronoun', [1]), ('declare', [2, 1]), ('arithmetic', [7])]","[('longer', ['American/economics/health', 'War']), ('forced', ['American/economics/health', 'Abortion/rights/guns']), ('focus', ['American/economics/health']), ('student', ['American/economics/health', 'Abortion/rights/guns']), ('school', ['American/economics/health', 'War']), ('use', ['American/economics/health', 'War']), ('based', ['American/economics/health', 'Abortion/rights/guns']), ('sex', ['War']), ('matter', ['American/economics/health', 'Abortion/rights/guns']), ('teacher', ['American/economics/health', 'War']), ('writing', ['War']), ('reading', ['American/economics/health']), ('biological', ['Abortion/rights/guns', 'War']), ('pronoun', ['American/economics/health']), ('declare', ['War', 'American/economics/health']), ('arithmetic', ['Abortion/rights/guns'])]"
RonDeSantis,2023-07-10 20:19:30+00:00,1,American/economics/health,0.65532386,negative,0.7205597162246704,"{'negative': 0.7205597162246704, 'neutral': 0.237485870718956, 'positive': 0.041954368352890015}",anger,0.7913657426834106,"{'anger': 0.7913657426834106, 'disgust': 0.18992027640342712, 'joy': 0.006314960774034262, 'anticipation': 0.0038086066488176584, 'optimism': 0.0030553832184523344, 'sadness': 0.002436714479699731, 'pessimism': 0.0012365295551717281, 'surprise': 0.0009747326839715242, 'trust': 0.0004373246047180146, 'fear': 0.00023587382747791708, 'love': 0.00021382301929406822}",5.0,Border/community/family,0.17386341,"“The president's admonitions include: ‘God dammit, how the f**k don't you know this?!,’ ‘Don't f**king bullsh*t me!’ and ‘Get the f**k out of here!’"" This is how most Americans feel when the president tells them Bidenomics is working. https://t.co/fPAMYVskjF",president  admonition include god dammit   know  king bullsh    american feel president tell bidenomics working,"[('american', [1, 5]), ('know', [1, 5]), ('god', [3, 5]), ('president', [1, 5]), ('feel', [1, 5]), ('working', [1, 5]), ('tell', [1, 5]), ('include', [1, 5]), ('bidenomics', [1]), ('king', [5]), ('admonition', [1]), ('bullsh', [3]), ('dammit', [1, 3])]","[('american', ['American/economics/health', 'Border/community/family']), ('know', ['American/economics/health', 'Border/community/family']), ('god', ['News/radio/livestream', 'Border/community/family']), ('president', ['American/economics/health', 'Border/community/family']), ('feel', ['American/economics/health', 'Border/community/family']), ('working', ['American/economics/health', 'Border/community/family']), ('tell', ['American/economics/health', 'Border/community/family']), ('include', ['American/economics/health', 'Border/community/family']), ('bidenomics', ['American/economics/health']), ('king', ['Border/community/family']), ('admonition', ['American/economics/health']), ('bullsh', ['News/radio/livestream']), ('dammit', ['American/economics/health', 'News/radio/livestream'])]"
RonDeSantis,2023-07-10 23:08:00+00:00,1,American/economics/health,0.7685356,negative,0.8791361451148987,"{'negative': 0.8791361451148987, 'neutral': 0.10706322640180588, 'positive': 0.013800671324133873}",anger,0.5395053625106812,"{'anger': 0.5395053625106812, 'disgust': 0.40655335783958435, 'sadness': 0.04738611355423927, 'pessimism': 0.004022345878183842, 'fear': 0.001037891604937613, 'anticipation': 0.0005245271604508162, 'surprise': 0.0002978212432935834, 'joy': 0.00023189486819319427, 'optimism': 0.00023187352053355426, 'love': 0.00010505997488508001, 'trust': 0.0001037519468809478}",4.0,Republicans vs democrats,0.10297983,"Bidenomics means you pay more at the grocery store. As president, I will rip up Joe Biden’s failed liberal economic agenda. We cannot settle for a declining standard of living. https://t.co/uI4JB5xwjC",bidenomics mean pay grocery store president rip joe bidens failed liberal economic agenda settle declining standard living,"[('joe', [1, 4]), ('president', [1, 4]), ('liberal', [4, 1]), ('failed', [1, 4]), ('bidens', [1, 4]), ('pay', [1, 8]), ('store', [1, 8]), ('standard', [1, 8]), ('mean', [1, 4]), ('living', [1, 4]), ('settle', [1, 4]), ('declining', [8]), ('rip', [1, 4]), ('grocery', [1]), ('bidenomics', [1, 8]), ('agenda', [1, 8]), ('economic', [1, 8])]","[('joe', ['American/economics/health', 'Republicans vs democrats']), ('president', ['American/economics/health', 'Republicans vs democrats']), ('liberal', ['Republicans vs democrats', 'American/economics/health']), ('failed', ['American/economics/health', 'Republicans vs democrats']), ('bidens', ['American/economics/health', 'Republicans vs democrats']), ('pay', ['American/economics/health', 'Infrastructure/job/energy']), ('store', ['American/economics/health', 'Infrastructure/job/energy']), ('standard', ['American/economics/health', 'Infrastructure/job/energy']), ('mean', ['American/economics/health', 'Republicans vs democrats']), ('living', ['American/economics/health', 'Republicans vs democrats']), ('settle', ['American/economics/health', 'Republicans vs democrats']), ('declining', ['Infrastructure/job/energy']), ('rip', ['American/economics/health', 'Republicans vs democrats']), ('grocery', ['American/economics/health']), ('bidenomics', ['American/economics/health', 'Infrastructure/job/energy']), ('agenda', ['American/economics/health', 'Infrastructure/job/energy']), ('economic', ['American/economics/health', 'Infrastructure/job/energy'])]"
RonDeSantis,2023-04-18 00:46:13+00:00,1,American/economics/health,0.49571404,negative,0.8433985114097595,"{'negative': 0.8433985114097595, 'neutral': 0.1458597481250763, 'positive': 0.010741702280938625}",anger,0.6432348489761353,"{'anger': 0.6432348489761353, 'disgust': 0.3374595642089844, 'sadness': 0.013051575049757957, 'pessimism': 0.003053267952054739, 'anticipation': 0.000997210736386478, 'fear': 0.0009443220333196223, 'optimism': 0.00041054972098208964, 'surprise': 0.00035401168861426413, 'joy': 0.0003168541006743908, 'trust': 0.00011279276077402756, 'love': 6.501817551907152e-05}",4.0,Republicans vs democrats,0.27698326,RT @Disney’s sloppy and futile attempt to subvert the will of the Legislature and Floridians was uncovered by our state oversight board and their 11th hour agreements will be nullified by the Legislature. Disney’s corporate kingdom is over. https://t.co/GomGyfEDLS,sloppy futile attempt subvert legislature floridian uncovered state oversight board  hour agreement nullified legislature disney corporate kingdom,"[('hour', [1, 4]), ('state', [1, 4]), ('attempt', [4, 1]), ('agreement', [1, 8]), ('board', [4, 1]), ('uncovered', [4]), ('corporate', [1, 4]), ('oversight', [4, 1]), ('floridian', [1]), ('legislature', [1, 8]), ('disney', [4, 8]), ('kingdom', [8]), ('sloppy', [1]), ('subvert', [5]), ('futile', [1]), ('nullified', [1, 4])]","[('hour', ['American/economics/health', 'Republicans vs democrats']), ('state', ['American/economics/health', 'Republicans vs democrats']), ('attempt', ['Republicans vs democrats', 'American/economics/health']), ('agreement', ['American/economics/health', 'Infrastructure/job/energy']), ('board', ['Republicans vs democrats', 'American/economics/health']), ('uncovered', ['Republicans vs democrats']), ('corporate', ['American/economics/health', 'Republicans vs democrats']), ('oversight', ['Republicans vs democrats', 'American/economics/health']), ('floridian', ['American/economics/health']), ('legislature', ['American/economics/health', 'Infrastructure/job/energy']), ('disney', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('kingdom', ['Infrastructure/job/energy']), ('sloppy', ['American/economics/health']), ('subvert', ['Border/community/family']), ('futile', ['American/economics/health']), ('nullified', ['American/economics/health', 'Republicans vs democrats'])]"
RonDeSantis,2023-05-09 19:32:12+00:00,1,American/economics/health,0.73708326,neutral,0.7092714905738831,"{'neutral': 0.7092714905738831, 'negative': 0.22243574261665344, 'positive': 0.06829272210597992}",anger,0.53715980052948,"{'anger': 0.53715980052948, 'disgust': 0.2939291000366211, 'fear': 0.12796679139137268, 'anticipation': 0.014024396426975727, 'optimism': 0.010964994318783283, 'pessimism': 0.005013069603592157, 'sadness': 0.004230257589370012, 'trust': 0.0023397619370371103, 'joy': 0.0021293447352945805, 'surprise': 0.0017605527536943555, 'love': 0.00048191507812589407}",7.0,Abortion/rights/guns,0.1698133,"RT @By signing the Paycheck Protection Act, Florida teachers will be able to choose how their hard-earned money is spent. School unions will no longer be able to hold teachers’ paychecks hostage with veiled threats while hiding where the money goes.",signing paycheck protection act florida teacher able choose hard earned money spent school union longer able hold teacher paycheck hostage veiled threat hiding money ,"[('longer', [1, 7]), ('money', [1, 4]), ('able', [1, 7]), ('threat', [1, 7]), ('act', [1, 7]), ('school', [1, 7]), ('union', [1, 4]), ('hard', [1, 7]), ('florida', [1, 7]), ('spent', [1, 4]), ('hold', [1, 7]), ('protection', [7, 1]), ('choose', [1, 7]), ('hiding', [4]), ('teacher', [1]), ('earned', [1, 7]), ('hostage', [1, 7]), ('paycheck', [1]), ('signing', [7]), ('veiled', [7])]","[('longer', ['American/economics/health', 'Abortion/rights/guns']), ('money', ['American/economics/health', 'Republicans vs democrats']), ('able', ['American/economics/health', 'Abortion/rights/guns']), ('threat', ['American/economics/health', 'Abortion/rights/guns']), ('act', ['American/economics/health', 'Abortion/rights/guns']), ('school', ['American/economics/health', 'Abortion/rights/guns']), ('union', ['American/economics/health', 'Republicans vs democrats']), ('hard', ['American/economics/health', 'Abortion/rights/guns']), ('florida', ['American/economics/health', 'Abortion/rights/guns']), ('spent', ['American/economics/health', 'Republicans vs democrats']), ('hold', ['American/economics/health', 'Abortion/rights/guns']), ('protection', ['Abortion/rights/guns', 'American/economics/health']), ('choose', ['American/economics/health', 'Abortion/rights/guns']), ('hiding', ['Republicans vs democrats']), ('teacher', ['American/economics/health']), ('earned', ['American/economics/health', 'Abortion/rights/guns']), ('hostage', ['American/economics/health', 'Abortion/rights/guns']), ('paycheck', ['American/economics/health']), ('signing', ['Abortion/rights/guns']), ('veiled', ['Abortion/rights/guns'])]"
RonDeSantis,2023-08-03 15:49:08+00:00,1,American/economics/health,0.5401303,positive,0.6319162249565125,"{'positive': 0.6319162249565125, 'neutral': 0.3363713324069977, 'negative': 0.031712453812360764}",anger,0.3983244001865387,"{'anger': 0.3983244001865387, 'optimism': 0.36957231163978577, 'disgust': 0.10794838517904282, 'anticipation': 0.03885958343744278, 'trust': 0.02966480702161789, 'joy': 0.025872785598039627, 'fear': 0.01058694813400507, 'pessimism': 0.007157077547162771, 'sadness': 0.004671148024499416, 'surprise': 0.0038038184866309166, 'love': 0.0035388735122978687}",8.0,Infrastructure/job/energy,0.43094125,"We must achieve energy independence. To restore our industrial base. To stop inflation and make life more affordable. And for the sake of our national security. As President, I will immediately reverse every Biden Administration mandate, regulation, and rule kneecapping American energy production.",achieve energy independence restore industrial base stop inflation life affordable sake national security president immediately reverse biden administration mandate regulation rule kneecapping american energy production,"[('national', [1, 8]), ('security', [1, 8]), ('american', [1, 8]), ('base', [8]), ('biden', [1, 8]), ('administration', [1, 8]), ('sake', [1]), ('president', [1, 8]), ('immediately', [1, 8]), ('regulation', [8, 1]), ('life', [1, 8]), ('affordable', [1, 8]), ('stop', [1, 8]), ('rule', [1, 8]), ('mandate', [1]), ('energy', [8, 1]), ('independence', [8, 1]), ('industrial', [8, 1]), ('production', [8, 1]), ('inflation', [1, 8]), ('restore', [1, 8]), ('achieve', [8, 1]), ('reverse', [8]), ('kneecapping', [8])]","[('national', ['American/economics/health', 'Infrastructure/job/energy']), ('security', ['American/economics/health', 'Infrastructure/job/energy']), ('american', ['American/economics/health', 'Infrastructure/job/energy']), ('base', ['Infrastructure/job/energy']), ('biden', ['American/economics/health', 'Infrastructure/job/energy']), ('administration', ['American/economics/health', 'Infrastructure/job/energy']), ('sake', ['American/economics/health']), ('president', ['American/economics/health', 'Infrastructure/job/energy']), ('immediately', ['American/economics/health', 'Infrastructure/job/energy']), ('regulation', ['Infrastructure/job/energy', 'American/economics/health']), ('life', ['American/economics/health', 'Infrastructure/job/energy']), ('affordable', ['American/economics/health', 'Infrastructure/job/energy']), ('stop', ['American/economics/health', 'Infrastructure/job/energy']), ('rule', ['American/economics/health', 'Infrastructure/job/energy']), ('mandate', ['American/economics/health']), ('energy', ['Infrastructure/job/energy', 'American/economics/health']), ('independence', ['Infrastructure/job/energy', 'American/economics/health']), ('industrial', ['Infrastructure/job/energy', 'American/economics/health']), ('production', ['Infrastructure/job/energy', 'American/economics/health']), ('inflation', ['American/economics/health', 'Infrastructure/job/energy']), ('restore', ['American/economics/health', 'Infrastructure/job/energy']), ('achieve', ['Infrastructure/job/energy', 'American/economics/health']), ('reverse', ['Infrastructure/job/energy']), ('kneecapping', ['Infrastructure/job/energy'])]"
RonDeSantis,2023-08-04 13:50:08+00:00,1,American/economics/health,0.5676856,negative,0.759976863861084,"{'negative': 0.759976863861084, 'neutral': 0.21443448960781097, 'positive': 0.025588616728782654}",anger,0.5749489665031433,"{'anger': 0.5749489665031433, 'disgust': 0.3847178816795349, 'fear': 0.011865033768117428, 'optimism': 0.0071958634071052074, 'sadness': 0.007146860938519239, 'pessimism': 0.005351654253900051, 'anticipation': 0.0052834502421319485, 'trust': 0.0011341548524796963, 'surprise': 0.0011012614704668522, 'joy': 0.0009894113754853606, 'love': 0.0002653815026860684}",2.0,War,0.25974488,"For decades, the D.C. political establishment — in both parties — has pushed for mass illegal immigration. The Beltway elites' immigration agenda has driven down wages, divided our nation, and made it harder for American citizens to achieve the American Dream. We need a secure border and an immigration policy that benefits Americans. As President, I will deliver. #NoExcuses",decade   political establishment party pushed mass illegal immigration beltway elite immigration agenda driven wage divided nation harder american citizen achieve american dream need secure border immigration policy benefit american president deliver,"[('decade', [1, 2]), ('american', [1, 2]), ('citizen', [2, 5]), ('political', [2, 1]), ('president', [1, 2]), ('border', [5, 1]), ('need', [1, 2]), ('illegal', [5, 1]), ('immigration', [1, 5]), ('party', [2, 1]), ('mass', [2, 5]), ('benefit', [1]), ('elite', [2]), ('deliver', [1, 5]), ('secure', [1, 5]), ('policy', [1, 2]), ('nation', [1, 5]), ('dream', [1, 5]), ('agenda', [1, 2]), ('pushed', [1, 2]), ('wage', [1]), ('achieve', [1, 5]), ('driven', [1, 2]), ('divided', [2, 5]), ('harder', [1, 5]), ('establishment', [2, 5]), ('beltway', [2])]","[('decade', ['American/economics/health', 'War']), ('american', ['American/economics/health', 'War']), ('citizen', ['War', 'Border/community/family']), ('political', ['War', 'American/economics/health']), ('president', ['American/economics/health', 'War']), ('border', ['Border/community/family', 'American/economics/health']), ('need', ['American/economics/health', 'War']), ('illegal', ['Border/community/family', 'American/economics/health']), ('immigration', ['American/economics/health', 'Border/community/family']), ('party', ['War', 'American/economics/health']), ('mass', ['War', 'Border/community/family']), ('benefit', ['American/economics/health']), ('elite', ['War']), ('deliver', ['American/economics/health', 'Border/community/family']), ('secure', ['American/economics/health', 'Border/community/family']), ('policy', ['American/economics/health', 'War']), ('nation', ['American/economics/health', 'Border/community/family']), ('dream', ['American/economics/health', 'Border/community/family']), ('agenda', ['American/economics/health', 'War']), ('pushed', ['American/economics/health', 'War']), ('wage', ['American/economics/health']), ('achieve', ['American/economics/health', 'Border/community/family']), ('driven', ['American/economics/health', 'War']), ('divided', ['War', 'Border/community/family']), ('harder', ['American/economics/health', 'Border/community/family']), ('establishment', ['War', 'Border/community/family']), ('beltway', ['War'])]"
