username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
RonDeSantis,2023-07-29 00:59:37+00:00,6,Election/debate,0.7293271,negative,0.5255915522575378,"{'negative': 0.5255915522575378, 'neutral': 0.31387564539909363, 'positive': 0.16053277254104614}",anger,0.707615315914154,"{'anger': 0.707615315914154, 'disgust': 0.12477965652942657, 'joy': 0.09341278672218323, 'optimism': 0.05571082606911659, 'anticipation': 0.004734968300908804, 'trust': 0.0036255577579140663, 'love': 0.0029047755524516106, 'sadness': 0.002725075464695692, 'fear': 0.0017360846977680922, 'pessimism': 0.0014644660986959934, 'surprise': 0.0012905299663543701}",4.0,Republicans vs democrats,0.17055817,"I am not going to let Joe Biden get away with sitting in his basement this election. We are going to run him ragged and hold him accountable. Thank you to Mahaska County, Iowa for the warm welcome! https://t.co/hQiGWzAUUs",going let joe biden away sitting basement election going run ragged hold accountable thank mahaska county iowa warm welcome,"[('biden', [6, 4]), ('let', [6, 4]), ('joe', [4, 6]), ('election', [6, 4]), ('away', [6, 4]), ('going', [6, 4]), ('county', [6, 4]), ('welcome', [6, 8]), ('run', [6, 4]), ('hold', [6, 4]), ('sitting', [6, 4]), ('thank', [6, 8]), ('iowa', [6]), ('accountable', [4]), ('warm', [6, 8]), ('basement', [8]), ('mahaska', [6]), ('ragged', [6])]","[('biden', ['Election/debate', 'Republicans vs democrats']), ('let', ['Election/debate', 'Republicans vs democrats']), ('joe', ['Republicans vs democrats', 'Election/debate']), ('election', ['Election/debate', 'Republicans vs democrats']), ('away', ['Election/debate', 'Republicans vs democrats']), ('going', ['Election/debate', 'Republicans vs democrats']), ('county', ['Election/debate', 'Republicans vs democrats']), ('welcome', ['Election/debate', 'Infrastructure/job/energy']), ('run', ['Election/debate', 'Republicans vs democrats']), ('hold', ['Election/debate', 'Republicans vs democrats']), ('sitting', ['Election/debate', 'Republicans vs democrats']), ('thank', ['Election/debate', 'Infrastructure/job/energy']), ('iowa', ['Election/debate']), ('accountable', ['Republicans vs democrats']), ('warm', ['Election/debate', 'Infrastructure/job/energy']), ('basement', ['Infrastructure/job/energy']), ('mahaska', ['Election/debate']), ('ragged', ['Election/debate'])]"
RonDeSantis,2023-10-05 20:07:50+00:00,6,Election/debate,0.59018356,neutral,0.9638935923576356,"{'neutral': 0.9638935923576355, 'positive': 0.03157087415456772, 'negative': 0.004535558633506298}",anticipation,0.7283900380134583,"{'anticipation': 0.7283900380134583, 'joy': 0.0976230800151825, 'optimism': 0.062290798872709274, 'surprise': 0.04000496864318848, 'trust': 0.023100193589925766, 'disgust': 0.014099694788455963, 'anger': 0.011376998387277126, 'fear': 0.008429519832134247, 'pessimism': 0.006510111037641764, 'sadness': 0.004768853075802326, 'love': 0.003405771916732192}",4.0,Republicans vs democrats,0.19934842,"Ron DeSantis Holds Campaign Event with Florida Sheriffs in Tampa, FL https://t.co/tvA8zAsTn2",ron desantis hold campaign event florida sheriff tampa ,"[('event', [6, 4]), ('desantis', [6, 4]), ('florida', [6, 4]), ('campaign', [6, 4]), ('hold', [6, 4]), ('sheriff', [4]), ('ron', [6, 4]), ('tampa', [1])]","[('event', ['Election/debate', 'Republicans vs democrats']), ('desantis', ['Election/debate', 'Republicans vs democrats']), ('florida', ['Election/debate', 'Republicans vs democrats']), ('campaign', ['Election/debate', 'Republicans vs democrats']), ('hold', ['Election/debate', 'Republicans vs democrats']), ('sheriff', ['Republicans vs democrats']), ('ron', ['Election/debate', 'Republicans vs democrats']), ('tampa', ['American/economics/health'])]"
RonDeSantis,2023-09-20 16:52:09+00:00,6,Election/debate,0.69281393,neutral,0.902273952960968,"{'neutral': 0.902273952960968, 'positive': 0.09452492743730545, 'negative': 0.0032011475414037704}",anticipation,0.6762502193450928,"{'anticipation': 0.6762502193450928, 'optimism': 0.12992438673973083, 'joy': 0.08600393682718277, 'trust': 0.03223050758242607, 'surprise': 0.030692875385284424, 'anger': 0.013083679601550102, 'disgust': 0.012172410264611244, 'fear': 0.00695944344624877, 'pessimism': 0.006059242878109217, 'sadness': 0.003414795733988285, 'love': 0.0032084942795336246}",2.0,War,0.14608806,"Ron DeSantis Announces Energy Policy Rollout in Midland, Texas https://t.co/HtbBqxF9K8",ron desantis announces energy policy rollout midland texas,"[('texas', [6, 2]), ('desantis', [6, 2]), ('announces', [6, 8]), ('policy', [6, 2]), ('ron', [6]), ('energy', [8, 6]), ('rollout', [2]), ('midland', [6])]","[('texas', ['Election/debate', 'War']), ('desantis', ['Election/debate', 'War']), ('announces', ['Election/debate', 'Infrastructure/job/energy']), ('policy', ['Election/debate', 'War']), ('ron', ['Election/debate']), ('energy', ['Infrastructure/job/energy', 'Election/debate']), ('rollout', ['War']), ('midland', ['Election/debate'])]"
RonDeSantis,2023-09-16 22:03:33+00:00,6,Election/debate,0.4208368,neutral,0.8481420874595642,"{'neutral': 0.8481420874595642, 'positive': 0.14874227344989777, 'negative': 0.0031156414188444614}",anticipation,0.5236135125160217,"{'anticipation': 0.5236135125160217, 'joy': 0.2734326422214508, 'optimism': 0.11293956637382507, 'surprise': 0.03580426424741745, 'trust': 0.02250961773097515, 'disgust': 0.008060959167778492, 'anger': 0.006310800090432167, 'fear': 0.004804419819265604, 'love': 0.0047204764559865, 'pessimism': 0.004035696387290955, 'sadness': 0.003768086666241288}",7.0,Abortion/rights/guns,0.32203484,"Gov. DeSantis Delivers Remarks at the God Above Government Rally in Des Moines, Iowa https://t.co/4pKZsja0nF",gov desantis delivers remark god government rally  moines iowa,"[('god', [3, 7]), ('government', [7, 6]), ('desantis', [6]), ('rally', [6]), ('delivers', [7]), ('gov', [6, 7]), ('iowa', [6, 7]), ('moines', [3]), ('remark', [7])]","[('god', ['News/radio/livestream', 'Abortion/rights/guns']), ('government', ['Abortion/rights/guns', 'Election/debate']), ('desantis', ['Election/debate']), ('rally', ['Election/debate']), ('delivers', ['Abortion/rights/guns']), ('gov', ['Election/debate', 'Abortion/rights/guns']), ('iowa', ['Election/debate', 'Abortion/rights/guns']), ('moines', ['News/radio/livestream']), ('remark', ['Abortion/rights/guns'])]"
RonDeSantis,2023-10-20 01:28:57+00:00,6,Election/debate,0.5694292,neutral,0.94304096698761,"{'neutral': 0.9430409669876099, 'positive': 0.05303753539919853, 'negative': 0.003921419847756624}",anticipation,0.6540338397026062,"{'anticipation': 0.6540338397026062, 'optimism': 0.08247615396976471, 'joy': 0.05873088538646698, 'disgust': 0.05597381293773651, 'anger': 0.04875338077545166, 'surprise': 0.039046674966812134, 'trust': 0.022509343922138214, 'pessimism': 0.013569291681051254, 'sadness': 0.010943936184048653, 'fear': 0.010922040790319443, 'love': 0.003040556563064456}",2.0,War,0.17441633,Ron DeSantis Speaks to the SC/NC Federation of Republican Women https://t.co/FGSsFQ2cal,ron desantis speaks   federation republican woman,"[('republican', [6, 7]), ('desantis', [6, 2]), ('woman', [7, 6]), ('speaks', [6, 7]), ('ron', [6]), ('federation', [2])]","[('republican', ['Election/debate', 'Abortion/rights/guns']), ('desantis', ['Election/debate', 'War']), ('woman', ['Abortion/rights/guns', 'Election/debate']), ('speaks', ['Election/debate', 'Abortion/rights/guns']), ('ron', ['Election/debate']), ('federation', ['War'])]"
RonDeSantis,2023-10-19 20:13:01+00:00,6,Election/debate,0.52530074,neutral,0.8538818359375,"{'neutral': 0.8538818359375, 'positive': 0.14284895360469818, 'negative': 0.0032692188397049904}",anticipation,0.6473461389541626,"{'anticipation': 0.6473461389541626, 'optimism': 0.1563294678926468, 'joy': 0.09398864209651947, 'trust': 0.030765468254685402, 'surprise': 0.023296738043427467, 'anger': 0.013705441728234291, 'disgust': 0.013412024825811386, 'pessimism': 0.007405371870845556, 'fear': 0.005305801052600145, 'sadness': 0.005073916632682085, 'love': 0.0033709658309817314}",5.0,Border/community/family,0.36741772,"Ron DeSantis Announces Veterans Coalition in Anderson, SC https://t.co/SN41Yckhkm",ron desantis announces veteran coalition anderson ,"[('desantis', [6]), ('announces', [6]), ('veteran', [5]), ('ron', [6]), ('coalition', [6, 5]), ('anderson', [5])]","[('desantis', ['Election/debate']), ('announces', ['Election/debate']), ('veteran', ['Border/community/family']), ('ron', ['Election/debate']), ('coalition', ['Election/debate', 'Border/community/family']), ('anderson', ['Border/community/family'])]"
RonDeSantis,2023-04-14 21:49:33+00:00,6,Election/debate,0.43625197,neutral,0.5123235583305359,"{'neutral': 0.5123235583305359, 'positive': 0.43900635838508606, 'negative': 0.04867009073495865}",anticipation,0.4183921217918396,"{'anticipation': 0.4183921217918396, 'fear': 0.26032477617263794, 'joy': 0.11015063524246216, 'optimism': 0.09183292090892792, 'surprise': 0.029270730912685394, 'disgust': 0.024220652878284454, 'sadness': 0.019277507439255714, 'pessimism': 0.01859048753976822, 'trust': 0.014496028423309326, 'anger': 0.010170402936637402, 'love': 0.0032737781293690205}",1.0,American/economics/health,0.33185813,RT @Thank you to the men and women of @MyFWC for working since early morning yesterday to help rescue people from the severe flash flooding in Ft. Lauderdale. https://t.co/RsvvoILj7p,men woman working early morning yesterday help rescue people severe flash flooding  lauderdale,"[('people', [1, 6]), ('yesterday', [6, 5]), ('help', [1, 6]), ('working', [1, 6]), ('men', [5, 6]), ('woman', [5, 1]), ('rescue', [1]), ('morning', [6, 5]), ('early', [6, 1]), ('flooding', [6, 5]), ('flash', [6]), ('severe', [6]), ('lauderdale', [1])]","[('people', ['American/economics/health', 'Election/debate']), ('yesterday', ['Election/debate', 'Border/community/family']), ('help', ['American/economics/health', 'Election/debate']), ('working', ['American/economics/health', 'Election/debate']), ('men', ['Border/community/family', 'Election/debate']), ('woman', ['Border/community/family', 'American/economics/health']), ('rescue', ['American/economics/health']), ('morning', ['Election/debate', 'Border/community/family']), ('early', ['Election/debate', 'American/economics/health']), ('flooding', ['Election/debate', 'Border/community/family']), ('flash', ['Election/debate']), ('severe', ['Election/debate']), ('lauderdale', ['American/economics/health'])]"
RonDeSantis,2023-06-22 20:32:21+00:00,6,Election/debate,0.79144573,neutral,0.9578933119773864,"{'neutral': 0.9578933119773865, 'positive': 0.03785115107893944, 'negative': 0.004255480598658323}",anticipation,0.6661813259124756,"{'anticipation': 0.6661813259124756, 'optimism': 0.1210760846734047, 'joy': 0.08458630740642548, 'surprise': 0.03483661636710167, 'trust': 0.03347008302807808, 'disgust': 0.017110729590058327, 'anger': 0.014644951559603214, 'pessimism': 0.009898832999169827, 'fear': 0.006935018580406904, 'sadness': 0.006883291527628899, 'love': 0.004376776050776243}",1.0,American/economics/health,0.1248544,"Governor DeSantis Engages with Voters in North Augusta, South Carolina https://t.co/ZPcr40IUik",governor desantis engages voter north augusta south carolina,"[('desantis', [6]), ('carolina', [6]), ('south', [6]), ('governor', [6]), ('north', [6, 1]), ('voter', [6]), ('engages', [1]), ('augusta', [6])]","[('desantis', ['Election/debate']), ('carolina', ['Election/debate']), ('south', ['Election/debate']), ('governor', ['Election/debate']), ('north', ['Election/debate', 'American/economics/health']), ('voter', ['Election/debate']), ('engages', ['American/economics/health']), ('augusta', ['Election/debate'])]"
RonDeSantis,2023-06-01 02:17:08+00:00,6,Election/debate,0.4488306,neutral,0.9338244795799256,"{'neutral': 0.9338244795799255, 'positive': 0.062340546399354935, 'negative': 0.003834972158074379}",anticipation,0.5673796534538269,"{'anticipation': 0.5673796534538269, 'joy': 0.2322460114955902, 'optimism': 0.06759531050920486, 'surprise': 0.06061837077140808, 'trust': 0.01763555221259594, 'disgust': 0.0156113151460886, 'fear': 0.008989778347313404, 'anger': 0.008851342834532261, 'sadness': 0.008779190480709076, 'pessimism': 0.007500847335904837, 'love': 0.0047926101833581924}",7.0,Abortion/rights/guns,0.26815698,"Governor DeSantis Delivers Remarks Live from Cedar Rapids, Iowa https://t.co/opkAZYRR9s",governor desantis delivers remark live cedar rapid iowa,"[('desantis', [6]), ('governor', [6, 7]), ('delivers', [7]), ('live', [6, 7]), ('iowa', [6, 7]), ('rapid', [3, 6]), ('remark', [7]), ('cedar', [3])]","[('desantis', ['Election/debate']), ('governor', ['Election/debate', 'Abortion/rights/guns']), ('delivers', ['Abortion/rights/guns']), ('live', ['Election/debate', 'Abortion/rights/guns']), ('iowa', ['Election/debate', 'Abortion/rights/guns']), ('rapid', ['News/radio/livestream', 'Election/debate']), ('remark', ['Abortion/rights/guns']), ('cedar', ['News/radio/livestream'])]"
RonDeSantis,2023-06-02 00:07:02+00:00,6,Election/debate,0.6163947,neutral,0.9263309836387634,"{'neutral': 0.9263309836387634, 'positive': 0.06997432559728622, 'negative': 0.0036946532782167196}",anticipation,0.5374045968055725,"{'anticipation': 0.5374045968055725, 'joy': 0.2596518397331238, 'optimism': 0.0671042948961258, 'surprise': 0.06292371451854706, 'trust': 0.016871070489287376, 'disgust': 0.016413111239671707, 'sadness': 0.00917296763509512, 'fear': 0.00902155227959156, 'anger': 0.00890672579407692, 'pessimism': 0.0074500031769275665, 'love': 0.005080107133835554}",7.0,Abortion/rights/guns,0.2897901,"Governor DeSantis Delivers Remarks Live from Manchester, New Hampshire https://t.co/0UICzxOy2X",governor desantis delivers remark live manchester hampshire,"[('desantis', [6]), ('governor', [6, 7]), ('delivers', [7]), ('live', [6, 7]), ('hampshire', [6]), ('remark', [7]), ('manchester', [6])]","[('desantis', ['Election/debate']), ('governor', ['Election/debate', 'Abortion/rights/guns']), ('delivers', ['Abortion/rights/guns']), ('live', ['Election/debate', 'Abortion/rights/guns']), ('hampshire', ['Election/debate']), ('remark', ['Abortion/rights/guns']), ('manchester', ['Election/debate'])]"
