username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,emotion,emotion_prob,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
RonDeSantis,2023-09-07 19:16:01+00:00,2,War,0.57036406,negative,0.5848419666290283,anger,0.6973910331726074,1.0,American/economics/health,0.39381135,"In Florida, we did not — and will not — allow the dystopian visions of paranoid hypochondriacs to control our economy or health policies. As your President, I will never let Deep State bureaucrats impose a destructive biomedical agenda on our people. https://t.co/5mzhdlVue8",florida allow dystopian vision paranoid hypochondriac control economy health policy president let deep state bureaucrat impose destructive biomedical agenda people,"[('state', [2, 1]), ('destructive', [2]), ('let', [2, 1]), ('people', [2, 1]), ('control', [2, 1]), ('president', [1, 2]), ('health', [1]), ('florida', [1]), ('allow', [2, 1]), ('policy', [1, 2]), ('deep', [2]), ('economy', [1, 2]), ('vision', [1]), ('agenda', [1, 2]), ('paranoid', [2]), ('bureaucrat', [2, 1]), ('impose', [2, 1]), ('dystopian', [2]), ('biomedical', [2]), ('hypochondriac', [2])]","[('state', ['War', 'American/economics/health']), ('destructive', ['War']), ('let', ['War', 'American/economics/health']), ('people', ['War', 'American/economics/health']), ('control', ['War', 'American/economics/health']), ('president', ['American/economics/health', 'War']), ('health', ['American/economics/health']), ('florida', ['American/economics/health']), ('allow', ['War', 'American/economics/health']), ('policy', ['American/economics/health', 'War']), ('deep', ['War']), ('economy', ['American/economics/health', 'War']), ('vision', ['American/economics/health']), ('agenda', ['American/economics/health', 'War']), ('paranoid', ['War']), ('bureaucrat', ['War', 'American/economics/health']), ('impose', ['War', 'American/economics/health']), ('dystopian', ['War']), ('biomedical', ['War']), ('hypochondriac', ['War'])]"
RonDeSantis,2023-09-21 17:10:53+00:00,2,War,0.4929971,negative,0.7468582987785339,anger,0.7542768120765686,1.0,American/economics/health,0.44920003,"For decades, the DC Establishment has put the interests of themselves and their donors above the American people. I will end business as usual in DC. That doesn’t sit well with many DC politicians — and that’s fine with me. https://t.co/fQ57UWyxCS",decade  establishment interest donor american people end business usual  sit  politician fine,"[('decade', [1, 2]), ('american', [1, 2]), ('interest', [1, 2]), ('people', [2, 1]), ('politician', [2, 1]), ('end', [1, 2]), ('business', [1, 2]), ('fine', [2]), ('donor', [1, 2]), ('sit', [1, 2]), ('usual', [2]), ('establishment', [2])]","[('decade', ['American/economics/health', 'War']), ('american', ['American/economics/health', 'War']), ('interest', ['American/economics/health', 'War']), ('people', ['War', 'American/economics/health']), ('politician', ['War', 'American/economics/health']), ('end', ['American/economics/health', 'War']), ('business', ['American/economics/health', 'War']), ('fine', ['War']), ('donor', ['American/economics/health', 'War']), ('sit', ['American/economics/health', 'War']), ('usual', ['War']), ('establishment', ['War'])]"
RonDeSantis,2023-09-06 18:18:38+00:00,2,War,0.552992,negative,0.7316333055496216,anger,0.7090082764625549,1.0,American/economics/health,0.23472643,"As Biden's biomedical state is chomping at the bit to bring back COVID authoritarianism, we will continue to hold the line. As your President, I will usher in a reckoning for those who devised the failed and destructive biomedical policies that caused damage throughout our country, because until there is accountability they will try to do it again.",biden  biomedical state chomping bit bring covid authoritarianism continue hold line president usher reckoning devised failed destructive biomedical policy caused damage country accountability try,"[('biden', [2, 1]), ('state', [2, 7]), ('caused', [1, 2]), ('destructive', [2]), ('president', [2, 1]), ('damage', [2, 1]), ('country', [2, 1]), ('try', [2, 7]), ('failed', [1, 2]), ('bit', [2]), ('bring', [1, 2]), ('continue', [1, 7]), ('accountability', [2, 1]), ('policy', [2, 1]), ('hold', [1, 7]), ('line', [2, 1]), ('covid', [1, 2]), ('authoritarianism', [2]), ('usher', [7]), ('biomedical', [2]), ('reckoning', [3]), ('chomping', [7]), ('devised', [2])]","[('biden', ['War', 'American/economics/health']), ('state', ['War', 'Abortion/rights/guns']), ('caused', ['American/economics/health', 'War']), ('destructive', ['War']), ('president', ['War', 'American/economics/health']), ('damage', ['War', 'American/economics/health']), ('country', ['War', 'American/economics/health']), ('try', ['War', 'Abortion/rights/guns']), ('failed', ['American/economics/health', 'War']), ('bit', ['War']), ('bring', ['American/economics/health', 'War']), ('continue', ['American/economics/health', 'Abortion/rights/guns']), ('accountability', ['War', 'American/economics/health']), ('policy', ['War', 'American/economics/health']), ('hold', ['American/economics/health', 'Abortion/rights/guns']), ('line', ['War', 'American/economics/health']), ('covid', ['American/economics/health', 'War']), ('authoritarianism', ['War']), ('usher', ['Abortion/rights/guns']), ('biomedical', ['War']), ('reckoning', ['News/radio/livestream']), ('chomping', ['Abortion/rights/guns']), ('devised', ['War'])]"
RonDeSantis,2023-08-24 03:59:31+00:00,2,War,0.4916744,negative,0.9400964975357056,anger,0.6340836882591248,4.0,Republicans vs democrats,0.47248212,Our cities are being hollowed out because of George Soros funding these radical left-wing district attorneys. There is one guy in this entire country that’s done anything about it: me. They are victimizing innocent people in every corner of this country. It will stop when I get into office.,city hollowed george soros funding radical left wing district attorney guy entire country victimizing innocent people corner country stop office,"[('office', [4, 2]), ('people', [2, 4]), ('funding', [2, 4]), ('country', [2, 4]), ('city', [2, 4]), ('left', [2, 4]), ('entire', [2, 4]), ('guy', [4, 2]), ('attorney', [4]), ('stop', [2, 4]), ('innocent', [2, 4]), ('district', [4]), ('radical', [2, 4]), ('wing', [4, 2]), ('corner', [4]), ('george', [4]), ('soros', [4, 2]), ('hollowed', [2]), ('victimizing', [2])]","[('office', ['Republicans vs democrats', 'War']), ('people', ['War', 'Republicans vs democrats']), ('funding', ['War', 'Republicans vs democrats']), ('country', ['War', 'Republicans vs democrats']), ('city', ['War', 'Republicans vs democrats']), ('left', ['War', 'Republicans vs democrats']), ('entire', ['War', 'Republicans vs democrats']), ('guy', ['Republicans vs democrats', 'War']), ('attorney', ['Republicans vs democrats']), ('stop', ['War', 'Republicans vs democrats']), ('innocent', ['War', 'Republicans vs democrats']), ('district', ['Republicans vs democrats']), ('radical', ['War', 'Republicans vs democrats']), ('wing', ['Republicans vs democrats', 'War']), ('corner', ['Republicans vs democrats']), ('george', ['Republicans vs democrats']), ('soros', ['Republicans vs democrats', 'War']), ('hollowed', ['War']), ('victimizing', ['War'])]"
RonDeSantis,2023-08-11 01:38:53+00:00,2,War,0.5929018,negative,0.8880274295806885,anger,0.5151135921478271,8.0,Infrastructure/job/energy,0.15336299,"Biden is shamefully caving to Iran’s blackmail and extortion. Rewarding Iran for taking Americans hostage incentivizes more hostage-taking. The $6 billion ransom payment will help Iran build nuclear weapons, support terrorism, oppress the Iranian people, and assist Russia. Biden's appeasement and weakness emboldens Iran to attack us and our allies, and facilitates Iran becoming closer than ever to nuclear weapons. Biden must stop obsessively pursuing disastrous deals that endanger our security. It is time to stand up to Iran with maximum pressure and roll back Iran's malign influence.",biden shamefully caving iran blackmail extortion rewarding iran taking american hostage incentivizes hostage taking billion ransom payment help iran build nuclear weapon support terrorism oppress iranian people assist russia biden  appeasement weakness emboldens iran attack ally facilitates iran closer nuclear weapon biden stop obsessively pursuing disastrous deal endanger security time stand iran maximum pressure roll iran  malign influence,"[('nuclear', [2, 8]), ('russia', [2, 5]), ('security', [1, 2]), ('weapon', [2, 1]), ('american', [2, 1]), ('attack', [2, 5]), ('biden', [2, 1]), ('support', [2, 8]), ('iranian', [2]), ('people', [2, 1]), ('taking', [2, 1]), ('billion', [8, 1]), ('iran', [2, 5]), ('time', [2, 1]), ('build', [8, 1]), ('help', [8, 2]), ('influence', [4, 8]), ('payment', [1, 4]), ('stop', [2, 1]), ('stand', [2, 8]), ('maximum', [8, 5]), ('deal', [2, 1]), ('ally', [2, 8]), ('pressure', [2, 1]), ('roll', [2, 8]), ('terrorism', [2, 5]), ('closer', [1, 5]), ('disastrous', [2, 1]), ('hostage', [2, 1]), ('pursuing', [5]), ('weakness', [2]), ('incentivizes', [8, 1]), ('assist', [4, 7]), ('shamefully', [7, 1]), ('endanger', [8]), ('appeasement', [2]), ('oppress', [3, 2]), ('ransom', [2]), ('extortion', [2, 8]), ('rewarding', [5]), ('blackmail', [8]), ('caving', [2]), ('malign', [8]), ('facilitates', [2]), ('emboldens', [2]), ('obsessively', [2])]","[('nuclear', ['War', 'Infrastructure/job/energy']), ('russia', ['War', 'Border/community/family']), ('security', ['American/economics/health', 'War']), ('weapon', ['War', 'American/economics/health']), ('american', ['War', 'American/economics/health']), ('attack', ['War', 'Border/community/family']), ('biden', ['War', 'American/economics/health']), ('support', ['War', 'Infrastructure/job/energy']), ('iranian', ['War']), ('people', ['War', 'American/economics/health']), ('taking', ['War', 'American/economics/health']), ('billion', ['Infrastructure/job/energy', 'American/economics/health']), ('iran', ['War', 'Border/community/family']), ('time', ['War', 'American/economics/health']), ('build', ['Infrastructure/job/energy', 'American/economics/health']), ('help', ['Infrastructure/job/energy', 'War']), ('influence', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('payment', ['American/economics/health', 'Republicans vs democrats']), ('stop', ['War', 'American/economics/health']), ('stand', ['War', 'Infrastructure/job/energy']), ('maximum', ['Infrastructure/job/energy', 'Border/community/family']), ('deal', ['War', 'American/economics/health']), ('ally', ['War', 'Infrastructure/job/energy']), ('pressure', ['War', 'American/economics/health']), ('roll', ['War', 'Infrastructure/job/energy']), ('terrorism', ['War', 'Border/community/family']), ('closer', ['American/economics/health', 'Border/community/family']), ('disastrous', ['War', 'American/economics/health']), ('hostage', ['War', 'American/economics/health']), ('pursuing', ['Border/community/family']), ('weakness', ['War']), ('incentivizes', ['Infrastructure/job/energy', 'American/economics/health']), ('assist', ['Republicans vs democrats', 'Abortion/rights/guns']), ('shamefully', ['Abortion/rights/guns', 'American/economics/health']), ('endanger', ['Infrastructure/job/energy']), ('appeasement', ['War']), ('oppress', ['News/radio/livestream', 'War']), ('ransom', ['War']), ('extortion', ['War', 'Infrastructure/job/energy']), ('rewarding', ['Border/community/family']), ('blackmail', ['Infrastructure/job/energy']), ('caving', ['War']), ('malign', ['Infrastructure/job/energy']), ('facilitates', ['War']), ('emboldens', ['War']), ('obsessively', ['War'])]"
RonDeSantis,2023-03-21 15:08:28+00:00,2,War,0.56312215,negative,0.6436701416969299,anger,0.5702099204063416,7.0,Abortion/rights/guns,0.37906432,RT @The Cuban government tried to use the World Baseball Championship for propaganda. They still lost 14-2 to the USA. Freedom wins again.,cuban government tried use world baseball championship propaganda lost usa freedom win,"[('freedom', [7, 2]), ('world', [2, 7]), ('government', [2, 7]), ('lost', [2, 7]), ('tried', [7, 2]), ('use', [2, 7]), ('propaganda', [2]), ('win', [2, 7]), ('cuban', [2]), ('usa', [7]), ('baseball', [2]), ('championship', [7])]","[('freedom', ['Abortion/rights/guns', 'War']), ('world', ['War', 'Abortion/rights/guns']), ('government', ['War', 'Abortion/rights/guns']), ('lost', ['War', 'Abortion/rights/guns']), ('tried', ['Abortion/rights/guns', 'War']), ('use', ['War', 'Abortion/rights/guns']), ('propaganda', ['War']), ('win', ['War', 'Abortion/rights/guns']), ('cuban', ['War']), ('usa', ['Abortion/rights/guns']), ('baseball', ['War']), ('championship', ['Abortion/rights/guns'])]"
RonDeSantis,2023-05-03 21:46:43+00:00,2,War,0.44659188,negative,0.7731398940086365,anger,0.487576425075531,1.0,American/economics/health,0.27865452,"RT @ESG represents an attempt to impose an ideological agenda through large financial institutions, rather than through the constitutional process. This end-run around constitutional accountability is bad for the economy and for self-government. https://t.co/qDOTj6JnoV",represents attempt impose ideological agenda large financial institution constitutional process end run constitutional accountability bad economy self government,"[('financial', [1]), ('process', [1, 7]), ('government', [2, 1]), ('end', [2, 1]), ('run', [2, 1]), ('bad', [2, 1]), ('attempt', [7, 2]), ('accountability', [2, 1]), ('constitutional', [7]), ('self', [2, 7]), ('represents', [2, 1]), ('economy', [1, 2]), ('large', [2, 1]), ('agenda', [1, 7]), ('institution', [7, 2]), ('ideological', [2]), ('impose', [2, 1])]","[('financial', ['American/economics/health']), ('process', ['American/economics/health', 'Abortion/rights/guns']), ('government', ['War', 'American/economics/health']), ('end', ['War', 'American/economics/health']), ('run', ['War', 'American/economics/health']), ('bad', ['War', 'American/economics/health']), ('attempt', ['Abortion/rights/guns', 'War']), ('accountability', ['War', 'American/economics/health']), ('constitutional', ['Abortion/rights/guns']), ('self', ['War', 'Abortion/rights/guns']), ('represents', ['War', 'American/economics/health']), ('economy', ['American/economics/health', 'War']), ('large', ['War', 'American/economics/health']), ('agenda', ['American/economics/health', 'Abortion/rights/guns']), ('institution', ['Abortion/rights/guns', 'War']), ('ideological', ['War']), ('impose', ['War', 'American/economics/health'])]"
RonDeSantis,2023-10-19 21:48:55+00:00,2,War,0.4918601,negative,0.8495466709136963,anger,0.6467555165290833,4.0,Republicans vs democrats,0.38296106,We should not be sending one red cent of your money to Hamas. https://t.co/13qtYJE2C5,sending red cent money hamas,"[('hamas', [2, 4]), ('money', [4, 2]), ('sending', [2, 4]), ('red', [2, 4]), ('cent', [4])]","[('hamas', ['War', 'Republicans vs democrats']), ('money', ['Republicans vs democrats', 'War']), ('sending', ['War', 'Republicans vs democrats']), ('red', ['War', 'Republicans vs democrats']), ('cent', ['Republicans vs democrats'])]"
RonDeSantis,2023-10-18 17:40:59+00:00,2,War,0.4732411,negative,0.9108739495277404,anger,0.7117182612419128,1.0,American/economics/health,0.42150167,Aid to the Gaza Strip is what Biden is prioritizing today? This aid will of course be commandeered by Hamas. No taxpayer dollars should be sent to Gaza. Stop funding jihad!,aid gaza strip biden prioritizing today aid course commandeered hamas taxpayer dollar sent gaza stop funding jihad,"[('biden', [1, 2]), ('today', [1, 7]), ('gaza', [2]), ('hamas', [2]), ('aid', [2, 1]), ('funding', [1, 2]), ('taxpayer', [1]), ('sent', [1]), ('jihad', [2]), ('dollar', [1]), ('stop', [2, 1]), ('course', [2, 1]), ('strip', [7]), ('prioritizing', [1]), ('commandeered', [2])]","[('biden', ['American/economics/health', 'War']), ('today', ['American/economics/health', 'Abortion/rights/guns']), ('gaza', ['War']), ('hamas', ['War']), ('aid', ['War', 'American/economics/health']), ('funding', ['American/economics/health', 'War']), ('taxpayer', ['American/economics/health']), ('sent', ['American/economics/health']), ('jihad', ['War']), ('dollar', ['American/economics/health']), ('stop', ['War', 'American/economics/health']), ('course', ['War', 'American/economics/health']), ('strip', ['Abortion/rights/guns']), ('prioritizing', ['American/economics/health']), ('commandeered', ['War'])]"
RonDeSantis,2023-09-13 18:06:11+00:00,2,War,0.66976166,negative,0.4926111400127411,anger,0.7529482245445251,1.0,American/economics/health,0.2676278,"When I’m president, the days of the DC Establishment spending this country into oblivion are over. I’ve had enough of the elites imposing their will on us. Now is the time for We the People to impose OUR will on them. https://t.co/8abcHAUOB6",president day  establishment spending country oblivion elite imposing time people impose,"[('people', [2, 1]), ('spending', [1, 2]), ('day', [1, 2]), ('president', [2, 1]), ('time', [2, 1]), ('country', [2, 1]), ('elite', [2]), ('imposing', [2]), ('establishment', [2]), ('impose', [2, 1]), ('oblivion', [2])]","[('people', ['War', 'American/economics/health']), ('spending', ['American/economics/health', 'War']), ('day', ['American/economics/health', 'War']), ('president', ['War', 'American/economics/health']), ('time', ['War', 'American/economics/health']), ('country', ['War', 'American/economics/health']), ('elite', ['War']), ('imposing', ['War']), ('establishment', ['War']), ('impose', ['War', 'American/economics/health']), ('oblivion', ['War'])]"
