username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
KamalaHarris,2023-03-06 00:00:10+00:00,7,Abortion/rights/guns,0.58172673,negative,0.5043388605117798,"{'negative': 0.5043388605117798, 'neutral': 0.4621850848197937, 'positive': 0.033476054668426514}",anger,0.6026921272277832,"{'anger': 0.6026921272277832, 'disgust': 0.3045788109302521, 'fear': 0.04446703940629959, 'optimism': 0.018767129629850388, 'anticipation': 0.011400191113352776, 'pessimism': 0.006302091293036938, 'sadness': 0.005533562041819096, 'trust': 0.0030160867609083652, 'surprise': 0.0014460713136941195, 'joy': 0.001258519827388227, 'love': 0.0005383967654779553}",1.0,American/economics/health,0.2933315,Extremist so-called leaders have taken unprecedented steps to restrict access to abortion medication. President @JoeBiden and I will fight to protect reproductive health care. https://t.co/rgzO7SrPmZ,extremist called leader taken unprecedented step restrict access abortion medication president fight protect reproductive health care,"[('taken', [1, 7]), ('called', [7, 1]), ('president', [1, 7]), ('fight', [7, 1]), ('care', [1, 7]), ('health', [1, 7]), ('step', [7, 1]), ('unprecedented', [7, 1]), ('protect', [7, 1]), ('access', [7, 1]), ('leader', [7, 8]), ('abortion', [7, 1]), ('medication', [1]), ('reproductive', [7]), ('extremist', [7]), ('restrict', [8])]","[('taken', ['American/economics/health', 'Abortion/rights/guns']), ('called', ['Abortion/rights/guns', 'American/economics/health']), ('president', ['American/economics/health', 'Abortion/rights/guns']), ('fight', ['Abortion/rights/guns', 'American/economics/health']), ('care', ['American/economics/health', 'Abortion/rights/guns']), ('health', ['American/economics/health', 'Abortion/rights/guns']), ('step', ['Abortion/rights/guns', 'American/economics/health']), ('unprecedented', ['Abortion/rights/guns', 'American/economics/health']), ('protect', ['Abortion/rights/guns', 'American/economics/health']), ('access', ['Abortion/rights/guns', 'American/economics/health']), ('leader', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('abortion', ['Abortion/rights/guns', 'American/economics/health']), ('medication', ['American/economics/health']), ('reproductive', ['Abortion/rights/guns']), ('extremist', ['Abortion/rights/guns']), ('restrict', ['Infrastructure/job/energy'])]"
RepHoulahan,2023-03-06 21:32:15+00:00,7,Abortion/rights/guns,0.6145396,positive,0.9644792079925536,"{'positive': 0.9644792079925537, 'neutral': 0.03305269777774811, 'negative': 0.002468060003593564}",joy,0.9699758291244508,"{'joy': 0.9699758291244507, 'optimism': 0.016546281054615974, 'love': 0.005270843394100666, 'anticipation': 0.003979696426540613, 'surprise': 0.0020475361961871386, 'trust': 0.0013572497991845012, 'disgust': 0.00024308818683493882, 'anger': 0.00022070028353482485, 'sadness': 0.00015912629896774888, 'fear': 0.0001164870336651802, 'pessimism': 8.315224840771407e-05}",6.0,Election/debate,0.3227233,Congratulations to @WestChesterASD's Bayard Rustin High School girls basketball team for winning the @PIAASports District 1 Championship!🏀https://t.co/mwuxHupnlw,congratulation  bayard rustin high school girl basketball team winning district championship,"[('girl', [7, 6]), ('school', [7, 6]), ('team', [6, 7]), ('high', [6]), ('district', [7, 6]), ('congratulation', [7, 6]), ('winning', [6, 7]), ('championship', [7]), ('basketball', [7, 6]), ('rustin', [7]), ('bayard', [7])]","[('girl', ['Abortion/rights/guns', 'Election/debate']), ('school', ['Abortion/rights/guns', 'Election/debate']), ('team', ['Election/debate', 'Abortion/rights/guns']), ('high', ['Election/debate']), ('district', ['Abortion/rights/guns', 'Election/debate']), ('congratulation', ['Abortion/rights/guns', 'Election/debate']), ('winning', ['Election/debate', 'Abortion/rights/guns']), ('championship', ['Abortion/rights/guns']), ('basketball', ['Abortion/rights/guns', 'Election/debate']), ('rustin', ['Abortion/rights/guns']), ('bayard', ['Abortion/rights/guns'])]"
KamalaHarris,2023-03-07 00:14:00+00:00,7,Abortion/rights/guns,0.77955073,negative,0.7292557954788208,"{'negative': 0.7292557954788208, 'neutral': 0.2521857023239136, 'positive': 0.018558477982878685}",anger,0.7220149636268616,"{'anger': 0.7220149636268616, 'disgust': 0.26646167039871216, 'fear': 0.0054108197800815105, 'sadness': 0.0017241683090105653, 'optimism': 0.0012836542446166277, 'pessimism': 0.0009096883004531264, 'anticipation': 0.0008337064064107835, 'joy': 0.0004859039618168026, 'surprise': 0.00033869780600070953, 'trust': 0.00032151167397387326, 'love': 0.00021521284361369908}",4.0,Republicans vs democrats,0.18466073,"Extremist so-called leaders want to divide our nation by banning books, censoring American history, and taking away access to reproductive care. Know this: @JoeBiden and I will never back down in the fight for freedom and liberty.",extremist called leader want divide nation banning book censoring american history taking away access reproductive care know fight freedom liberty,"[('american', [7, 4]), ('freedom', [7]), ('know', [7, 4]), ('taking', [7, 4]), ('called', [7, 4]), ('away', [7, 4]), ('fight', [7, 4]), ('history', [7, 4]), ('care', [7, 4]), ('want', [7, 4]), ('access', [7, 4]), ('leader', [7, 4]), ('banning', [7]), ('nation', [7, 4]), ('divide', [4]), ('book', [7]), ('liberty', [7, 4]), ('censoring', [4]), ('reproductive', [7]), ('extremist', [7, 4])]","[('american', ['Abortion/rights/guns', 'Republicans vs democrats']), ('freedom', ['Abortion/rights/guns']), ('know', ['Abortion/rights/guns', 'Republicans vs democrats']), ('taking', ['Abortion/rights/guns', 'Republicans vs democrats']), ('called', ['Abortion/rights/guns', 'Republicans vs democrats']), ('away', ['Abortion/rights/guns', 'Republicans vs democrats']), ('fight', ['Abortion/rights/guns', 'Republicans vs democrats']), ('history', ['Abortion/rights/guns', 'Republicans vs democrats']), ('care', ['Abortion/rights/guns', 'Republicans vs democrats']), ('want', ['Abortion/rights/guns', 'Republicans vs democrats']), ('access', ['Abortion/rights/guns', 'Republicans vs democrats']), ('leader', ['Abortion/rights/guns', 'Republicans vs democrats']), ('banning', ['Abortion/rights/guns']), ('nation', ['Abortion/rights/guns', 'Republicans vs democrats']), ('divide', ['Republicans vs democrats']), ('book', ['Abortion/rights/guns']), ('liberty', ['Abortion/rights/guns', 'Republicans vs democrats']), ('censoring', ['Republicans vs democrats']), ('reproductive', ['Abortion/rights/guns']), ('extremist', ['Abortion/rights/guns', 'Republicans vs democrats'])]"
NewsbySmiley,2023-03-07 00:30:11+00:00,7,Abortion/rights/guns,0.50230604,positive,0.6381055116653442,"{'positive': 0.6381055116653442, 'neutral': 0.3588802218437195, 'negative': 0.0030142932664602995}",joy,0.7093940377235413,"{'joy': 0.7093940377235413, 'anticipation': 0.13245327770709991, 'optimism': 0.12911973893642426, 'trust': 0.011613314971327782, 'surprise': 0.007255176082253456, 'love': 0.004261381924152374, 'sadness': 0.0014703837223351002, 'disgust': 0.0014020954258739948, 'anger': 0.0012613751459866762, 'pessimism': 0.0009335632203146815, 'fear': 0.0008356727194041014}",5.0,Border/community/family,0.42254838,RT @‘This is where I got my start.’ Supreme Court Justice Jackson returns home for an honor https://t.co/R2XtGALngu via @DavidGoodhue,got start supreme court justice jackson return home honor,"[('start', [5, 7]), ('got', [5, 7]), ('justice', [7, 5]), ('home', [5, 7]), ('honor', [5, 7]), ('court', [7]), ('return', [5, 7]), ('supreme', [7]), ('jackson', [7])]","[('start', ['Border/community/family', 'Abortion/rights/guns']), ('got', ['Border/community/family', 'Abortion/rights/guns']), ('justice', ['Abortion/rights/guns', 'Border/community/family']), ('home', ['Border/community/family', 'Abortion/rights/guns']), ('honor', ['Border/community/family', 'Abortion/rights/guns']), ('court', ['Abortion/rights/guns']), ('return', ['Border/community/family', 'Abortion/rights/guns']), ('supreme', ['Abortion/rights/guns']), ('jackson', ['Abortion/rights/guns'])]"
SenatorBaldwin,2023-03-07 00:35:10+00:00,7,Abortion/rights/guns,0.92029566,neutral,0.5968784093856812,"{'neutral': 0.5968784093856812, 'negative': 0.25271323323249817, 'positive': 0.15040838718414307}",anger,0.4558786153793335,"{'anger': 0.4558786153793335, 'disgust': 0.3414493203163147, 'sadness': 0.07579364627599716, 'pessimism': 0.04388939216732979, 'fear': 0.03935177996754646, 'optimism': 0.025907505303621292, 'anticipation': 0.009433077648282051, 'trust': 0.004406212363392115, 'surprise': 0.002011776901781559, 'love': 0.000939499877858907, 'joy': 0.0009392199572175741}",4.0,Republicans vs democrats,0.011405083,It’s time we restore and protect the reproductive rights and freedoms that have been stolen from women in Wisconsin and across America.,time restore protect reproductive right freedom stolen woman wisconsin america,"[('freedom', [7]), ('america', [7]), ('time', [7]), ('right', [7]), ('woman', [7]), ('protect', [7]), ('wisconsin', [7]), ('stolen', [7]), ('restore', [7]), ('reproductive', [7])]","[('freedom', ['Abortion/rights/guns']), ('america', ['Abortion/rights/guns']), ('time', ['Abortion/rights/guns']), ('right', ['Abortion/rights/guns']), ('woman', ['Abortion/rights/guns']), ('protect', ['Abortion/rights/guns']), ('wisconsin', ['Abortion/rights/guns']), ('stolen', ['Abortion/rights/guns']), ('restore', ['Abortion/rights/guns']), ('reproductive', ['Abortion/rights/guns'])]"
NateSilver538,2023-03-07 01:33:08+00:00,7,Abortion/rights/guns,0.57052547,neutral,0.6708864569664001,"{'neutral': 0.6708864569664001, 'positive': 0.28444960713386536, 'negative': 0.04466395825147629}",anticipation,0.5857500433921814,"{'anticipation': 0.5857500433921814, 'optimism': 0.22583170235157013, 'joy': 0.05418175458908081, 'anger': 0.03268907219171524, 'disgust': 0.03075646236538887, 'trust': 0.029324406757950783, 'surprise': 0.018715545535087585, 'pessimism': 0.010063057765364647, 'sadness': 0.006602114997804165, 'fear': 0.004195146728307009, 'love': 0.001890621380880475}",4.0,Republicans vs democrats,0.39525208,"If we zoom back to spring 2020, the most salient fact is that it's an election year, and people making public health decisions are mostly progressive Democrats (public health is very left-leaning). So ""do opposite of Trump"" is the most powerful heuristic.",zoom spring salient fact election year people making public health decision progressive democrat public health left leaning opposite trump powerful heuristic,"[('decision', [7, 4]), ('year', [7, 4]), ('people', [7, 4]), ('making', [7, 4]), ('trump', [4, 7]), ('election', [4, 7]), ('fact', [4]), ('left', [7, 4]), ('health', [7, 4]), ('democrat', [4, 7]), ('public', [4, 7]), ('powerful', [7, 4]), ('spring', [7, 4]), ('opposite', [4]), ('progressive', [7, 4]), ('leaning', [4]), ('salient', [7]), ('zoom', [7]), ('heuristic', [7])]","[('decision', ['Abortion/rights/guns', 'Republicans vs democrats']), ('year', ['Abortion/rights/guns', 'Republicans vs democrats']), ('people', ['Abortion/rights/guns', 'Republicans vs democrats']), ('making', ['Abortion/rights/guns', 'Republicans vs democrats']), ('trump', ['Republicans vs democrats', 'Abortion/rights/guns']), ('election', ['Republicans vs democrats', 'Abortion/rights/guns']), ('fact', ['Republicans vs democrats']), ('left', ['Abortion/rights/guns', 'Republicans vs democrats']), ('health', ['Abortion/rights/guns', 'Republicans vs democrats']), ('democrat', ['Republicans vs democrats', 'Abortion/rights/guns']), ('public', ['Republicans vs democrats', 'Abortion/rights/guns']), ('powerful', ['Abortion/rights/guns', 'Republicans vs democrats']), ('spring', ['Abortion/rights/guns', 'Republicans vs democrats']), ('opposite', ['Republicans vs democrats']), ('progressive', ['Abortion/rights/guns', 'Republicans vs democrats']), ('leaning', ['Republicans vs democrats']), ('salient', ['Abortion/rights/guns']), ('zoom', ['Abortion/rights/guns']), ('heuristic', ['Abortion/rights/guns'])]"
AP_Politics,2023-03-07 13:38:02+00:00,7,Abortion/rights/guns,0.416263,neutral,0.9226295948028564,"{'neutral': 0.9226295948028564, 'positive': 0.0671270489692688, 'negative': 0.010243333876132965}",anticipation,0.6784350275993347,"{'anticipation': 0.6784350275993347, 'joy': 0.1031268984079361, 'surprise': 0.052705567330121994, 'optimism': 0.051005881279706955, 'disgust': 0.036621902137994766, 'anger': 0.032618120312690735, 'trust': 0.0212975163012743, 'sadness': 0.0086134672164917, 'pessimism': 0.008242313750088215, 'fear': 0.004235352389514446, 'love': 0.003097950015217066}",4.0,Republicans vs democrats,0.2785159,"Supreme Court Notebook: Justice Ketanji Brown Jackson is having a street in Miami named for her, and Justices Neil Gorsuch and Sonia Sotomayor flavor arguments with food hypotheticals. @Shermancourt has the details. https://t.co/F2OKPfZBdC",supreme court notebook justice ketanji brown jackson having street miami named justice neil gorsuch sonia sotomayor flavor argument food hypothetical detail,"[('street', [4, 1]), ('miami', [4]), ('hypothetical', [7]), ('justice', [7, 4]), ('neil', [4]), ('court', [7, 4]), ('having', [6, 4]), ('named', [4, 6]), ('argument', [7, 4]), ('detail', [6, 4]), ('supreme', [7, 4]), ('brown', [7, 4]), ('food', [1, 6]), ('gorsuch', [6]), ('jackson', [7, 6]), ('ketanji', [7]), ('sotomayor', [6]), ('flavor', [7]), ('notebook', [4, 1]), ('sonia', [6])]","[('street', ['Republicans vs democrats', 'American/economics/health']), ('miami', ['Republicans vs democrats']), ('hypothetical', ['Abortion/rights/guns']), ('justice', ['Abortion/rights/guns', 'Republicans vs democrats']), ('neil', ['Republicans vs democrats']), ('court', ['Abortion/rights/guns', 'Republicans vs democrats']), ('having', ['Election/debate', 'Republicans vs democrats']), ('named', ['Republicans vs democrats', 'Election/debate']), ('argument', ['Abortion/rights/guns', 'Republicans vs democrats']), ('detail', ['Election/debate', 'Republicans vs democrats']), ('supreme', ['Abortion/rights/guns', 'Republicans vs democrats']), ('brown', ['Abortion/rights/guns', 'Republicans vs democrats']), ('food', ['American/economics/health', 'Election/debate']), ('gorsuch', ['Election/debate']), ('jackson', ['Abortion/rights/guns', 'Election/debate']), ('ketanji', ['Abortion/rights/guns']), ('sotomayor', ['Election/debate']), ('flavor', ['Abortion/rights/guns']), ('notebook', ['Republicans vs democrats', 'American/economics/health']), ('sonia', ['Election/debate'])]"
dscc,2023-03-07 16:33:28+00:00,7,Abortion/rights/guns,0.8748392,neutral,0.6254753470420837,"{'neutral': 0.6254753470420837, 'positive': 0.3547639548778534, 'negative': 0.019760681316256523}",optimism,0.4738497138023376,"{'optimism': 0.47384971380233765, 'anticipation': 0.3224048912525177, 'joy': 0.09945157915353775, 'trust': 0.04066187143325806, 'fear': 0.018242737278342247, 'anger': 0.009661517105996609, 'disgust': 0.00952647440135479, 'surprise': 0.008282942697405815, 'pessimism': 0.007112037856131792, 'sadness': 0.005981435999274254, 'love': 0.004824767354875803}",8.0,Infrastructure/job/energy,0.017901627,"Retweet if you support the right to safe, legal abortion. https://t.co/cN5HNXIW9N",retweet support right safe legal abortion,"[('support', [7]), ('right', [7]), ('safe', [7]), ('legal', [7]), ('abortion', [7]), ('retweet', [7])]","[('support', ['Abortion/rights/guns']), ('right', ['Abortion/rights/guns']), ('safe', ['Abortion/rights/guns']), ('legal', ['Abortion/rights/guns']), ('abortion', ['Abortion/rights/guns']), ('retweet', ['Abortion/rights/guns'])]"
SenDuckworth,2023-03-07 17:34:40+00:00,7,Abortion/rights/guns,0.6643447,neutral,0.5412704348564148,"{'neutral': 0.5412704348564148, 'positive': 0.3482285737991333, 'negative': 0.11050095409154892}",optimism,0.9008213877677916,"{'optimism': 0.9008213877677917, 'trust': 0.03393988683819771, 'anticipation': 0.02344835363328457, 'joy': 0.010727385058999062, 'sadness': 0.00689353421330452, 'pessimism': 0.006414077244699001, 'fear': 0.005589023698121309, 'anger': 0.005407810211181641, 'love': 0.003091529244557023, 'disgust': 0.002655494026839733, 'surprise': 0.001011448446661234}",6.0,Election/debate,0.22010231,"Every year, Bloody Sunday is a reminder of the blood spilled by John Lewis and other patriots to help ensure every American—regardless of race—could make their voice heard at the ballot box. It's time we honor their legacy and protect the right to vote for all. https://t.co/ufbvPm6Jf9",year bloody sunday reminder blood spilled john lewis patriot help ensure americanregardless racecould voice heard ballot box time honor legacy protect right vote,"[('year', [7, 6]), ('vote', [7, 6]), ('time', [7, 6]), ('help', [6, 7]), ('right', [7, 6]), ('honor', [7]), ('protect', [7]), ('bloody', [7]), ('heard', [7, 6]), ('john', [7, 6]), ('ballot', [7, 6]), ('sunday', [6]), ('voice', [7, 6]), ('patriot', [6, 2]), ('blood', [2, 6]), ('box', [7, 6]), ('ensure', [7, 6]), ('reminder', [7, 6]), ('lewis', [7]), ('legacy', [7]), ('spilled', [2]), ('americanregardless', [7]), ('racecould', [7])]","[('year', ['Abortion/rights/guns', 'Election/debate']), ('vote', ['Abortion/rights/guns', 'Election/debate']), ('time', ['Abortion/rights/guns', 'Election/debate']), ('help', ['Election/debate', 'Abortion/rights/guns']), ('right', ['Abortion/rights/guns', 'Election/debate']), ('honor', ['Abortion/rights/guns']), ('protect', ['Abortion/rights/guns']), ('bloody', ['Abortion/rights/guns']), ('heard', ['Abortion/rights/guns', 'Election/debate']), ('john', ['Abortion/rights/guns', 'Election/debate']), ('ballot', ['Abortion/rights/guns', 'Election/debate']), ('sunday', ['Election/debate']), ('voice', ['Abortion/rights/guns', 'Election/debate']), ('patriot', ['Election/debate', 'War']), ('blood', ['War', 'Election/debate']), ('box', ['Abortion/rights/guns', 'Election/debate']), ('ensure', ['Abortion/rights/guns', 'Election/debate']), ('reminder', ['Abortion/rights/guns', 'Election/debate']), ('lewis', ['Abortion/rights/guns']), ('legacy', ['Abortion/rights/guns']), ('spilled', ['War']), ('americanregardless', ['Abortion/rights/guns']), ('racecould', ['Abortion/rights/guns'])]"
SenatorHick,2023-03-07 18:07:23+00:00,7,Abortion/rights/guns,0.49478206,positive,0.8220687508583069,"{'positive': 0.8220687508583069, 'neutral': 0.16097275912761688, 'negative': 0.01695847511291504}",optimism,0.9012349843978882,"{'optimism': 0.9012349843978882, 'joy': 0.03213639557361603, 'trust': 0.024646218866109848, 'love': 0.009274767711758614, 'anger': 0.009162654168903828, 'anticipation': 0.00631899107247591, 'fear': 0.005333065055310726, 'sadness': 0.004720915574580431, 'disgust': 0.003508537309244275, 'pessimism': 0.0027246999088674784, 'surprise': 0.000938726938329637}",5.0,Border/community/family,0.3708714,Today we honor the civil rights demonstrators who bravely marched across the Edmund Pettus Bridge in Selma in defiance of discrimination. May the memory of that day – and the sacrifice of those men and women – forever guide the fight for a freer and more just America.,today honor civil right demonstrator bravely marched edmund pettus bridge selma defiance discrimination memory day sacrifice men woman forever guide fight freer america,"[('today', [5, 7]), ('america', [5, 7]), ('day', [5, 7]), ('right', [7, 5]), ('civil', [7, 5]), ('fight', [7, 5]), ('men', [5, 7]), ('woman', [7, 5]), ('honor', [5, 7]), ('bridge', [8]), ('guide', [5, 8]), ('forever', [5, 8]), ('discrimination', [7]), ('bravely', [7]), ('marched', [8]), ('sacrifice', [5]), ('selma', [7]), ('memory', [5]), ('defiance', [7]), ('demonstrator', [7]), ('freer', [5]), ('edmund', [7]), ('pettus', [7])]","[('today', ['Border/community/family', 'Abortion/rights/guns']), ('america', ['Border/community/family', 'Abortion/rights/guns']), ('day', ['Border/community/family', 'Abortion/rights/guns']), ('right', ['Abortion/rights/guns', 'Border/community/family']), ('civil', ['Abortion/rights/guns', 'Border/community/family']), ('fight', ['Abortion/rights/guns', 'Border/community/family']), ('men', ['Border/community/family', 'Abortion/rights/guns']), ('woman', ['Abortion/rights/guns', 'Border/community/family']), ('honor', ['Border/community/family', 'Abortion/rights/guns']), ('bridge', ['Infrastructure/job/energy']), ('guide', ['Border/community/family', 'Infrastructure/job/energy']), ('forever', ['Border/community/family', 'Infrastructure/job/energy']), ('discrimination', ['Abortion/rights/guns']), ('bravely', ['Abortion/rights/guns']), ('marched', ['Infrastructure/job/energy']), ('sacrifice', ['Border/community/family']), ('selma', ['Abortion/rights/guns']), ('memory', ['Border/community/family']), ('defiance', ['Abortion/rights/guns']), ('demonstrator', ['Abortion/rights/guns']), ('freer', ['Border/community/family']), ('edmund', ['Abortion/rights/guns']), ('pettus', ['Abortion/rights/guns'])]"
