username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
NateSilver538,2023-03-16 17:51:58+00:00,2,War,0.4805124,negative,0.5209435820579529,"{'negative': 0.5209435820579529, 'neutral': 0.4473894238471985, 'positive': 0.03166702762246132}",anticipation,0.4958679974079132,"{'anticipation': 0.4958679974079132, 'optimism': 0.17689403891563416, 'disgust': 0.09460469335317612, 'pessimism': 0.06568757444620132, 'anger': 0.05396077781915665, 'sadness': 0.05321159586310387, 'trust': 0.021074190735816956, 'fear': 0.014353035017848015, 'surprise': 0.013337052427232265, 'joy': 0.009755062870681286, 'love': 0.0012539825402200222}",not-hate,0.998085618019104,"{'not-hate': 0.998085618019104, 'hate': 0.0019144582329317927}",non-offensive,0.8244277238845825,"{'non-offensive': 0.8244277238845825, 'offensive': 0.17557232081890106}",1.0,American/economics/health,0.25716,"Should experts assign some credit to ""common sense""? Complicated question, but sometimes the answer is yes, especially in cases where the evidence is pretty weak either way. There's a whole literature on the wisdom of crowds &amp; how experts are often bad at probabilistic reasoning.",expert assign credit common sense complicated question answer yes especially case evidence pretty weak way literature wisdom crowd expert bad probabilistic reasoning,"[('way', [2, 1]), ('evidence', [4, 2]), ('crowd', [2, 4]), ('question', [4, 2]), ('expert', [2, 1]), ('common', [1, 2]), ('sense', [1, 4]), ('yes', [2, 4]), ('especially', [2, 1]), ('case', [4, 1]), ('bad', [2, 4]), ('answer', [4, 2]), ('credit', [1, 2]), ('pretty', [2, 4]), ('weak', [2, 4]), ('reasoning', [1]), ('assign', [1]), ('complicated', [2, 4]), ('wisdom', [2, 4]), ('literature', [2]), ('probabilistic', [2])]","[('way', ['War', 'American/economics/health']), ('evidence', ['Republicans vs democrats', 'War']), ('crowd', ['War', 'Republicans vs democrats']), ('question', ['Republicans vs democrats', 'War']), ('expert', ['War', 'American/economics/health']), ('common', ['American/economics/health', 'War']), ('sense', ['American/economics/health', 'Republicans vs democrats']), ('yes', ['War', 'Republicans vs democrats']), ('especially', ['War', 'American/economics/health']), ('case', ['Republicans vs democrats', 'American/economics/health']), ('bad', ['War', 'Republicans vs democrats']), ('answer', ['Republicans vs democrats', 'War']), ('credit', ['American/economics/health', 'War']), ('pretty', ['War', 'Republicans vs democrats']), ('weak', ['War', 'Republicans vs democrats']), ('reasoning', ['American/economics/health']), ('assign', ['American/economics/health']), ('complicated', ['War', 'Republicans vs democrats']), ('wisdom', ['War', 'Republicans vs democrats']), ('literature', ['War']), ('probabilistic', ['War'])]"
laurenboebert,2023-03-16 20:30:27+00:00,2,War,0.3566754,neutral,0.6930398941040039,"{'neutral': 0.6930398941040039, 'positive': 0.1803884506225586, 'negative': 0.1265716850757599}",optimism,0.4146549105644226,"{'optimism': 0.4146549105644226, 'anger': 0.1810363084077835, 'fear': 0.13633188605308533, 'anticipation': 0.128374382853508, 'disgust': 0.07048896700143814, 'trust': 0.03343261405825615, 'joy': 0.019339386373758316, 'pessimism': 0.006684109568595886, 'surprise': 0.0053501310758292675, 'sadness': 0.0027030939236283302, 'love': 0.0016042396891862154}",not-hate,0.9973649382591248,"{'not-hate': 0.9973649382591248, 'hate': 0.002635125769302249}",non-offensive,0.8632386326789856,"{'non-offensive': 0.8632386326789856, 'offensive': 0.13676130771636963}",7.0,Abortion/rights/guns,0.24014619,"RT @It is to @SpeakerMcCarthy’s great credit that he lets War Powers votes come to the floor and he doesn’t play the games Pelosi did to hijack the legislative calendar from lawmakers. Speaker and I disagree strongly on whether America should be a global police force, but he doesn’t fear the debate or the vote.",great credit let war power vote come floor play game pelosi hijack legislative calendar lawmaker speaker disagree strongly america global police force fear debate vote,"[('come', [2, 6]), ('war', [2, 4]), ('force', [2, 7]), ('fear', [2, 7]), ('let', [2, 7]), ('strongly', [2, 4]), ('america', [2, 7]), ('police', [2, 4]), ('vote', [7, 6]), ('power', [2, 4]), ('speaker', [4, 7]), ('debate', [6, 4]), ('great', [6, 2]), ('legislative', [7, 6]), ('floor', [7, 4]), ('pelosi', [4, 2]), ('lawmaker', [7, 4]), ('global', [2, 6]), ('game', [6, 7]), ('credit', [2, 1]), ('play', [6, 2]), ('disagree', [4, 2]), ('calendar', [7]), ('hijack', [2])]","[('come', ['War', 'Election/debate']), ('war', ['War', 'Republicans vs democrats']), ('force', ['War', 'Abortion/rights/guns']), ('fear', ['War', 'Abortion/rights/guns']), ('let', ['War', 'Abortion/rights/guns']), ('strongly', ['War', 'Republicans vs democrats']), ('america', ['War', 'Abortion/rights/guns']), ('police', ['War', 'Republicans vs democrats']), ('vote', ['Abortion/rights/guns', 'Election/debate']), ('power', ['War', 'Republicans vs democrats']), ('speaker', ['Republicans vs democrats', 'Abortion/rights/guns']), ('debate', ['Election/debate', 'Republicans vs democrats']), ('great', ['Election/debate', 'War']), ('legislative', ['Abortion/rights/guns', 'Election/debate']), ('floor', ['Abortion/rights/guns', 'Republicans vs democrats']), ('pelosi', ['Republicans vs democrats', 'War']), ('lawmaker', ['Abortion/rights/guns', 'Republicans vs democrats']), ('global', ['War', 'Election/debate']), ('game', ['Election/debate', 'Abortion/rights/guns']), ('credit', ['War', 'American/economics/health']), ('play', ['Election/debate', 'War']), ('disagree', ['Republicans vs democrats', 'War']), ('calendar', ['Abortion/rights/guns']), ('hijack', ['War'])]"
GovRonDeSantis,2023-03-16 21:21:32+00:00,2,War,0.4917681,neutral,0.5059996247291565,"{'neutral': 0.5059996247291565, 'negative': 0.4750320613384247, 'positive': 0.018968237563967705}",anger,0.5246436595916748,"{'anger': 0.5246436595916748, 'disgust': 0.4525992274284363, 'fear': 0.007668178062886, 'sadness': 0.0070927441120147705, 'pessimism': 0.0037457135040313005, 'anticipation': 0.002303403802216053, 'surprise': 0.0008083356660790741, 'optimism': 0.0006669849972240627, 'trust': 0.0002135482063749805, 'joy': 0.00019086610700469464, 'love': 6.731303437845781e-05}",not-hate,0.9933971166610718,"{'not-hate': 0.9933971166610718, 'hate': 0.006602904759347439}",non-offensive,0.8898048996925354,"{'non-offensive': 0.8898048996925354, 'offensive': 0.1101951152086258}",5.0,Border/community/family,0.36962137,Remember when so-called public health experts said it was ok to have mass gatherings if you join the BLM protests but that it was not ok to protest lockdowns? https://t.co/o4t0OgN1lM,remember called public health expert said  mass gathering join blm protest  protest lockdown,"[('said', [2, 5]), ('called', [2, 5]), ('protest', [2]), ('expert', [2, 5]), ('health', [1, 5]), ('mass', [2, 5]), ('public', [5, 1]), ('remember', [5, 2]), ('join', [5, 1]), ('gathering', [5, 2]), ('lockdown', [2, 5]), ('blm', [5])]","[('said', ['War', 'Border/community/family']), ('called', ['War', 'Border/community/family']), ('protest', ['War']), ('expert', ['War', 'Border/community/family']), ('health', ['American/economics/health', 'Border/community/family']), ('mass', ['War', 'Border/community/family']), ('public', ['Border/community/family', 'American/economics/health']), ('remember', ['Border/community/family', 'War']), ('join', ['Border/community/family', 'American/economics/health']), ('gathering', ['Border/community/family', 'War']), ('lockdown', ['War', 'Border/community/family']), ('blm', ['Border/community/family'])]"
RonDeSantis,2023-03-17 01:08:26+00:00,2,War,0.5162204,neutral,0.5929833054542542,"{'neutral': 0.5929833054542542, 'negative': 0.3914755880832672, 'positive': 0.01554112322628498}",anger,0.546022891998291,"{'anger': 0.546022891998291, 'disgust': 0.43442535400390625, 'sadness': 0.00638562673702836, 'fear': 0.005836674012243748, 'pessimism': 0.003037263872101903, 'anticipation': 0.0023782330099493265, 'surprise': 0.0008701549959369004, 'optimism': 0.0005534690571948886, 'joy': 0.0002238899323856458, 'trust': 0.0002010570460697636, 'love': 6.53761817375198e-05}",not-hate,0.9932652711868286,"{'not-hate': 0.9932652711868286, 'hate': 0.006734675727784634}",non-offensive,0.9133045077323914,"{'non-offensive': 0.9133045077323914, 'offensive': 0.08669551461935043}",5.0,Border/community/family,0.32448268,RT @Remember when so-called public health experts said it was ok to have mass gatherings if you join the BLM protests but that it was not ok to protest lockdowns? https://t.co/o4t0OgN1lM,called public health expert said  mass gathering join blm protest  protest lockdown,"[('said', [2, 5]), ('called', [2, 5]), ('protest', [2]), ('expert', [2, 5]), ('health', [1, 5]), ('mass', [2, 5]), ('public', [5, 1]), ('join', [5, 1]), ('gathering', [5, 2]), ('lockdown', [2, 5]), ('blm', [5])]","[('said', ['War', 'Border/community/family']), ('called', ['War', 'Border/community/family']), ('protest', ['War']), ('expert', ['War', 'Border/community/family']), ('health', ['American/economics/health', 'Border/community/family']), ('mass', ['War', 'Border/community/family']), ('public', ['Border/community/family', 'American/economics/health']), ('join', ['Border/community/family', 'American/economics/health']), ('gathering', ['Border/community/family', 'War']), ('lockdown', ['War', 'Border/community/family']), ('blm', ['Border/community/family'])]"
RonDeSantis,2023-03-17 01:08:28+00:00,2,War,0.49792564,positive,0.9850077629089355,"{'positive': 0.9850077629089355, 'neutral': 0.013216935098171234, 'negative': 0.001775317476131022}",joy,0.955670177936554,"{'joy': 0.955670177936554, 'optimism': 0.024147648364305496, 'love': 0.017275260761380196, 'trust': 0.0009794407524168491, 'anticipation': 0.0006933825789019465, 'surprise': 0.0005975576350465417, 'disgust': 0.00016880415205378085, 'anger': 0.00016628808225505054, 'sadness': 0.0001309339131694287, 'fear': 0.00010416606528451666, 'pessimism': 6.63476312183775e-05}",not-hate,0.998402178287506,"{'not-hate': 0.9984021782875061, 'hate': 0.0015978059964254498}",non-offensive,0.963095724582672,"{'non-offensive': 0.9630957245826721, 'offensive': 0.036904338747262955}",5.0,Border/community/family,0.23400417,RT @GovRonDeSantis: Mason and I enjoyed our time at the World Baseball Classic. Congrats Puerto Rico on your win! https://t.co/1Cof6pSYcx,mason enjoyed time world baseball classic congrats puerto rico win,"[('world', [2, 5]), ('time', [2, 5]), ('win', [6, 2]), ('enjoyed', [6, 5]), ('baseball', [2, 6]), ('congrats', [5, 6]), ('classic', [2]), ('rico', [2]), ('puerto', [2]), ('mason', [5])]","[('world', ['War', 'Border/community/family']), ('time', ['War', 'Border/community/family']), ('win', ['Election/debate', 'War']), ('enjoyed', ['Election/debate', 'Border/community/family']), ('baseball', ['War', 'Election/debate']), ('congrats', ['Border/community/family', 'Election/debate']), ('classic', ['War']), ('rico', ['War']), ('puerto', ['War']), ('mason', ['Border/community/family'])]"
TulsiGabbard,2023-03-17 13:11:02+00:00,2,War,0.4025322,negative,0.7787767052650452,"{'negative': 0.7787767052650452, 'neutral': 0.201244056224823, 'positive': 0.019979288801550865}",fear,0.953583598136902,"{'fear': 0.9535835981369019, 'disgust': 0.019502565264701843, 'anger': 0.014585981145501137, 'sadness': 0.005214598495513201, 'pessimism': 0.00391847500577569, 'optimism': 0.001142834429629147, 'anticipation': 0.0010113632306456566, 'trust': 0.00036173814442008734, 'surprise': 0.0003470871306490153, 'joy': 0.00017192107043229043, 'love': 0.00015983168850652874}",not-hate,0.9921451210975648,"{'not-hate': 0.9921451210975647, 'hate': 0.007854907773435116}",non-offensive,0.8483452200889587,"{'non-offensive': 0.8483452200889587, 'offensive': 0.15165476500988007}",5.0,Border/community/family,0.37612805,"As Lincoln warned: the biggest danger to the United States doesn't come from abroad, but from within. Our freedoms are being threatened not by a foreign enemy, but by those who have supposedly sworn to support and defend our Constitution.",lincoln warned biggest danger united state come abroad freedom threatened foreign enemy supposedly sworn support defend constitution,"[('come', [5, 2]), ('freedom', [7, 5]), ('state', [5, 7]), ('united', [5, 2]), ('support', [5, 2]), ('abroad', [5, 2]), ('threatened', [2, 7]), ('constitution', [7, 2]), ('biggest', [2, 5]), ('enemy', [2, 5]), ('warned', [2]), ('lincoln', [5]), ('foreign', [2, 5]), ('defend', [5, 7]), ('supposedly', [5]), ('sworn', [7]), ('danger', [2, 5])]","[('come', ['Border/community/family', 'War']), ('freedom', ['Abortion/rights/guns', 'Border/community/family']), ('state', ['Border/community/family', 'Abortion/rights/guns']), ('united', ['Border/community/family', 'War']), ('support', ['Border/community/family', 'War']), ('abroad', ['Border/community/family', 'War']), ('threatened', ['War', 'Abortion/rights/guns']), ('constitution', ['Abortion/rights/guns', 'War']), ('biggest', ['War', 'Border/community/family']), ('enemy', ['War', 'Border/community/family']), ('warned', ['War']), ('lincoln', ['Border/community/family']), ('foreign', ['War', 'Border/community/family']), ('defend', ['Border/community/family', 'Abortion/rights/guns']), ('supposedly', ['Border/community/family']), ('sworn', ['Abortion/rights/guns']), ('danger', ['War', 'Border/community/family'])]"
amyewalter,2023-03-17 13:48:54+00:00,2,War,0.39982882,neutral,0.8188877701759338,"{'neutral': 0.8188877701759338, 'negative': 0.16298386454582214, 'positive': 0.018128395080566406}",anticipation,0.3781162202358246,"{'anticipation': 0.3781162202358246, 'disgust': 0.21858443319797516, 'anger': 0.18033716082572937, 'surprise': 0.06342682987451553, 'sadness': 0.05975582078099251, 'pessimism': 0.029010314494371414, 'joy': 0.023389846086502075, 'fear': 0.017909688875079155, 'optimism': 0.015287725254893303, 'trust': 0.011476906016469002, 'love': 0.0027050592470914125}",not-hate,0.99314284324646,"{'not-hate': 0.99314284324646, 'hate': 0.006857195869088173}",non-offensive,0.9488353729248048,"{'non-offensive': 0.9488353729248047, 'offensive': 0.051164623349905014}",1.0,American/economics/health,0.34993452,Care to respond @JessicaTaylor ?,care respond,"[('care', [1, 2]), ('respond', [2, 1])]","[('care', ['American/economics/health', 'War']), ('respond', ['War', 'American/economics/health'])]"
NateSilver538,2023-03-17 14:15:15+00:00,2,War,0.27622208,neutral,0.7479566335678101,"{'neutral': 0.7479566335678101, 'negative': 0.21085841953754425, 'positive': 0.041184961795806885}",anticipation,0.3726062476634979,"{'anticipation': 0.3726062476634979, 'disgust': 0.18538251519203186, 'anger': 0.1506020873785019, 'optimism': 0.13043475151062012, 'pessimism': 0.060657426714897156, 'sadness': 0.0403820164501667, 'trust': 0.020970012992620468, 'surprise': 0.015739236027002335, 'fear': 0.015234028920531273, 'joy': 0.006506156176328659, 'love': 0.0014854902401566505}",not-hate,0.9984564781188964,"{'not-hate': 0.9984564781188965, 'hate': 0.0015435523819178343}",non-offensive,0.8683651685714722,"{'non-offensive': 0.8683651685714722, 'offensive': 0.1316348761320114}",1.0,American/economics/health,0.26542875,"But also, educational polarization is particularly important in how institutions that rely heavily on a workforce with substantial educational qualifications behave, such as media, academia and some parts of politics. And those institutions have a lot of downstream influence.",educational polarization particularly important institution rely heavily workforce substantial educational qualification behave medium academia part politics institution lot downstream influence,"[('medium', [2, 4]), ('lot', [2, 4]), ('part', [8, 1]), ('important', [8, 1]), ('influence', [4, 8]), ('politics', [2, 4]), ('substantial', [1]), ('particularly', [4, 1]), ('qualification', [6, 2]), ('polarization', [2, 6]), ('institution', [2, 8]), ('workforce', [8, 1]), ('heavily', [2]), ('educational', [1, 8]), ('rely', [8, 1]), ('behave', [2]), ('academia', [1]), ('downstream', [8, 6])]","[('medium', ['War', 'Republicans vs democrats']), ('lot', ['War', 'Republicans vs democrats']), ('part', ['Infrastructure/job/energy', 'American/economics/health']), ('important', ['Infrastructure/job/energy', 'American/economics/health']), ('influence', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('politics', ['War', 'Republicans vs democrats']), ('substantial', ['American/economics/health']), ('particularly', ['Republicans vs democrats', 'American/economics/health']), ('qualification', ['Election/debate', 'War']), ('polarization', ['War', 'Election/debate']), ('institution', ['War', 'Infrastructure/job/energy']), ('workforce', ['Infrastructure/job/energy', 'American/economics/health']), ('heavily', ['War']), ('educational', ['American/economics/health', 'Infrastructure/job/energy']), ('rely', ['Infrastructure/job/energy', 'American/economics/health']), ('behave', ['War']), ('academia', ['American/economics/health']), ('downstream', ['Infrastructure/job/energy', 'Election/debate'])]"
laurenboebert,2023-03-17 17:57:38+00:00,2,War,0.39577857,negative,0.8995089530944824,"{'negative': 0.8995089530944824, 'neutral': 0.09071847796440125, 'positive': 0.00977262295782566}",anger,0.5896583199501038,"{'anger': 0.5896583199501038, 'disgust': 0.4000549614429474, 'sadness': 0.0056416490115225315, 'fear': 0.002622690051794052, 'pessimism': 0.0006988456007093191, 'surprise': 0.0006107655935920775, 'anticipation': 0.0002913110365625471, 'joy': 0.0001623259886400774, 'love': 0.00010024257062468678, 'trust': 7.947411359054968e-05, 'optimism': 7.945160905364901e-05}",not-hate,0.7929747104644775,"{'not-hate': 0.7929747104644775, 'hate': 0.20702536404132843}",offensive,0.6788582801818848,"{'offensive': 0.6788582801818848, 'non-offensive': 0.32114171981811523}",1.0,American/economics/health,0.30316406,There is basically no member of the Biden family that isn’t in on the corrupt family grift. Disgusting. https://t.co/UL86lAU4K6,basically member biden family corrupt family grift disgusting,"[('biden', [2, 1]), ('member', [8, 1]), ('family', [1, 8]), ('corrupt', [2, 1]), ('basically', [2]), ('disgusting', [2]), ('grift', [8])]","[('biden', ['War', 'American/economics/health']), ('member', ['Infrastructure/job/energy', 'American/economics/health']), ('family', ['American/economics/health', 'Infrastructure/job/energy']), ('corrupt', ['War', 'American/economics/health']), ('basically', ['War']), ('disgusting', ['War']), ('grift', ['Infrastructure/job/energy'])]"
NateSilver538,2023-03-20 02:48:01+00:00,2,War,0.7007703,negative,0.82553631067276,"{'negative': 0.82553631067276, 'neutral': 0.1589065045118332, 'positive': 0.01555715873837471}",anger,0.2857158184051513,"{'anger': 0.28571581840515137, 'disgust': 0.2080923318862915, 'optimism': 0.18455997109413147, 'anticipation': 0.16652528941631317, 'pessimism': 0.06880521029233932, 'sadness': 0.04987635463476181, 'trust': 0.01599806360900402, 'fear': 0.006884125526994467, 'surprise': 0.006592231802642345, 'joy': 0.005922290496528149, 'love': 0.0010283885058015585}",not-hate,0.9972521662712096,"{'not-hate': 0.9972521662712097, 'hate': 0.0027477906551212072}",non-offensive,0.7442666888237,"{'non-offensive': 0.7442666888237, 'offensive': 0.25573334097862244}",4.0,Republicans vs democrats,0.19162771,Never going to be part of any movement or clique where skepticism is negatively coded.,going movement clique skepticism negatively coded,"[('going', [2, 4]), ('movement', [2, 4]), ('skepticism', [4]), ('coded', [2]), ('negatively', [2]), ('clique', [2])]","[('going', ['War', 'Republicans vs democrats']), ('movement', ['War', 'Republicans vs democrats']), ('skepticism', ['Republicans vs democrats']), ('coded', ['War']), ('negatively', ['War']), ('clique', ['War'])]"
