username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
KamalaHarris,2023-03-26 02:40:00+00:00,1,American/economics/health,0.46669778,neutral,0.5612820386886597,"{'neutral': 0.5612820386886597, 'negative': 0.3833644390106201, 'positive': 0.05535349249839783}",anger,0.4378087818622589,"{'anger': 0.4378087818622589, 'disgust': 0.2006077766418457, 'fear': 0.16543368995189667, 'anticipation': 0.08318150788545609, 'optimism': 0.06691242009401321, 'trust': 0.016339989379048347, 'surprise': 0.009291318245232105, 'pessimism': 0.008997819386422634, 'sadness': 0.005033125169575214, 'joy': 0.004973619244992733, 'love': 0.0014198828721418977}",not-hate,0.9963515996932985,"{'not-hate': 0.9963515996932983, 'hate': 0.003648442681878805}",non-offensive,0.6686398983001709,"{'non-offensive': 0.6686398983001709, 'offensive': 0.3313601315021515}",8.0,Infrastructure/job/energy,0.46501803,We must pass universal background checks and ban assault weapons and high-capacity magazines.,pas universal background check ban assault weapon high capacity magazine,"[('ban', [8, 1]), ('weapon', [1, 8]), ('high', [8, 1]), ('pas', [1, 8]), ('check', [1, 8]), ('assault', [8]), ('capacity', [8]), ('magazine', [8]), ('background', [1, 8]), ('universal', [1])]","[('ban', ['Infrastructure/job/energy', 'American/economics/health']), ('weapon', ['American/economics/health', 'Infrastructure/job/energy']), ('high', ['Infrastructure/job/energy', 'American/economics/health']), ('pas', ['American/economics/health', 'Infrastructure/job/energy']), ('check', ['American/economics/health', 'Infrastructure/job/energy']), ('assault', ['Infrastructure/job/energy']), ('capacity', ['Infrastructure/job/energy']), ('magazine', ['Infrastructure/job/energy']), ('background', ['American/economics/health', 'Infrastructure/job/energy']), ('universal', ['American/economics/health'])]"
JohnDelaney,2023-03-26 15:35:00+00:00,1,American/economics/health,0.8227759,negative,0.578856885433197,"{'negative': 0.578856885433197, 'neutral': 0.3920125365257263, 'positive': 0.029130591079592705}",optimism,0.4738663733005523,"{'optimism': 0.47386637330055237, 'anticipation': 0.37274035811424255, 'trust': 0.02921808324754238, 'disgust': 0.026385467499494553, 'pessimism': 0.024770688265562057, 'anger': 0.019714664667844772, 'sadness': 0.016300810500979424, 'joy': 0.0156968105584383, 'fear': 0.012144842185080051, 'surprise': 0.008051310665905476, 'love': 0.0011105468729510903}",not-hate,0.9985418319702148,"{'not-hate': 0.9985418319702148, 'hate': 0.0014581936411559582}",non-offensive,0.8436029553413391,"{'non-offensive': 0.8436029553413391, 'offensive': 0.1563970446586609}",8.0,Infrastructure/job/energy,0.08499185,Recent high levels of inflation will likely change American politics in a profound way for the next generation It will be much harder to advocate for unpaid for spending increases or tax cuts and it may usher in an era of fiscal discipline,recent high level inflation likely change american politics profound way generation harder advocate unpaid spending increase tax cut usher era fiscal discipline,"[('american', [1, 8]), ('way', [1, 8]), ('spending', [1]), ('likely', [1]), ('high', [1, 8]), ('tax', [1]), ('change', [1, 8]), ('recent', [1, 8]), ('cut', [1]), ('increase', [1, 8]), ('generation', [1, 8]), ('politics', [1, 7]), ('profound', [1]), ('level', [1, 8]), ('advocate', [1, 8]), ('inflation', [1]), ('era', [1, 8]), ('harder', [1]), ('fiscal', [1]), ('discipline', [8]), ('usher', [7]), ('unpaid', [1])]","[('american', ['American/economics/health', 'Infrastructure/job/energy']), ('way', ['American/economics/health', 'Infrastructure/job/energy']), ('spending', ['American/economics/health']), ('likely', ['American/economics/health']), ('high', ['American/economics/health', 'Infrastructure/job/energy']), ('tax', ['American/economics/health']), ('change', ['American/economics/health', 'Infrastructure/job/energy']), ('recent', ['American/economics/health', 'Infrastructure/job/energy']), ('cut', ['American/economics/health']), ('increase', ['American/economics/health', 'Infrastructure/job/energy']), ('generation', ['American/economics/health', 'Infrastructure/job/energy']), ('politics', ['American/economics/health', 'Abortion/rights/guns']), ('profound', ['American/economics/health']), ('level', ['American/economics/health', 'Infrastructure/job/energy']), ('advocate', ['American/economics/health', 'Infrastructure/job/energy']), ('inflation', ['American/economics/health']), ('era', ['American/economics/health', 'Infrastructure/job/energy']), ('harder', ['American/economics/health']), ('fiscal', ['American/economics/health']), ('discipline', ['Infrastructure/job/energy']), ('usher', ['Abortion/rights/guns']), ('unpaid', ['American/economics/health'])]"
SenatorHick,2023-03-26 17:18:23+00:00,1,American/economics/health,0.6907701,negative,0.8894786238670349,"{'negative': 0.8894786238670349, 'neutral': 0.1012808308005333, 'positive': 0.009240605868399143}",anger,0.5459938645362854,"{'anger': 0.5459938645362854, 'disgust': 0.43581217527389526, 'fear': 0.007807690650224686, 'sadness': 0.007449944503605366, 'pessimism': 0.0014899532543495297, 'surprise': 0.0005199240404181182, 'anticipation': 0.0005094847874715924, 'optimism': 0.00014312141865957528, 'joy': 0.00010932509758276865, 'trust': 9.533613047096878e-05, 'love': 6.925441266503185e-05}",not-hate,0.9974666833877563,"{'not-hate': 0.9974666833877563, 'hate': 0.0025333347730338573}",non-offensive,0.8006260991096497,"{'non-offensive': 0.8006260991096497, 'offensive': 0.19937391579151154}",2.0,War,0.24094571,We’re constantly being hit with crazy fees when we travel! There’s no reason why these companies shouldn’t be upfront about the REAL costs. https://t.co/DR7bBp5qCR,constantly hit crazy fee travel reason company upfront real cost,"[('travel', [1]), ('hit', [1, 2]), ('reason', [1, 2]), ('crazy', [2, 1]), ('real', [1, 2]), ('cost', [1]), ('company', [1]), ('constantly', [2]), ('fee', [1]), ('upfront', [1])]","[('travel', ['American/economics/health']), ('hit', ['American/economics/health', 'War']), ('reason', ['American/economics/health', 'War']), ('crazy', ['War', 'American/economics/health']), ('real', ['American/economics/health', 'War']), ('cost', ['American/economics/health']), ('company', ['American/economics/health']), ('constantly', ['War']), ('fee', ['American/economics/health']), ('upfront', ['American/economics/health'])]"
KamalaHarris,2023-03-26 18:41:00+00:00,1,American/economics/health,0.96017325,positive,0.9036799669265748,"{'positive': 0.9036799669265747, 'neutral': 0.09146860986948013, 'negative': 0.004851343110203743}",optimism,0.7830399870872498,"{'optimism': 0.7830399870872498, 'joy': 0.07365503907203674, 'anticipation': 0.055851854383945465, 'anger': 0.036687176674604416, 'trust': 0.0305428858846426, 'disgust': 0.009437840431928635, 'fear': 0.0029236022382974625, 'surprise': 0.002731502754613757, 'pessimism': 0.002166353166103363, 'love': 0.0019265444716438651, 'sadness': 0.0010372733231633902}",not-hate,0.9984971284866332,"{'not-hate': 0.9984971284866333, 'hate': 0.0015028815250843763}",non-offensive,0.902729332447052,"{'non-offensive': 0.902729332447052, 'offensive': 0.097270667552948}",,,,"For the first time in history, Medicare will have the power to negotiate lower prescription drug prices, meaning more breathing room for our nation’s seniors and working families. President @JoeBiden and I took on Big Pharma—and won.",time history medicare power negotiate lower prescription drug price meaning breathing room nation senior working family president took big pharmaand won,"[('senior', [1]), ('president', [1]), ('time', [1]), ('power', [1]), ('working', [1]), ('room', [1]), ('history', [1]), ('family', [1]), ('drug', [1]), ('won', [1]), ('big', [1]), ('lower', [1]), ('meaning', [1]), ('took', [1]), ('nation', [1]), ('price', [1]), ('medicare', [1]), ('prescription', [1]), ('negotiate', [1]), ('breathing', [1]), ('pharmaand', [1])]","[('senior', ['American/economics/health']), ('president', ['American/economics/health']), ('time', ['American/economics/health']), ('power', ['American/economics/health']), ('working', ['American/economics/health']), ('room', ['American/economics/health']), ('history', ['American/economics/health']), ('family', ['American/economics/health']), ('drug', ['American/economics/health']), ('won', ['American/economics/health']), ('big', ['American/economics/health']), ('lower', ['American/economics/health']), ('meaning', ['American/economics/health']), ('took', ['American/economics/health']), ('nation', ['American/economics/health']), ('price', ['American/economics/health']), ('medicare', ['American/economics/health']), ('prescription', ['American/economics/health']), ('negotiate', ['American/economics/health']), ('breathing', ['American/economics/health']), ('pharmaand', ['American/economics/health'])]"
laurenboebert,2023-03-26 20:23:55+00:00,1,American/economics/health,0.6404753,neutral,0.5968191027641296,"{'neutral': 0.5968191027641296, 'negative': 0.30600637197494507, 'positive': 0.09717453271150589}",disgust,0.4035731554031372,"{'disgust': 0.4035731554031372, 'anticipation': 0.22296921908855438, 'anger': 0.17800721526145935, 'fear': 0.0664481446146965, 'pessimism': 0.03558327257633209, 'surprise': 0.026625987142324448, 'sadness': 0.026186589151620865, 'optimism': 0.025622718036174774, 'trust': 0.009859493933618069, 'joy': 0.004006215371191502, 'love': 0.0011179691646248102}",not-hate,0.9984561204910278,"{'not-hate': 0.9984561204910278, 'hate': 0.0015438594855368137}",offensive,0.6128457188606262,"{'offensive': 0.6128457188606262, 'non-offensive': 0.38715431094169617}",4.0,Republicans vs democrats,0.2760725,I'm helping make sure parents know what the heck is going on in our public schools. https://t.co/Aq5i0PsHRR,helping sure parent know heck going public school,"[('know', [1, 4]), ('going', [1, 4]), ('helping', [1, 4]), ('school', [1, 4]), ('parent', [1, 4]), ('sure', [1, 4]), ('public', [1, 4]), ('heck', [4])]","[('know', ['American/economics/health', 'Republicans vs democrats']), ('going', ['American/economics/health', 'Republicans vs democrats']), ('helping', ['American/economics/health', 'Republicans vs democrats']), ('school', ['American/economics/health', 'Republicans vs democrats']), ('parent', ['American/economics/health', 'Republicans vs democrats']), ('sure', ['American/economics/health', 'Republicans vs democrats']), ('public', ['American/economics/health', 'Republicans vs democrats']), ('heck', ['Republicans vs democrats'])]"
ChrisMurphyCT,2023-03-26 20:33:19+00:00,1,American/economics/health,0.3761371,positive,0.7030308246612549,"{'positive': 0.7030308246612549, 'neutral': 0.2783542275428772, 'negative': 0.0186149999499321}",optimism,0.7509856820106506,"{'optimism': 0.7509856820106506, 'anticipation': 0.09946003556251526, 'fear': 0.06406699866056442, 'joy': 0.04716243967413902, 'trust': 0.02306530624628067, 'pessimism': 0.004177840426564217, 'surprise': 0.0028698572423309088, 'sadness': 0.0026561387348920107, 'disgust': 0.002008665818721056, 'love': 0.001826711231842637, 'anger': 0.0017202228773385286}",not-hate,0.9985478520393372,"{'not-hate': 0.9985478520393372, 'hate': 0.001452148542739451}",non-offensive,0.9035609364509584,"{'non-offensive': 0.9035609364509583, 'offensive': 0.09643910080194473}",8.0,Infrastructure/job/energy,0.30720785,He’s a farmer. He fights for workers. He passed the biggest expansion of veterans health benefits in a generation. And it’s Montana - a tough state. Our guy @jontester needs your help to finish the first $ quarter strong. Can you chip is $25 or $10 today? https://t.co/rTPeGwiw3m, farmer fight worker passed biggest expansion veteran health benefit generation montana tough state guy need help finish quarter strong chip today,"[('state', [8, 6]), ('today', [6, 8]), ('worker', [8, 1]), ('need', [1, 8]), ('help', [1, 8]), ('tough', [6, 8]), ('fight', [1, 6]), ('health', [1, 8]), ('biggest', [1, 6]), ('guy', [6]), ('benefit', [1, 8]), ('passed', [1, 8]), ('generation', [8, 1]), ('veteran', [1, 8]), ('strong', [8, 6]), ('finish', [1, 6]), ('chip', [8, 6]), ('expansion', [1, 8]), ('quarter', [6, 8]), ('farmer', [8]), ('montana', [6])]","[('state', ['Infrastructure/job/energy', 'Election/debate']), ('today', ['Election/debate', 'Infrastructure/job/energy']), ('worker', ['Infrastructure/job/energy', 'American/economics/health']), ('need', ['American/economics/health', 'Infrastructure/job/energy']), ('help', ['American/economics/health', 'Infrastructure/job/energy']), ('tough', ['Election/debate', 'Infrastructure/job/energy']), ('fight', ['American/economics/health', 'Election/debate']), ('health', ['American/economics/health', 'Infrastructure/job/energy']), ('biggest', ['American/economics/health', 'Election/debate']), ('guy', ['Election/debate']), ('benefit', ['American/economics/health', 'Infrastructure/job/energy']), ('passed', ['American/economics/health', 'Infrastructure/job/energy']), ('generation', ['Infrastructure/job/energy', 'American/economics/health']), ('veteran', ['American/economics/health', 'Infrastructure/job/energy']), ('strong', ['Infrastructure/job/energy', 'Election/debate']), ('finish', ['American/economics/health', 'Election/debate']), ('chip', ['Infrastructure/job/energy', 'Election/debate']), ('expansion', ['American/economics/health', 'Infrastructure/job/energy']), ('quarter', ['Election/debate', 'Infrastructure/job/energy']), ('farmer', ['Infrastructure/job/energy']), ('montana', ['Election/debate'])]"
laurenboebert,2023-03-26 23:26:15+00:00,1,American/economics/health,0.42427588,positive,0.6634300947189331,"{'positive': 0.6634300947189331, 'neutral': 0.2370605766773224, 'negative': 0.09950937330722809}",anger,0.7827386856079102,"{'anger': 0.7827386856079102, 'disgust': 0.17371384799480438, 'joy': 0.028589505702257156, 'optimism': 0.006102005951106548, 'love': 0.0017738284077495337, 'fear': 0.001723786466754973, 'anticipation': 0.0013511263532564044, 'sadness': 0.001296738744713366, 'trust': 0.001153342192992568, 'surprise': 0.0009944384219124913, 'pessimism': 0.0005627259379252791}",not-hate,0.9956621527671814,"{'not-hate': 0.9956621527671814, 'hate': 0.004337811376899481}",non-offensive,0.7655425667762756,"{'non-offensive': 0.7655425667762756, 'offensive': 0.23445744812488556}",7.0,Abortion/rights/guns,0.2875476,"Proud of the @COHouseGOP who has been fighting all weekend against the Democrats’ package of anti-constitutional gun bills that target lawful businesses instead of criminals, expand red flag orders, and infringe on our Second Amendment rights.",proud fighting weekend democrat package anti constitutional gun bill target lawful business instead criminal expand red flag order infringe second amendment right,"[('second', [7, 1]), ('package', [1, 2]), ('instead', [1, 2]), ('order', [1, 7]), ('right', [7, 1]), ('criminal', [2, 7]), ('proud', [1, 7]), ('amendment', [7, 1]), ('business', [1, 2]), ('democrat', [1, 7]), ('gun', [1, 7]), ('weekend', [5, 1]), ('flag', [5, 7]), ('fighting', [1, 7]), ('bill', [1, 7]), ('lawful', [3]), ('constitutional', [7]), ('anti', [7, 2]), ('target', [1, 7]), ('red', [1, 2]), ('infringe', [2]), ('expand', [1, 7])]","[('second', ['Abortion/rights/guns', 'American/economics/health']), ('package', ['American/economics/health', 'War']), ('instead', ['American/economics/health', 'War']), ('order', ['American/economics/health', 'Abortion/rights/guns']), ('right', ['Abortion/rights/guns', 'American/economics/health']), ('criminal', ['War', 'Abortion/rights/guns']), ('proud', ['American/economics/health', 'Abortion/rights/guns']), ('amendment', ['Abortion/rights/guns', 'American/economics/health']), ('business', ['American/economics/health', 'War']), ('democrat', ['American/economics/health', 'Abortion/rights/guns']), ('gun', ['American/economics/health', 'Abortion/rights/guns']), ('weekend', ['Border/community/family', 'American/economics/health']), ('flag', ['Border/community/family', 'Abortion/rights/guns']), ('fighting', ['American/economics/health', 'Abortion/rights/guns']), ('bill', ['American/economics/health', 'Abortion/rights/guns']), ('lawful', ['News/radio/livestream']), ('constitutional', ['Abortion/rights/guns']), ('anti', ['Abortion/rights/guns', 'War']), ('target', ['American/economics/health', 'Abortion/rights/guns']), ('red', ['American/economics/health', 'War']), ('infringe', ['War']), ('expand', ['American/economics/health', 'Abortion/rights/guns'])]"
KamalaHarris,2023-03-27 00:31:05+00:00,1,American/economics/health,0.83986884,neutral,0.5791001915931702,"{'neutral': 0.5791001915931702, 'positive': 0.3840174376964569, 'negative': 0.03688236325979233}",optimism,0.4466379880905151,"{'optimism': 0.44663798809051514, 'anticipation': 0.24193139374256134, 'anger': 0.12858150899410248, 'disgust': 0.08009283989667892, 'trust': 0.03402084484696388, 'joy': 0.024772917851805687, 'pessimism': 0.01906536892056465, 'sadness': 0.011198592372238636, 'surprise': 0.007417852524667978, 'fear': 0.00384692894294858, 'love': 0.002433731220662594}",not-hate,0.989985466003418,"{'not-hate': 0.989985466003418, 'hate': 0.010014515370130539}",non-offensive,0.6951887607574463,"{'non-offensive': 0.6951887607574463, 'offensive': 0.3048112690448761}",7.0,Abortion/rights/guns,0.113138646,"Like the overwhelming majority of Americans, President Biden and I believe women—in consultation with their doctors—should be in charge of their reproductive health care, not politicians. https://t.co/dFXH8SMag2",like overwhelming majority american president biden believe womenin consultation doctorsshould charge reproductive health care politician,"[('american', [1, 7]), ('biden', [1, 7]), ('believe', [1, 7]), ('like', [1, 7]), ('president', [1, 7]), ('care', [1, 7]), ('politician', [1, 7]), ('health', [1, 7]), ('charge', [1]), ('majority', [1, 7]), ('reproductive', [7, 1]), ('overwhelming', [1]), ('consultation', [1]), ('womenin', [1]), ('doctorsshould', [1])]","[('american', ['American/economics/health', 'Abortion/rights/guns']), ('biden', ['American/economics/health', 'Abortion/rights/guns']), ('believe', ['American/economics/health', 'Abortion/rights/guns']), ('like', ['American/economics/health', 'Abortion/rights/guns']), ('president', ['American/economics/health', 'Abortion/rights/guns']), ('care', ['American/economics/health', 'Abortion/rights/guns']), ('politician', ['American/economics/health', 'Abortion/rights/guns']), ('health', ['American/economics/health', 'Abortion/rights/guns']), ('charge', ['American/economics/health']), ('majority', ['American/economics/health', 'Abortion/rights/guns']), ('reproductive', ['Abortion/rights/guns', 'American/economics/health']), ('overwhelming', ['American/economics/health']), ('consultation', ['American/economics/health']), ('womenin', ['American/economics/health']), ('doctorsshould', ['American/economics/health'])]"
SenatorHick,2023-03-27 01:24:47+00:00,1,American/economics/health,0.4881274,positive,0.5667952299118042,"{'positive': 0.5667952299118042, 'neutral': 0.4225424826145172, 'negative': 0.010662302374839783}",optimism,0.889017641544342,"{'optimism': 0.889017641544342, 'anticipation': 0.04711844399571419, 'joy': 0.02958950586616993, 'trust': 0.022834431380033493, 'fear': 0.0030849582981318235, 'pessimism': 0.0018631089478731155, 'anger': 0.0015622487990185618, 'love': 0.0013318900018930435, 'sadness': 0.0012819323455914855, 'surprise': 0.0012629585107788444, 'disgust': 0.0010528825223445892}",not-hate,0.999123990535736,"{'not-hate': 0.9991239905357361, 'hate': 0.0008760468917898834}",non-offensive,0.8986847996711731,"{'non-offensive': 0.8986847996711731, 'offensive': 0.1013152003288269}",8.0,Infrastructure/job/energy,0.2922539,"Rural health clinics mean the difference between life and death in remote Colorado communities. We’ve introduced the bipartisan Rural Health Innovation Act to get those clinics the staff, technology, and equipment they need to continue saving lives.",rural health clinic mean difference life death remote colorado community introduced bipartisan rural health innovation act clinic staff technology equipment need continue saving life,"[('staff', [5, 1]), ('technology', [8, 1]), ('need', [1, 8]), ('act', [1, 8]), ('life', [1, 5]), ('colorado', [5]), ('health', [1, 8]), ('difference', [1, 8]), ('community', [8, 1]), ('death', [1, 5]), ('continue', [1, 8]), ('mean', [1, 8]), ('clinic', [1]), ('bipartisan', [8, 1]), ('introduced', [1, 8]), ('saving', [1, 8]), ('equipment', [8, 5]), ('rural', [8, 1]), ('innovation', [8, 1]), ('remote', [5])]","[('staff', ['Border/community/family', 'American/economics/health']), ('technology', ['Infrastructure/job/energy', 'American/economics/health']), ('need', ['American/economics/health', 'Infrastructure/job/energy']), ('act', ['American/economics/health', 'Infrastructure/job/energy']), ('life', ['American/economics/health', 'Border/community/family']), ('colorado', ['Border/community/family']), ('health', ['American/economics/health', 'Infrastructure/job/energy']), ('difference', ['American/economics/health', 'Infrastructure/job/energy']), ('community', ['Infrastructure/job/energy', 'American/economics/health']), ('death', ['American/economics/health', 'Border/community/family']), ('continue', ['American/economics/health', 'Infrastructure/job/energy']), ('mean', ['American/economics/health', 'Infrastructure/job/energy']), ('clinic', ['American/economics/health']), ('bipartisan', ['Infrastructure/job/energy', 'American/economics/health']), ('introduced', ['American/economics/health', 'Infrastructure/job/energy']), ('saving', ['American/economics/health', 'Infrastructure/job/energy']), ('equipment', ['Infrastructure/job/energy', 'Border/community/family']), ('rural', ['Infrastructure/job/energy', 'American/economics/health']), ('innovation', ['Infrastructure/job/energy', 'American/economics/health']), ('remote', ['Border/community/family'])]"
SenDuckworth,2023-03-27 02:15:18+00:00,1,American/economics/health,0.63882226,negative,0.7050458192825317,"{'negative': 0.7050458192825317, 'neutral': 0.27811822295188904, 'positive': 0.01683591492474079}",anger,0.5442973375320435,"{'anger': 0.5442973375320435, 'optimism': 0.18759341537952423, 'disgust': 0.17127908766269684, 'anticipation': 0.0409465953707695, 'pessimism': 0.015947816893458366, 'trust': 0.01340492907911539, 'sadness': 0.010557951405644417, 'fear': 0.008587377145886421, 'joy': 0.004095288924872875, 'surprise': 0.00219416874460876, 'love': 0.001095999963581562}",not-hate,0.9964855909347534,"{'not-hate': 0.9964855909347534, 'hate': 0.003514437936246395}",non-offensive,0.5536749362945557,"{'non-offensive': 0.5536749362945557, 'offensive': 0.44632503390312195}",7.0,Abortion/rights/guns,0.31107557,We can't allow Republicans to drag us back to a time when those of us with uteruses were treated as second-class citizens. We must pass the Women's Health Protection Act.,allow republican drag time uterus treated second class citizen pas woman  health protection act,"[('citizen', [7, 1]), ('second', [7, 1]), ('time', [1, 7]), ('republican', [1, 7]), ('act', [1, 7]), ('health', [1, 7]), ('woman', [7, 1]), ('pas', [1, 7]), ('allow', [1, 7]), ('drag', [1]), ('treated', [1, 7]), ('protection', [7, 1]), ('class', [1, 7]), ('uterus', [1])]","[('citizen', ['Abortion/rights/guns', 'American/economics/health']), ('second', ['Abortion/rights/guns', 'American/economics/health']), ('time', ['American/economics/health', 'Abortion/rights/guns']), ('republican', ['American/economics/health', 'Abortion/rights/guns']), ('act', ['American/economics/health', 'Abortion/rights/guns']), ('health', ['American/economics/health', 'Abortion/rights/guns']), ('woman', ['Abortion/rights/guns', 'American/economics/health']), ('pas', ['American/economics/health', 'Abortion/rights/guns']), ('allow', ['American/economics/health', 'Abortion/rights/guns']), ('drag', ['American/economics/health']), ('treated', ['American/economics/health', 'Abortion/rights/guns']), ('protection', ['Abortion/rights/guns', 'American/economics/health']), ('class', ['American/economics/health', 'Abortion/rights/guns']), ('uterus', ['American/economics/health'])]"
