username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
LowellSun,2023-04-15 01:42:43+00:00,7,Abortion/rights/guns,0.42711887,positive,0.8034581542015076,"{'positive': 0.8034581542015076, 'neutral': 0.19211909174919128, 'negative': 0.004422768019139767}",optimism,0.4315163493156433,"{'optimism': 0.4315163493156433, 'joy': 0.2909042239189148, 'anticipation': 0.22344936430454254, 'trust': 0.03140528127551079, 'surprise': 0.00787742342799902, 'fear': 0.0054722679778933525, 'love': 0.0036333261523395777, 'anger': 0.0016646538861095905, 'pessimism': 0.0016244128346443176, 'disgust': 0.0013567558489739895, 'sadness': 0.0010958451312035322}",not-hate,0.9987601041793824,"{'not-hate': 0.9987601041793823, 'hate': 0.0012399512343108654}",non-offensive,0.9341983795166016,"{'non-offensive': 0.9341983795166016, 'offensive': 0.06580158323049545}",8.0,Infrastructure/job/energy,0.41403973,UMass Lowell students will ‘change the world’: Elizabeth Warren champions tech investment during campus visit https://t.co/9O77jvQ0bP,uma lowell student change world elizabeth warren champion tech investment campus visit,"[('world', [8, 7]), ('campus', [7, 8]), ('student', [8, 7]), ('lowell', [7]), ('change', [8, 7]), ('tech', [8]), ('investment', [8]), ('visit', [8, 2]), ('elizabeth', [2]), ('champion', [7, 8]), ('warren', [7]), ('uma', [7])]","[('world', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('campus', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('student', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('lowell', ['Abortion/rights/guns']), ('change', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('tech', ['Infrastructure/job/energy']), ('investment', ['Infrastructure/job/energy']), ('visit', ['Infrastructure/job/energy', 'War']), ('elizabeth', ['War']), ('champion', ['Abortion/rights/guns', 'Infrastructure/job/energy']), ('warren', ['Abortion/rights/guns']), ('uma', ['Abortion/rights/guns'])]"
worldpressinst,2023-04-15 13:58:00+00:00,7,Abortion/rights/guns,0.5127098,neutral,0.9555795788764954,"{'neutral': 0.9555795788764954, 'positive': 0.03501705825328827, 'negative': 0.009403309784829617}",anticipation,0.5777596831321716,"{'anticipation': 0.5777596831321716, 'disgust': 0.11205551028251648, 'joy': 0.06606829166412354, 'surprise': 0.06285259127616882, 'anger': 0.054417792707681656, 'optimism': 0.038547929376363754, 'sadness': 0.038424666970968246, 'pessimism': 0.02205267921090126, 'trust': 0.013528089970350266, 'fear': 0.011037341319024563, 'love': 0.0032554056961089373}",not-hate,0.9968371391296388,"{'not-hate': 0.9968371391296387, 'hate': 0.0031628264114260674}",non-offensive,0.91811865568161,"{'non-offensive': 0.9181186556816101, 'offensive': 0.0818813368678093}",4.0,Republicans vs democrats,0.37175792,"“Austin/Texas diary🌵 Global geopolitics w Rodger Baker, Director of @RANEnetwork (Stratfor)🌎 Texas Uni. 'Texas Politics' w @jamesrhenson from Austin📝 Local media, democracy w @TexasTribune📰 W @MattMackowiak from the Republican Party, politics, elections, Trump... 🔴”",austin texas diary global geopolitics  rodger baker director stratfor texas uni texas politics  austin local medium democracy   republican party politics election trump,"[('democracy', [7, 4]), ('medium', [4]), ('trump', [4, 7]), ('election', [4, 7]), ('republican', [7, 4]), ('texas', [4, 7]), ('party', [4, 7]), ('local', [8, 4]), ('politics', [4, 7]), ('global', [8]), ('director', [4, 8]), ('austin', [7]), ('baker', [7]), ('diary', [7]), ('geopolitics', [7]), ('rodger', [7]), ('stratfor', [7]), ('uni', [7])]","[('democracy', ['Abortion/rights/guns', 'Republicans vs democrats']), ('medium', ['Republicans vs democrats']), ('trump', ['Republicans vs democrats', 'Abortion/rights/guns']), ('election', ['Republicans vs democrats', 'Abortion/rights/guns']), ('republican', ['Abortion/rights/guns', 'Republicans vs democrats']), ('texas', ['Republicans vs democrats', 'Abortion/rights/guns']), ('party', ['Republicans vs democrats', 'Abortion/rights/guns']), ('local', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('politics', ['Republicans vs democrats', 'Abortion/rights/guns']), ('global', ['Infrastructure/job/energy']), ('director', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('austin', ['Abortion/rights/guns']), ('baker', ['Abortion/rights/guns']), ('diary', ['Abortion/rights/guns']), ('geopolitics', ['Abortion/rights/guns']), ('rodger', ['Abortion/rights/guns']), ('stratfor', ['Abortion/rights/guns']), ('uni', ['Abortion/rights/guns'])]"
jamesrhenson,2023-04-15 14:02:30+00:00,7,Abortion/rights/guns,0.47620237,neutral,0.9569960236549376,"{'neutral': 0.9569960236549377, 'positive': 0.032523225992918015, 'negative': 0.010480727069079876}",anticipation,0.5607054233551025,"{'anticipation': 0.5607054233551025, 'disgust': 0.11433306336402893, 'joy': 0.0717390924692154, 'surprise': 0.06608397513628006, 'anger': 0.05650144815444946, 'sadness': 0.04123576357960701, 'optimism': 0.03773556277155876, 'pessimism': 0.02278972417116165, 'trust': 0.013786450028419495, 'fear': 0.011493481695652008, 'love': 0.0035959978122264147}",not-hate,0.99724018573761,"{'not-hate': 0.9972401857376099, 'hate': 0.0027597551234066486}",non-offensive,0.919793426990509,"{'non-offensive': 0.919793426990509, 'offensive': 0.08020658046007156}",4.0,Republicans vs democrats,0.40349525,"RT @“Austin/Texas diary🌵 Global geopolitics w Rodger Baker, Director of @RANEnetwork (Stratfor)🌎 Texas Uni. 'Texas Politics' w @jamesrhenson from Austin📝 Local media, democracy w @TexasTribune📰 W @MattMackowiak from the Republican Party, politics, elections, Trump... 🔴”",texas diary global geopolitics  rodger baker director stratfor texas uni texas politics  austin local medium democracy   republican party politics election trump,"[('democracy', [7, 4]), ('medium', [4]), ('trump', [4, 7]), ('election', [4, 7]), ('republican', [4, 7]), ('texas', [4, 7]), ('party', [4, 7]), ('local', [8, 4]), ('politics', [4, 7]), ('global', [8]), ('director', [4, 8]), ('austin', [7]), ('baker', [7]), ('diary', [7]), ('geopolitics', [7]), ('rodger', [7]), ('stratfor', [7]), ('uni', [7])]","[('democracy', ['Abortion/rights/guns', 'Republicans vs democrats']), ('medium', ['Republicans vs democrats']), ('trump', ['Republicans vs democrats', 'Abortion/rights/guns']), ('election', ['Republicans vs democrats', 'Abortion/rights/guns']), ('republican', ['Republicans vs democrats', 'Abortion/rights/guns']), ('texas', ['Republicans vs democrats', 'Abortion/rights/guns']), ('party', ['Republicans vs democrats', 'Abortion/rights/guns']), ('local', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('politics', ['Republicans vs democrats', 'Abortion/rights/guns']), ('global', ['Infrastructure/job/energy']), ('director', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('austin', ['Abortion/rights/guns']), ('baker', ['Abortion/rights/guns']), ('diary', ['Abortion/rights/guns']), ('geopolitics', ['Abortion/rights/guns']), ('rodger', ['Abortion/rights/guns']), ('stratfor', ['Abortion/rights/guns']), ('uni', ['Abortion/rights/guns'])]"
AP_Politics,2023-04-15 18:37:24+00:00,7,Abortion/rights/guns,0.6340274,negative,0.7737657427787781,"{'negative': 0.7737657427787781, 'neutral': 0.21936726570129395, 'positive': 0.006867001298815012}",fear,0.6350849866867065,"{'fear': 0.6350849866867065, 'disgust': 0.18570531904697418, 'anger': 0.1512664258480072, 'sadness': 0.010383511893451214, 'pessimism': 0.008263821713626385, 'anticipation': 0.004779475275427103, 'surprise': 0.0017200139118358493, 'optimism': 0.0015767215518280864, 'trust': 0.0007541809463873506, 'joy': 0.0002454497735016048, 'love': 0.000220074929529801}",not-hate,0.9969369173049928,"{'not-hate': 0.9969369173049927, 'hate': 0.003063105046749115}",non-offensive,0.7433789372444153,"{'non-offensive': 0.7433789372444153, 'offensive': 0.2566210925579071}",1.0,American/economics/health,0.15691973,"New report from National Urban League finds voting restrictions, attempts to undermine Black political leaders and limiting how racial history is taught in schools are leading threats to democracy for Black Americans. https://t.co/UmmFSVzS20",national urban league find voting restriction attempt undermine black political leader limiting racial history taught school leading threat democracy black american,"[('national', [7, 1]), ('american', [7, 1]), ('democracy', [7, 5]), ('political', [7, 1]), ('black', [7, 5]), ('threat', [7, 5]), ('leading', [7, 1]), ('history', [7, 5]), ('school', [1, 7]), ('attempt', [7, 1]), ('voting', [7, 1]), ('leader', [7, 5]), ('find', [1, 5]), ('racial', [7]), ('undermine', [7, 1]), ('urban', [8]), ('taught', [5]), ('restriction', [7]), ('league', [7]), ('limiting', [1])]","[('national', ['Abortion/rights/guns', 'American/economics/health']), ('american', ['Abortion/rights/guns', 'American/economics/health']), ('democracy', ['Abortion/rights/guns', 'Border/community/family']), ('political', ['Abortion/rights/guns', 'American/economics/health']), ('black', ['Abortion/rights/guns', 'Border/community/family']), ('threat', ['Abortion/rights/guns', 'Border/community/family']), ('leading', ['Abortion/rights/guns', 'American/economics/health']), ('history', ['Abortion/rights/guns', 'Border/community/family']), ('school', ['American/economics/health', 'Abortion/rights/guns']), ('attempt', ['Abortion/rights/guns', 'American/economics/health']), ('voting', ['Abortion/rights/guns', 'American/economics/health']), ('leader', ['Abortion/rights/guns', 'Border/community/family']), ('find', ['American/economics/health', 'Border/community/family']), ('racial', ['Abortion/rights/guns']), ('undermine', ['Abortion/rights/guns', 'American/economics/health']), ('urban', ['Infrastructure/job/energy']), ('taught', ['Border/community/family']), ('restriction', ['Abortion/rights/guns']), ('league', ['Abortion/rights/guns']), ('limiting', ['American/economics/health'])]"
jonathanvswan,2023-04-15 22:42:08+00:00,7,Abortion/rights/guns,0.7228411,neutral,0.7649271488189697,"{'neutral': 0.7649271488189697, 'negative': 0.13037587702274323, 'positive': 0.10469694435596466}",fear,0.3368251323699951,"{'fear': 0.3368251323699951, 'disgust': 0.2741769254207611, 'anger': 0.17512500286102295, 'anticipation': 0.07540441304445267, 'sadness': 0.038052137941122055, 'optimism': 0.030015910044312477, 'pessimism': 0.0262006726115942, 'joy': 0.020959602668881416, 'surprise': 0.01653640903532505, 'trust': 0.004845746327191591, 'love': 0.0018580364994704723}",not-hate,0.9979391694068908,"{'not-hate': 0.9979391694068909, 'hate': 0.0020608019549399614}",non-offensive,0.6955134272575378,"{'non-offensive': 0.6955134272575378, 'offensive': 0.30448657274246216}",6.0,Election/debate,0.14134769,"RT @Happy to announce my new book, ""The Wager: A Tale of Shipwreck, Mutiny, &amp; Murder,"" is done! About castaways stranded on a desolate island who descend into anarchy &amp; murder. And about how people and nations tell stories—and manipulate them. https://t.co/6RF9B44atA",announce book wager tale shipwreck mutiny murder castaway stranded desolate island descend anarchy murder people nation tell storiesand manipulate,"[('murder', [7, 2]), ('people', [7, 2]), ('tell', [7, 2]), ('island', [6]), ('nation', [7, 6]), ('book', [7, 6]), ('announce', [6]), ('tale', [7]), ('stranded', [7]), ('manipulate', [7]), ('descend', [2]), ('anarchy', [7]), ('castaway', [7]), ('desolate', [7]), ('mutiny', [7]), ('shipwreck', [7]), ('storiesand', [7]), ('wager', [7])]","[('murder', ['Abortion/rights/guns', 'War']), ('people', ['Abortion/rights/guns', 'War']), ('tell', ['Abortion/rights/guns', 'War']), ('island', ['Election/debate']), ('nation', ['Abortion/rights/guns', 'Election/debate']), ('book', ['Abortion/rights/guns', 'Election/debate']), ('announce', ['Election/debate']), ('tale', ['Abortion/rights/guns']), ('stranded', ['Abortion/rights/guns']), ('manipulate', ['Abortion/rights/guns']), ('descend', ['War']), ('anarchy', ['Abortion/rights/guns']), ('castaway', ['Abortion/rights/guns']), ('desolate', ['Abortion/rights/guns']), ('mutiny', ['Abortion/rights/guns']), ('shipwreck', ['Abortion/rights/guns']), ('storiesand', ['Abortion/rights/guns']), ('wager', ['Abortion/rights/guns'])]"
KamalaHarris,2023-04-16 17:00:07+00:00,7,Abortion/rights/guns,0.5686711,neutral,0.5555349588394165,"{'neutral': 0.5555349588394165, 'positive': 0.41367918252944946, 'negative': 0.030785871669650078}",optimism,0.8721088171005249,"{'optimism': 0.8721088171005249, 'trust': 0.03839444741606712, 'anticipation': 0.03769281879067421, 'joy': 0.02030104584991932, 'fear': 0.017686977982521057, 'anger': 0.004393273498862982, 'love': 0.002669330919161439, 'disgust': 0.0023260193411260843, 'pessimism': 0.0019722585566341877, 'surprise': 0.0014586455654352903, 'sadness': 0.0009962753392755985}",not-hate,0.9987047910690308,"{'not-hate': 0.9987047910690308, 'hate': 0.0012952473480254412}",non-offensive,0.8763368129730225,"{'non-offensive': 0.8763368129730225, 'offensive': 0.12366322427988052}",1.0,American/economics/health,0.38442323,"Let us be clear: we are fighting on every front to protect access to FDA-approved medication abortion, safeguard patient privacy, and secure reproductive freedom.",let clear fighting protect access fda approved medication abortion safeguard patient privacy secure reproductive freedom,"[('freedom', [7, 1]), ('clear', [7, 1]), ('let', [7, 1]), ('protect', [7, 1]), ('fighting', [7, 1]), ('access', [7, 1]), ('secure', [1, 7]), ('abortion', [7, 1]), ('privacy', [7, 1]), ('medication', [1]), ('patient', [1, 7]), ('approved', [1, 7]), ('reproductive', [7]), ('fda', [1]), ('safeguard', [7])]","[('freedom', ['Abortion/rights/guns', 'American/economics/health']), ('clear', ['Abortion/rights/guns', 'American/economics/health']), ('let', ['Abortion/rights/guns', 'American/economics/health']), ('protect', ['Abortion/rights/guns', 'American/economics/health']), ('fighting', ['Abortion/rights/guns', 'American/economics/health']), ('access', ['Abortion/rights/guns', 'American/economics/health']), ('secure', ['American/economics/health', 'Abortion/rights/guns']), ('abortion', ['Abortion/rights/guns', 'American/economics/health']), ('privacy', ['Abortion/rights/guns', 'American/economics/health']), ('medication', ['American/economics/health']), ('patient', ['American/economics/health', 'Abortion/rights/guns']), ('approved', ['American/economics/health', 'Abortion/rights/guns']), ('reproductive', ['Abortion/rights/guns']), ('fda', ['American/economics/health']), ('safeguard', ['Abortion/rights/guns'])]"
jamesrhenson,2023-04-16 22:40:27+00:00,7,Abortion/rights/guns,0.3756781,neutral,0.939452052116394,"{'neutral': 0.939452052116394, 'negative': 0.040824323892593384, 'positive': 0.01972355507314205}",anticipation,0.4630056321620941,"{'anticipation': 0.4630056321620941, 'disgust': 0.19757722318172455, 'anger': 0.08812284469604492, 'fear': 0.06977014243602753, 'surprise': 0.04838496074080467, 'sadness': 0.04370489716529846, 'pessimism': 0.03212232515215874, 'optimism': 0.027204720303416252, 'joy': 0.016946664080023766, 'trust': 0.011009027250111103, 'love': 0.0021516038104891777}",not-hate,0.996118664741516,"{'not-hate': 0.9961186647415161, 'hate': 0.0038812931161373854}",non-offensive,0.8681471347808838,"{'non-offensive': 0.8681471347808838, 'offensive': 0.13185283541679382}",4.0,Republicans vs democrats,0.3341521,"RT @Trend in Texas views of the strictness of abortion laws, 2013-2023. https://t.co/zRSpZoobYh #txlege https://t.co/VboXpIe95j",texas view strictness abortion law,"[('law', [7, 4]), ('view', [4, 7]), ('texas', [4, 7]), ('abortion', [7, 4]), ('strictness', [3])]","[('law', ['Abortion/rights/guns', 'Republicans vs democrats']), ('view', ['Republicans vs democrats', 'Abortion/rights/guns']), ('texas', ['Republicans vs democrats', 'Abortion/rights/guns']), ('abortion', ['Abortion/rights/guns', 'Republicans vs democrats']), ('strictness', ['News/radio/livestream'])]"
NCDAdodgeball,2023-04-16 23:39:37+00:00,7,Abortion/rights/guns,0.8748322,positive,0.9003353118896484,"{'positive': 0.9003353118896484, 'neutral': 0.09730792045593262, 'negative': 0.0023567064199596643}",joy,0.9170032143592834,"{'joy': 0.9170032143592834, 'optimism': 0.06517403572797775, 'anticipation': 0.0072776926681399345, 'love': 0.004362193401902914, 'trust': 0.003506255801767111, 'surprise': 0.0018192462157458067, 'fear': 0.0002530135679990053, 'anger': 0.00021371549519244581, 'disgust': 0.0001740976149449125, 'sadness': 0.00011473224003566429, 'pessimism': 0.00010174761700909585}",not-hate,0.9984917640686036,"{'not-hate': 0.9984917640686035, 'hate': 0.0015082346508279443}",non-offensive,0.9035831093788148,"{'non-offensive': 0.9035831093788147, 'offensive': 0.09641693532466888}",8.0,Infrastructure/job/energy,0.0178993,HISTORY MADE. Michigan State wins their first ever National Title. https://t.co/uJBHBF41I3,history michigan state win national title,"[('national', [7]), ('state', [7]), ('history', [7]), ('michigan', [7]), ('win', [7]), ('title', [7])]","[('national', ['Abortion/rights/guns']), ('state', ['Abortion/rights/guns']), ('history', ['Abortion/rights/guns']), ('michigan', ['Abortion/rights/guns']), ('win', ['Abortion/rights/guns']), ('title', ['Abortion/rights/guns'])]"
KamalaHarris,2023-04-17 02:33:05+00:00,7,Abortion/rights/guns,0.8574282,negative,0.8795335292816162,"{'negative': 0.8795335292816162, 'neutral': 0.11364102363586426, 'positive': 0.006825457792729139}",anger,0.7203441858291626,"{'anger': 0.7203441858291626, 'disgust': 0.2568950057029724, 'fear': 0.013867342844605446, 'sadness': 0.002465778961777687, 'optimism': 0.00228635361418128, 'pessimism': 0.001542914193123579, 'anticipation': 0.0011445971904322505, 'trust': 0.0004977826029062271, 'surprise': 0.0003783862048294395, 'joy': 0.0003778662357944995, 'love': 0.00019983411766588688}",not-hate,0.9934560656547546,"{'not-hate': 0.9934560656547546, 'hate': 0.0065439376048743725}",non-offensive,0.5414038896560669,"{'non-offensive': 0.5414038896560669, 'offensive': 0.4585961401462555}",1.0,American/economics/health,0.095655836,"From pushing to ban abortion in all 50 states to criminalizing doctors and nurses, extremist elected officials continue to attack reproductive freedom. We will keep fighting back. https://t.co/r45veVRkB6",pushing ban abortion state criminalizing doctor nurse extremist elected official continue attack reproductive freedom fighting,"[('ban', [7, 1]), ('attack', [7]), ('freedom', [7]), ('state', [7, 1]), ('official', [7, 1]), ('continue', [7, 1]), ('pushing', [7, 1]), ('fighting', [7, 1]), ('elected', [7, 1]), ('abortion', [7]), ('doctor', [7, 1]), ('reproductive', [7]), ('extremist', [7]), ('nurse', [1]), ('criminalizing', [7])]","[('ban', ['Abortion/rights/guns', 'American/economics/health']), ('attack', ['Abortion/rights/guns']), ('freedom', ['Abortion/rights/guns']), ('state', ['Abortion/rights/guns', 'American/economics/health']), ('official', ['Abortion/rights/guns', 'American/economics/health']), ('continue', ['Abortion/rights/guns', 'American/economics/health']), ('pushing', ['Abortion/rights/guns', 'American/economics/health']), ('fighting', ['Abortion/rights/guns', 'American/economics/health']), ('elected', ['Abortion/rights/guns', 'American/economics/health']), ('abortion', ['Abortion/rights/guns']), ('doctor', ['Abortion/rights/guns', 'American/economics/health']), ('reproductive', ['Abortion/rights/guns']), ('extremist', ['Abortion/rights/guns']), ('nurse', ['American/economics/health']), ('criminalizing', ['Abortion/rights/guns'])]"
TulsiGabbard,2023-04-17 13:02:44+00:00,7,Abortion/rights/guns,0.5923628,neutral,0.5753340721130371,"{'neutral': 0.5753340721130371, 'positive': 0.3262072801589966, 'negative': 0.0984586849808693}",optimism,0.9402120113372804,"{'optimism': 0.9402120113372803, 'trust': 0.017693404108285904, 'anticipation': 0.012422307394444942, 'joy': 0.01139876339584589, 'anger': 0.007181410677731037, 'disgust': 0.0031779443379491568, 'sadness': 0.002755724126473069, 'pessimism': 0.0027432115748524666, 'fear': 0.000991474254988134, 'love': 0.0009737125365063548, 'surprise': 0.0004499776114244014}",not-hate,0.996797502040863,"{'not-hate': 0.996797502040863, 'hate': 0.0032025733962655067}",non-offensive,0.8857547640800476,"{'non-offensive': 0.8857547640800476, 'offensive': 0.11424517631530762}",5.0,Border/community/family,0.19474137,"Equality is treating everyone equally, providing the same opportunities regardless of race, religion, etc. It’s the essence of aloha and the message of MLK. Whereas “equity” advocated by the Biden admin and “woke” activists, demands equal outcomes regardless of effort or ability. If we allow them to sacrifice our meritocracy for the sake of “equity”, America’s excellence will be lost.",equality treating equally providing opportunity regardless race religion etc essence aloha message mlk equity advocated biden admin woke activist demand equal outcome regardless effort ability allow sacrifice meritocracy sake equity america excellence lost,"[('biden', [2, 5]), ('america', [7, 2]), ('sake', [7, 2]), ('activist', [7, 2]), ('woke', [2]), ('lost', [5, 2]), ('opportunity', [7, 5]), ('allow', [7, 2]), ('effort', [7, 5]), ('ability', [7]), ('message', [7, 2]), ('race', [7, 2]), ('demand', [7, 5]), ('providing', [5, 7]), ('equally', [7]), ('regardless', [7, 2]), ('admin', [5, 2]), ('equity', [7]), ('equal', [7]), ('outcome', [7]), ('etc', [2, 7]), ('religion', [2, 5]), ('equality', [7, 5]), ('sacrifice', [5]), ('essence', [2]), ('mlk', [7]), ('treating', [7, 5]), ('advocated', [7]), ('excellence', [7, 5]), ('meritocracy', [7]), ('aloha', [5])]","[('biden', ['War', 'Border/community/family']), ('america', ['Abortion/rights/guns', 'War']), ('sake', ['Abortion/rights/guns', 'War']), ('activist', ['Abortion/rights/guns', 'War']), ('woke', ['War']), ('lost', ['Border/community/family', 'War']), ('opportunity', ['Abortion/rights/guns', 'Border/community/family']), ('allow', ['Abortion/rights/guns', 'War']), ('effort', ['Abortion/rights/guns', 'Border/community/family']), ('ability', ['Abortion/rights/guns']), ('message', ['Abortion/rights/guns', 'War']), ('race', ['Abortion/rights/guns', 'War']), ('demand', ['Abortion/rights/guns', 'Border/community/family']), ('providing', ['Border/community/family', 'Abortion/rights/guns']), ('equally', ['Abortion/rights/guns']), ('regardless', ['Abortion/rights/guns', 'War']), ('admin', ['Border/community/family', 'War']), ('equity', ['Abortion/rights/guns']), ('equal', ['Abortion/rights/guns']), ('outcome', ['Abortion/rights/guns']), ('etc', ['War', 'Abortion/rights/guns']), ('religion', ['War', 'Border/community/family']), ('equality', ['Abortion/rights/guns', 'Border/community/family']), ('sacrifice', ['Border/community/family']), ('essence', ['War']), ('mlk', ['Abortion/rights/guns']), ('treating', ['Abortion/rights/guns', 'Border/community/family']), ('advocated', ['Abortion/rights/guns']), ('excellence', ['Abortion/rights/guns', 'Border/community/family']), ('meritocracy', ['Abortion/rights/guns']), ('aloha', ['Border/community/family'])]"
