username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,emotion,emotion_prob,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
jamesrhenson,2023-04-15 16:35:36+00:00,1,American/economics/health,0.37503064,neutral,0.6083697080612183,optimism,0.4875165224075317,5.0,Border/community/family,0.37475476,You Are Not Alone. 3. 🍽️ Restaurants top groceries https://t.co/DUsRFpMrYn via @NathanBomey in #axiosam,restaurant grocery,"[('grocery', [1]), ('restaurant', [5])]","[('grocery', ['American/economics/health']), ('restaurant', ['Border/community/family'])]"
gillibrandny,2023-04-15 18:41:37+00:00,1,American/economics/health,0.59818506,positive,0.9668644666671752,optimism,0.5770937204360962,6.0,Election/debate,0.15250245,"Excited to be in Wayne County this morning at @Macedon_Library to speak with older Americans about my Master Plan on Aging! You should be able to age in place with dignity, with access to the support and care you've earned and deserve. That's what my plan will guarantee. https://t.co/8x06zEkPDf",excited wayne county morning speak older american master plan aging able age place dignity access support care earned deserve plan guarantee,"[('american', [1, 5]), ('support', [1, 5]), ('able', [1, 6]), ('place', [1, 5]), ('age', [1, 6]), ('care', [1]), ('county', [6, 5]), ('plan', [1, 6]), ('access', [1]), ('deserve', [1, 5]), ('master', [3]), ('morning', [6, 5]), ('speak', [6, 1]), ('guarantee', [1, 6]), ('earned', [1]), ('dignity', [1, 5]), ('older', [5]), ('excited', [6, 5]), ('wayne', [1]), ('aging', [3])]","[('american', ['American/economics/health', 'Border/community/family']), ('support', ['American/economics/health', 'Border/community/family']), ('able', ['American/economics/health', 'Election/debate']), ('place', ['American/economics/health', 'Border/community/family']), ('age', ['American/economics/health', 'Election/debate']), ('care', ['American/economics/health']), ('county', ['Election/debate', 'Border/community/family']), ('plan', ['American/economics/health', 'Election/debate']), ('access', ['American/economics/health']), ('deserve', ['American/economics/health', 'Border/community/family']), ('master', ['News/radio/livestream']), ('morning', ['Election/debate', 'Border/community/family']), ('speak', ['Election/debate', 'American/economics/health']), ('guarantee', ['American/economics/health', 'Election/debate']), ('earned', ['American/economics/health']), ('dignity', ['American/economics/health', 'Border/community/family']), ('older', ['Border/community/family']), ('excited', ['Election/debate', 'Border/community/family']), ('wayne', ['American/economics/health']), ('aging', ['News/radio/livestream'])]"
gillibrandny,2023-04-16 13:42:29+00:00,1,American/economics/health,0.6099182,positive,0.5394606590270996,optimism,0.7119789719581604,3.0,News/radio/livestream,0.19644517,I'm at the Munger Cottage Senior Center speaking with older Americans about my Master Plan on Aging. Protecting Social Security and Medicare and investing in aging-friendly spaces are priorities in my plan to ensure that all older Americans age with prosperity. https://t.co/uiJBs5zjgk,munger cottage senior center speaking older american master plan aging protecting social security medicare investing aging friendly space priority plan ensure older american age prosperity,"[('security', [1, 5]), ('american', [1, 5]), ('social', [1]), ('senior', [1, 5]), ('age', [1, 5]), ('plan', [1, 5]), ('master', [3]), ('space', [5, 1]), ('speaking', [1, 5]), ('priority', [1, 5]), ('center', [1, 5]), ('protecting', [1, 5]), ('ensure', [1, 5]), ('medicare', [1]), ('investing', [1]), ('prosperity', [1, 5]), ('older', [5]), ('friendly', [1]), ('aging', [3]), ('munger', [3]), ('cottage', [3])]","[('security', ['American/economics/health', 'Border/community/family']), ('american', ['American/economics/health', 'Border/community/family']), ('social', ['American/economics/health']), ('senior', ['American/economics/health', 'Border/community/family']), ('age', ['American/economics/health', 'Border/community/family']), ('plan', ['American/economics/health', 'Border/community/family']), ('master', ['News/radio/livestream']), ('space', ['Border/community/family', 'American/economics/health']), ('speaking', ['American/economics/health', 'Border/community/family']), ('priority', ['American/economics/health', 'Border/community/family']), ('center', ['American/economics/health', 'Border/community/family']), ('protecting', ['American/economics/health', 'Border/community/family']), ('ensure', ['American/economics/health', 'Border/community/family']), ('medicare', ['American/economics/health']), ('investing', ['American/economics/health']), ('prosperity', ['American/economics/health', 'Border/community/family']), ('older', ['Border/community/family']), ('friendly', ['American/economics/health']), ('aging', ['News/radio/livestream']), ('munger', ['News/radio/livestream']), ('cottage', ['News/radio/livestream'])]"
AP_Politics,2023-04-16 15:39:30+00:00,1,American/economics/health,0.31957877,negative,0.77064448595047,disgust,0.3470577597618103,5.0,Border/community/family,0.29897442,A federal inmate whose death sentence was tossed remains on death row in solitary confinement despite a 2019 ruling that he's intellectually disabled and can never be put to death. The government hasn’t authorized his transfer to a less restrictive unit. https://t.co/yaGDZqFL9e,federal inmate death sentence tossed remains death row solitary confinement despite ruling intellectually disabled death government authorized transfer restrictive unit,"[('federal', [1, 4]), ('government', [1, 4]), ('despite', [4, 1]), ('death', [5, 1]), ('remains', [1, 5]), ('unit', [5, 1]), ('sentence', [4]), ('inmate', [1]), ('ruling', [4]), ('tossed', [5]), ('transfer', [5, 4]), ('authorized', [5]), ('disabled', [1, 4]), ('row', [1, 6]), ('restrictive', [4]), ('confinement', [5]), ('solitary', [6]), ('intellectually', [6])]","[('federal', ['American/economics/health', 'Republicans vs democrats']), ('government', ['American/economics/health', 'Republicans vs democrats']), ('despite', ['Republicans vs democrats', 'American/economics/health']), ('death', ['Border/community/family', 'American/economics/health']), ('remains', ['American/economics/health', 'Border/community/family']), ('unit', ['Border/community/family', 'American/economics/health']), ('sentence', ['Republicans vs democrats']), ('inmate', ['American/economics/health']), ('ruling', ['Republicans vs democrats']), ('tossed', ['Border/community/family']), ('transfer', ['Border/community/family', 'Republicans vs democrats']), ('authorized', ['Border/community/family']), ('disabled', ['American/economics/health', 'Republicans vs democrats']), ('row', ['American/economics/health', 'Election/debate']), ('restrictive', ['Republicans vs democrats']), ('confinement', ['Border/community/family']), ('solitary', ['Election/debate']), ('intellectually', ['Election/debate'])]"
SenWarren,2023-04-16 17:24:33+00:00,1,American/economics/health,0.35427877,neutral,0.626474916934967,anticipation,0.398382693529129,7.0,Abortion/rights/guns,0.1967788,New analysis confirmed that Black taxpayers are being audited 2.9 to 4.7 times more than other Americans. I'm urging @IRSnews and @USTreasury to examine and address racial inequities in tax enforcement. https://t.co/lzRuMU7OYv,analysis confirmed black taxpayer audited time american urging examine address racial inequity tax enforcement,"[('american', [1, 7]), ('confirmed', [7, 4]), ('taxpayer', [1, 4]), ('black', [7, 1]), ('time', [1, 5]), ('urging', [1, 7]), ('examine', [5]), ('address', [1, 5]), ('tax', [1, 4]), ('enforcement', [5, 1]), ('racial', [7]), ('analysis', [6, 4]), ('audited', [4]), ('inequity', [3])]","[('american', ['American/economics/health', 'Abortion/rights/guns']), ('confirmed', ['Abortion/rights/guns', 'Republicans vs democrats']), ('taxpayer', ['American/economics/health', 'Republicans vs democrats']), ('black', ['Abortion/rights/guns', 'American/economics/health']), ('time', ['American/economics/health', 'Border/community/family']), ('urging', ['American/economics/health', 'Abortion/rights/guns']), ('examine', ['Border/community/family']), ('address', ['American/economics/health', 'Border/community/family']), ('tax', ['American/economics/health', 'Republicans vs democrats']), ('enforcement', ['Border/community/family', 'American/economics/health']), ('racial', ['Abortion/rights/guns']), ('analysis', ['Election/debate', 'Republicans vs democrats']), ('audited', ['Republicans vs democrats']), ('inequity', ['News/radio/livestream'])]"
SenatorBaldwin,2023-04-16 17:59:50+00:00,1,American/economics/health,0.71155125,positive,0.9512386918067932,optimism,0.7026415467262268,8.0,Infrastructure/job/energy,0.2143408,Mental health care is health care and we need to treat it that way. I’m grateful to be teaming up with our incredible mental health professionals and health care workers in Wisconsin to work to end the stigma and connect people with the care they need. https://t.co/XVmojqQ94k,mental health care health care need treat way grateful teaming incredible mental health professional health care worker wisconsin work end stigma connect people care need,"[('way', [1, 8]), ('worker', [1, 8]), ('people', [1, 8]), ('need', [1, 8]), ('work', [1, 8]), ('care', [1, 8]), ('health', [1, 8]), ('mental', [1, 8]), ('end', [1, 2]), ('wisconsin', [1, 8]), ('teaming', [8]), ('treat', [1, 8]), ('connect', [8, 1]), ('grateful', [1, 8]), ('professional', [1, 8]), ('incredible', [8]), ('stigma', [2])]","[('way', ['American/economics/health', 'Infrastructure/job/energy']), ('worker', ['American/economics/health', 'Infrastructure/job/energy']), ('people', ['American/economics/health', 'Infrastructure/job/energy']), ('need', ['American/economics/health', 'Infrastructure/job/energy']), ('work', ['American/economics/health', 'Infrastructure/job/energy']), ('care', ['American/economics/health', 'Infrastructure/job/energy']), ('health', ['American/economics/health', 'Infrastructure/job/energy']), ('mental', ['American/economics/health', 'Infrastructure/job/energy']), ('end', ['American/economics/health', 'War']), ('wisconsin', ['American/economics/health', 'Infrastructure/job/energy']), ('teaming', ['Infrastructure/job/energy']), ('treat', ['American/economics/health', 'Infrastructure/job/energy']), ('connect', ['Infrastructure/job/energy', 'American/economics/health']), ('grateful', ['American/economics/health', 'Infrastructure/job/energy']), ('professional', ['American/economics/health', 'Infrastructure/job/energy']), ('incredible', ['Infrastructure/job/energy']), ('stigma', ['War'])]"
HouseDemocrats,2023-04-16 20:23:43+00:00,1,American/economics/health,0.67148453,negative,0.7239641547203064,disgust,0.5479363799095154,5.0,Border/community/family,0.27482605,"RT @""What we are hearing from our Republican colleagues is an absolute commitment to defaulting on our bills. This is a manufactured crisis."" @WhipKClark on the ongoing debt ceiling negotiations #SundayShow https://t.co/Z9n6NELRCL",hearing republican colleague absolute commitment defaulting bill manufactured crisis ongoing debt ceiling negotiation,"[('republican', [1, 5]), ('crisis', [1, 5]), ('bill', [1, 5]), ('hearing', [1, 5]), ('ongoing', [1, 5]), ('absolute', [5]), ('colleague', [1, 5]), ('commitment', [5, 1]), ('debt', [1]), ('ceiling', [1]), ('negotiation', [1]), ('manufactured', [5]), ('defaulting', [1])]","[('republican', ['American/economics/health', 'Border/community/family']), ('crisis', ['American/economics/health', 'Border/community/family']), ('bill', ['American/economics/health', 'Border/community/family']), ('hearing', ['American/economics/health', 'Border/community/family']), ('ongoing', ['American/economics/health', 'Border/community/family']), ('absolute', ['Border/community/family']), ('colleague', ['American/economics/health', 'Border/community/family']), ('commitment', ['Border/community/family', 'American/economics/health']), ('debt', ['American/economics/health']), ('ceiling', ['American/economics/health']), ('negotiation', ['American/economics/health']), ('manufactured', ['Border/community/family']), ('defaulting', ['American/economics/health'])]"
GovDougBurgum,2023-04-16 20:56:27+00:00,1,American/economics/health,0.5505435,neutral,0.9196905493736268,anticipation,0.8116316795349121,3.0,News/radio/livestream,0.23479737,Applications will be closing soon for Governor's Band/Orchestra and Choral programs. Apply at https://t.co/Cmk4RfXr7n,application closing soon governor  band orchestra choral program apply,"[('soon', [1]), ('application', [1]), ('governor', [1, 7]), ('apply', [1]), ('program', [1]), ('closing', [1, 3]), ('band', [7]), ('choral', [3]), ('orchestra', [3])]","[('soon', ['American/economics/health']), ('application', ['American/economics/health']), ('governor', ['American/economics/health', 'Abortion/rights/guns']), ('apply', ['American/economics/health']), ('program', ['American/economics/health']), ('closing', ['American/economics/health', 'News/radio/livestream']), ('band', ['Abortion/rights/guns']), ('choral', ['News/radio/livestream']), ('orchestra', ['News/radio/livestream'])]"
politico,2023-04-16 22:41:33+00:00,1,American/economics/health,0.6849168,neutral,0.6452076435089111,disgust,0.4379366040229797,4.0,Republicans vs democrats,0.14581697,Speaker Kevin McCarthy’s new debt limit negotiating proposal will include broad moves to restrict food assistance for millions of low-income Americans https://t.co/ZNmmzVHf8h,speaker kevin mccarthy debt limit negotiating proposal include broad move restrict food assistance million low income american,"[('american', [1, 4]), ('million', [1, 4]), ('speaker', [4, 1]), ('limit', [1, 4]), ('income', [1]), ('move', [6]), ('kevin', [1, 4]), ('mccarthy', [1, 4]), ('low', [1, 4]), ('include', [1, 4]), ('broad', [4, 6]), ('debt', [1]), ('assistance', [1]), ('food', [1, 6]), ('proposal', [1, 4]), ('restrict', [6]), ('negotiating', [1])]","[('american', ['American/economics/health', 'Republicans vs democrats']), ('million', ['American/economics/health', 'Republicans vs democrats']), ('speaker', ['Republicans vs democrats', 'American/economics/health']), ('limit', ['American/economics/health', 'Republicans vs democrats']), ('income', ['American/economics/health']), ('move', ['Election/debate']), ('kevin', ['American/economics/health', 'Republicans vs democrats']), ('mccarthy', ['American/economics/health', 'Republicans vs democrats']), ('low', ['American/economics/health', 'Republicans vs democrats']), ('include', ['American/economics/health', 'Republicans vs democrats']), ('broad', ['Republicans vs democrats', 'Election/debate']), ('debt', ['American/economics/health']), ('assistance', ['American/economics/health']), ('food', ['American/economics/health', 'Election/debate']), ('proposal', ['American/economics/health', 'Republicans vs democrats']), ('restrict', ['Election/debate']), ('negotiating', ['American/economics/health'])]"
NRSC,2023-04-16 23:04:11+00:00,1,American/economics/health,0.5993442,negative,0.6495576500892639,anticipation,0.2651973366737366,5.0,Border/community/family,0.25042978,Get your taxes done or @JonTester and @JoeBiden’s IRS Army is coming for you!,tax irs army coming,"[('coming', [1, 5]), ('tax', [1]), ('irs', [1]), ('army', [5, 1])]","[('coming', ['American/economics/health', 'Border/community/family']), ('tax', ['American/economics/health']), ('irs', ['American/economics/health']), ('army', ['Border/community/family', 'American/economics/health'])]"
