username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,emotion,emotion_prob,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
dscc,2023-04-25 19:50:22+00:00,7,Abortion/rights/guns,0.9325996,negative,0.7608457803726196,anger,0.4892594814300537,,,,"As long as Democrats hold the Senate majority, Republicans’ efforts to ban abortion nationwide have no chance of becoming law.",long democrat hold senate majority republican effort ban abortion nationwide chance law,"[('ban', [7]), ('long', [7]), ('law', [7]), ('republican', [7]), ('democrat', [7]), ('senate', [7]), ('effort', [7]), ('abortion', [7]), ('hold', [7]), ('chance', [7]), ('nationwide', [7]), ('majority', [7])]","[('ban', ['Abortion/rights/guns']), ('long', ['Abortion/rights/guns']), ('law', ['Abortion/rights/guns']), ('republican', ['Abortion/rights/guns']), ('democrat', ['Abortion/rights/guns']), ('senate', ['Abortion/rights/guns']), ('effort', ['Abortion/rights/guns']), ('abortion', ['Abortion/rights/guns']), ('hold', ['Abortion/rights/guns']), ('chance', ['Abortion/rights/guns']), ('nationwide', ['Abortion/rights/guns']), ('majority', ['Abortion/rights/guns'])]"
dscc,2023-04-25 20:11:01+00:00,7,Abortion/rights/guns,0.90266603,neutral,0.7481207847595215,optimism,0.4017780423164367,1.0,American/economics/health,0.013928781,"RT @GaryPeters: I support women making decisions regarding their health care — not politicians, not judges. https://t.co/mZODP3QD5C",support woman making decision health care politician judge,"[('decision', [7]), ('support', [7]), ('making', [7]), ('care', [7]), ('politician', [7]), ('health', [7]), ('woman', [7]), ('judge', [7])]","[('decision', ['Abortion/rights/guns']), ('support', ['Abortion/rights/guns']), ('making', ['Abortion/rights/guns']), ('care', ['Abortion/rights/guns']), ('politician', ['Abortion/rights/guns']), ('health', ['Abortion/rights/guns']), ('woman', ['Abortion/rights/guns']), ('judge', ['Abortion/rights/guns'])]"
SenWarren,2023-04-25 21:40:01+00:00,7,Abortion/rights/guns,0.9634387,negative,0.8216105699539185,anger,0.6350845694541931,,,,Senator Tuberville is blocking promotions for nearly 200 military officials–jeopardizing national security &amp; harming military families–to take away servicemembers' freedom to travel for reproductive health care. I'm taking this fight to the Senate floor. https://t.co/rbiV8D4JcL,senator tuberville blocking promotion nearly military officialsjeopardizing national security harming military familiesto away servicemembers freedom travel reproductive health care taking fight senate floor,"[('national', [7]), ('security', [7]), ('freedom', [7]), ('military', [7]), ('nearly', [7]), ('travel', [7]), ('taking', [7]), ('away', [7]), ('senator', [7]), ('fight', [7]), ('care', [7]), ('health', [7]), ('blocking', [7]), ('floor', [7]), ('senate', [7]), ('reproductive', [7]), ('tuberville', [7]), ('servicemembers', [7]), ('promotion', [7]), ('harming', [7]), ('familiesto', [7]), ('officialsjeopardizing', [7])]","[('national', ['Abortion/rights/guns']), ('security', ['Abortion/rights/guns']), ('freedom', ['Abortion/rights/guns']), ('military', ['Abortion/rights/guns']), ('nearly', ['Abortion/rights/guns']), ('travel', ['Abortion/rights/guns']), ('taking', ['Abortion/rights/guns']), ('away', ['Abortion/rights/guns']), ('senator', ['Abortion/rights/guns']), ('fight', ['Abortion/rights/guns']), ('care', ['Abortion/rights/guns']), ('health', ['Abortion/rights/guns']), ('blocking', ['Abortion/rights/guns']), ('floor', ['Abortion/rights/guns']), ('senate', ['Abortion/rights/guns']), ('reproductive', ['Abortion/rights/guns']), ('tuberville', ['Abortion/rights/guns']), ('servicemembers', ['Abortion/rights/guns']), ('promotion', ['Abortion/rights/guns']), ('harming', ['Abortion/rights/guns']), ('familiesto', ['Abortion/rights/guns']), ('officialsjeopardizing', ['Abortion/rights/guns'])]"
SenWarren,2023-04-25 21:50:54+00:00,7,Abortion/rights/guns,0.7088985,positive,0.7165588140487671,optimism,0.9121240377426147,5.0,Border/community/family,0.24935347,"As Chair of the Personnel Subcommittee, I care deeply about protecting our servicemembers and the integrity of our promotion system. These servicemembers should be treated with dignity and respect. It’s time to lift these holds.",chair personnel subcommittee care deeply protecting servicemembers integrity promotion system servicemembers treated dignity respect time lift hold,"[('system', [7, 5]), ('time', [7, 5]), ('care', [7, 5]), ('respect', [7, 5]), ('hold', [7, 5]), ('subcommittee', [5]), ('protecting', [7, 5]), ('treated', [7]), ('chair', [7]), ('deeply', [7, 5]), ('integrity', [7, 5]), ('dignity', [7, 5]), ('personnel', [5]), ('lift', [7, 5]), ('servicemembers', [7, 5]), ('promotion', [7])]","[('system', ['Abortion/rights/guns', 'Border/community/family']), ('time', ['Abortion/rights/guns', 'Border/community/family']), ('care', ['Abortion/rights/guns', 'Border/community/family']), ('respect', ['Abortion/rights/guns', 'Border/community/family']), ('hold', ['Abortion/rights/guns', 'Border/community/family']), ('subcommittee', ['Border/community/family']), ('protecting', ['Abortion/rights/guns', 'Border/community/family']), ('treated', ['Abortion/rights/guns']), ('chair', ['Abortion/rights/guns']), ('deeply', ['Abortion/rights/guns', 'Border/community/family']), ('integrity', ['Abortion/rights/guns', 'Border/community/family']), ('dignity', ['Abortion/rights/guns', 'Border/community/family']), ('personnel', ['Border/community/family']), ('lift', ['Abortion/rights/guns', 'Border/community/family']), ('servicemembers', ['Abortion/rights/guns', 'Border/community/family']), ('promotion', ['Abortion/rights/guns'])]"
SenDuckworth,2023-04-25 23:20:12+00:00,7,Abortion/rights/guns,0.43673575,positive,0.8024488091468811,optimism,0.6957695484161377,1.0,American/economics/health,0.37833828,"NEWS: Today, I introduced bipartisan legislation with @GerryConnolly to expand and protect access to IVF and other assisted reproductive technology. Every American deserves the chance to become a parent if and when they want to. https://t.co/ikGODkMmed",news today introduced bipartisan legislation expand protect access ivf assisted reproductive technology american deserves chance parent want,"[('american', [1, 7]), ('today', [7, 1]), ('news', [1, 7]), ('technology', [8, 1]), ('parent', [1]), ('want', [1, 7]), ('protect', [7, 1]), ('access', [7, 1]), ('bipartisan', [1, 8]), ('legislation', [1, 7]), ('introduced', [1, 7]), ('chance', [7, 1]), ('deserves', [1, 7]), ('assisted', [7]), ('expand', [1, 7]), ('reproductive', [7]), ('ivf', [7])]","[('american', ['American/economics/health', 'Abortion/rights/guns']), ('today', ['Abortion/rights/guns', 'American/economics/health']), ('news', ['American/economics/health', 'Abortion/rights/guns']), ('technology', ['Infrastructure/job/energy', 'American/economics/health']), ('parent', ['American/economics/health']), ('want', ['American/economics/health', 'Abortion/rights/guns']), ('protect', ['Abortion/rights/guns', 'American/economics/health']), ('access', ['Abortion/rights/guns', 'American/economics/health']), ('bipartisan', ['American/economics/health', 'Infrastructure/job/energy']), ('legislation', ['American/economics/health', 'Abortion/rights/guns']), ('introduced', ['American/economics/health', 'Abortion/rights/guns']), ('chance', ['Abortion/rights/guns', 'American/economics/health']), ('deserves', ['American/economics/health', 'Abortion/rights/guns']), ('assisted', ['Abortion/rights/guns']), ('expand', ['American/economics/health', 'Abortion/rights/guns']), ('reproductive', ['Abortion/rights/guns']), ('ivf', ['Abortion/rights/guns'])]"
KamalaHarris,2023-04-25 23:25:00+00:00,7,Abortion/rights/guns,0.46092454,negative,0.7129638195037842,anger,0.6320586800575256,6.0,Election/debate,0.27680174,"MAGA extremists want to take away women’s health care decisions, control what books your kids can read in schools, and tell you who you can love. That’s not who we are. As @JoeBiden says, we are in a battle for the soul of this nation. That’s why we’re running for reelection.",maga extremist want away woman health care decision control book kid read school tell love say battle soul nation running reelection,"[('decision', [7, 6]), ('soul', [5]), ('control', [7, 6]), ('say', [6, 7]), ('away', [7, 6]), ('school', [5, 1]), ('love', [7, 6]), ('running', [6, 7]), ('care', [7, 1]), ('health', [7, 1]), ('kid', [1, 7]), ('read', [6, 7]), ('tell', [7, 6]), ('woman', [7, 5]), ('want', [7, 6]), ('nation', [7, 5]), ('reelection', [6]), ('book', [6, 7]), ('battle', [6, 7]), ('maga', [7, 1]), ('extremist', [7])]","[('decision', ['Abortion/rights/guns', 'Election/debate']), ('soul', ['Border/community/family']), ('control', ['Abortion/rights/guns', 'Election/debate']), ('say', ['Election/debate', 'Abortion/rights/guns']), ('away', ['Abortion/rights/guns', 'Election/debate']), ('school', ['Border/community/family', 'American/economics/health']), ('love', ['Abortion/rights/guns', 'Election/debate']), ('running', ['Election/debate', 'Abortion/rights/guns']), ('care', ['Abortion/rights/guns', 'American/economics/health']), ('health', ['Abortion/rights/guns', 'American/economics/health']), ('kid', ['American/economics/health', 'Abortion/rights/guns']), ('read', ['Election/debate', 'Abortion/rights/guns']), ('tell', ['Abortion/rights/guns', 'Election/debate']), ('woman', ['Abortion/rights/guns', 'Border/community/family']), ('want', ['Abortion/rights/guns', 'Election/debate']), ('nation', ['Abortion/rights/guns', 'Border/community/family']), ('reelection', ['Election/debate']), ('book', ['Election/debate', 'Abortion/rights/guns']), ('battle', ['Election/debate', 'Abortion/rights/guns']), ('maga', ['Abortion/rights/guns', 'American/economics/health']), ('extremist', ['Abortion/rights/guns'])]"
KamalaHarris,2023-04-26 01:45:37+00:00,7,Abortion/rights/guns,0.40623808,positive,0.7734867334365845,optimism,0.8918785452842712,6.0,Election/debate,0.25220317,"This is a moment to stand up for democracy and for our fundamental freedoms, and it’s going to take all of us. Pitch in to help power our campaign to reelect @JoeBiden. https://t.co/trSFmTp0hB",moment stand democracy fundamental freedom going pitch help power campaign reelect,"[('democracy', [7, 6]), ('freedom', [7, 5]), ('power', [7, 6]), ('going', [6, 7]), ('help', [6, 5]), ('pitch', [3]), ('campaign', [6, 7]), ('stand', [7, 5]), ('moment', [7, 5]), ('fundamental', [7, 6]), ('reelect', [5])]","[('democracy', ['Abortion/rights/guns', 'Election/debate']), ('freedom', ['Abortion/rights/guns', 'Border/community/family']), ('power', ['Abortion/rights/guns', 'Election/debate']), ('going', ['Election/debate', 'Abortion/rights/guns']), ('help', ['Election/debate', 'Border/community/family']), ('pitch', ['News/radio/livestream']), ('campaign', ['Election/debate', 'Abortion/rights/guns']), ('stand', ['Abortion/rights/guns', 'Border/community/family']), ('moment', ['Abortion/rights/guns', 'Border/community/family']), ('fundamental', ['Abortion/rights/guns', 'Election/debate']), ('reelect', ['Border/community/family'])]"
FoxNews,2023-04-26 10:30:09+00:00,7,Abortion/rights/guns,0.479926,negative,0.5859142541885376,anger,0.817906379699707,2.0,War,0.23900624,"Lia Thomas calls out 'anti-feminists' for pushing 'transphobic beliefs,' showing 'half support' to trans women https://t.co/atQkjM7vxs",lia thomas call anti feminist pushing transphobic belief showing half support trans woman,"[('support', [7, 1]), ('showing', [2, 7]), ('call', [2, 1]), ('trans', [7, 2]), ('belief', [7, 2]), ('half', [1, 2]), ('woman', [7, 1]), ('pushing', [7, 1]), ('thomas', [7, 2]), ('transphobic', [2]), ('anti', [7, 2]), ('feminist', [7]), ('lia', [1])]","[('support', ['Abortion/rights/guns', 'American/economics/health']), ('showing', ['War', 'Abortion/rights/guns']), ('call', ['War', 'American/economics/health']), ('trans', ['Abortion/rights/guns', 'War']), ('belief', ['Abortion/rights/guns', 'War']), ('half', ['American/economics/health', 'War']), ('woman', ['Abortion/rights/guns', 'American/economics/health']), ('pushing', ['Abortion/rights/guns', 'American/economics/health']), ('thomas', ['Abortion/rights/guns', 'War']), ('transphobic', ['War']), ('anti', ['Abortion/rights/guns', 'War']), ('feminist', ['Abortion/rights/guns']), ('lia', ['American/economics/health'])]"
aaron_leib,2023-04-26 14:35:32+00:00,7,Abortion/rights/guns,0.484839,negative,0.5049586296081543,fear,0.6289393305778503,5.0,Border/community/family,0.3098128,Miami Beach advocates say a proposal in Tallahassee could mark “the end of historic preservation in coastal Florida.” A look at the controversial bills threatening Art Deco buildings in the name of resiliency. w/@AndresViglucci &amp; @MaryEllenKlas https://t.co/MbD4T1TKCj,miami beach advocate proposal tallahassee mark end historic preservation coastal florida look controversial bill threatening art deco building resiliency ,"[('building', [5, 4]), ('miami', [4, 5]), ('end', [7, 5]), ('look', [4, 5]), ('florida', [7, 4]), ('bill', [7, 5]), ('mark', [7, 5]), ('threatening', [7, 5]), ('beach', [5, 4]), ('controversial', [7]), ('art', [5, 7]), ('advocate', [7, 5]), ('historic', [5, 7]), ('proposal', [7, 4]), ('preservation', [5]), ('resiliency', [7]), ('coastal', [7]), ('tallahassee', [4]), ('deco', [7])]","[('building', ['Border/community/family', 'Republicans vs democrats']), ('miami', ['Republicans vs democrats', 'Border/community/family']), ('end', ['Abortion/rights/guns', 'Border/community/family']), ('look', ['Republicans vs democrats', 'Border/community/family']), ('florida', ['Abortion/rights/guns', 'Republicans vs democrats']), ('bill', ['Abortion/rights/guns', 'Border/community/family']), ('mark', ['Abortion/rights/guns', 'Border/community/family']), ('threatening', ['Abortion/rights/guns', 'Border/community/family']), ('beach', ['Border/community/family', 'Republicans vs democrats']), ('controversial', ['Abortion/rights/guns']), ('art', ['Border/community/family', 'Abortion/rights/guns']), ('advocate', ['Abortion/rights/guns', 'Border/community/family']), ('historic', ['Border/community/family', 'Abortion/rights/guns']), ('proposal', ['Abortion/rights/guns', 'Republicans vs democrats']), ('preservation', ['Border/community/family']), ('resiliency', ['Abortion/rights/guns']), ('coastal', ['Abortion/rights/guns']), ('tallahassee', ['Republicans vs democrats']), ('deco', ['Abortion/rights/guns'])]"
NewsbySmiley,2023-04-26 14:36:57+00:00,7,Abortion/rights/guns,0.52690595,neutral,0.5045039653778076,fear,0.6134973168373108,5.0,Border/community/family,0.33488986,RT @Miami Beach advocates say a proposal in Tallahassee could mark “the end of historic preservation in coastal Florida.” A look at the controversial bills threatening Art Deco buildings in the name of resiliency. w/@AndresViglucci &amp; @MaryEllenKlas https://t.co/MbD4T1TKCj,beach advocate proposal tallahassee mark end historic preservation coastal florida look controversial bill threatening art deco building resiliency ,"[('building', [5, 4]), ('end', [7, 5]), ('look', [5, 4]), ('florida', [7, 4]), ('bill', [7, 5]), ('mark', [7, 5]), ('threatening', [7, 5]), ('beach', [5, 4]), ('controversial', [7]), ('art', [5, 7]), ('advocate', [7, 5]), ('historic', [5, 7]), ('proposal', [7, 4]), ('preservation', [5]), ('resiliency', [7]), ('coastal', [7]), ('tallahassee', [4]), ('deco', [7])]","[('building', ['Border/community/family', 'Republicans vs democrats']), ('end', ['Abortion/rights/guns', 'Border/community/family']), ('look', ['Border/community/family', 'Republicans vs democrats']), ('florida', ['Abortion/rights/guns', 'Republicans vs democrats']), ('bill', ['Abortion/rights/guns', 'Border/community/family']), ('mark', ['Abortion/rights/guns', 'Border/community/family']), ('threatening', ['Abortion/rights/guns', 'Border/community/family']), ('beach', ['Border/community/family', 'Republicans vs democrats']), ('controversial', ['Abortion/rights/guns']), ('art', ['Border/community/family', 'Abortion/rights/guns']), ('advocate', ['Abortion/rights/guns', 'Border/community/family']), ('historic', ['Border/community/family', 'Abortion/rights/guns']), ('proposal', ['Abortion/rights/guns', 'Republicans vs democrats']), ('preservation', ['Border/community/family']), ('resiliency', ['Abortion/rights/guns']), ('coastal', ['Abortion/rights/guns']), ('tallahassee', ['Republicans vs democrats']), ('deco', ['Abortion/rights/guns'])]"
