username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
JohnDelaney,2023-05-15 00:42:03+00:00,5,Border/community/family,0.7802657,positive,0.9866609573364258,"{'positive': 0.9866609573364258, 'neutral': 0.010135534219443798, 'negative': 0.003203580854460597}",joy,0.7548205256462097,"{'joy': 0.7548205256462097, 'love': 0.213124617934227, 'optimism': 0.026600250974297523, 'trust': 0.002257129643112421, 'surprise': 0.0007593087502755225, 'anticipation': 0.0006206204416230321, 'sadness': 0.0005604980397038162, 'anger': 0.00033492656075395644, 'disgust': 0.0003321636177133769, 'fear': 0.0003284793347120285, 'pessimism': 0.0002614857512526214}",6.0,Election/debate,0.031401895,I really really loved that blackberry when it first came out. https://t.co/nK0GDFZyY7,loved blackberry came,"[('came', [5]), ('loved', [5]), ('blackberry', [5])]","[('came', ['Border/community/family']), ('loved', ['Border/community/family']), ('blackberry', ['Border/community/family'])]"
AlexThomp,2023-05-15 00:50:28+00:00,5,Border/community/family,0.7343698,neutral,0.6683647036552429,"{'neutral': 0.6683647036552429, 'negative': 0.312893271446228, 'positive': 0.018742065876722336}",anticipation,0.3363900184631347,"{'anticipation': 0.33639001846313477, 'disgust': 0.2625180184841156, 'anger': 0.20125862956047058, 'fear': 0.09369605034589767, 'pessimism': 0.027073152363300323, 'optimism': 0.024890640750527382, 'sadness': 0.020917367190122604, 'surprise': 0.01873350888490677, 'trust': 0.008566820994019508, 'joy': 0.00502210995182395, 'love': 0.0009337128722108901}",1.0,American/economics/health,0.19716549,"Per pooler @catherine_lucey, Biden said he has no imminent plans to visit the border: “Not in the near term no. It would just be disruptive.”",pooler biden said imminent plan visit border near term disruptive,"[('biden', [5, 1]), ('said', [5, 1]), ('near', [5, 1]), ('term', [1, 5]), ('border', [5, 1]), ('plan', [1, 5]), ('visit', [5, 1]), ('imminent', [5]), ('disruptive', [5]), ('pooler', [5])]","[('biden', ['Border/community/family', 'American/economics/health']), ('said', ['Border/community/family', 'American/economics/health']), ('near', ['Border/community/family', 'American/economics/health']), ('term', ['American/economics/health', 'Border/community/family']), ('border', ['Border/community/family', 'American/economics/health']), ('plan', ['American/economics/health', 'Border/community/family']), ('visit', ['Border/community/family', 'American/economics/health']), ('imminent', ['Border/community/family']), ('disruptive', ['Border/community/family']), ('pooler', ['Border/community/family'])]"
NRSC,2023-05-15 02:52:14+00:00,5,Border/community/family,0.8904904,negative,0.8203579783439636,"{'negative': 0.8203579783439636, 'neutral': 0.17067687213420868, 'positive': 0.00896523054689169}",disgust,0.5653661489486694,"{'disgust': 0.5653661489486694, 'anger': 0.3636859953403473, 'fear': 0.038761887699365616, 'sadness': 0.022082336246967316, 'pessimism': 0.006228655111044645, 'anticipation': 0.002002973109483719, 'surprise': 0.0010032302234321833, 'optimism': 0.00041355041321367025, 'trust': 0.00019148077990394086, 'joy': 0.00017965257575269789, 'love': 8.412729948759079e-05}",1.0,American/economics/health,0.015683148,Biden refuses to visit the southern border and see the crisis he created,biden refuse visit southern border crisis created,"[('biden', [5]), ('border', [5]), ('crisis', [5]), ('southern', [5]), ('created', [5]), ('refuse', [5]), ('visit', [5])]","[('biden', ['Border/community/family']), ('border', ['Border/community/family']), ('crisis', ['Border/community/family']), ('southern', ['Border/community/family']), ('created', ['Border/community/family']), ('refuse', ['Border/community/family']), ('visit', ['Border/community/family'])]"
GovWhitmer,2023-05-15 15:03:27+00:00,5,Border/community/family,0.60711205,positive,0.9719037413597108,"{'positive': 0.9719037413597107, 'neutral': 0.018881238996982574, 'negative': 0.009214997291564941}",joy,0.5236379504203796,"{'joy': 0.5236379504203796, 'optimism': 0.45773839950561523, 'love': 0.009455345571041107, 'trust': 0.004171291366219521, 'sadness': 0.0020251364912837744, 'anticipation': 0.001493927906267345, 'pessimism': 0.0004329945077188313, 'surprise': 0.00031411429517902434, 'disgust': 0.0002586475166026503, 'anger': 0.00024814807693473995, 'fear': 0.0002240167377749458}",1.0,American/economics/health,0.22083206,"Case of the Mondays? Not in Michigan! Our state has so much to offer, from stunning views to a growing economy to some of the most kind and hardworking people you’ll ever meet. Not a day goes by that I’m not grateful to be a Michigander.",case monday michigan state offer stunning view growing economy kind hardworking people meet day  grateful michigander,"[('state', [5, 1]), ('people', [5, 1]), ('day', [5, 1]), ('view', [4, 5]), ('offer', [5, 1]), ('michigan', [5, 1]), ('case', [4, 5]), ('growing', [1, 5]), ('monday', [5, 4]), ('economy', [1, 4]), ('meet', [5, 1]), ('kind', [5, 4]), ('grateful', [5, 1]), ('hardworking', [1, 5]), ('stunning', [5]), ('michigander', [5])]","[('state', ['Border/community/family', 'American/economics/health']), ('people', ['Border/community/family', 'American/economics/health']), ('day', ['Border/community/family', 'American/economics/health']), ('view', ['Republicans vs democrats', 'Border/community/family']), ('offer', ['Border/community/family', 'American/economics/health']), ('michigan', ['Border/community/family', 'American/economics/health']), ('case', ['Republicans vs democrats', 'Border/community/family']), ('growing', ['American/economics/health', 'Border/community/family']), ('monday', ['Border/community/family', 'Republicans vs democrats']), ('economy', ['American/economics/health', 'Republicans vs democrats']), ('meet', ['Border/community/family', 'American/economics/health']), ('kind', ['Border/community/family', 'Republicans vs democrats']), ('grateful', ['Border/community/family', 'American/economics/health']), ('hardworking', ['American/economics/health', 'Border/community/family']), ('stunning', ['Border/community/family']), ('michigander', ['Border/community/family'])]"
HouseDemocrats,2023-05-15 15:20:17+00:00,5,Border/community/family,0.85412693,positive,0.9881201982498168,"{'positive': 0.9881201982498169, 'neutral': 0.00910031609237194, 'negative': 0.0027794367633759975}",joy,0.8732441663742065,"{'joy': 0.8732441663742065, 'love': 0.09792549163103104, 'optimism': 0.02521980181336403, 'trust': 0.001426507020369172, 'surprise': 0.000542396039236337, 'anticipation': 0.0005162048037163913, 'sadness': 0.0004196575318928808, 'fear': 0.00019173382315784693, 'disgust': 0.00018930099031422287, 'pessimism': 0.00016394531121477485, 'anger': 0.00016074748418759555}",1.0,American/economics/health,0.02084539,Wishing all the moms a happy Mother’s Day! https://t.co/15ZVAS4yel,wishing mom happy mother day,"[('day', [5]), ('mom', [5]), ('mother', [5]), ('happy', [5]), ('wishing', [5])]","[('day', ['Border/community/family']), ('mom', ['Border/community/family']), ('mother', ['Border/community/family']), ('happy', ['Border/community/family']), ('wishing', ['Border/community/family'])]"
TulsiGabbard,2023-05-15 15:30:21+00:00,5,Border/community/family,0.6983314,negative,0.8610417246818542,"{'negative': 0.8610417246818542, 'neutral': 0.13001291453838348, 'positive': 0.008945368230342865}",anger,0.4949867725372314,"{'anger': 0.49498677253723145, 'disgust': 0.4658887982368469, 'fear': 0.02823229692876339, 'sadness': 0.00739959767088294, 'pessimism': 0.001658859895542264, 'anticipation': 0.0006468573119491339, 'surprise': 0.0006213230080902576, 'optimism': 0.0001955135667230934, 'joy': 0.0001354229898424819, 'trust': 0.00013270351337268949, 'love': 0.00010187422594754025}",2.0,War,0.18383741,"The Biden Admin's border policies are opening the floodgates for anyone who can get across the southern border, and enabling the Cartels' criminal activity. Anyone helping the Cartels with human trafficking, child prostitution and importing drugs like Fentanyl, is an accessory and must be held criminally liable, no matter who they are.",biden admin  border policy opening floodgate southern border enabling cartel criminal activity helping cartel human trafficking child prostitution importing drug like fentanyl accessory held criminally liable matter,"[('biden', [5, 4]), ('like', [5, 2]), ('border', [5, 4]), ('helping', [5, 4]), ('criminal', [5, 4]), ('southern', [5]), ('held', [5, 4]), ('child', [5, 2]), ('drug', [5, 4]), ('trafficking', [5]), ('fentanyl', [5]), ('human', [5, 2]), ('policy', [5, 2]), ('opening', [5, 4]), ('matter', [5, 4]), ('activity', [5, 4]), ('admin', [5, 4]), ('floodgate', [5]), ('cartel', [5, 2]), ('prostitution', [5]), ('enabling', [2, 5]), ('importing', [2]), ('liable', [4]), ('criminally', [2]), ('accessory', [2])]","[('biden', ['Border/community/family', 'Republicans vs democrats']), ('like', ['Border/community/family', 'War']), ('border', ['Border/community/family', 'Republicans vs democrats']), ('helping', ['Border/community/family', 'Republicans vs democrats']), ('criminal', ['Border/community/family', 'Republicans vs democrats']), ('southern', ['Border/community/family']), ('held', ['Border/community/family', 'Republicans vs democrats']), ('child', ['Border/community/family', 'War']), ('drug', ['Border/community/family', 'Republicans vs democrats']), ('trafficking', ['Border/community/family']), ('fentanyl', ['Border/community/family']), ('human', ['Border/community/family', 'War']), ('policy', ['Border/community/family', 'War']), ('opening', ['Border/community/family', 'Republicans vs democrats']), ('matter', ['Border/community/family', 'Republicans vs democrats']), ('activity', ['Border/community/family', 'Republicans vs democrats']), ('admin', ['Border/community/family', 'Republicans vs democrats']), ('floodgate', ['Border/community/family']), ('cartel', ['Border/community/family', 'War']), ('prostitution', ['Border/community/family']), ('enabling', ['War', 'Border/community/family']), ('importing', ['War']), ('liable', ['Republicans vs democrats']), ('criminally', ['War']), ('accessory', ['War'])]"
MichStatePolice,2023-05-15 15:33:37+00:00,5,Border/community/family,0.8339305,neutral,0.5456277132034302,"{'neutral': 0.5456277132034302, 'positive': 0.4200805425643921, 'negative': 0.03429175540804863}",optimism,0.7720053791999817,"{'optimism': 0.7720053791999817, 'joy': 0.13096170127391815, 'sadness': 0.03879519924521446, 'anticipation': 0.019685449078679085, 'trust': 0.01431343425065279, 'pessimism': 0.008573069237172604, 'love': 0.0076581453904509544, 'disgust': 0.0027878889814019203, 'anger': 0.002168790902942419, 'fear': 0.0019384069601073861, 'surprise': 0.0011125864693894982}",1.0,American/economics/health,0.10353248,"In recognition of #PeaceOfficersMemorialDay, @GovWhitmer has ordered the lowering of flags to honor the peace officers who made the ultimate sacrifice in the line of duty.",recognition ordered lowering flag honor peace officer ultimate sacrifice line duty,"[('officer', [5]), ('ordered', [5]), ('peace', [5, 1]), ('honor', [5]), ('flag', [5]), ('duty', [5, 1]), ('line', [5, 1]), ('lowering', [1]), ('recognition', [5]), ('sacrifice', [5]), ('ultimate', [5])]","[('officer', ['Border/community/family']), ('ordered', ['Border/community/family']), ('peace', ['Border/community/family', 'American/economics/health']), ('honor', ['Border/community/family']), ('flag', ['Border/community/family']), ('duty', ['Border/community/family', 'American/economics/health']), ('line', ['Border/community/family', 'American/economics/health']), ('lowering', ['American/economics/health']), ('recognition', ['Border/community/family']), ('sacrifice', ['Border/community/family']), ('ultimate', ['Border/community/family'])]"
SenatorHassan,2023-05-15 15:53:31+00:00,5,Border/community/family,0.56693655,neutral,0.4826431274414062,"{'neutral': 0.48264312744140625, 'positive': 0.44569340348243713, 'negative': 0.07166337966918945}",optimism,0.4878613948822021,"{'optimism': 0.48786139488220215, 'fear': 0.36545971035957336, 'anticipation': 0.046867139637470245, 'anger': 0.024415289983153343, 'disgust': 0.022882236167788506, 'trust': 0.017292123287916183, 'pessimism': 0.015229110606014729, 'sadness': 0.009845051914453506, 'joy': 0.0068824877962470055, 'surprise': 0.0021158854942768812, 'love': 0.0011494947830215096}",1.0,American/economics/health,0.40177703,ICYMI: I cosponsored the bipartisan FEND Off Fentanyl Act to further target the deadly flow of fentanyl into our communities. This bill will help prevent overdoses and save lives – and I will keep working to address the fentanyl crisis that is devastating NH communities.,icymi cosponsored bipartisan fend fentanyl act target deadly flow fentanyl community bill help prevent overdoses save life working address fentanyl crisis devastating  community,"[('prevent', [5, 1]), ('help', [1, 5]), ('crisis', [5, 1]), ('act', [1, 5]), ('life', [5, 1]), ('working', [1, 5]), ('address', [1, 5]), ('community', [5, 1]), ('fentanyl', [5, 1]), ('bill', [1, 5]), ('flow', [5]), ('save', [1, 5]), ('bipartisan', [1, 5]), ('target', [1, 5]), ('devastating', [1, 5]), ('deadly', [5, 1]), ('icymi', [1, 5]), ('fend', [5]), ('overdoses', [5, 1]), ('cosponsored', [5])]","[('prevent', ['Border/community/family', 'American/economics/health']), ('help', ['American/economics/health', 'Border/community/family']), ('crisis', ['Border/community/family', 'American/economics/health']), ('act', ['American/economics/health', 'Border/community/family']), ('life', ['Border/community/family', 'American/economics/health']), ('working', ['American/economics/health', 'Border/community/family']), ('address', ['American/economics/health', 'Border/community/family']), ('community', ['Border/community/family', 'American/economics/health']), ('fentanyl', ['Border/community/family', 'American/economics/health']), ('bill', ['American/economics/health', 'Border/community/family']), ('flow', ['Border/community/family']), ('save', ['American/economics/health', 'Border/community/family']), ('bipartisan', ['American/economics/health', 'Border/community/family']), ('target', ['American/economics/health', 'Border/community/family']), ('devastating', ['American/economics/health', 'Border/community/family']), ('deadly', ['Border/community/family', 'American/economics/health']), ('icymi', ['American/economics/health', 'Border/community/family']), ('fend', ['Border/community/family']), ('overdoses', ['Border/community/family', 'American/economics/health']), ('cosponsored', ['Border/community/family'])]"
GovWhitmer,2023-05-15 16:15:58+00:00,5,Border/community/family,0.9633751,positive,0.5526468753814697,"{'positive': 0.5526468753814697, 'neutral': 0.4383433759212494, 'negative': 0.009009773842990398}",optimism,0.7434993386268616,"{'optimism': 0.7434993386268616, 'anticipation': 0.11925294250249863, 'fear': 0.06015290319919586, 'trust': 0.03705817461013794, 'joy': 0.021846065297722816, 'pessimism': 0.0045789326541125774, 'anger': 0.003971930127590895, 'disgust': 0.003149967174977064, 'surprise': 0.002717080991715193, 'sadness': 0.002147738356143236, 'love': 0.0016250059707090259}",,,,"I want to share some observations from a recent mission I took to Latvia, where the @MINationalGuard is serving on the eastern flank of NATO to deter or respond to future threats to peace and security. Please take a minute to read, because the MING’s work deserves to be uplifted. https://t.co/HdD8G45Jb5",want share observation recent mission took latvia serving eastern flank nato deter respond future threat peace security minute read ming work deserves uplifted,"[('security', [5]), ('serving', [5]), ('minute', [5]), ('eastern', [5]), ('threat', [5]), ('peace', [5]), ('work', [5]), ('read', [5]), ('future', [5]), ('want', [5]), ('took', [5]), ('recent', [5]), ('share', [5]), ('deserves', [5]), ('respond', [5]), ('nato', [5]), ('deter', [5]), ('mission', [5]), ('uplifted', [5]), ('observation', [5]), ('flank', [5]), ('latvia', [5]), ('ming', [5])]","[('security', ['Border/community/family']), ('serving', ['Border/community/family']), ('minute', ['Border/community/family']), ('eastern', ['Border/community/family']), ('threat', ['Border/community/family']), ('peace', ['Border/community/family']), ('work', ['Border/community/family']), ('read', ['Border/community/family']), ('future', ['Border/community/family']), ('want', ['Border/community/family']), ('took', ['Border/community/family']), ('recent', ['Border/community/family']), ('share', ['Border/community/family']), ('deserves', ['Border/community/family']), ('respond', ['Border/community/family']), ('nato', ['Border/community/family']), ('deter', ['Border/community/family']), ('mission', ['Border/community/family']), ('uplifted', ['Border/community/family']), ('observation', ['Border/community/family']), ('flank', ['Border/community/family']), ('latvia', ['Border/community/family']), ('ming', ['Border/community/family'])]"
GovWhitmer,2023-05-15 16:16:02+00:00,5,Border/community/family,0.7060678,neutral,0.8688724637031555,"{'neutral': 0.8688724637031555, 'positive': 0.11052162945270538, 'negative': 0.02060590498149395}",anticipation,0.7213097810745239,"{'anticipation': 0.7213097810745239, 'optimism': 0.07303363084793091, 'joy': 0.052402712404727936, 'trust': 0.03237338736653328, 'fear': 0.031386956572532654, 'surprise': 0.03016442246735096, 'anger': 0.026805195957422256, 'disgust': 0.02043977938592434, 'pessimism': 0.006287920754402876, 'sadness': 0.002920547965914011, 'love': 0.0028756477404385805}",8.0,Infrastructure/job/energy,0.13793243,"While I was there, I saw the Michigan National Guard perform a HIMARS drill. This was just a demonstration, but these U.S. military systems exist along the Russian border to demonstrate NATO’s strength. https://t.co/UOsrSAeNtx",saw michigan national guard perform himars drill demonstration  military system exist russian border demonstrate nato strength,"[('national', [5, 8]), ('military', [5, 2]), ('demonstration', [5]), ('russian', [5, 2]), ('saw', [5, 8]), ('system', [5, 8]), ('border', [5]), ('michigan', [8, 5]), ('guard', [5, 8]), ('exist', [5, 2]), ('strength', [5, 2]), ('nato', [5, 2]), ('perform', [5]), ('drill', [8]), ('demonstrate', [2]), ('himars', [5])]","[('national', ['Border/community/family', 'Infrastructure/job/energy']), ('military', ['Border/community/family', 'War']), ('demonstration', ['Border/community/family']), ('russian', ['Border/community/family', 'War']), ('saw', ['Border/community/family', 'Infrastructure/job/energy']), ('system', ['Border/community/family', 'Infrastructure/job/energy']), ('border', ['Border/community/family']), ('michigan', ['Infrastructure/job/energy', 'Border/community/family']), ('guard', ['Border/community/family', 'Infrastructure/job/energy']), ('exist', ['Border/community/family', 'War']), ('strength', ['Border/community/family', 'War']), ('nato', ['Border/community/family', 'War']), ('perform', ['Border/community/family']), ('drill', ['Infrastructure/job/energy']), ('demonstrate', ['War']), ('himars', ['Border/community/family'])]"
