username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,emotion,emotion_prob,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
geoffreyvs,2023-05-25 00:08:03+00:00,6,Election/debate,0.75841844,positive,0.8740900158882141,optimism,0.4941467642784118,7.0,Abortion/rights/guns,0.12538892,"Ron DeSantis is running for president. One thing working for him is that he's very well-liked by Republicans — almost equal to Donald Trump even though he's not as well-known. I examine DeSantis's rise, early 2023 slide and potential revival here: https://t.co/Mc3l4b7dZG https://t.co/GD1aWvRvZR",ron desantis running president thing working liked republican equal donald trump known examine desantis  rise early slide potential revival,"[('potential', [6, 5]), ('donald', [6, 7]), ('trump', [6, 7]), ('president', [6, 7]), ('republican', [6, 7]), ('thing', [6, 5]), ('examine', [5]), ('working', [6, 7]), ('desantis', [6]), ('running', [6, 7]), ('known', [6, 5]), ('early', [6]), ('ron', [6]), ('equal', [7]), ('rise', [6, 5]), ('liked', [6]), ('slide', [6]), ('revival', [7])]","[('potential', ['Election/debate', 'Border/community/family']), ('donald', ['Election/debate', 'Abortion/rights/guns']), ('trump', ['Election/debate', 'Abortion/rights/guns']), ('president', ['Election/debate', 'Abortion/rights/guns']), ('republican', ['Election/debate', 'Abortion/rights/guns']), ('thing', ['Election/debate', 'Border/community/family']), ('examine', ['Border/community/family']), ('working', ['Election/debate', 'Abortion/rights/guns']), ('desantis', ['Election/debate']), ('running', ['Election/debate', 'Abortion/rights/guns']), ('known', ['Election/debate', 'Border/community/family']), ('early', ['Election/debate']), ('ron', ['Election/debate']), ('equal', ['Abortion/rights/guns']), ('rise', ['Election/debate', 'Border/community/family']), ('liked', ['Election/debate']), ('slide', ['Election/debate']), ('revival', ['Abortion/rights/guns'])]"
jonathanvswan,2023-05-25 00:08:54+00:00,6,Election/debate,0.6952622,negative,0.57892245054245,disgust,0.5134759545326233,1.0,American/economics/health,0.17965879,Twitter Spaces for DeSantis's launch just cut out. Now back.,twitter space desantis  launch cut,"[('twitter', [6]), ('desantis', [6]), ('cut', [1, 6]), ('space', [6, 1]), ('launch', [6])]","[('twitter', ['Election/debate']), ('desantis', ['Election/debate']), ('cut', ['American/economics/health', 'Election/debate']), ('space', ['Election/debate', 'American/economics/health']), ('launch', ['Election/debate'])]"
NateSilver538,2023-05-25 00:09:46+00:00,6,Election/debate,0.5754094,neutral,0.6878807544708252,anticipation,0.6003953814506531,4.0,Republicans vs democrats,0.3803852,"Pretty big gap between political betting markets, which have Trump with a ~60% chance of being the GOP nominee, and the conventional wisdom On Here, where people consider it virtually inevitable.",pretty big gap political betting market trump chance gop nominee conventional wisdom people consider virtually inevitable,"[('people', [6, 4]), ('political', [4, 6]), ('trump', [4, 6]), ('gop', [6, 4]), ('big', [6, 4]), ('consider', [6, 4]), ('nominee', [6, 4]), ('chance', [6, 4]), ('pretty', [6, 4]), ('market', [6]), ('virtually', [6, 4]), ('gap', [6]), ('inevitable', [6]), ('conventional', [4]), ('wisdom', [4]), ('betting', [4])]","[('people', ['Election/debate', 'Republicans vs democrats']), ('political', ['Republicans vs democrats', 'Election/debate']), ('trump', ['Republicans vs democrats', 'Election/debate']), ('gop', ['Election/debate', 'Republicans vs democrats']), ('big', ['Election/debate', 'Republicans vs democrats']), ('consider', ['Election/debate', 'Republicans vs democrats']), ('nominee', ['Election/debate', 'Republicans vs democrats']), ('chance', ['Election/debate', 'Republicans vs democrats']), ('pretty', ['Election/debate', 'Republicans vs democrats']), ('market', ['Election/debate']), ('virtually', ['Election/debate', 'Republicans vs democrats']), ('gap', ['Election/debate']), ('inevitable', ['Election/debate']), ('conventional', ['Republicans vs democrats']), ('wisdom', ['Republicans vs democrats']), ('betting', ['Republicans vs democrats'])]"
jonathanvswan,2023-05-25 00:10:31+00:00,6,Election/debate,0.5187733,neutral,0.7234712243080139,optimism,0.4790970981121063,8.0,Infrastructure/job/energy,0.3559715,And lots of feedback. You'd think they would have tested the servers beforehand.,lot feedback think tested server,"[('think', [6, 8]), ('lot', [6]), ('tested', [6]), ('feedback', [8]), ('server', [8])]","[('think', ['Election/debate', 'Infrastructure/job/energy']), ('lot', ['Election/debate']), ('tested', ['Election/debate']), ('feedback', ['Infrastructure/job/energy']), ('server', ['Infrastructure/job/energy'])]"
NewsbySmiley,2023-05-25 00:14:53+00:00,6,Election/debate,0.5733181,neutral,0.8120324611663818,anticipation,0.8393335342407227,2.0,War,0.3327905,"Well, Maybe DeSantis will be personally announcing his campaign on FOX after all, huh?",maybe desantis personally announcing campaign fox huh,"[('personally', [2]), ('maybe', [6, 2]), ('desantis', [6, 2]), ('fox', [6]), ('campaign', [6, 2]), ('announcing', [6, 2]), ('huh', [2])]","[('personally', ['War']), ('maybe', ['Election/debate', 'War']), ('desantis', ['Election/debate', 'War']), ('fox', ['Election/debate']), ('campaign', ['Election/debate', 'War']), ('announcing', ['Election/debate', 'War']), ('huh', ['War'])]"
jonathanvswan,2023-05-25 00:15:52+00:00,6,Election/debate,0.5067005,neutral,0.6996117234230042,anticipation,0.7174261808395386,4.0,Republicans vs democrats,0.39938182,How was it not anticipated that several hundred thousand people might listen in to a major presidential announcement?,anticipated thousand people listen major presidential announcement,"[('announcement', [6, 4]), ('people', [4, 6]), ('presidential', [6, 4]), ('thousand', [6, 4]), ('major', [6, 4]), ('listen', [6, 4]), ('anticipated', [4])]","[('announcement', ['Election/debate', 'Republicans vs democrats']), ('people', ['Republicans vs democrats', 'Election/debate']), ('presidential', ['Election/debate', 'Republicans vs democrats']), ('thousand', ['Election/debate', 'Republicans vs democrats']), ('major', ['Election/debate', 'Republicans vs democrats']), ('listen', ['Election/debate', 'Republicans vs democrats']), ('anticipated', ['Republicans vs democrats'])]"
amyewalter,2023-05-25 00:15:56+00:00,6,Election/debate,0.47500798,negative,0.8036895990371704,disgust,0.5071000456809998,4.0,Republicans vs democrats,0.2965988,Nothing encapsulates the current Twitter era like the current Musk-DeSantis Twitter spaces technical melt-down.,encapsulates current twitter era like current musk desantis twitter space technical melt,"[('current', [6, 4]), ('like', [6, 4]), ('musk', [4]), ('twitter', [6, 4]), ('desantis', [6, 4]), ('space', [6, 4]), ('technical', [8]), ('era', [6, 4]), ('encapsulates', [3]), ('melt', [6])]","[('current', ['Election/debate', 'Republicans vs democrats']), ('like', ['Election/debate', 'Republicans vs democrats']), ('musk', ['Republicans vs democrats']), ('twitter', ['Election/debate', 'Republicans vs democrats']), ('desantis', ['Election/debate', 'Republicans vs democrats']), ('space', ['Election/debate', 'Republicans vs democrats']), ('technical', ['Infrastructure/job/energy']), ('era', ['Election/debate', 'Republicans vs democrats']), ('encapsulates', ['News/radio/livestream']), ('melt', ['Election/debate'])]"
NewsbySmiley,2023-05-25 00:27:09+00:00,6,Election/debate,0.9373851,neutral,0.5826038122177124,sadness,0.379984587430954,,,,"RT @“I’m here,” Ron DeSantis says for the first time, 24 minutes into the Twitter Spaces event about his presidential announcement. The space kept crashing.",ron desantis say time minute twitter space event presidential announcement space kept crashing,"[('minute', [6]), ('announcement', [6]), ('time', [6]), ('twitter', [6]), ('say', [6]), ('presidential', [6]), ('event', [6]), ('desantis', [6]), ('space', [6]), ('crashing', [6]), ('ron', [6]), ('kept', [6])]","[('minute', ['Election/debate']), ('announcement', ['Election/debate']), ('time', ['Election/debate']), ('twitter', ['Election/debate']), ('say', ['Election/debate']), ('presidential', ['Election/debate']), ('event', ['Election/debate']), ('desantis', ['Election/debate']), ('space', ['Election/debate']), ('crashing', ['Election/debate']), ('ron', ['Election/debate']), ('kept', ['Election/debate'])]"
CollinRugg,2023-05-25 00:30:29+00:00,6,Election/debate,0.47507098,negative,0.5009080767631531,anger,0.7183884382247925,7.0,Abortion/rights/guns,0.25898635,"Someone tell @RonDeSantis to stop reading off a script. People want authenticity, especially on Twitter.",tell stop reading script people want authenticity especially twitter,"[('people', [6, 7]), ('twitter', [6]), ('especially', [6, 7]), ('tell', [6, 7]), ('want', [6, 7]), ('stop', [7, 6]), ('reading', [6, 5]), ('authenticity', [5]), ('script', [7])]","[('people', ['Election/debate', 'Abortion/rights/guns']), ('twitter', ['Election/debate']), ('especially', ['Election/debate', 'Abortion/rights/guns']), ('tell', ['Election/debate', 'Abortion/rights/guns']), ('want', ['Election/debate', 'Abortion/rights/guns']), ('stop', ['Abortion/rights/guns', 'Election/debate']), ('reading', ['Election/debate', 'Border/community/family']), ('authenticity', ['Border/community/family']), ('script', ['Abortion/rights/guns'])]"
CeciliaBTory,2023-05-25 00:42:38+00:00,6,Election/debate,0.4545759,negative,0.4443118572235107,joy,0.9629424810409546,2.0,War,0.35798094,#RondeSanctimonius has just announced he's running for President.I want all #DonaldTrump supporters to just laugh non stop at this ridiculous proposition! 🤣😂😅🤣😂😅🤣😂😅🤣😂😅#rondesantis #uselection2024,announced running president want supporter laugh non stop ridiculous proposition,"[('supporter', [6, 2]), ('president', [6, 2]), ('announced', [6, 5]), ('running', [6, 2]), ('ridiculous', [2, 6]), ('want', [2, 6]), ('non', [6, 2]), ('stop', [2, 6]), ('laugh', [2, 5]), ('proposition', [5])]","[('supporter', ['Election/debate', 'War']), ('president', ['Election/debate', 'War']), ('announced', ['Election/debate', 'Border/community/family']), ('running', ['Election/debate', 'War']), ('ridiculous', ['War', 'Election/debate']), ('want', ['War', 'Election/debate']), ('non', ['Election/debate', 'War']), ('stop', ['War', 'Election/debate']), ('laugh', ['War', 'Border/community/family']), ('proposition', ['Border/community/family'])]"
