username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
GovMLG,2023-05-25 00:06:05+00:00,8,Infrastructure/job/energy,0.90265113,positive,0.9729952216148376,"{'positive': 0.9729952216148376, 'neutral': 0.025437796488404274, 'negative': 0.001567044761031866}",joy,0.8127924203872681,"{'joy': 0.8127924203872681, 'optimism': 0.1569206714630127, 'anticipation': 0.016656478866934776, 'trust': 0.0060670338571071625, 'love': 0.004625238943845034, 'surprise': 0.0015460471622645855, 'fear': 0.0008178031421266496, 'anger': 0.00015524377522524446, 'pessimism': 0.00014891597675159574, 'sadness': 0.00014017699868418276, 'disgust': 0.0001299892901442945}",5.0,Border/community/family,0.013928006,I'm excited to share this conversation with @CAPAction where we talked about all the work being done to support New Mexico families.,excited share conversation talked work support mexico family,"[('support', [8]), ('work', [8]), ('family', [8]), ('conversation', [8]), ('talked', [8]), ('share', [8]), ('mexico', [8]), ('excited', [8])]","[('support', ['Infrastructure/job/energy']), ('work', ['Infrastructure/job/energy']), ('family', ['Infrastructure/job/energy']), ('conversation', ['Infrastructure/job/energy']), ('talked', ['Infrastructure/job/energy']), ('share', ['Infrastructure/job/energy']), ('mexico', ['Infrastructure/job/energy']), ('excited', ['Infrastructure/job/energy'])]"
SecretaryPete,2023-05-25 00:12:54+00:00,8,Infrastructure/job/energy,0.94162977,positive,0.9597797989845276,"{'positive': 0.9597797989845276, 'neutral': 0.03736994042992592, 'negative': 0.0028502889908850193}",optimism,0.6627389192581177,"{'optimism': 0.6627389192581177, 'joy': 0.31694725155830383, 'trust': 0.010586684569716454, 'anticipation': 0.004467337857931852, 'love': 0.003511225339025259, 'surprise': 0.0005235456046648324, 'fear': 0.00030413505737669766, 'anger': 0.0002916838275268674, 'sadness': 0.0002499187830835581, 'pessimism': 0.00021060832659713924, 'disgust': 0.00016868635430000722}",,,,"In every state, we're making investments to rebuild the foundations of our infrastructure - improvements that will revitalize communities and last for generations. Green Bay, WI is a great example. https://t.co/RASNQBTpfd",state making investment rebuild foundation infrastructure improvement revitalize community generation green bay  great example,"[('state', [8]), ('making', [8]), ('great', [8]), ('community', [8]), ('generation', [8]), ('example', [8]), ('investment', [8]), ('green', [8]), ('infrastructure', [8]), ('foundation', [8]), ('rebuild', [8]), ('improvement', [8]), ('bay', [8]), ('revitalize', [8])]","[('state', ['Infrastructure/job/energy']), ('making', ['Infrastructure/job/energy']), ('great', ['Infrastructure/job/energy']), ('community', ['Infrastructure/job/energy']), ('generation', ['Infrastructure/job/energy']), ('example', ['Infrastructure/job/energy']), ('investment', ['Infrastructure/job/energy']), ('green', ['Infrastructure/job/energy']), ('infrastructure', ['Infrastructure/job/energy']), ('foundation', ['Infrastructure/job/energy']), ('rebuild', ['Infrastructure/job/energy']), ('improvement', ['Infrastructure/job/energy']), ('bay', ['Infrastructure/job/energy']), ('revitalize', ['Infrastructure/job/energy'])]"
SecretaryPete,2023-05-25 00:13:05+00:00,8,Infrastructure/job/energy,0.7275275,neutral,0.8307967782020569,"{'neutral': 0.8307967782020569, 'positive': 0.16558437049388885, 'negative': 0.003618852002546191}",joy,0.4684765040874481,"{'joy': 0.4684765040874481, 'anticipation': 0.3873663544654846, 'optimism': 0.06628884375095367, 'surprise': 0.02988855354487896, 'trust': 0.018264731392264366, 'love': 0.0070319040678441525, 'disgust': 0.006300872657448053, 'sadness': 0.005791390780359507, 'anger': 0.003950153477489948, 'pessimism': 0.0034952356945723295, 'fear': 0.003145407885313034}",5.0,Border/community/family,0.122649595,RT @.@SeawayUSDOT International Trade Specialists Peter Hirthe and Jazmine Jurkiewicz joined @USDOT @SecretaryPete in Green Bay today to tour the @PortofGreenBay. 🚢🏗️🌊 #GreatLakes #SeawaySystem https://t.co/bz3Gvf3GLk,international trade specialist peter hirthe jazmine jurkiewicz joined green bay today tour,"[('today', [8, 5]), ('peter', [6]), ('international', [8, 5]), ('trade', [8, 5]), ('joined', [8, 5]), ('green', [8, 5]), ('tour', [8, 5]), ('specialist', [5]), ('bay', [8]), ('hirthe', [8]), ('jazmine', [8]), ('jurkiewicz', [8])]","[('today', ['Infrastructure/job/energy', 'Border/community/family']), ('peter', ['Election/debate']), ('international', ['Infrastructure/job/energy', 'Border/community/family']), ('trade', ['Infrastructure/job/energy', 'Border/community/family']), ('joined', ['Infrastructure/job/energy', 'Border/community/family']), ('green', ['Infrastructure/job/energy', 'Border/community/family']), ('tour', ['Infrastructure/job/energy', 'Border/community/family']), ('specialist', ['Border/community/family']), ('bay', ['Infrastructure/job/energy']), ('hirthe', ['Infrastructure/job/energy']), ('jazmine', ['Infrastructure/job/energy']), ('jurkiewicz', ['Infrastructure/job/energy'])]"
jonathanvswan,2023-05-25 00:13:57+00:00,8,Infrastructure/job/energy,0.47339153,negative,0.7819122672080994,"{'negative': 0.7819122672080994, 'neutral': 0.20097358524799347, 'positive': 0.017114093527197838}",disgust,0.568491518497467,"{'disgust': 0.568491518497467, 'anger': 0.3270444869995117, 'sadness': 0.07295956462621689, 'pessimism': 0.01389559730887413, 'anticipation': 0.007142728194594383, 'surprise': 0.00476825563237071, 'fear': 0.0026145868469029665, 'joy': 0.0017971446504816413, 'optimism': 0.0007840009639039636, 'trust': 0.0003196301113348454, 'love': 0.00018248893320560455}",4.0,Republicans vs democrats,0.25256544,And just after Musk says they've reallocated more server capacity the feed cuts out again.,musk say reallocated server capacity feed cut,"[('musk', [4]), ('say', [4, 1]), ('feed', [1, 8]), ('cut', [1, 8]), ('capacity', [8]), ('server', [8]), ('reallocated', [8])]","[('musk', ['Republicans vs democrats']), ('say', ['Republicans vs democrats', 'American/economics/health']), ('feed', ['American/economics/health', 'Infrastructure/job/energy']), ('cut', ['American/economics/health', 'Infrastructure/job/energy']), ('capacity', ['Infrastructure/job/energy']), ('server', ['Infrastructure/job/energy']), ('reallocated', ['Infrastructure/job/energy'])]"
RepSpanberger,2023-05-25 00:18:53+00:00,8,Infrastructure/job/energy,0.4453866,positive,0.8782617449760437,"{'positive': 0.8782617449760437, 'neutral': 0.11917813122272491, 'negative': 0.0025601808447390795}",optimism,0.5992125272750854,"{'optimism': 0.5992125272750854, 'joy': 0.34269967675209045, 'anticipation': 0.03026506118476391, 'trust': 0.019892869517207146, 'love': 0.003848475404083729, 'surprise': 0.0014978240942582488, 'fear': 0.0007317746058106422, 'anger': 0.0006163955549709499, 'sadness': 0.00043184132664464414, 'pessimism': 0.0004311569791752845, 'disgust': 0.0003723661648109555}",5.0,Border/community/family,0.27752686,"RT @Congresswoman @RepSpanberger visited El Salvador on August 2022. Today in my visit to Congress I shared with her the advances in security, we highlighted the contributions of the more than 167,000 Salvadorans in the state of Virginia. We agreed to work on projects that benefit both nations! 🇸🇻🇺🇸",visited  salvador august today visit congress shared advance security highlighted contribution salvadoran state virginia agreed work project benefit nation,"[('security', [8, 5]), ('state', [8, 5]), ('today', [5, 8]), ('congress', [8, 7]), ('work', [8, 5]), ('project', [8, 5]), ('visited', [8, 5]), ('benefit', [8]), ('august', [5]), ('shared', [8, 5]), ('advance', [8, 7]), ('nation', [5, 8]), ('virginia', [8, 7]), ('visit', [8, 5]), ('agreed', [8, 5]), ('contribution', [7]), ('highlighted', [5]), ('salvador', [7]), ('salvadoran', [7])]","[('security', ['Infrastructure/job/energy', 'Border/community/family']), ('state', ['Infrastructure/job/energy', 'Border/community/family']), ('today', ['Border/community/family', 'Infrastructure/job/energy']), ('congress', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('work', ['Infrastructure/job/energy', 'Border/community/family']), ('project', ['Infrastructure/job/energy', 'Border/community/family']), ('visited', ['Infrastructure/job/energy', 'Border/community/family']), ('benefit', ['Infrastructure/job/energy']), ('august', ['Border/community/family']), ('shared', ['Infrastructure/job/energy', 'Border/community/family']), ('advance', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('nation', ['Border/community/family', 'Infrastructure/job/energy']), ('virginia', ['Infrastructure/job/energy', 'Abortion/rights/guns']), ('visit', ['Infrastructure/job/energy', 'Border/community/family']), ('agreed', ['Infrastructure/job/energy', 'Border/community/family']), ('contribution', ['Abortion/rights/guns']), ('highlighted', ['Border/community/family']), ('salvador', ['Abortion/rights/guns']), ('salvadoran', ['Abortion/rights/guns'])]"
SecretaryPete,2023-05-25 00:27:20+00:00,8,Infrastructure/job/energy,0.9649657,positive,0.9437936544418336,"{'positive': 0.9437936544418335, 'neutral': 0.054217129945755005, 'negative': 0.001989196054637432}",joy,0.8037258386611938,"{'joy': 0.8037258386611938, 'optimism': 0.1742333173751831, 'anticipation': 0.010469852015376091, 'trust': 0.00576990470290184, 'love': 0.0035717072896659374, 'surprise': 0.0012264116667211056, 'fear': 0.00033311854349449277, 'anger': 0.00023963693820405751, 'disgust': 0.0001697141124168411, 'sadness': 0.00013036552991252393, 'pessimism': 0.00013013760326430202}",,,,"RT @Today, @SecretaryPete is in Green Bay, WI celebrating a $10M grant to redevelop a former power plant into the city's first new port terminal in nearly 100 years! The new terminal will strengthen supply chains, create local jobs &amp; open Green Bay to new economic opportunities. https://t.co/96585LIObm",green bay  celebrating grant redevelop power plant city  port terminal nearly year terminal strengthen supply chain create local job open green bay economic opportunity,"[('nearly', [8]), ('year', [8]), ('job', [8]), ('power', [8]), ('open', [8]), ('city', [8]), ('opportunity', [8]), ('local', [8]), ('celebrating', [8]), ('create', [8]), ('port', [8]), ('supply', [8]), ('grant', [8]), ('chain', [8]), ('green', [8]), ('plant', [8]), ('economic', [8]), ('strengthen', [8]), ('bay', [8]), ('terminal', [8]), ('redevelop', [8])]","[('nearly', ['Infrastructure/job/energy']), ('year', ['Infrastructure/job/energy']), ('job', ['Infrastructure/job/energy']), ('power', ['Infrastructure/job/energy']), ('open', ['Infrastructure/job/energy']), ('city', ['Infrastructure/job/energy']), ('opportunity', ['Infrastructure/job/energy']), ('local', ['Infrastructure/job/energy']), ('celebrating', ['Infrastructure/job/energy']), ('create', ['Infrastructure/job/energy']), ('port', ['Infrastructure/job/energy']), ('supply', ['Infrastructure/job/energy']), ('grant', ['Infrastructure/job/energy']), ('chain', ['Infrastructure/job/energy']), ('green', ['Infrastructure/job/energy']), ('plant', ['Infrastructure/job/energy']), ('economic', ['Infrastructure/job/energy']), ('strengthen', ['Infrastructure/job/energy']), ('bay', ['Infrastructure/job/energy']), ('terminal', ['Infrastructure/job/energy']), ('redevelop', ['Infrastructure/job/energy'])]"
SecretaryPete,2023-05-25 00:28:28+00:00,8,Infrastructure/job/energy,0.90957886,positive,0.9773868322372437,"{'positive': 0.9773868322372437, 'neutral': 0.02080749347805977, 'negative': 0.0018056815024465322}",joy,0.7730202674865723,"{'joy': 0.7730202674865723, 'optimism': 0.2037832885980606, 'anticipation': 0.011555926874279976, 'trust': 0.006208265200257301, 'love': 0.0028764165472239256, 'surprise': 0.0013741487637162209, 'fear': 0.0004508180427365005, 'anger': 0.0002805585681926459, 'disgust': 0.00019027080270461738, 'pessimism': 0.00013758198474533856, 'sadness': 0.0001224246807396412}",5.0,Border/community/family,0.059111677,"RT @Welcome to the Badger State, @SecretaryPete! I’m excited to join you in Green Bay to see the Bipartisan Infrastructure Law in action strengthening our supply chains, repairing our roads, bridges, and ports, and creating good paying, family supporting jobs.",badger state excited join green bay bipartisan infrastructure law action strengthening supply chain repairing road bridge port creating good paying family supporting job,"[('state', [8, 5]), ('supporting', [8, 5]), ('action', [8, 5]), ('job', [8]), ('law', [8, 5]), ('good', [8, 5]), ('road', [8]), ('family', [8, 5]), ('paying', [8]), ('bridge', [8]), ('bipartisan', [8]), ('port', [8]), ('supply', [8]), ('join', [8, 5]), ('chain', [8]), ('green', [8, 5]), ('infrastructure', [8]), ('strengthening', [8]), ('creating', [8]), ('repairing', [5]), ('excited', [8, 5]), ('bay', [8]), ('badger', [8])]","[('state', ['Infrastructure/job/energy', 'Border/community/family']), ('supporting', ['Infrastructure/job/energy', 'Border/community/family']), ('action', ['Infrastructure/job/energy', 'Border/community/family']), ('job', ['Infrastructure/job/energy']), ('law', ['Infrastructure/job/energy', 'Border/community/family']), ('good', ['Infrastructure/job/energy', 'Border/community/family']), ('road', ['Infrastructure/job/energy']), ('family', ['Infrastructure/job/energy', 'Border/community/family']), ('paying', ['Infrastructure/job/energy']), ('bridge', ['Infrastructure/job/energy']), ('bipartisan', ['Infrastructure/job/energy']), ('port', ['Infrastructure/job/energy']), ('supply', ['Infrastructure/job/energy']), ('join', ['Infrastructure/job/energy', 'Border/community/family']), ('chain', ['Infrastructure/job/energy']), ('green', ['Infrastructure/job/energy', 'Border/community/family']), ('infrastructure', ['Infrastructure/job/energy']), ('strengthening', ['Infrastructure/job/energy']), ('creating', ['Infrastructure/job/energy']), ('repairing', ['Border/community/family']), ('excited', ['Infrastructure/job/energy', 'Border/community/family']), ('bay', ['Infrastructure/job/energy']), ('badger', ['Infrastructure/job/energy'])]"
RepSherrill,2023-05-25 00:45:13+00:00,8,Infrastructure/job/energy,0.9416257,positive,0.5652287006378174,"{'positive': 0.5652287006378174, 'neutral': 0.4253460764884949, 'negative': 0.0094252098351717}",optimism,0.8613736629486084,"{'optimism': 0.8613736629486084, 'joy': 0.054031915962696075, 'anticipation': 0.04797574505209923, 'trust': 0.028345689177513123, 'love': 0.0016223287675529718, 'fear': 0.0015187605749815702, 'surprise': 0.0013771886005997658, 'anger': 0.0012411583447828889, 'pessimism': 0.0010582020040601492, 'sadness': 0.0007650749175809324, 'disgust': 0.0006902939639985561}",,,,"In Congress, I’m working to ensure New Jersey businesses have the tools they need to compete in a global economy and level the playing field for our workers. https://t.co/rrAw2f4ENu",congress working ensure jersey business tool need compete global economy level playing field worker,"[('worker', [8]), ('congress', [8]), ('need', [8]), ('working', [8]), ('playing', [8]), ('compete', [8]), ('field', [8]), ('business', [8]), ('tool', [8]), ('global', [8]), ('level', [8]), ('economy', [8]), ('ensure', [8]), ('jersey', [8])]","[('worker', ['Infrastructure/job/energy']), ('congress', ['Infrastructure/job/energy']), ('need', ['Infrastructure/job/energy']), ('working', ['Infrastructure/job/energy']), ('playing', ['Infrastructure/job/energy']), ('compete', ['Infrastructure/job/energy']), ('field', ['Infrastructure/job/energy']), ('business', ['Infrastructure/job/energy']), ('tool', ['Infrastructure/job/energy']), ('global', ['Infrastructure/job/energy']), ('level', ['Infrastructure/job/energy']), ('economy', ['Infrastructure/job/energy']), ('ensure', ['Infrastructure/job/energy']), ('jersey', ['Infrastructure/job/energy'])]"
RobertKennedyJr,2023-05-25 01:26:06+00:00,8,Infrastructure/job/energy,0.47335944,neutral,0.450645238161087,"{'neutral': 0.45064523816108704, 'positive': 0.4225407540798187, 'negative': 0.12681405246257782}",optimism,0.7540981769561768,"{'optimism': 0.7540981769561768, 'anticipation': 0.15107524394989014, 'trust': 0.03024650737643242, 'fear': 0.015982309356331825, 'joy': 0.014240638352930546, 'anger': 0.013602626509964466, 'disgust': 0.00856801401823759, 'pessimism': 0.005215202923864126, 'surprise': 0.004045263864099979, 'sadness': 0.0021223651710897684, 'love': 0.0008036302169784904}",6.0,Election/debate,0.22337006,"How hard can it be? Los Vegas’s whole gambling industry depends on counting machines that never make mistakes. There are ATM machines on every city corner that never give you more money than you ask for. As a world leader in technology, I am sure we can create a voting system that people can trust.",hard los vega gambling industry depends counting machine mistake atm machine city corner money ask world leader technology sure create voting system people trust,"[('world', [8, 5]), ('mistake', [1, 5]), ('people', [1, 8]), ('money', [1, 8]), ('technology', [8, 1]), ('system', [8, 1]), ('ask', [6, 1]), ('city', [8, 6]), ('hard', [8, 1]), ('sure', [6, 8]), ('vega', [6]), ('voting', [6, 1]), ('leader', [8, 6]), ('counting', [6, 1]), ('machine', [8, 6]), ('create', [8, 1]), ('trust', [8, 1]), ('los', [8]), ('industry', [8, 1]), ('corner', [8, 6]), ('depends', [8, 6]), ('gambling', [1]), ('atm', [5])]","[('world', ['Infrastructure/job/energy', 'Border/community/family']), ('mistake', ['American/economics/health', 'Border/community/family']), ('people', ['American/economics/health', 'Infrastructure/job/energy']), ('money', ['American/economics/health', 'Infrastructure/job/energy']), ('technology', ['Infrastructure/job/energy', 'American/economics/health']), ('system', ['Infrastructure/job/energy', 'American/economics/health']), ('ask', ['Election/debate', 'American/economics/health']), ('city', ['Infrastructure/job/energy', 'Election/debate']), ('hard', ['Infrastructure/job/energy', 'American/economics/health']), ('sure', ['Election/debate', 'Infrastructure/job/energy']), ('vega', ['Election/debate']), ('voting', ['Election/debate', 'American/economics/health']), ('leader', ['Infrastructure/job/energy', 'Election/debate']), ('counting', ['Election/debate', 'American/economics/health']), ('machine', ['Infrastructure/job/energy', 'Election/debate']), ('create', ['Infrastructure/job/energy', 'American/economics/health']), ('trust', ['Infrastructure/job/energy', 'American/economics/health']), ('los', ['Infrastructure/job/energy']), ('industry', ['Infrastructure/job/energy', 'American/economics/health']), ('corner', ['Infrastructure/job/energy', 'Election/debate']), ('depends', ['Infrastructure/job/energy', 'Election/debate']), ('gambling', ['American/economics/health']), ('atm', ['Border/community/family'])]"
SecretaryPete,2023-05-25 01:49:33+00:00,8,Infrastructure/job/energy,0.6439964,positive,0.8892005085945129,"{'positive': 0.8892005085945129, 'neutral': 0.10593844205141068, 'negative': 0.004861049819737673}",optimism,0.8002902269363403,"{'optimism': 0.8002902269363403, 'joy': 0.1610192060470581, 'trust': 0.017052220180630684, 'anticipation': 0.016462115570902824, 'love': 0.002006896072998643, 'surprise': 0.0008622247260063887, 'fear': 0.0007885447703301907, 'anger': 0.0005885460996069014, 'pessimism': 0.0003397477266844362, 'disgust': 0.0003024956095032394, 'sadness': 0.00028780472348444164}",1.0,American/economics/health,0.27031937,"We’re investing federal dollars in good infrastructure projects that will make the U.S. supply chain more resilient, curb carbon emissions, and support local economies, including in Portland. https://t.co/UcgfoOoOv1",investing federal dollar good infrastructure project  supply chain resilient curb carbon emission support local economy including portland,"[('support', [8, 1]), ('good', [8, 1]), ('federal', [8, 1]), ('project', [8, 1]), ('local', [8, 1]), ('dollar', [8, 1]), ('including', [8, 1]), ('supply', [8, 1]), ('economy', [8, 1]), ('chain', [8, 1]), ('emission', [1]), ('carbon', [1]), ('infrastructure', [8, 1]), ('investing', [8, 1]), ('resilient', [8]), ('curb', [1, 8]), ('portland', [4, 1])]","[('support', ['Infrastructure/job/energy', 'American/economics/health']), ('good', ['Infrastructure/job/energy', 'American/economics/health']), ('federal', ['Infrastructure/job/energy', 'American/economics/health']), ('project', ['Infrastructure/job/energy', 'American/economics/health']), ('local', ['Infrastructure/job/energy', 'American/economics/health']), ('dollar', ['Infrastructure/job/energy', 'American/economics/health']), ('including', ['Infrastructure/job/energy', 'American/economics/health']), ('supply', ['Infrastructure/job/energy', 'American/economics/health']), ('economy', ['Infrastructure/job/energy', 'American/economics/health']), ('chain', ['Infrastructure/job/energy', 'American/economics/health']), ('emission', ['American/economics/health']), ('carbon', ['American/economics/health']), ('infrastructure', ['Infrastructure/job/energy', 'American/economics/health']), ('investing', ['Infrastructure/job/energy', 'American/economics/health']), ('resilient', ['Infrastructure/job/energy']), ('curb', ['American/economics/health', 'Infrastructure/job/energy']), ('portland', ['Republicans vs democrats', 'American/economics/health'])]"
SecretaryPete,2023-05-25 01:50:10+00:00,8,Infrastructure/job/energy,0.60311913,positive,0.4891005754470825,"{'positive': 0.4891005754470825, 'neutral': 0.46728041768074036, 'negative': 0.043619051575660706}",optimism,0.456009030342102,"{'optimism': 0.45600903034210205, 'anticipation': 0.256229043006897, 'anger': 0.12733986973762512, 'disgust': 0.053277768194675446, 'trust': 0.04033990576863289, 'joy': 0.02998153492808342, 'surprise': 0.012738651596009731, 'pessimism': 0.011693502776324749, 'fear': 0.005222373642027378, 'sadness': 0.004759255796670914, 'love': 0.002409091917797923}",1.0,American/economics/health,0.24925014,"Airlines need to step up and deliver good service for the tickets they sell this Memorial Day weekend. Meanwhile, we continue to work on system improvements from infrastructure to customer service oversight. https://t.co/A5YuK8v4L0",airline need step deliver good service ticket sell memorial day weekend continue work system improvement infrastructure customer service oversight,"[('day', [5, 8]), ('system', [8, 1]), ('good', [8, 1]), ('need', [8, 1]), ('work', [8, 1]), ('service', [8, 1]), ('step', [8, 1]), ('continue', [8, 1]), ('weekend', [8, 5]), ('customer', [8, 1]), ('ticket', [1]), ('deliver', [8, 1]), ('oversight', [1, 8]), ('sell', [8, 1]), ('infrastructure', [8, 1]), ('airline', [8, 1]), ('improvement', [8, 1]), ('memorial', [5, 8])]","[('day', ['Border/community/family', 'Infrastructure/job/energy']), ('system', ['Infrastructure/job/energy', 'American/economics/health']), ('good', ['Infrastructure/job/energy', 'American/economics/health']), ('need', ['Infrastructure/job/energy', 'American/economics/health']), ('work', ['Infrastructure/job/energy', 'American/economics/health']), ('service', ['Infrastructure/job/energy', 'American/economics/health']), ('step', ['Infrastructure/job/energy', 'American/economics/health']), ('continue', ['Infrastructure/job/energy', 'American/economics/health']), ('weekend', ['Infrastructure/job/energy', 'Border/community/family']), ('customer', ['Infrastructure/job/energy', 'American/economics/health']), ('ticket', ['American/economics/health']), ('deliver', ['Infrastructure/job/energy', 'American/economics/health']), ('oversight', ['American/economics/health', 'Infrastructure/job/energy']), ('sell', ['Infrastructure/job/energy', 'American/economics/health']), ('infrastructure', ['Infrastructure/job/energy', 'American/economics/health']), ('airline', ['Infrastructure/job/energy', 'American/economics/health']), ('improvement', ['Infrastructure/job/energy', 'American/economics/health']), ('memorial', ['Border/community/family', 'Infrastructure/job/energy'])]"
