username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
amyewalter,2023-05-25 00:10:50+00:00,4,Republicans vs democrats,0.57816,negative,0.7263268828392029,"{'negative': 0.7263268828392029, 'neutral': 0.254515677690506, 'positive': 0.019157463684678078}",anger,0.3376524448394775,"{'anger': 0.33765244483947754, 'disgust': 0.24261966347694397, 'anticipation': 0.2324812263250351, 'optimism': 0.09367378801107407, 'pessimism': 0.03528973087668419, 'sadness': 0.018354592844843864, 'trust': 0.012022402137517929, 'fear': 0.01142958365380764, 'surprise': 0.008006620220839977, 'joy': 0.007577354554086924, 'love': 0.0008926116279326379}",not-hate,0.996838927268982,"{'not-hate': 0.9968389272689819, 'hate': 0.0031610815785825253}",non-offensive,0.7950477004051208,"{'non-offensive': 0.7950477004051208, 'offensive': 0.20495228469371796}",6.0,Election/debate,0.37759578,"In fact, this is the exact opposite of where Trump started in 2015. He was well-known but also deeply disliked among Republicans. By the end of 2015, Trump had turned that approval rating around w/ R’s and the rest was history.",fact exact opposite trump started known deeply disliked republican end trump turned approval rating   rest history,"[('trump', [4, 6]), ('turned', [4, 6]), ('started', [6, 4]), ('republican', [4, 6]), ('fact', [4, 6]), ('history', [4, 6]), ('end', [4, 6]), ('known', [4, 6]), ('deeply', [4]), ('rest', [4, 6]), ('rating', [6, 4]), ('opposite', [4]), ('exact', [6]), ('approval', [4, 6]), ('disliked', [6])]","[('trump', ['Republicans vs democrats', 'Election/debate']), ('turned', ['Republicans vs democrats', 'Election/debate']), ('started', ['Election/debate', 'Republicans vs democrats']), ('republican', ['Republicans vs democrats', 'Election/debate']), ('fact', ['Republicans vs democrats', 'Election/debate']), ('history', ['Republicans vs democrats', 'Election/debate']), ('end', ['Republicans vs democrats', 'Election/debate']), ('known', ['Republicans vs democrats', 'Election/debate']), ('deeply', ['Republicans vs democrats']), ('rest', ['Republicans vs democrats', 'Election/debate']), ('rating', ['Election/debate', 'Republicans vs democrats']), ('opposite', ['Republicans vs democrats']), ('exact', ['Election/debate']), ('approval', ['Republicans vs democrats', 'Election/debate']), ('disliked', ['Election/debate'])]"
CollinRugg,2023-05-25 00:15:34+00:00,4,Republicans vs democrats,0.9203287,negative,0.7537925839424133,"{'negative': 0.7537925839424133, 'neutral': 0.22894622385501862, 'positive': 0.017261240631341934}",disgust,0.5330460071563721,"{'disgust': 0.5330460071563721, 'anger': 0.3642299771308899, 'sadness': 0.03269960731267929, 'anticipation': 0.02045161835849285, 'fear': 0.020268956199288368, 'pessimism': 0.01684093289077282, 'surprise': 0.009293513372540474, 'optimism': 0.0013656937517225742, 'joy': 0.0008933231583796442, 'trust': 0.0007215117802843451, 'love': 0.0001888272527139634}",not-hate,0.9976158142089844,"{'not-hate': 0.9976158142089844, 'hate': 0.0023841927759349346}",non-offensive,0.6817277669906616,"{'non-offensive': 0.6817277669906616, 'offensive': 0.3182722330093384}",6.0,Election/debate,0.011400036,DeSantis has crashed Twitter Spaces. Now just imagine what would happen if Trump came back to Twitter right now.,desantis crashed twitter space imagine happen trump came twitter right,"[('trump', [4]), ('came', [4]), ('happen', [4]), ('twitter', [4]), ('imagine', [4]), ('right', [4]), ('desantis', [4]), ('crashed', [4]), ('space', [4])]","[('trump', ['Republicans vs democrats']), ('came', ['Republicans vs democrats']), ('happen', ['Republicans vs democrats']), ('twitter', ['Republicans vs democrats']), ('imagine', ['Republicans vs democrats']), ('right', ['Republicans vs democrats']), ('desantis', ['Republicans vs democrats']), ('crashed', ['Republicans vs democrats']), ('space', ['Republicans vs democrats'])]"
anaceballos_,2023-05-25 00:45:53+00:00,4,Republicans vs democrats,0.9123885,neutral,0.642179548740387,"{'neutral': 0.642179548740387, 'negative': 0.33827319741249084, 'positive': 0.019547192379832268}",anger,0.6181875467300415,"{'anger': 0.6181875467300415, 'disgust': 0.30239495635032654, 'fear': 0.06001715734601021, 'anticipation': 0.006349021568894386, 'sadness': 0.0036971159279346466, 'pessimism': 0.00338363298214972, 'optimism': 0.0032870632130652666, 'surprise': 0.0009634032612666488, 'trust': 0.0007655274821445346, 'joy': 0.0007245622109621763, 'love': 0.00022997043561190367}",not-hate,0.990841269493103,"{'not-hate': 0.990841269493103, 'hate': 0.009158759377896786}",non-offensive,0.8261865377426147,"{'non-offensive': 0.8261865377426147, 'offensive': 0.17381346225738525}",6.0,Election/debate,0.012546412,DeSantis Miami event draws protests and attacks from two rivals: Democrats and Trump https://t.co/MLTAhvnU1a by @doug_hanks,desantis miami event draw protest attack rival democrat trump,"[('attack', [4]), ('miami', [4]), ('protest', [4]), ('trump', [4]), ('event', [4]), ('desantis', [4]), ('democrat', [4]), ('rival', [4]), ('draw', [4])]","[('attack', ['Republicans vs democrats']), ('miami', ['Republicans vs democrats']), ('protest', ['Republicans vs democrats']), ('trump', ['Republicans vs democrats']), ('event', ['Republicans vs democrats']), ('desantis', ['Republicans vs democrats']), ('democrat', ['Republicans vs democrats']), ('rival', ['Republicans vs democrats']), ('draw', ['Republicans vs democrats'])]"
esaagar,2023-05-25 00:52:17+00:00,4,Republicans vs democrats,0.66176623,negative,0.8322652578353882,"{'negative': 0.8322652578353882, 'neutral': 0.16164276003837585, 'positive': 0.00609203428030014}",disgust,0.484058678150177,"{'disgust': 0.484058678150177, 'anger': 0.47802096605300903, 'fear': 0.02353409305214882, 'sadness': 0.010248875245451927, 'pessimism': 0.002299172105267644, 'anticipation': 0.0006858599372208118, 'surprise': 0.0006590766715817153, 'optimism': 0.0001834333670558408, 'trust': 0.00012725521810352802, 'joy': 0.00010240223491564393, 'love': 8.02905487944372e-05}",not-hate,0.9975322484970092,"{'not-hate': 0.9975322484970093, 'hate': 0.002467785030603409}",non-offensive,0.766057014465332,"{'non-offensive': 0.766057014465332, 'offensive': 0.23394298553466797}",2.0,War,0.29400977,"DeSantis says FBI and intel agencies are ""totally out of control"" and there's ""no accountability"" DeSantis floats cutting the funding for these agencies if they're caught operating out of their mandates",desantis say fbi intel agency totally control accountability desantis float cutting funding agency caught operating mandate,"[('funding', [4, 2]), ('intel', [4]), ('control', [2, 4]), ('agency', [4]), ('say', [4, 2]), ('totally', [2, 4]), ('desantis', [4, 2]), ('accountability', [4, 2]), ('fbi', [4]), ('caught', [4, 2]), ('mandate', [2, 4]), ('operating', [2]), ('cutting', [4]), ('float', [2])]","[('funding', ['Republicans vs democrats', 'War']), ('intel', ['Republicans vs democrats']), ('control', ['War', 'Republicans vs democrats']), ('agency', ['Republicans vs democrats']), ('say', ['Republicans vs democrats', 'War']), ('totally', ['War', 'Republicans vs democrats']), ('desantis', ['Republicans vs democrats', 'War']), ('accountability', ['Republicans vs democrats', 'War']), ('fbi', ['Republicans vs democrats']), ('caught', ['Republicans vs democrats', 'War']), ('mandate', ['War', 'Republicans vs democrats']), ('operating', ['War']), ('cutting', ['Republicans vs democrats']), ('float', ['War'])]"
NewsbySmiley,2023-05-25 00:53:19+00:00,4,Republicans vs democrats,0.7033897,neutral,0.9000872373580933,"{'neutral': 0.9000872373580933, 'negative': 0.07730323821306229, 'positive': 0.022609543055295944}",disgust,0.3859367966651916,"{'disgust': 0.38593679666519165, 'anticipation': 0.1670454740524292, 'anger': 0.14106673002243042, 'sadness': 0.13001935184001923, 'surprise': 0.07006779313087463, 'joy': 0.03885330259799957, 'pessimism': 0.03688160330057144, 'optimism': 0.012128290720283985, 'fear': 0.010507779195904732, 'trust': 0.005057893693447113, 'love': 0.00243493658490479}",not-hate,0.9957829713821412,"{'not-hate': 0.9957829713821411, 'hate': 0.004217101726680994}",non-offensive,0.9099868535995485,"{'non-offensive': 0.9099868535995483, 'offensive': 0.09001320600509644}",8.0,Infrastructure/job/energy,0.12150827,RT @anaceballos_: Technical problems mar DeSantis’ presidential announcement on Twitter with Elon Musk https://t.co/FxiHqTaPy9,technical problem mar desantis presidential announcement twitter elon musk,"[('announcement', [4, 8]), ('problem', [4]), ('elon', [4]), ('musk', [4]), ('twitter', [4]), ('mar', [3]), ('presidential', [4]), ('desantis', [4]), ('technical', [8])]","[('announcement', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('problem', ['Republicans vs democrats']), ('elon', ['Republicans vs democrats']), ('musk', ['Republicans vs democrats']), ('twitter', ['Republicans vs democrats']), ('mar', ['News/radio/livestream']), ('presidential', ['Republicans vs democrats']), ('desantis', ['Republicans vs democrats']), ('technical', ['Infrastructure/job/energy'])]"
NewsbySmiley,2023-05-25 00:53:24+00:00,4,Republicans vs democrats,0.90265566,neutral,0.6752222180366516,"{'neutral': 0.6752222180366516, 'negative': 0.30788493156433105, 'positive': 0.016892801970243454}",anger,0.5852258801460266,"{'anger': 0.5852258801460266, 'disgust': 0.3019289970397949, 'fear': 0.08988062292337418, 'anticipation': 0.007986092939972878, 'sadness': 0.0044391644187271595, 'pessimism': 0.0038019788917154074, 'optimism': 0.0036431464832276106, 'surprise': 0.0011606683256104589, 'trust': 0.0008492862107232213, 'joy': 0.0008381242514587939, 'love': 0.0002459897950757295}",not-hate,0.9906818866729736,"{'not-hate': 0.9906818866729736, 'hate': 0.009318037889897823}",non-offensive,0.8439867496490479,"{'non-offensive': 0.8439867496490479, 'offensive': 0.15601322054862976}",6.0,Election/debate,0.013930769,RT @DeSantis Miami event draws protests and attacks from two rivals: Democrats and Trump https://t.co/MLTAhvnU1a by @doug_hanks,miami event draw protest attack rival democrat trump,"[('attack', [4]), ('miami', [4]), ('protest', [4]), ('trump', [4]), ('event', [4]), ('democrat', [4]), ('rival', [4]), ('draw', [4])]","[('attack', ['Republicans vs democrats']), ('miami', ['Republicans vs democrats']), ('protest', ['Republicans vs democrats']), ('trump', ['Republicans vs democrats']), ('event', ['Republicans vs democrats']), ('democrat', ['Republicans vs democrats']), ('rival', ['Republicans vs democrats']), ('draw', ['Republicans vs democrats'])]"
jonathanvswan,2023-05-25 00:54:50+00:00,4,Republicans vs democrats,0.58138824,negative,0.8205087780952454,"{'negative': 0.8205087780952454, 'neutral': 0.173553928732872, 'positive': 0.005937317851930857}",disgust,0.4869640469551086,"{'disgust': 0.48696404695510864, 'anger': 0.474408894777298, 'fear': 0.023291006684303284, 'sadness': 0.010367234237492085, 'pessimism': 0.0027598245069384575, 'anticipation': 0.0009339855751022696, 'surprise': 0.0007195958751253784, 'optimism': 0.00022616219939664006, 'trust': 0.00013949257845524698, 'joy': 0.00011234655539738014, 'love': 7.735078543191776e-05}",not-hate,0.9965408444404602,"{'not-hate': 0.9965408444404602, 'hate': 0.0034591408912092447}",non-offensive,0.7993063926696777,"{'non-offensive': 0.7993063926696777, 'offensive': 0.20069359242916107}",2.0,War,0.3111602,"RT @DeSantis says FBI and intel agencies are ""totally out of control"" and there's ""no accountability"" DeSantis floats cutting the funding for these agencies if they're caught operating out of their mandates",say fbi intel agency totally control accountability desantis float cutting funding agency caught operating mandate,"[('funding', [2, 4]), ('intel', [4]), ('control', [2, 4]), ('agency', [4, 1]), ('say', [4, 2]), ('totally', [2, 4]), ('desantis', [4, 2]), ('accountability', [4, 2]), ('fbi', [4]), ('caught', [4, 2]), ('mandate', [2, 4]), ('operating', [2, 1]), ('cutting', [1, 4]), ('float', [2])]","[('funding', ['War', 'Republicans vs democrats']), ('intel', ['Republicans vs democrats']), ('control', ['War', 'Republicans vs democrats']), ('agency', ['Republicans vs democrats', 'American/economics/health']), ('say', ['Republicans vs democrats', 'War']), ('totally', ['War', 'Republicans vs democrats']), ('desantis', ['Republicans vs democrats', 'War']), ('accountability', ['Republicans vs democrats', 'War']), ('fbi', ['Republicans vs democrats']), ('caught', ['Republicans vs democrats', 'War']), ('mandate', ['War', 'Republicans vs democrats']), ('operating', ['War', 'American/economics/health']), ('cutting', ['American/economics/health', 'Republicans vs democrats']), ('float', ['War'])]"
jonathanvswan,2023-05-25 01:09:29+00:00,4,Republicans vs democrats,0.89047575,neutral,0.7609178423881531,"{'neutral': 0.7609178423881531, 'negative': 0.20339609682559967, 'positive': 0.035686105489730835}",anger,0.7828065752983093,"{'anger': 0.7828065752983093, 'disgust': 0.20112551748752594, 'anticipation': 0.0053411670960485935, 'fear': 0.0026175437960773706, 'optimism': 0.0021733276080340147, 'sadness': 0.0020401147194206715, 'pessimism': 0.0017476239008828998, 'joy': 0.0007495223544538021, 'surprise': 0.0007105598924681544, 'trust': 0.0005524989683181047, 'love': 0.0001355745189357549}",not-hate,0.9978790283203124,"{'not-hate': 0.9978790283203125, 'hate': 0.002121027559041977}",non-offensive,0.7976148128509521,"{'non-offensive': 0.7976148128509521, 'offensive': 0.20238524675369263}",6.0,Election/debate,0.015671447,"Fox News, which was snubbed for the announcement, is going after DeSantis aggressively: https://t.co/roObJO8Ac1",fox news snubbed announcement going desantis aggressively,"[('announcement', [4]), ('news', [4]), ('going', [4]), ('desantis', [4]), ('fox', [4]), ('aggressively', [4]), ('snubbed', [4])]","[('announcement', ['Republicans vs democrats']), ('news', ['Republicans vs democrats']), ('going', ['Republicans vs democrats']), ('desantis', ['Republicans vs democrats']), ('fox', ['Republicans vs democrats']), ('aggressively', ['Republicans vs democrats']), ('snubbed', ['Republicans vs democrats'])]"
jonathanvswan,2023-05-25 01:13:29+00:00,4,Republicans vs democrats,0.48591998,neutral,0.8856828808784485,"{'neutral': 0.8856828808784485, 'positive': 0.09501640498638153, 'negative': 0.01930074393749237}",anticipation,0.3765301406383514,"{'anticipation': 0.37653014063835144, 'anger': 0.26915764808654785, 'disgust': 0.16840676963329315, 'optimism': 0.10000143945217133, 'trust': 0.022713037207722664, 'pessimism': 0.017560293897986412, 'surprise': 0.01433238759636879, 'joy': 0.014038097113370895, 'sadness': 0.010518056340515614, 'fear': 0.0052511198446154594, 'love': 0.0014909824822098017}",not-hate,0.9986771941184998,"{'not-hate': 0.9986771941184998, 'hate': 0.00132276164367795}",non-offensive,0.8694574236869812,"{'non-offensive': 0.8694574236869812, 'offensive': 0.1305425763130188}",6.0,Election/debate,0.2842887,"DeSantis is offering his sharpest contrast yet with Trump, without naming him. He cites his ability to use governmental power and says he has studied the ""different leverage points under Article 2"" of the Constitution.",desantis offering sharpest contrast trump naming cite ability use governmental power say studied different leverage point article constitution,"[('trump', [4, 6]), ('different', [4, 6]), ('power', [4, 6]), ('say', [4, 6]), ('point', [6, 4]), ('desantis', [6, 4]), ('constitution', [4, 2]), ('use', [4, 6]), ('ability', [4, 6]), ('offering', [4, 2]), ('leverage', [6, 8]), ('article', [4, 6]), ('studied', [6]), ('contrast', [4]), ('cite', [6]), ('naming', [8]), ('governmental', [4]), ('sharpest', [2])]","[('trump', ['Republicans vs democrats', 'Election/debate']), ('different', ['Republicans vs democrats', 'Election/debate']), ('power', ['Republicans vs democrats', 'Election/debate']), ('say', ['Republicans vs democrats', 'Election/debate']), ('point', ['Election/debate', 'Republicans vs democrats']), ('desantis', ['Election/debate', 'Republicans vs democrats']), ('constitution', ['Republicans vs democrats', 'War']), ('use', ['Republicans vs democrats', 'Election/debate']), ('ability', ['Republicans vs democrats', 'Election/debate']), ('offering', ['Republicans vs democrats', 'War']), ('leverage', ['Election/debate', 'Infrastructure/job/energy']), ('article', ['Republicans vs democrats', 'Election/debate']), ('studied', ['Election/debate']), ('contrast', ['Republicans vs democrats']), ('cite', ['Election/debate']), ('naming', ['Infrastructure/job/energy']), ('governmental', ['Republicans vs democrats']), ('sharpest', ['War'])]"
jamesrhenson,2023-05-25 01:13:55+00:00,4,Republicans vs democrats,0.92700016,neutral,0.8901684880256653,"{'neutral': 0.8901684880256653, 'positive': 0.10644339770078659, 'negative': 0.003388129873201251}",anticipation,0.6712532639503479,"{'anticipation': 0.6712532639503479, 'joy': 0.14977556467056274, 'surprise': 0.06163612753152847, 'optimism': 0.03529061749577522, 'trust': 0.02005625329911709, 'disgust': 0.019178083166480064, 'sadness': 0.011917376890778542, 'anger': 0.011482901871204376, 'pessimism': 0.007983529008924961, 'fear': 0.006225261837244034, 'love': 0.005200959276407957}",not-hate,0.9980280995368958,"{'not-hate': 0.9980280995368958, 'hate': 0.001971915364265442}",non-offensive,0.9327272772789,"{'non-offensive': 0.9327272772789001, 'offensive': 0.06727273762226105}",5.0,Border/community/family,0.010437151,"See Interest over time on Google Trends for Dade Phelan, Ken Paxton - Texas, Past day - https://t.co/3fbyMejgsA #txlege",interest time google trend dade phelan ken paxton texas past day,"[('interest', [4]), ('past', [4]), ('day', [4]), ('time', [4]), ('texas', [4]), ('google', [4]), ('trend', [4]), ('ken', [4]), ('paxton', [4]), ('phelan', [4]), ('dade', [4])]","[('interest', ['Republicans vs democrats']), ('past', ['Republicans vs democrats']), ('day', ['Republicans vs democrats']), ('time', ['Republicans vs democrats']), ('texas', ['Republicans vs democrats']), ('google', ['Republicans vs democrats']), ('trend', ['Republicans vs democrats']), ('ken', ['Republicans vs democrats']), ('paxton', ['Republicans vs democrats']), ('phelan', ['Republicans vs democrats']), ('dade', ['Republicans vs democrats'])]"
