username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
larryelder,2023-08-23 00:19:03+00:00,6,Election/debate,0.61218995,negative,0.5085137486457825,"{'negative': 0.5085137486457825, 'neutral': 0.42416396737098694, 'positive': 0.06732227653265}",anger,0.5228369832038879,"{'anger': 0.5228369832038879, 'disgust': 0.32238367199897766, 'anticipation': 0.0925590768456459, 'optimism': 0.02105000428855419, 'pessimism': 0.011477766558527946, 'sadness': 0.00821528397500515, 'surprise': 0.007320620585232973, 'joy': 0.005870744585990906, 'trust': 0.004512676037847996, 'fear': 0.003211286850273609, 'love': 0.0005618684226647019}",not-hate,0.9962213039398192,"{'not-hate': 0.9962213039398193, 'hate': 0.003778691403567791}",non-offensive,0.9322531819343568,"{'non-offensive': 0.9322531819343567, 'offensive': 0.06774682551622391}",4.0,Republicans vs democrats,0.22166635,"Hey, @GOP, @GOPChairwoman and @David_Bossie, Rasmussen said Trump did not pay for its poll and did not even suggest that they conduct one! I’ve met all the requirements, and there’s no reason why I shouldn’t be on that debate stage tomorrow evening. #WeveGotACountryToSave https://t.co/5iapdGtnGh",hey rasmussen said trump pay poll suggest conduct met requirement reason debate stage tomorrow evening,"[('said', [4, 6]), ('trump', [6, 4]), ('reason', [6, 4]), ('pay', [4, 2]), ('debate', [6, 4]), ('stage', [6, 4]), ('poll', [6, 4]), ('suggest', [2]), ('hey', [6, 2]), ('conduct', [4]), ('evening', [6]), ('tomorrow', [6, 4]), ('met', [6, 4]), ('requirement', [6, 4]), ('rasmussen', [6])]","[('said', ['Republicans vs democrats', 'Election/debate']), ('trump', ['Election/debate', 'Republicans vs democrats']), ('reason', ['Election/debate', 'Republicans vs democrats']), ('pay', ['Republicans vs democrats', 'War']), ('debate', ['Election/debate', 'Republicans vs democrats']), ('stage', ['Election/debate', 'Republicans vs democrats']), ('poll', ['Election/debate', 'Republicans vs democrats']), ('suggest', ['War']), ('hey', ['Election/debate', 'War']), ('conduct', ['Republicans vs democrats']), ('evening', ['Election/debate']), ('tomorrow', ['Election/debate', 'Republicans vs democrats']), ('met', ['Election/debate', 'Republicans vs democrats']), ('requirement', ['Election/debate', 'Republicans vs democrats']), ('rasmussen', ['Election/debate'])]"
NikkiHaley,2023-08-23 00:38:30+00:00,6,Election/debate,0.4476874,neutral,0.4964578151702881,"{'neutral': 0.4964578151702881, 'negative': 0.46521246433258057, 'positive': 0.03832966089248657}",optimism,0.3760231733322143,"{'optimism': 0.37602317333221436, 'anticipation': 0.3200467824935913, 'anger': 0.10296927392482758, 'disgust': 0.07098476588726044, 'fear': 0.03849473595619202, 'trust': 0.03737681731581688, 'pessimism': 0.027917280793190002, 'sadness': 0.010420805774629116, 'surprise': 0.007891399785876274, 'joy': 0.006545398384332657, 'love': 0.001329470775090158}",not-hate,0.995789349079132,"{'not-hate': 0.9957893490791321, 'hate': 0.004210646729916334}",non-offensive,0.8745858669281006,"{'non-offensive': 0.8745858669281006, 'offensive': 0.1254141628742218}",4.0,Republicans vs democrats,0.36752373,"RT @If China pulled the rug out under us tomorrow, would we be ready? The hard truth is that we would not. We have to put Americans first and make sure China knows we mean business. https://t.co/SBcPEpy20M",china pulled rug tomorrow ready hard truth american sure china know mean business,"[('american', [4, 6]), ('know', [4, 6]), ('china', [4, 8]), ('truth', [4, 6]), ('pulled', [4, 6]), ('hard', [6, 4]), ('sure', [6, 4]), ('ready', [6, 4]), ('business', [8, 4]), ('mean', [6, 4]), ('tomorrow', [6, 4]), ('rug', [6])]","[('american', ['Republicans vs democrats', 'Election/debate']), ('know', ['Republicans vs democrats', 'Election/debate']), ('china', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('truth', ['Republicans vs democrats', 'Election/debate']), ('pulled', ['Republicans vs democrats', 'Election/debate']), ('hard', ['Election/debate', 'Republicans vs democrats']), ('sure', ['Election/debate', 'Republicans vs democrats']), ('ready', ['Election/debate', 'Republicans vs democrats']), ('business', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('mean', ['Election/debate', 'Republicans vs democrats']), ('tomorrow', ['Election/debate', 'Republicans vs democrats']), ('rug', ['Election/debate'])]"
PJQualityGuru,2023-08-23 00:57:42+00:00,6,Election/debate,0.7604463,positive,0.5346929430961609,"{'positive': 0.5346929430961609, 'neutral': 0.45999905467033386, 'negative': 0.00530797615647316}",anticipation,0.6744299530982971,"{'anticipation': 0.6744299530982971, 'optimism': 0.1551705151796341, 'joy': 0.06105766445398331, 'trust': 0.028953127562999725, 'surprise': 0.024840936064720154, 'anger': 0.01916412077844143, 'disgust': 0.0146638760343194, 'fear': 0.01281434390693903, 'pessimism': 0.0048788185231387615, 'sadness': 0.0022098368499428034, 'love': 0.0018168470123782754}",not-hate,0.9980167150497437,"{'not-hate': 0.9980167150497437, 'hate': 0.001983325695618987}",non-offensive,0.9405611157417296,"{'non-offensive': 0.9405611157417297, 'offensive': 0.05943882837891579}",4.0,Republicans vs democrats,0.11733024,Tune in at 7:05pm ET where I’m joining @SchmittNYC on @NEWSMAX to talk about the latest RNC corruption. I’ll be sharing more about my path forward. You don’t want to miss it.,tune  joining talk latest rnc corruption ill sharing path forward want miss,"[('sharing', [6, 4]), ('corruption', [4]), ('want', [6, 4]), ('latest', [6, 4]), ('talk', [6, 4]), ('ill', [6]), ('forward', [6, 4]), ('tune', [6]), ('path', [6]), ('joining', [6]), ('miss', [6]), ('rnc', [3, 4])]","[('sharing', ['Election/debate', 'Republicans vs democrats']), ('corruption', ['Republicans vs democrats']), ('want', ['Election/debate', 'Republicans vs democrats']), ('latest', ['Election/debate', 'Republicans vs democrats']), ('talk', ['Election/debate', 'Republicans vs democrats']), ('ill', ['Election/debate']), ('forward', ['Election/debate', 'Republicans vs democrats']), ('tune', ['Election/debate']), ('path', ['Election/debate']), ('joining', ['Election/debate']), ('miss', ['Election/debate']), ('rnc', ['News/radio/livestream', 'Republicans vs democrats'])]"
jamesrhenson,2023-08-23 01:28:28+00:00,6,Election/debate,0.41666377,neutral,0.909620463848114,"{'neutral': 0.909620463848114, 'positive': 0.08632686734199524, 'negative': 0.004052670206874609}",anticipation,0.7191784381866455,"{'anticipation': 0.7191784381866455, 'joy': 0.14197668433189392, 'optimism': 0.06181173771619797, 'surprise': 0.02940526232123375, 'trust': 0.020539045333862305, 'fear': 0.005689866375178099, 'disgust': 0.00527067668735981, 'pessimism': 0.0045570009388029575, 'sadness': 0.0043851700611412525, 'love': 0.0036580252926796675, 'anger': 0.0035279931034892797}",not-hate,0.9977204203605652,"{'not-hate': 0.9977204203605652, 'hate': 0.002279581967741251}",non-offensive,0.9303404092788696,"{'non-offensive': 0.9303404092788696, 'offensive': 0.06965957581996918}",5.0,Border/community/family,0.27449617,"Averie Bishop, outspoken as Miss Texas 2022, announces run for state Legislature https://t.co/0YSZqlqnV4 via @TexasTribune #txlege #tx2024",averie bishop outspoken miss texas announces run state legislature,"[('state', [6, 5]), ('texas', [6, 7]), ('run', [6, 5]), ('announces', [6]), ('miss', [6, 5]), ('legislature', [7, 6]), ('outspoken', [5]), ('bishop', [7]), ('averie', [5])]","[('state', ['Election/debate', 'Border/community/family']), ('texas', ['Election/debate', 'Abortion/rights/guns']), ('run', ['Election/debate', 'Border/community/family']), ('announces', ['Election/debate']), ('miss', ['Election/debate', 'Border/community/family']), ('legislature', ['Abortion/rights/guns', 'Election/debate']), ('outspoken', ['Border/community/family']), ('bishop', ['Abortion/rights/guns']), ('averie', ['Border/community/family'])]"
KamalaHarris,2023-08-23 01:41:05+00:00,6,Election/debate,0.707758,positive,0.9318643808364868,"{'positive': 0.9318643808364868, 'neutral': 0.06493042409420013, 'negative': 0.0032052320893853903}",optimism,0.6530624628067017,"{'optimism': 0.6530624628067017, 'joy': 0.24296820163726807, 'anticipation': 0.06590010970830917, 'trust': 0.02780926786363125, 'surprise': 0.0026513035409152508, 'love': 0.002221528207883239, 'anger': 0.0021750451996922493, 'disgust': 0.0010115657933056355, 'fear': 0.0008503234130330384, 'pessimism': 0.0007514497847296298, 'sadness': 0.0005986967589706182}",not-hate,0.992657482624054,"{'not-hate': 0.992657482624054, 'hate': 0.007342559285461903}",non-offensive,0.940708577632904,"{'non-offensive': 0.940708577632904, 'offensive': 0.059291381388902664}",1.0,American/economics/health,0.04180743,.@JoeBiden has taken on the @NRA and won. He can do it again. https://t.co/gix1vXVtRw,taken won,"[('taken', [6]), ('won', [6])]","[('taken', ['Election/debate']), ('won', ['Election/debate'])]"
VivekGRamaswamy,2023-08-23 02:02:02+00:00,6,Election/debate,0.8062388,positive,0.9834467768669128,"{'positive': 0.9834467768669128, 'neutral': 0.015076201409101486, 'negative': 0.001477111247368157}",joy,0.932333767414093,"{'joy': 0.932333767414093, 'optimism': 0.03630966693162918, 'anticipation': 0.012552055530250072, 'love': 0.011401200667023659, 'trust': 0.00405377009883523, 'surprise': 0.0020579604897648096, 'fear': 0.0007957385969348252, 'pessimism': 0.00012704779510386288, 'sadness': 0.000127036779304035, 'disgust': 0.0001221907150465995, 'anger': 0.00011950663611060008}",not-hate,0.9984651803970336,"{'not-hate': 0.9984651803970337, 'hate': 0.0015348889864981174}",non-offensive,0.9588181376457214,"{'non-offensive': 0.9588181376457214, 'offensive': 0.04118180647492409}",7.0,Abortion/rights/guns,0.13573472,RT @.@VivekGRamaswamy I love the prep for tomorrows debate…can’t wait to see you in action….👍👍🎾🎾🇺🇸🇺🇸 And I’ll see you on the court soon. I am getting ready for you….. Who else can I invite ??,love prep tomorrow debatecant wait action ill court soon getting ready invite,"[('action', [7, 6]), ('soon', [6]), ('wait', [6, 7]), ('getting', [6]), ('love', [6, 7]), ('ready', [6]), ('court', [7, 6]), ('ill', [6, 7]), ('tomorrow', [6]), ('invite', [6, 7]), ('prep', [6]), ('debatecant', [6])]","[('action', ['Abortion/rights/guns', 'Election/debate']), ('soon', ['Election/debate']), ('wait', ['Election/debate', 'Abortion/rights/guns']), ('getting', ['Election/debate']), ('love', ['Election/debate', 'Abortion/rights/guns']), ('ready', ['Election/debate']), ('court', ['Abortion/rights/guns', 'Election/debate']), ('ill', ['Election/debate', 'Abortion/rights/guns']), ('tomorrow', ['Election/debate']), ('invite', ['Election/debate', 'Abortion/rights/guns']), ('prep', ['Election/debate']), ('debatecant', ['Election/debate'])]"
VivekGRamaswamy,2023-08-23 02:03:44+00:00,6,Election/debate,0.5643305,neutral,0.5058289766311646,"{'neutral': 0.5058289766311646, 'negative': 0.36320817470550537, 'positive': 0.13096286356449127}",anger,0.4599751532077789,"{'anger': 0.45997515320777893, 'disgust': 0.2875521183013916, 'anticipation': 0.16876812279224396, 'fear': 0.026143670082092285, 'surprise': 0.019703224301338196, 'optimism': 0.011879312805831432, 'joy': 0.007425742689520121, 'pessimism': 0.006888220086693764, 'trust': 0.00548475980758667, 'sadness': 0.005466688424348831, 'love': 0.0007130055455490947}",not-hate,0.9926936626434326,"{'not-hate': 0.9926936626434326, 'hate': 0.007306377869099379}",non-offensive,0.8734070062637329,"{'non-offensive': 0.8734070062637329, 'offensive': 0.12659293413162231}",4.0,Republicans vs democrats,0.3283679,RT @BenYoho: Absolute mob scene. See you tomorrow night America 🇺🇸 https://t.co/IgSqkQciHv,absolute mob scene tomorrow night america,"[('america', [6, 4]), ('mob', [4]), ('scene', [6, 4]), ('night', [6, 4]), ('absolute', [4, 6]), ('tomorrow', [6, 4])]","[('america', ['Election/debate', 'Republicans vs democrats']), ('mob', ['Republicans vs democrats']), ('scene', ['Election/debate', 'Republicans vs democrats']), ('night', ['Election/debate', 'Republicans vs democrats']), ('absolute', ['Republicans vs democrats', 'Election/debate']), ('tomorrow', ['Election/debate', 'Republicans vs democrats'])]"
larryelder,2023-08-23 02:19:06+00:00,6,Election/debate,0.5176489,neutral,0.9551233649253844,"{'neutral': 0.9551233649253845, 'positive': 0.03802900016307831, 'negative': 0.006847631186246872}",anticipation,0.676697313785553,"{'anticipation': 0.676697313785553, 'joy': 0.09639918059110641, 'optimism': 0.06890394538640976, 'anger': 0.035666242241859436, 'surprise': 0.03541753813624382, 'disgust': 0.03480830416083336, 'trust': 0.023243458941578865, 'sadness': 0.008923799730837345, 'fear': 0.008392889983952045, 'pessimism': 0.008127960376441479, 'love': 0.0034193077590316534}",not-hate,0.9979084730148317,"{'not-hate': 0.9979084730148315, 'hate': 0.0020915220957249403}",non-offensive,0.9481350779533386,"{'non-offensive': 0.9481350779533386, 'offensive': 0.051864929497241974}",5.0,Border/community/family,0.27427438,RT @Quite a 6PM broadcast on @FOXLA tonight. Joining us LIVE: @cgfox11 on fight over Aliso Canyon facility @BillMelugin_ from #GOPDebate site in Milwaukee @larryelder on his lawsuit to join the debate stage @MattFinnFNC on Maui @JonYoushaei on @elonmusk, broadcast tonight joining live fight aliso canyon facility site milwaukee lawsuit join debate stage maui,"[('site', [6, 5]), ('tonight', [6, 5]), ('fight', [6, 5]), ('debate', [6, 4]), ('stage', [6, 4]), ('lawsuit', [4]), ('maui', [5, 4]), ('live', [6, 5]), ('join', [6, 5]), ('facility', [5]), ('joining', [6, 5]), ('milwaukee', [6, 5]), ('canyon', [5]), ('broadcast', [4]), ('aliso', [6, 5])]","[('site', ['Election/debate', 'Border/community/family']), ('tonight', ['Election/debate', 'Border/community/family']), ('fight', ['Election/debate', 'Border/community/family']), ('debate', ['Election/debate', 'Republicans vs democrats']), ('stage', ['Election/debate', 'Republicans vs democrats']), ('lawsuit', ['Republicans vs democrats']), ('maui', ['Border/community/family', 'Republicans vs democrats']), ('live', ['Election/debate', 'Border/community/family']), ('join', ['Election/debate', 'Border/community/family']), ('facility', ['Border/community/family']), ('joining', ['Election/debate', 'Border/community/family']), ('milwaukee', ['Election/debate', 'Border/community/family']), ('canyon', ['Border/community/family']), ('broadcast', ['Republicans vs democrats']), ('aliso', ['Election/debate', 'Border/community/family'])]"
jamesrhenson,2023-08-23 02:21:14+00:00,6,Election/debate,0.4540306,neutral,0.9504784345626832,"{'neutral': 0.9504784345626831, 'positive': 0.03147516027092934, 'negative': 0.01804644986987114}",anticipation,0.7210294008255005,"{'anticipation': 0.7210294008255005, 'disgust': 0.06605677306652069, 'surprise': 0.05938628315925598, 'anger': 0.036189429461956024, 'optimism': 0.02352546527981758, 'sadness': 0.020262688398361206, 'pessimism': 0.01997150108218193, 'joy': 0.018408359959721565, 'trust': 0.01683603599667549, 'fear': 0.016062412410974503, 'love': 0.002271643839776516}",not-hate,0.9979357719421388,"{'not-hate': 0.9979357719421387, 'hate': 0.002064252970740199}",non-offensive,0.9250974655151368,"{'non-offensive': 0.9250974655151367, 'offensive': 0.0749024897813797}",4.0,Republicans vs democrats,0.39819023,"RT @New Second Reading Podcast: Unpacking the notion of an informed electorate in the context of the Paxton impeachment trial, w/ @jamesrhenson &amp; @JoshuaMBlank https://t.co/TM3k3LN85U #txlege https://t.co/1dRrFCfnrC",second reading podcast unpacking notion informed electorate context paxton impeachment trial ,"[('second', [6, 4]), ('impeachment', [4]), ('informed', [6, 4]), ('paxton', [4]), ('trial', [4, 6]), ('podcast', [6, 4]), ('reading', [6, 4]), ('context', [4, 6]), ('electorate', [6]), ('notion', [6]), ('unpacking', [5])]","[('second', ['Election/debate', 'Republicans vs democrats']), ('impeachment', ['Republicans vs democrats']), ('informed', ['Election/debate', 'Republicans vs democrats']), ('paxton', ['Republicans vs democrats']), ('trial', ['Republicans vs democrats', 'Election/debate']), ('podcast', ['Election/debate', 'Republicans vs democrats']), ('reading', ['Election/debate', 'Republicans vs democrats']), ('context', ['Republicans vs democrats', 'Election/debate']), ('electorate', ['Election/debate']), ('notion', ['Election/debate']), ('unpacking', ['Border/community/family'])]"
VivekGRamaswamy,2023-08-23 02:40:26+00:00,6,Election/debate,0.7081329,positive,0.4993305802345276,"{'positive': 0.4993305802345276, 'neutral': 0.4864814877510071, 'negative': 0.014187936671078205}",optimism,0.7888096570968628,"{'optimism': 0.7888096570968628, 'joy': 0.09540028125047684, 'anticipation': 0.06528313457965851, 'trust': 0.037253834307193756, 'love': 0.0028085452504456043, 'anger': 0.0025493153370916843, 'fear': 0.0022570136934518814, 'surprise': 0.0018807280575856566, 'pessimism': 0.0014220246812328696, 'disgust': 0.0013301664730533957, 'sadness': 0.0010054013691842556}",not-hate,0.9967235922813416,"{'not-hate': 0.9967235922813416, 'hate': 0.0032764486968517303}",non-offensive,0.931467056274414,"{'non-offensive': 0.9314670562744141, 'offensive': 0.06853295117616653}",4.0,Republicans vs democrats,0.041711435,The Revolution is coming 🇺🇸 https://t.co/aBerXQtjJq,revolution coming,"[('coming', [6]), ('revolution', [6])]","[('coming', ['Election/debate']), ('revolution', ['Election/debate'])]"
