username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
KamalaHarris,2023-09-02 00:01:00+00:00,1,American/economics/health,0.9513252,negative,0.7214632630348206,"{'negative': 0.7214632630348206, 'neutral': 0.25517013669013977, 'positive': 0.02336656115949154}",fear,0.8201110363006592,"{'fear': 0.8201110363006592, 'optimism': 0.06528645008802414, 'anger': 0.02796383574604988, 'disgust': 0.027807125821709633, 'pessimism': 0.021529126912355423, 'sadness': 0.02029287815093994, 'anticipation': 0.009345605038106441, 'trust': 0.004979252815246582, 'surprise': 0.0010740456636995077, 'joy': 0.000979969627223909, 'love': 0.0006307284929789603}",,,,"One in five Americans has a family member who died because of gun violence. We need elected leaders to have the courage to act and pass commonsense, reasonable gun safety laws.",american family member died gun violence need elected leader courage act pas commonsense reasonable gun safety law,"[('american', [1]), ('law', [1]), ('need', [1]), ('act', [1]), ('member', [1]), ('died', [1]), ('violence', [1]), ('family', [1]), ('pas', [1]), ('gun', [1]), ('elected', [1]), ('safety', [1]), ('leader', [1]), ('courage', [1]), ('commonsense', [1]), ('reasonable', [1])]","[('american', ['American/economics/health']), ('law', ['American/economics/health']), ('need', ['American/economics/health']), ('act', ['American/economics/health']), ('member', ['American/economics/health']), ('died', ['American/economics/health']), ('violence', ['American/economics/health']), ('family', ['American/economics/health']), ('pas', ['American/economics/health']), ('gun', ['American/economics/health']), ('elected', ['American/economics/health']), ('safety', ['American/economics/health']), ('leader', ['American/economics/health']), ('courage', ['American/economics/health']), ('commonsense', ['American/economics/health']), ('reasonable', ['American/economics/health'])]"
POTUS,2023-09-02 00:15:00+00:00,1,American/economics/health,0.8749524,neutral,0.7204687595367432,"{'neutral': 0.7204687595367432, 'positive': 0.21331612765789032, 'negative': 0.06621509045362473}",sadness,0.4489310085773468,"{'sadness': 0.4489310085773468, 'disgust': 0.19066543877124786, 'pessimism': 0.13673125207424164, 'fear': 0.08906188607215881, 'anticipation': 0.05696947127580643, 'anger': 0.05167500302195549, 'optimism': 0.01250266283750534, 'surprise': 0.007921230979263783, 'joy': 0.0024785443674772978, 'trust': 0.002409023232758045, 'love': 0.0006544558564200997}",5.0,Border/community/family,0.01786924,The unemployment rate has been below 4% for 19 months – the longest stretch in over 50 years. https://t.co/7iUTqdl7DB,unemployment rate month longest stretch year,"[('year', [1]), ('month', [1]), ('rate', [1]), ('unemployment', [1]), ('longest', [1]), ('stretch', [1])]","[('year', ['American/economics/health']), ('month', ['American/economics/health']), ('rate', ['American/economics/health']), ('unemployment', ['American/economics/health']), ('longest', ['American/economics/health']), ('stretch', ['American/economics/health'])]"
TheDemocrats,2023-09-02 00:52:11+00:00,1,American/economics/health,0.7082551,positive,0.9032315611839294,"{'positive': 0.9032315611839294, 'neutral': 0.09195489436388016, 'negative': 0.004813523963093758}",optimism,0.7179577350616455,"{'optimism': 0.7179577350616455, 'anticipation': 0.1194421797990799, 'joy': 0.11348863691091537, 'trust': 0.029670262709259987, 'anger': 0.005277545657008886, 'surprise': 0.004084579646587372, 'disgust': 0.003154499689117074, 'pessimism': 0.0021695138420909643, 'sadness': 0.0017800347413867712, 'love': 0.0017115692608058453, 'fear': 0.0012634427985176444}",8.0,Infrastructure/job/energy,0.0417092,Bidenomics is working. https://t.co/1hZkuFGgY4,bidenomics working,"[('working', [1]), ('bidenomics', [1])]","[('working', ['American/economics/health']), ('bidenomics', ['American/economics/health'])]"
WhiteHouse,2023-09-02 01:00:01+00:00,1,American/economics/health,0.9048069,positive,0.6611579656600952,"{'positive': 0.6611579656600952, 'neutral': 0.3320356011390686, 'negative': 0.0068064844235777855}",optimism,0.4906079471111297,"{'optimism': 0.49060794711112976, 'joy': 0.3467058539390564, 'anticipation': 0.09078945219516754, 'anger': 0.022503960877656937, 'disgust': 0.017124250531196594, 'trust': 0.013568823225796223, 'surprise': 0.005739002488553524, 'sadness': 0.005670818034559488, 'pessimism': 0.003795760218054056, 'love': 0.002038372214883566, 'fear': 0.0014557382091879845}",5.0,Border/community/family,0.06256231,Nearly four million seniors and others on Medicare started to have their insulin costs capped at $35 per month this past January – saving some seniors hundreds of dollars for a month’s supply. And it’s because of President Biden’s Inflation Reduction Act.,nearly million senior medicare started insulin cost capped month past january saving senior hundred dollar month supply president bidens inflation reduction act,"[('nearly', [1, 5]), ('million', [1]), ('past', [1, 5]), ('senior', [1]), ('month', [1, 5]), ('president', [1, 5]), ('hundred', [1, 5]), ('started', [1, 5]), ('act', [1]), ('bidens', [1, 5]), ('january', [1, 5]), ('cost', [1]), ('dollar', [1]), ('supply', [1]), ('saving', [1]), ('inflation', [1]), ('medicare', [1]), ('reduction', [1]), ('insulin', [1]), ('capped', [5])]","[('nearly', ['American/economics/health', 'Border/community/family']), ('million', ['American/economics/health']), ('past', ['American/economics/health', 'Border/community/family']), ('senior', ['American/economics/health']), ('month', ['American/economics/health', 'Border/community/family']), ('president', ['American/economics/health', 'Border/community/family']), ('hundred', ['American/economics/health', 'Border/community/family']), ('started', ['American/economics/health', 'Border/community/family']), ('act', ['American/economics/health']), ('bidens', ['American/economics/health', 'Border/community/family']), ('january', ['American/economics/health', 'Border/community/family']), ('cost', ['American/economics/health']), ('dollar', ['American/economics/health']), ('supply', ['American/economics/health']), ('saving', ['American/economics/health']), ('inflation', ['American/economics/health']), ('medicare', ['American/economics/health']), ('reduction', ['American/economics/health']), ('insulin', ['American/economics/health']), ('capped', ['Border/community/family'])]"
POTUS,2023-09-02 01:05:00+00:00,1,American/economics/health,0.70465577,negative,0.5572081804275513,"{'negative': 0.5572081804275513, 'neutral': 0.41951069235801697, 'positive': 0.023281052708625793}",anticipation,0.2843076288700104,"{'anticipation': 0.2843076288700104, 'anger': 0.22351570427417755, 'disgust': 0.19561867415905, 'optimism': 0.16530996561050415, 'trust': 0.029950689524412155, 'joy': 0.029389897361397743, 'pessimism': 0.02161841280758381, 'surprise': 0.019560327753424644, 'sadness': 0.01758003793656826, 'fear': 0.010637927800416946, 'love': 0.0025107613764703274}",5.0,Border/community/family,0.17704584,"Today, many salaried workers aren’t guaranteed overtime pay unless they make under $35,568 a year. This week, my Administration proposed a new rule to raise that threshold, extending over-time pay to up to 3.4 million workers.",today salaried worker guaranteed overtime pay year week administration proposed rule raise threshold extending time pay million worker,"[('today', [1, 5]), ('week', [1, 5]), ('worker', [1, 5]), ('million', [1, 5]), ('year', [1, 5]), ('administration', [1, 5]), ('time', [1, 5]), ('pay', [1, 5]), ('rule', [1, 5]), ('threshold', [6]), ('raise', [1, 6]), ('proposed', [1]), ('guaranteed', [1]), ('overtime', [5]), ('extending', [5]), ('salaried', [1])]","[('today', ['American/economics/health', 'Border/community/family']), ('week', ['American/economics/health', 'Border/community/family']), ('worker', ['American/economics/health', 'Border/community/family']), ('million', ['American/economics/health', 'Border/community/family']), ('year', ['American/economics/health', 'Border/community/family']), ('administration', ['American/economics/health', 'Border/community/family']), ('time', ['American/economics/health', 'Border/community/family']), ('pay', ['American/economics/health', 'Border/community/family']), ('rule', ['American/economics/health', 'Border/community/family']), ('threshold', ['Election/debate']), ('raise', ['American/economics/health', 'Election/debate']), ('proposed', ['American/economics/health']), ('guaranteed', ['American/economics/health']), ('overtime', ['Border/community/family']), ('extending', ['Border/community/family']), ('salaried', ['American/economics/health'])]"
laurenboebert,2023-09-02 01:55:02+00:00,1,American/economics/health,0.42842606,negative,0.9276766777038574,"{'negative': 0.9276766777038574, 'neutral': 0.06636574119329453, 'positive': 0.0059575652703642845}",anger,0.4680083692073822,"{'anger': 0.4680083692073822, 'disgust': 0.4310593605041504, 'sadness': 0.061828382313251495, 'pessimism': 0.0220748633146286, 'fear': 0.010622434318065643, 'anticipation': 0.002482953015714884, 'optimism': 0.0022957869805395603, 'surprise': 0.0007484719972126186, 'trust': 0.0005108215846121311, 'joy': 0.0002205201017204672, 'love': 0.00014803989324718714}",2.0,War,0.25527996,It’s time for all of us to start really understanding the damage Joe Biden is doing to our country. This isn’t a standard Presidency. This is a deliberate destruction of Working Class America.,time start understanding damage joe biden country standard presidency deliberate destruction working class america,"[('biden', [1, 4]), ('america', [1, 2]), ('joe', [4, 1]), ('start', [1, 4]), ('damage', [1, 2]), ('time', [1, 2]), ('country', [1, 2]), ('working', [1, 4]), ('standard', [1, 4]), ('presidency', [4, 1]), ('class', [1, 2]), ('destruction', [2]), ('understanding', [2, 4]), ('deliberate', [7])]","[('biden', ['American/economics/health', 'Republicans vs democrats']), ('america', ['American/economics/health', 'War']), ('joe', ['Republicans vs democrats', 'American/economics/health']), ('start', ['American/economics/health', 'Republicans vs democrats']), ('damage', ['American/economics/health', 'War']), ('time', ['American/economics/health', 'War']), ('country', ['American/economics/health', 'War']), ('working', ['American/economics/health', 'Republicans vs democrats']), ('standard', ['American/economics/health', 'Republicans vs democrats']), ('presidency', ['Republicans vs democrats', 'American/economics/health']), ('class', ['American/economics/health', 'War']), ('destruction', ['War']), ('understanding', ['War', 'Republicans vs democrats']), ('deliberate', ['Abortion/rights/guns'])]"
TheDemocrats,2023-09-02 02:06:06+00:00,1,American/economics/health,0.8314073,positive,0.7725778222084045,"{'positive': 0.7725778222084045, 'neutral': 0.21972401440143585, 'negative': 0.0076981899328529835}",optimism,0.6780365705490112,"{'optimism': 0.6780365705490112, 'joy': 0.1392739713191986, 'anticipation': 0.07114266604185104, 'anger': 0.04766114056110382, 'trust': 0.024637587368488312, 'disgust': 0.021363036707043648, 'pessimism': 0.005043623968958855, 'surprise': 0.004935975652188063, 'sadness': 0.0031450719106942415, 'love': 0.003038543276488781, 'fear': 0.0017218129942193627}",4.0,Republicans vs democrats,0.1185498,Trump talked. Biden delivered. Medicare can now negotiate for lower prescription drug prices thanks to the Inflation Reduction Act. https://t.co/aSnFmRyOAF,trump talked biden delivered medicare negotiate lower prescription drug price thanks inflation reduction act,"[('biden', [1, 4]), ('trump', [4, 1]), ('act', [1]), ('drug', [1]), ('talked', [4, 1]), ('lower', [1]), ('thanks', [1]), ('inflation', [1]), ('price', [1]), ('delivered', [1, 4]), ('medicare', [1]), ('prescription', [1]), ('negotiate', [1]), ('reduction', [1])]","[('biden', ['American/economics/health', 'Republicans vs democrats']), ('trump', ['Republicans vs democrats', 'American/economics/health']), ('act', ['American/economics/health']), ('drug', ['American/economics/health']), ('talked', ['Republicans vs democrats', 'American/economics/health']), ('lower', ['American/economics/health']), ('thanks', ['American/economics/health']), ('inflation', ['American/economics/health']), ('price', ['American/economics/health']), ('delivered', ['American/economics/health', 'Republicans vs democrats']), ('medicare', ['American/economics/health']), ('prescription', ['American/economics/health']), ('negotiate', ['American/economics/health']), ('reduction', ['American/economics/health'])]"
WhiteHouse,2023-09-02 03:27:25+00:00,1,American/economics/health,0.65069526,positive,0.590468168258667,"{'positive': 0.590468168258667, 'neutral': 0.39653241634368896, 'negative': 0.012999352999031544}",anticipation,0.3786876201629638,"{'anticipation': 0.37868762016296387, 'optimism': 0.3309289216995239, 'joy': 0.2284570187330246, 'trust': 0.02486179955303669, 'surprise': 0.014912421815097332, 'sadness': 0.005051768850535154, 'pessimism': 0.004250534810125828, 'disgust': 0.003955517429858446, 'anger': 0.003154370002448559, 'love': 0.0029388070106506348, 'fear': 0.0028012676630169153}",6.0,Election/debate,0.29154947,It was a busy week at the Biden-Harris White House. Here’s a quick recap from @PressSec on how we spent it delivering for hardworking families. https://t.co/e78JZnXr69,busy week biden harris white house quick recap spent delivering hardworking family,"[('biden', [1, 6]), ('week', [6, 1]), ('house', [1, 6]), ('family', [1, 6]), ('white', [1, 6]), ('spent', [1, 6]), ('harris', [1, 6]), ('busy', [6, 1]), ('recap', [6, 1]), ('delivering', [1]), ('quick', [6, 1]), ('hardworking', [1])]","[('biden', ['American/economics/health', 'Election/debate']), ('week', ['Election/debate', 'American/economics/health']), ('house', ['American/economics/health', 'Election/debate']), ('family', ['American/economics/health', 'Election/debate']), ('white', ['American/economics/health', 'Election/debate']), ('spent', ['American/economics/health', 'Election/debate']), ('harris', ['American/economics/health', 'Election/debate']), ('busy', ['Election/debate', 'American/economics/health']), ('recap', ['Election/debate', 'American/economics/health']), ('delivering', ['American/economics/health']), ('quick', ['Election/debate', 'American/economics/health']), ('hardworking', ['American/economics/health'])]"
Theholisticpsyc,2023-09-02 03:31:35+00:00,1,American/economics/health,0.52239424,neutral,0.8549506068229675,"{'neutral': 0.8549506068229675, 'negative': 0.09658303111791611, 'positive': 0.04846634343266487}",sadness,0.920573353767395,"{'sadness': 0.920573353767395, 'pessimism': 0.055233895778656006, 'fear': 0.010037819854915142, 'optimism': 0.00468613812699914, 'disgust': 0.0035589642357081175, 'anticipation': 0.002082925522699952, 'anger': 0.0012459958670660853, 'joy': 0.0009866617619991302, 'trust': 0.0006496903952211142, 'love': 0.000541644636541605, 'surprise': 0.0004027761169709265}",4.0,Republicans vs democrats,0.13177408,"THIS IS GOING VIRAL SO I WANTED TO SHARE IT HERE TOO: A bit from my past: My first job after getting my PhD was working as a therapist for people from low socioeconomic backgrounds. Almost all of them were diagnosed with depression, GAD, bipolar, or BPD. Most were highly medicated— some to a point that still sticks with me years later. As I got to know their background and lives 3 things were very clear: 1. A vast majority had been emotionally neglected, emotionally abused, or physically abused as children. 2. A vast majority had experienced domestic violence or were currently living in it. 3. Basic needs were never met. Life was an hour by hour struggle. Treatment was an attempt to allow them to get to work in most cases. To just continue to surviving. It was the start of me questioning the field I had been trained in. One that diagnoses people with disorders without taking a look at the whole picture. It began my path of holistic understanding. A person cannot be well when one unexpected bill will have them fall behind on rent. When they lay their head on a pillow and all they can think about is expenses piling up. When a bill at the grocery store is almost double what they paid last year when their income has stayed the same. An entire family unit deeply struggles within survival mode. When a job is lost. When daycare needs to be paid, but so does the light bill— what do you choose? When parents can’t even think about the emotional needs of their children because they have to figure out where their next meal is going to come from. In 1942, 10 years before the diagnostic manual of mental illness was released Maslow knew what was once just common sense: we have a hierarchy of needs. At the bottom are basic needs food and shelter. Then safety (resources, security). Then belonging (connection, friendship, intimacy.) Without three things we *will* be sick, period. I get pushback for questioning the status quo. And I’ll continue to do it. The status quo is keeping people sick. It denies their experience. And it says we should bandage people’s symptoms so they can return to the environment that made them sick. May we wake up, heal ourselves, and build conscious communities to help each other. Retweet if you feel this is true in your body 🙏",going viral wanted share bit past job getting phd working therapist people low socioeconomic background diagnosed depression gad bipolar bpd highly medicated point stick year later got know background life thing clear vast majority emotionally neglected emotionally abused physically abused child vast majority experienced domestic violence currently living basic need met life hour hour struggle treatment attempt allow work case continue surviving start questioning field trained diagnosis people disorder taking look picture began path holistic understanding person unexpected bill fall rent lay head pillow think expense piling bill grocery store double paid year income stayed entire family unit deeply struggle survival mode job lost daycare need paid light bill choose parent think emotional need child figure meal going come year diagnostic manual mental illness released maslow knew common sense hierarchy need basic need food shelter safety resource security belonging connection friendship intimacy thing sick period pushback questioning status quo ill continue status quo keeping people sick denies experience say bandage people symptom return environment sick wake heal build conscious community help retweet feel true body,"[('come', [1, 6]), ('hour', [1, 6]), ('security', [1, 4]), ('currently', [1, 6]), ('know', [1, 4]), ('person', [1, 4]), ('released', [4, 1]), ('wanted', [1, 4]), ('year', [1, 5]), ('job', [1, 8]), ('viral', [4]), ('clear', [1, 7]), ('past', [1, 4]), ('people', [1, 4]), ('taking', [1, 4]), ('keeping', [1, 6]), ('start', [1, 6]), ('got', [1, 6]), ('head', [1, 6]), ('lay', [1, 4]), ('denies', [4]), ('abused', [4, 5]), ('say', [4, 1]), ('build', [1, 8]), ('getting', [1, 4]), ('going', [1, 4]), ('need', [1, 6]), ('thing', [1, 6]), ('think', [4, 1]), ('work', [1, 5]), ('help', [1, 6]), ('point', [6, 1]), ('common', [1, 6]), ('sense', [1, 4]), ('feel', [1, 6]), ('life', [1, 5]), ('lost', [1, 5]), ('bit', [6, 4]), ('trained', [1, 6]), ('resource', [1, 8]), ('shelter', [5, 6]), ('working', [1, 6]), ('wake', [1, 2]), ('violence', [1, 5]), ('entire', [1, 5]), ('family', [1, 5]), ('paid', [1, 4]), ('child', [1, 5]), ('disorder', [1]), ('mental', [1, 4]), ('parent', [1, 5]), ('field', [6, 4]), ('look', [1, 6]), ('store', [1, 6]), ('case', [4, 1]), ('community', [1, 5]), ('continue', [1, 7]), ('mode', [4, 3]), ('income', [1]), ('allow', [1, 7]), ('attempt', [4, 7]), ('bill', [1, 7]), ('safety', [1, 8]), ('belonging', [7, 2]), ('later', [1, 6]), ('status', [1, 6]), ('ill', [1, 6]), ('treatment', [1, 4]), ('emotional', [4, 5]), ('living', [1, 4]), ('figure', [4, 6]), ('knew', [4, 2]), ('unit', [5, 1]), ('return', [1, 4]), ('share', [1, 6]), ('true', [4, 1]), ('began', [1, 4]), ('low', [1, 4]), ('pillow', [7]), ('period', [1, 4]), ('sick', [1, 4]), ('light', [4, 5]), ('grocery', [1]), ('picture', [4, 6]), ('met', [5, 6]), ('body', [7, 2]), ('choose', [1, 7]), ('physically', [6, 4]), ('environment', [1, 6]), ('basic', [1, 7]), ('deeply', [7, 5]), ('domestic', [1, 4]), ('phd', [3]), ('questioning', [3, 7]), ('illness', [1]), ('struggle', [1, 6]), ('stayed', [1, 4]), ('fall', [1, 6]), ('path', [1, 6]), ('experienced', [1, 6]), ('double', [1, 4]), ('unexpected', [1]), ('experience', [1, 6]), ('majority', [1, 6]), ('food', [1, 8]), ('connection', [4, 6]), ('understanding', [5, 2]), ('stick', [6, 5]), ('highly', [6, 7]), ('vast', [1, 4]), ('meal', [1, 5]), ('expense', [1]), ('heal', [2, 6]), ('background', [1, 7]), ('depression', [6]), ('retweet', [1, 7]), ('quo', [2, 7]), ('diagnosed', [1]), ('diagnosis', [1, 2]), ('piling', [8]), ('friendship', [5, 7]), ('holistic', [4]), ('rent', [1]), ('survival', [7, 5]), ('symptom', [1, 2]), ('manual', [1]), ('conscious', [2]), ('pushback', [8]), ('medicated', [7]), ('surviving', [3]), ('daycare', [1]), ('bipolar', [1]), ('therapist', [6]), ('bandage', [1]), ('bpd', [1]), ('diagnostic', [1]), ('emotionally', [6]), ('gad', [1]), ('hierarchy', [1]), ('intimacy', [7]), ('maslow', [1]), ('neglected', [4]), ('socioeconomic', [2])]","[('come', ['American/economics/health', 'Election/debate']), ('hour', ['American/economics/health', 'Election/debate']), ('security', ['American/economics/health', 'Republicans vs democrats']), ('currently', ['American/economics/health', 'Election/debate']), ('know', ['American/economics/health', 'Republicans vs democrats']), ('person', ['American/economics/health', 'Republicans vs democrats']), ('released', ['Republicans vs democrats', 'American/economics/health']), ('wanted', ['American/economics/health', 'Republicans vs democrats']), ('year', ['American/economics/health', 'Border/community/family']), ('job', ['American/economics/health', 'Infrastructure/job/energy']), ('viral', ['Republicans vs democrats']), ('clear', ['American/economics/health', 'Abortion/rights/guns']), ('past', ['American/economics/health', 'Republicans vs democrats']), ('people', ['American/economics/health', 'Republicans vs democrats']), ('taking', ['American/economics/health', 'Republicans vs democrats']), ('keeping', ['American/economics/health', 'Election/debate']), ('start', ['American/economics/health', 'Election/debate']), ('got', ['American/economics/health', 'Election/debate']), ('head', ['American/economics/health', 'Election/debate']), ('lay', ['American/economics/health', 'Republicans vs democrats']), ('denies', ['Republicans vs democrats']), ('abused', ['Republicans vs democrats', 'Border/community/family']), ('say', ['Republicans vs democrats', 'American/economics/health']), ('build', ['American/economics/health', 'Infrastructure/job/energy']), ('getting', ['American/economics/health', 'Republicans vs democrats']), ('going', ['American/economics/health', 'Republicans vs democrats']), ('need', ['American/economics/health', 'Election/debate']), ('thing', ['American/economics/health', 'Election/debate']), ('think', ['Republicans vs democrats', 'American/economics/health']), ('work', ['American/economics/health', 'Border/community/family']), ('help', ['American/economics/health', 'Election/debate']), ('point', ['Election/debate', 'American/economics/health']), ('common', ['American/economics/health', 'Election/debate']), ('sense', ['American/economics/health', 'Republicans vs democrats']), ('feel', ['American/economics/health', 'Election/debate']), ('life', ['American/economics/health', 'Border/community/family']), ('lost', ['American/economics/health', 'Border/community/family']), ('bit', ['Election/debate', 'Republicans vs democrats']), ('trained', ['American/economics/health', 'Election/debate']), ('resource', ['American/economics/health', 'Infrastructure/job/energy']), ('shelter', ['Border/community/family', 'Election/debate']), ('working', ['American/economics/health', 'Election/debate']), ('wake', ['American/economics/health', 'War']), ('violence', ['American/economics/health', 'Border/community/family']), ('entire', ['American/economics/health', 'Border/community/family']), ('family', ['American/economics/health', 'Border/community/family']), ('paid', ['American/economics/health', 'Republicans vs democrats']), ('child', ['American/economics/health', 'Border/community/family']), ('disorder', ['American/economics/health']), ('mental', ['American/economics/health', 'Republicans vs democrats']), ('parent', ['American/economics/health', 'Border/community/family']), ('field', ['Election/debate', 'Republicans vs democrats']), ('look', ['American/economics/health', 'Election/debate']), ('store', ['American/economics/health', 'Election/debate']), ('case', ['Republicans vs democrats', 'American/economics/health']), ('community', ['American/economics/health', 'Border/community/family']), ('continue', ['American/economics/health', 'Abortion/rights/guns']), ('mode', ['Republicans vs democrats', 'News/radio/livestream']), ('income', ['American/economics/health']), ('allow', ['American/economics/health', 'Abortion/rights/guns']), ('attempt', ['Republicans vs democrats', 'Abortion/rights/guns']), ('bill', ['American/economics/health', 'Abortion/rights/guns']), ('safety', ['American/economics/health', 'Infrastructure/job/energy']), ('belonging', ['Abortion/rights/guns', 'War']), ('later', ['American/economics/health', 'Election/debate']), ('status', ['American/economics/health', 'Election/debate']), ('ill', ['American/economics/health', 'Election/debate']), ('treatment', ['American/economics/health', 'Republicans vs democrats']), ('emotional', ['Republicans vs democrats', 'Border/community/family']), ('living', ['American/economics/health', 'Republicans vs democrats']), ('figure', ['Republicans vs democrats', 'Election/debate']), ('knew', ['Republicans vs democrats', 'War']), ('unit', ['Border/community/family', 'American/economics/health']), ('return', ['American/economics/health', 'Republicans vs democrats']), ('share', ['American/economics/health', 'Election/debate']), ('true', ['Republicans vs democrats', 'American/economics/health']), ('began', ['American/economics/health', 'Republicans vs democrats']), ('low', ['American/economics/health', 'Republicans vs democrats']), ('pillow', ['Abortion/rights/guns']), ('period', ['American/economics/health', 'Republicans vs democrats']), ('sick', ['American/economics/health', 'Republicans vs democrats']), ('light', ['Republicans vs democrats', 'Border/community/family']), ('grocery', ['American/economics/health']), ('picture', ['Republicans vs democrats', 'Election/debate']), ('met', ['Border/community/family', 'Election/debate']), ('body', ['Abortion/rights/guns', 'War']), ('choose', ['American/economics/health', 'Abortion/rights/guns']), ('physically', ['Election/debate', 'Republicans vs democrats']), ('environment', ['American/economics/health', 'Election/debate']), ('basic', ['American/economics/health', 'Abortion/rights/guns']), ('deeply', ['Abortion/rights/guns', 'Border/community/family']), ('domestic', ['American/economics/health', 'Republicans vs democrats']), ('phd', ['News/radio/livestream']), ('questioning', ['News/radio/livestream', 'Abortion/rights/guns']), ('illness', ['American/economics/health']), ('struggle', ['American/economics/health', 'Election/debate']), ('stayed', ['American/economics/health', 'Republicans vs democrats']), ('fall', ['American/economics/health', 'Election/debate']), ('path', ['American/economics/health', 'Election/debate']), ('experienced', ['American/economics/health', 'Election/debate']), ('double', ['American/economics/health', 'Republicans vs democrats']), ('unexpected', ['American/economics/health']), ('experience', ['American/economics/health', 'Election/debate']), ('majority', ['American/economics/health', 'Election/debate']), ('food', ['American/economics/health', 'Infrastructure/job/energy']), ('connection', ['Republicans vs democrats', 'Election/debate']), ('understanding', ['Border/community/family', 'War']), ('stick', ['Election/debate', 'Border/community/family']), ('highly', ['Election/debate', 'Abortion/rights/guns']), ('vast', ['American/economics/health', 'Republicans vs democrats']), ('meal', ['American/economics/health', 'Border/community/family']), ('expense', ['American/economics/health']), ('heal', ['War', 'Election/debate']), ('background', ['American/economics/health', 'Abortion/rights/guns']), ('depression', ['Election/debate']), ('retweet', ['American/economics/health', 'Abortion/rights/guns']), ('quo', ['War', 'Abortion/rights/guns']), ('diagnosed', ['American/economics/health']), ('diagnosis', ['American/economics/health', 'War']), ('piling', ['Infrastructure/job/energy']), ('friendship', ['Border/community/family', 'Abortion/rights/guns']), ('holistic', ['Republicans vs democrats']), ('rent', ['American/economics/health']), ('survival', ['Abortion/rights/guns', 'Border/community/family']), ('symptom', ['American/economics/health', 'War']), ('manual', ['American/economics/health']), ('conscious', ['War']), ('pushback', ['Infrastructure/job/energy']), ('medicated', ['Abortion/rights/guns']), ('surviving', ['News/radio/livestream']), ('daycare', ['American/economics/health']), ('bipolar', ['American/economics/health']), ('therapist', ['Election/debate']), ('bandage', ['American/economics/health']), ('bpd', ['American/economics/health']), ('diagnostic', ['American/economics/health']), ('emotionally', ['Election/debate']), ('gad', ['American/economics/health']), ('hierarchy', ['American/economics/health']), ('intimacy', ['Abortion/rights/guns']), ('maslow', ['American/economics/health']), ('neglected', ['Republicans vs democrats']), ('socioeconomic', ['War'])]"
VivekGRamaswamy,2023-09-02 03:46:39+00:00,1,American/economics/health,0.43668014,neutral,0.5442109704017639,"{'neutral': 0.5442109704017639, 'positive': 0.44557690620422363, 'negative': 0.010212180204689503}",optimism,0.5293742418289185,"{'optimism': 0.5293742418289185, 'anticipation': 0.36256149411201477, 'trust': 0.047401826828718185, 'joy': 0.023990072309970856, 'pessimism': 0.007080564741045237, 'fear': 0.0066324807703495026, 'anger': 0.006214283872395754, 'disgust': 0.005665040574967861, 'surprise': 0.00532018905505538, 'sadness': 0.0038282317109405994, 'love': 0.001931559294462204}",6.0,Election/debate,0.34014037,"One of the goals of my candidacy for President of the United States is to close the gap between what people are willing to say behind closed doors versus what they say in public. 🇺🇸 📍Hampton, New Hampshire https://t.co/qp6GTSt3jz",goal candidacy president united state close gap people willing closed door versus public hampton hampshire,"[('state', [6, 1]), ('united', [1, 6]), ('people', [1, 6]), ('president', [1, 6]), ('close', [6, 1]), ('door', [6, 1]), ('public', [1, 4]), ('closed', [1, 6]), ('hampshire', [6, 1]), ('willing', [1, 4]), ('gap', [1, 6]), ('goal', [6, 1]), ('candidacy', [6, 4]), ('versus', [4]), ('hampton', [1])]","[('state', ['Election/debate', 'American/economics/health']), ('united', ['American/economics/health', 'Election/debate']), ('people', ['American/economics/health', 'Election/debate']), ('president', ['American/economics/health', 'Election/debate']), ('close', ['Election/debate', 'American/economics/health']), ('door', ['Election/debate', 'American/economics/health']), ('public', ['American/economics/health', 'Republicans vs democrats']), ('closed', ['American/economics/health', 'Election/debate']), ('hampshire', ['Election/debate', 'American/economics/health']), ('willing', ['American/economics/health', 'Republicans vs democrats']), ('gap', ['American/economics/health', 'Election/debate']), ('goal', ['Election/debate', 'American/economics/health']), ('candidacy', ['Election/debate', 'Republicans vs democrats']), ('versus', ['Republicans vs democrats']), ('hampton', ['American/economics/health'])]"
