username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
TexasGeema,2023-09-13 00:20:44+00:00,3,News/radio/livestream,0.1250479,neutral,0.9252026677131652,"{'neutral': 0.9252026677131653, 'negative': 0.039312973618507385, 'positive': 0.03548440337181091}",anticipation,0.4814226031303406,"{'anticipation': 0.4814226031303406, 'disgust': 0.15186044573783875, 'anger': 0.12189416587352753, 'optimism': 0.06666358560323715, 'joy': 0.05479522421956062, 'sadness': 0.037025775760412216, 'surprise': 0.033127523958683014, 'pessimism': 0.023655874654650688, 'trust': 0.018358293920755386, 'fear': 0.007839253172278404, 'love': 0.0033572225365787745}",not-hate,0.9959404468536376,"{'not-hate': 0.9959404468536377, 'hate': 0.0040595983155071735}",non-offensive,0.9148396253585817,"{'non-offensive': 0.9148396253585815, 'offensive': 0.08516038954257965}",2.0,War,0.12500727,Conservatorship over @JoeBiden and @LeaderMcConnell #LibertarianParty #USPolitics,conservatorship,"[('conservatorship', [])]","[('conservatorship', [])]"
AndrewYang,2023-09-13 00:30:12+00:00,3,News/radio/livestream,0.3750082,positive,0.9857622385025024,"{'positive': 0.9857622385025024, 'neutral': 0.01094498299062252, 'negative': 0.003292790846899152}",joy,0.901132106781006,"{'joy': 0.9011321067810059, 'love': 0.05432058125734329, 'optimism': 0.041369445621967316, 'trust': 0.001431213109754026, 'surprise': 0.00044998867087997496, 'anticipation': 0.00042165102786384523, 'sadness': 0.00022383860778063536, 'anger': 0.0001973632606677711, 'disgust': 0.00018523895414546132, 'fear': 0.0001485359825892374, 'pessimism': 0.00012004344171145931}",not-hate,0.9992438554763794,"{'not-hate': 0.9992438554763794, 'hate': 0.0007561110542155802}",non-offensive,0.9750300645828248,"{'non-offensive': 0.9750300645828247, 'offensive': 0.024969935417175293}",8.0,Infrastructure/job/energy,0.3747602,So glad you’re enjoying it!! 😀👍,glad enjoying,"[('enjoying', [3]), ('glad', [8])]","[('enjoying', ['News/radio/livestream']), ('glad', ['Infrastructure/job/energy'])]"
Jim_Jordan,2023-09-13 03:27:23+00:00,3,News/radio/livestream,0.42496896,positive,0.9655702710151672,"{'positive': 0.9655702710151672, 'neutral': 0.027086447924375534, 'negative': 0.007343215402215719}",joy,0.7684068083763123,"{'joy': 0.7684068083763123, 'optimism': 0.18843387067317963, 'love': 0.036358319222927094, 'trust': 0.004807245917618275, 'anticipation': 0.0006540872855111957, 'surprise': 0.00040128352702595294, 'anger': 0.0002295745798619464, 'fear': 0.00021233310690149665, 'sadness': 0.00019233458442613482, 'disgust': 0.00015248415002133697, 'pessimism': 0.00015157840971369296}",not-hate,0.9986143112182616,"{'not-hate': 0.9986143112182617, 'hate': 0.0013857274316251278}",non-offensive,0.9232037663459778,"{'non-offensive': 0.9232037663459778, 'offensive': 0.0767962709069252}",1.0,American/economics/health,0.42483556,God Bless America and our veterans! https://t.co/XDNjjTPiSB,god bless america veteran,"[('america', [1]), ('god', [3]), ('veteran', [1]), ('bless', [3])]","[('america', ['American/economics/health']), ('god', ['News/radio/livestream']), ('veteran', ['American/economics/health']), ('bless', ['News/radio/livestream'])]"
politico,2023-09-13 04:57:09+00:00,3,News/radio/livestream,0.58219504,neutral,0.8935204744338989,"{'neutral': 0.8935204744338989, 'positive': 0.09714917093515396, 'negative': 0.00933031365275383}",anticipation,0.5501325130462646,"{'anticipation': 0.5501325130462646, 'joy': 0.2713291645050049, 'optimism': 0.10514462739229202, 'surprise': 0.028395725414156914, 'trust': 0.02286657691001892, 'fear': 0.005945650860667229, 'disgust': 0.004022568464279175, 'love': 0.004007712937891483, 'anger': 0.0030452676583081484, 'pessimism': 0.00274214637465775, 'sadness': 0.0023680375888943672}",not-hate,0.9961963891983032,"{'not-hate': 0.9961963891983032, 'hate': 0.0038036121986806393}",non-offensive,0.8591380715370178,"{'non-offensive': 0.8591380715370178, 'offensive': 0.14086191356182098}",5.0,Border/community/family,0.3104112,Newsom to meet planners of futuristic California city https://t.co/Lc2k0srBUh,newsom meet planner futuristic california city,"[('city', [5]), ('newsom', [3]), ('california', [3, 5]), ('meet', [5]), ('futuristic', [3]), ('planner', [3])]","[('city', ['Border/community/family']), ('newsom', ['News/radio/livestream']), ('california', ['News/radio/livestream', 'Border/community/family']), ('meet', ['Border/community/family']), ('futuristic', ['News/radio/livestream']), ('planner', ['News/radio/livestream'])]"
ABDULWASAYPML_N,2023-09-13 07:27:12+00:00,3,News/radio/livestream,0.1250497,neutral,0.9376013875007628,"{'neutral': 0.9376013875007629, 'negative': 0.037717849016189575, 'positive': 0.024680746719241142}",anticipation,0.4128037095069885,"{'anticipation': 0.4128037095069885, 'optimism': 0.25877469778060913, 'joy': 0.2508869469165802, 'trust': 0.030206698924303055, 'surprise': 0.0146552212536335, 'sadness': 0.0063909487798810005, 'disgust': 0.006326035596430302, 'anger': 0.00564811285585165, 'fear': 0.005189587827771902, 'pessimism': 0.005059247836470604, 'love': 0.0040587931871414185}",not-hate,0.995479702949524,"{'not-hate': 0.9954797029495239, 'hate': 0.004520272836089134}",non-offensive,0.9357590079307556,"{'non-offensive': 0.9357590079307556, 'offensive': 0.06424100697040558}",7.0,Abortion/rights/guns,0.12500404,"#Politics #Election #USPolitics, #UKPolitics) #[PoliticalEvent] #PresidentialDebate, #MidtermElections #PoliticalParty #Government #Policy #Vote #Democracy #PoliticalOpinion #PublicPolicy #Campaign #PoliticalAnalysis #CurrentAffairs #PoliticalIssues https://t.co/Ns9JVUI9aM",politicalevent,"[('politicalevent', [])]","[('politicalevent', [])]"
laurenboebert,2023-09-13 23:36:32+00:00,3,News/radio/livestream,0.43990448,negative,0.8489059209823608,"{'negative': 0.8489059209823608, 'neutral': 0.13522930443286896, 'positive': 0.015864862129092216}",anger,0.7926623821258545,"{'anger': 0.7926623821258545, 'disgust': 0.19264020025730133, 'anticipation': 0.0032319328747689724, 'sadness': 0.003120759269222617, 'fear': 0.0022820434533059597, 'optimism': 0.0021165073849260807, 'pessimism': 0.0020250233355909586, 'joy': 0.0007817881996743381, 'trust': 0.0005225149216130376, 'surprise': 0.0004516953194979578, 'love': 0.00016516294272150844}",not-hate,0.9912697076797484,"{'not-hate': 0.9912697076797485, 'hate': 0.00873029325157404}",non-offensive,0.7214564085006714,"{'non-offensive': 0.7214564085006714, 'offensive': 0.2785435914993286}",2.0,War,0.25876284,The Constitution shall NOT be defied. This Governor should be removed.,constitution shall defied governor removed,"[('removed', [3]), ('constitution', [3, 2]), ('governor', [6]), ('shall', [2]), ('defied', [3, 6])]","[('removed', ['News/radio/livestream']), ('constitution', ['News/radio/livestream', 'War']), ('governor', ['Election/debate']), ('shall', ['War']), ('defied', ['News/radio/livestream', 'Election/debate'])]"
larryelder,2023-09-14 13:50:01+00:00,3,News/radio/livestream,0.6883525,neutral,0.7496858835220337,"{'neutral': 0.7496858835220337, 'positive': 0.12944918870925903, 'negative': 0.12086492776870728}",disgust,0.4626890420913696,"{'disgust': 0.46268904209136963, 'anger': 0.3406285047531128, 'fear': 0.13193437457084656, 'sadness': 0.027416609227657318, 'pessimism': 0.016209572553634644, 'anticipation': 0.014149057678878307, 'surprise': 0.003095123451203108, 'optimism': 0.0021196056623011827, 'trust': 0.0007933076121844351, 'joy': 0.0007731722434982657, 'love': 0.00019152903405483812}",not-hate,0.995790421962738,"{'not-hate': 0.995790421962738, 'hate': 0.004209587350487709}",non-offensive,0.9096925258636476,"{'non-offensive': 0.9096925258636475, 'offensive': 0.09030739217996597}",2.0,War,0.18650927,Larry Elder to Newsmax: I Make the RNC 'Uncomfortable' https://t.co/tqleEtqHes #WeveGotACountryToSave,larry elder newsmax rnc uncomfortable,"[('larry', [3]), ('newsmax', [3]), ('rnc', [3]), ('uncomfortable', [2]), ('elder', [3])]","[('larry', ['News/radio/livestream']), ('newsmax', ['News/radio/livestream']), ('rnc', ['News/radio/livestream']), ('uncomfortable', ['War']), ('elder', ['News/radio/livestream'])]"
larryelder,2023-09-14 13:51:18+00:00,3,News/radio/livestream,0.5213285,neutral,0.7233297228813171,"{'neutral': 0.7233297228813171, 'negative': 0.1818874180316925, 'positive': 0.09478289633989334}",anger,0.6207336187362671,"{'anger': 0.6207336187362671, 'disgust': 0.3513127565383911, 'sadness': 0.02296442911028862, 'pessimism': 0.00260020955465734, 'fear': 0.0006735611823387444, 'anticipation': 0.0006419074488803744, 'joy': 0.0003496889548841864, 'surprise': 0.00029262754833325744, 'optimism': 0.0002511943457648158, 'trust': 9.449759090784937e-05, 'love': 8.549782069167122e-05}",not-hate,0.9944434762001038,"{'not-hate': 0.9944434762001038, 'hate': 0.00555649446323514}",non-offensive,0.7594453692436218,"{'non-offensive': 0.7594453692436218, 'offensive': 0.2405546009540558}",7.0,Abortion/rights/guns,0.18760307,Elder to Newsmax: Two Tiers of Justice 'Sickening' https://t.co/NOC4DgYMpr #TwoTieredJustice #WeveGotACountryToSave,elder newsmax tier justice sickening,"[('justice', [7]), ('tier', [3]), ('newsmax', [3]), ('elder', [3]), ('sickening', [2])]","[('justice', ['Abortion/rights/guns']), ('tier', ['News/radio/livestream']), ('newsmax', ['News/radio/livestream']), ('elder', ['News/radio/livestream']), ('sickening', ['War'])]"
TheDemCoalition,2023-09-14 15:26:13+00:00,3,News/radio/livestream,0.12504987,neutral,0.898196280002594,"{'neutral': 0.898196280002594, 'positive': 0.07561046630144119, 'negative': 0.026193249970674515}",anticipation,0.7012854218482971,"{'anticipation': 0.7012854218482971, 'optimism': 0.07051096111536026, 'joy': 0.06110988184809685, 'disgust': 0.039709534496068954, 'surprise': 0.03833848610520363, 'anger': 0.02886856533586979, 'trust': 0.020436644554138184, 'fear': 0.013030490837991238, 'pessimism': 0.012423203326761723, 'sadness': 0.011727973818778992, 'love': 0.002558829030022025}",not-hate,0.9893195629119872,"{'not-hate': 0.9893195629119873, 'hate': 0.010680408217012882}",non-offensive,0.9372472167015076,"{'non-offensive': 0.9372472167015076, 'offensive': 0.06275281310081482}",7.0,Abortion/rights/guns,0.12500402,RT @SergeantAqGo: They knew…they all did. https://t.co/zWvqyGQWMq,knewthey,"[('knewthey', [])]","[('knewthey', [])]"
VivekGRamaswamy,2023-09-14 18:45:37+00:00,3,News/radio/livestream,0.56911296,neutral,0.8192795515060425,"{'neutral': 0.8192795515060425, 'positive': 0.17760449647903442, 'negative': 0.0031159513164311647}",joy,0.4611017405986786,"{'joy': 0.4611017405986786, 'anticipation': 0.36019331216812134, 'optimism': 0.11009970307350159, 'surprise': 0.017256785184144974, 'trust': 0.015346135944128036, 'sadness': 0.009688897989690304, 'disgust': 0.00878798309713602, 'anger': 0.00595057150349021, 'love': 0.004847996402531862, 'pessimism': 0.004717682022601366, 'fear': 0.00200924021191895}",not-hate,0.998678982257843,"{'not-hate': 0.998678982257843, 'hate': 0.0013210494071245193}",non-offensive,0.895444393157959,"{'non-offensive': 0.895444393157959, 'offensive': 0.10455559194087982}",6.0,Election/debate,0.34736857,"E pluribus unum. Kicking off the day at 7 Hills Brewing Co in Dubuque, Iowa. https://t.co/eXDcwJuusQ", pluribus unum kicking day hill brewing  dubuque iowa,"[('day', [6]), ('kicking', [3]), ('iowa', [6]), ('hill', [6]), ('brewing', [3]), ('pluribus', [3]), ('unum', [3]), ('dubuque', [3])]","[('day', ['Election/debate']), ('kicking', ['News/radio/livestream']), ('iowa', ['Election/debate']), ('hill', ['Election/debate']), ('brewing', ['News/radio/livestream']), ('pluribus', ['News/radio/livestream']), ('unum', ['News/radio/livestream']), ('dubuque', ['News/radio/livestream'])]"
