username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
WashTimesOpEd,2023-09-22 00:05:03+00:00,2,War,0.87470746,neutral,0.8047166466712952,"{'neutral': 0.8047166466712952, 'positive': 0.09928048402070999, 'negative': 0.09600281715393066}",optimism,0.3784404695034027,"{'optimism': 0.3784404695034027, 'anger': 0.33764752745628357, 'disgust': 0.11825702339410782, 'anticipation': 0.051908716559410095, 'fear': 0.04691050201654434, 'trust': 0.03804636001586914, 'pessimism': 0.010345927439630032, 'joy': 0.007141634356230497, 'sadness': 0.005327061749994755, 'surprise': 0.003728348296135664, 'love': 0.002246401971206069}",1.0,American/economics/health,0.017926011,Don't let the communists turn America into China. Learn more from @ckchumley and @billgertz on #boldandblunt: https://t.co/Eme2YrXB3s,let communist turn america china learn,"[('let', [2]), ('america', [2]), ('china', [2]), ('communist', [2]), ('turn', [2]), ('learn', [2])]","[('let', ['War']), ('america', ['War']), ('china', ['War']), ('communist', ['War']), ('turn', ['War']), ('learn', ['War'])]"
verity2x2,2023-09-22 00:08:43+00:00,2,War,0.562352,neutral,0.8271219730377197,"{'neutral': 0.8271219730377197, 'positive': 0.1182222068309784, 'negative': 0.05465581640601158}",anticipation,0.3403429985046386,"{'anticipation': 0.34034299850463867, 'joy': 0.20182766020298004, 'disgust': 0.11763007938861847, 'anger': 0.09069757908582687, 'optimism': 0.07805521786212921, 'surprise': 0.07366222888231277, 'sadness': 0.043161917477846146, 'trust': 0.020361939445137978, 'pessimism': 0.018964191898703575, 'love': 0.008192307315766811, 'fear': 0.007103922311216593}",6.0,Election/debate,0.062543556,@acnewsitics Accurate https://t.co/9D9EZPUySD,accurate,"[('accurate', [2])]","[('accurate', ['War'])]"
BrendaPerrott,2023-09-22 00:08:58+00:00,2,War,0.51430136,negative,0.9189419150352478,"{'negative': 0.9189419150352478, 'neutral': 0.07226739823818207, 'positive': 0.008790608495473862}",anger,0.7457634806632996,"{'anger': 0.7457634806632996, 'disgust': 0.24754099547863007, 'fear': 0.002472288440912962, 'sadness': 0.0021495814435184, 'pessimism': 0.0007858917233534157, 'anticipation': 0.0004599633684847504, 'optimism': 0.00029165088199079037, 'surprise': 0.00019095784227829427, 'joy': 0.00016382818284910172, 'trust': 0.00010644167196005583, 'love': 7.496625039493665e-05}",4.0,Republicans vs democrats,0.28278065,"@Mollyploofkins It is part of dismantling everything for #Putin and making us more vulnerable. Probably gives them time to think up new grifts. Hard to convey how much I detest them all. #Hate is defined as ""extreme dislike."" That's too pale a description of how detestable #Republicans are.",dismantling making vulnerable probably give time think grifts hard convey detest defined extreme dislike pale description detestable,"[('making', [1, 2]), ('time', [2, 4]), ('think', [2, 4]), ('hard', [1, 2]), ('vulnerable', [2, 1]), ('description', [4]), ('extreme', [1, 4]), ('give', [4, 1]), ('probably', [2]), ('defined', [4]), ('dislike', [4]), ('dismantling', [2]), ('pale', [2]), ('convey', [2]), ('detest', [2]), ('detestable', [2]), ('grifts', [2])]","[('making', ['American/economics/health', 'War']), ('time', ['War', 'Republicans vs democrats']), ('think', ['War', 'Republicans vs democrats']), ('hard', ['American/economics/health', 'War']), ('vulnerable', ['War', 'American/economics/health']), ('description', ['Republicans vs democrats']), ('extreme', ['American/economics/health', 'Republicans vs democrats']), ('give', ['Republicans vs democrats', 'American/economics/health']), ('probably', ['War']), ('defined', ['Republicans vs democrats']), ('dislike', ['Republicans vs democrats']), ('dismantling', ['War']), ('pale', ['War']), ('convey', ['War']), ('detest', ['War']), ('detestable', ['War']), ('grifts', ['War'])]"
middleageriot,2023-09-22 00:26:19+00:00,2,War,0.53199583,negative,0.9188246130943298,"{'negative': 0.9188246130943298, 'neutral': 0.0750700905919075, 'positive': 0.00610524183139205}",disgust,0.4953266382217407,"{'disgust': 0.4953266382217407, 'anger': 0.46136584877967834, 'fear': 0.0214734748005867, 'sadness': 0.017976704984903336, 'pessimism': 0.0023780041374266148, 'anticipation': 0.000502774550113827, 'surprise': 0.0004762407625094056, 'optimism': 0.00015346163127105683, 'joy': 0.00013626828149426728, 'trust': 0.00011118350812466815, 'love': 9.93644425761886e-05}",1.0,American/economics/health,0.18853195,"Donald Trump didn't want to wear a mask because it might smudge his makeup, so the Republican Party helped him kill a million Americans. That's the GOP in a nutshell.",donald trump want wear mask smudge makeup republican party helped kill million american gop nutshell,"[('american', [1, 2]), ('million', [1, 4]), ('donald', [4, 2]), ('trump', [4, 2]), ('kill', [2, 1]), ('republican', [1, 2]), ('party', [2, 4]), ('gop', [2, 4]), ('want', [2, 1]), ('wear', [2, 4]), ('helped', [1, 4]), ('mask', [2, 4]), ('makeup', [7]), ('nutshell', [2]), ('smudge', [2])]","[('american', ['American/economics/health', 'War']), ('million', ['American/economics/health', 'Republicans vs democrats']), ('donald', ['Republicans vs democrats', 'War']), ('trump', ['Republicans vs democrats', 'War']), ('kill', ['War', 'American/economics/health']), ('republican', ['American/economics/health', 'War']), ('party', ['War', 'Republicans vs democrats']), ('gop', ['War', 'Republicans vs democrats']), ('want', ['War', 'American/economics/health']), ('wear', ['War', 'Republicans vs democrats']), ('helped', ['American/economics/health', 'Republicans vs democrats']), ('mask', ['War', 'Republicans vs democrats']), ('makeup', ['Abortion/rights/guns']), ('nutshell', ['War']), ('smudge', ['War'])]"
Chris___Lopez,2023-09-22 00:28:20+00:00,2,War,0.739196,negative,0.9310190081596376,"{'negative': 0.9310190081596375, 'neutral': 0.06220085918903351, 'positive': 0.0067801219411194324}",anger,0.7428792715072632,"{'anger': 0.7428792715072632, 'disgust': 0.25097712874412537, 'sadness': 0.003858767217025161, 'pessimism': 0.0006955114076845348, 'fear': 0.00045041253906674683, 'anticipation': 0.0003993789432570338, 'joy': 0.0002494020154699683, 'surprise': 0.00018969704979099333, 'optimism': 0.00015784330025780946, 'trust': 7.525813271058723e-05, 'love': 6.739138189004734e-05}",8.0,Infrastructure/job/energy,0.19249345,There is so much infighting going on in the @gop party that they have no clue what they R doing. They cant stop kissing #Trump ass all the time they cant remember what their job is supposed to be. @HouseGOP @SenateGOP @gop #TrumpIsACriminal #Republicans https://t.co/gXWPCrsaMP,infighting going party clue  stop kissing  time remember job supposed,"[('job', [8, 2]), ('time', [2, 8]), ('going', [2, 8]), ('party', [2]), ('stop', [2, 8]), ('remember', [2, 8]), ('supposed', [2]), ('clue', [8]), ('kissing', [2]), ('infighting', [2])]","[('job', ['Infrastructure/job/energy', 'War']), ('time', ['War', 'Infrastructure/job/energy']), ('going', ['War', 'Infrastructure/job/energy']), ('party', ['War']), ('stop', ['War', 'Infrastructure/job/energy']), ('remember', ['War', 'Infrastructure/job/energy']), ('supposed', ['War']), ('clue', ['Infrastructure/job/energy']), ('kissing', ['War']), ('infighting', ['War'])]"
Kcxiv,2023-09-22 00:56:00+00:00,2,War,0.5610485,negative,0.6833494305610657,"{'negative': 0.6833494305610657, 'neutral': 0.2813892662525177, 'positive': 0.03526127710938454}",anger,0.7208032608032227,"{'anger': 0.7208032608032227, 'disgust': 0.22680121660232544, 'joy': 0.04044400155544281, 'optimism': 0.003119072178378701, 'surprise': 0.002189353108406067, 'anticipation': 0.002139582298696041, 'sadness': 0.0021240327041596174, 'love': 0.0007738230633549392, 'pessimism': 0.0007618010276928544, 'trust': 0.0005135781248100102, 'fear': 0.0003303374396637082}",6.0,Election/debate,0.21305422,"So, i see #ProtectOurVotingRights trending, click on the trend to casually scroll through it. Guess what? you see no damned #Republicans #Conservatives or even #Maga (they are their own batshit thing) talking about it. They really dont care about it. lol",trending click trend casually scroll guess damned batshit thing talking care,"[('thing', [2, 6]), ('care', [2, 4]), ('trend', [6, 4]), ('talking', [2, 6]), ('guess', [2, 6]), ('trending', [4]), ('click', [6, 4]), ('scroll', [2]), ('damned', [2]), ('batshit', [2]), ('casually', [2])]","[('thing', ['War', 'Election/debate']), ('care', ['War', 'Republicans vs democrats']), ('trend', ['Election/debate', 'Republicans vs democrats']), ('talking', ['War', 'Election/debate']), ('guess', ['War', 'Election/debate']), ('trending', ['Republicans vs democrats']), ('click', ['Election/debate', 'Republicans vs democrats']), ('scroll', ['War']), ('damned', ['War']), ('batshit', ['War']), ('casually', ['War'])]"
Jim_Oberst,2023-09-22 01:01:19+00:00,2,War,0.85386777,positive,0.5238873958587646,"{'positive': 0.5238873958587646, 'neutral': 0.4114472270011902, 'negative': 0.0646652802824974}",anger,0.6969172358512878,"{'anger': 0.6969172358512878, 'disgust': 0.23596404492855072, 'optimism': 0.028324121609330177, 'anticipation': 0.018272945657372475, 'pessimism': 0.00565317552536726, 'sadness': 0.005021482706069946, 'joy': 0.003451749449595809, 'trust': 0.0029593005310744047, 'fear': 0.0016457404708489776, 'surprise': 0.001361487782560289, 'love': 0.0004287360643502325}",5.0,Border/community/family,0.020901056,@NoLieWithBTC #Republicans can't stop the world from backing those 2 great words #SlavaUrine https://t.co/fz4dZhmhPZ,stop world backing great word,"[('world', [2]), ('great', [2]), ('stop', [2]), ('word', [2]), ('backing', [2])]","[('world', ['War']), ('great', ['War']), ('stop', ['War']), ('word', ['War']), ('backing', ['War'])]"
suenosdeuomi,2023-09-22 01:03:17+00:00,2,War,0.5310613,neutral,0.7843813300132751,"{'neutral': 0.7843813300132751, 'positive': 0.13736292719841003, 'negative': 0.07825571298599243}",anticipation,0.3345090448856354,"{'anticipation': 0.3345090448856354, 'anger': 0.31706276535987854, 'disgust': 0.16418756544589996, 'optimism': 0.09191011637449265, 'trust': 0.026084380224347115, 'pessimism': 0.01913951337337494, 'surprise': 0.014223538339138031, 'fear': 0.012459785677492619, 'sadness': 0.009548577480018139, 'joy': 0.008919334039092064, 'love': 0.0019554044120013714}",3.0,News/radio/livestream,0.28112948,Not all #Republicans object to US support of Ukraine!,object support ukraine,"[('support', [2]), ('ukraine', [2]), ('object', [3])]","[('support', ['War']), ('ukraine', ['War']), ('object', ['News/radio/livestream'])]"
Elwoodsy,2023-09-22 01:09:38+00:00,2,War,0.7080265,negative,0.949874222278595,"{'negative': 0.949874222278595, 'neutral': 0.04255577549338341, 'positive': 0.007570057641714811}",anger,0.5847173929214478,"{'anger': 0.5847173929214478, 'disgust': 0.3995702862739563, 'sadness': 0.009761488065123558, 'fear': 0.003707918804138899, 'pessimism': 0.0010641408152878284, 'surprise': 0.0004595768987201154, 'anticipation': 0.0003126784577034414, 'joy': 0.00014091291814111173, 'love': 9.771565237315372e-05, 'optimism': 8.974917000159621e-05, 'trust': 7.808370719430968e-05}",5.0,Border/community/family,0.041730475,That is disgusting in so many ways 🤬🤬🤬,disgusting way,"[('way', [2]), ('disgusting', [2])]","[('way', ['War']), ('disgusting', ['War'])]"
CCGarriseauxn,2023-09-22 01:18:38+00:00,2,War,0.4191721,negative,0.717422366142273,"{'negative': 0.717422366142273, 'neutral': 0.2283773273229599, 'positive': 0.05420026183128357}",anger,0.5347996354103088,"{'anger': 0.5347996354103088, 'disgust': 0.27094367146492004, 'anticipation': 0.061875853687524796, 'joy': 0.05380826070904732, 'optimism': 0.051564209163188934, 'sadness': 0.008228728547692299, 'surprise': 0.006005825009196997, 'pessimism': 0.005785066168755293, 'trust': 0.004479583818465471, 'fear': 0.001482744817622006, 'love': 0.001026488607749343}",7.0,Abortion/rights/guns,0.39263844,You CAN'T spell GROPE without GOP!!! 👇🏾⤵️🎯👇🏾⤵️🎯👇🏾⤵️🎯👇🏾⤵️🎯👇🏾⤵️🎯 #GOP #GropersOnParade #Republicans,spell grope gop,"[('gop', [2, 7]), ('spell', [7]), ('grope', [2])]","[('gop', ['War', 'Abortion/rights/guns']), ('spell', ['Abortion/rights/guns']), ('grope', ['War'])]"
