username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,all_sentiments,emotion,emotion_prob,all_emotions,hate,hate_prob,all_hate,offensive,offensive_prob,all_offensive,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
SenWarren,2023-10-05 00:02:27+00:00,8,Infrastructure/job/energy,0.33892813,negative,0.8342320919036865,"{'negative': 0.8342320919036865, 'neutral': 0.15778128802776337, 'positive': 0.007986657321453094}",anger,0.6916525959968567,"{'anger': 0.6916525959968567, 'disgust': 0.29865288734436035, 'fear': 0.0023038391955196857, 'anticipation': 0.0020494130440056324, 'sadness': 0.001896002795547247, 'pessimism': 0.0013212774647399783, 'surprise': 0.0008853143081068993, 'optimism': 0.000610843300819397, 'trust': 0.00029131019255146384, 'joy': 0.0002360374346608296, 'love': 0.00010051648132503033}",not-hate,0.9815463423728944,"{'not-hate': 0.9815463423728943, 'hate': 0.01845364272594452}",non-offensive,0.8363916277885437,"{'non-offensive': 0.8363916277885437, 'offensive': 0.1636084020137787}",1.0,American/economics/health,0.2387836,.@TheJusticeDept is going to reward giant corporations for buying companies that break the law? Deputy AG Lisa Monaco needs to reverse this plan that clearly contradicts the Biden administration's policy to enforce antitrust laws and promote competition. https://t.co/0rzqtFPFT8,going reward giant corporation buying company break law deputy  lisa monaco need reverse plan clearly contradicts biden administration  policy enforce antitrust law promote competition,"[('biden', [4, 1]), ('administration', [1, 8]), ('law', [8, 1]), ('deputy', [8, 4]), ('clearly', [4, 2]), ('going', [4, 1]), ('need', [1, 8]), ('break', [1, 4]), ('plan', [1, 8]), ('company', [8, 1]), ('policy', [1, 4]), ('enforce', [4, 5]), ('contradicts', [4]), ('buying', [8, 1]), ('giant', [1, 8]), ('competition', [8, 1]), ('corporation', [1, 8]), ('promote', [8, 1]), ('reverse', [8, 4]), ('antitrust', [8]), ('lisa', [3]), ('reward', [5]), ('monaco', [2])]","[('biden', ['Republicans vs democrats', 'American/economics/health']), ('administration', ['American/economics/health', 'Infrastructure/job/energy']), ('law', ['Infrastructure/job/energy', 'American/economics/health']), ('deputy', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('clearly', ['Republicans vs democrats', 'War']), ('going', ['Republicans vs democrats', 'American/economics/health']), ('need', ['American/economics/health', 'Infrastructure/job/energy']), ('break', ['American/economics/health', 'Republicans vs democrats']), ('plan', ['American/economics/health', 'Infrastructure/job/energy']), ('company', ['Infrastructure/job/energy', 'American/economics/health']), ('policy', ['American/economics/health', 'Republicans vs democrats']), ('enforce', ['Republicans vs democrats', 'Border/community/family']), ('contradicts', ['Republicans vs democrats']), ('buying', ['Infrastructure/job/energy', 'American/economics/health']), ('giant', ['American/economics/health', 'Infrastructure/job/energy']), ('competition', ['Infrastructure/job/energy', 'American/economics/health']), ('corporation', ['American/economics/health', 'Infrastructure/job/energy']), ('promote', ['Infrastructure/job/energy', 'American/economics/health']), ('reverse', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('antitrust', ['Infrastructure/job/energy']), ('lisa', ['News/radio/livestream']), ('reward', ['Border/community/family']), ('monaco', ['War'])]"
JamesJJRyan,2023-10-05 00:33:14+00:00,8,Infrastructure/job/energy,0.5151462,neutral,0.6294105052947998,"{'neutral': 0.6294105052947998, 'negative': 0.3420938551425934, 'positive': 0.02849559672176838}",disgust,0.276928186416626,"{'disgust': 0.276928186416626, 'anticipation': 0.20630866289138794, 'anger': 0.15740957856178284, 'pessimism': 0.10600998997688293, 'sadness': 0.10538613051176071, 'optimism': 0.08334201574325562, 'fear': 0.03623829409480095, 'trust': 0.011705128476023674, 'surprise': 0.010318700224161148, 'joy': 0.005114831496030092, 'love': 0.001238510012626648}",not-hate,0.9976089000701904,"{'not-hate': 0.9976089000701904, 'hate': 0.0023910505697131157}",non-offensive,0.8694526553153992,"{'non-offensive': 0.8694526553153992, 'offensive': 0.13054735958576202}",6.0,Election/debate,0.44066387,In the United States Urban and Suburban voters are increasingly voting Democrat while Rural voters are increasingly voting Republican. This is the real divide in America. #USpoli #uspolitics https://t.co/ULjH7chujh,united state urban suburban voter increasingly voting democrat rural voter increasingly voting republican real divide america,"[('state', [8, 6]), ('united', [8, 6]), ('increasingly', [8]), ('america', [8, 6]), ('republican', [6]), ('real', [8, 6]), ('democrat', [6, 8]), ('voting', [6]), ('divide', [8]), ('voter', [6]), ('urban', [8]), ('rural', [8, 6]), ('suburban', [8])]","[('state', ['Infrastructure/job/energy', 'Election/debate']), ('united', ['Infrastructure/job/energy', 'Election/debate']), ('increasingly', ['Infrastructure/job/energy']), ('america', ['Infrastructure/job/energy', 'Election/debate']), ('republican', ['Election/debate']), ('real', ['Infrastructure/job/energy', 'Election/debate']), ('democrat', ['Election/debate', 'Infrastructure/job/energy']), ('voting', ['Election/debate']), ('divide', ['Infrastructure/job/energy']), ('voter', ['Election/debate']), ('urban', ['Infrastructure/job/energy']), ('rural', ['Infrastructure/job/energy', 'Election/debate']), ('suburban', ['Infrastructure/job/energy'])]"
VivekGRamaswamy,2023-10-05 00:36:23+00:00,8,Infrastructure/job/energy,0.40682364,negative,0.8855666518211365,"{'negative': 0.8855666518211365, 'neutral': 0.10719083994626999, 'positive': 0.007242528721690178}",anger,0.5651404857635498,"{'anger': 0.5651404857635498, 'disgust': 0.38163983821868896, 'fear': 0.025744536891579628, 'sadness': 0.007203675340861082, 'anticipation': 0.007115453016012907, 'pessimism': 0.005566433072090149, 'optimism': 0.004685395862907171, 'surprise': 0.0010975595796480775, 'joy': 0.0008797252085059881, 'trust': 0.0007474203011952341, 'love': 0.00017954267968889326}",hate,0.991675615310669,"{'hate': 0.991675615310669, 'not-hate': 0.008324402384459972}",non-offensive,0.7608577013015747,"{'non-offensive': 0.7608577013015747, 'offensive': 0.23914232850074768}",2.0,War,0.31728873,"We can’t depend on our enemy for our way of life. Gotion: China-owned, US taxpayer-funded battery maker in Michigan pledges allegiance to the CCP. The disastrous @GovWhitmer is aiding them. Shut it down: stop this plant now. Live-streaming our protest rally on @X.",depend enemy way life gotion china owned taxpayer funded battery maker michigan pledge allegiance ccp disastrous aiding shut stop plant live streaming protest rally,"[('way', [8, 2]), ('taxpayer', [8, 4]), ('protest', [2, 4]), ('china', [2, 8]), ('life', [8, 2]), ('michigan', [8, 6]), ('rally', [6, 2]), ('owned', [8, 6]), ('enemy', [2, 4]), ('shut', [2, 4]), ('stop', [2, 8]), ('live', [6, 8]), ('funded', [8, 4]), ('disastrous', [2, 4]), ('ccp', [8, 2]), ('plant', [8]), ('allegiance', [2]), ('pledge', [6, 8]), ('battery', [8]), ('depend', [8, 2]), ('maker', [3]), ('gotion', [8]), ('streaming', [6]), ('aiding', [4])]","[('way', ['Infrastructure/job/energy', 'War']), ('taxpayer', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('protest', ['War', 'Republicans vs democrats']), ('china', ['War', 'Infrastructure/job/energy']), ('life', ['Infrastructure/job/energy', 'War']), ('michigan', ['Infrastructure/job/energy', 'Election/debate']), ('rally', ['Election/debate', 'War']), ('owned', ['Infrastructure/job/energy', 'Election/debate']), ('enemy', ['War', 'Republicans vs democrats']), ('shut', ['War', 'Republicans vs democrats']), ('stop', ['War', 'Infrastructure/job/energy']), ('live', ['Election/debate', 'Infrastructure/job/energy']), ('funded', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('disastrous', ['War', 'Republicans vs democrats']), ('ccp', ['Infrastructure/job/energy', 'War']), ('plant', ['Infrastructure/job/energy']), ('allegiance', ['War']), ('pledge', ['Election/debate', 'Infrastructure/job/energy']), ('battery', ['Infrastructure/job/energy']), ('depend', ['Infrastructure/job/energy', 'War']), ('maker', ['News/radio/livestream']), ('gotion', ['Infrastructure/job/energy']), ('streaming', ['Election/debate']), ('aiding', ['Republicans vs democrats'])]"
rickhasen,2023-10-05 01:48:18+00:00,8,Infrastructure/job/energy,0.31447217,neutral,0.5773285031318665,"{'neutral': 0.5773285031318665, 'negative': 0.4137759208679199, 'positive': 0.008895563893020153}",anticipation,0.6705065369606018,"{'anticipation': 0.6705065369606018, 'fear': 0.08089349418878555, 'disgust': 0.05029723420739174, 'optimism': 0.03965220972895622, 'surprise': 0.03652903065085411, 'sadness': 0.031239541247487068, 'pessimism': 0.030136287212371826, 'anger': 0.02325364388525486, 'joy': 0.021077826619148254, 'trust': 0.014331426471471786, 'love': 0.00208281516097486}",not-hate,0.9981043338775636,"{'not-hate': 0.9981043338775635, 'hate': 0.0018956457497552037}",non-offensive,0.9162760376930236,"{'non-offensive': 0.9162760376930237, 'offensive': 0.08372393995523453}",6.0,Election/debate,0.28873408,"#ELB: “Arizona recount law could delay certifying 2024 election, officials say” https://t.co/lOQSKv3Fsc",arizona recount law delay certifying election official,"[('official', [8, 6]), ('law', [8, 1]), ('election', [6, 2]), ('arizona', [6, 8]), ('delay', [8]), ('recount', [1]), ('certifying', [2])]","[('official', ['Infrastructure/job/energy', 'Election/debate']), ('law', ['Infrastructure/job/energy', 'American/economics/health']), ('election', ['Election/debate', 'War']), ('arizona', ['Election/debate', 'Infrastructure/job/energy']), ('delay', ['Infrastructure/job/energy']), ('recount', ['American/economics/health']), ('certifying', ['War'])]"
McAleerJim,2023-10-05 01:54:35+00:00,8,Infrastructure/job/energy,0.8905021,positive,0.91856586933136,"{'positive': 0.9185658693313599, 'neutral': 0.0728384256362915, 'negative': 0.008595775812864304}",optimism,0.8482340574264526,"{'optimism': 0.8482340574264526, 'joy': 0.04600730538368225, 'anticipation': 0.03294244408607483, 'fear': 0.02811039425432682, 'sadness': 0.01539767999202013, 'trust': 0.009306419640779495, 'pessimism': 0.00835684034973383, 'disgust': 0.005253450945019722, 'anger': 0.0036963841412216425, 'love': 0.0013738913694396615, 'surprise': 0.0013210945762693882}",not-hate,0.9991976618766784,"{'not-hate': 0.9991976618766785, 'hate': 0.0008023461559787393}",non-offensive,0.955621302127838,"{'non-offensive': 0.9556213021278381, 'offensive': 0.04437866061925888}",6.0,Election/debate,0.015653156,💙. Would appreciate the boost and support. Stuck just under 3k…..need the help. Thanks. #Biden2024,appreciate boost support stuck  need help thanks,"[('support', [8]), ('need', [8]), ('help', [8]), ('stuck', [8]), ('thanks', [8]), ('appreciate', [8]), ('boost', [8])]","[('support', ['Infrastructure/job/energy']), ('need', ['Infrastructure/job/energy']), ('help', ['Infrastructure/job/energy']), ('stuck', ['Infrastructure/job/energy']), ('thanks', ['Infrastructure/job/energy']), ('appreciate', ['Infrastructure/job/energy']), ('boost', ['Infrastructure/job/energy'])]"
iluminatibot,2023-10-05 02:04:19+00:00,8,Infrastructure/job/energy,0.39219677,neutral,0.8788191080093384,"{'neutral': 0.8788191080093384, 'positive': 0.07438503205776215, 'negative': 0.04679581895470619}",anticipation,0.3865702152252197,"{'anticipation': 0.3865702152252197, 'optimism': 0.22408360242843628, 'disgust': 0.14694444835186005, 'anger': 0.10578946769237518, 'sadness': 0.03492463380098343, 'pessimism': 0.03104490041732788, 'joy': 0.03044854663312435, 'trust': 0.01944882795214653, 'surprise': 0.013201511465013027, 'fear': 0.005863643251359463, 'love': 0.0016801479505375028}",not-hate,0.997032880783081,"{'not-hate': 0.997032880783081, 'hate': 0.002967102685943246}",non-offensive,0.9207842946052552,"{'non-offensive': 0.9207842946052551, 'offensive': 0.07921575754880905}",6.0,Election/debate,0.26536715,"""You will use an app like uber but not anymore to call some driver"" ""A self driving car will come to your hotel or wherever you are"" By 2030 there will be no more private cars. Highways will become parks” -Klaus Schwab World Economic Forum https://t.co/zoNDHyErpD",use app like uber anymore driver self driving car come hotel private car highway park klaus schwab world economic forum,"[('come', [6, 8]), ('world', [8, 5]), ('like', [6, 8]), ('use', [8, 6]), ('hotel', [5, 3]), ('car', [8]), ('driver', [3, 5]), ('driving', [8, 5]), ('self', [3, 6]), ('private', [8]), ('anymore', [6, 8]), ('park', [8, 5]), ('app', [6, 5]), ('economic', [8, 6]), ('forum', [5, 3]), ('highway', [3]), ('uber', [3]), ('klaus', [6]), ('schwab', [6])]","[('come', ['Election/debate', 'Infrastructure/job/energy']), ('world', ['Infrastructure/job/energy', 'Border/community/family']), ('like', ['Election/debate', 'Infrastructure/job/energy']), ('use', ['Infrastructure/job/energy', 'Election/debate']), ('hotel', ['Border/community/family', 'News/radio/livestream']), ('car', ['Infrastructure/job/energy']), ('driver', ['News/radio/livestream', 'Border/community/family']), ('driving', ['Infrastructure/job/energy', 'Border/community/family']), ('self', ['News/radio/livestream', 'Election/debate']), ('private', ['Infrastructure/job/energy']), ('anymore', ['Election/debate', 'Infrastructure/job/energy']), ('park', ['Infrastructure/job/energy', 'Border/community/family']), ('app', ['Election/debate', 'Border/community/family']), ('economic', ['Infrastructure/job/energy', 'Election/debate']), ('forum', ['Border/community/family', 'News/radio/livestream']), ('highway', ['News/radio/livestream']), ('uber', ['News/radio/livestream']), ('klaus', ['Election/debate']), ('schwab', ['Election/debate'])]"
WashTimesOpEd,2023-10-05 02:05:06+00:00,8,Infrastructure/job/energy,0.8538888,neutral,0.8379068970680237,"{'neutral': 0.8379068970680237, 'positive': 0.14550401270389557, 'negative': 0.016589077189564705}",anticipation,0.5670923590660095,"{'anticipation': 0.5670923590660095, 'optimism': 0.1737169325351715, 'anger': 0.08198763430118561, 'disgust': 0.05706560239195824, 'trust': 0.04055304825305939, 'joy': 0.031473059207201004, 'surprise': 0.020054379478096962, 'pessimism': 0.011413694359362125, 'fear': 0.007669108919799328, 'sadness': 0.0062374332919716835, 'love': 0.002736666239798069}",not-hate,0.9970109462738036,"{'not-hate': 0.9970109462738037, 'hate': 0.0029890111181885004}",non-offensive,0.8494594097137451,"{'non-offensive': 0.8494594097137451, 'offensive': 0.15054062008857727}",1.0,American/economics/health,0.020905329,Ted Cruz puts FTC in its place https://t.co/uAs2rO34Fm,ted cruz put ftc place,"[('place', [8]), ('cruz', [8]), ('ted', [8]), ('put', [8]), ('ftc', [8])]","[('place', ['Infrastructure/job/energy']), ('cruz', ['Infrastructure/job/energy']), ('ted', ['Infrastructure/job/energy']), ('put', ['Infrastructure/job/energy']), ('ftc', ['Infrastructure/job/energy'])]"
VivekGRamaswamy,2023-10-05 02:46:22+00:00,8,Infrastructure/job/energy,0.54019135,negative,0.8539494276046753,"{'negative': 0.8539494276046753, 'neutral': 0.13698822259902954, 'positive': 0.009062311612069607}",anger,0.4668066501617431,"{'anger': 0.46680665016174316, 'disgust': 0.37357836961746216, 'anticipation': 0.055106211453676224, 'optimism': 0.032904572784900665, 'pessimism': 0.029160339385271072, 'sadness': 0.022999856621026993, 'fear': 0.009791013784706593, 'trust': 0.004047693684697151, 'surprise': 0.003213336691260338, 'joy': 0.002013294491916895, 'love': 0.0003786989254876971}",not-hate,0.6223670840263367,"{'not-hate': 0.6223670840263367, 'hate': 0.37763288617134094}",non-offensive,0.6583656072616577,"{'non-offensive': 0.6583656072616577, 'offensive': 0.3416343927383423}",2.0,War,0.4156021,"Co-dependent relationships do not end well. The only question is who ends it first. Time to declare independence from Communist China. Hell NO to the Gotion battery plant. 📍 Big Rapids, MI https://t.co/23QCCgmnwL", dependent relationship end question end time declare independence communist china hell gotion battery plant big rapid ,"[('question', [2]), ('china', [2, 8]), ('time', [8, 2]), ('end', [2, 8]), ('big', [8]), ('communist', [2, 8]), ('hell', [2]), ('relationship', [8]), ('independence', [8]), ('plant', [8]), ('rapid', [8]), ('battery', [8]), ('declare', [2]), ('dependent', [8, 2]), ('gotion', [8])]","[('question', ['War']), ('china', ['War', 'Infrastructure/job/energy']), ('time', ['Infrastructure/job/energy', 'War']), ('end', ['War', 'Infrastructure/job/energy']), ('big', ['Infrastructure/job/energy']), ('communist', ['War', 'Infrastructure/job/energy']), ('hell', ['War']), ('relationship', ['Infrastructure/job/energy']), ('independence', ['Infrastructure/job/energy']), ('plant', ['Infrastructure/job/energy']), ('rapid', ['Infrastructure/job/energy']), ('battery', ['Infrastructure/job/energy']), ('declare', ['War']), ('dependent', ['Infrastructure/job/energy', 'War']), ('gotion', ['Infrastructure/job/energy'])]"
JJ353774,2023-10-05 03:51:11+00:00,8,Infrastructure/job/energy,0.526704,neutral,0.4748456478118896,"{'neutral': 0.47484564781188965, 'negative': 0.46520087122917175, 'positive': 0.0599534809589386}",joy,0.6014441847801208,"{'joy': 0.6014441847801208, 'anger': 0.18959541618824005, 'disgust': 0.1261426955461502, 'optimism': 0.027657153084874153, 'anticipation': 0.019564133137464523, 'surprise': 0.015896907076239586, 'sadness': 0.011027202010154724, 'love': 0.0028162237722426653, 'pessimism': 0.0025651035830378532, 'trust': 0.0023935160133987665, 'fear': 0.0008974688244052231}",not-hate,0.9968324303627014,"{'not-hate': 0.9968324303627014, 'hate': 0.003167559625580907}",non-offensive,0.9043970108032228,"{'non-offensive': 0.9043970108032227, 'offensive': 0.09560295939445496}",4.0,Republicans vs democrats,0.2833671,@jimmy_dore @cenkuygur Cenk forgets that he was against #ForcetheVote for #Medicare4All until he is now for it when pressuring #Republicans. 😂,cenk forgets pressuring,"[('pressuring', [8]), ('forgets', [4]), ('cenk', [8])]","[('pressuring', ['Infrastructure/job/energy']), ('forgets', ['Republicans vs democrats']), ('cenk', ['Infrastructure/job/energy'])]"
TJisTrending,2023-10-05 05:22:26+00:00,8,Infrastructure/job/energy,0.78071946,positive,0.9830904006958008,"{'positive': 0.9830904006958008, 'neutral': 0.01306894514709711, 'negative': 0.0038406949024647474}",optimism,0.5189195275306702,"{'optimism': 0.5189195275306702, 'joy': 0.19870871305465698, 'anticipation': 0.16514842212200165, 'anger': 0.054506685584783554, 'trust': 0.030370093882083893, 'disgust': 0.016941020265221596, 'surprise': 0.00704790186136961, 'pessimism': 0.0028274778742343187, 'love': 0.0023550735786557198, 'sadness': 0.001908835954964161, 'fear': 0.0012662525987252593}",not-hate,0.9976679682731628,"{'not-hate': 0.9976679682731628, 'hate': 0.002331987489014864}",non-offensive,0.9118494391441344,"{'non-offensive': 0.9118494391441345, 'offensive': 0.08815056085586548}",4.0,Republicans vs democrats,0.031477362,Good job Biden!!!! This is how you do it! #Biden2024 #Democrat,good job biden,"[('biden', [8]), ('job', [8]), ('good', [8])]","[('biden', ['Infrastructure/job/energy']), ('job', ['Infrastructure/job/energy']), ('good', ['Infrastructure/job/energy'])]"
