username,orario,text,Unnamed: 0
ChessWPigeons,2023-09-28 20:19:12+00:00,"@RonDeSantis @JoeBiden Still in the basement shtick, hey Ol’ Puddin’ Fingers? You’re a sad man. #Biden2024",
BigHouseCasting,2023-09-28 20:05:00+00:00,@ReallyAmerican1 DeSantis looks like MAD magazine's Alfred E Newman's bastard baby brother... all growed up. #WhatMeWorry #StupidIsAsStupidDoes #FightFascism #DefendDemocracy #BanBookBans #WhyNotSayGay #BIDEN2024 https://t.co/GTDrbAQEE0,
dazedindigo,2023-09-28 20:03:01+00:00,"💙🇺🇲✌🏻
#Biden 
#Biden2024 
#DarkBrandon 😎",
JoeBiden,2023-09-28 15:32:00+00:00,That’s right. https://t.co/SI9hNEOEEJ,
BeJeweled615,2023-09-28 20:02:48+00:00,@OccupyDemocrats 💙 #BidenHarris2024 #Bidenomics #Biden2024 #Biden 💙💙💙💙💙💙💙,
deepen915,2023-09-28 19:48:58+00:00,@charliekirk11 91m coming next year! #Biden2024,
TL_3333,2023-09-28 19:42:32+00:00,#Biden2024 https://t.co/43hONeJXAa,
PegMelchior,2023-09-28 19:39:58+00:00,"@TheRealHoarse My husband’s take on the GOP debate:

“If I wanted to see a bunch of dogs in a hole pi**ing on each other, I’d dig a hole and buy some dogs.”
🤣

#Biden2024 
#DemocratsDeliver",
1LetsRawk1,2023-09-28 19:39:45+00:00,@RpsAgainstTrump #Biden2024 https://t.co/Q53vlqEygW,
FSantuccisays,2023-09-28 19:37:28+00:00,#VoteBlue #ActBlue #Biden2024 #News,
GOPoversight,2023-09-28 16:24:13+00:00,"🚨 🚨 🚨

“At least ten times, Joe Biden lied to the American people that he never spoke to his family about their business dealings.

“He lied by telling the American people that there was an “absolute wall” between his official government duties and his personal life.

“Let’s be clear: there was no wall. The door was wide open to those who purchased what a business associate described as “The Biden Brand.”

@RepJamesComer opens hearing on the basis for an impeachment inquiry of President Joseph R. Biden, Jr.",
ScallyNancy,2023-09-28 19:37:27+00:00,"BLM and Antifa were the Dems’ rioters in Trump’s first election year.

In 2024, Dems will have foreign-born military-age men to help them riot.

Biden has already flown thousands to many of our cities.

#Biden2024 #TrumpCrimeFamily #TrumpRally #thursdaymorning #Ukraine #Food #Job",
