,username,orario,text
0,KeepitMadeinUSA,2023-09-27 19:26:48+00:00,"Ahead of the Republican presidential debate tonight, we worked with 
@MorningConsult to ask Republican voters about their priorities. In case anybody was left unconvinced, the results shatter any illusion that the GOP base favors free trade. #DEMOCRACY24 https://t.co/4k11cxMwNU"
1,FoxNews,2023-09-27 19:17:41+00:00,#DEMOCRACY24: @GOPChairwoman lays out the breakthrough moment every candidate must deliver to prove they can 'improve' Americans' lives at tonight's debate:  https://t.co/ULHaAK1SRL https://t.co/qgezTohMqW
2,annmbuerkle,2023-09-27 19:09:16+00:00,"At the #DEMOCRACY24 GOP debate tonight, candidates must address what they’ll do to push back against Democrats' (like @SenSanders) vision for healthcare in America. I've said it many times: #Republicans need a clear healthcare agenda. 

https://t.co/ESAN0BylPH"
3,AlexiLalas,2023-09-27 18:09:13+00:00,"Power Rankings before debate:

1.  DeSantis - Can't just watch the fight again
2. Ramaswamy - Be more than a punk
3. Haley - More voice of reason
4. Pence - Channel Reagan?
5. Christie - Be the fire-starter again
6. Scott - Mr. Nice Guy doesn't work
7.  Burgum - ?

#Democracy24"
4,FoxNews,2023-09-27 17:40:22+00:00,#DEMOCRACY24: @PeteHegseth gives viewers an all-access backstage pass to the Fox Business Republican debate. https://t.co/UyNhSyWKlR https://t.co/XElGvp0Kwh
5,FoxBusiness,2023-09-27 17:17:12+00:00,#DEMOCRACY24: Where the candidates stand on the critical issues facing America tonight on the Fox Business Republican debate. https://t.co/p1Nx6iUf0B https://t.co/EtJw53DCiQ
6,FoxNews,2023-09-27 17:16:32+00:00,#DEMOCRACY24: Where the candidates stand on the critical issues facing America tonight on the Fox Business Republican debate. https://t.co/qj79UoXiCj https://t.co/dmUxb1zu3K
7,KeepitMadeinUSA,2023-09-27 17:01:41+00:00,"Ahead of the Republican presidential debate tonight, we worked with @MorningConsult to ask Republican voters about their priorities. In case anybody was left unconvinced, the results shatter any illusion that the GOP base favors free trade. #DEMOCRACY24 https://t.co/UerdWNjHrG"
8,HankEckardt,2023-09-27 16:03:14+00:00,"Disappointing that nobody addressed VA healthcare in the first debate. Will anyone talk about it tonight? #VeteransVoicesCount 

#Democracy24 #Destino24"
9,ConcernedVets,2023-09-27 13:00:02+00:00,"Many veterans, including Adam, want to know: Will the candidates focus on true choice for veterans to access life-saving mental health care? #VeteransVoicesCount https://t.co/gxeVX0blMR"
10,FoxBusiness,2023-09-27 14:12:53+00:00,#DEMOCRACY24: Sign up now to stream the Fox Business Republican debate. https://t.co/rFwD0E0yrV https://t.co/RwnxkjK2h6
11,FoxNews,2023-09-27 14:11:46+00:00,#DEMOCRACY24: Sign up now to stream the Fox Business Republican debate. https://t.co/UA7oSclGuj https://t.co/SnEpkBFz7x
12,FoxBusiness,2023-09-27 06:55:44+00:00,#DEMOCRACY24: See who it is. https://t.co/mlCMtZmu9c https://t.co/4bJgjJEnyL
13,foxnewspolitics,2023-09-26 22:00:00+00:00,The race for the presidency is on! Don't miss the second Republican debate on Wednesday at 9pm ET. Sign up now to stream. https://t.co/R1O8hbfQdB #Democracy24 https://t.co/HHkIBfHtoA
14,FoxBusiness,2023-09-26 20:00:11+00:00,#DEMOCRACY24: Watch the second Republican presidential primary debate of the 2024 election season tomorrow at 9p ET on Fox Business and simulcasting on Fox News Channel https://t.co/VCUEJSy4bb
15,FoxNews,2023-09-26 20:00:10+00:00,#DEMOCRACY24: Watch the second Republican presidential primary debate of the 2024 election season tomorrow at 9p ET on Fox Business and simulcasting on Fox News Channel https://t.co/4AuPcl9Bxb
16,ArmageddonProse,2023-09-26 19:41:51+00:00,"This is all they have.
https://t.co/t7SvyaoTER
#DemocracyMatters #Democracy24 #Democracy"
17,BenBartee,2023-09-26 19:41:33+00:00,"This is all they have.
https://t.co/V714uVBlhO
#DemocracyMatters #Democracy24 #Democracy"
18,NYMEPro,2023-09-26 19:27:18+00:00,"Historic Day in Michigan. We stand with the Auto Workers. Hoping you folks  get all that you seek.Thank you @POTUS for lending your strength and solidarity.

#BidenHarris2024 #UAWStrike #AmericaWorks #DemocracyInDanger #Democracy24"
19,FoxBusiness,2023-09-26 18:00:00+00:00,The race for the presidency is on! Don't miss the second Republican debate on Wednesday at 9pm ET. Sign up now to stream. https://t.co/TPTQvXxpyV #Democracy24 https://t.co/lUkJCsVf0k
20,foxnewsradio,2023-09-26 17:07:00+00:00,One more day until the @FOXBusiness Republican presidential primary #debate! Tune in tomorrow at 7pm ET for our pre-debate coverage &amp; listen live as the debate kicks off right after. https://t.co/um3RTm0q9q or on the @FOXNews mobile app! #Democracy24 #GOPdebate https://t.co/3BjptNFWP3
21,FoxNews,2023-09-26 16:00:01+00:00,The race for the presidency is on! Don't miss the second Republican debate on Wednesday at 9pm ET. Sign up now to stream. https://t.co/dEMnpQETXz #Democracy24 https://t.co/D6Nrtwo4a0
22,FoxNews,2023-09-26 00:00:11+00:00,#DEMOCRACY24: Watch the second Republican presidential primary debate of the 2024 election season on Wednesday at 9p ET on Fox Business and simulcast on Fox News Channel https://t.co/cb2VIAurJl
23,FoxBusiness,2023-09-26 00:00:10+00:00,#DEMOCRACY24: Watch the second Republican presidential primary debate of the 2024 election season on Wednesday at 9p ET on Fox Business https://t.co/UCfppbSeQa
24,FoxNewsOpinion,2023-09-25 22:42:46+00:00,REMINDER: The GOP candidates go head-to-head at the second Republican debate on Wednesday at 9pm ET. Sign up now to stream live! https://t.co/pSuMsNpncP #Democracy24 https://t.co/IHwerccM93
25,foxnewspolitics,2023-09-25 22:40:09+00:00,REMINDER: The GOP candidates go head-to-head at the second Republican debate on Wednesday at 9pm ET. Sign up now to stream live! https://t.co/R1O8hbfQdB #Democracy24 https://t.co/TPiBHsyFUh
26,tuliodaza,2023-09-25 19:36:34+00:00,"A brief timeline of #AI for my forthcoming work on #AIEthics and #Democracy24.

The open source release of @Google's #Transformer architecture for #NeuralNetworks was an important milestone for state of the art #GenerativeAI models. https://t.co/pTnD1XLcGu"
27,FoxBusiness,2023-09-25 19:00:01+00:00,REMINDER: The GOP candidates go head-to-head at the second Republican debate on Wednesday at 9pm ET. Sign up now to stream live! https://t.co/TPTQvXxpyV #Democracy24 https://t.co/4PJqbR8ETL
28,morebetje20,2023-09-25 17:56:35+00:00,"#Elections2024 
#Resist 
#DEMOCRACY24 https://t.co/PKGZ5yIaQ3"
29,FoxNews,2023-09-25 17:54:03+00:00,REMINDER: The GOP candidates go head-to-head at the second Republican debate on Wednesday at 9pm ET. Sign up now to stream live! https://t.co/dEMnpQETXz #Democracy24 https://t.co/GMX873cCGD
30,phil_r063019,2023-09-25 17:46:26+00:00,#Pete is the best spokesperson for this administration. A leader that is a hope for the future. #DEMOCRACY24
31,politicsusa46,2023-09-24 23:41:53+00:00,"Some say people are born to be leaders. For me the jury is out on that. I think leaders use their lived experience to learn what it is to be a leader.

Pete Buttigieg is a shining example of how public service helps shape leadership. There’s no better baptism of fire than being a mayor with all the challenges that brings.

The first time I heard him speak, I instinctively knew he was the type of politician that rarely graces the political stage. The more I researched the guy, the more impressed I was. He has served his country in uniform as well as in a suit, not something many if any MAGA Republicans can say.

His audacious run for President in 2020 was a measure of the man. Above all, it highlighted what an adept communicator he was. Take a listen to the clip below to see just how good he is. His ability to think on his feet and stay ad cool as a still pond regardless of the incoming, is truly impressive.

Joe Biden was not slow to notice just what value he could bring to his new government. How right he was. As Secretary of Transport, he has taken on the role intent to stamp his mark. As a skillful advocate for the societal benefits infrastructure, he’s able to articulate the administration’s position, not only on his brief, but on wider political challenges.

He’s a polyglot, who learns languages for fun, a musician and now a dad to twins with his husband Chasten. To be a great leader you have to understand the challenges of real American families and while it would be fair to say he didn’t grow up poor, you get the impression that equality and inclusion are both on his bingo card.

America you are blessed to have him. Be sure not to waste this gift.

#DemsAct #DemVoice1 #wtpBLUE #ONEV1 #FAM46"
32,JBNorwacky,2023-09-25 17:37:22+00:00,"Hey there @MeetThePress and @kwelkernbc, how did platforming TFG to vomit lies all over American living rooms work out for you? If he wins he wants many of you jailed and the rest unemployed. You guys figuring this out yet? Idiots. #DEMOCRACY24"
33,KimBald60939281,2023-09-25 16:10:37+00:00,@RonStan44933983 @ResisterSis20 Bc we are concerned about our fellow citizens who for some reason have been taken by a snake oil salesman dressed up as a reality tv star disguised as a tv evangelist pretending to be a politician.  The only thing he hasn’t done is tried to sell you a used car. #DEMOCRACY24
34,root2omkar,2023-09-25 15:52:01+00:00,"I would recommend @RonDeSantis @VivekGRamaswamy @AsaHutchinson @DougBurgum @ChrisChristie to wear hoodie and gym shorts for their 2nd 2024 Republican Party presidential debate on sept 24th. That will be more fun!

#DEMOCRACY24 #GOPDebate #2ndGOPdebate"
35,_Miscimarra,2023-09-25 15:39:14+00:00,"Happy Monday

#backtobasics
#DEMOCRACY24 https://t.co/2mkhfDeQXx"
36,Gemma4rights,2023-09-25 15:24:28+00:00,"The Police State is here. Rumble was contacted and threatend by the UK gvmt!!??
#Demokratie #Rumble #wef #RussellBrand  #freedomofspeech #DEMOCRACY24 is a word used to manipulate the challanged
 #TikTok https://t.co/0b3Dc57gTe"
37,TTLLDcom,2023-09-25 12:58:59+00:00,"@ChicagoBreaking That’s so insane &amp; un-American! Is this Russia??
#Trump2024 
Illinois should lose all its electoral college votes if it allows illegal immigrants to vote &amp; does not include Trump on the ballot.
#Shame #DEMOCRACY24"
38,CODEESTLEXIII,2023-09-25 09:47:49+00:00,"What kind of deplorable sleeps with his dead brothers wife......oh Hunter Biden, thats right. Values Baby!
#Familylove #DEMOCRACY24 #MAGA"
39,MrSpiritsRaven,2023-09-25 08:54:49+00:00,"@AKAanAngryMom @taylorswift13 It's kind of sad and says a lot about American Voters when a celebrity has to tell you to do something you should already know you're supposed to do, that's protect #DEMOCRACY24 by #VOTING 📬🗳️📮 #BLUE."
40,CEOGujarat,2023-09-25 08:44:04+00:00,"Democratic Diaries   

(Stay connected and be a part of the democratic celebration) 
.
.
.
.
#avsar #loksabhaelections2024 #ceogujarat #eci #sveep #Democracy24 #novotertobeleftbehind https://t.co/erKMo5pQEs"
41,GeorgeHruby,2023-09-25 08:09:49+00:00,"“War has always shown us to be the animals that we are.” George Hruby

Visit the Author and Poet’s website at: https://t.co/fhoWMzahEA

#georgehruby #America #Americans #Democracy #Democracy24 #RussiaUkraineWar #UnitedNations #WorldLeaders #Europe1 #EuropeanUnion #Europe https://t.co/TADBoP1S6T"
42,DarkPegasus87,2023-09-25 07:00:46+00:00,"The true fascists want to control everything, including the kids of others. Who's side are you really on? #BlackLivesMatter #woke #Democracy24 #TruthMatters #BidenHarris2024 #newsomisanidiot #FreedomOfSpeech https://t.co/IHtbapgjeh"
43,FoxNews,2023-09-25 03:00:11+00:00,#DEMOCRACY24: Watch the second Republican presidential primary debate of the 2024 election season on Wednesday at 9p ET on Fox Business and simulcast on Fox News Channel https://t.co/Ox1AqhgBqv
44,FoxBusiness,2023-09-25 03:00:08+00:00,#DEMOCRACY24: Watch the second Republican presidential primary debate of the 2024 election season on Wednesday at 9p ET on Fox Business https://t.co/C8qb7EAxKO
45,FoxBusiness,2023-09-25 00:46:01+00:00,"Sign up to stream the second Republican debate on Wednesday, Sept. 27th at 9pm ET. https://t.co/TPTQvXxpyV #Democracy24 https://t.co/d8zKKQoPGp"
46,FoxNews,2023-09-25 00:40:21+00:00,"Sign up to stream the second Republican debate on Wednesday, Sept. 27th at 9pm ET. https://t.co/dEMnpQETXz #Democracy24 https://t.co/9nfpqr7KJF"
47,NoLGBTQAfrica,2023-09-24 13:23:47+00:00,"DEMOCRACY 
In recent years #Democracy is making the wrong ""right""
#DEMOCRACY24
#DemocratsDESTROYINGAmerica #Democracy"
48,Linnel15643278,2023-09-24 11:03:48+00:00,"🇺🇸🇺🇦🗳What kind of democracy has no elections? Asks US Senator Rand Paul who blasts Mad Vlad Zelensky for cancelling votes.

Zelensky’s poor excuses.

#DEMOCRACY24 #ZelenskyWarCriminal #Ukraine️ #USA https://t.co/k5Lll66qok"
49,UNNOfficial_,2023-09-24 10:55:16+00:00,"منظور وسان نے عام انتخابات اٹھائیس جنوری کو ہونے کی پیشگوئی کردی 

#Elections #PPP #DEMOCRACY24 #News #LatestNews #unn https://t.co/QlDtKhehYB"
50,Gyimisem,2023-09-25 12:28:21+00:00,"full video 

https://t.co/JrP1Deksiz

#AtletiRealMadrid #AsianGames #90dayfiancebeforethe90days #The_NPP #sarkodie #blue #fp #RaghavParineetiKiShaadi #yargı #sheldeon #demo #DEMOCRACY24 https://t.co/yRCteBWJ0o"
51,JohnDavisUSA,2023-09-24 06:08:06+00:00,"Clarence Thomas secretly participated in Koch Network Donor Events. I'm just an average American citizen and it seems to me the Clarence Thomas that CT should be off the Supreme  Court.
#Baltimore #Maryland #RavensFlock #Orioles #Republicans #Democracy24 https://t.co/gggZjAJItB"
52,FoxNews,2023-09-23 23:00:10+00:00,#DEMOCRACY24: Watch the second Republican presidential primary debate of the 2024 election season on Wednesday at 9p ET on Fox Business and simulcast on Fox News Channel https://t.co/X80MUCFWhB
53,FoxBusiness,2023-09-23 23:00:10+00:00,#DEMOCRACY24: Watch the second Republican presidential primary debate of the 2024 election season on Wednesday at 9p ET on Fox Business https://t.co/se5l95Utwg
