,username,orario,text
0,@SlayerActual,2023-09-22 15:51:41+00:00,"Lmao 

The DOJ comes under congressional fire for not doing their job, &amp; hooking up the Bidens, while ONLY targeting conservatives, &amp; then THIS happens 2 days later? Looks like the DNC found their useful idiot and sacrificial lamb.

#Trump2024 #fridaymorning
#Democrats #Corrupt"
1,@fukalldemocrats,2023-09-22 15:50:18+00:00,Traitor FUKING @POTUS   Piece of sh*T should be in jail. Fuck that entire disgusting family should be. Biden’s and #Democrats motto #AmericaNever
2,@Real_Capt_Chris,2023-09-22 15:49:49+00:00,This is such an interesting story because it just sort of exploded out of nowhere. Shouldn’t be a surprise though. Remember the underage prostitution allegations against him from years ago? Bottom line: you can’t be a Democrat without being a fraud. #Menendez #Democrats
3,@NEWSMAX,2023-09-22 15:43:25+00:00,"Charges are announced against Sen. Robert Menendez and his wife Nadine for accepting thousands of dollars in bribes, in exchange for using Menendez's power and influence to protect and enrich three businessmen, and benefit the government of Egypt. https://t.co/utJiWPMvO2"
4,@heightsrice16,2023-09-22 15:49:22+00:00,#Democrats are corrupt and RINOS too
5,@heightsrice16,2023-09-22 15:48:35+00:00,@DNC #Democrats
6,@heightsrice16,2023-09-22 15:46:20+00:00,@POTUS @VP this woman is speaking for the Blacks of America
7,@mustang42f,2023-09-22 15:45:03+00:00,A historic event normal Americans will never let #Democrats live down.
8,@TomFitton,2023-09-21 21:40:47+00:00,"Fetterman Presides Over Senate Wearing Short-Sleeve Shirt, No Tie, And Shorts https://t.co/uUdD9sX0JI"
9,@DrJeffKoloze,2023-09-22 15:44:04+00:00,"@nypost What's wrong with the other half?

Kick out all of @JoeBiden's useless and anti-American #Democrats and restore President @realDonaldTrump to the White House."
10,@DrJeffKoloze,2023-09-22 15:43:54+00:00,"What's wrong with the other half?

Kick out all of @JoeBiden's useless and anti-American #Democrats and restore President @realDonaldTrump to the White House."
11,@nypost,2023-09-21 17:11:11+00:00,Nearly half of US thinks Biden did something ‘illegal’ concerning Hunter: poll https://t.co/AJ06dqHqpQ https://t.co/0FQEPITeAu
12,@DrJeffKoloze,2023-09-22 15:42:29+00:00,"@SchmittNYC @doj @BobMenendezNJ I second the motion.  All those in favor, signify by saying ""aye""...

Motion passes.

Now, kick out all of @JoeBiden's useless and anti-American #Democrats and restore President @realDonaldTrump to the White House."
13,@GDThor1,2023-09-22 15:42:22+00:00,"@ShieldOf @Justinscake @medicareenroll1 @BEyedWoman @rugbynred @AMHotFlash @LordNishar @zazzybritches @Tonia8675309 @Quicklitning @FinFox2 @ManchuCandidate @Seekerini @Cha51brolll19 @Oregon97415 @GonzoBaggins @SiriusLeeSpeak @laquialene69 @politialyc @DdaannHhaanniiu @SagArcher @JudyBee_FL @AltHurricane @sirsingsalot1 @MarciaBunney @UnclearLAS @Kristen_2017 @Innrdreams @TruthEqualsFact @sweet2spicey12 @MrRamy01 @shdbwriting @summerose2 @Spitterwit @Franktheshank88 @42Gnome @JoeNosotti @perfectsphere21 @maryjane00003 @dawnresist @AMluvinit2 @TDeLynne @kylegriffin1 Damn, just the other day I was proudly suggesting #Democrats do no wrong, then a man like Sen Bob Menendez has to corrupt things, should have indicted him the last time. The evidence seems overwhelming, at least the idiot and his minions can't complain of partisanship by the DOJ."
14,@DrJeffKoloze,2023-09-22 15:42:21+00:00,"I second the motion.  All those in favor, signify by saying ""aye""...

Motion passes.

Now, kick out all of @JoeBiden's useless and anti-American #Democrats and restore President @realDonaldTrump to the White House."
15,@SchmittNYC,2023-09-22 15:26:22+00:00,Great job by @doj on @BobMenendezNJ. Now try investigating Biden.
16,@GDThor1,2023-09-22 15:42:00+00:00,"Damn, just the other day I was proudly suggesting #Democrats do no wrong, then a man like Sen Bob Menendez has to corrupt things, should have indicted him the last time. The evidence seems overwhelming, at least the idiot and his minions can't complain of partisanship by the DOJ."
