username,orario,text
realTuckFrumper,2023-10-05 23:11:36+00:00,"'We've lost everything, every dime': Mike Lindell explains why he can't pay his legal bills https://t.co/gqsYDIyOEN"
laurenboebert,2023-10-05 17:43:08+00:00,"I’m willing to ditch the Motion To Vacate with @Jim_Jordan as Speaker. 

The House has a lot of work ahead, let’s get this over with and take our country back!"
TheChrisMoreno,2023-10-05 21:38:39+00:00,@marklevinshow https://t.co/udK6kyHkof
Azovsouth,2023-10-05 19:36:15+00:00,"❗Prigozhin’s plane crashed because the #Wagner leadership got drunk, then set off a hand grenade during the flight.

~Putin https://t.co/m6SiGpXN37"
JoeyMannarinoUS,2023-10-05 15:54:16+00:00,"Just so we’re clear, Biden is not building a wall on the Southern Border.

He might say he is. He might even build some, but he’ll tear it down as soon as he’s re-elected.

You don’t go from allowing the invasion he’s allowed to building a wall.

These are nothing but lies now that the election is coming up and his old ass wants to sit in the White House for another term."
POTUS,2023-10-05 14:00:00+00:00,Fixing our broken student loan system doesn’t just get working folks breathing room – it’s good for our economy and our country. https://t.co/GTaaS4xe2M
IAPonomarenko,2023-10-05 21:43:01+00:00,"Vladimir Putin, Oct. 5, 2023: ""...if Western defense supplies are terminated tomorrow, Ukraine will have a week left to live as it runs out of ammunition."" 
Any more questions regarding Russia's intentions and negotiability on Ukraine? https://t.co/wSlFLuBiTP"
GeorgeTakei,2023-10-05 22:03:03+00:00,"So, let me get this straight. The two top contenders for McCarthy’s spot are either 1) the guy who covered up cases of molestation while an assistant wrestling coach or 2) the guy who said he is David Duke of the KKK but without the baggage? Got it."
BiznezNuna,2023-10-05 18:07:32+00:00,"@AccountableGOP @Bettyjwo And every time, democrats are blamed and forced to get the car out of the ditch and work again. Only for Republicans to drive it off a cliff. 
Does anyone see a pattern?"
DNCWarRoom,2023-10-05 01:19:29+00:00,"🚨 Rand Paul calls to go after Social Security, Medicare, and Medicaid: “We need to look at ALL spending... [We can’t] take entitlements off the table” https://t.co/T3f9K7lAD2"
Jan6thData,2023-10-05 00:28:59+00:00,"NEW USA map: Total #Jan6 defendants &amp; per 1M by state, updated today, Wed Oct 4th, 2023 (N=1,166; 3.52 per 1M).

📈Florida inches toward dark purple (highest rate)
Illinois stays below USA avg. light green
Nevada finally has someone charged, a former marine, still in dark green https://t.co/sAQXQnyWkE"
justinbaragona,2023-10-05 23:57:34+00:00,"Greg Gutfeld says ""elections don't work"" and ""society is in peril and chaos because our elections don’t matter"" while urging for a new American civil war.

In the following tweets, I will transcribe everything he says in this clip, because it goes into some very dark territory. https://t.co/2FLCz5ptCP"
naretevduorp,2023-10-05 14:57:12+00:00,"Republicans say Democrats are responsible for McCarthy's ouster.

Well, let's look at the last 5 Republican Speakers:

McCarthy - Fired by Radical Right 
Ryan - Quit due to Radical Right
Boehner - Quit (Yep, Radical Right)
Haster - Convicted Sex Criminal 
Gingrich - Ethical complaints, resigned just before being ousted.

I'm just spitballing here, but I don't think Democrats are the problem.

#MAGA = Hate"
robreiner,2023-10-05 23:31:36+00:00,Reproductive Rights. Voting Rights. Human Rights. The Economy. The Environment. Gun Safety. Social Security. Medicare. Immigration Reform. Education. None of these issues mean anything if we don’t first save our Democracy.
MarkHertling,2023-10-05 21:51:14+00:00,"…a week left to live.”

Hey members of Congress who don’t support Ukraine, this would be your contributions to an war criminal’s objectives."
