username,orario,text,Unnamed: 0
GeetaaPillai,2023-09-17 19:30:28+00:00,"Trump Says He Dismissed Legal Advice on Challenging 2020 Election Defeat

#Trump #TrumpElection2020 #US2024election #Biden #USElection2024 https://t.co/eVAKEAfBKZ",0.0
news18dotcom,2023-09-15 09:17:58+00:00,"Legal troubles of #HunterBiden and #DonaldTrump could be the key issues that Republicans and Dems will weaponise during the #US2024election, sidelining other key issues.
https://t.co/KBDXQiqIIC",1.0
Wikist_,2023-09-09 16:08:00+00:00,"4/💭 The Takeaway
My main takeaway? #Biden &amp; #Trump might bring crypto headaches. #Kennedy &amp; #DeSantis offer a glimmer of hope. 🌟 But with Trump and Biden leading, it's hard not to be skeptical about crypto's US future. 😬 #CryptoDilemma #US2024Election",2.0
insidetelecom_,2023-08-30 15:46:36+00:00,"X, the social media company previously known as #Twitter, has announced its decision to permit #political advertising from candidates and political parties in the US, reversing its previous ban. 

#X #XPoliticalAds #TwitterRebrand #US2024Election

https://t.co/FHgsoEwdTe",3.0
raghavanbm,2023-08-25 18:11:22+00:00,Young President candidate for #US2024Election (Age 38),4.0
VivekGRamaswamy,2023-08-25 00:00:02+00:00,"As Commander-in-Chief, I will reorient our foreign policy from “liberal hegemony” to what I call the Modern Monroe Doctrine: don’t mess with our Homeland or our periphery. Period. That’s the priority, everything else is secondary. National defense will be about *defending* the homeland.",5.0
BagdatJabbie,2023-08-23 12:11:56+00:00,"@BBCWorld The CCP's greed knows no bounds. Not satisfied with Wall Street money, they now seek to exploit America's resources and meddle in the 2024 US presidential election. Beware of their sinister agenda! #CCPInterference #US2024Election",6.0
NailerRosena,2023-08-19 20:44:11+00:00,"@DiscoverMag The CCP's ambitions know no bounds. Not satisfied with Wall Street money, they now seek to exploit America's resources and meddle in the 2024 US presidential election. Beware of their insidious agenda! #CCPInterference #US2024Election",7.0
Banana_Politics,2023-07-11 15:00:25+00:00,@RollingStone Should #JoeBiden Run For #US2024Election,8.0
CompanyOf3000,2023-06-28 14:03:50+00:00,"#US2024Election

My interest? In Satan converting that Land to Hell not mere mortals.",9.0
CompanyOf3000,2023-03-18 07:50:36+00:00,"Biden is a placeholder for Harris. The optics of having a 1st U.S. female black President to fool the masses. [Smiles]. While in reality, the idea is to make Biden the best President ever yet he who indebted &amp; sank the U.S.; so when Kamala enters, she’d be the one w/ ALL THE MESS https://t.co/v6qcRrwh9O",10.0
SamayamTelugu,2023-06-08 10:11:43+00:00,"US Election: డొనాల్డ్ ట్రంప్‌కు మరో షాక్.. అమెరికా అధ్యక్ష రేసులోకి  మైక్ పెన్స్‌.. 
#USElection #DonaldTrump #USPresident #MikePence #US2024Election #RepublicanParty 
https://t.co/ZoSbUeSCuA via @SamayamTelugu",11.0
TheInfoStride,2023-05-17 15:53:22+00:00,"Kamala Harris faces new test of political skills in US poll 2024 campaign: https://t.co/vucZoO03Vi 
#JoeBiden #KamalaHarris #US2024Election #USNews
https://t.co/vucZoO03Vi",12.0
allproductkart,2023-05-01 09:51:35+00:00,"Biden-Harris Meet Top Donors: Indian-American Entrepreneur to Raise Funds for 2024 Election Campaign

https://t.co/REGhCIdMPt

#BidenHarrisCampaign #PoliticalFundraising #SanjayShahFundraiser #US2024Election
#IndianAmericanEntrepreneur #CampaignFinance https://t.co/dfFJaESBlX",13.0
coxmatthew5,2023-04-26 19:58:48+00:00,You know all this talk about the #US2024Election has reminded me of that #SarahPalin who was a running mate and had those trademark glasses..... Quite popular I seem to remember.,14.0
ArdsBrexit,2023-04-14 23:35:12+00:00,"@DarranMarshall Any sign of the economic investment, we’re already down £7m on policing for them?

If there was a bag of money on Bill’s private jet, I would bet the majority would end up with his mate Gerry Adams and SF/IRA.

The #US2024Election is already being fought on the Island of Ireland.",15.0
ADELEYEKING,2023-03-28 13:54:50+00:00,@ZaleskiLuke @CollinRugg You know WHAT?  when #Trump Wins #us2024election AM coming to #america we Trumpers will flush you OUT,16.0
BattleRopeMan,2023-03-12 15:11:40+00:00,@ShotsRangOut @GovRonDeSantis @realDonaldTrump with @RonDeSantisFL as #VP would be the best duo for Republicans. Nobody on the #Democrats would stand a chance against them. It is the #GoldenTicket of #Politics in the #US2024Election,17.0
DojmaneDejkhim,2023-02-24 20:40:19+00:00,@USEnvoyIran All these happen because you and your NIACi ass kissing son are trying to keep the falling terrorist regime alive and funding them!  .@POTUS .@SecBlinken .@jakejsullivan #FireRobMalley #US2024Election,18.0
blinova14,2021-12-29 22:26:16+00:00,Hillary-Kamala Sismance? Why Asking #Clinton's Counsel May Not Have Been #Harris' Best Idea https://t.co/cKVLW5dWAf My latest interview with @CharlesOrtel :) #US2024election #HillaryClinton #JoeBiden #WhiteHouse,19.0
JFK_Stewart,2021-01-10 18:09:05+00:00,An address from the next Republican US Presidential candidate Arnold Schwarzenegger #Illbeback #Arnie #Biden #Republicans #GOP #US2024election,20.0
Schwarzenegger,2021-01-10 14:45:00+00:00,My message to my fellow Americans and friends around the world following this week's attack on the Capitol. https://t.co/blOy35LWJ5,21.0
