,username,orario,text
0,AP_Politics,2023-09-22 06:54:00+00:00,RT @Former President Donald Trump’s push to bend state Republican parties to his will — and gain an advantage in his effort to return to the White House — is coming to a head in Nevada.    https://t.co/8t7ClRKq3y
1,AP,2023-09-22 06:53:31+00:00,Former President Donald Trump’s push to bend state Republican parties to his will — and gain an advantage in his effort to return to the White House — is coming to a head in Nevada.    https://t.co/8t7ClRKq3y
2,AP_Politics,2023-09-20 15:37:03+00:00,"President Biden is using executive power to create a New Deal-style American Climate Corps. Environmental groups and Democrats have pushed for a young adults jobs program that'll help fight climate disasters including wildfires, floods and extreme heat. https://t.co/iXruqPgWRq"
3,AP_Politics,2023-09-16 21:08:42+00:00,"The top U.S. military officer says North Korea may be able to boost Russia’s supply of artillery munitions for the war in Ukraine. Gen. Mark Milley says he doesn't want to play down the weapons assistance too much, but 'I doubt that it would be decisive.' https://t.co/BSMjtc1DpR"
4,AP_Politics,2023-09-16 21:07:21+00:00,Donald Trump is skipping a gathering of influential evangelical Christians in Iowa on Saturday night. His rivals hope to gain ground with well-connected social conservatives whose ranks are large enough to play a decisive role in the January caucuses. https://t.co/4XVMZMVMBa
5,AP_Politics,2023-09-16 21:06:25+00:00,"Many GOP presidential candidates are focusing on Iowa and largely overlooking New Hampshire, where underdogs once had a chance to break through. They're betting on Iowa's religious conservatives helping them stop Donald Trump's march toward the nomination. https://t.co/85n5uSbyJs"
6,AP_Politics,2023-09-16 21:05:38+00:00,The United Auto Workers strike has exposed tensions between President Joe Biden's goals of fighting climate change and supporting unions and is testing his ability to hold together a discordant political coalition while running for reelection. https://t.co/F2I6Qfm492
7,AP_Politics,2023-09-16 21:04:51+00:00,"Ever since a lone senator froze military promotions over the Pentagon’s abortion policy, uniformed officers affected have been largely silent, wary of stepping into a political fray. No longer. They say the damage from the holds will be felt for years. https://t.co/Tr0iu21K2v"
8,AP_Politics,2023-09-16 19:33:20+00:00,"The House and Senate are taking starkly different approaches to funding the government. It's a dynamic that threatens to plunge the country into yet another damaging shutdown, potentially as soon as the end of September. https://t.co/75OM8lfOZ4"
9,AP_Politics,2023-09-12 15:19:03+00:00,Hillary Clinton is returning to the White House for her first public appearance there since the Obama years. She and first lady Jill Biden will announce the recipients of an annual global arts prize for lifetime achievement. https://t.co/2MHzyx1ZAd
10,AP_Politics,2023-09-09 21:40:19+00:00,"Kamala Harris hosted a celebration of hip-hop's 50th anniversary with appearances at the vice president's residence in Washington by some of the music genre's pioneers and stars. She says hip-hop is “the ultimate American art form."" https://t.co/V9mVtzYmU0"
11,AP_Politics,2023-09-08 13:22:03+00:00,"With North Korea sharpening its words and capabilities toward South Korea, Kim Jong Un’s intention as far as use of his nuclear arsenal “is a greater subject of debate than it was even a year ago,” a newly retired top U.S. intelligence officer tells @AP. https://t.co/b5gdDTBsVb"
12,AP_Politics,2023-09-07 01:55:25+00:00,BREAKING: Celeste Maloy wins Republican nomination for U.S. House in Utah's 2nd Congressional District special primary election. #APRaceCall at 5:54 p.m. MDT. https://t.co/BkpxdgZBfx
13,AP_Politics,2023-09-06 02:37:48+00:00,BREAKING: Gabriel Amo wins Democratic nomination for U.S. House in Rhode Island's 1st Congressional District special primary election. #APRaceCall at 8:36 p.m. EDT. https://t.co/BkpxdgZBfx
14,AP_Politics,2023-09-06 02:20:32+00:00,BREAKING: Gerry Leonard wins Republican nomination for U.S. House in Rhode Island's 1st Congressional District special primary election. #APRaceCall at 8:19 p.m. EDT. https://t.co/BkpxdgZBfx
15,AP_Politics,2023-09-02 16:01:31+00:00,Campaigning over a fall constitutional amendment in Ohio that would ensure access to abortion is kicking off. And so is the misinformation about what the proposal would do. https://t.co/cejLM723ya
16,AP_Politics,2023-09-02 15:49:48+00:00,"Anti-abortion groups opposed to a ballot amendment in Ohio that would protect reproductive rights are trying a new messaging strategy, saying the proposal could undermine parental rights. Supporters of the amendment say that's a false argument. https://t.co/bKT08XAwiw"
17,AP_Politics,2023-08-24 04:59:33+00:00,RT @At the center of the hottest exchanges during the GOP debate was Vivek Ramaswamy. The novice candidate seemed to be betting that primary voters preferred something memorable said to something done. His rivals were having none of it. https://t.co/wCGW2Oj2pq
18,AP,2023-08-24 04:52:39+00:00,At the center of the hottest exchanges during the GOP debate was Vivek Ramaswamy. The novice candidate seemed to be betting that primary voters preferred something memorable said to something done. His rivals were having none of it. https://t.co/wCGW2Oj2pq
19,AP_Politics,2023-08-24 04:31:42+00:00,"RT @During the GOP debate, the moderators asked the candidates to raise their hands if they would support Trump if he wins the GOP presidential nomination. Six of the eight candidates raised their hands. Follow for more live updates. https://t.co/ee4tNpJdkj"
20,AP,2023-08-24 04:23:53+00:00,"During the GOP debate, the moderators asked the candidates to raise their hands if they would support Trump if he wins the GOP presidential nomination. Six of the eight candidates raised their hands. Follow for more live updates. https://t.co/ee4tNpJdkj"
21,AP_Politics,2023-08-24 04:14:10+00:00,"RT @While eight GOP presidential candidates tried to make their case that their party should move on from Donald Trump, the former president tried to make his case that everyone but him is irrelevant during a pre-recorded interview with Tucker Carlson. https://t.co/gtlttHFUoL"
22,AP,2023-08-24 03:54:11+00:00,"While eight GOP presidential candidates tried to make their case that their party should move on from Donald Trump, the former president tried to make his case that everyone but him is irrelevant during a pre-recorded interview with Tucker Carlson. https://t.co/gtlttHFUoL"
23,AP_Politics,2023-08-24 03:34:25+00:00,"RT @Happening now: Tonight's debate may be the biggest moment in the GOP’s 2024 primary yet. With Donald Trump's absence, who will seize the moment? Follow our live coverage. https://t.co/qnR644YQg7"
24,AP,2023-08-24 03:08:56+00:00,"Happening now: Tonight's debate may be the biggest moment in the GOP’s 2024 primary yet. With Donald Trump's absence, who will seize the moment? Follow our live coverage. https://t.co/qnR644YQg7"
25,AP_Politics,2023-08-23 20:16:55+00:00,North Dakota Gov. Doug Burgum may not be able to participate in the first Republican presidential debate after injuring himself playing basketball. https://t.co/Jg74mmisM5
26,AP_Politics,2023-08-19 17:19:41+00:00,"Donald Trump is facing dozens of criminal charges in four indictments, two of them anchored in his lie that he didn't lose the 2020 election. His propensity for falsehoods and his right to utter them are at the core of his legal defense. https://t.co/HGwV2N0rda"
27,AP_Politics,2023-08-19 14:16:59+00:00,"In early-voting Iowa, agreement among Republicans about Donald Trump seems to end with recognition of his big shadow over the 2024 race. Conversations at the state fair with voters find many are conflicted, yearning to turn the page but not disowning him. https://t.co/4BZFhLeaHD"
28,AP_Politics,2023-08-18 04:13:18+00:00,"RT @The Justice Department is seeking 33 years in prison for Enrique Tarrio, the former Proud Boys leader convicted of seditious conspiracy in one of the most serious cases to emerge from the Jan. 6, 2021 U.S. Capitol attack. https://t.co/eHAoSpao80"
29,AP,2023-08-18 04:11:56+00:00,"The Justice Department is seeking 33 years in prison for Enrique Tarrio, the former Proud Boys leader convicted of seditious conspiracy in one of the most serious cases to emerge from the Jan. 6, 2021 U.S. Capitol attack. https://t.co/eHAoSpao80"
30,AP_Politics,2023-08-17 15:57:46+00:00,President Biden hopes the backdrop of the rustic Camp David presidential retreat will help forge a breakthrough in relations between Japan and South Korea. He's hosting a summit there on Friday with the leaders of those two nations. https://t.co/Shy5d3NPke
31,AP_Politics,2023-08-09 14:59:08+00:00,"Donald Trump's bid to move his election conspiracy trial out of Washington faces long odds. The Republican says he can’t get a fair trial in the heavily Democratic U.S. capital, but it's a high bar to prove a jury pool is so biased a trial must be moved. https://t.co/hOrk3xNwr7"
32,AP_Politics,2023-08-07 15:09:02+00:00,"Last-minute campaigning related to a Tuesday special election in Ohio that revolves around abortion rights is being fueled mostly by out-of-state donors, even as both sides have railed against such special interests. https://t.co/KCf8u6f1GF"
33,AP_Politics,2023-08-05 15:10:25+00:00,The Justice Department has asked the federal judge overseeing the criminal case against Donald Trump to step in after the former president released an online post that appeared to promise revenge on anyone who goes after him. https://t.co/MiofLzihyl
34,AP_Politics,2023-08-04 18:58:04+00:00,Early voting in Ohio is exceptionally heavy for a midsummer special election as voters decide a Republican-pushed measure that would make it much harder to pass constitutional protections for abortion rights. https://t.co/qEJK4wb1MT
35,AP_Politics,2023-08-04 15:44:02+00:00,"As several European countries leave Niger, the United States is showing itself intent on staying. The U.S. sees Niger as its last, best counterterrorism outpost in an unstable region south of the Sahara Desert. https://t.co/kJ6QWJJO1w"
36,AP_Politics,2023-08-03 13:29:02+00:00,Donald Trump’s supporters are spinning this week's federal indictment to make the Republican ex-president the victim. https://t.co/lBaDTtkZ81
37,AP_Politics,2023-07-30 15:09:30+00:00,"The first Republican presidential debate of the 2024 campaign is a few weeks away, and seven candidates say they've met the qualifications for a spot on the stage. Donald Trump is one of them, but he's indicated he may skip it and hold a competing event. https://t.co/7jxr1TehGa"
38,AP_Politics,2023-07-30 15:08:39+00:00,"Joe Biden is the oldest sitting president in American history at age 80. He’d be 86 by the end of a second term. To win reelection in 2024, he’ll need young voters to back him as solidly as they did in 2020. https://t.co/p9VejCUlan"
39,AP_Politics,2023-07-29 20:07:05+00:00,"Veteran law enforcer Pamela Smith is taking over as police chief in the nation's capital at a precarious time. Violent crime is rising sharply, fueled by more homicides and carjackings. The Republican-led House is keeping close watch, ready to intervene. https://t.co/nmlunyvAq1"
40,AP_Politics,2023-07-29 19:43:16+00:00,Former Democratic Gov. Jay Nixon of Missouri is joining No Labels' effort to lay the groundwork for a moderate third-party presidential ticket in 2024. Democrats worry the group could unintentionally help Donald Trump return to the White House. https://t.co/DSCHFY9FC0
41,AP_Politics,2023-07-29 18:53:07+00:00,"All the US military services have struggled with recruiting, but only the Marine Corps says it’ll meet its target. Corps leaders say key to that success is putting the best, battle-tested Marines on enlistment duty. They get results. https://t.co/f2BhNXdCeA"
42,AP_Politics,2023-07-29 14:55:31+00:00,New allegations in the classified documents case deepen Donald Trump's legal jeopardy as he braces for possible additional indictments related to efforts to overturn the 2020 election. The latest charges could undercut potential defenses floated by Trump. https://t.co/nozt3SBN4E
