username,orario,text
AndrewYang,2023-09-29 08:56:19+00:00,.@RepDeanPhillips with some straight talk on Biden needing a genuine primary for the good of the country.  https://t.co/rWLBPLvy1X
AndrewYang,2023-09-29 00:13:14+00:00,Doing an interview with @latimes Lisa McRee with @GovCTW about @Fwd_Party in CA. 👍🇺🇸 https://t.co/NQASOdo6DP
AndrewYang,2023-09-28 17:41:14+00:00,Happy bday Ali!!  😀🎉
AliBackscheider,2023-09-28 07:08:48+00:00,Got to spend the ol’ bday with some pretty rad people 🥹💜 https://t.co/m6HhYmMSV3
AndrewYang,2023-09-28 17:38:50+00:00,Coming up on https://t.co/PjWTwI7FIz - the author of the @elonmusk biography @WalterIsaacson!  If you have questions I should ask Walter feel free to post them here. https://t.co/cDWJP2X3QM
AndrewYang,2023-09-28 17:16:45+00:00,"RT @Are you aware that politicians can officially ""affiliate"" with Forward Party while maintaining their registration as a Democrat or a Republican?

Are you a @Fwd_Party supporter?"
NewToneProducer,2023-09-28 14:33:27+00:00,"Are you aware that politicians can officially ""affiliate"" with Forward Party while maintaining their registration as a Democrat or a Republican?

Are you a @Fwd_Party supporter?"
AndrewYang,2023-09-28 03:17:22+00:00,Awesome people here in LA at the American Democracy Summit!!  😀⬆️🇺🇸 https://t.co/Sp6aK8VN6t
AndrewYang,2023-09-27 16:47:12+00:00,I just got upgraded on my flight and thought “This is what having non-partisan primaries and #RankedChoiceVoting would feel like!”  😀🎉🇺🇸
AndrewYang,2023-09-27 13:28:10+00:00,RT @Fwd_Party: 🛒➡️  https://t.co/5Di5W8qv1U https://t.co/UMXgfDKT6l
Fwd_Party,2023-09-27 03:18:10+00:00,🛒➡️  https://t.co/5Di5W8qv1U https://t.co/UMXgfDKT6l
AndrewYang,2023-09-27 02:01:43+00:00,"RT @Fwd_Party: ""This would be the country's 22nd government shutdown in five decades."" 🤔🔁 https://t.co/MDjNdojZHC"
AndrewYang,2023-09-27 01:54:26+00:00,Watching #WrestlersNetflix is reminding me of why I got hooked on wrestling as a kid. Congrats @TheRealAlSnow @KySportsRadio and everyone else involved with @ovwrestling - hope you all succeed.  🙏
AndrewYang,2023-09-26 20:03:57+00:00,"RT @Looking forward to the NoVA monthly coordinating call this evening at 6 p.m.  Forward Party supporters from DC/MD/VA are invited to join us.  Details at https://t.co/hd5loYQGMn 
@FWD_DC @fwd_maryland #ForwardTogether"
