username,orario,text
BarackObama,2023-10-19 22:31:49+00:00,"Ohio, there’s an important election happening right now. 

If you want to protect abortion rights by making them part of your state Constitution, vote yes on Issue 1. 

Visit https://t.co/8ul6i1FASI and make your plan to vote before November 7th. https://t.co/RXICbBPgkh"
BarackObama,2023-10-19 22:31:49+00:00,"And if you’re looking for ways to get involved, join the @OHDems and make calls to remind folks to vote: https://t.co/jZXsNr668H"
BarackObama,2023-10-19 04:34:16+00:00,"Congrats to our back-to-back champs, @LVAces!"
LVAces,2023-10-19 04:22:00+00:00,"🏆 𝗕𝗔𝗖𝗞-𝗧𝗢-𝗕𝗔𝗖𝗞 🏆

The Las Vegas Aces are your 2023 @WNBA Champions!

#RaiseTheStakes https://t.co/jobnzWovzM"
BarackObama,2023-09-22 20:01:13+00:00,"RT @We've taken historic action to combat the scourge of gun violence in America, but I'll tell you myself:
 
There's more to do.
 
I'm proud to establish the first-ever White House Office of Gun Violence Prevention. https://t.co/FNWoCPgHOF"
POTUS,2023-09-22 15:25:01+00:00,"We've taken historic action to combat the scourge of gun violence in America, but I'll tell you myself:
 
There's more to do.
 
I'm proud to establish the first-ever White House Office of Gun Violence Prevention. https://t.co/FNWoCPgHOF"
BarackObama,2023-09-20 20:02:47+00:00,"Today @POTUS and @VP announced the American Climate Corps — an initiative to train young people for careers that help tackle climate change.

This is an important step forward, and wouldn't be possible without the organizing efforts of young people across the country."
POTUS,2023-09-20 14:00:02+00:00,"Today, we are mobilizing the next generation of clean energy, conservation, and climate resilience workers.

 Join us at https://t.co/dp0NctSzPp https://t.co/vKjvLalUbV"
BarackObama,2023-09-20 18:02:21+00:00,"The @MBK_Alliance recently awarded grants to 33 organizations in Chicago that are working to lift up and empower young boys and men of color. They’ve been doing some inspiring work.

Take a look at what they’ve been up to this summer: https://t.co/bc6VsewuRM"
BarackObama,2023-09-19 21:48:06+00:00,"Great news — starting today, Pennsylvania will begin automatic voter registration for folks getting a driver's license or state ID card at the DMV. Hopefully even more states will follow.  

https://t.co/xg5G6MIYwI"
BarackObama,2023-09-19 18:50:43+00:00,"If you want your representatives to support the issues you care about, it’s important to show up to vote in every election.

This National Voter Registration Day, register or update your voter registration at https://t.co/q00n5Woojf. Then ask your family and friends to do the same."
BarackObama,2023-09-16 16:23:00+00:00,"Fourteen years ago, when the big three automakers were struggling to stay afloat, my administration and the American people stepped in to support them. So did the auto workers in the UAW who sacrificed pay and benefits to help get the companies back on their feet. Now that our carmakers are enjoying robust profits, it’s time to do right by those same workers so the industry can emerge more united and competitive than ever."
BarackObama,2023-09-16 00:30:28+00:00,"RT @To everyone celebrating the start of Rosh Hashanah tonight, Shanah Tovah!

📷: President @BarackObama greets Elie Wiesel and guests during the Jewish American History Month reception at the White House in 2011. https://t.co/s3abtptCe1"
ObamaFoundation,2023-09-16 00:09:32+00:00,"To everyone celebrating the start of Rosh Hashanah tonight, Shanah Tovah!

📷: President @BarackObama greets Elie Wiesel and guests during the Jewish American History Month reception at the White House in 2011. https://t.co/s3abtptCe1"
BarackObama,2023-09-15 16:41:07+00:00,"If you’re looking to help people impacted by the floods in Libya, check out these organizations providing relief:"
ObamaFoundation,2023-09-15 16:26:34+00:00,"🧵Emergency and relief workers are on the ground providing urgent aid in the aftermath of the catastrophic flash floods in northeast Libya.

The toll of this natural disaster is unimaginable, and support is desperately needed. https://t.co/dclAj6kJPd"
BarackObama,2023-09-15 16:40:17+00:00,"RT @The devastating impact of the earthquake that struck Morocco on Sept. 8 is gut-wrenching. We join the international community in mourning the lives lost, and thanking the people who have answered the call to provide humanitarian relief. 

We've gathered ways you can help below ⬇️ https://t.co/GwCUx9OPoy"
ObamaFoundation,2023-09-14 21:56:13+00:00,"The devastating impact of the earthquake that struck Morocco on Sept. 8 is gut-wrenching. We join the international community in mourning the lives lost, and thanking the people who have answered the call to provide humanitarian relief. 

We've gathered ways you can help below ⬇️ https://t.co/GwCUx9OPoy"
BarackObama,2023-09-11 21:12:48+00:00,"Last Friday, Morocco was hit by a devastating earthquake that has killed more than 2,000 people and impacted thousands more. Michelle and I are thinking of everyone who lost a loved one or is working to rebuild their lives. 

Here are some ways to help: https://t.co/aH0KF9pbMe"
BarackObama,2023-09-11 18:45:56+00:00,"Today we honor the memory of all the brave souls we lost 22 years ago. May we always remember their stories, the courage of our first responders, and the sacrifices our troops made to protect us in the years that followed. https://t.co/z7BZSWBgRQ"
BarackObama,2023-09-10 00:35:25+00:00,"Congratulations to US Open champion, @CocoGauff! We couldn’t be prouder of you on and off the court - and we know the best is yet to come."
BarackObama,2023-09-07 00:01:39+00:00,"For more than a decade, the Affordable Care Act has been saving lives. Now we know that it’s also helped save taxpayers trillions of dollars that would have raised the deficit. That’s what change looks like. 
https://t.co/YfxfimIDAn"
BarackObama,2023-09-06 17:31:45+00:00,"Congrats to our newest class of @ObamaFoundation Scholars! These leaders are working to change their communities for the better, and I can’t wait to see everything they accomplish this year. https://t.co/221Xz3fPpw"
BarackObama,2023-09-04 15:00:36+00:00,"On Labor Day, take a moment to appreciate the workers who have helped make America what it is today. Their grit, determination, and hard work over decades have changed our country for the better.

Today we also recognize the American labor movement that has fought tirelessly to improve the wages, benefits, and working conditions for people everywhere. I’m proud of the work they’ve done—and still do—to put the American dream within reach."
BarackObama,2023-09-03 00:51:43+00:00,"As a member of Congress, a Cabinet member, a Governor, and as an Ambassador, Bill Richardson was one of the most distinguished public servants of our time. He was a tireless diplomat, the type of advocate who brought a glimmer of hope – and in many cases freedom – to those Americans detained abroad under the most trying circumstances. I was grateful for his counsel over the years, and Michelle and I send our love to his wife Barbara and his entire family."
BarackObama,2023-08-31 21:00:30+00:00,"This week, the Biden-Harris administration announced a major step forward in the fight for affordable health care. Starting in 2026, folks on Medicare will pay less for 10 essential medications—with more to come—all thanks to the Inflation Reduction Act. https://t.co/cGLCVQ7bvx"
BarackObama,2023-08-30 00:57:06+00:00,"RT @MichelleObama: Game, set, match. 🎾 https://t.co/e5N430RoPX"
MichelleObama,2023-08-30 00:47:59+00:00,"Game, set, match. 🎾 https://t.co/e5N430RoPX"
BarackObama,2023-08-28 19:05:17+00:00,"Sixty years ago, the March on Washington for Jobs and Freedom showed us what's possible when ordinary people come together to push for change. Now it’s up to all of us to protect and build on that progress, and create a better future for generations to come. https://t.co/1QD2wjC6uT"
BarackObama,2023-08-26 02:10:48+00:00,"I'm proud of the progress that @DemRedistrict has made in the fight for fair maps. Their work is protecting our democracy, and ensuring that maps are drawn in a way that allows voters to select their representatives, not the other way around.

https://t.co/qfRwaLwxs3"
BarackObama,2023-08-23 18:06:47+00:00,"Poll workers help keep our democracy alive by making sure elections run smoothly and voters can safely exercise their right to vote.

This Poll Worker Recruitment Day, sign up to become a poll worker in your community at https://t.co/F3X8SxRzyw. https://t.co/giNQwDAHsM"
BarackObama,2023-08-22 16:48:59+00:00,"Through the Voyager Scholarship, Michelle, @BChesky, and I are supporting the next generation of leaders pursuing careers in public service.

We're excited to welcome our newest class of Voyagers, and can’t wait to work with them over the next few years. https://t.co/MpgkEjBV9m https://t.co/7B5je1eAO4"
BarackObama,2023-08-20 16:15:36+00:00,Congrats to Spain on their first @FIFAWWC victory! The U.S. will be back next time.
FIFAWWC,2023-08-20 14:04:19+00:00,"SPAIN ARE WORLD CHAMPIONS!!! 🇪🇸

#BeyondGreatness | #FIFAWWC https://t.co/x4liWtvgpN"
BarackObama,2023-08-16 23:47:29+00:00,It’s now been one year since @POTUS signed the Inflation Reduction Act into law—lowering health care costs for families and investing in our future by accelerating the transition to clean energy.
BarackObama,2023-08-16 23:49:14+00:00,"This matters. The heatwaves in the Southwest, the floods in the Northeast, and the devastating wildfires we’ve seen across the country and in my home state of Hawai’i are all reminders that the climate crisis is here. By 2030, the Inflation Reduction Act could help cut carbon pollution by 41 percent from peak levels—potentially saving thousands of lives every year."
BarackObama,2023-08-16 23:49:14+00:00,Joe Biden and Kamala Harris are working every day to deliver a better future and grow the middle class—and the Inflation Reduction Act is an example of the groundbreaking investments they’ve made since taking office. Here’s to another historic year.
BarackObama,2023-08-15 20:36:52+00:00,"If you’re looking for more ways to support folks in Lāhainā and on Maui, I hope you’ll consider donating to these local organizations that are providing direct support on the ground: https://t.co/BvyE6YkBUy"
BarackObama,2023-08-15 02:49:40+00:00,It will take all of us coming together and doing what we can to help those in need in Maui and Lāhainā right now. I hope you’ll join me in donating to the Hawai'i Red Cross today: https://t.co/CPtVJ8fGSq https://t.co/yvIDCG15MP
BarackObama,2023-08-14 23:48:34+00:00,Michelle and I will always be grateful for Clarence’s friendship and wise counsel. Our thoughts are with his family and everyone whose life was touched by a truly remarkable man. https://t.co/Vf9Cr5ekfs
BarackObama,2023-08-14 18:02:12+00:00,"With temperatures breaking records around the world this summer, the problem of global warming can seem overwhelming. Here’s a reminder that progress is possible—and it’s critical to vote for those who support bold action to advance a clean energy future. https://t.co/THROKcOsFW"
BarackObama,2023-08-10 04:10:44+00:00,"It’s tough to see some of the images coming out of Hawai’i — a place that’s so special to so many of us. Michelle and I are thinking of everyone who has lost a loved one, or whose life has been turned upside down.

If you’d like to help, you can do so here.
https://t.co/i9zN74FiNT"
BarackObama,2023-08-08 18:12:45+00:00,Our @MBK_Alliance students and @ObamaFoundation Youth Job Corps interns recently had the chance to meet with @AliciaKeys and her team in Chicago to learn more about what it takes to put on a tour. Take a look: https://t.co/qqBH6WIge5
BarackObama,2023-08-05 19:44:19+00:00,"Michelle and I are heartbroken to hear about the passing of our friend Charles Ogletree. He was an advocate for social justice, an incredible professor, and a mentor to many – including us. Our thoughts are with his wife Pamela, his entire family, and everyone who knew and loved this remarkable man."
BarackObama,2023-08-04 21:35:44+00:00,"RT @Ohio's #Issue1 could fundamentally alter the process for amending the Ohio Constitution and erode the very principle of ""one person, one vote.""

Ohio, the choice is clear: vote NO on #Issue1. Vote early right now or on Election Day on 8/8. 

To learn more: https://t.co/gYAUQhg3pR https://t.co/fBWvFCrQwR"
DemRedistrict,2023-08-04 21:00:01+00:00,"Ohio's #Issue1 could fundamentally alter the process for amending the Ohio Constitution and erode the very principle of ""one person, one vote.""

Ohio, the choice is clear: vote NO on #Issue1. Vote early right now or on Election Day on 8/8. 

To learn more: https://t.co/gYAUQhg3pR https://t.co/fBWvFCrQwR"
BarackObama,2023-08-04 19:11:58+00:00,"Four years ago, I teamed up with @EricHolder to launch @AllOnTheLine. The goal was to take on gerrymandering and make democracy more representative.

Since then, they’ve made incredible progress – including helping secure what is by some measures the fairest congressional map in 40 years, and helping win two landmark cases before the U.S. Supreme Court: Moore v. Harper and Allen v. Milligan."
