username,orario,text,Unnamed: 0
BernieSanders,2023-09-28 16:00:02+00:00,"What the UAW is fighting for is not radical. It is the totally reasonable demand that autoworkers, who have made enormous financial sacrifices over the past 40 years, finally receive a fair share of the record-breaking profits that their labor has generated. https://t.co/oykpjh9ew6",
BernieSanders,2023-09-23 16:18:50+00:00,"Too often, the needs of young people are ignored. When I was mayor of Burlington, we established a Youth Office to involve our youth in a host of programs. One of the most successful was called 242 Main. Watch this video from the @TheSandersInst on it. https://t.co/JYxSeT1WGp",0.0
BernieSanders,2023-09-22 22:43:28+00:00,"If the big three can afford to give a pay raise of more than 40% to their CEOs, they can provide the same type of pay raise for the autoworkers who make their products. https://t.co/Rw1S2jML0h",1.0
BernieSanders,2023-09-22 16:30:01+00:00,"What the UAW understands, and all of us should remember, is that over the last 50 years there has been a massive redistribution of wealth in America. Their fight against corporate greed is the fight to improve the lives of every worker in America. https://t.co/5Ny5ITQ6Nr",2.0
BernieSanders,2023-09-20 02:57:03+00:00,"At a time when CEOs are making 400x more than the average worker, the American people are asking a simple question: Which side are you on? https://t.co/YG7h03SAV5",3.0
BernieSanders,2023-09-19 02:43:19+00:00,"If new technology makes us a more productive society, the benefits should go to the workers – not just to those on top. https://t.co/MnAsvV7aNk",4.0
BernieSanders,2023-09-18 02:00:52+00:00,"SOLIDARITY WITH THE UAW: On Friday, I spoke to autoworkers on strike in Detroit. If you missed the rally, you can watch it now. https://t.co/j9X7wfrGlb",5.0
BernieSanders,2023-09-16 23:25:17+00:00,"I would like to say a few words to the CEOs of General Motors, Ford, and Stellantis. https://t.co/HZGopwjrgB",6.0
BernieSanders,2023-09-16 19:24:56+00:00,"Too often, the needs of young people are ignored. When I was mayor of Burlington, we established a Youth Office to involve our youth in a host of programs. One of the most successful was called 242 Main. Watch this video from the @TheSandersInst on it.  https://t.co/0uhbs9g8yI",7.0
BernieSanders,2023-09-15 22:59:41+00:00,LIVE FROM DETROIT: The @UAW is fighting for all of us. Let’s stand TOGETHER against corporate greed and in solidarity with striking workers. https://t.co/z1O5Iy16iF,8.0
