username,orario,text
CollinRugg,2023-10-05 23:16:08+00:00,"JUST IN: Elon Musk calls for the overhaul of agencies like the SEC & calls for the punishment of people at these agencies who abuse their power for political reasons.

Good, let's do this for all 3-letter agencies.

The comment from Musk came on X in response to the news that the SEC is suing Musk in relation to his Twitter stock purchase.

The SEC clearly has it out for Musk as they're forcing him to testify.

While responding to @MarioNawfal on X, Musk gave it a 100% probability that agencies like the SEC will be overhauled.

""A comprehensive overhaul of these agencies is sorely needed, along with a commission to take punitive action against those individuals who have abused their regulatory power for personal and political gain.""

""Can’t wait for this to happen... I estimate the probability at 100%.""

I can't wait either 🔥"
CollinRugg,2023-10-05 22:09:53+00:00,"NEW: Liberal co-host of 'The View' Sunny Hostin calls Republican Jim Jordan a ""terrorist"" and says he ""terrorized"" her.

The View is an awesome show to watch if you enjoy losing brain cells.

The comment from Hostin came after she recalled a time when Jordan was ""yelling"" at her when she was testifying in Congress.

“I testified in front of Congress about something so simple, cameras and courtrooms.”

“He came in late, he looked disheveled, and he immediately was screaming and yelling and terrorized me and the other experts on the panel. And describing him as a terrorist is exactly that.”"
CollinRugg,2023-10-05 20:47:33+00:00,"The Biden Administration is trying to claim two things at once:

1. A border wall won’t work.
2. We need to build a border wall to “prevent unlawful entries.”

Wokeism takes away all critical thinking capabilities.

During the WH press conference, Peter Doocy asked exactly how both of these claims could be made at the same time.

Doocy: “If you have to build a border wall but you don't think that it's gonna work, then once it's done, are you just gonna tear it down?”

KJP: “I'm not getting into hypotheticals from here… The facts are that DHS is complying with the law.”

Yesterday, Mayorkas said the following:

“There is presently an acute and immediate need to construct physical barriers and roads in the vicinity of the border of the United States in order to prevent unlawful entries into the United States…”

Clown show."
CollinRugg,2023-10-05 19:27:40+00:00,"JUST IN: Donald Trump is considering traveling to Congress next week to potentially pitch himself as the next Speaker.

Imagine the meltdown that will ensue... 🔥

According to a Politico, a Republican familiar with ""internal discussions"" has revealed that the former president is open to the idea of becoming Speaker.

The news comes right after Trump told reporters that he ""would do it"" if meant helping the country.

“A lot of people have asked me about it… My focus is totally on [the election]. If I can help them during the process, I would do it.”"
CollinRugg,2023-10-05 17:27:06+00:00,"NEW: Joe Rogan shreds people for saying Donald Trump’s Mar-A-Lago property is only worth $18 million, blasts them for “not giving a f*** about the truth.”

🔥🔥🔥

“They don't even try to pretend.”

“If you say 18 million. The place is a palace. It's 20 acres. Get the f*** outta here. This is crazy. You can't do that. That's like too obvious that you don't give a f*** about the truth.”

We are at the point where the “justice” system doesn’t even try to hide its corruption."
CollinRugg,2023-10-05 15:18:29+00:00,"Over the summer, the Biden administration reportedly sold off $300 million worth of wall parts for just $2 million.

Leading up to the 2020 election, Biden vowed to not build “another foot” of wall, mostly because Trump wanted one.

Yesterday, the Biden administration announced they needed to build the wall and waive federal regulations to solve the migrant crisis.

Yes: wokeism is a mind virus that takes away all common sense.

Yes: the government is the most inefficient and incompetent organization in the world."
CollinRugg,2023-10-05 02:33:05+00:00,"BREAKING: The Biden administration says there is an “immediate need” to wave regulations and build a border wall as the migrant crisis spirals out of control.

Remarkable. 4 years ago this was “racist.” Now they’re advocating for it.

""There is presently an acute and immediate need to construct physical barriers and roads in the vicinity of the border of the United States in order to prevent unlawful entries into the United States in the project areas pursuant to sections 102(a) and 102(b) of [the Illegal Immigration Reform and Immigrant Responsibility Act of 1996],"" Mayorkas said in an announcement.

Gee, maybe they shouldn’t have sold all the border wall parts."
CollinRugg,2023-10-05 01:36:12+00:00,"NEW: Candace Owens shuts down woke gender activist who confronts her over her “transgender” comments.

This is how it’s done 🔥

Activist: “What do you have to say to the trans students on this campus who feel victimized by your presence here?”

Owens: “Life's tough. Get a helmet, man. I'm too pregnant for this.”

Amazing."
CollinRugg,2023-10-06 15:05:41+00:00,"NEW: Twice failed presidential candidate Hillary Clinton calls Trump supporters “cult members” and says they need to be “formally deprogrammed.”

And she wonders why she lost in 2016.

“He's only in it for himself. He's now defending himself in civil actions and criminal actions. And when do they break with him? You know, because at some point, you know, maybe there needs to be a formal deprogramming of the cult members, but something needs to happen.”

America dodged a bullet with her."
CollinRugg,2023-10-06 03:48:46+00:00,"REPORT: President Biden has “mistreated” his dogs by punching and kicking them according to sources close with Judicial Watch.

Biden’s dogs are just like his son: Poorly trained.

Documents from the United States Department of Homeland Security, reveal injuries from attacks involving the dogs and Secret Service agents.

In an email exchange between a Uniformed Division officer and a November 3rd attack victim, the pair discussed an attack.

“My leg and arm still hurts. He bit me twice and ran at me twice.”

“What a joke [redacted] - if it wasn’t their dog he would already have been put down - freaking clown needs a muzzle - hope you get to feeling better.”"
CollinRugg,2023-10-06 00:53:24+00:00,"NEW: Denver Colorado, which is a proud 'Sanctuary City,' is now begging Texas to not send migrants to their city by urging border towns to hand out flyers to migrants, encouraging them to stay away.

Keep sending them!

It gets better: Officials are discouraging these migrants by telling them that Denver is ""very expensive and there aren't many affordable housing options available.""

Denver officials are also telling migrants that shelters only have a 14 day stay limit and their ""resources have been exhausted.""

How hateful and bigoted!

Video: @GraduatedBen"
CollinRugg,2023-09-29 14:49:12+00:00,BREAKING: Senator Dianne Feinstein has died at the age of 90. https://t.co/PWFmowW5lu
CollinRugg,2023-09-29 03:16:21+00:00,"JUST IN: Alexandria Ocasio Cortez has posted on X about how upset she is that Elon Musk visited the southern border to examine the migrant crisis.

Why is AOC so obsessed with Elon?

Instead of working to fix the migrant crisis, AOC whined about Musk taking a “joyride” with Republican Rep. Tony Gonzalez.

“The House is holding important votes in DC tonight, people are scrambling to avoid a shutdown, but this Republican Congressman decided to skip town to joyride with a billionaire when his own party has just a single-digit margin and needs his vote.”

Imagine if she cared this much about securing the border!"
CollinRugg,2023-09-29 01:58:39+00:00,"REPORT: A 34 year old migrant allegedly mol*sted a 7 year old girl at knifepoint in a migrant shelter in NYC.

How many stories like this need to happen before Washington wakes up?

Around 9:30PM on Wednesday, a girl & her twin sister were playing in the hallway at a shelter when a man lured them into his room.

The migrant then placed the knife next to the girl’s neck and groped her. The mom knocked on the door and the migrant jumped out the window.

He then walked to the front of the building where the girl’s brother was waiting and a fight broke out.

Get used to these stories…"
CollinRugg,2023-09-29 00:08:26+00:00,"NEW: Far-left NYC professor who pulled out a machete on a reporter just landed a new job

Back in May, Shellyne Rodriguez, who worked at Hunter College, held a machete to a NY Post reporter's neck & threatened to ""chop"" him up.

Students at Cooper Union are now freaking out after the school decided to hire Rodriguez despite her history of violence.

""I would not feel safe with that person being my professor,"" said one student to the NY Post.

Rodriguez, who is open about her Marxist beliefs, also went viral in May for cursing and vandalizing a pro-life student’s display at a college event.

Why does the left always get rewarded for violence?"
CollinRugg,2023-09-28 19:29:27+00:00,"JUST IN: A clearly flustered AOC says it is a waste of time for the House to investigate Joe Biden for exchanging influence for money that, according to his own son, he was paid ""half his salary"" for.

Socialists just love corruption, don't they?

""This impeachment inquiry is an embarrassment to the time and people of this country.""

In a text from 2019, Hunter Biden said that he was forced to pay half his salary to his father Joe Biden for money that was made overseas.

""I hope you all can do what I did and pay for everything for this entire family for 30 years. It's really hard. But don’t worry unlike Pop I won’t make you give me half your salary,” Hunter Biden said."
CollinRugg,2023-09-28 18:04:37+00:00,"This week, Gavin Newsom sat down with 60 Minutes, showed up to the GOP debate, dismissed it as a VP debate, called DeSantis a fool for accepting his debate offer, then stole the show with a post debate interview with Fox Host Sean Hannity.

I don't know who needs to hear this but Gavin Newsom is running, most likely in 2024."
CollinRugg,2023-09-28 15:35:35+00:00,"NEW: Elon Musk says America needs a wall in a post on X and calls on the US to make “asylum seekers” prove they are truly seeking asylum.

Why are our politicians so afraid to say this out loud?

“We actually do need a wall and we need to require people to have some shred of evidence to claim asylum to enter, as everyone is doing that. It’s a hack that you can literally Google to know exactly what to say!”

To date, 2,388,350 illegals have crossed over the border this year, already surpassing last year’s total.

Drug trafficking, child trafficking, illegal crossings and our government couldn’t care less.

Video: @GriffJenkins"
CollinRugg,2023-09-28 05:03:23+00:00,"NEW: Vivek Ramaswamy calls transgenderism in children a mental disorder and calls for parents to get their rights back. 🔥🔥

He even went as far to say “affirming” kids’ genders was cruel.

“I have to be very clear about this. Transgenderism, especially in kids, is a mental health disorder.“

“I'm sorry, it is not compassionate to affirm a kid's confusion. That is not compassion, that is cruelty.”"
CollinRugg,2023-09-28 03:40:01+00:00,"BREAKING: Vivek Ramaswamy calls for the end of birthright citizenship for kids who were born in the US with parents who illegally entered the country.

Wow 🔥

“I favor ending birthright citizenship for the kids of illegal immigrants in this country.”

“Now, the left will howl about the Constitution and the 14th Amendment. The difference between me and them is I've actually read the 14th Amendment.”

“What it says is that all persons born or naturalized in the United States and subject to the laws and jurisdiction thereof are citizens. So nobody believes that the kid of a Mexican diplomat in this country enjoys birthright citizenship.”"
CollinRugg,2023-09-28 01:39:24+00:00,"The scene in Michigan as residents await for Donald Trump.

The biggest modern mystery is how Trump, someone who gets a welcome like this everywhere he goes and won 80% of bellwether counties, lost to someone who couldn’t get 100 people to a rally.
https://t.co/08FAvRca88"
CollinRugg,2022-11-26 19:28:42+00:00,"Can someone tell me what the fired Twitter employees did all day?

No, seriously. Elon fired 75% of them and Twitter still works the same."
CollinRugg,2023-09-27 19:06:59+00:00,"NEW: 'Scientist' Neil deGrasse has meltdown while trying to explain why men should be able to compete in women's sports.

The 'scientists' really don't seem to follow the science these days.

Before melting down, deGrasse tried coming up with a scientific explanation for why men should be able to compete in women's sports.

""So I'm wondering whether the future of those sports is, you don't contest gender with gender. You contest hormone ratios.""

The meltdown came when the show hosts asked deGrasse about women being denied opportunities because the playing field is not even.

""So fix the playing field, da**it! Don't, don't say it's an unfair playing field. So all of a sudden the big issue is trans women taking the slot of a woman in an unfair playing field, fix the playing field.""

""You know something, the day you fix that playing field, this conversation will look completely ridiculous. That's what I'm trying to tell you.""

The only thing that looks ridiculous is you, Neil."
CollinRugg,2023-09-27 17:21:53+00:00,"Here is a list of things you can buy with $20 million.

1. The Biden family. 
2. 1/5th of an F35 jet. 
3. A few dozen Hunter Biden paintings. 
4. 10 Bugattis. 
5. A decent sized yacht. 
6. A 2 inch by 1 inch white diamond.
7. A 58 bedroom, 33 bathroom, 3 bomb shelter home on a 20 acre property surrounded by water on some of the most pristine land in Florida owned by Donald Trump."
CollinRugg,2023-09-27 15:15:50+00:00,"NEW: Mass looting breaks out in Philadelphia, Pennsylvania as criminals were seen stealing IPhone 15s from the Apple Store.

Luckily, Alexandria Ocasio-Cortez explained in 2020 why people loot: To feed their families!

I’m sure those IPhone 15s will taste great.

“They go out and they need to feed their child and they don't have money. So… they're put in a position where they feel like they either need to shoplift some bread or go hungry that night.”"
