username,orario,text,Unnamed: 0
GOP,2023-09-27 16:56:00+00:00,GOP launches Spanish-language early voting campaign: “Deposita Tu Voto” https://t.co/tn9lwaeg8L,
GOP,2023-09-27 16:16:46+00:00,"Cuando los Republicanos votan temprano, ganamos las elecciones. Es hora de asumir el compromiso:  Deposita tu Voto. Visita en español https://t.co/hoaeha6wj1 o textea AVOTAR al 80810 https://t.co/zNxivdclWJ",
GOP,2023-09-27 15:58:31+00:00,"Rep. @JamesComer: ""I can tell you that on the wire that Hunter Biden received from the Chinese national, the beneficiary address listed was Joe Biden's home address."" https://t.co/B6ED5yCa2K",
GOP,2023-09-27 15:44:08+00:00,"RT @abigailmarone: 95-year-old veteran kicked out of nursing home to make way for migrant housing
https://t.co/ZopRM5sgbB",
abigailmarone,2023-09-27 15:34:32+00:00,"95-year-old veteran kicked out of nursing home to make way for migrant housing
https://t.co/ZopRM5sgbB",
GOP,2023-09-27 15:35:19+00:00,"Rep. @JasonSmithMO: “What we do know is [Joe Biden] lied … We also know, according to Devon Archer, that President Biden was a critical tool in selling the brand because he was the brand to foreign influence peddling which brought in over $20 million.” https://t.co/Wh7khLCJj4",
GOP,2023-09-27 14:30:23+00:00,Rep. @ByronDonalds: “There’s no crisis management with this White House. Joe Biden doesn’t lead. Crises happen and he go takes a nap.” https://t.co/8PtuqDiQzZ,
GOP,2023-09-27 02:50:58+00:00,"RT @🚨BREAKING🚨

New allegation: @CIA secretly escorted Dr. Anthony Fauci into Agency Headquarters to ""influence"" its COVID-19 origins investigation. https://t.co/MilogK6xll",
COVIDSelect,2023-09-27 01:26:45+00:00,"🚨BREAKING🚨

New allegation: @CIA secretly escorted Dr. Anthony Fauci into Agency Headquarters to ""influence"" its COVID-19 origins investigation. https://t.co/MilogK6xll",
GOP,2023-09-27 00:37:00+00:00,"FLASHBACK: Hunter Biden traveled to China with his father in 2013 aboard Air Force Two. During the trip, Hunter introduced Joe Biden to his Chinese business partner.
https://t.co/rR2lYi600k",
GOP,2023-09-26 22:47:26+00:00,"Rep. @ByronDonalds: “Who is not embracing [Biden], are the rank-and-file men and women who are working every single day.”

“They are the ones that are crushed by his inflation…who are going to have their hours cut…because of his stupid policy around electric cars.” https://t.co/sb2F8Y4cmI",
GOP,2023-09-26 22:10:26+00:00,"The candidates are ready and the stage is set! 

Tune in tomorrow at 9:00pm ET on @FoxBusiness, @Univision, or @RumbleVideo for the Second Republican Primary Debate in Simi Valley, CA. https://t.co/8gXxABS2U8",
GOP,2023-09-26 22:02:22+00:00,RT @abigailmarone: So I guess the strategy isn’t working https://t.co/TBlP5A9BAq,
abigailmarone,2023-09-26 21:08:15+00:00,So I guess the strategy isn’t working https://t.co/TBlP5A9BAq,
GOP,2023-09-26 21:55:04+00:00,"Joe Biden was with strikers for less than 15 minutes, after spending more than 2 and half years pushing EV mandates and destructive inflationary policies.",
POTUS,2023-09-26 19:25:16+00:00,"Today, I'm in Wayne County, Michigan to join UAW members on the picket line.
 
All workers deserve to share in the value they helped create.",
GOP,2023-09-26 21:13:21+00:00,"Karine Jean-Pierre: ""We are stopping the flow at the border.""

U.S. Border Patrol Chief Jason Owens: “In terms of flow, and the threats that we're seeing with fentanyl and with the criminal organizations that are our adversary, it's about as bad as I've ever seen it.” https://t.co/psbDVLIX1Q",
GOP,2023-09-26 20:43:31+00:00,"Rep. @ByronDonalds: “The southern border is an absolute disaster. It doesn’t have to be this way…it is Joe Biden’s fault.”

“House Republicans have passed H.R.2, which actually secures our border.” https://t.co/YmG3FWHuCP",
GOP,2023-09-26 20:20:40+00:00,"RT @After spending about 12 minutes at the UAW picket line and just over an hour total in Michigan, Biden boards AF1 using the short stairs and heads to California for a ritzy fundraiser with Hollywood liberals https://t.co/UyFFEKA4J8",
RNCResearch,2023-09-26 19:54:03+00:00,"After spending about 12 minutes at the UAW picket line and just over an hour total in Michigan, Biden boards AF1 using the short stairs and heads to California for a ritzy fundraiser with Hollywood liberals https://t.co/UyFFEKA4J8",
GOP,2023-09-26 20:19:44+00:00,"Sen. @TedCruz: “If you’re a Democrat running for reelection in 2024, you can't run on the record …. You can’t run on the economy. You certainly can't run on inflation. You can’t run on crime. You can’t run on immigration with the chaos at the southern border.” https://t.co/JHZFiInPuA",
GOP,2023-09-26 19:56:01+00:00,Looks like most of the people there to see Joe Biden are journalists https://t.co/clx5qEmei4,
seungminkim,2023-09-26 19:05:51+00:00,".@POTUS meets with UAW picketers at a GM facility in Van Buren Township, Michigan. 

“You guys, UAW, you saved the automobile industry,” Biden tells workers https://t.co/xubzvo8TOn",
GOP,2023-09-26 19:44:31+00:00,"Rep. @NMalliotakis details how difficult it is for law enforcement to vet someone who crosses the border illegally.

“I participated last week in a committee hearing…for the Homeland Security Committee, and they told us straight out…there’s hardly any vetting.” https://t.co/Psm2yv6FjK",
GOP,2023-09-26 19:02:31+00:00,"Sen. @DanSullivan_AK:  ""Whenever they have a choice between the interests of far-left radical environmentalists and the men and women who build this country ... the Democrats, the president sell out the working men and women every single time."" https://t.co/i9JraCchKR",
