username,orario,text
GovChristie,2023-10-05 18:30:27+00:00,"May not be a debate, but I’ll be taking the issues head on from New Hampshire voters LIVE on X tonight. 

Elon, I’ll give you a shout out. Tune in. 6:30 PM ET."
GovChristie,2023-10-05 16:39:44+00:00,"I’m telling the truth and bringing the heat TONIGHT. I know folks in New Hampshire will be doing the same.

Tune in at 6:30 PM ET. 

Live stream at https://t.co/sweh6vVxcB https://t.co/GACBNdHpP6"
GovChristie,2023-10-05 02:37:04+00:00,"The American people are most frustrated with our government because it get’s nothing done. 

We need someone with executive experience who has a proven record of conservative accomplishments. 

Not more soundbites during a campaign, and excuses once elected. https://t.co/IBWyuzs9mP"
GovChristie,2023-10-05 01:39:53+00:00,"Apprehend and detain is not a long-term solution to immigration.

We need a merit-based immigration system to help fill the six million open jobs we have in this country. 

Stop incentivizing the illegal crossings we’re seeing now, and let’s give people a legal way to come to this country and help grow our economy."
GovChristie,2023-10-05 00:39:44+00:00,"If you’re too afraid to sit down and talk with another candidate in the race for president, then you’re probably not the right person to be sitting across from Putin or President Xi. (@realDonaldTrump) https://t.co/egaEYC4fVd"
GovChristie,2023-10-06 03:37:35+00:00,"Trump wants to be Speaker so he can preen around there like the peacock he is. 

This is the same guy who accomplished nothing as president. Being Speaker would be no different. 

Other presidential candidates should stand up against this. 

I wouldn’t expect it, though. They all raised their hand, saying they would support him even if he was a convicted felon."
GovChristie,2023-10-06 02:45:45+00:00,"Just finished a town hall in New Hampshire. About to join @kaitlancollins on @CNN.

Tune in at 9:00 PM ET."
GovChristie,2023-10-06 00:49:28+00:00,LIVE NOW: Answering questions directly from New Hampshire voters at a town hall. Telling it like it is and not afraid to answer anything. That’s what I’m about. https://t.co/EM0J5QkRXJ
GovChristie,2023-09-28 19:41:31+00:00,"Why is @realDonaldTrump not showing up to the debates?

He’s afraid of his record. Instead he holds fake rallies and has volunteers act as autoworkers.

Just more scam and grift.

It’s time to put an end to Trump. Join me in doing so here: https://t.co/IUHG86qFPR https://t.co/dEyT91hOXv"
GovChristie,2023-09-28 18:53:10+00:00,"52 miles on new wall.

@realDonaldTrump, if Mexico had known this was all you were going to do they probably would have just paid for it. https://t.co/jeDMQpmnvt"
GovChristie,2023-09-28 16:31:21+00:00,"If you’re pro-life, that means for the entire life.

The drug addicted 16 year-old on the floor in county lock-up is just as precious as the life in the womb.

Time we start telling the truth and speaking from the heart. https://t.co/c6QcTHHx5P"
GovChristie,2023-09-28 15:47:07+00:00,"If you can’t persuade, you can’t win.

I was the only blue state governor on the stage last night. If we’re going to win back the White House, those are the states we are going to have to win.

But it’s up to you to keep me on the stage. Chip in $1 today: https://t.co/q4qTqzR2cJ

https://t.co/VawUIQYrKU"
GovChristie,2023-09-28 15:09:16+00:00,"If I wasn’t on the stage last night, @realDonaldTrump wouldn’t have even been mentioned.

If you want to make sure someone is prosecuting the case against Trump, it’s up to you to keep me on the stage. Donate just $1 here: https://t.co/ajF5O6BsYE https://t.co/VOthNjqSyk"
GovChristie,2023-09-28 14:32:27+00:00,"Somebody has to tell the truth about Trump.

Let’s keep having these nights. Donate today: https://t.co/ZVm0cqy9X0

https://t.co/UwNxgMFt5M"
GovChristie,2023-09-28 14:25:52+00:00,"Look it up, @realDonaldTrump built 52 miles of new wall, and we paid for all of it. https://t.co/3YgvNAivAQ"
GovChristie,2023-09-28 14:15:35+00:00,"I'm clearly living in @realDonaldTrump's head rent free.

He spent most of last night attacking me, when he should have been on that stage defending his record. https://t.co/VChaUTFSsB"
GovChristie,2023-09-28 12:51:22+00:00,"Looking forward to discussing the debate last night this morning. 

I’ll be live on:

@foxandfriends - 7:20 AM ET
@Morning_joe - 7:35 AM ET
@CNNThisMorning - 8:00 AM ET

Join our team today and chip in to keep me on the next debate stage: https://t.co/15ZXLOZjYh"
GovChristie,2023-09-28 05:11:30+00:00,"I’ve been the only one on the stage tonight who’s been clear: Donald Trump has to go. 

Trump divided our country, our party, even friends and families.

It has to end. https://t.co/NF9ZcVama5"
GovChristie,2023-09-28 05:08:26+00:00,"Hey Donald Duck. 

We could have talked about this if you had the guts to show up.

Keep duckin. https://t.co/dF3eTAaQaE"
GovChristie,2023-09-28 04:32:14+00:00,"Donald Trump said Putin is brilliant and a great leader. 

The same guy who is murdering people in his own country, and killing and kidnapping in Ukraine.

He want’s to put the old band back together. Only America can stop it. 

As President, I will. https://t.co/d4AJv7KAu4"
GovChristie,2023-09-28 04:22:16+00:00,https://t.co/D9rCyJO9K3
TeamTrump,2023-09-28 03:46:42+00:00,"VERY, VERY DISRESPECTFUL! https://t.co/tQKx4yjOH5"
GovChristie,2023-09-28 04:18:17+00:00,"As President, I will take on the teachers union and win, just like I did in New Jersey. 

Right now, we have a President who is sleeping with a member of the teachers union. 

They have an advocate inside the White House every day as an advocate for them. 

They need to stop defending the worst teachers and start defending our kids."
GovChristie,2023-09-28 04:00:43+00:00,"The border issue is a law enforcement issue.

Joe Biden and his crew are not enforcing anything. They are just letting it go. 

We need a president who will enforce the law first and foremost. 

On day one I’ll send the National Guard to the southern border. https://t.co/MeazYnWQ54"
GovChristie,2023-09-28 03:53:38+00:00,"I know @realDonaldTrump is watching. 

You’re not here because you’re afraid. 

You keep ducking these things, we’re going to start calling you Donald Duck. https://t.co/JaiMPb1BXJ"
GovChristie,2023-09-28 03:46:59+00:00,.@realDonaldTrump https://t.co/gWP7Z7bcGK
GovChristie,2023-09-28 03:35:30+00:00,"If Mexico had known that @realDonaldTrump would have only built 52 miles of new wall in four years, they probably would have just paid for it. https://t.co/KxURUJic9o"
GovChristie,2023-09-28 03:27:16+00:00,"Who’s to blame for the upcoming shutdown? Everybody who’s in Washington D.C.

But let’s be honest. Donald Trump added $7 trillion to the national debt in four years, more than any president in history. Now, he’s refusing to show up to the debate and answer for it. https://t.co/n4nFqTQTbJ"
GovChristie,2023-09-28 02:59:15+00:00,"Let’s have some fun.

https://t.co/15ZXLOZjYh https://t.co/ZtIToUlC1E"
GovChristie,2023-09-27 01:46:03+00:00,"I’ll be bringing the heat tomorrow night at the debate, and then heading out to New Hampshire for a town hall this Friday.

I’m sure @realDonaldTrump will keep hiding in his Bedminster Basement.

Join us in Keene or tune in to our live stream this Friday: https://t.co/Eo0BBtO9ty https://t.co/tZqu23qOka"
GovChristie,2023-09-26 22:20:17+00:00,"Looking forward to the debate tomorrow night and in New Hampshire on Friday, where I’ll continue to hold @realDonaldTrump accountable for his conduct.

I’m the only one who has the guts to take him on.

https://t.co/IDR9l9Ai91"
GovChristie,2023-09-26 22:20:18+00:00,"It ends with you. Make sure I’m on the stage for when he finally shows up. 

https://t.co/QqwICuuYB4"
GovChristie,2023-09-26 18:52:33+00:00,"I’m ready for the debate tomorrow night, but just like the last one, Donald Trump IS NOT. 

He’s eventually going to have to show up, and it’s up to you to keep me up there for when he finally does. 

We need 70,000 unique donors for the next debate. This ends with you. Chip in $1 today: https://t.co/KDiwMO6PTb"
GovChristie,2023-09-25 18:18:54+00:00,"Joe Biden campaigned from a basement. Now, Donald Trump is hiding in his Bedminster Basement and behind his golf clubs. 

This is disrespectful of voters - they deserve to hear what he has to say about his record and his conduct. 

We need 70k unique donors to stay on the debate stage. Keep me there for when he finally shows up: https://t.co/22RT24ULR7"
GovChristie,2023-09-24 14:53:16+00:00,About to join @MeetThePress this morning. Tune in.
GovChristie,2023-09-23 20:21:41+00:00,"The indictment against Bob Menendez is sickening. No public official making $174,000 a year should have nearly $500,000 in cash stuffed in clothes in his house, not to mention gold bars. He should resign.

I spent seven years of my career as US Attorney fighting political corruption in our state. We convicted 130 public office holders without a defeat. I know how to fight corruption because I’ve done it. His conduct is unacceptable and he needs to go."
