username,orario,text,Unnamed: 0
GovDougBurgum,2023-09-22 17:34:06+00:00,"The Teacher Retention and Recruitment Task Force application is open through Sept. 27. 

Individuals interested in serving on the Task Force may apply through the Boards section of the Governor’s Office website: https://t.co/QnD7uNpaF3",0.0
GovDougBurgum,2023-09-21 22:20:39+00:00,"Together with @NDWSI we announced the Serve &amp; Protect Reimbursement Program to help offset the costs of medical expenses for full-time firefighters and law enforcement officers. 

Full release: https://t.co/1OkAu1YH9M

More info: https://t.co/vZJgtSXwjZ",1.0
GovDougBurgum,2023-09-21 22:20:39+00:00,We owe it to these brave men and women to ensure they have access to the best possible health care. This program not only alleviates a financial burden but also underscores our commitment to the well-being of those who put their lives on the line every day to keep citizens safe.,2.0
GovDougBurgum,2023-09-21 18:14:14+00:00,"Deeply grateful to all North Dakotans for making our state the best place to live, work and raise a family. 
We are also thankful for our abundant resources and the incredible natural beauty of our great state. 
Help us celebrate #WorldGratitudeDay today! https://t.co/PzVrkYCKEG",3.0
GovDougBurgum,2023-09-21 00:06:54+00:00,"It’s time for the Biden administration to be upfront about illegal border crossings and their impacts to our communities and resources. As my fellow governors and I stated in our letter, every state is now a border state. 

America can’t afford to turn a blind eye to this crisis. https://t.co/4mhJQ59oYF",4.0
GovDougBurgum,2023-09-20 20:10:28+00:00,"ND is leading the energy sector by focusing on innovation over regulation. In July, we had a record month for gas production and are the nation's No. 3 oil producer.
Grateful to join @NDPetroleum and its members, and for all they're doing to drive the American energy revolution! https://t.co/rEScPQLwVf",5.0
GovDougBurgum,2023-09-19 19:24:21+00:00,"Congrats to the three ND schools recognized as 2023 National Blue Ribbon Schools by @usedgov! Grateful to William S. Gussner Elementary School in Jamestown, Rugby High School and Taylor-Richardton Elementary School for their commitment to excellence!

https://t.co/IrQQX2tz0A",6.0
GovDougBurgum,2023-09-13 00:06:38+00:00,"Congratulations to Zach Brenden from Bismarck, Owen Nelson from Mandan and the rest of Team Ponzio who earned the right to be @TeamUSA for the 2024 @youtholympics in South Korea with their win in the Youth Olympic Trials in Denver. 

📷Becky Duffy https://t.co/oGkeHJO7Mu",7.0
GovDougBurgum,2023-09-12 15:47:51+00:00,"We have three incredible keynote speakers scheduled for @Recovery_ND on Oct. 5 at @Minotstate. 

Join us for a day of sharing stories, creating recovery-friendly cultures and working to eliminate the stigma surrounding the disease of addiction.

Regsiter: https://t.co/iQypKA9tck https://t.co/DRGRC7v3Wp",8.0
GovDougBurgum,2023-09-11 17:57:22+00:00,"Twenty-two years later, we honor the nearly 3,000 individuals who died in the 9/11 attacks and the heroic actions of the police, firefighters and other first responders who bravely saved lives while risking their own. We owe a debt of gratitude that can never be repaid. https://t.co/RhYkMUm4HX",9.0
GovDougBurgum,2023-09-08 21:38:39+00:00,Our statement in response to the U.S. Army Corps of Engineers releasing its draft environmental impact statement (DEIS) on the easement for the existing Dakota Access Pipeline crossing at Lake Oahe: https://t.co/dO3eTRIQTg,10.0
GovDougBurgum,2023-09-08 19:51:43+00:00,"Small businesses are the lifeblood of our economy. Grateful to @GoldmanSachs for making North Dakota the first rural state to receive its 10,000 Small Businesses program, supporting our entrepreneurs and helping train the next generation of risk takers in ND! #MakeSmallBig https://t.co/BGm2Dd2xFI",11.0
GovDougBurgum,2023-09-08 17:23:43+00:00,"By executive order, we have created a Task Force for Teacher Retention and Recruitment to address the state's chronic teacher shortage. Our students deserve high-quality teachers and our districts shouldn't be scrambling to fill positions each summer. 1/

https://t.co/2IWQ37BFpX https://t.co/DVWidqbX27",12.0
GovDougBurgum,2023-09-08 17:23:43+00:00,"By bringing together stakeholders from across the education community, we can identify and recommend policies for retaining and recruiting teachers. 

Individuals interested in serving on the task force can apply through Sept. 27 at https://t.co/XUHXeKxGBp. 2/2 https://t.co/B15fwrP9Ka",13.0
GovDougBurgum,2023-09-07 22:06:31+00:00,"Deeply grateful for the 2023 Governor's Awards recipients and all Team ND members for their exceptional work and dedication to making a positive difference in the lives of our citizens.

Full release and photos available at: 
https://t.co/wBNzwXr6uc https://t.co/zaPS2Y1sQb",14.0
GovDougBurgum,2023-09-05 18:40:42+00:00,"September is proclaimed Preparedness Month in North Dakota. Grateful for our @nddes team who are helping citizens be prepared for the unexpected. Remember to take the proper precautions ahead of time to be prepared.

https://t.co/FL5eEfwzB8 and https://t.co/FA4K6iT7jU for info. https://t.co/GPYqm7Blo8",15.0
GovDougBurgum,2023-09-04 16:46:15+00:00,"Happy Labor Day, North Dakota!

Grateful to the hardest-working people in the nation whose tireless work makes North Dakota a wonderful place to live and raise a family. https://t.co/LujFp2Bk21",16.0
GovDougBurgum,2023-09-01 23:24:49+00:00,"Congrats to Cmdr. Towney Kennard on becoming the newest commander of the USS North Dakota, and to Cmdr. Robert Edmonson on his successful tenure. We thank them both for their leadership of this @USNavy submarine that protects our nation and instills pride in all North Dakotans. https://t.co/4fmkdbMqRm",17.0
GovDougBurgum,2023-08-31 03:31:15+00:00,"The @NDNationalGuard 188th Engineer Company returned home today after a 30-day deployment supporting Operation Lone Star to limit illegal crossings at the southern border. Deepest gratitude and respect for their service, professionalism and vigilant work to protect our nation. https://t.co/Hv9oC1tpcs",18.0
GovDougBurgum,2023-08-31 03:31:15+00:00,"The North Dakota National Guard still has approximately 125 members of the 1st Battalion, 112th Aviation Regiment with UH-72A Lakota helicopters serving at the southwest border on federal status in support of U.S. Customs and Border Protection.

https://t.co/YrPxKQh8fU",19.0
GovDougBurgum,2023-08-31 03:31:15+00:00,"The @NDNationalGuard 188th Engineer Company returned home today after a 30-day deployment supporting Operation Lone Star to limit illegal crossings at the southern border. Deepest gratitude and respect for their service, professionalism and vigilant work to protect our nation. https://t.co/Hv9oC1tpcs",20.0
GovDougBurgum,2023-08-22 23:12:28+00:00,North Dakota is OPEN for business!,21.0
