username,orario,text
GovMLG,2023-10-19 23:33:49+00:00,"Congratulations to @AISES and Dzilth-Na-O-Dith-Hle Community School on receiving $622K in @usedgov grants. These funds will support our efforts to grow and retain more Indigenous educators, because every child deserves a culturally relevant education. https://t.co/Bh3axENdT7"
GovMLG,2023-10-19 01:31:16+00:00,The record tourism spending last year bears out what we here in New Mexico already know: There's no where else in the world like the Land of Enchantment! https://t.co/izzVuQJbyv https://t.co/FePRlFwXfC
GovMLG,2023-10-05 19:18:34+00:00,"Latina women are paid 52 cents on the dollar to all U.S. men. On #LatinaEqualPayDay, we recommit ourselves to pay parity for all. I was proud to support equity through increasing the minimum wage and implementing historic raises for teachers and childcare workers in New Mexico."
GovMLG,2023-09-26 22:53:20+00:00,The cradle-to-career system I've supported is making education available for more New Mexicans every year. Thank you for visiting @UnderSecKvaal. I'm always proud to showcase the hard work of educators and students at every level of education in the state.
nmhighered,2023-09-26 22:19:35+00:00,We were honored to have @usedgov @UnderSecKvaal and Assistant Secretary @amyloyd1 visit @SFCCNM to  meet with students and learn more about how New Mexico is making college accessible and affordable. Thank you for recognizing the important role #HSI and community colleges play! https://t.co/uCD5npLYbg
GovMLG,2023-09-25 22:23:07+00:00,To everyone who celebrates - the warmest wishes for a meaningful holiday on this Yom Kippur. https://t.co/Z7nPHzJWIq
GovMLG,2023-09-25 20:13:15+00:00,It is critical that we keep moving the conversation forward about finding solutions to solving the gun violence crisis. We must work together on all levels to keep people safe nationwide.
WhiteHouse,2023-09-24 19:55:00+00:00,"The Biden-Harris Administration has taken historic actions to crack down on gun violence, but we aren’t stopping there.

President Biden is establishing the first-ever White House Office of Gun Violence Prevention to centralize, accelerate, and intensify efforts to save lives. https://t.co/BfH72Z18ZL"
GovMLG,2023-09-22 22:35:42+00:00,"Thank you to every officer, investigator, and detective involved in this case. The hard work of the Albuquerque Police Department, New Mexico State Police, and federal law enforcement partners made apprehending these men possible.

https://t.co/Ads7lmsrN7"
GovMLG,2023-09-21 21:48:44+00:00,Getting officers in NM communities has been a priority for me. The lifesaving work they do creates safer places in our state &amp; deserves our full support. That is why I've made more than $100M in funding available for recruitment &amp; retention efforts by departments in the state. https://t.co/io8aERDtYC
GovMLG,2023-09-21 12:03:28+00:00,"New Mexico is on the move, and the world is taking notice! Hota will invest $99M at the Borderplex in southern New Mexico, creating 350 jobs and building a more resilient and stable #supplychain for auto parts in the U.S. Welcome to New Mexico, Hota! https://t.co/o7RS5vHlvZ"
GovMLG,2023-09-20 02:34:44+00:00,I was honored to meet up with NM's foreign trade representative Ethan Chen at our Taiwan Trade Bureau. Our office doors are open for business in Taipei! https://t.co/7pQna6DLqh
GovMLG,2023-09-19 17:53:49+00:00,"I was honored to be invited to participate in this year's U.S. Business Day in Taiwan. Strengthening our partnership is good for New Mexico, good for the U.S., and good for Taiwan as we build a more resilient and stable supply chain. More good news to come from Taipei tomorrow. https://t.co/6gd9fq9dkA"
GovMLG,2023-09-17 21:24:36+00:00,The contributions of Hispanic Americans have shaped who we are as a state and as a nation. #NationalHispanicHeritageMonth https://t.co/kJOkFxWcaS
GovMLG,2023-09-16 03:11:20+00:00,"To all who celebrate, may you have a good and sweet year. https://t.co/jfzEWA4PKF"
GovMLG,2023-09-15 22:25:16+00:00,"I have amended the public health order to specify that you cannot carry #guns in city parks or playgrounds in Albuquerque &amp; Bernalillo Co. I respect the judge's decision on the last public order, but I am far from done fighting to protect New Mexicans.  

https://t.co/Ox2nNIilrs"
GovMLG,2023-09-15 01:25:53+00:00,"You're a little late to the party, @NRA."
NRA,2023-09-15 01:21:13+00:00,"NRA SUES NEW MEXICO GOV. LUJAN GRISHAM

“See you in court,” said NRA-ILA Executive Director Randy Kozuch

More from @EmmColt/@FoxNews➡️ https://t.co/1pVc8ooZJ8"
GovMLG,2023-09-14 23:42:45+00:00,"I’m still waiting on a thank-you note from
@NewMexicoGOP. Way to use my call to action around #gunviolence as a fundraiser instead of using it as an opportunity for immediate action to save New Mexican lives."
GovMLG,2023-09-14 16:10:16+00:00,"September is National Suicide Prevention Month. I want every New Mexican to know you are not alone &amp; there is support for you. If you need to speak with someone, call or text 988. Together, we can #StopSuicide. https://t.co/2fZEdBDSrE https://t.co/1pbhi8FGlW"
GovMLG,2023-09-14 16:10:16+00:00,"Septiembre es el Mes Nacional de Prevención del Suicidio. Y me gustaría dejarle saber a todos los nuevomexicanos que no están solos y que hay apoyo para ustedes. Si necesita hablar con alguien, llame o envíe un mensaje de texto al 988. https://t.co/2fZEdBDSrE"
GovMLG,2023-09-14 00:19:32+00:00,"Today a judge temporarily blocked sections of our public health order but recognized the significant problem of gun violence in this state. I refuse to be resigned to the status quo, and I will never stop fighting to prevent other families from enduring these tragedies. https://t.co/qRfSCUaNIL"
GovMLG,2023-09-13 22:14:48+00:00,"Bill Richardson was a titan among us, fighting for the little guy, world peace, and everything in between. He will be missed. https://t.co/y5X0acVrmh"
GovMLG,2023-09-13 01:45:04+00:00,I would love to see the same outrage from Republicans when a child in New Mexico is killed by gun violence. It is unfortunate they are taking this opportunity to spew NRA talking points instead of proposing meaningful legislative solutions to on how we can make New Mexico safer. https://t.co/gWTsYe6PCZ
GovMLG,2023-09-11 21:41:06+00:00,"11-year-old Froyland Villegas was leaving a baseball game with his mom, aunt and baby brother when he was shot and killed last week. Please, if you know anything that can help identify the suspect, contact law enforcement."
ABQPOLICE,2023-09-08 01:13:25+00:00,The vehicle below is believed to be a newer model Dodge Durango SRT. The individuals in this vehicle are suspects in the homicide that occurred on 9/6/2023 where a child was shot and killed. If you have any information please contact Crimestoppers at (505) 843-STOP (7867). https://t.co/E0bCRBvbMx
GovMLG,2023-09-11 19:25:35+00:00,"Today, I join all those mourning the loss of 2,977 innocent victims killed in the worst terrorist attack in our nation’s history. https://t.co/nZ2n8DxtIG"
GovMLG,2023-09-10 23:32:42+00:00,"Hey Ted, conceal and open carry are state laws that I have jurisdiction over. If you’re really interested in helping curb gun violence, I’d welcome you to join our next police academy class. https://t.co/Odf9fNbO2W"
tedlieu,2023-09-09 21:20:04+00:00,"I support gun safety laws. However, this order from the Governor of New Mexico violates the U.S. Constitution. No state in the union can suspend the federal Constitution. There is no such thing as a state public health emergency exception to the U.S. Constitution."
GovMLG,2023-09-10 20:24:13+00:00,"We need to do everything we can to protect our kids and our communities from the scourge of gun violence. The fact is: these legislators have no plan. As governor, it's my job to take action and put New Mexicans’ safety first - not complain about problems we are elected to solve."
krqe,2023-09-10 06:02:45+00:00,Two lawmakers call for impeachment of Governor Lujan Grisham after public health order https://t.co/9D1sO0IZ2M
GovMLG,2023-09-10 00:36:01+00:00,"When we're afraid to be in crowds, to take our kids to school – when our very right to exist is threatened by the prospect of violence at every turn – something is wrong. I’m not going to stop fighting for public safety until everyone is safe. Period. 
https://t.co/pcWqIjZDLH"
GovMLG,2023-09-09 02:25:00+00:00,"Today I issued a 30-day ban on the open &amp; concealed carrying of guns in Albuquerque and Bernalillo County. Gun violence is killing between 2 and 3 children every month in NM - every single one of these deaths is unconscionable and they must stop. 
https://t.co/KJdXUMBVaG"
GovMLG,2023-09-08 01:23:43+00:00,"Today, I signed an executive order declaring gun violence a public health emergency.  To my fellow citizens: get loud. Step up. Demand change: from your neighbors, from your friends, from your communities, from your elected leaders. Enough is enough. More coming from me tomorrow. https://t.co/jOt4fv4YDC"
GovMLG,2023-09-07 21:07:42+00:00,NM keeps leading the U.S. in #renewableenergy production &amp; diversifying our energy grid. #ICYMI: Hundreds of jobs are coming to our state with the SunZia project in Corona -- proving economic development &amp; climate action are not mutually exclusive. https://t.co/bBWF6a6b8B
GovMLG,2023-09-07 19:33:46+00:00,"Earlier this week, I spoke with @tjtrout1 about Gov. Bill Richardson's legacy in New Mexico and his impact around the world.

https://t.co/ZIhwHydf5w"
GovMLG,2023-09-07 15:46:02+00:00,"This morning, I ordered all state flags in New Mexico to be lowered to half-staff in honor of Gov. Bill Richardson. They will remain there until sundown on September 14th."
GovMLG,2023-09-06 23:49:41+00:00,We got good news today! Reading proficiency rose 4.3% in 3-8 graders in NM. This increase shows that the improvements to our #education system are working. We can't slow down now which is why I'll ask for $30M in the next session to build the New Mexico Literacy Institute. https://t.co/jZwaedFjZV
GovMLG,2023-09-05 21:32:38+00:00,Increasing accessibility to high-quality #education grounded in culture &amp; history is a priority. I'm proud to support this one-of-a-kind educational institution on Jemez Pueblo because it will keep growing native language immersion programs in NM. https://t.co/4MWSjJpMvL
GovMLG,2023-09-04 20:51:09+00:00,"Happy Labor Day to the workers in our great state. The United States would not be the same without the working class and organized labor, who blazed a path toward better conditions and economic prosperity. Thank you! https://t.co/CQKbbZRw1L"
GovMLG,2023-09-02 21:31:10+00:00,https://t.co/HiY1K7qeah
GovMLG,2023-09-01 16:49:16+00:00,"The violence we saw at Red River has NO place in our state, and I'm grateful to the FBI and @NMStatePolice for taking action yesterday to hold bad actors accountable and keep New Mexicans safe.   https://t.co/eLvuiQH67Z"
GovMLG,2023-08-31 22:56:23+00:00,"Since my time in Congress, I've fought for more than 447,000 people relying on Medicare in NM. No one should break the bank to ensure they have the medication they need. Thank you President Biden &amp; those still in Congress for finally making this happen. https://t.co/mZ9lrxWC1R"
GovMLG,2023-08-28 22:48:08+00:00,"A HUGE congratulations to New Mexico’s own @ealey_chase on an incredible second World Championship win over the weekend!
This weekend, you made New Mexico proud. Your hard work, focus, and dedication to your sport make New Mexico proud."
GovMLG,2023-08-26 20:50:41+00:00,"Happy #WomensEqualityDay, New Mexico! I am proud to be governor of a state that values women in leadership. The Office of the New Mexico Secretary of State and I urge women to keep showing up at the ballot boxes, keep running for office and keep fighting for a truly equal future. https://t.co/GUAf4oPsBy"
GovMLG,2023-08-26 01:47:12+00:00,"Come on #Barbie, let's go ... talk about women's rights, strong female leaders in New Mexico &amp; what we accomplish when we work together! I loved speaking with current &amp; future Female Power Brokers yesterday on the importance of empowering women.
https://t.co/iRLAOo7L98"
