,username,orario,text
0,GovWhitmer,2023-09-27 16:24:05+00:00,"Michigan’s bright future relies on growing our economy, providing for our families, and protecting our planet.

Our list of accomplishments, our growing, diversifying economy, and our strong financial position prove that what we are doing is working."
1,GovWhitmer,2023-09-26 23:25:13+00:00,"Michigan is leading the way in America’s clean energy boom.
In the last year, we've secured 24 new projects, generating $21 billion in investments and creating nearly 16,000 jobs.

In the next decade alone, we're projected to add 167,000 good-paying clean energy jobs."
2,GovWhitmer,2023-09-26 23:25:14+00:00,"By 2050, our clean energy plans will save Michigan families $5.5 billion in household energy costs and bring home $14.7 billion of federal funding.  
 
In short—a hell of a lot of jobs, cost savings, and investments in Michigan."
3,GovWhitmer,2023-09-26 19:58:20+00:00,"Michigan can define the future of clean energy, climate action, and manufacturing.

Our duty—our extraordinary privilege as people with power and resources—is to fight for Michigan’s future. Let’s work together and get it done."
4,GovWhitmer,2023-09-26 16:30:11+00:00,"Michiganders are living through the consequences of extreme weather caused by climate change. We know the cost of inaction. We’re living it.  
 
We can do something about it. We can take action to protect our grid, shore up our energy independence, and lower costs for families. https://t.co/ucE2IcNUmN"
5,GovWhitmer,2023-09-26 13:58:29+00:00,"In Michigan, we are working on some of the most important climate and clean energy bills in Michigan history. Together, we can deliver:
 
💯 A 100% clean energy standard
⬇️ Lower utility bills
☀️ More wind and solar
🌎 Tools to fight climate change
 
Let's get it done."
6,GovWhitmer,2023-09-26 00:44:35+00:00,"In the next decade, we can:

🌎 Create over 160,000 clean energy jobs
🌎 Save Michiganders money on their bills
🌎 Protect our air, land, and lakes for future generations

Let's get it done and pass a 100% clean energy standard for Michigan."
7,GovWhitmer,2023-09-25 22:23:08+00:00,"Michigan is already the best place to live, but I know how we can make it even better: Keep pushing to meet our goal of 100% carbon neutrality by 2050. 
  
Every Michigander deserves to live in a clean, sustainable environment, and we're going to make it happen."
8,GovWhitmer,2023-09-25 17:32:07+00:00,"Happy birthday to my partner in governance, @LtGovGilchrist, a spectacular leader who I'm proud to work with each and every day. 
  
Thank you for standing tall for Michigan, even if you can't help it 😉 https://t.co/guNF0zH4uQ"
9,GovWhitmer,2023-09-25 00:48:13+00:00,"Yom Kippur is a valuable reminder that change is possible and that transformation is within our reach.
 
To all who celebrate, I wish you an easy fast and meaningful holiday."
