username,orario,text
HouseDemocrats,2023-09-28 17:33:27+00:00,"RT @Republicans are holding our country hostage AGAIN by shutting down the government to push cruel, draconian spending cuts to lifesaving programs.

We’re fighting to keep the government open, continue our work for the American people, and lower costs for families."
RepBowman,2023-09-28 17:03:01+00:00,"Republicans are holding our country hostage AGAIN by shutting down the government to push cruel, draconian spending cuts to lifesaving programs.

We’re fighting to keep the government open, continue our work for the American people, and lower costs for families."
HouseDemocrats,2023-09-28 17:31:15+00:00,"RT @An extreme GOP shutdown would mean @SBAgov would stop processing small business loans, halting an initiative that provides more than $879 million in funding to WA small businesses every year."
RepRickLarsen,2023-09-28 17:15:30+00:00,"An extreme GOP shutdown would mean @SBAgov would stop processing small business loans, halting an initiative that provides more than $879 million in funding to WA small businesses every year."
HouseDemocrats,2023-09-28 16:46:27+00:00,RT @Americans can't afford the adverse impacts of a prolonged government shutdown. It's crucial to put aside partisan differences and collaborate to maintain essential services for all. #PeopleOverPolitics https://t.co/seA8LjLDEY
RepBeatty,2023-09-28 16:33:26+00:00,Americans can't afford the adverse impacts of a prolonged government shutdown. It's crucial to put aside partisan differences and collaborate to maintain essential services for all. #PeopleOverPolitics https://t.co/seA8LjLDEY
HouseDemocrats,2023-09-28 16:45:18+00:00,"RT @House Republicans tried to hijack yesterday’s Committee hearing for yet another extreme, anti-immigrant political stunt.

Democrats are holding them accountable. https://t.co/Z95HeVKuEw"
NRDems,2023-09-28 16:41:33+00:00,"House Republicans tried to hijack yesterday’s Committee hearing for yet another extreme, anti-immigrant political stunt.

Democrats are holding them accountable. https://t.co/Z95HeVKuEw"
HouseDemocrats,2023-09-28 16:04:21+00:00,"RT @NEW: The American people can't afford an extreme MAGA shutdown.

We're launching an interactive map showing how a Republican shutdown would hurt families in all 50 states. ⤵️
https://t.co/69UD2cTrBq"
HouseDemocrats,2023-09-27 16:44:11+00:00,9.27.23 Weekly Press Conference https://t.co/8vJeXgGgFb
HouseDemocrats,2023-09-26 20:30:24+00:00,"Instead of offering real solutions for issues everyday Americans face, extreme Republicans continue to play political theater. 

House Democrats remain focused on addressing the needs of the American people."
HouseDemocrats,2023-09-22 17:46:41+00:00,"💼 187k new jobs in August
💵 Wages on the rise
⬇️ Unemployment near historic lows
 
Democrats are investing in the American people, and it’s working."
HouseDemocrats,2023-09-21 16:28:29+00:00,"Americans shouldn't have to live under the constant threat of gun violence. 

It's time to build on our Bipartisan Safer Communities Act to keep our kids and communities safe."
HouseDemocrats,2023-09-20 17:52:37+00:00,"RT @In the last week, our nation surpassed 500 mass shootings this year. This is a crisis – and House Republicans have refused to put ANY gun safety legislation up for a vote.

We don't have to live like this, and I’m going to continue pushing to end the epidemic of gun violence."
RepDianaDeGette,2023-09-20 16:55:50+00:00,"In the last week, our nation surpassed 500 mass shootings this year. This is a crisis – and House Republicans have refused to put ANY gun safety legislation up for a vote.

We don't have to live like this, and I’m going to continue pushing to end the epidemic of gun violence."
HouseDemocrats,2023-09-20 17:13:56+00:00,"RT @Seniors should not have to worry about access to affordable care. Thanks to the #InflationReductionAct, 4 million seniors nationwide will not have to pay more than $35 a month for insulin. https://t.co/5ZvG0T7sPe"
CongresswomanSC,2023-09-20 17:02:27+00:00,"Seniors should not have to worry about access to affordable care. Thanks to the #InflationReductionAct, 4 million seniors nationwide will not have to pay more than $35 a month for insulin. https://t.co/5ZvG0T7sPe"
HouseDemocrats,2023-09-20 15:46:08+00:00,"While House Republicans have prioritized political games, House Democrats are focused on the issues that matter to everyday Americans."
HouseDemocrats,2023-09-19 22:19:50+00:00,"RT @MAGA Extremists are trying silence voters across the country but we will never let that happen.   

Proud to join @RepTerriSewell to reintroduce the John R. Lewis Voting Rights Advancement Act. https://t.co/BYfV4U0peA"
RepPeteAguilar,2023-09-19 22:18:05+00:00,"MAGA Extremists are trying silence voters across the country but we will never let that happen.   

Proud to join @RepTerriSewell to reintroduce the John R. Lewis Voting Rights Advancement Act. https://t.co/BYfV4U0peA"
HouseDemocrats,2023-09-19 22:19:41+00:00,"RT @John Lewis called the right to vote precious, almost sacred. Today, I join my fellow @HouseDemocrats in taking action to protect that right by introducing the John Lewis Voting Rights Advancement Act. We cannot allow extremists to undermine our democracy and silence our voices."
