username,orario,text
HouseGOP,2023-09-29 13:56:23+00:00,"""Texts suggest Biden requested meeting with son's Chinese business partner after company paid Hunter millions"" 
https://t.co/kuuVlRzESo"
HouseGOP,2023-09-29 13:49:47+00:00,"#Bidenomics 
https://t.co/U11DFDMob3"
HouseGOP,2023-09-29 13:07:04+00:00,"""Comer subpoenas Hunter Biden’s bank records""
https://t.co/3OwF7xVmuj"
HouseGOP,2023-09-29 04:40:13+00:00,RT @GOPoversight: 🚨 @RepJamesComer Subpoenas Hunter and James Biden’s Personal and Business Bank Records https://t.co/Dj2Tcu8wIT
GOPoversight,2023-09-29 02:00:10+00:00,🚨 @RepJamesComer Subpoenas Hunter and James Biden’s Personal and Business Bank Records https://t.co/Dj2Tcu8wIT
HouseGOP,2023-09-29 04:32:25+00:00,"81 @HouseDemocrats just voted against delisting the Islamic Revolutionary Guard Corps as a  terrorist organization.

IRGC is directly responsible for killing hundreds of Americans."
HouseGOP,2023-09-29 01:28:48+00:00,🚨🚨🚨
elonmusk,2023-09-29 01:26:44+00:00,Eagle Pass https://t.co/hb462Hymko
HouseGOP,2023-09-29 01:26:28+00:00,"RT @.@GOPoversight and @RepJamesComer are crushing it at this hearing. 

-Witnesses testify that we’ve passed the threshold of evidence to open the President Joe Biden impeachment inquiry.

-Mountains of evidence showing Biden Family influence peddling 

-Only the beginning."
HouseGOP,2023-09-29 00:00:35+00:00,RT @SpeakerMcCarthy: The impeachment inquiry will follow the facts. https://t.co/q1Q3dsX7hK
HouseGOP,2023-09-28 16:22:43+00:00,"🚨FLASHBACK 🚨

In 2019 Rep. Raskin didn't think a House vote was needed to launch an impeachment inquiry.

“There is no formal constitutional or statutory or even the House rule for how an impeachment inquiry is to begin, and so it means different things to different people."" https://t.co/bE1tihy1aF"
HouseGOP,2023-09-28 20:05:48+00:00,"RT @👂👇

“I do believe that the House has passed the threshold for an impeachment inquiry into the conduct of President Biden.”- @JonathanTurley https://t.co/SWf2n2ZUAK"
GOPoversight,2023-09-28 20:05:16+00:00,"👂👇

“I do believe that the House has passed the threshold for an impeachment inquiry into the conduct of President Biden.”- @JonathanTurley https://t.co/SWf2n2ZUAK"
HouseGOP,2023-09-28 19:54:24+00:00,RT @WashTimesOpEd: Biden has hijacked PEPFAR to promote abortion https://t.co/2sD3xutm0P
WashTimesOpEd,2023-09-28 15:56:20+00:00,Biden has hijacked PEPFAR to promote abortion https://t.co/2sD3xutm0P
HouseGOP,2023-09-28 19:34:32+00:00,"RT @🔥 🔥 🔥
 
Hunter texted his CCP-linked business associate: “My uncle will be here with his BROTHER.”
 
It doesn’t take a genius to figure out that Hunter is referring to Joe Biden.
 
@RepNancyMace connects the dots from Hunter’s China deal to Joe Biden. https://t.co/i7sFYD3Ffp"
GOPoversight,2023-09-28 18:46:11+00:00,"🔥 🔥 🔥
 
Hunter texted his CCP-linked business associate: “My uncle will be here with his BROTHER.”
 
It doesn’t take a genius to figure out that Hunter is referring to Joe Biden.
 
@RepNancyMace connects the dots from Hunter’s China deal to Joe Biden. https://t.co/i7sFYD3Ffp"
HouseGOP,2023-09-28 19:34:24+00:00,"RT @FACT CHECK:

Jared Kushner is an actual businessman, with a real business, and real expertise. 

Hunter Biden had zero specific cooperate governance expertise, didn’t speak Ukrainian, didn’t move to Ukraine, but somehow received large amounts of cash for his “work” for Burisma."
