username,orario,text,Unnamed: 0
IngrahamAngle,2023-09-28 16:30:00+00:00,Seen and Unseen: Commander has not been a good boy https://t.co/2w6pUAi7QT,
IngrahamAngle,2023-09-28 16:17:24+00:00,"Vox (or its backers?) believes that Biden has been too tough on China.

Why every world leader is being asked about China - Vox https://t.co/dSXUD2ZJJy",
IngrahamAngle,2023-09-28 15:30:00+00:00,Stephen Miller: Working families can't keep up with inflation https://t.co/hqI3MXwZmw,
IngrahamAngle,2023-09-28 15:20:21+00:00,"Real incomes fell between 2021 and 2022, a time when America was set up for explosive growth.  More decline coming this year.  That’s Bidenomics. 

Axelrod: The Pro-Biden Spin Is Wrong, People Have Poor Views of Bidenomics Because Food, Gas Prices Are ‘Still High‘ https://t.co/YtG01inOvh via @BreitbartNews",
IngrahamAngle,2023-09-28 14:53:08+00:00,If being a member of Congress connotes brain power then why is America $33T in debt?  Why did we offshore millions of manufacturing jobs?  Do you know many intelligent people who feel the need to defend their intelligence?,
IngrahamAngle,2023-09-28 14:47:19+00:00,"Spot on from Trump.  China is on its way to owning our auto industry.

“Biden's mandate isn't a government regulation, it's a government assassination of your jobs and your industry,"" Trump said. ""The auto industry is being assassinated. And it makes no difference what you get, I don't care what you get in the next two weeks or three weeks or five weeks. They're going to be closing up and they're going to be building those cars in China and other places. It's a hit job on Michigan and on Detroit, and that's not sustainable.""

Bravo!",
IngrahamAngle,2023-09-28 14:34:26+00:00,"Time to bring it to an end.  Zero to minimal accounting for where funds have gone after unsuccessful summer offensive.

Senate funding plan hits GOP turbulence over Ukraine https://t.co/9BZIBkNUEI",
IngrahamAngle,2023-09-28 14:31:20+00:00,"Let it expire.

Watchdog Urges Extending Surveillance Law With New Limits https://t.co/O9dylCv9uj",
IngrahamAngle,2023-09-28 14:30:01+00:00,Mike Gallagher: TikTok is weaponizing DC swamp against the US https://t.co/RRaEVq0Y61,
IngrahamAngle,2023-09-28 13:49:27+00:00,"How much did we spend on that summer offensive again?

How the Front Line Has Barely Moved in Ukraine This Year - The New York Times https://t.co/bdfEnI9UdT",
